param_08,command_type,param_02,param_03,drama_id,param_04,param_01,param_05,command_id,param_06,param_07
"",3,anger_talk_joy,1,5152061,"",122911,"",61152,0.2,""
"",3,sad_talk_dere2,1,5152061,"",122711,"",61153,0.2,""
"",21,vo_rag_6011,0,5152061,0,vo_rag,"",61154,"",""
0,11,"ええ、とっても！\nすごーく新鮮な\nラジーオタイソーだったわ！",10,5152061,1,131911,1,61155,0,60
"",91,"",0,5152061,0,0,"",61156,"",""
"",3,gutsB_idle,1,5152061,"",131911,"",61157,0.2,""
"",3,memory_talk,1,5152061,"",102111,"",61158,0.2,""
"",21,vo_rag_6012,0,5152061,0,vo_rag,"",61159,"",""
0,11,"かわいくて元気が出て♪\nママ・サレンの体操、すごいですぅ♪",10,5152061,1,102111,1,61160,0,56
"",91,"",0,5152061,0,0,"",61161,"",""
"",3,memory_talk,1,5152061,"",102111,"",61162,0.2,""
"",23,se_10058300_emotion_laugh,0,5152061,"",se_10058300,"",61163,"",""
"",32,1,"",5152061,"",11,"",61164,"",""
"",3,sad_talk_normal,1,5152061,"",110311,"",61165,0.2,""
"",21,vo_rag_6013,0,5152061,0,vo_rag,"",61166,"",""
0,11,"あはは、\nそんなに喜んでもらえるなんて、\n悪い気はしないわね",10,5152061,1,110311,1,61167,0,0
"",91,"",0,5152061,0,0,"",61168,"",""
"",32,0,"",5152061,"",11,"",61169,"",""
"",22,0,"",5152061,"",0,"",61170,"",""
"",93,0,"",5152061,"",0.1,"",61171,"",""
"",3,wish_talk_joy_shy,1,5152061,"",110311,"",61172,0.2,""
"",3,smile2_joy,0,5152061,sad_idle_joy,131911,1,61173,0.2,0
"",3,joy_idle,1,5152061,"",102311,"",61174,0.2,""
"",3,memory_idle,1,5152061,"",102111,"",61175,0.2,""
"",3,wish_idle_dere,1,5152061,"",107711,"",61176,0.2,""
"",3,cool_talk_dere2,1,5152061,"",122811,"",61177,0.2,""
"",3,anger_idle_normal2,1,5152061,"",122911,"",61178,0.2,""
"",3,sad_idle_dere,1,5152061,"",122711,"",61179,0.2,""
"",23,se_10058300_emotion_kids,0,5152061,"",se_10058300,"",61180,"",""
0,12,9,2,5152061,0,110311,0,61181,0,0
0,12,7,2,5152061,0,131911,0,61182,0,0
0,12,10,2,5152061,0,102311,0,61183,0,0
0,12,6,2,5152061,0,102111,0,61184,0,0
"",93,0,"",5152061,"",2.5,"",61185,"",""
"",101,"","",5152061,"",61187,"",61186,"",""
"",25,bgm_MC173B,"",5152061,"",bgm_MC173B,"",61187,"",""
"",22,0,"",5152061,"",0,"",61188,"",""
doya_idle,1,107111,110,5152062,382,1,-280,62001,1.55,1
idle_normal,1,107611,105,5152062,145,1,-210,62002,1.5,0
joy_idle_normal,1,131911,107,5152062,-22,1,-296,62003,1.57,0
wish_idle_joy,1,107511,109,5152062,-217,1,-311,62004,1.57,0
cool_idle,1,107811,108,5152062,-440,1,-255,62005,1.53,0
idle_normal,1,131411,103,5152062,34,1,-136,62006,1.45,0
riri_idle,1,131311,104,5152062,-163,1,-146,62007,1.45,0
sad_idle_surprise1,1,131511,105,5152062,-350,1,-166,62008,1.45,0
empty,5,5,106,5152062,-13,5,-235,62009,1.5,1
empty,5,11,110,5152062,145,1,-210,62010,1.5,0
empty,5,12,110,5152062,-22,1,-296,62011,1.57,0
empty,5,13,110,5152062,-217,1,-311,62012,1.57,0
empty,5,14,110,5152062,-440,1,-255,62013,1.53,0
empty,5,15,107,5152062,34,1,-136,62014,1.45,0
empty,5,16,107,5152062,-163,1,-146,62015,1.45,0
empty,5,17,107,5152062,-350,1,-166,62016,1.45,0
"",13,210,"",5152062,"",107111,"",62017,"",""
"",13,207,"",5152062,"",131911,"",62018,"",""
"",13,209,"",5152062,"",107511,"",62019,"",""
"",13,205,"",5152062,"",107611,"",62020,"",""
"",13,208,"",5152062,"",107811,"",62021,"",""
"",13,203,"",5152062,"",131411,"",62022,"",""
"",13,204,"",5152062,"",131311,"",62023,"",""
"",13,205,"",5152062,"",131511,"",62024,"",""
empty,5,1,108,5152062,-13,1,-235,62025,1.57,0
empty,5,2,210,5152062,382,2,11,62026,1,0
"",31,1,0,5152062,0,1,1,62027,1,""
"",31,2,0,5152062,0,2,1,62028,0,""
"",31,12,0,5152062,0,12,1,62029,0,""
"",31,3,0,5152062,0,3,1,62030,1,""
"",91,"","",5152062,"",0,"",62031,"",""
"",37,telop_2,"",5152062,"",3,"",62032,"",""
"",102,0,0,5152062,"",0,"",62033,"",""
"",93,0,"",5152062,"",1,"",62034,"",""
"",3,doya_talk,1,5152062,"",107111,"",62035,0.2,""
"",21,vo_rag_2001,0,5152062,0,vo_rag,"",62036,"",""
0,11,"早朝にもかかわらず、よく集まった",10,5152062,1,107111,1,62037,0,35
"",91,"",0,5152062,0,0,"",62038,"",""
"",3,cool_in_joy,0,5152062,cool_talk_joy,107111,1,62039,0.2,0
"",21,vo_rag_2002,0,5152062,0,vo_rag,"",62040,"",""
0,11,"オマエたちにとっておきの体操を\n伝授してやろう♪",10,5152062,1,107111,1,62041,0,35
"",91,"",0,5152062,0,0,"",62042,"",""
"",3,cool_idle,1,5152062,"",107111,"",62043,0.2,""
"",3,gutsB_talk_anger,1,5152062,"",131311,"",62044,0.2,""
"",21,vo_rag_2003,0,5152062,0,vo_rag,"",62045,"",""
0,11,"どんな苛烈な体操でも…\n頑張りぬく所存です…！",10,5152062,1,131311,1,62046,0,0
"",91,"",0,5152062,0,0,"",62047,"",""
"",3,riri_idle,1,5152062,"",131311,"",62048,0.2,""
"",26,"","",5152062,"",1,"",62049,"",""
"",3,joy_talk_normal,1,5152062,"",107111,"",62050,0.2,""
"",3,idle_normal,1,5152062,"",131911,"",62051,0.2,""
"",3,idle_normal,1,5152062,"",107511,"",62052,0.2,""
"",3,idle_normal,1,5152062,"",107611,"",62053,0.2,""
"",3,idle_normal,1,5152062,"",107811,"",62054,0.2,""
"",3,idle_normal,1,5152062,"",131411,"",62055,0.2,""
"",3,idle_normal,1,5152062,"",131311,"",62056,0.2,""
"",3,idle_normal,1,5152062,"",131511,"",62057,0.2,""
"",21,vo_rag_2004,0,5152062,0,vo_rag,"",62058,"",""
2,11,"ではいくぞ\nそれ、ワンツーワンツー\nもっと腕を高く！",10,5152062,1,107111,0,62059,0,0
"",93,0,0,5152062,0,1.1,"",62060,"",""
"",25,bgm_MC175A,"",5152062,"",bgm_MC175A,"",62061,"",""
"",32,1,"",5152062,"",2,"",62062,"",""
"",3,clapping_in,0,5152062,clapping_loop,107111,1,62063,0.2,0
"",3,idol_before_dance,0,5152062,"",131911,"",62064,0.2,""
"",3,idol_before_dance,0,5152062,"",107511,"",62065,0.2,""
"",3,idol_before_dance,0,5152062,"",107611,"",62066,0.2,""
"",3,idol_before_dance,0,5152062,"",107811,"",62067,0.2,""
"",3,idol_before_dance,0,5152062,"",131411,"",62068,0.2,""
"",3,idol_before_dance,0,5152062,"",131311,"",62069,0.2,""
"",3,idol_before_dance,0,5152062,"",131511,"",62070,0.2,""
"",91,"","",5152062,"",0,"",62071,"",""
"",32,1,"",5152062,"",12,"",62072,"",""
"",3,idol_danceF,1,5152062,"",131911,"",62073,0.2,""
"",3,idol_danceF,1,5152062,"",107511,"",62074,0.2,""
"",3,idol_danceF,1,5152062,"",107611,"",62075,0.2,""
"",3,idol_danceF,1,5152062,"",107811,"",62076,0.2,""
"",3,idol_danceB_in,0,5152062,idol_danceB_loop,131411,1,62077,0.2,0
"",3,idol_danceB_in,0,5152062,idol_danceB_loop,131311,1,62078,0.2,0
"",3,idol_danceB_in,0,5152062,idol_danceB_loop,131511,1,62079,0.2,0
"",3,idol_danceF,1,5152062,"",12,"",62080,0.2,""
"",3,idol_danceF,1,5152062,"",13,"",62081,0.2,""
"",3,idol_danceF,1,5152062,"",11,"",62082,0.2,""
"",3,idol_danceF,1,5152062,"",14,"",62083,0.2,""
"",3,idol_danceB_loop,1,5152062,"",15,"",62084,0.2,""
"",3,idol_danceB_loop,1,5152062,"",16,"",62085,0.2,""
"",3,idol_danceB_loop,1,5152062,"",17,"",62086,0.2,""
"",93,0,0,5152062,0,2.8,"",62087,"",""
"",93,0,0,5152062,0,0.1,"",62088,"",""
"",3,pointing_in_anger,0,5152062,pointing_loop_anger,107111,1,62089,0.2,0
"",93,0,0,5152062,0,0.5,"",62090,"",""
"",21,vo_rag_2005,0,5152062,0,vo_rag,"",62091,"",""
"",3,0204_in,0,5152062,"",2,"",62092,0,""
"",93,0,"",5152062,"",2.5,"",62093,"",""
"",3,0204_out,0,5152062,"",2,"",62094,0,""
"",93,0,"",5152062,"",0.2,"",62095,"",""
"",3,angry_loop,1,5152062,"",107111,"",62096,0.2,""
"",21,vo_rag_2006,0,5152062,0,vo_rag,"",62097,"",""
"",3,0205_in,0,5152062,"",2,"",62098,0,""
"",93,0,"",5152062,"",2.2,"",62099,"",""
"",3,0205_out,0,5152062,"",2,"",62100,0,""
"",93,0,"",5152062,"",0.3,"",62101,"",""
"",3,clapping_in_talk2,0,5152062,clapping_loop_talk2,107111,1,62102,0.2,0
"",93,0,"",5152062,"",2.1,"",62103,"",""
"",37,out,"",5152062,"",12,"",62104,"",""
"",3,idol_poseF_in,0,5152062,idol_poseF_loop,131911,1,62105,0.1,0
"",3,idol_poseF_in,0,5152062,idol_poseF_loop,107511,1,62106,0.1,0
"",3,idol_poseF_in,0,5152062,idol_poseF_loop,107611,1,62107,0.1,0
"",3,idol_poseF_in,0,5152062,idol_poseF_loop,107811,1,62108,0.1,0
"",3,idol_poseB_in,0,5152062,idol_poseB_loop,131411,1,62109,0.1,0
"",3,idol_poseB_in,0,5152062,idol_poseB_loop,131311,1,62110,0.1,0
"",3,idol_poseB_in,0,5152062,idol_poseB_loop,131511,1,62111,0.1,0
"",3,empty,1,5152062,"",12,"",62112,0.2,""
"",3,empty,1,5152062,"",13,"",62113,0.2,""
"",3,empty,1,5152062,"",11,"",62114,0.2,""
"",3,empty,1,5152062,"",14,"",62115,0.2,""
"",3,empty,1,5152062,"",15,"",62116,0.2,""
"",3,empty,1,5152062,"",16,"",62117,0.2,""
"",3,empty,1,5152062,"",17,"",62118,0.2,""
"",2,93,-206,5152062,0.7,107611,11,62119,"",""
"",2,-13,-235,5152062,0.7,131911,11,62120,"",""
"",2,-152,-248,5152062,0.7,107511,11,62121,"",""
"",2,-277,-243,5152062,0.7,107811,11,62122,"",""
"",2,8,-151,5152062,0.7,131411,11,62123,"",""
"",2,-102,-154,5152062,0.7,131311,11,62124,"",""
"",2,-222,-167,5152062,0.7,131511,11,62125,"",""
"",93,0,"",5152062,"",1.6,"",62126,"",""
"",37,finish,"",5152062,"",2,"",62127,"",""
"",23,se_10058300_idle_finish,0,5152062,"",se_10058300,"",62128,"",""
"",27,bgm_MC173B,0.5,5152062,0.5,bgm_MC173B,0,62129,0,1
"",93,0,"",5152062,"",0,"",62130,"",""
"",3,clapping_end,0,5152062,"",107111,"",62131,0.1,""
"",93,0,"",5152062,"",2,"",62132,"",""
"",3,armcrossed_in,0,5152062,armcrossed_talk,107111,1,62133,0.2,0
"",21,vo_rag_2007,0,5152062,0,vo_rag,"",62134,"",""
0,11,"これでフィニッシュ！　…見事だ☆\nアイドルの道は険しいが\nオマエたちならやれるだろう",10,5152062,1,107111,1,62135,0,35
"",91,"",0,5152062,0,0,"",62136,"",""
"",3,armcrossed_idle,1,5152062,"",107111,"",62137,0.2,""
"",3,pack_in,0,5152062,pack_talk,5,1,62138,0,0
"",23,se_10058300_pack_appear,0,5152062,"",se_10058300,"",62139,"",""
"",3,idol_poseF_end_emilia_in,0,5152062,idol_poseF_end_emilia_loop,131911,1,62140,0.2,0
"",93,0,"",5152062,"",1,"",62141,"",""
"",21,vo_rag_2008,0,5152062,0,vo_rag,"",62142,"",""
0,11,"ねえリア、\nこれってラジーオタイソーなの？",10,5152062,1,5,1,62143,5,24
"",91,"",0,5152062,0,0,"",62144,"",""
"",22,0,"",5152062,"",0,"",62145,"",""
"",3,idol_poseF_end_emilia_loop_nervous,1,5152062,"",131911,"",62146,0.2,""
"",3,idol_poseF_end_emilia_nervous_in,0,5152062,idol_poseF_end_emilia_loop,1,1,62147,0,0
"",3,pack_idle,1,5152062,"",5,"",62148,0.2,""
"",3,chris_laugh,1,5152062,"",107111,"",62149,0.2,""
"",23,se_10058300_emotion_idol,0,5152062,"",se_10058300,"",62150,"",""
0,12,5,2,5152062,0,5,0,62151,5,5
0,12,10,2,5152062,0,107111,0,62152,0,0
"",93,0,"",5152062,"",2.5,"",62153,"",""
"",101,"","",5152062,"",62155,"",62154,"",""
"",25,bgm_MC173B,"",5152062,"",bgm_MC173B,"",62155,"",""
"",22,0,"",5152062,"",0,"",62156,"",""
ames_sit_idle,1,131711,109,5152063,124,1,-215,63001,1.8,1
echidna_sit_thinking_idle,1,132011,108,5152063,-119,1,-215,63002,1.8,0
empty,5,1,109,5152063,-119,1,-215,63003,1.8,0
"",13,209,"",5152063,"",131711,"",63004,"",""
"",13,208,"",5152063,"",132011,"",63005,"",""
"",31,1,0,5152063,0,1,1.16,63006,1,""
"",31,10,0,5152063,0,10,1,63007,1,""
"",31,5,0,5152063,0,5,1,63008,0,""
"",31,3,0,5152063,0,3,1,63009,1,""
"",91,0,"",5152063,"",0,"",63010,"",""
"",37,telop_3,"",5152063,"",3,"",63011,"",""
"",102,0,0,5152063,"",0,"",63012,"",""
"",93,0,"",5152063,"",1,"",63013,"",""
"",3,echidna_sit_thinking_talk,1,5152063,"",132011,"",63014,0.2,""
"",21,vo_rag_5001,0,5152063,0,vo_rag,"",63015,"",""
0,11,"この世界には『アイドル』という\n種族にのみ伝わる、伝統の\nタイソーとやらがあるらしいね",10,5152063,1,132011,1,63016,-20,50
"",91,"",0,5152063,0,0,"",63017,"",""
"",3,echidna_sit_talk,1,5152063,"",132011,"",63018,0.2,""
"",21,vo_rag_5002,0,5152063,0,vo_rag,"",63019,"",""
0,11,"君は智に長けた存在だろう？\nボクにもその動きを\n教えてもらえないかな？",10,5152063,1,132011,1,63020,-20,50
"",91,"",0,5152063,0,0,"",63021,"",""
"",3,echidna_sit_idle,1,5152063,"",132011,"",63022,0.2,""
"",3,ames_yareyare_in,0,5152063,ames_yareyare_talk,131711,1,63023,0.2,0
"",21,vo_rag_5003,0,5152063,0,vo_rag,"",63024,"",""
0,11,"随分と面倒なこと言ってくれちゃって",10,5152063,1,131711,1,63025,20,50
"",91,"",0,5152063,0,0,"",63026,"",""
"",3,ames_sit_talk,1,5152063,"",131711,"",63027,0.2,""
"",21,vo_rag_5004,0,5152063,0,vo_rag,"",63028,"",""
0,11,"色々誤解があるみたいだけど、\nまあいいわ",10,5152063,1,131711,1,63029,20,50
"",91,"",0,5152063,0,0,"",63030,"",""
"",21,vo_rag_5005,0,5152063,0,vo_rag,"",63031,"",""
0,11,"それじゃ、\nあたしと同じ動きをやってみて",10,5152063,1,131711,1,63032,20,50
"",91,"",0,5152063,0,0,"",63033,"",""
"",3,ames_sit_out,0,5152063,idle_normal,131711,1,63034,0.2,0
"",93,0,"",5152063,"",0.1,"",63035,"",""
"",3,echidna_sit_out,0,5152063,idle_normal,132011,1,63036,0.2,0
"",37,out,"",5152063,"",10,"",63037,"",""
"",93,0,"",5152063,"",1,"",63038,"",""
"",91,"",0,5152063,0,0,"",63039,"",""
"",25,bgm_MC175A,"",5152063,"",bgm_MC175A,"",63040,"",""
"",32,1,"",5152063,"",5,"",63041,"",""
"",3,isekai_dance,1,5152063,"",131711,"",63042,0.2,""
"",93,0,"",5152063,"",0.1,"",63043,"",""
"",3,isekai_dance,1,5152063,"",132011,"",63044,0.2,""
"",21,vo_rag_5006,0,5152063,0,vo_rag,"",63045,"",""
1.7,11,"はい、ワンツーワンツー、\nステップステップ…",10,5152063,1,131711,0,63046,0,0
"",93,0,"",5152063,"",7,"",63047,"",""
"",91,"",0,5152063,0,0,"",63048,"",""
"",21,vo_rag_5007,0,5152063,0,vo_rag,"",63049,"",""
0,11,"ワン、ツー…ワン、ツ…\nはぁ、はぁ…\n今日のところは、ここまで、だね…",10,5152063,1,132011,1,63050,0,0
"",93,0,"",5152063,"",3.4,"",63051,"",""
"",27,bgm_MC173B,0.5,5152063,0.5,bgm_MC173B,0,63052,0,1
"",37,out,"",5152063,"",5,"",63053,"",""
"",3,tired_in,0,5152063,tired_talk,1,1,63054,0,0
"",3,echidna_tired_in,0,5152063,echidna_tired_talk,132011,1,63055,0,0
"",23,se_10058300_isekai_breath,0,5152063,"",se_10058300,"",63056,"",""
"",93,0,"",5152063,"",7.6,"",63057,"",""
"",91,"",0,5152063,0,63050,"",63058,"",""
"",3,tired_idle,1,5152063,"",1,"",63059,0.2,""
"",3,echidna_tired_idle,1,5152063,"",132011,"",63060,0.2,""
"",3,shock_in,0,5152063,shock_talk,131711,1,63061,0,0
"",21,vo_rag_5008,0,5152063,0,vo_rag,"",63062,"",""
0,11,"ウソでしょ！　まだちょっとしか\nやってないわよ！",10,5152063,1,131711,1,63063,0,0
"",91,"",0,5152063,0,0,"",63064,"",""
"",3,shock_to_surprise,0,5152063,surprise_idle,131711,1,63065,0.2,""
"",3,empty,1,5152063,"",1,"",63066,0.2,""
"",3,doya_in_sad,0,5152063,doya_talk_sad,132011,1,63067,0.2,0
"",21,vo_rag_5009,0,5152063,0,vo_rag,"",63068,"",""
0,11,"これがアイドル…とても過酷だ\nところで…まだ他にも\n色々なタイソーがあるんだろう？",10,5152063,1,132011,1,63069,0,0
"",91,"",0,5152063,0,0,"",63070,"",""
