param_01,param_06,param_02,param_07,param_08,command_type,command_id,drama_id,param_05,param_03,param_04
1,1,1,"","",31,13510004,351,1,-850,-180
0,"",0,"","",91,13510005,351,"","",""
<unit_id>,"",1050,"","",2,13510006,351,"",-180,10
1,"",1050,"","",2,13510007,351,"",-180,10
1,"",1050,"","",33,13510008,351,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,13520001,352,"","",""
1,1.75,<unit_id>,0,cmn_swm_flutterKick_floatRing,1,13520002,352,-180,23,-850
1,1.75,1,0,cmn_swm_flutterKick_floatBoad_blue,5,13520003,352,-180,22,-850
1,1,1,"","",31,13520004,352,1,-850,-180
0,"",0,"","",91,13520005,352,"","",""
<unit_id>,"",1050,"","",2,13520006,352,"",-180,10
1,"",1050,"","",2,13520007,352,"",-180,10
1,"",1050,"","",33,13520008,352,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,14010001,401,"","",""
1,1.75,<unit_id>,0,cmn_float,1,14010002,401,-180,22,-850
6,1,6,"","",31,14010003,401,1,-850,-180
0,"",0,"","",91,14010004,401,"","",""
<unit_id>,"",1050,"","",2,14010005,401,"",-180,10
6,"",1050,"","",33,14010006,401,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,14020001,402,"","",""
1,1.75,<unit_id>,0,cmn_float_4,1,14020002,402,-180,22,-850
6,1,6,"","",31,14020003,402,1,-850,-180
0,"",0,"","",91,14020004,402,"","",""
<unit_id>,"",1050,"","",2,14020005,402,"",-180,10
6,"",1050,"","",33,14020006,402,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,14510001,451,"","",""
1,1.75,<unit_id>,0,cmn_crawl,1,14510002,451,-180,22,-850
1,1,1,"","",31,14510003,451,1,-850,-180
0,"",0,"","",91,14510004,451,"","",""
<unit_id>,"",1050,"","",2,14510005,451,"",-180,10
1,"",1050,"","",33,14510006,451,"",-180,10
se_10053800,"",se_fpc_water_random,"","",23,15010001,501,"","",""
1,1.75,<unit_id>,0,cmn_surfing,1,15010002,501,-250,45,-850
6,1.75,6,0,cmn_surfing,5,15010003,501,-250,44,-850
11,1,11,"","",31,15010004,501,1,-850,-250
0,"",0,"","",91,15010005,501,"","",""
<unit_id>,"",1800,"","",2,15010006,501,"",-250,6
6,"",1800,"","",2,15010007,501,"",-250,6
11,"",1800,"","",33,15010008,501,"",-250,6
se_10053800,"",se_10053800_surfing_wave,"","",23,15010009,501,"","",""
se_10053800,"",se_fpc_water_random,"","",23,18510001,851,"","",""
1,1.75,107511,0,cmn_surfing,1,18510002,851,-125,45,-850
1,1.75,107611,0,cmn_surfing,1,18510003,851,-250,45,-1100
1,1.75,107811,0,cmn_surfing,1,18510004,851,-125,45,-1350
6,1.75,1,0,cmn_surfing,5,18510005,851,-125,44,-850
6,1.75,2,0,cmn_surfing,5,18510006,851,-250,44,-1100
6,1.75,3,0,cmn_surfing,5,18510007,851,-125,44,-1350
11,1,1,"","",31,18510008,851,1,-850,-125
11,1,2,"","",31,18510009,851,1,-1100,-250
11,1,3,"","",31,18510010,851,1,-1350,-125
107511,"",2350,"","",2,18510011,851,"",-125,6
107611,"",2100,"","",2,18510012,851,"",-250,6
107811,"",1850,"","",2,18510013,851,"",-125,6
1,"",2350,"","",2,18510014,851,"",-125,6
2,"",2100,"","",2,18510015,851,"",-250,6
3,"",1850,"","",2,18510016,851,"",-125,6
1,"",2350,"","",33,18510017,851,"",-125,6
2,"",2100,"","",33,18510018,851,"",-250,6
3,"",1850,"","",33,18510019,851,"",-125,6
se_10053800,"",se_10053800_surfing_wave,"","",23,18510020,851,"","",""
0.3,"","","","",93,18510021,851,"","",""
vo_fpc,"",vo_fpc_85101,"","",21,18510022,851,"","",0
se_10053800,"",se_fpc_water_random,"","",23,18520001,852,"","",""
1,1.75,122411,0,cmn_swm_flutterKick_floatRing,1,18520002,852,-125,13,-850
1,1.75,122511,0,cmn_swm_flutterKick_floatRing,1,18520003,852,-250,33,-1100
1,1.75,122611,0,cmn_swm_flutterKick_floatRing,1,18520004,852,-125,13,-1350
1,1.75,1,0,cmn_swm_flutterKick_floatRing,5,18520005,852,-125,12,-850
1,1.75,2,0,cmn_swm_flutterKick_floatRing_blue,5,18520006,852,-250,32,-1100
1,1.75,3,0,cmn_swm_flutterKick_floatRing_pink,5,18520007,852,-125,12,-1350
7,1,1,"","",31,18520008,852,1,-850,-125
1,1,2,"","",31,18520009,852,1,-1100,-250
7,1,3,"","",31,18520010,852,1,-1350,-125
122411,"",1750,"","",2,18520011,852,"",-125,10
122511,"",1500,"","",2,18520012,852,"",-250,10
122611,"",1250,"","",2,18520013,852,"",-125,10
1,"",1750,"","",2,18520014,852,"",-125,10
2,"",1500,"","",2,18520015,852,"",-250,10
3,"",1250,"","",2,18520016,852,"",-125,10
1,"",1750,"","",33,18520017,852,"",-125,10
2,"",1500,"","",33,18520018,852,"",-250,10
3,"",1250,"","",33,18520019,852,"",-125,10
se_10053800,"",se_fpc_water_random,"","",23,18530001,853,"","",""
1,1.75,117211,0,cmn_swm_breastStroke,1,18530002,853,-125,12,-850
1,1.75,117311,0,cmn_swm_breastStroke,1,18530003,853,-250,32,-1100
1,1.75,117411,0,cmn_swm_breastStroke,1,18530004,853,-125,12,-1350
2,1,1,"","",31,18530005,853,1,-850,-125
2,1,2,"","",31,18530006,853,1,-1100,-250
2,1,3,"","",31,18530007,853,1,-1350,-125
117211,"",1750,"","",2,18530008,853,"",-125,10
117311,"",1500,"","",2,18530009,853,"",-250,10
117411,"",1250,"","",2,18530010,853,"",-125,10
1,"",1750,"","",33,18530011,853,"",-125,10
2,"",1500,"","",33,18530012,853,"",-250,10
3,"",1250,"","",33,18530013,853,"",-125,10
se_10053800,"",se_fpc_water_random,"","",23,18540001,854,"","",""
1,1.75,122711,0,cmn_swm_flutterKick_floatRing,1,18540002,854,-125,13,-850
1,1.75,122811,0,cmn_swm_flutterKick_floatRing,1,18540003,854,-250,33,-1100
1,1.75,122911,0,cmn_swm_flutterKick_floatRing,1,18540004,854,-125,13,-1350
1,1.75,1,0,cmn_swm_flutterKick_floatBoad,5,18540005,854,-125,12,-850
1,1.75,2,0,cmn_swm_flutterKick_floatBoad_blue,5,18540006,854,-250,32,-1100
1,1.75,3,0,cmn_swm_flutterKick_floatBoad,5,18540007,854,-125,12,-1350
7,1,1,"","",31,18540008,854,1,-850,-125
1,1,2,"","",31,18540009,854,1,-1100,-250
7,1,3,"","",31,18540010,854,1,-1350,-125
122711,"",1750,"","",2,18540011,854,"",-125,10
122811,"",1500,"","",2,18540012,854,"",-250,10
122911,"",1250,"","",2,18540013,854,"",-125,10
1,"",1750,"","",2,18540014,854,"",-125,10
2,"",1500,"","",2,18540015,854,"",-250,10
3,"",1250,"","",2,18540016,854,"",-125,10
1,"",1750,"","",33,18540017,854,"",-125,10
2,"",1500,"","",33,18540018,854,"",-250,10
3,"",1250,"","",33,18540019,854,"",-125,10
se_10053800,"",se_fpc_water_random,"","",23,18550001,855,"","",""
1,1.75,113411,0,cmn_swm_flutterKick_floatRing,1,18550002,855,-125,13,-850
1,1.75,113511,0,cmn_swm_flutterKick_floatRing,1,18550003,855,-250,33,-1100
1,1.75,1,0,cmn_swm_flutterKick_floatBoad,5,18550004,855,-125,12,-850
1,1.75,2,0,cmn_swm_flutterKick_floatBoad_blue,5,18550005,855,-250,32,-1100
7,1,1,"","",31,18550006,855,1,-850,-125
1,1,2,"","",31,18550007,855,1,-1100,-250
113411,"",1750,"","",2,18550008,855,"",-125,10
113511,"",1500,"","",2,18550009,855,"",-250,10
1,"",1750,"","",2,18550010,855,"",-125,10
2,"",1500,"","",2,18550011,855,"",-250,10
1,"",1750,"","",33,18550012,855,"",-125,10
2,"",1500,"","",33,18550013,855,"",-250,10
se_10053800,"",se_fpc_water_random,"","",23,18560001,856,"","",""
1,1.75,110311,0,cmn_swm_tread,1,18560002,856,-125,13,-850
1,1.75,107711,0,cmn_swm_tread,1,18560003,856,-250,33,-1100
1,1.75,1,0,cmn_swm_tread_pink,5,18560004,856,-125,12,-850
1,1.75,2,0,cmn_swm_tread,5,18560005,856,-250,32,-1100
13,1,1,"","",31,18560006,856,1,-850,-125
3,1,2,"","",31,18560007,856,1,-1100,-250
110311,"",1750,"","",2,18560008,856,"",-125,13.5
107711,"",1500,"","",2,18560009,856,"",-250,13.5
1,"",1750,"","",2,18560010,856,"",-125,13.5
2,"",1500,"","",2,18560011,856,"",-250,13.5
1,"",1750,"","",33,18560012,856,"",-125,13.5
2,"",1500,"","",33,18560013,856,"",-250,13.5
se_10053800,"",se_fpc_water_random,"","",23,18570001,857,"","",""
1,1.75,110411,0,cmn_swm_tread,1,18570002,857,-125,13,-850
1,1.75,110511,0,cmn_swm_tread,1,18570003,857,-250,33,-1100
1,1.75,115711,0,cmn_swm_tread,1,18570004,857,-125,13,-1350
1,1.75,110611,0,cmn_boat_relax,1,18570005,857,-250,33,-1600
1,1.75,1,0,cmn_swm_tread_blue,5,18570006,857,-125,12,-850
1,1.75,2,0,cmn_swm_tread,5,18570007,857,-250,32,-1100
1,1.75,3,0,cmn_swm_tread_pink,5,18570008,857,-125,12,-1350
2,1.75,4,0,cmn_boat_idle_l,5,18570009,857,-250,32,-1600
13,1,1,"","",31,18570010,857,1,-850,-125
3,1,2,"","",31,18570011,857,1,-1100,-250
13,1,3,"","",31,18570012,857,1,-1350,-125
116,1,4,"","",31,18570013,857,1,-1600,-250
110411,"",1750,"","",2,18570014,857,"",-125,13.5
110511,"",1500,"","",2,18570015,857,"",-250,13.5
115711,"",1250,"","",2,18570016,857,"",-125,13.5
110611,"",1000,"","",2,18570017,857,"",-250,13.5
1,"",1750,"","",2,18570018,857,"",-125,13.5
2,"",1500,"","",2,18570019,857,"",-250,13.5
3,"",1250,"","",2,18570020,857,"",-125,13.5
4,"",1000,"","",2,18570021,857,"",-250,13.5
1,"",1750,"","",33,18570022,857,"",-125,13.5
2,"",1500,"","",33,18570023,857,"",-250,13.5
3,"",1250,"","",33,18570024,857,"",-125,13.5
4,"",1000,"","",33,18570025,857,"",-250,13.5
se_10053800,"",se_fpc_water_random,"","",23,18580001,858,"","",""
1,1.75,126711,0,cmn_swm_tread,1,18580002,858,-125,13,-850
1,1.75,126711,0,cmn_swm_tread,1,18580003,858,-125,13,-850
1,1.75,126811,0,cmn_swm_tread,1,18580004,858,-250,33,-1100
1,1.75,108011,0,cmn_swm_tread,1,18580005,858,-125,13,-1350
1,1.75,107911,0,cmn_boat_cat,1,18580006,858,-250,33,-1600
1,1.75,1,0,cmn_swm_tread_pink,5,18580007,858,-125,12,-850
1,1.75,2,0,cmn_swm_tread,5,18580008,858,-250,32,-1100
1,1.75,3,0,cmn_swm_tread_blue,5,18580009,858,-125,12,-1350
2,1.75,4,0,cmn_boat_idle_l,5,18580010,858,-250,32,-1600
13,1,1,"","",31,18580011,858,1,-850,-125
3,1,2,"","",31,18580012,858,1,-1100,-250
13,1,3,"","",31,18580013,858,1,-1350,-125
116,1,4,"","",31,18580014,858,1,-1600,-250
126711,"",1750,"","",2,18580015,858,"",-125,13.5
126811,"",1500,"","",2,18580016,858,"",-250,13.5
108011,"",1250,"","",2,18580017,858,"",-125,13.5
107911,"",1000,"","",2,18580018,858,"",-250,13.5
1,"",1750,"","",2,18580019,858,"",-125,13.5
2,"",1500,"","",2,18580020,858,"",-250,13.5
3,"",1250,"","",2,18580021,858,"",-125,13.5
4,"",1000,"","",2,18580022,858,"",-250,13.5
1,"",1750,"","",33,18580023,858,"",-125,13.5
2,"",1500,"","",33,18580024,858,"",-250,13.5
3,"",1250,"","",33,18580025,858,"",-125,13.5
4,"",1000,"","",33,18580026,858,"",-250,13.5
se_10053800,"",se_fpc_water_random,"","",23,18590001,859,"","",""
1,1.75,113111,0,cmn_surfing,1,18590002,859,-125,45,-850
1,1.75,113211,0,cmn_surfing,1,18590003,859,-250,45,-1100
1,1.75,113311,0,cmn_surfing,1,18590004,859,-125,45,-1350
1,1.75,117011,0,cmn_surfing,1,18590005,859,-250,45,-1600
6,1.75,1,0,cmn_surfing,5,18590006,859,-125,44,-850
6,1.75,2,0,cmn_surfing,5,18590007,859,-250,44,-1100
6,1.75,3,0,cmn_surfing,5,18590008,859,-125,44,-1350
6,1.75,4,0,cmn_surfing,5,18590009,859,-250,44,-1600
11,1,1,"","",31,18590010,859,1,-850,-125
11,1,2,"","",31,18590011,859,1,-1100,-250
11,1,3,"","",31,18590012,859,1,-1350,-125
11,1,4,"","",31,18590013,859,1,-1600,-250
113111,"",2350,"","",2,18590014,859,"",-125,6
113211,"",2100,"","",2,18590015,859,"",-250,6
113311,"",1850,"","",2,18590016,859,"",-125,6
117011,"",1600,"","",2,18590017,859,"",-250,6
1,"",2350,"","",2,18590018,859,"",-125,6
2,"",2100,"","",2,18590019,859,"",-250,6
3,"",1850,"","",2,18590020,859,"",-125,6
4,"",1600,"","",2,18590021,859,"",-250,6
1,"",2350,"","",33,18590022,859,"",-125,6
2,"",2100,"","",33,18590023,859,"",-250,6
3,"",1850,"","",33,18590024,859,"",-125,6
4,"",1600,"","",33,18590025,859,"",-250,6
se_10053800,"",se_10053800_surfing_wave,"","",23,18590026,859,"","",""
0.3,"","","","",93,18590027,859,"","",""
vo_fpc,"",vo_fpc_85901,"","",21,18590028,859,"","",0
se_10053800,"",se_fpc_water_random,"","",23,18600001,860,"","",""
1,1.75,110011,0,cmn_boat_relax_l,1,18600002,860,-180,23,-850
1,1.75,110111,0,cmn_boat_relax,1,18600003,860,-180,23,-1200
2,1.75,1,0,cmn_boat_idle_blue,5,18600004,860,-180,22,-850
2,1.75,2,0,cmn_boat_idle_l,5,18600005,860,-180,22,-1200
116,1,1,"","",31,18600006,860,1,-850,-180
116,1,2,"","",31,18600007,860,1,-1200,-180
110011,"",1750,"","",2,18600008,860,"",-180,13.5
110111,"",1400,"","",2,18600009,860,"",-180,13.5
1,"",1750,"","",2,18600010,860,"",-180,13.5
2,"",1400,"","",2,18600011,860,"",-180,13.5
1,"",1750,"","",33,18600012,860,"",-180,13.5
2,"",1400,"","",33,18600013,860,"",-180,13.5
2.7,"","","","",93,18600014,860,"","",""
vo_fpc,"",vo_fpc_86001,"","",21,18600015,860,"","",0
se_10053800,"",se_fpc_water_random,"","",23,18610001,861,"","",""
1,1.75,129511,0,cmn_swm_tread,1,18610002,861,-125,13,-850
1,1.75,129411,0,cmn_swm_tread,1,18610003,861,-250,33,-1100
1,1.75,129311,0,cmn_swm_tread,1,18610004,861,-125,13,-1350
1,1.75,1,0,cmn_swm_tread_pink,5,18610005,861,-125,12,-850
1,1.75,2,0,cmn_swm_tread_blue,5,18610006,861,-250,32,-1100
1,1.75,3,0,cmn_swm_tread,5,18610007,861,-125,12,-1350
13,1,1,"","",31,18610008,861,1,-850,-125
3,1,2,"","",31,18610009,861,1,-1100,-250
13,1,3,"","",31,18610010,861,1,-1350,-125
129511,"",1750,"","",2,18610011,861,"",-125,13.5
129411,"",1500,"","",2,18610012,861,"",-250,13.5
129311,"",1250,"","",2,18610013,861,"",-125,13.5
1,"",1750,"","",2,18610014,861,"",-125,13.5
2,"",1500,"","",2,18610015,861,"",-250,13.5
3,"",1250,"","",2,18610016,861,"",-125,13.5
1,"",1750,"","",33,18610017,861,"",-125,13.5
2,"",1500,"","",33,18610018,861,"",-250,13.5
3,"",1250,"","",33,18610019,861,"",-125,13.5
se_10053800,"",se_fpc_water_random,"","",23,18620001,862,"","",""
1,1.75,126711,0,cmn_swm_tread,1,18620002,862,-125,13,-850
1,1.75,126811,0,cmn_swm_tread,1,18620003,862,-250,33,-1100
21,1.66,21,0,02_neneka_floatRing,5,18620004,862,-180,22,-1350
1,1.75,1,0,cmn_swm_tread,5,18620005,862,-125,12,-850
1,1.75,2,0,cmn_swm_tread_blue,5,18620006,862,-250,32,-1100
13,1,1,"","",31,18620007,862,1,-850,-125
3,1,2,"","",31,18620008,862,1,-1100,-250
102,1,3,"","",31,18620009,862,1,-1350,-180
126711,"",1750,"","",2,18620010,862,"",-125,13.5
126811,"",1500,"","",2,18620011,862,"",-250,13.5
21,"",1250,"","",2,18620012,862,"",-180,13.5
1,"",1750,"","",2,18620013,862,"",-125,13.5
2,"",1500,"","",2,18620014,862,"",-250,13.5
1,"",1750,"","",33,18620015,862,"",-125,13.5
2,"",1500,"","",33,18620016,862,"",-250,13.5
3,"",1250,"","",33,18620017,862,"",-180,13.5
se_10053800,"",se_fpc_water_random,"","",23,18630001,863,"","",""
1,1.75,126911,1,cmn_float,1,18630002,863,-180,22,-1100
1,1.75,127011,0,cmn_float,1,18630003,863,-125,12,-1350
1,1.75,127111,0,cmn_float,1,18630004,863,-180,22,-1600
6,1,2,"","",31,18630005,863,1,-1070,-180
6,1,3,"","",31,18630006,863,1,-1350,-125
6,1,4,"","",31,18630007,863,1,-1600,-180
126911,"",1500,"","",2,18630008,863,"",-180,13.5
127011,"",1250,"","",2,18630009,863,"",-125,13.5
127111,"",1000,"","",2,18630010,863,"",-180,13.5
2,"",1530,"","",33,18630011,863,"",-180,13.5
3,"",1250,"","",33,18630012,863,"",-125,13.5
4,"",1000,"","",33,18630013,863,"",-180,13.5
2.3,"","","","",93,18630014,863,"","",""
vo_fpc,"",vo_fpc_86301,"","",21,18630015,863,"","",0
se_10053800,"",se_fpc_water_random,"","",23,18640001,864,"","",""
1,1.75,107811,0,cmn_surfing,1,18640002,864,-125,45,-850
1,1.75,110011,0,cmn_surfing,1,18640003,864,-250,45,-1100
6,1.75,1,0,cmn_surfing,5,18640004,864,-125,44,-850
6,1.75,2,0,cmn_surfing,5,18640005,864,-250,44,-1100
11,1,1,"","",31,18640006,864,1,-850,-125
11,1,2,"","",31,18640007,864,1,-1100,-250
107811,"",2350,"","",2,18640008,864,"",-125,6
110011,"",2100,"","",2,18640009,864,"",-250,6
1,"",2350,"","",2,18640010,864,"",-125,6
2,"",2100,"","",2,18640011,864,"",-250,6
1,"",2350,"","",33,18640012,864,"",-125,6
2,"",2100,"","",33,18640013,864,"",-250,6
se_10053800,"",se_10053800_surfing_wave,"","",23,18640014,864,"","",""
0.2,"","","","",93,18640015,864,"","",""
vo_fpc,"",vo_fpc_86401,"","",21,18640016,864,"","",0
se_10053800,"",se_fpc_water_random,"","",23,18650001,865,"","",""
1,1.75,110311,0,cmn_swm_flutterKick_floatRing,1,18650002,865,-125,13,-850
1,1.75,113111,0,cmn_swm_flutterKick_floatRing,1,18650003,865,-250,33,-1100
1,1.75,1,0,cmn_swm_flutterKick_floatRing_pink,5,18650004,865,-125,12,-850
1,1.75,2,0,cmn_swm_flutterKick_floatRing_blue,5,18650005,865,-250,32,-1100
7,1,1,"","",31,18650006,865,1,-850,-125
1,1,2,"","",31,18650007,865,1,-1100,-250
110311,"",1750,"","",2,18650008,865,"",-125,10
113111,"",1500,"","",2,18650009,865,"",-250,10
1,"",1750,"","",2,18650010,865,"",-125,10
2,"",1500,"","",2,18650011,865,"",-250,10
1,"",1750,"","",33,18650012,865,"",-125,10
2,"",1500,"","",33,18650013,865,"",-250,10
se_10053800,"",se_fpc_water_random,"","",23,18660001,866,"","",""
1,1.75,113411,0,cmn_swm_flutterKick_floatRing,1,18660002,866,-125,13,-850
1,1.75,115711,0,cmn_swm_flutterKick_floatRing,1,18660003,866,-250,33,-1100
1,1.75,1,0,cmn_swm_flutterKick_floatRing_pink,5,18660004,866,-125,12,-850
1,1.75,2,0,cmn_swm_flutterKick_floatRing_blue,5,18660005,866,-250,32,-1100
7,1,1,"","",31,18660006,866,1,-850,-125
1,1,2,"","",31,18660007,866,1,-1100,-250
113411,"",1750,"","",2,18660008,866,"",-125,10
115711,"",1500,"","",2,18660009,866,"",-250,10
1,"",1750,"","",2,18660010,866,"",-125,10
2,"",1500,"","",2,18660011,866,"",-250,10
1,"",1750,"","",33,18660012,866,"",-125,10
2,"",1500,"","",33,18660013,866,"",-250,10
se_10053800,"",se_fpc_water_random,"","",23,18670001,867,"","",""
1,1.75,113211,0,cmn_swm_tread,1,18670002,867,-125,13,-850
1,1.75,127111,0,cmn_swm_tread,1,18670003,867,-250,33,-1100
1,1.75,1,0,cmn_swm_tread_pink,5,18670004,867,-125,12,-850
1,1.75,2,0,cmn_swm_tread_blue,5,18670005,867,-250,32,-1100
13,1,1,"","",31,18670006,867,1,-850,-125
3,1,2,"","",31,18670007,867,1,-1100,-250
113211,"",1750,"","",2,18670008,867,"",-125,13.5
127111,"",1500,"","",2,18670009,867,"",-250,13.5
1,"",1750,"","",2,18670010,867,"",-125,13.5
2,"",1500,"","",2,18670011,867,"",-250,13.5
1,"",1750,"","",33,18670012,867,"",-125,13.5
2,"",1500,"","",33,18670013,867,"",-250,13.5
se_10053800,"",se_fpc_water_random,"","",23,18680001,868,"","",""
1,1.75,117011,0,cmn_swm_diving,1,18680002,868,-125,12,-850
1,1.75,117111,0,cmn_swm_diving,1,18680003,868,-180,22,-1100
9,1,1,"","",31,18680004,868,1,-850,-125
9,1,2,"","",31,18680005,868,1,-1100,-180
117011,"",1750,"","",2,18680006,868,"",-125,13.5
117111,"",1500,"","",2,18680007,868,"",-180,13.5
1,"",1750,"","",33,18680008,868,"",-125,13.5
2,"",1500,"","",33,18680009,868,"",-180,13.5
se_10053800,"",se_fpc_water_random,"","",23,18690001,869,"","",""
1,1.75,110511,0,cmn_swm_flutterKick_floatRing,1,18690002,869,-125,13,-850
1,1.75,110011,0,cmn_swm_flutterKick_floatRing,1,18690003,869,-250,33,-1100
1,1.75,1,0,cmn_swm_flutterKick_floatBoad,5,18690004,869,-125,12,-850
1,1.75,2,0,cmn_swm_flutterKick_floatBoad_blue,5,18690005,869,-250,32,-1100
7,1,1,"","",31,18690006,869,1,-850,-125
1,1,2,"","",31,18690007,869,1,-1100,-250
110511,"",1750,"","",2,18690008,869,"",-125,10
110011,"",1500,"","",2,18690009,869,"",-250,10
1,"",1750,"","",2,18690010,869,"",-125,10
2,"",1500,"","",2,18690011,869,"",-250,10
1,"",1750,"","",33,18690012,869,"",-125,10
2,"",1500,"","",33,18690013,869,"",-250,10
se_10053800,"",se_fpc_water_random,"","",23,18700001,870,"","",""
1,1.75,110111,1,cmn_float,1,18700002,870,-180,22,-1100
1,1.75,117111,0,cmn_float,1,18700003,870,-125,12,-1350
1,1.75,127011,0,cmn_float,1,18700004,870,-180,22,-1600
6,1,2,"","",31,18700005,870,1,-1070,-180
6,1,3,"","",31,18700006,870,1,-1350,-125
6,1,4,"","",31,18700007,870,1,-1600,-180
110111,"",1500,"","",2,18700008,870,"",-180,13.5
117111,"",1250,"","",2,18700009,870,"",-125,13.5
127011,"",1000,"","",2,18700010,870,"",-180,13.5
2,"",1530,"","",33,18700011,870,"",-180,13.5
3,"",1250,"","",33,18700012,870,"",-125,13.5
4,"",1000,"","",33,18700013,870,"",-180,13.5
2.7,"","","","",93,18700014,870,"","",""
vo_fpc,"",vo_fpc_87001,"","",21,18700015,870,"","",0
se_10053800,"",se_fpc_water_random,"","",23,18710001,871,"","",""
1,1.75,122511,0,cmn_swm_breastStroke,1,18710002,871,-125,12,-850
1,1.75,117411,0,cmn_swm_breastStroke,1,18710003,871,-250,32,-1100
2,1,1,"","",31,18710004,871,1,-850,-125
2,1,2,"","",31,18710005,871,1,-1100,-250
122511,"",1750,"","",2,18710006,871,"",-125,10
117411,"",1500,"","",2,18710007,871,"",-250,10
1,"",1750,"","",33,18710008,871,"",-125,10
