quest_detail_monster_height,background,wave_bgm_sheet,reward_image_2,quest_detail_monster_size,reward_image_3,reward_image_1,quest_detail_bg_id,wave_bgm,result_position_y,reward_image_5,reward_image_4,position,quest_detail_bg_position,boss_id
-90,100198,bgm_MC170,0,1.45,0,94002,100198,bgm_MC170,140,0,0,2,-30,92411210
-90,100198,bgm_MC170,0,1.45,0,94002,100198,bgm_MC170,140,0,0,2,-30,92411220
-90,100198,bgm_MC170,0,1.45,0,94002,100198,bgm_MC170,140,0,0,2,-30,92411230
-90,100198,bgm_MC170,0,1.45,0,94002,100198,bgm_MC170,140,0,0,2,-30,92411240
-30,100198,bgm_MC170,0,1.1,0,94002,100198,bgm_MC170,40,0,0,3,-30,92411310
-30,100198,bgm_MC170,0,1.1,0,94002,100198,bgm_MC170,40,0,0,3,-30,92411320
-30,100198,bgm_MC170,0,1.1,0,94002,100198,bgm_MC170,40,0,0,3,-30,92411330
-30,100198,bgm_MC170,0,1.1,0,94002,100198,bgm_MC170,40,0,0,3,-30,92411340
-210,101621,bgm_MC170,0,1.0,0,94002,101621,bgm_MC170,210,0,0,1,-30,92412110
-210,101621,bgm_MC170,0,1.0,0,94002,101621,bgm_MC170,210,0,0,1,-30,92412120
-210,101621,bgm_MC170,0,1.0,0,94002,101621,bgm_MC170,210,0,0,1,-30,92412130
-210,101621,bgm_MC170,0,1.0,0,94002,101621,bgm_MC170,210,0,0,1,-30,92412140
-90,101621,bgm_MC170,0,1.45,0,94002,101621,bgm_MC170,140,0,0,2,-30,92412210
-90,101621,bgm_MC170,0,1.45,0,94002,101621,bgm_MC170,140,0,0,2,-30,92412220
-90,101621,bgm_MC170,0,1.45,0,94002,101621,bgm_MC170,140,0,0,2,-30,92412230
-90,101621,bgm_MC170,0,1.45,0,94002,101621,bgm_MC170,140,0,0,2,-30,92412240
-30,101621,bgm_MC170,0,1.1,0,94002,101621,bgm_MC170,180,0,0,3,-30,92412310
-30,101621,bgm_MC170,0,1.1,0,94002,101621,bgm_MC170,180,0,0,3,-30,92412320
-30,101621,bgm_MC170,0,1.1,0,94002,101621,bgm_MC170,180,0,0,3,-30,92412330
-30,101621,bgm_MC170,0,1.1,0,94002,101621,bgm_MC170,180,0,0,3,-30,92412340
-60,101822,bgm_MC170,0,1.4,0,94002,101822,bgm_MC170,60,0,0,1,-30,92414110
-60,101822,bgm_MC170,0,1.4,0,94002,101822,bgm_MC170,60,0,0,1,-30,92414120
-60,101822,bgm_MC170,0,1.4,0,94002,101822,bgm_MC170,60,0,0,1,-30,92414130
-60,101822,bgm_MC170,0,1.4,0,94002,101822,bgm_MC170,60,0,0,1,-30,92414140
-330,101822,bgm_MC170,0,1.0,0,94002,101822,bgm_MC170,150,0,0,2,-30,92414210
-330,101822,bgm_MC170,0,1.0,0,94002,101822,bgm_MC170,150,0,0,2,-30,92414220
-330,101822,bgm_MC170,0,1.0,0,94002,101822,bgm_MC170,150,0,0,2,-30,92414230
-330,101822,bgm_MC170,0,1.0,0,94002,101822,bgm_MC170,150,0,0,2,-30,92414240
0,101822,bgm_MC170,0,1.2,0,94002,101822,bgm_MC170,100,0,0,3,-30,92414310
0,101822,bgm_MC170,0,1.2,0,94002,101822,bgm_MC170,100,0,0,3,-30,92414320
0,101822,bgm_MC170,0,1.2,0,94002,101822,bgm_MC170,100,0,0,3,-30,92414330
0,101822,bgm_MC170,0,1.2,0,94002,101822,bgm_MC170,100,0,0,3,-30,92414340
-210,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,90,0,0,1,-30,92501110
-210,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,90,0,0,1,-30,92501120
-210,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,90,0,0,1,-30,92501130
-210,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,90,0,0,1,-30,92501140
-240,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,210,0,0,2,-30,92501210
-240,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,210,0,0,2,-30,92501220
-240,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,210,0,0,2,-30,92501230
-240,101191,bgm_MC170,0,1.0,0,94002,101191,bgm_MC170,210,0,0,2,-30,92501240
-90,101191,bgm_MC170,0,1.1,0,94002,101191,bgm_MC170,250,0,0,3,-30,92501310
-90,101191,bgm_MC170,0,1.1,0,94002,101191,bgm_MC170,250,0,0,3,-30,92501320
-90,101191,bgm_MC170,0,1.1,0,94002,101191,bgm_MC170,250,0,0,3,-30,92501330
-90,101191,bgm_MC170,0,1.1,0,94002,101191,bgm_MC170,250,0,0,3,-30,92501340
