icon_id,target_type,text_id,skill_id,enemy_id,sre_battle_effect_id
101,0,107,2145063,803100256,300223
112,1,208,2145064,803100256,300224
110,1,212,2145065,803100256,300225
102,0,105,2145066,803100256,300226
103,0,106,2145067,803100256,300227
101,0,107,2145068,803100256,300228
100,0,104,2145071,803100257,300301
101,0,107,2145072,803100257,300302
101,0,107,2145073,803100257,300303
113,1,202,2145074,803100257,300304
114,1,203,2145075,803100257,300305
100,0,104,2145076,803100257,300306
101,0,107,2145077,803100257,300307
111,1,204,2145078,803100257,300308
112,1,205,2145079,803100257,300309
100,0,104,2145080,803100257,300310
101,0,107,2145081,803100258,300311
101,0,107,2145082,803100258,300312
113,1,202,2145083,803100258,300313
114,1,203,2145084,803100258,300314
100,0,104,2145085,803100258,300315
101,0,107,2145086,803100258,300316
111,1,204,2145087,803100258,300317
112,1,205,2145088,803100258,300318
100,0,104,2145089,803100258,300319
101,0,107,2145090,803100258,300320
100,0,104,2145091,803100259,300321
101,0,107,2145092,803100259,300322
113,1,202,2145093,803100259,300323
112,1,208,2145094,803100259,300324
100,0,104,2145095,803100259,300325
101,0,107,2145096,803100259,300326
111,1,204,2145097,803100259,300327
112,1,205,2145098,803100259,300328
102,0,105,2146011,803100260,300401
102,0,105,2146012,803100260,300402
113,1,202,2146013,803100260,300403
114,1,203,2146014,803100260,300404
102,0,105,2146015,803100260,300405
113,1,202,2146016,803100260,300406
114,1,203,2146017,803100260,300407
102,0,105,2146018,803100260,300408
102,0,105,2146019,803100260,300409
102,0,105,2146020,803100260,300410
102,0,105,2146021,803100261,300411
113,1,202,2146022,803100261,300412
114,1,203,2146023,803100261,300413
102,0,105,2146024,803100261,300414
113,1,202,2146025,803100261,300415
114,1,203,2146026,803100261,300416
102,0,105,2146027,803100261,300417
102,0,105,2146028,803100261,300418
113,1,202,2146029,803100261,300419
113,1,202,2146030,803100261,300420
113,1,202,2146031,803100262,300421
114,1,203,2146032,803100262,300422
102,0,105,2146033,803100262,300423
112,1,208,2146034,803100262,300424
110,1,212,2146035,803100262,300425
113,1,202,2146036,803100262,300426
113,1,202,2146037,803100262,300427
102,0,105,2146038,803100262,300428
100,0,104,2146051,803100264,300501
100,0,104,2146052,803100264,300502
100,0,104,2146053,803100264,300503
100,0,104,2146054,803100264,300504
102,0,105,2146055,803100264,300505
103,0,106,2146056,803100264,300506
100,0,104,2146057,803100264,300507
100,0,104,2146058,803100264,300508
102,0,105,2146059,803100264,300509
103,0,106,2146060,803100264,300510
100,0,104,2146061,803100265,300511
100,0,104,2146062,803100265,300512
100,0,104,2146063,803100265,300513
100,0,104,2146064,803100265,300514
102,0,105,2146065,803100265,300515
103,0,106,2146066,803100265,300516
100,0,104,2146067,803100265,300517
100,0,104,2146068,803100265,300518
102,0,105,2146069,803100265,300519
103,0,106,2146070,803100265,300520
100,0,104,2146071,803100266,300521
100,0,104,2146072,803100266,300522
113,1,202,2146073,803100266,300523
114,1,203,2146074,803100266,300524
100,0,104,2146075,803100266,300525
112,1,208,2146076,803100266,300526
110,1,212,2146077,803100266,300527
113,1,202,2146078,803100266,300528
114,1,203,2146079,803100266,300529
100,0,104,2146080,803100266,300530
114,1,203,2146091,803100268,300601
113,1,202,2146092,803100268,300602
102,0,105,2146093,803100268,300603
114,1,203,2146094,803100268,300604
103,0,106,2146095,803100268,300605
114,1,203,2146096,803100268,300606
111,1,204,2146097,803100268,300607
114,1,203,2146098,803100268,300608
113,1,202,2146099,803100268,300609
102,0,105,2146100,803100268,300610
114,1,203,2147011,803100269,300611
103,0,106,2147012,803100269,300612
114,1,203,2147013,803100269,300613
111,1,204,2147014,803100269,300614
110,1,212,2147015,803100269,300615
114,1,203,2147016,803100269,300616
102,0,105,2147017,803100269,300617
103,0,106,2147018,803100269,300618
111,1,204,2147021,803100270,300701
100,0,104,2147022,803100270,300702
101,0,107,2147023,803100270,300703
113,1,202,2147024,803100270,300704
114,1,203,2147025,803100270,300705
102,0,105,2147026,803100270,300706
112,1,205,2147027,803100270,300707
111,1,204,2147028,803100270,300708
100,0,104,2147029,803100270,300709
101,0,107,2147030,803100270,300710
113,1,202,2147031,803100271,300711
114,1,203,2147032,803100271,300712
102,0,105,2147033,803100271,300713
112,1,205,2147034,803100271,300714
107,0,110,2147035,803100271,300715
111,1,204,2147036,803100271,300716
100,0,104,2147037,803100271,300717
101,0,107,2147038,803100271,300718
