enemy_image_3,wave_bgm_que_id_1,wave_bgm_sheet_id_2,enemy_image_2,story_id_wavestart_2,background_3,wave_group_id_3,wave_bgm_que_id_2,enemy_image_1,enemy_image_5,quest_id,story_id_wavestart_1,story_id_waveend_2,story_id_wavestart_3,wave_bgm_que_id_3,story_id_waveend_1,auto_restrict_type,story_id_waveend_3,wave_bgm_sheet_id_1,wave_group_id_1,enemy_image_4,wave_group_id_2,background_2,wave_bgm_sheet_id_3,background_1,limit_time
105690603,bgm_MC086,"",105690602,0,0,0,"",105690601,0,15069006,0,0,0,"",0,1,0,bgm_MC086,150690061,105690604,0,0,"",103331,90
105700103,bgm_MC086,"",105700102,0,0,0,"",105700101,105700105,15070001,0,0,0,"",0,1,0,bgm_MC086,150700011,105700104,0,0,"",103361,90
105700203,bgm_MC086,"",105700202,0,0,0,"",105700201,105700205,15070002,0,0,0,"",0,1,0,bgm_MC086,150700021,105700204,0,0,"",103361,90
105700303,bgm_MC086,"",105700302,0,0,0,"",105700301,0,15070003,0,0,0,"",0,1,0,bgm_MC086,150700031,0,0,0,"",103331,90
105700403,bgm_MC086,"",105700402,0,0,0,"",105700401,105700405,15070004,0,0,0,"",0,1,0,bgm_MC086,150700041,105700404,0,0,"",103331,90
105700503,bgm_MC086,"",105700502,0,0,0,"",105700501,105700505,15070005,0,0,0,"",0,1,0,bgm_MC086,150700051,105700504,0,0,"",103331,90
105700603,bgm_MC086,"",105700602,0,0,0,"",105700601,0,15070006,0,0,0,"",0,1,0,bgm_MC086,150700061,105700604,0,0,"",103331,90
105710103,bgm_MC086,"",105710102,0,0,0,"",105710101,105710105,15071001,0,0,0,"",0,1,0,bgm_MC086,150710011,105710104,0,0,"",103331,90
105710203,bgm_MC086,"",105710202,0,0,0,"",105710201,105710205,15071002,0,0,0,"",0,1,0,bgm_MC086,150710021,105710204,0,0,"",103361,90
105710303,bgm_MC086,"",105710302,0,0,0,"",105710301,0,15071003,0,0,0,"",0,1,0,bgm_MC086,150710031,0,0,0,"",103361,90
105710403,bgm_MC086,"",105710402,0,0,0,"",105710401,105710405,15071004,0,0,0,"",0,1,0,bgm_MC086,150710041,105710404,0,0,"",103361,90
105710503,bgm_MC086,"",105710502,0,0,0,"",105710501,105710505,15071005,0,0,0,"",0,1,0,bgm_MC086,150710051,105710504,0,0,"",103361,90
105710603,bgm_MC086,"",105710602,0,0,0,"",105710601,0,15071006,0,0,0,"",0,1,0,bgm_MC086,150710061,105710604,0,0,"",103361,90
105720103,bgm_MC086,"",105720102,0,0,0,"",105720101,105720105,15072001,0,0,0,"",0,1,0,bgm_MC086,150720011,105720104,0,0,"",103331,90
105720203,bgm_MC086,"",105720202,0,0,0,"",105720201,105720205,15072002,0,0,0,"",0,1,0,bgm_MC086,150720021,105720204,0,0,"",103361,90
105720303,bgm_MC086,"",105720302,0,0,0,"",105720301,0,15072003,0,0,0,"",0,1,0,bgm_MC086,150720031,105720304,0,0,"",103331,90
105720403,bgm_MC086,"",105720402,0,0,0,"",105720401,105720405,15072004,0,0,0,"",0,1,0,bgm_MC086,150720041,105720404,0,0,"",103361,90
105720503,bgm_MC086,"",105720502,0,0,0,"",105720501,105720505,15072005,0,0,0,"",0,1,0,bgm_MC086,150720051,105720504,0,0,"",103361,90
105720603,bgm_MC086,"",105720602,0,0,0,"",105720601,0,15072006,0,0,0,"",0,1,0,bgm_MC086,150720061,105720604,0,0,"",103331,90
105730103,bgm_MC202,"",105730102,0,0,0,"",105730101,105730105,15073001,0,0,0,"",0,1,0,bgm_MC202,150730011,105730104,0,0,"",103581,90
105730203,bgm_MC202,"",105730202,0,0,0,"",105730201,105730205,15073002,0,0,0,"",0,1,0,bgm_MC202,150730021,105730204,0,0,"",103601,90
105730303,bgm_MC202,"",105730302,0,0,0,"",105730301,0,15073003,0,0,0,"",0,1,0,bgm_MC202,150730031,0,0,0,"",103581,90
105730403,bgm_MC202,"",105730402,0,0,0,"",105730401,105730405,15073004,0,0,0,"",0,1,0,bgm_MC202,150730041,105730404,0,0,"",103581,90
105730503,bgm_MC202,"",105730502,0,0,0,"",105730501,105730505,15073005,0,0,0,"",0,1,0,bgm_MC202,150730051,105730504,0,0,"",103602,90
105740103,bgm_MC202,"",105740102,0,0,0,"",105740101,105740105,15074001,0,0,0,"",0,1,0,bgm_MC202,150740011,105740104,0,0,"",103601,90
105740203,bgm_MC202,"",105740202,0,0,0,"",105740201,105740205,15074002,0,0,0,"",0,1,0,bgm_MC202,150740021,105740204,0,0,"",103601,90
105740303,bgm_MC202,"",105740302,0,0,0,"",105740301,0,15074003,0,0,0,"",0,1,0,bgm_MC202,150740031,0,0,0,"",103581,90
0,0,"",0,0,0,0,"",0,0,15074004,0,0,0,"",0,1,0,0,0,0,0,0,"",0,90
0,0,"",0,0,0,0,"",0,0,15074005,0,0,0,"",0,1,0,0,0,0,0,0,"",0,90
