choice_4,image_id_2,image_id_4,is_correct_4,choice_2,asm_id,is_correct_2,is_correct_1,is_correct_3,choice_1,image_id_3,choice_3,image_id_1
"일본원숭이",0,0,0,"도롱뇽",3230008,1,1,0,"악어",0,"돌고래",0
"부엉이",0,0,0,"박쥐",3230010,1,1,0,"하늘다람쥐",0,"콘도르",0
"타조",0,0,0,"돌고래",3230011,1,1,0,"날다람쥐",0,"펭귄",0
"달팽이",0,0,1,"불배 도롱뇽",3230012,1,0,1,"도마뱀붙이",0,"박쥐",0
"엉덩이",0,0,0,"가슴",3230013,1,1,1,"머리",0,"배",0
"참새",0,0,0,"큰고니",3230014,1,1,1,"제비",0,"재두루미",0
"사람",0,0,0,"거북이",3230016,1,1,0,"뱀",0,"박쥐",0
"캬루",0,0,0,"셰피",3231001,1,1,0,"콧코로",0,"페코린느",0
"라비리스타",0,0,0,"레이",3231002,1,1,1,"콧코로",0,"호마레",0
3,0,0,0,4,3310001,1,1,0,2,0,1,0
"금",0,0,0,"알루미늄",3310003,1,1,0,"은",0,"동",0
"패럿",0,0,0,"척",3310005,1,1,1,"미터",0,"인치",0
"히로인",0,0,0,"코사인",3310006,1,1,1,"사인",0,"탄젠트",0
"부채꼴",0,0,0,"마름모꼴",3310007,1,1,1,"정방형",0,"장방형",0
112,0,0,0,215,3310008,1,1,0,405,0,827,0
A,0,0,0,E,3310009,1,1,1,L,0,D,0
"은",0,0,1,"알루미늄",3310010,1,0,1,"철",0,"금",0
"질산",0,0,0,"수산화나트륨 수용액",3310012,1,1,0,"비눗물",0,"증류수",0
"분홍색",0,0,0,"남색",3310013,1,1,1,"빨간색",0,"초록색",0
3,0,0,0,5,3310014,1,1,0,6,0,4,0
12:8,0,0,0,4:1,3310015,0,1,1,10:6,0,15:9,0
"캐슬 오브 파르페",0,0,0,"오마",3311001,1,1,1,"솔의 탑",0,"랜드솔",0
"오마",0,0,0,"캐슬 오브 파르페",3311002,1,1,0,"FUN FUN FARM",0,"솔의 탑",0
"행운",0,0,0,"적란운",3320001,1,1,1,"권적운",0,"비늘구름",0
"안타레스",0,0,0,"알타이르",3320002,1,1,1,"데네브",0,"베가",0
"교점",0,0,0,"힘점",3320003,1,1,1,"받침점",0,"작용점",0
"반사",0,0,0,"대류",3320004,1,1,1,"전도",0,"방사",0
1111,0,0,0,11111,3320005,0,1,1,111,0,111111,0
"노랑",0,0,0,"파랑",3320007,1,1,1,"빨강",0,"초록",0
"명왕성",0,0,0,"천왕성",3320008,1,1,1,"지구",0,"해왕성",0
"큰개자리",0,0,0,"독수리자리",3320010,1,1,0,"백조자리",0,"작은개자리",0
"암모니아수",0,0,0,"염산",3320011,1,1,0,"레몬즙",0,"소금물",0
"이산화탄소",0,0,0,"브로민",3320014,1,1,0,"염소",0,"산소",0
"찌르는 냄새가 있다",0,0,0,"가장 가벼운 기체다",3320015,1,1,0,"산소와 섞어서 태우면 소리가 난다",0,"물빛이다",0
0,0,0,0,2,3320016,1,1,0,3,0,1,0
"왕궁기사단",0,0,0,"루센트 학원",3321001,1,1,0,"리틀 리리컬",0,"메르쿠리우스 재단",0
"보온 효과",0,0,0,"목・코의 보습 효과",3321002,1,1,0,"청량 효과",0,"피부 미용 효과",0
"염소자리",0,0,0,"늑대자리",3330001,1,1,1,"큰개자리",0,"큰곰자리",0
"시리우스",0,0,0,"리겔",3330002,1,1,0,"베텔기우스",0,"알타이르",0
"섬록암",0,0,0,"현무암",3330003,1,1,1,"유문암",0,"안산암",0
"칼륨",0,0,0,"마그네슘",3330004,1,1,0,"칼슘",0,"알루미늄",0
"화소",0,0,0,"탄소",3330007,1,1,0,"산소",0,"이소",0
6!,0,0,0,"2×2×5×5",3330010,1,1,0,"10의 2승",0,"루트 1000",0
"112÷7",0,0,0,"루트 225",3330011,1,1,0,4+5+6,0,"2×3×4",0
"질소",0,0,0,"수소",3330012,1,1,1,"탄소",0,"산소",0
"수산화나트륨",0,0,0,"질산",3330013,1,1,0,"염산",0,"황산",0
"여우비",0,0,0,"안개",3330014,1,1,1,"눈",0,"진눈깨비",0
"질소",0,0,0,"염소",3330015,1,1,0,"불소",0,"규소",0
"오존",0,0,0,"다이아몬드",3330016,1,1,1,"흑연",0,"플러렌",0
"이리스 밀림",0,0,0,"페테로 대삼림",3331001,1,1,0,"카스탈리아 숲",0,"케레스 삼림",0
"아르바 해빈 구릉",0,0,0,"헬리케 거목",3331002,1,1,1,"시오네 수림",0,"이오카스테 바위 산",0
"현관",0,0,0,"화장실",3410001,1,1,1,"목욕탕",0,"부엌",0
"경비원",0,0,0,"소방관",3410002,1,1,0,"경찰관",0,"변호사",0
"형광등",0,0,0,"골판지",3410003,1,1,1,"잡지",0,"신문지",0
"파랑",0,0,0,"초록",3410004,1,1,0,"노랑",0,"주황",0
"칼퇴",0,0,0,FTF,3410005,1,1,0,"아젠다",0,"월루",0
"보라",0,0,0,"초록",3410006,1,1,1,"빨강",0,"노랑",0
Restart,0,0,0,Reuse,3410007,1,1,1,Reduce,0,Recycle,0
"친구",0,0,0,"조부",3410008,1,1,1,"아내",0,"손자",0
"백설기",0,0,0,"채치기",3410010,1,1,1,"다지기",0,"싹둑썰기",0
"두반장",0,0,0,"두부",3410011,1,1,1,"낫토",0,"두유",0
"레드 페퍼",0,0,0,"화이트 페퍼",3410013,1,1,1,"블랙 페퍼",0,"핑크 페퍼",0
"블루마운틴",0,0,0,"푸얼",3410015,1,1,1,"우롱",0,"자스민",0
"카오리",0,0,0,"레이",3411001,1,1,1,"유이",0,"히요리",0
"유니",0,0,0,"미소기",3411002,1,1,1,"미미",0,"쿄우카",0
"장작",0,0,0,"석탄",3420001,1,1,1,"석유",0,"천연가스",0
"헌법",0,0,0,"입법",3420002,1,1,1,"사법",0,"행정",0
"신문 구독료",0,0,0,"수도세",3420003,1,1,0,"전기세",0,"교통비",0
"석춘",0,0,0,"하정",3420004,1,1,1,"근하신년",0,"영춘",0
"매우 거친 살결",0,0,0,"시간당 강수량",3420005,1,1,1,"매우 높은 물결",0,"아침 최저 기온",0
Z,0,0,0,AAA,3420007,1,1,1,AA,0,FC-1,0
"슬라이스",0,0,0,"플러스",3420009,1,1,1,"마이너스",0,"복스",0
"후두부",0,0,0,"모두부",3420010,1,1,1,"비단 두부",0,"순두부",0
"마요네즈",0,0,0,"버터",3420011,1,1,1,"치즈",0,"요구르트",0
"카르파초",0,0,0,"스크램블 에그",3420012,1,1,1,"오믈렛",0,"에그 베네딕트",0
"눈쌀",0,0,0,"찹쌀",3420014,1,1,0,"멥쌀",0,"등쌀",0
"메밀국수",0,0,0,"스파게티",3420015,1,1,1,"우동",0,"잔치국수",0
"에리코",0,0,0,"니논",3421001,1,1,0,"캬루",0,"리노",0
"주먹밥 뽑기",0,0,0,"레어 뽑기",3421002,1,1,0,"프리미엄 뽑기",0,"캐러밴 뽑기",0
P,0,0,0,Z,3430001,1,1,0,E,0,G,0
"콩나물 팍팍 무쳤냐?",0,0,0,"폼 미쳤다",3430002,1,1,1,"중꺾마",0,"너 T야?",0
"갈바닉",0,0,0,"세탁기",3430004,1,1,1,"냉장고",0,"청소기",0
"헤라클레스",0,0,0,"헤파이스토스",3430005,1,1,1,"제우스",0,"아프로디테",0
"독감",0,0,0,"소음",3430007,1,1,1,"지반침하",0,"진동",0
"에스컬레이터",0,0,0,"성인용 보행기",3430008,1,1,1,"수동 휠체어",0,"전동 침대",0
"중3",0,0,0,"유치원생",3430009,1,1,0,"생후 6개월",0,"초3",0
"우유",0,0,0,"기름",3430010,1,1,1,"식초",0,"계란",0
"와인",0,0,0,"위스키",3430011,1,1,1,"소주",0,"맥주",0
"물망초",0,0,0,"식초",3430012,1,1,0,"간장",0,"송장",0
"우엉",0,0,0,"냉이",3430013,1,1,1,"달래",0,"민들레",0
"살라미",0,0,0,"그래놀라",3430015,1,1,1,"콘프레이크",0,"오트밀",0
"모래사장의 프린세스",0,0,0,"서머 게임의 패자",3431001,1,1,0,"양보할 수 없는 서머 게임",0,"플래그는 양보할 수 없어",0
"푸우키치 스트라이크",0,0,0,"물가의 슬러거",3431002,1,1,1,"물가의 4번 견습",0,"물가의 부동의 4번",0
"장기",0,0,0,"바둑",3510001,1,1,1,"오델로",0,"체스",0
"바이올린",0,0,0,"플루트",3510002,1,1,1,"퉁소",0,"리코더",0
"인터넷",0,0,0,"클라리넷",3510003,1,1,1,"북",0,"퉁소",0
"제너럴",0,0,0,"퀸",3510004,1,1,1,"폰",0,"비숍",0
"탑",0,0,0,"보",3510005,1,1,0,"왕장",0,"기사",0
"트럼프",0,0,0,"트위스터",3510006,1,1,1,"모노폴리",0,"다트",0
2,0,0,0,4,3510007,1,1,1,3,0,1,0
"쯔모",0,0,0,"치",3510008,1,1,1,"퐁",0,"깡",0
"미",0,0,0,"라",3510009,1,1,0,"파",0,"시",0
"플루트",0,0,0,"콘트라베이스",3510013,1,1,0,"바이올린",0,"파이프 오르간",0
"베이스",0,0,0,"팀파니",3510014,1,1,1,"탬버린",0,"트라이앵글",0
"튜바",0,0,0,"바순",3510015,1,1,0,"플루트",0,"트럼펫",0
"",2,4,0,"",3511001,1,1,0,"",3,"",1
"프린세스 하트",0,0,0,"퓨어 메모리 피스",3511002,1,1,1,"프린세스 오브",0,"메모리 피스",0
"스트레이트",0,0,0,"체크메이트",3520001,1,1,0,"스테일메이트",0,"캐스트",0
"화투",0,0,0,"쌍육",3520002,1,1,1,"친치로링",0,"마작",0
"진토닉",0,0,0,"레드아이",3520003,1,1,0,"블러디 메리",0,"스크류드라이버",0
"기타",0,0,0,"바이올린",3520004,1,1,1,"비올라",0,"첼로",0
"가로로 놓기",0,0,0,"밥그릇 위에 올리기",3520005,1,1,1,"찔러서 먹기",0,"음식 집어서 건네기",0
"펜싱",0,0,0,"널뛰기",3520006,1,1,1,"윷놀이",0,"투호",0
"육수",0,0,0,"복기",3520009,1,1,0,"포석",0,"건배",0
"그레이트",0,0,0,"그랜드",3520010,1,1,1,"업라이트",0,"일렉트릭",0
"동백꽃",0,0,0,"매화꽃",3520011,1,1,0,"벚꽃",0,"복숭아꽃",0
Q,0,0,0,D,3520012,1,1,0,C,0,K,0
"빨간색",0,0,0,"흰색",3520015,1,1,1,"검은색",0,"회색",0
E,0,0,0,U,3520016,1,1,1,S,0,V,0
"딸기",0,0,0,"민트",3521001,1,1,0,"바닐라",0,"초코",0
"멜론",0,0,0,"포도",3521002,1,1,1,"딸기",0,"키위",0
40,0,0,0,"레드",3530001,1,1,1,"홀수",0,1~12,0
"묵은지",0,0,0,"실크지",3530002,1,1,1,"문양지",0,"순지",0
"마라카스",0,0,0,"밴조",3530003,1,1,0,"우쿨렐레",0,"끄랍쿠",0
2,0,0,0,A,3530005,1,1,0,J,0,9,0
Call,0,0,0,Copy,3530006,1,1,0,Carbon,0,Creative,0
"금",0,0,0,"다이아몬드",3530007,1,1,1,"아쿠아마린",0,"루비",0
Coupon,0,0,0,Color,3530008,1,1,1,Cut,0,Carat,0
2500,0,0,0,5000,3530010,1,1,1,10000,0,1000,0
"클라리넷",0,0,0,"피콜로",3530011,1,1,0,"플루트",0,"오보에",0
"쓰리 페어",0,0,0,"플래시",3530012,1,1,1,"스트레이트",0,"풀 하우스",0
"요트",0,0,0,"다우트",3530013,1,1,1,"포커",0,"스피드",0
"은행나무",0,0,0,"나비",3530016,1,1,0,"멧돼지",0,"잉어",0
"끓으면 센 불",0,0,1,"처음엔 약한 불에서 보글보글",3531001,1,0,1,"그릇에 올려, 후~후~후~",0,"아가가 울어도 열면 안 돼요",0
"플래티넘 붕어빵",0,0,0,"호화로운 붕어빵",3531002,1,1,0,"젤리를 넣은 팥 붕어빵",0,"레인보우 붕어빵",0
"링",0,0,1,"철봉",3610003,1,0,1,"댄스",0,"평균대",0
"미트",0,0,0,"라켓",3610004,1,1,0,"손모아 장갑",0,"배트",0
"농구",0,0,0,"야구",3610005,1,1,0,"테니스",0,"축구",0
"라크로스",0,0,0,"궁도",3610006,1,1,0,"양궁",0,"검도",0
"유도",0,0,0,"스키",3610007,1,1,0,"수영",0,"레슬링",0
"농구",0,0,0,"배드민턴",3610008,1,1,1,"배구",0,"테니스",0
"서핑",0,0,0,"스케이트",3610010,1,1,0,"스키",0,"테니스",0
"수비수",0,0,1,"공격수",3610011,1,0,1,"골키퍼",0,"미드필더",0
"야구",0,0,0,"축구",3610012,1,1,0,"아이스하키",0,"테니스",0
"스카이다이빙",0,0,0,"펜싱",3610013,1,1,0,"검도",0,"레슬링",0
"검도",0,0,0,"유도",3610014,1,1,1,"레슬링",0,"복싱",0
"복싱",0,0,0,"스노클링",3610015,1,1,0,"서핑",0,"스카이다이빙",0
"재버워크",0,0,0,"흑월의 수호상",3611001,1,1,1,"라스 드래곤",0,"포세이돈・폭풍의 창",0
"미야코",0,0,0,"쿠우카",3611002,1,1,0,"노조미",0,"리마",0
15m,0,0,0,50m,3620001,1,1,0,25m,0,100m,0
"장외로 나감",0,0,0,"찌르기",3620002,1,1,0,"이도류",0,"다리걸기",0
"정강이",0,0,0,"몸통",3620003,1,1,1,"얼굴",0,"손목",0
"삼단뛰기",0,0,0,"벨리롤",3620006,1,1,1,"배면뛰기",0,"가위뛰기",0
"카운트다운",0,0,0,"카운트 업",3620007,1,1,1,"크리켓",0,"제로원",0
"정육각형",0,0,1,"정사각형",3620008,0,0,1,"정삼각형",0,"정오각형",0
"파랑",0,0,0,"하양",3620009,1,1,0,"빨강",0,"검정",0
"투포환",0,0,0,"자전거",3620010,1,1,1,"수영",0,"장거리 달리기",0
"일레븐볼",0,0,0,"세븐볼",3620013,1,1,0,"나인볼",0,"파이브볼",0
"벤치 프레스",0,0,1,"데드리프트",3620014,1,0,1,"보디빌딩",0,"스쿼트",0
"라이트",0,0,0,"2루수",3620015,1,1,0,"1루수",0,"레프트",0
"올레인지",0,0,0,"프리스타일",3620016,1,1,0,"그레코 로만",0,"태그",0
"가고일",0,0,0,"마구스 가고일",3621001,1,1,0,"가고일・마기",0,"가고일・버스트",0
"아메스",0,0,0,"사렌(여름)",3621002,1,1,1,"모니카",0,"카린",0
"10번",0,0,1,"5번",3630001,0,0,1,"1번",0,"7번",0
"로켓",0,0,0,"얼티미트",3630003,1,1,0,"크리켓",0,"블랭킷",0
"테니스",0,0,1,"탁구",3630004,1,0,1,"배구",0,"배드민턴",0
"갈색",0,0,1,"분홍",3630005,0,1,0,"빨강",0,"회색",0
"장군",0,0,0,"부장",3630006,1,1,0,"대장",0,"준장",0
"3루수",0,0,0,"1루수",3630007,1,1,0,"포수",0,"2루수",0
"요코즈나(横綱)",0,0,0,"세키와케(関脇)",3630008,1,1,1,"오제키(大関)",0,"코무스비(小結)",0
"평행봉",0,0,0,"뜀틀",3630010,1,1,0,"마루",0,"철봉",0
"술래잡기",0,0,0,"펜 홀더",3630012,1,1,0,"셰이크 핸드",0,"그랩",0
"디펜더",0,0,0,"파워 포워드",3630013,1,1,0,"포인트 가드",0,"리베로",0
"슈팅가드",0,0,0,"센터",3630014,1,1,1,"러닝백",0,"라인배커",0
"센터 블로커",0,0,0,"세터",3630016,1,1,0,"리베로",0,"스파이커",0
"가이아 바르딧슈",0,0,0,"아쿠아 슬래셔",3631001,1,1,0,"터키석 노아",0,"블루 블러드",0
"패해희・용정명풍열파참",0,0,0,"태풍 러브드림",3631002,1,1,1,"스프레드 어펙션",0,"레비아탄 랜스",0
