comment_id,where_type,pos_x,pos_y,start_time,character_id,character_name,face_type,change_face_time,voice_id,end_time,description,change_face_type,event_id
110,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",2,8.83,110,"2030/12/17 14:59:59","이만큼 진행했다면 합격점이에요\n하지만 좀 더 높은 곳을 목표로\n하고 싶다면… 추가 훈련에도\n어울려 드릴게요",1,10142
111,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",1,6.68,111,"2030/12/17 14:59:59","미숙하고 믿음직스럽지 못했던 당신들이,\n몰라볼 정도로 성장했어요\n과연… 이것이야말로, 교관으로서\n더할 나위 없이 행복한 기분이군요",2,10142
112,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",6,8.8,112,"2030/12/17 14:59:59","설마 여러분이 제 예상조차\n뛰어넘는 힘을 발휘할 줄은… 놀랐습니다\n이제는 쓰레기 벌레 따위가 아니에요\n어엿한 기사로서 가슴을 펴도록 하세요",2,10142
113,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",2,8.9,113,"2030/12/17 14:59:59","쿡쿡, 훌륭한 공적이에요\n여러분이라면 해낼 거라고 믿었답니다\n다름 아닌 저의 지도를 받은,\n에리코 부대의 우수한 신병들이니까요",1,10142
114,24,0.0,0.0,"2025/04/30 15:00:00",129901,"에리코",2,3.7,114,"2030/12/17 14:59:59","너무도 훌륭한 성적…!\n오늘은 『그분을 생각하며\n에리코가 한계를 넘은 기념일』로\n역사에 새겨지겠죠…!",5,10142
200,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",1,7.6,200,"2030/12/17 14:59:59","됐다, 좋은 훈련이 됐어\n너희들도 잘 움직였고,\n제대로 성장하고 있다고 생각해\n그 기세로 힘내라",2,10142
201,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",2,2.25,201,"2030/12/17 14:59:59","우선 골인 축하해!\n하지만 노력은 계속해야 하니까\n너희들에게 의욕이 있다면,\n몇 번이든 어울려 줄게",1,10142
202,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",2,3.28,202,"2030/12/17 14:59:59","행군 훈련은 이것으로 완료!\n…라고 생각하지는 않겠지?\n배운 것이 몸에 스며들 때까지\n꾸준하게 반복하는 것이 연습이야",1,10142
203,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",4,2.98,203,"2030/12/17 14:59:59","모두에게 무리를 하게 만들었나…\n하지만 이걸로 포기하는 일은 없어\n다음엔 반드시 잘 될 거다. 그렇게 믿으며\n계속 단련하면 길은 열릴 거야!",1,10142
204,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",4,3.0,204,"2030/12/17 14:59:59","이건 좀 분한 결과네…\n뭐, 반성할 점은 여러 가지 있었으니\n하나씩 극복해 나가자\n우리끼리 힘을 합쳐서, 알았지!?",1,10142
205,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",1,10.3,205,"2030/12/17 14:59:59","너희들은 아직 미숙한 훈련병이니\n실패를 필요 이상으로 분해할 필요는 없어\n하지만 실전에서는 이렇게 할 수 없으니까\n다음엔 기합을 다시 넣고 가라고!",2,10142
206,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",6,2.93,206,"2030/12/17 14:59:59","이게 너희들의 전력이야?\n아니 아니, 그럴 리 없지\n너희들이라면 더 강해질 수 있어!\n내가 하는 말이니까 틀림없어!",1,10142
207,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",3,9.3,207,"2030/12/17 14:59:59","너희들의 실력을 생각하면,\n최선을 다했다고는 말할 수 없는 성적이야\n그렇다면, 다음에 해야 할 일도 정해져 있어\n마음을 새롭게 하고, 다시 단련하는 거야!",1,10142
208,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",4,6.9,208,"2030/12/17 14:59:59","아직 과제가 많이 있는 내용이었네~\n불필요한 움직임, 늦은 판단…\n그런 것을 확실히 고쳐 나가면,\n기록도 더 좋아질 수 있을 거야",1,10142
209,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",2,0.0,209,"2030/12/17 14:59:59","여기까지 할 수 있으면, 합격점이지!\n오히려, 처음에 믿음직스럽지 못했던 것을 생각하면\n엄청나게 성장하지 않았어?\n가슴을 펼 수 있는 결과라고 생각해!",2,10142
210,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",1,5.95,210,"2030/12/17 14:59:59","꽤 힘든 훈련이었는데,\n모두 잘 따라왔네\n꾸준하게 계속한 기초 트레이닝의 결과가\n형태로 나타났다는 증거야",2,10142
211,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",2,6.73,211,"2030/12/17 14:59:59","이번 훈련도 열심히 했네!\n푹 쉬고 다음에 대비해!\n뭐랄까, 제자들이 성장해 가는 것을\n보는 건 즐거운 일이네…",1,10142
212,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",2,0.0,212,"2030/12/17 14:59:59","너희들, 대단한데!\n이제 햇병아리 신병이라고는\n말할 수 없겠네. 분명 기사단에서도\n틀림없이 대활약할 거야!",2,10142
213,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",1,6.65,213,"2030/12/17 14:59:59","적과 싸우는 방법, 정확한 상황 판단\n무엇보다 근성… 모두 최고였어!\n멍청히 있다가는, 교관인 나까지\n추월당할지도 모르겠네… 헤헷",2,10142
214,24,0.0,0.0,"2025/04/30 15:00:00",129801,"마코토",6,3.05,214,"2030/12/17 14:59:59","내 지도가 좋았다고?\n아니야, 이렇게까지 강해질 수 있었던 건,\n다름 아닌 너희 자신이 노력한\n덕분이야. 다시 한번… 축하해!",1,10142
