condition_value_1,mission_reward_id,difficulty,condition_num,mission_condition,mission_id,disp_group,schedule_id,description
135000,100308,0,1,1001,100308,1,1003,"전체 난이도 합계 135,000pt를 획득하자"
0,100309,1,1,1002,100309,2,1003,"난이도 NORMAL1에서 1회 싸우자"
0,100310,1,1,1003,100310,2,1003,"난이도 NORMAL2에서 1회 싸우자"
0,100311,1,1,1004,100311,2,1003,"난이도 NORMAL3에서 1회 싸우자"
10000,100312,1,1,1001,100312,3,1003,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100313,1,1,1001,100313,3,1003,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100314,1,1,1001,100314,3,1003,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100315,2,1,1002,100315,4,1003,"난이도 HARD1에서 1회 싸우자"
0,100316,2,1,1003,100316,4,1003,"난이도 HARD2에서 1회 싸우자"
0,100317,2,1,1004,100317,4,1003,"난이도 HARD3에서 1회 싸우자"
15000,100318,2,1,1001,100318,5,1003,"난이도 HARD에서 15,000pt를 획득하자"
30000,100319,2,1,1001,100319,5,1003,"난이도 HARD에서 30,000pt를 획득하자"
45000,100320,2,1,1001,100320,5,1003,"난이도 HARD에서 45,000pt를 획득하자"
0,100321,3,1,1002,100321,6,1003,"난이도 EXTRA1에서 1회 싸우자"
0,100322,3,1,1003,100322,6,1003,"난이도 EXTRA2에서 1회 싸우자"
0,100323,3,1,1004,100323,6,1003,"난이도 EXTRA3에서 1회 싸우자"
20000,100324,3,1,1001,100324,7,1003,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100325,3,1,1001,100325,7,1003,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100326,3,1,1001,100326,7,1003,"난이도 EXTRA에서 60,000pt를 획득하자"
10000,100401,0,1,1001,100401,0,1004,"전체 난이도 합계 10,000pt를 획득하자"
30000,100402,0,1,1001,100402,0,1004,"전체 난이도 합계 30,000pt를 획득하자"
50000,100403,0,1,1001,100403,0,1004,"전체 난이도 합계 50,000pt를 획득하자"
70000,100404,0,1,1001,100404,0,1004,"전체 난이도 합계 70,000pt를 획득하자"
90000,100405,0,1,1001,100405,1,1004,"전체 난이도 합계 90,000pt를 획득하자"
105000,100406,0,1,1001,100406,1,1004,"전체 난이도 합계 105,000pt를 획득하자"
120000,100407,0,1,1001,100407,1,1004,"전체 난이도 합계 120,000pt를 획득하자"
135000,100408,0,1,1001,100408,1,1004,"전체 난이도 합계 135,000pt를 획득하자"
0,100409,1,1,1002,100409,2,1004,"난이도 NORMAL1에서 1회 싸우자"
0,100410,1,1,1003,100410,2,1004,"난이도 NORMAL2에서 1회 싸우자"
0,100411,1,1,1004,100411,2,1004,"난이도 NORMAL3에서 1회 싸우자"
10000,100412,1,1,1001,100412,3,1004,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100413,1,1,1001,100413,3,1004,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100414,1,1,1001,100414,3,1004,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100415,2,1,1002,100415,4,1004,"난이도 HARD1에서 1회 싸우자"
0,100416,2,1,1003,100416,4,1004,"난이도 HARD2에서 1회 싸우자"
0,100417,2,1,1004,100417,4,1004,"난이도 HARD3에서 1회 싸우자"
15000,100418,2,1,1001,100418,5,1004,"난이도 HARD에서 15,000pt를 획득하자"
30000,100419,2,1,1001,100419,5,1004,"난이도 HARD에서 30,000pt를 획득하자"
45000,100420,2,1,1001,100420,5,1004,"난이도 HARD에서 45,000pt를 획득하자"
0,100421,3,1,1002,100421,6,1004,"난이도 EXTRA1에서 1회 싸우자"
0,100422,3,1,1003,100422,6,1004,"난이도 EXTRA2에서 1회 싸우자"
0,100423,3,1,1004,100423,6,1004,"난이도 EXTRA3에서 1회 싸우자"
20000,100424,3,1,1001,100424,7,1004,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100425,3,1,1001,100425,7,1004,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100426,3,1,1001,100426,7,1004,"난이도 EXTRA에서 60,000pt를 획득하자"
10000,100501,0,1,1001,100501,0,1005,"전체 난이도 합계 10,000pt를 획득하자"
30000,100502,0,1,1001,100502,0,1005,"전체 난이도 합계 30,000pt를 획득하자"
50000,100503,0,1,1001,100503,0,1005,"전체 난이도 합계 50,000pt를 획득하자"
70000,100504,0,1,1001,100504,0,1005,"전체 난이도 합계 70,000pt를 획득하자"
90000,100505,0,1,1001,100505,1,1005,"전체 난이도 합계 90,000pt를 획득하자"
105000,100506,0,1,1001,100506,1,1005,"전체 난이도 합계 105,000pt를 획득하자"
120000,100507,0,1,1001,100507,1,1005,"전체 난이도 합계 120,000pt를 획득하자"
135000,100508,0,1,1001,100508,1,1005,"전체 난이도 합계 135,000pt를 획득하자"
0,100509,1,1,1002,100509,2,1005,"난이도 NORMAL1에서 1회 싸우자"
0,100510,1,1,1003,100510,2,1005,"난이도 NORMAL2에서 1회 싸우자"
0,100511,1,1,1004,100511,2,1005,"난이도 NORMAL3에서 1회 싸우자"
10000,100512,1,1,1001,100512,3,1005,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100513,1,1,1001,100513,3,1005,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100514,1,1,1001,100514,3,1005,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100515,2,1,1002,100515,4,1005,"난이도 HARD1에서 1회 싸우자"
0,100516,2,1,1003,100516,4,1005,"난이도 HARD2에서 1회 싸우자"
0,100517,2,1,1004,100517,4,1005,"난이도 HARD3에서 1회 싸우자"
15000,100518,2,1,1001,100518,5,1005,"난이도 HARD에서 15,000pt를 획득하자"
30000,100519,2,1,1001,100519,5,1005,"난이도 HARD에서 30,000pt를 획득하자"
45000,100520,2,1,1001,100520,5,1005,"난이도 HARD에서 45,000pt를 획득하자"
0,100521,3,1,1002,100521,6,1005,"난이도 EXTRA1에서 1회 싸우자"
0,100522,3,1,1003,100522,6,1005,"난이도 EXTRA2에서 1회 싸우자"
0,100523,3,1,1004,100523,6,1005,"난이도 EXTRA3에서 1회 싸우자"
20000,100524,3,1,1001,100524,7,1005,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100525,3,1,1001,100525,7,1005,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100526,3,1,1001,100526,7,1005,"난이도 EXTRA에서 60,000pt를 획득하자"
10000,100601,0,1,1001,100601,0,1006,"전체 난이도 합계 10,000pt를 획득하자"
30000,100602,0,1,1001,100602,0,1006,"전체 난이도 합계 30,000pt를 획득하자"
50000,100603,0,1,1001,100603,0,1006,"전체 난이도 합계 50,000pt를 획득하자"
70000,100604,0,1,1001,100604,0,1006,"전체 난이도 합계 70,000pt를 획득하자"
90000,100605,0,1,1001,100605,1,1006,"전체 난이도 합계 90,000pt를 획득하자"
105000,100606,0,1,1001,100606,1,1006,"전체 난이도 합계 105,000pt를 획득하자"
120000,100607,0,1,1001,100607,1,1006,"전체 난이도 합계 120,000pt를 획득하자"
135000,100608,0,1,1001,100608,1,1006,"전체 난이도 합계 135,000pt를 획득하자"
0,100609,1,1,1002,100609,2,1006,"난이도 NORMAL1에서 1회 싸우자"
0,100610,1,1,1003,100610,2,1006,"난이도 NORMAL2에서 1회 싸우자"
0,100611,1,1,1004,100611,2,1006,"난이도 NORMAL3에서 1회 싸우자"
10000,100612,1,1,1001,100612,3,1006,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100613,1,1,1001,100613,3,1006,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100614,1,1,1001,100614,3,1006,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100615,2,1,1002,100615,4,1006,"난이도 HARD1에서 1회 싸우자"
0,100616,2,1,1003,100616,4,1006,"난이도 HARD2에서 1회 싸우자"
0,100617,2,1,1004,100617,4,1006,"난이도 HARD3에서 1회 싸우자"
15000,100618,2,1,1001,100618,5,1006,"난이도 HARD에서 15,000pt를 획득하자"
30000,100619,2,1,1001,100619,5,1006,"난이도 HARD에서 30,000pt를 획득하자"
45000,100620,2,1,1001,100620,5,1006,"난이도 HARD에서 45,000pt를 획득하자"
0,100621,3,1,1002,100621,6,1006,"난이도 EXTRA1에서 1회 싸우자"
0,100622,3,1,1003,100622,6,1006,"난이도 EXTRA2에서 1회 싸우자"
0,100623,3,1,1004,100623,6,1006,"난이도 EXTRA3에서 1회 싸우자"
20000,100624,3,1,1001,100624,7,1006,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100625,3,1,1001,100625,7,1006,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100626,3,1,1001,100626,7,1006,"난이도 EXTRA에서 60,000pt를 획득하자"
10000,100701,0,1,1001,100701,0,1007,"전체 난이도 합계 10,000pt를 획득하자"
30000,100702,0,1,1001,100702,0,1007,"전체 난이도 합계 30,000pt를 획득하자"
50000,100703,0,1,1001,100703,0,1007,"전체 난이도 합계 50,000pt를 획득하자"
70000,100704,0,1,1001,100704,0,1007,"전체 난이도 합계 70,000pt를 획득하자"
90000,100705,0,1,1001,100705,1,1007,"전체 난이도 합계 90,000pt를 획득하자"
105000,100706,0,1,1001,100706,1,1007,"전체 난이도 합계 105,000pt를 획득하자"
120000,100707,0,1,1001,100707,1,1007,"전체 난이도 합계 120,000pt를 획득하자"
135000,100708,0,1,1001,100708,1,1007,"전체 난이도 합계 135,000pt를 획득하자"
0,100709,1,1,1002,100709,2,1007,"난이도 NORMAL1에서 1회 싸우자"
0,100710,1,1,1003,100710,2,1007,"난이도 NORMAL2에서 1회 싸우자"
0,100711,1,1,1004,100711,2,1007,"난이도 NORMAL3에서 1회 싸우자"
10000,100712,1,1,1001,100712,3,1007,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100713,1,1,1001,100713,3,1007,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100714,1,1,1001,100714,3,1007,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100715,2,1,1002,100715,4,1007,"난이도 HARD1에서 1회 싸우자"
0,100716,2,1,1003,100716,4,1007,"난이도 HARD2에서 1회 싸우자"
0,100717,2,1,1004,100717,4,1007,"난이도 HARD3에서 1회 싸우자"
15000,100718,2,1,1001,100718,5,1007,"난이도 HARD에서 15,000pt를 획득하자"
30000,100719,2,1,1001,100719,5,1007,"난이도 HARD에서 30,000pt를 획득하자"
45000,100720,2,1,1001,100720,5,1007,"난이도 HARD에서 45,000pt를 획득하자"
0,100721,3,1,1002,100721,6,1007,"난이도 EXTRA1에서 1회 싸우자"
0,100722,3,1,1003,100722,6,1007,"난이도 EXTRA2에서 1회 싸우자"
0,100723,3,1,1004,100723,6,1007,"난이도 EXTRA3에서 1회 싸우자"
20000,100724,3,1,1001,100724,7,1007,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100725,3,1,1001,100725,7,1007,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100726,3,1,1001,100726,7,1007,"난이도 EXTRA에서 60,000pt를 획득하자"
10000,100801,0,1,1001,100801,0,1008,"전체 난이도 합계 10,000pt를 획득하자"
30000,100802,0,1,1001,100802,0,1008,"전체 난이도 합계 30,000pt를 획득하자"
50000,100803,0,1,1001,100803,0,1008,"전체 난이도 합계 50,000pt를 획득하자"
70000,100804,0,1,1001,100804,0,1008,"전체 난이도 합계 70,000pt를 획득하자"
90000,100805,0,1,1001,100805,1,1008,"전체 난이도 합계 90,000pt를 획득하자"
105000,100806,0,1,1001,100806,1,1008,"전체 난이도 합계 105,000pt를 획득하자"
120000,100807,0,1,1001,100807,1,1008,"전체 난이도 합계 120,000pt를 획득하자"
135000,100808,0,1,1001,100808,1,1008,"전체 난이도 합계 135,000pt를 획득하자"
0,100809,1,1,1002,100809,2,1008,"난이도 NORMAL1에서 1회 싸우자"
0,100810,1,1,1003,100810,2,1008,"난이도 NORMAL2에서 1회 싸우자"
0,100811,1,1,1004,100811,2,1008,"난이도 NORMAL3에서 1회 싸우자"
10000,100812,1,1,1001,100812,3,1008,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100813,1,1,1001,100813,3,1008,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100814,1,1,1001,100814,3,1008,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100815,2,1,1002,100815,4,1008,"난이도 HARD1에서 1회 싸우자"
0,100816,2,1,1003,100816,4,1008,"난이도 HARD2에서 1회 싸우자"
0,100817,2,1,1004,100817,4,1008,"난이도 HARD3에서 1회 싸우자"
15000,100818,2,1,1001,100818,5,1008,"난이도 HARD에서 15,000pt를 획득하자"
30000,100819,2,1,1001,100819,5,1008,"난이도 HARD에서 30,000pt를 획득하자"
45000,100820,2,1,1001,100820,5,1008,"난이도 HARD에서 45,000pt를 획득하자"
0,100821,3,1,1002,100821,6,1008,"난이도 EXTRA1에서 1회 싸우자"
0,100822,3,1,1003,100822,6,1008,"난이도 EXTRA2에서 1회 싸우자"
0,100823,3,1,1004,100823,6,1008,"난이도 EXTRA3에서 1회 싸우자"
20000,100824,3,1,1001,100824,7,1008,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100825,3,1,1001,100825,7,1008,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100826,3,1,1001,100826,7,1008,"난이도 EXTRA에서 60,000pt를 획득하자"
10000,100901,0,1,1001,100901,0,1009,"전체 난이도 합계 10,000pt를 획득하자"
30000,100902,0,1,1001,100902,0,1009,"전체 난이도 합계 30,000pt를 획득하자"
50000,100903,0,1,1001,100903,0,1009,"전체 난이도 합계 50,000pt를 획득하자"
70000,100904,0,1,1001,100904,0,1009,"전체 난이도 합계 70,000pt를 획득하자"
90000,100905,0,1,1001,100905,1,1009,"전체 난이도 합계 90,000pt를 획득하자"
105000,100906,0,1,1001,100906,1,1009,"전체 난이도 합계 105,000pt를 획득하자"
120000,100907,0,1,1001,100907,1,1009,"전체 난이도 합계 120,000pt를 획득하자"
135000,100908,0,1,1001,100908,1,1009,"전체 난이도 합계 135,000pt를 획득하자"
0,100909,1,1,1002,100909,2,1009,"난이도 NORMAL1에서 1회 싸우자"
0,100910,1,1,1003,100910,2,1009,"난이도 NORMAL2에서 1회 싸우자"
0,100911,1,1,1004,100911,2,1009,"난이도 NORMAL3에서 1회 싸우자"
10000,100912,1,1,1001,100912,3,1009,"난이도 NORMAL에서 10,000pt를 획득하자"
20000,100913,1,1,1001,100913,3,1009,"난이도 NORMAL에서 20,000pt를 획득하자"
30000,100914,1,1,1001,100914,3,1009,"난이도 NORMAL에서 30,000pt를 획득하자"
0,100915,2,1,1002,100915,4,1009,"난이도 HARD1에서 1회 싸우자"
0,100916,2,1,1003,100916,4,1009,"난이도 HARD2에서 1회 싸우자"
0,100917,2,1,1004,100917,4,1009,"난이도 HARD3에서 1회 싸우자"
15000,100918,2,1,1001,100918,5,1009,"난이도 HARD에서 15,000pt를 획득하자"
30000,100919,2,1,1001,100919,5,1009,"난이도 HARD에서 30,000pt를 획득하자"
45000,100920,2,1,1001,100920,5,1009,"난이도 HARD에서 45,000pt를 획득하자"
0,100921,3,1,1002,100921,6,1009,"난이도 EXTRA1에서 1회 싸우자"
0,100922,3,1,1003,100922,6,1009,"난이도 EXTRA2에서 1회 싸우자"
0,100923,3,1,1004,100923,6,1009,"난이도 EXTRA3에서 1회 싸우자"
20000,100924,3,1,1001,100924,7,1009,"난이도 EXTRA에서 20,000pt를 획득하자"
40000,100925,3,1,1001,100925,7,1009,"난이도 EXTRA에서 40,000pt를 획득하자"
60000,100926,3,1,1001,100926,7,1009,"난이도 EXTRA에서 60,000pt를 획득하자"
