param_05,param_02,param_01,command_id,param_04,param_07,command_type,param_06,drama_id,param_03,param_08
"",mhp_anna_walk_sad,100211,1007401021,"","",3,0.2,1007401,1,""
0,-200,100211,1007401022,4,"",2,"",1007401,-220,""
"",NoItem,31,1007401023,"","",3,0.2,1007401,1,""
0,-200,31,1007401024,4,"",2,"",1007401,-220,""
"","",0,1007401025,"","",91,"",1007401,"",""
1,mhp_sit_in_sad,100211,1007401026,mhp_sit_idle_sad,0.2,3,0.2,1007401,0,""
"","",1,1007401027,"","",93,"",1007401,"",""
"",mhp_sit_talk_sad,100211,1007401028,"","",3,0.2,1007401,1,""
"",vo_mhp_4002,vo_mhp_1007401,1007401029,0,"",21,"",1007401,0,""
0,"어, 그러니까…… 오랜만이에요.",100211,1007401030,1,0,11,0,1007401,7,0.5
"","",0,1007401031,"","",91,"",1007401,"",""
"",mhp_sit_idle_sad,100211,1007401032,"","",3,0.2,1007401,1,""
"",mhp_sit_talk_normal,117531,1007401033,"","",3,0.2,1007401,1,""
"",vo_mhp_4003,vo_mhp_1007401,1007401034,0,"",21,"",1007401,0,""
0,"오랜만이네, 유이.\n저번에 다 같이 오에도 마을에\n갔을 때 이후로 처음이지.",117531,1007401035,1,0,11,0,1007401,6,0.5
"","",0,1007401036,"","",91,"",1007401,"",""
"",mhp_sit_idle,117531,1007401037,"","",3,0.2,1007401,1,""
"",mhp_sit_talk_memory,100211,1007401038,"","",3,0.2,1007401,1,""
"",mhp_yui_sit_talk_memory,31,1007401039,"","",3,0,1007401,1,""
"",vo_mhp_4004,vo_mhp_1007401,1007401040,0,"",21,"",1007401,0,""
0,"그렇네요. 그때는 힘들었지만\n즐거웠네요\n온천에 또 가고 싶다……\n온, 천…… 아, 아아……",100211,1007401041,1,0,11,0,1007401,4,1.5
"",1,14,1007401042,"","",93,"",1007401,"",""
"",mhp_yui_hot,100211,1007401043,"","",3,0.2,1007401,1,""
"",mhp_yui_hot,31,1007401044,"","",3,0.2,1007401,1,""
"",1,123,1007401045,"","",32,"",1007401,"",""
"",se_10031400_love,se_10031400,1007401046,"","",23,"",1007401,"",""
"","",1007401041,1007401047,"","",91,"",1007401,"",""
"",0,3,1007401048,"","",93,"",1007401,"",""
"",mhp_sit_talk_worry,117531,1007401049,"","",3,0.2,1007401,1,""
"",vo_mhp_4005,vo_mhp_1007401,1007401050,0,"",21,"",1007401,0,""
0,"왜 그래? 얼굴이 새빨간데?",117531,1007401051,1,0,11,0,1007401,7,0.5
"","",0,1007401052,"","",91,"",1007401,"",""
"",0,123,1007401053,"","",32,"",1007401,"",""
"",mhp_sit_idle,117531,1007401054,"","",3,0.2,1007401,1,""
"",mhp_yui_sit_talk_worry,100211,1007401055,"","",3,0.2,1007401,1,""
"",NoItem,31,1007401056,"","",3,0.2,1007401,1,""
"",vo_mhp_4006,vo_mhp_1007401,1007401057,0,"",21,"",1007401,0,""
0,"그, 그게, 요즘 갑자기\n얼굴이 달아오르거든요……\n이건 무슨 병인 걸까요?",100211,1007401058,1,0,11,0,1007401,5,0.5
"","",0,1007401059,"","",91,"",1007401,"",""
0,mhp_yui_sit_idle_sad,100211,1007401060,"","",3,0.2,1007401,1,""
0,mhp_sit_talk_thinking,117531,1007401061,"","",3,0.2,1007401,1,""
"",vo_mhp_4007,vo_mhp_1007401,1007401062,0,"",21,"",1007401,0,""
0,"지금 당장 단정할 순 없어\n하지만 어쩌면 큰 병,\n그것도 불치병일지 모르겠네.",117531,1007401063,1,0,11,0,1007401,5,0.5
"","",0,1007401064,"","",91,"",1007401,"",""
"",mhp_sit_idle_thinking,117531,1007401065,"","",3,0.2,1007401,1,""
"",mhp_yui_sit_talk_sad,100211,1007401066,"","",3,0.2,1007401,1,""
"",vo_mhp_4008,vo_mhp_1007401,1007401067,0,"",21,"",1007401,0,""
0,"그럴 수가……",100211,1007401068,1,0,11,0,1007401,8,0.5
"","",0,1007401069,"","",91,"",1007401,"",""
"",mhp_yui_sit_idle_sad,100211,1007401070,"","",3,0.2,1007401,1,""
"",mhp_sit_talk_normal,117531,1007401071,"","",3,0.2,1007401,1,""
"",vo_mhp_4009,vo_mhp_1007401,1007401072,0,"",21,"",1007401,0,""
0,"보통 같으면 목숨에 지장은 없겠지만\n악화시키면 큰일이 될 거야\n그러니까 오늘은 우선……",117531,1007401073,1,0,11,0,1007401,6,0.5
"","",0,1007401074,"","",91,"",1007401,"",""
"",0,0,1007401075,"","",22,"",1007401,"",""
"",1007401079,"차가운 수건을 이마에 대.",1007401076,"","",103,"",1007401,0,""
"",1007401125,"아무 생각도 말고 느긋하게 쉬어.",1007401077,"","",103,"",1007401,0,""
"",1007401142,"특제 한방약을 내줄게.",1007401078,"","",103,"",1007401,0,""
1,mhp_sit_out,117531,1007401079,mhp_idle_normal,0,3,0.2,1007401,0,""
"",0,0.6,1007401080,"","",93,"",1007401,"",""
1,mhp_sit_out,100211,1007401081,mhp_idle_normal,0,3,0.2,1007401,0,""
"",0,0.2,1007401082,"","",93,"",1007401,"",""
0,mhp_walk,100211,1007401083,"","",3,0.2,1007401,1,""
0,35,100211,1007401084,1.5,"",2,"",1007401,-220,""
0,35,31,1007401085,1.5,"",2,"",1007401,-220,""
0,35,11,1007401086,1.5,"",2,"",1007401,-220,""
0,35,12,1007401087,1.5,"",2,"",1007401,-220,""
"",0,0.3,1007401088,"","",93,"",1007401,"",""
1,mhp_handover_in,117531,1007401089,mhp_handover_loop,0,3,0.2,1007401,0,""
1,1,21,1007401090,1,0,6,0,1007401,1,""
1,1,22,1007401091,1,0,6,0,1007401,1,""
1,mhp_handover_in,21,1007401092,mhp_handover_loop,0,3,0.2,1007401,0,""
1,mhp_item_EX0015_handover_in,22,1007401093,mhp_item_EX0015_handover_loop,0,3,0.2,1007401,0,""
"",0,1.2,1007401094,"","",93,"",1007401,"",""
1,mhp_handover_receive_in,100211,1007401095,mhp_handover_receive_loop,0,3,0.2,1007401,0,""
1,1,11,1007401096,1,0,6,0,1007401,1,""
1,1,12,1007401097,1,0,6,0,1007401,1,""
1,mhp_receive_yui_in,11,1007401098,mhp_receive_yui_loop,0,3,0.2,1007401,0,""
1,mhp_item_EX0015_receive_in,12,1007401099,mhp_item_EX0015_receive_loop,0,3,0.2,1007401,0,""
"",0,0.6,1007401100,"","",93,"",1007401,"",""
1,1,22,1007401101,1,0,6,0.4,1007401,1,""
"",0,0.4,1007401102,"","",93,"",1007401,"",""
1,mhp_handover_out,117531,1007401103,mhp_idle_normal,0,3,0.2,1007401,0,""
1,mhp_handover_out,21,1007401104,NoItem_idle,0,3,0.2,1007401,0,""
1,mhp_item_EX0015_handover_out,22,1007401105,NoItem_idle,0,3,0.2,1007401,0,""
"",0,0.4,1007401106,"","",93,"",1007401,"",""
1,mhp_handover_receive_out,100211,1007401107,mhp_idle_normal,0,3,0.2,1007401,0,""
1,mhp_receive_yui_out,11,1007401108,NoItem_idle,0,3,0.2,1007401,0,""
1,mhp_item_EX0015_receive_out,12,1007401109,NoItem_idle,0,3,0.2,1007401,0,""
"",0,2,1007401110,"","",93,"",1007401,"",""
"",mhp_talk_worry,100211,1007401111,"","",3,0.2,1007401,1,""
"",vo_mhp_4010,vo_mhp_1007401,1007401112,0,"",21,"",1007401,0,""
0,"이, 이걸로 낫는 건가요?",100211,1007401113,1,0,11,0,1007401,7,0.5
"","",0,1007401114,"","",91,"",1007401,"",""
"",mhp_idle_worry,100211,1007401115,"","",3,0.2,1007401,1,""
"",mhp_talk_normal,117531,1007401116,"","",3,0.2,1007401,1,""
"",vo_mhp_4011,vo_mhp_1007401,1007401117,0,"",21,"",1007401,0,""
0,"아니, 단순한 대처 요법이야\n그래도 지금은 그걸로 충분해\n또 무슨 일이 있으면 찾아와.",117531,1007401118,1,0,11,0,1007401,5,0.5
"","",0,1007401119,"","",91,"",1007401,"",""
"",0,0,1007401120,"","",22,"",1007401,"",""
1,mhp_sit_in,117531,1007401121,mhp_sit_idle,0.2,3,0.2,1007401,0,""
"",mhp_yui_pekori,100211,1007401122,"","",3,0.2,1007401,0,""
"","",0,1007401123,"","",91,"",1007401,"",""
"","",1007401186,1007401124,"","",101,"",1007401,"",""
"",mhp_sit_idle,117531,1007401125,"","",3,0.2,1007401,1,""
"",mhp_sit_talk_worry,100211,1007401126,"","",3,0.2,1007401,1,""
"",vo_mhp_4012,vo_mhp_1007401,1007401127,0,"",21,"",1007401,0,""
0,"저, 약 같은 건……",100211,1007401128,1,0,11,0,1007401,8,0.5
"","",0,1007401129,"","",91,"",1007401,"",""
"",mhp_sit_idle_sad,100211,1007401130,"","",3,0.2,1007401,1,""
"",mhp_sit_talk_thinking,117531,1007401131,"","",3,0.2,1007401,1,""
"",vo_mhp_4013,vo_mhp_1007401,1007401132,0,"",21,"",1007401,0,""
0,"필요 없어. 이것저것 너무 생각하는 건\n안 좋아, 그러니까 마음 편히\n보내는 게 제일이야.",117531,1007401133,1,0,11,0,1007401,5,0.5
"","",0,1007401134,"","",91,"",1007401,"",""
"",0,0,1007401135,"","",22,"",1007401,"",""
"",mhp_sit_idle,117531,1007401136,"","",3,0.2,1007401,1,""
"",mhp_yui_sit_pekori,100211,1007401137,"","",3,0.2,1007401,0,""
"","",0,1007401138,"","",91,"",1007401,"",""
"",mhp_sit_out,100211,1007401139,"","",3,0.2,1007401,0,""
"","",0,1007401140,"","",91,"",1007401,"",""
"","",1007401186,1007401141,"","",101,"",1007401,"",""
1,mhp_sit_out,117531,1007401142,mhp_idle_normal,0,3,0.2,1007401,0,""
"",0,0.6,1007401143,"","",93,"",1007401,"",""
1,mhp_sit_out,100211,1007401144,mhp_idle_normal,0,3,0.2,1007401,0,""
"",0,0.2,1007401145,"","",93,"",1007401,"",""
0,mhp_walk,100211,1007401146,"","",3,0.2,1007401,1,""
0,35,100211,1007401147,1.5,"",2,"",1007401,-220,""
0,35,31,1007401148,1.5,"",2,"",1007401,-220,""
0,35,11,1007401149,1.5,"",2,"",1007401,-220,""
0,35,12,1007401150,1.5,"",2,"",1007401,-220,""
"",0,0.3,1007401151,"","",93,"",1007401,"",""
1,mhp_handover_in,117531,1007401152,mhp_handover_loop,0,3,0.2,1007401,0,""
1,1,21,1007401153,1,0,6,0,1007401,1,""
1,1,22,1007401154,1,0,6,0,1007401,1,""
1,mhp_handover_in,21,1007401155,mhp_handover_loop,0,3,0.2,1007401,0,""
1,mhp_item_EX0007_handover_in,22,1007401156,mhp_item_EX0007_handover_loop,0,3,0.2,1007401,0,""
"",0,1.2,1007401157,"","",93,"",1007401,"",""
1,mhp_handover_receive_in,100211,1007401158,mhp_handover_receive_loop,0,3,0.2,1007401,0,""
1,1,11,1007401159,1,0,6,0,1007401,1,""
1,1,12,1007401160,1,0,6,0,1007401,1,""
1,mhp_receive_yui_in,11,1007401161,mhp_receive_yui_loop,0,3,0.2,1007401,0,""
1,mhp_item_EX0007_receive_in,12,1007401162,mhp_item_EX0007_receive_loop,0,3,0.2,1007401,0,""
"",0,0.6,1007401163,"","",93,"",1007401,"",""
1,1,22,1007401164,1,0,6,0.4,1007401,1,""
"",0,0.4,1007401165,"","",93,"",1007401,"",""
1,mhp_handover_out,117531,1007401166,mhp_idle_normal,0,3,0.2,1007401,0,""
1,mhp_handover_out,21,1007401167,NoItem_idle,0,3,0.2,1007401,0,""
1,mhp_item_EX0007_handover_out,22,1007401168,NoItem_idle,0,3,0.2,1007401,0,""
"",0,0.4,1007401169,"","",93,"",1007401,"",""
1,mhp_handover_receive_out,100211,1007401170,mhp_idle_normal,0,3,0.2,1007401,0,""
1,mhp_receive_yui_out,11,1007401171,NoItem_idle,0,3,0.2,1007401,0,""
1,mhp_item_EX0007_receive_out,12,1007401172,NoItem_idle,0,3,0.2,1007401,0,""
"",0,2,1007401173,"","",93,"",1007401,"",""
"",mhp_talk_wish,100211,1007401174,"","",3,0.2,1007401,1,""
"",vo_mhp_4014,vo_mhp_1007401,1007401175,0,"",21,"",1007401,0,""
0,"한방약…… 어쩐지 잘 들을 것 같아……\n감사합니다, 미츠키 씨",100211,1007401176,1,0,11,0,1007401,5,0.5
"","",0,1007401177,"","",91,"",1007401,"",""
"",mhp_idle_wish,100211,1007401178,"","",3,0.2,1007401,1,""
"",mhp_talk_thinking,117531,1007401179,"","",3,0.2,1007401,1,""
"",vo_mhp_4015,vo_mhp_1007401,1007401180,0,"",21,"",1007401,0,""
0,"(뭐, 자양강장 한방약이니까\n전혀 상관없지만)",117531,1007401181,1,0,11,0,1007401,7,0.5
"","",0,1007401182,"","",91,"",1007401,"",""
"",0,0,1007401183,"","",22,"",1007401,"",""
1,mhp_sit_in,117531,1007401184,mhp_sit_idle,0.2,3,0.2,1007401,0,""
"",mhp_yui_pekori,100211,1007401185,"","",3,0.2,1007401,0,""
"","",0,1007401186,"","",91,"",1007401,"",""
"",mhp_walk,100211,1007401187,"","",3,0.2,1007401,1,""
"",1,100211,1007401188,"","",4,"",1007401,"",""
0,-1000,100211,1007401189,5,"",2,"",1007401,-220,""
"",0,4,1007401190,"","",93,"",1007401,"",""
"",mhp_sit_talk_worry,117631,1007401191,"","",3,0.2,1007401,1,""
"",vo_mhp_4016,vo_mhp_1007401,1007401192,0,"",21,"",1007401,0,""
0,"선생님, 그 사람은 진짜 병이야?",117631,1007401193,1,0,11,0,1007401,5,0.5
"","",0,1007401194,"","",91,"",1007401,"",""
"",mhp_sit_idle,117631,1007401195,"","",3,0.2,1007401,1,""
"",mhp_sit_talk_thinking,117531,1007401196,"","",3,0.2,1007401,1,""
"",vo_mhp_4017,vo_mhp_1007401,1007401197,0,"",21,"",1007401,0,""
0,"응, 꽤 중병이야\n이건 확실히 진찰해야 돼\n후후, 젊은이란 건 좋네♪",117531,1007401198,1,0,11,"",1007401,4,0.5
"","",0,1007401199,"","",91,"",1007401,"",""
"",0.5,0,1007401200,"","",22,"",1007401,"",""
"","",0,1007401201,"","",91,"",1007401,"",""
-240,100211,1,1007402001,-1000,0,1,1.7,1007402,100,mhp_idle_normal
-220,117531,1,1007402002,185,1,1,1.7,1007402,100,mhp_sit_idle
-200,117631,1,1007402003,365,1,1,1.7,1007402,100,mhp_sit_idle
0.85,1,1,1007402004,-154,"",31,1,1007402,-240,""
-220,11,1,1007402005,-200,0,5,1.7,1007402,110,NoItem
-220,12,1,1007402006,-200,0,5,1.7,1007402,105,NoItem
-220,21,1,1007402007,185,1,5,1.7,1007402,110,NoItem
-220,22,1,1007402008,185,1,5,1.7,1007402,105,NoItem
0,1,11,1007402009,1,0,6,0,1007402,1,""
0,1,12,1007402010,1,0,6,0,1007402,1,""
0,1,21,1007402011,1,0,6,0,1007402,1,""
0,1,22,1007402012,1,0,6,0,1007402,1,""
-220,31,1,1007402013,-1000,0,5,1.7,1007402,110,NoItem
"","",0,1007402014,"","",91,"",1007402,"",""
"",mhp_sit_talk_normal,117531,1007402015,"","",3,0.2,1007402,1,""
"",vo_mhp_4101,vo_mhp_1007402,1007402016,0,"",21,"",1007402,0,""
0,"유이, 어서 와~",117531,1007402017,0,0,11,0,1007402,8,0.5
"","",0,1007402018,"","",91,"",1007402,"",""
"",mhp_sit_idle,117531,1007402019,"","",3,0.2,1007402,1,""
"",mhp_yui_walk_sad2,100211,1007402020,"","",3,0.2,1007402,1,""
0,-200,100211,1007402021,4,"",2,"",1007402,-220,""
"","",0,1007402022,"","",91,"",1007402,"",""
1,mhp_yui_sit_in_sad,100211,1007402023,mhp_yui_sit_idle_sad,0.2,3,0.2,1007402,0,""
"",0,1,1007402024,"","",93,"",1007402,"",""
"",mhp_sit_talk_normal,117531,1007402025,"","",3,0.2,1007402,1,""
"",vo_mhp_4102,vo_mhp_1007402,1007402026,0,"",21,"",1007402,0,""
0,"잘 왔어\n오늘은 혹시 가슴의 답답함일까?",117531,1007402027,1,0,11,0,1007402,5,0.5
"","",0,1007402028,"","",91,"",1007402,"",""
"",mhp_sit_idle,117531,1007402029,"","",3,0.2,1007402,1,""
"",mhp_yui_sit_talk_surprise,100211,1007402030,"","",3,0.2,1007402,1,""
"",vo_mhp_4103,vo_mhp_1007402,1007402031,0,"",21,"",1007402,0,""
0,"아, 아직 아무 말도 안 했는데!?\n역시 미츠키 씨네요……",100211,1007402032,1,0,11,0,1007402,6,0.5
"","",0,1007402033,"","",91,"",1007402,"",""
"",mhp_yui_sit_talk_sad,100211,1007402034,"","",3,0.2,1007402,1,""
"",vo_mhp_4104,vo_mhp_1007402,1007402035,0,"",21,"",1007402,0,""
0,"맞아요, 가슴이 답답해서\n견딜 수가 없거든요……\n여, 역시 중병인 걸까요……",100211,1007402036,1,0,11,0,1007402,4,0.5
"","",0,1007402037,"","",91,"",1007402,"",""
"",mhp_yui_sit_idle_sad,100211,1007402038,"","",3,0.2,1007402,1,""
"",mhp_sit_talk_sad2,117531,1007402039,"","",3,0.2,1007402,1,""
"",vo_mhp_4105,vo_mhp_1007402,1007402040,0,"",21,"",1007402,0,""
0,"전에도 말했지만, 직접 목숨에 지장이 가는\n일은 없어. 그래도 때로는 죽는 것보다\n괴로워질 가능성도 있지.",117531,1007402041,1,0,11,0,1007402,6,0.5
"","",0,1007402042,"","",91,"",1007402,"",""
"",mhp_sit_idle,117531,1007402043,"","",3,0.2,1007402,1,""
"",mhp_yui_sit_talk_wish,100211,1007402044,"","",3,0.2,1007402,1,""
"",vo_mhp_4106,vo_mhp_1007402,1007402045,0,"",21,"",1007402,0,""
0,"그럴 수가……\n저, 전 어떻게 하면……",100211,1007402046,1,0,11,0,1007402,6,0.5
"","",0,1007402047,"","",91,"",1007402,"",""
"",mhp_yui_sit_idle_sad,100211,1007402048,"","",3,0.2,1007402,1,""
"",mhp_sit_talk_wish,117531,1007402049,"","",3,0.2,1007402,1,""
"",vo_mhp_4107,vo_mhp_1007402,1007402050,0,"",21,"",1007402,0,""
0,"걱정 마, 그 때문에 있는 의사인걸\n자, 가슴의 답답함에는……",117531,1007402051,1,0,11,0,1007402,6,0.5
"","",0,1007402052,"","",91,"",1007402,"",""
"",0,0,1007402053,"","",22,"",1007402,"",""
"",1007402057,"두근거림에 잘 듣는 약을 처방할게.",1007402054,"","",103,"",1007402,0,""
"",1007402102,"오에도 특산물인 달콤한 과자야.",1007402055,"","",103,"",1007402,0,""
"",1007402147,"양 마릿수라도 세.",1007402056,"","",103,"",1007402,0,""
1,mhp_sit_out,117531,1007402057,mhp_idle_normal,0,3,0.2,1007402,0,""
"",0,0.6,1007402058,"","",93,"",1007402,"",""
1,mhp_sit_out,100211,1007402059,mhp_idle_normal,0,3,0.2,1007402,0,""
"",0,0.2,1007402060,"","",93,"",1007402,"",""
0,mhp_walk,100211,1007402061,"","",3,0.2,1007402,1,""
0,35,100211,1007402062,1.5,"",2,"",1007402,-220,""
0,35,31,1007402063,1.5,"",2,"",1007402,-220,""
0,35,11,1007402064,1.5,"",2,"",1007402,-220,""
0,35,12,1007402065,1.5,"",2,"",1007402,-220,""
"",0,0.3,1007402066,"","",93,"",1007402,"",""
1,mhp_handover_in,117531,1007402067,mhp_handover_loop,0,3,0.2,1007402,0,""
1,1,21,1007402068,1,0,6,0,1007402,1,""
1,1,22,1007402069,1,0,6,0,1007402,1,""
1,mhp_handover_in,21,1007402070,mhp_handover_loop,0,3,0.2,1007402,0,""
1,mhp_item_EX0009_handover_in,22,1007402071,mhp_item_EX0009_handover_loop,0,3,0.2,1007402,0,""
"",0,1.2,1007402072,"","",93,"",1007402,"",""
1,mhp_handover_receive_in,100211,1007402073,mhp_handover_receive_loop,0,3,0.2,1007402,0,""
1,1,11,1007402074,1,0,6,0,1007402,1,""
1,1,12,1007402075,1,0,6,0,1007402,1,""
1,mhp_receive_yui_in,11,1007402076,mhp_receive_yui_loop,0,3,0.2,1007402,0,""
1,mhp_item_EX0009_receive_in,12,1007402077,mhp_item_EX0009_receive_loop,0,3,0.2,1007402,0,""
"",0,0.6,1007402078,"","",93,"",1007402,"",""
1,1,22,1007402079,1,0,6,0.4,1007402,1,""
"",0,0.4,1007402080,"","",93,"",1007402,"",""
1,mhp_handover_out,117531,1007402081,mhp_idle_normal,0,3,0.2,1007402,0,""
1,mhp_handover_out,21,1007402082,NoItem_idle,0,3,0.2,1007402,0,""
1,mhp_item_EX0009_handover_out,22,1007402083,NoItem_idle,0,3,0.2,1007402,0,""
"",0,0.4,1007402084,"","",93,"",1007402,"",""
1,mhp_handover_receive_out,100211,1007402085,mhp_idle_normal,0,3,0.2,1007402,0,""
1,mhp_receive_yui_out,11,1007402086,NoItem_idle,0,3,0.2,1007402,0,""
1,mhp_item_EX0009_receive_out,12,1007402087,NoItem_idle,0,3,0.2,1007402,0,""
"",0,2,1007402088,"","",93,"",1007402,"",""
"",mhp_talk_sad,100211,1007402089,"","",3,0.2,1007402,1,""
"",vo_mhp_4108,vo_mhp_1007402,1007402090,0,"",21,"",1007402,0,""
0,"약을 받으니 어쩐지 안심돼요\n이걸로 나으면 좋겠는데……",100211,1007402091,1,0,11,0,1007402,6,0.5
"","",0,1007402092,"","",91,"",1007402,"",""
"",mhp_idle_sad,100211,1007402093,"","",3,0.2,1007402,1,""
"",mhp_idle_thinking,117531,1007402094,"","",3,0.2,1007402,1,""
"",vo_mhp_4109,vo_mhp_1007402,1007402095,0,"",21,"",1007402,0,""
0,"(실제로는 그저 레모네이드 맛 사탕이지만.\n진짜 병이 아니니까 이게 제일이야)",117531,1007402096,1,0,11,0,1007402,6,0.5
"","",0,1007402097,"","",91,"",1007402,"",""
"",0,0,1007402098,"","",22,"",1007402,"",""
1,mhp_sit_in,117531,1007402099,mhp_sit_idle,0.2,3,0.2,1007402,0,""
"",0,1,1007402100,"","",93,"",1007402,"",""
"","",1007402160,1007402101,"","",101,"",1007402,"",""
1,mhp_sit_out,117531,1007402102,mhp_idle_normal,0,3,0.2,1007402,0,""
"",0,0.6,1007402103,"","",93,"",1007402,"",""
1,mhp_sit_out,100211,1007402104,mhp_idle_normal,0,3,0.2,1007402,0,""
"",0,0.2,1007402105,"","",93,"",1007402,"",""
0,mhp_walk,100211,1007402106,"","",3,0.2,1007402,1,""
0,35,100211,1007402107,1.5,"",2,"",1007402,-220,""
0,35,31,1007402108,1.5,"",2,"",1007402,-220,""
0,35,11,1007402109,1.5,"",2,"",1007402,-220,""
0,35,12,1007402110,1.5,"",2,"",1007402,-220,""
"",0,0.3,1007402111,"","",93,"",1007402,"",""
1,mhp_handover_in,117531,1007402112,mhp_handover_loop,0,3,0.2,1007402,0,""
1,1,21,1007402113,1,0,6,0,1007402,1,""
1,1,22,1007402114,1,0,6,0,1007402,1,""
1,mhp_handover_in,21,1007402115,mhp_handover_loop,0,3,0.2,1007402,0,""
1,mhp_item_EX0010_handover_in,22,1007402116,mhp_item_EX0010_handover_loop,0,3,0.2,1007402,0,""
"",0,1.2,1007402117,"","",93,"",1007402,"",""
1,mhp_handover_receive_in,100211,1007402118,mhp_handover_receive_loop,0,3,0.2,1007402,0,""
1,1,11,1007402119,1,0,6,0,1007402,1,""
1,1,12,1007402120,1,0,6,0,1007402,1,""
1,mhp_receive_yui_in,11,1007402121,mhp_receive_yui_loop,0,3,0.2,1007402,0,""
1,mhp_item_EX0010_receive_in,12,1007402122,mhp_item_EX0010_receive_loop,0,3,0.2,1007402,0,""
"",0,0.6,1007402123,"","",93,"",1007402,"",""
1,1,22,1007402124,1,0,6,0.4,1007402,1,""
"",0,0.4,1007402125,"","",93,"",1007402,"",""
1,mhp_handover_out,117531,1007402126,mhp_idle_normal,0,3,0.2,1007402,0,""
1,mhp_handover_out,21,1007402127,NoItem_idle,0,3,0.2,1007402,0,""
1,mhp_item_EX0010_handover_out,22,1007402128,NoItem_idle,0,3,0.2,1007402,0,""
"",0,0.4,1007402129,"","",93,"",1007402,"",""
1,mhp_handover_receive_out,100211,1007402130,mhp_idle_normal,0,3,0.2,1007402,0,""
1,mhp_receive_yui_out,11,1007402131,NoItem_idle,0,3,0.2,1007402,0,""
1,mhp_item_EX0010_receive_out,12,1007402132,NoItem_idle,0,3,0.2,1007402,0,""
"",0,2,1007402133,"","",93,"",1007402,"",""
"",mhp_talk_worry,100211,1007402134,"","",3,0.2,1007402,1,""
"",vo_mhp_4110,vo_mhp_1007402,1007402135,0,"",21,"",1007402,0,""
0,"가, 감사합니다……\n그런데 병이랑 무슨 관계가……",100211,1007402136,1,0,11,0,1007402,5,0.5
"","",0,1007402137,"","",91,"",1007402,"",""
"",mhp_idle_sad,100211,1007402138,"","",3,0.2,1007402,1,""
"",mhp_talk_normal,117531,1007402139,"","",3,0.2,1007402,1,""
"",vo_mhp_4111,vo_mhp_1007402,1007402140,0,"",21,"",1007402,0,""
0,"감정의 격양이 별로 좋지 않거든.\n그러니 달콤한 것에 의한 행복으로 감정을 억눌러\n확실히 컨트롤하는 게 중요해.",117531,1007402141,1,0,11,0,1007402,6,0.5
"","",0,1007402142,"","",91,"",1007402,"",""
"",0,0,1007402143,"","",22,"",1007402,"",""
