command_id,param_04,param_01,command_type,param_02,param_03,drama_id,param_07,param_06,param_08,param_05
1010310007,-190,1,1,1000003,1,1031,0,1.46,travel_exdrama_r_103_map,-140
1010310008,-510,1,5,1,6,1031,0,1.46,travel_exdrama_r_103_dig_A,-200
1010310009,-400,1,5,2,4,1031,0,1.46,travel_exdrama_r_103_dig_B,-175
1010310010,-190,1,5,3,2,1031,0,1.46,travel_exdrama_r_103_map,-140
1010320001,"",se_travel,23,se_travel_finish_dig_rare,0,1032,"","","",""
1010320002,travel_exdrama_r_103_dig_A,1000001,3,travel_exdrama_r_103_surprise_A,0,1032,0.2,0.2,"",1
1010320003,travel_exdrama_r_103_dig_B,1000002,3,travel_exdrama_r_103_surprise_A,0,1032,0.2,0.2,"",1
1010320004,travel_exdrama_r_103_map,1000003,3,travel_exdrama_r_103_mapSurprise_A,0,1032,0.2,0.2,"",1
1010320005,travel_exdrama_r_103_dig_A,1,3,travel_exdrama_r_103_surprise_A,0,1032,0.2,0.2,"",1
1010320006,travel_exdrama_r_103_dig_B,2,3,travel_exdrama_r_103_surprise_A,0,1032,0.2,0.2,"",1
1010320007,travel_exdrama_r_103_map,3,3,travel_exdrama_r_103_mapSurprise_A,0,1032,0.2,0.2,"",1
1010320008,"",10302,32,1,"",1032,"","","",""
1010320009,"",1.25,93,0,"",1032,"","","",""
1010320010,"",10302,32,0,"",1032,"","","",""
1010330001,"",se_travel,23,se_travel_finish_dig_event,0,1033,"","","",""
1010330002,travel_exdrama_r_103_dig_A,1000001,3,travel_exdrama_r_103_surprise_B,0,1033,0,0.2,"",1
1010330003,travel_exdrama_r_103_dig_B,1000002,3,travel_exdrama_r_103_surprise_B,0,1033,0,0.2,"",1
1010330004,travel_exdrama_r_103_map,1000003,3,travel_exdrama_r_103_mapSurprise_B,0,1033,0,0.2,"",1
1010330005,travel_exdrama_r_103_dig_A,1,3,travel_exdrama_r_103_surprise_B,0,1033,0,0.2,"",1
1010330006,travel_exdrama_r_103_dig_B,2,3,travel_exdrama_r_103_surprise_B,0,1033,0,0.2,"",1
1010330007,travel_exdrama_r_103_map,3,3,travel_exdrama_r_103_mapSurprise_B,0,1033,0,0.2,"",1
1010330008,"",10301,32,1,"",1033,"","","",""
1010330009,"",10002,32,1,"",1033,"","","",""
1010330010,"",3,93,0,"",1033,"","","",""
1010330011,"",10301,32,0,"",1033,"","","",""
1010330012,"",10002,32,0,"",1033,"","","",""
1010340001,"",1000003,4,1,"",1034,"","","",""
1010340002,"",3,4,1,"",1034,"","","",""
1010340003,"",1000001,3,travel_exdrama_r_finish_B,0,1034,0,0,"",0
1010340004,"",1000002,3,travel_exdrama_r_finish_B,0,1034,0,0,"",0
1010340005,"",1000003,3,travel_exdrama_r_finish_A_front,0,1034,0,0,"",0
1010340006,"",1,3,travel_exdrama_r_103_shovel,0,1034,0,0,"",0
1010340007,"",2,3,travel_exdrama_r_103_shovel,0,1034,0,0,"",0
1010340008,"",3,3,travel_exdrama_r_103_map_finish,0,1034,0,0,"",0
1010410001,5,10400,31,10400,-350,1041,"",1,"",1
1010410002,5,10401,31,10401,-350,1041,"",1,"",1
1010410003,5,10402,31,10402,-350,1041,"",0,"",1
1010410004,5,10403,31,10403,-350,1041,"",0,"",1
1010410005,50,10001,31,10001,-525,1041,"",0,"",1
1010410006,-450,1,1,1000001,12,1041,0,1.46,travel_exdrama_r_104_fishingIdle,-150
1010410007,-200,1,1,1000002,10,1041,0,1.46,travel_exdrama_r_104_idle_B,-125
1010410008,-450,2,5,1,11,1041,0,1.46,travel_exdrama_r_104_fishingIdle,-150
1010410009,-350,4,5,10,20,1041,0,1,none,-150
1010420001,"",se_travel,23,se_travel_finish_bridge_rare,0,1042,"","","",""
1010420002,travel_exdrama_r_104_fishingIdle,1000001,3,travel_exdrama_r_104_fishingCatch,0,1042,0.2,0.2,"",1
1010420003,travel_exdrama_r_104_idle_B,1000002,3,travel_exdrama_r_104_glad_B,0,1042,0.2,0.2,"",1
1010420004,travel_exdrama_r_104_fishingIdle,1,3,travel_exdrama_r_104_fishingCatch,0,1042,0.2,0.2,"",1
1010420005,none,10,3,fish,0,1042,0,0,"",1
1010420006,"",10402,32,1,"",1042,"","","",""
1010420007,"",1.25,93,0,"",1042,"","","",""
1010420008,"",10402,32,0,"",1042,"","","",""
1010430001,"",se_travel,23,se_travel_finish_bridge_event,0,1043,"","","",""
1010430002,travel_exdrama_r_104_fishingIdle,1000001,3,travel_exdrama_r_104_fishingBig,0,1043,0,0,"",1
1010430003,travel_exdrama_r_104_idle_B,1000002,3,travel_exdrama_r_104_surprise_B,0,1043,0,0,"",1
1010430004,travel_exdrama_r_104_fishingIdle,1,3,travel_exdrama_r_104_fishingBig,0,1043,0,0,"",1
1010430005,"",10403,32,1,"",1043,"","","",""
1010430006,"",10001,32,1,"",1043,"","","",""
1010430007,"",3,93,0,"",1043,"","","",""
1010430008,"",10403,32,0,"",1043,"","","",""
1010430009,"",10001,32,0,"",1043,"","","",""
1010440001,"",1000002,4,1,"",1044,"","","",""
1010440002,"",1000001,3,travel_exdrama_r_104_fishing_finish,0,1044,0,0,"",0
1010440003,"",1000002,3,travel_exdrama_r_finish_A_front,0,1044,0,0,"",0
1010440004,"",1,3,travel_exdrama_r_104_fishing_finish,0,1044,0,0.2,"",0
1010510001,5,10500,31,10500,-350,1051,"",1,"",1
1010510002,-200,10501,31,10501,-350,1051,"",0,"",1
1010510003,50,10001,31,10001,-525,1051,"",0,"",1
1010510004,-470,1,1,1000001,1,1051,0,1.46,travel_exdrama_r_105_netSearch,-200
1010510005,-200,1,1,1000002,2,1051,0,1.46,travel_exdrama_r_105_binoculars,-220
1010510006,-470,1,5,1,5,1051,0,1.46,travel_exdrama_r_105_netSearch,-200
1010510007,-200,1,5,2,3,1051,0,1.46,travel_exdrama_r_105_binoculars,-220
1010510008,-350,3,5,10,4,1051,0,1.46,idle,-230
1010520001,travel_exdrama_r_105_netSearch,1000001,3,travel_exdrama_r_105_netFind_A,0,1052,0.1,0.2,"",1
1010520002,travel_exdrama_r_105_binoculars,1000002,3,travel_exdrama_r_105_binocularsFind_A,0,1052,0.2,0.2,"",1
1010520003,travel_exdrama_r_105_netSearch,1,3,travel_exdrama_r_105_netFind_A,0,1052,0.1,0.2,"",1
1010520004,travel_exdrama_r_105_binoculars,2,3,travel_exdrama_r_105_binocularsFind_A,0,1052,0.2,0.2,"",1
1010520005,idle,10,3,beetle,0,1052,0.2,0.2,"",1
1010520006,"",10501,32,1,"",1052,"","","",""
1010520007,"",1.2,93,0,"",1052,"","","",""
1010520008,"",10501,32,0,"",1052,"","","",""
1010530001,"",se_travel,23,se_travel_finish_insects_event,0,1053,"","","",""
1010530002,travel_exdrama_r_105_netSearch,1000001,3,travel_exdrama_r_105_netFind_B,0,1053,0,0.2,"",1
1010530003,travel_exdrama_r_105_binoculars,1000002,3,travel_exdrama_r_105_binocularsFind_B,0,1053,0,0.2,"",1
1010530004,travel_exdrama_r_105_netSearch,1,3,travel_exdrama_r_105_netFind_B,0,1053,0,0.2,"",1
1010530005,travel_exdrama_r_105_binoculars,2,3,travel_exdrama_r_105_binocularsFind_B,0,1053,0,0.2,"",1
1010530006,idle,10,3,butterfly,0,1053,0,0.2,"",1
1010530007,"",10501,32,1,"",1053,"","","",""
1010530008,"",10001,32,1,"",1053,"","","",""
1010530009,"",2.6,93,0,"",1053,"","","",""
1010530010,"",10501,32,0,"",1053,"","","",""
1010530011,"",10501,32,1,"",1053,"","","",""
1010530012,"",0.4,93,0,"",1053,"","","",""
1010530013,"",10501,32,0,"",1053,"","","",""
1010530014,"",10001,32,0,"",1053,"","","",""
1010540001,"",1000002,4,1,"",1054,"","","",""
1010540002,"",2,4,1,"",1054,"","","",""
1010540003,"",1000001,3,travel_exdrama_r_finish_B_hand,0,1054,0,0,"",0
1010540004,"",1000002,3,travel_exdrama_r_finish_B,0,1054,0,0,"",0
1010540005,"",1,3,travel_exdrama_r_105_net_finish,0,1054,0,0,"",0
1010540006,"",2,3,travel_exdrama_r_105_binoculars_finish,0,1054,0,0,"",0
1010540007,"",10,3,stop,0,1054,0,0,"",0
1010610001,5,10600,31,10600,-350,1061,"",1,"",1
1010610002,5,10601,31,10601,-350,1061,"",0,"",1
1010610003,5,10602,31,10602,-350,1061,"",0,"",1
1010610004,5,10603,31,10603,-350,1061,"",0,"",1
1010610005,5,10604,31,10604,-350,1061,"",1,"",1
1010610006,5,10605,31,10605,-350,1061,"",1,"",1
1010610007,50,10001,31,10001,-525,1061,"",0,"",1
1010610008,-497,1,1,1000001,18,1061,0,1.46,travel_exdrama_r_106_idle_A,-224
1010610009,-208,1,1,1000002,2,1061,0,1.46,travel_exdrama_r_106_idle_B,-116
1010610010,-497,1,5,1,30,1061,0,1.46,travel_exdrama_r_106_idle_A,-224
1010610011,-208,1,5,2,3,1061,0,1.46,travel_exdrama_r_000_none,-116
1010620001,"",se_travel,23,se_travel_finish_beach_rare,0,1062,"","","",""
1010620002,travel_exdrama_r_106_idle_A,1000001,3,travel_exdrama_r_106_rare_A,0,1062,0.2,0,"",1
1010620003,travel_exdrama_r_106_idle_B,1000002,3,travel_exdrama_r_106_rare_B,0,1062,0.2,0,"",1
1010620004,travel_exdrama_r_106_idle_A,1,3,travel_exdrama_r_106_rare_A,0,1062,0.2,0,"",1
1010620005,travel_exdrama_r_000_none,2,3,travel_exdrama_r_106_rare_B,0,1062,0.2,0,"",0
1010620006,"",10603,32,1,"",1062,"","","",""
1010620007,"",1.2,93,0,"",1062,"","","",""
1010620008,"",10603,32,0,"",1062,"","","",""
1010630001,"",se_travel,23,se_travel_finish_beach_event,0,1063,"","","",""
1010630002,travel_exdrama_r_106_idle_A,1000001,3,travel_exdrama_r_106_memory_A,0,1063,0,0,"",1
1010630003,travel_exdrama_r_106_idle_B,1000002,3,travel_exdrama_r_106_memory_B,0,1063,0,0,"",1
1010630004,travel_exdrama_r_106_idle_A,1,3,travel_exdrama_r_106_memory_A,0,1063,0,0,"",1
1010630005,"",10601,32,1,"",1063,"","","",""
1010630006,"",10602,32,1,"",1063,"","","",""
1010630007,"",10001,32,1,"",1063,"","","",""
1010630008,"",3,93,0,"",1063,"","","",""
1010630009,"",10601,32,0,"",1063,"","","",""
1010630010,"",10602,32,0,"",1063,"","","",""
1010630011,"",10001,32,0,"",1063,"","","",""
1010640001,"",1000002,4,1,"",1064,"","","",""
1010640002,"",1000001,4,1,"",1064,"","","",""
1010640003,"",2,4,1,"",1064,"","","",""
1010640004,"",1000001,3,travel_exdrama_r_106_finish_A,0,1064,0,0,"",""
1010640005,"",1000002,3,travel_exdrama_r_106_finish_B,0,1064,0,0,"",""
1010640006,"",1,3,travel_exdrama_r_106_rare_A,0,1064,0,0,"",""
1010640007,"",2,3,travel_exdrama_r_000_none,0,1064,0,0,"",""
1010710001,5,10700,31,10700,-350,1071,"",1,"",1
1010710002,5,10701,31,10701,-350,1071,"",1,"",1
1010710003,5,10702,31,10702,-350,1071,"",0,"",1
1010710004,5,10703,31,10703,-350,1071,"",0,"",1
1010710005,50,10001,31,10001,-525,1071,"",0,"",1
1010710006,-470,1,1,1000001,32,1071,0,1.46,travel_exdrama_r_107_dig_A,-170
1010710007,-215,1,1,1000002,30,1071,1,1.46,travel_exdrama_r_107_dig_B,-170
1010710008,-470,1,5,1,33,1071,0,1.46,travel_exdrama_r_107_dig_A,-170
1010710009,-215,1,5,10,31,1071,1,1.46,travel_exdrama_r_107_dig_B,-170
1010720001,"",se_travel,23,se_travel_finish_raredrop,0,1072,"","","",""
1010720002,travel_exdrama_r_107_dig_A,1000001,3,travel_exdrama_r_107_joy,0,1072,0.2,0.2,"",1
1010720003,travel_exdrama_r_107_dig_B,1000002,3,travel_exdrama_r_107_joy,0,1072,0.2,0.2,"",1
1010720004,travel_exdrama_r_107_dig_A,1,3,travel_exdrama_r_107_joy,0,1072,0.2,0.2,"",1
1010720005,travel_exdrama_r_107_dig_B,10,3,travel_exdrama_r_107_joy,0,1072,0.2,0.2,"",1
1010720006,"",10701,32,0,"",1072,"","","",""
1010720007,"",10702,32,1,"",1072,"","","",""
1010720008,"",1.4,93,0,"",1072,"","","",""
1010720009,"",10701,32,1,"",1072,"","","",""
1010720010,"",10702,32,0,"",1072,"","","",""
1010730001,"",se_travel,23,se_travel_finish_memory_event,0,1073,"","","",""
1010730002,travel_exdrama_r_107_dig_A,1000001,3,travel_exdrama_r_107_surprise_A,0,1073,0,0.2,"",1
1010730003,travel_exdrama_r_107_dig_B,1000002,3,travel_exdrama_r_107_surprise_B,0,1073,0,0.2,"",1
1010730004,travel_exdrama_r_107_dig_A,1,3,travel_exdrama_r_107_surprise_A,0,1073,0,0.2,"",1
1010730005,travel_exdrama_r_107_dig_B,10,3,travel_exdrama_r_107_surprise_B,0,1073,0,0.2,"",1
1010730006,"",10703,32,1,"",1073,"","","",""
1010730007,"",10001,32,1,"",1073,"","","",""
1010730008,"",10701,32,0,"",1073,"","","",""
1010730009,"",3,93,0,"",1073,"","","",""
1010730010,"",10703,32,0,"",1073,"","","",""
1010730011,"",10001,32,0,"",1073,"","","",""
1010730012,"",10701,32,1,"",1073,"","","",""
1010740001,"",1000002,4,1,"",1074,"","","",""
1010740002,"",10,4,1,"",1074,"","","",""
1010740003,"",1000001,3,travel_exdrama_r_finish_B_hand,0,1074,0,0,"",0
1010740004,"",1000002,3,travel_exdrama_r_finish_B_hand,0,1074,0,0,"",0
1010740005,"",1,3,travel_exdrama_r_107_finish_A,0,1074,0,0,"",0
1010740006,"",10,3,travel_exdrama_r_107_finish_A,0,1074,0,0,"",0
1010740007,"",10701,32,0,"",1074,"","","",""
1010810001,5,10800,31,10800,-350,1081,"",1,"",1
1010810002,5,10401,31,10401,-350,1081,"",1,"",1
1010810003,5,10402,31,10402,-350,1081,"",0,"",1
1010810004,5,10403,31,10403,-350,1081,"",0,"",1
1010810005,50,10001,31,10001,-525,1081,"",0,"",1
1010810006,-450,1,1,1000001,12,1081,0,1.46,travel_exdrama_r_104_fishingIdle,-150
1010810007,-200,1,1,1000002,10,1081,0,1.46,travel_exdrama_r_104_idle_B,-125
1010810008,-450,2,5,1,11,1081,0,1.46,travel_exdrama_r_104_fishingIdle,-150
1010810009,-350,4,5,10,20,1081,0,1,none,-150
1010820001,"",se_travel,23,se_travel_finish_bridge_rare,0,1082,"","","",""
1010820002,travel_exdrama_r_104_fishingIdle,1000001,3,travel_exdrama_r_104_fishingCatch,0,1082,0.2,0.2,"",1
1010820003,travel_exdrama_r_104_idle_B,1000002,3,travel_exdrama_r_104_glad_B,0,1082,0.2,0.2,"",1
1010820004,travel_exdrama_r_104_fishingIdle,1,3,travel_exdrama_r_104_fishingCatch,0,1082,0.2,0.2,"",1
1010820005,none,10,3,fish,0,1082,0,0,"",1
1010820006,"",10402,32,1,"",1082,"","","",""
1010820007,"",1.25,93,0,"",1082,"","","",""
1010820008,"",10402,32,0,"",1082,"","","",""
1010830001,"",se_travel,23,se_travel_finish_bridge_event,0,1083,"","","",""
1010830002,travel_exdrama_r_104_fishingIdle,1000001,3,travel_exdrama_r_104_fishingBig,0,1083,0,0,"",1
1010830003,travel_exdrama_r_104_idle_B,1000002,3,travel_exdrama_r_104_surprise_B,0,1083,0,0,"",1
1010830004,travel_exdrama_r_104_fishingIdle,1,3,travel_exdrama_r_104_fishingBig,0,1083,0,0,"",1
1010830005,"",10403,32,1,"",1083,"","","",""
1010830006,"",10001,32,1,"",1083,"","","",""
1010830007,"",3,93,0,"",1083,"","","",""
1010830008,"",10403,32,0,"",1083,"","","",""
1010830009,"",10001,32,0,"",1083,"","","",""
1010840001,"",1000002,4,1,"",1084,"","","",""
1010840002,"",1000001,3,travel_exdrama_r_104_fishing_finish,0,1084,0,0,"",0
1010840003,"",1000002,3,travel_exdrama_r_finish_A_front,0,1084,0,0,"",0
1010840004,"",1,3,travel_exdrama_r_104_fishing_finish,0,1084,0,0.2,"",0
