param_04,param_05,param_02,command_type,param_06,param_07,drama_id,param_03,param_08,param_01,command_id
"","",svd_talk_joy1,3,0.2,"",1007001,1,"",113411,1007001045
0,"",vo_svd_0122,21,"","",1007001,0,"",vo_svd,1007001046
0,0,"여름이 오면 우리를\n떠올릴 멋진\n프로듀스를 하자!",11,0,0,1007001,8,1,113411,1007001047
"","","",91,"","",1007001,"","",0,1007001048
"","",svd_idle_joy1,3,0.2,"",1007001,1,"",113411,1007001049
"","",svd_talk_thinking,3,0.2,"",1007001,1,"",113511,1007001050
0,"",vo_svd_0123,21,"","",1007001,0,"",vo_svd,1007001051
0,0,"글쎄요…? 저는 내년 여름도\n같이 보낼 거라 떠올릴\n필요는 없는데요…",11,0,0,1007001,6,1,113511,1007001052
"","","",91,"","",1007001,"","",0,1007001053
"","",svd_idle_thinking,3,0.2,"",1007001,1,"",113511,1007001054
svd_talk_anger,1,svd_surprise,3,0.2,0.2,1007001,0,"",113411,1007001055
0,"",vo_svd_0124,21,"","",1007001,0,"",vo_svd,1007001056
0,0,"아! 치사해, 에리코!\n언니도 계속 계속\n영원히 함께야!",11,0,0,1007001,8,1,113411,1007001057
"","","",93,"","",1007001,"","",3,1007001058
svd_talk_joy1,1,svd_jump,3,0.2,0.4,1007001,0,"",113411,1007001059
"","","",91,"","",1007001,"","",1007001057,1007001060
"","",svd_idle_joy1,3,0.2,"",1007001,1,"",113411,1007001061
"","","",102,"","",1007001,"","","",1007001062
"","",0,32,"","",1007001,"","",14,1007001063
"","",0,32,"","",1007001,"","",15,1007001064
"","","",93,"","",1007001,"","",1,1007001065
"","",7,12,0,0,1007001,1,"",113511,1007001066
"","",svd_talk_normal,3,0.2,"",1007001,1,"",113511,1007001067
"","","",93,"","",1007001,"","",3,1007001068
"","",svd_idle_normal,3,0.2,"",1007001,1,"",113511,1007001069
"","",10,12,0,0,1007001,1,"",113411,1007001070
"",1,svd_talk_normal,3,0.2,"",1007001,1,"",113411,1007001071
"","","",93,"","",1007001,"","",3,1007001072
"",1,svd_idle_normal,3,0.2,"",1007001,1,"",113411,1007001073
"","",7,12,0,0,1007001,1,"",113511,1007001074
"","",svd_talk_memory,3,0.2,"",1007001,1,"",113511,1007001075
"","","",93,"","",1007001,"","",3,1007001076
"","",svd_idle_memory,3,0.2,"",1007001,1,"",113511,1007001077
"","",10,12,0,0,1007001,1,"",113411,1007001078
"",1,svd_talk_memory,3,0.2,"",1007001,1,"",113411,1007001079
"","","",93,"","",1007001,"","",3,1007001080
"",1,svd_idle_memory,3,0.2,"",1007001,1,"",113411,1007001081
"","","",101,"","",1007001,"","",1007001066,1007001082
1,0,1,6,1,0,1007001,1,"",333,1007001083
"","",1,4,"","",1007001,"","",113511,1007001084
"","",svd_run,3,0.2,"",1007001,1,"",113511,1007001085
0.8,0,-750,2,"","",1007001,-300,"",113511,1007001086
"","",0,4,"","",1007001,"","",113411,1007001087
"","",svd_run,3,0.2,"",1007001,1,"",113411,1007001088
0.8,0,750,2,"","",1007001,-300,"",113411,1007001089
"","","",93,"","",1007001,"","",0.6,1007001090
1,0,1,6,0.2,0,1007001,1,"",113511,1007001091
1,0,1,6,0.2,0,1007001,1,"",113411,1007001092
"","","",91,"","",1007001,"","",0,1007001093
-650,-300,113511,5,2.08,0,1007002,100,svd_idle_normal,2,1007002001
650,-300,113411,5,2.08,1,1007002,100,svd_idle_normal,1,1007002002
0,0,333,5,1,0,1007002,0,svd_white_loop,3,1007002003
1,0,1,6,0,0,1007002,1,"",333,1007002004
1,0,1,6,0,0,1007002,1,"",113511,1007002005
1,0,1,6,0,0,1007002,1,"",113411,1007002006
"","","",93,"","",1007002,"","",1,1007002007
1,0.4,1,6,0.8,0,1007002,1,"",333,1007002008
"","",svd_run,3,0.2,"",1007002,1,"",113511,1007002009
1.2,0,-250,2,"","",1007002,-300,"",113511,1007002010
1,1,1,6,0.4,0,1007002,1,"",113511,1007002011
"","","",93,"","",1007002,"","",1.2,1007002012
"","","",91,"","",1007002,"","",0,1007002013
"","",svd_idle_normal,3,0.1,"",1007002,1,"",113511,1007002014
"","","",93,"","",1007002,"","",0.6,1007002015
"","",svd_talk_memory,3,0.2,"",1007002,1,"",113511,1007002016
0,"",vo_svd_0221,21,"","",1007002,0,"",vo_svd,1007002017
0,0,"당신의 헤엄치는 모습… 이 눈에\n확실히 새겨\n두었어요.",11,0,0,1007002,6,1,113511,1007002018
"","","",91,"","",1007002,"","",0,1007002019
"","",svd_idle_memory,3,0.2,"",1007002,1,"",113511,1007002020
"","",svd_run,3,0.2,"",1007002,1,"",113411,1007002021
1.2,0,250,2,"","",1007002,-300,"",113411,1007002022
1,1,1,6,0.4,0,1007002,1,"",113411,1007002023
"","","",93,"","",1007002,"","",1.2,1007002024
"","",svd_idle_joy1,3,0.1,"",1007002,1,"",113411,1007002025
"","","",93,"","",1007002,"","",0.3,1007002026
"","",svd_talk_memory,3,0.2,"",1007002,1,"",113411,1007002027
0,"",vo_svd_0222,21,"","",1007002,0,"",vo_svd,1007002028
0,0,"동생이 열심히 움직이는 팔다리…\n귀여웠지…",11,0,0,1007002,6,1,113411,1007002029
"","","",91,"","",1007002,"","",0,1007002030
"","",svd_idle_memory,3,0.2,"",1007002,1,"",113411,1007002031
"","",svd_talk_memory,3,0.2,"",1007002,1,"",113511,1007002032
0,"",vo_svd_0223,21,"","",1007002,0,"",vo_svd,1007002033
0,0,"당신이 일으키는 물보라는\n어떠한 비약보다 뛰어난 영약이\n될 것 같아요…",11,0,0,1007002,6,1,113511,1007002034
"","","",91,"","",1007002,"","",0,1007002035
"","",svd_idle_memory,3,0.2,"",1007002,1,"",113511,1007002036
"","",svd_talk_worry,3,0.2,"",1007002,1,"",113411,1007002037
0,"",vo_svd_0224,21,"","",1007002,0,"",vo_svd,1007002038
0,0,"에리코…\n그건 아무리 그래도 좀…",11,0,0,1007002,6,1,113411,1007002039
"","","",91,"","",1007002,"","",0,1007002040
"","",svd_idle_worry,3,0.2,"",1007002,1,"",113411,1007002041
"","",svd_talk_thinking,3,0.2,"",1007002,1,"",113511,1007002042
0,"",vo_svd_0225,21,"","",1007002,0,"",vo_svd,1007002043
0,0,"시즈루 씨한테는\n필요 없군요.\n그럼 제가 전부…",11,0,0,1007002,6,1,113511,1007002044
"","","",91,"","",1007002,"","",0,1007002045
"","",svd_idle_thinking,3,0.2,"",1007002,1,"",113511,1007002046
"","",4,12,0,0,1007002,0,"",113411,1007002047
"","",svd_surprise,3,0.2,"",1007002,0,"",113411,1007002048
"","","",93,"","",1007002,"","",1,1007002049
"","",svd_talk_joy2,3,0.2,"",1007002,1,"",113411,1007002050
0,"",vo_svd_0226,21,"","",1007002,0,"",vo_svd,1007002051
0,0,"갖고 싶어!\n예쁜 작은 병에 모을 거야!",11,0,0,1007002,8,1,113411,1007002052
"","","",91,"","",1007002,"","",0,1007002053
"","",svd_idle_joy1,3,0.2,"",1007002,1,"",113411,1007002054
"","","",102,"","",1007002,"","","",1007002055
"","","",93,"","",1007002,"","",1,1007002056
"","",8,12,0,0,1007002,1,"",113511,1007002057
"","",svd_talk_memory,3,0.2,"",1007002,1,"",113511,1007002058
"","","",93,"","",1007002,"","",3,1007002059
"","",svd_idle_memory,3,0.2,"",1007002,1,"",113511,1007002060
"","",1,12,0,0,1007002,1,"",113411,1007002061
"",1,svd_talk_worry,3,0.2,"",1007002,1,"",113411,1007002062
"","","",93,"","",1007002,"","",3,1007002063
"",1,svd_idle_worry,3,0.2,"",1007002,1,"",113411,1007002064
"","",11,12,0,0,1007002,1,"",113511,1007002065
svd_idle_guts2,1,svd_talk_guts2,3,0.2,0.2,1007002,0,"",113511,1007002066
"","","",93,"","",1007002,"","",3,1007002067
"","",svd_idle_guts2,3,0.2,"",1007002,1,"",113511,1007002068
"","",7,12,0,0,1007002,1,"",113411,1007002069
"",1,svd_talk_joy1,3,0.2,"",1007002,1,"",113411,1007002070
"","","",93,"","",1007002,"","",3,1007002071
"",1,svd_idle_joy1,3,0.2,"",1007002,1,"",113411,1007002072
"","","",101,"","",1007002,"","",1007002057,1007002073
1,0,1,6,1,0,1007002,1,"",333,1007002074
"","",1,4,"","",1007002,"","",113511,1007002075
"","",svd_run,3,0.2,"",1007002,1,"",113511,1007002076
0.8,0,-750,2,"","",1007002,-300,"",113511,1007002077
"","",0,4,"","",1007002,"","",113411,1007002078
"","",svd_run,3,0.2,"",1007002,1,"",113411,1007002079
0.8,0,750,2,"","",1007002,-300,"",113411,1007002080
"","","",93,"","",1007002,"","",0.6,1007002081
1,0,1,6,0.2,0,1007002,1,"",113511,1007002082
1,0,1,6,0.2,0,1007002,1,"",113411,1007002083
"","","",91,"","",1007002,"","",0,1007002084
-750,-300,113511,5,2.08,0,1007003,100,svd_idle_normal,1,1007003001
650,-300,113411,5,2.08,1,1007003,100,svd_idle_normal,2,1007003002
0,0,333,5,1,0,1007003,0,svd_white_loop,3,1007003003
1,0,1,6,0,0,1007003,1,"",333,1007003004
0,"",2,7,"","",1007003,0,"",113511,1007003005
0.5,0,-750,2,"","",1007003,-300,"",113511,1007003006
1,0,1,6,0,0,1007003,1,"",113411,1007003007
-40,0.8,16,31,0,"",1007003,-140,"",6,1007003008
0,"",2,34,"","",1007003,0,"",16,1007003009
"","","",93,"","",1007003,"","",1,1007003010
1,0.4,1,6,0.8,0,1007003,1,"",333,1007003011
svd_idle_see_sad,1,svd_idle_see_sad_pre,3,0.2,0,1007003,0,"",113511,1007003012
1.1,0,-600,2,"","",1007003,-300,"",113511,1007003013
"","","",93,"","",1007003,"","",1,1007003014
"","",1,32,"","",1007003,"","",16,1007003015
"","","",91,"","",1007003,"","",0,1007003016
0,80,240,94,"","",1007003,260,"",113511,1007003017
"","",0,32,"","",1007003,"","",16,1007003018
"","",17,12,0,0,1007003,1,"",113511,1007003019
"","",svd_walk_sad,3,0.2,"",1007003,1,"",113511,1007003020
0,"",0,7,"","",1007003,2,"",113511,1007003021
2.4,0,-250,2,"","",1007003,-300,"",113511,1007003022
"","","",93,"","",1007003,"","",2.4,1007003023
"","",svd_idle_sad,3,0.2,"",1007003,1,"",113511,1007003024
"","","",93,"","",1007003,"","",0.5,1007003025
"","","",91,"","",1007003,"","",0,1007003026
"","",svd_talk_sad,3,0.2,"",1007003,1,"",113511,1007003027
0,"",vo_svd_0321,21,"","",1007003,0,"",vo_svd,1007003028
0,0,"동생한테 큰 장수풍뎅이를\n선물해 주고\n싶었는데…",11,0,0,1007003,7,1,113511,1007003029
"","","",91,"","",1007003,"","",0,1007003030
"","",svd_idle_sad,3,0.2,"",1007003,1,"",113511,1007003031
"","",svd_walk,3,0.2,"",1007003,1,"",113411,1007003032
2,0,250,2,"","",1007003,-300,"",113411,1007003033
1,1,1,6,0.4,0,1007003,1,"",113411,1007003034
"","","",93,"","",1007003,"","",2,1007003035
"","",svd_idle_normal,3,0.2,"",1007003,1,"",113411,1007003036
"","","",93,"","",1007003,"","",0.4,1007003037
"","",svd_talk_thinking,3,0.2,"",1007003,1,"",113411,1007003038
0,"",vo_svd_0322,21,"","",1007003,0,"",vo_svd,1007003039
0,0,"확실히 미련이 남기는 하지만\n그것 이상으로 좋은 걸\n봤어요.",11,0,0,1007003,6,1,113411,1007003040
"","","",91,"","",1007003,"","",0,1007003041
"","",svd_idle_thinking,3,0.2,"",1007003,1,"",113411,1007003042
"","",svd_talk_joy1,3,0.2,"",1007003,1,"",113511,1007003043
0,"",vo_svd_0323,21,"","",1007003,0,"",vo_svd,1007003044
0,0,"다정한 동생도 멋졌지!\n하지만 장수풍뎅이 잡기는\n또 도전하자!",11,0,0,1007003,6,1,113511,1007003045
"","","",91,"","",1007003,"","",0,1007003046
"","",svd_talk_sad,3,0.2,"",1007003,1,"",113511,1007003047
0,"",vo_svd_0324,21,"","",1007003,0,"",vo_svd,1007003048
0,0,"그래도 또 못 잡으면\n그때는…",11,0,0,1007003,6,1,113511,1007003049
"","","",91,"","",1007003,"","",0,1007003050
"","",svd_idle_sad,3,0.2,"",1007003,1,"",113511,1007003051
"","",svd_talk_sad,3,0.2,"",1007003,1,"",113411,1007003052
0,"",vo_svd_0325,21,"","",1007003,0,"",vo_svd,1007003053
0,0,"만약 다음이 있다면… 저희가\n장수풍뎅이가 되죠.\n완전히 돼버려요.",11,0,0,1007003,6,1,113411,1007003054
"","","",93,"","",1007003,"","",5,1007003055
"","",svd_talk_wish2,3,0.2,"",1007003,1,"",113411,1007003056
"","","",91,"","",1007003,"","",1007003054,1007003057
"","",svd_idle_wish2,3,0.2,"",1007003,1,"",113411,1007003058
"","","",102,"","",1007003,"","","",1007003059
"","","",93,"","",1007003,"","",1,1007003060
"","",12,12,0,0,1007003,1,"",113511,1007003061
svd_idle_normal,1,svd_cmn_think,3,0.2,0.2,1007003,0,"",113511,1007003062
"","","",93,"","",1007003,"","",3,1007003063
"","",svd_idle_normal,3,0.2,"",1007003,1,"",113511,1007003064
"","",10,12,0,0,1007003,1,"",113411,1007003065
"",1,svd_talk_normal,3,0.2,"",1007003,1,"",113411,1007003066
"","","",93,"","",1007003,"","",3,1007003067
"",1,svd_idle_normal,3,0.2,"",1007003,1,"",113411,1007003068
"","",1,12,0,0,1007003,1,"",113511,1007003069
"","",svd_talk_sad,3,0.2,"",1007003,1,"",113511,1007003070
"","","",93,"","",1007003,"","",3,1007003071
"","",svd_idle_sad,3,0.2,"",1007003,1,"",113511,1007003072
"","",7,12,0,0,1007003,1,"",113411,1007003073
"",1,svd_talk_wish,3,0.2,"",1007003,1,"",113411,1007003074
"","","",93,"","",1007003,"","",3,1007003075
"",1,svd_idle_wish,3,0.2,"",1007003,1,"",113411,1007003076
"","","",101,"","",1007003,"","",1007003061,1007003077
1,0,1,6,1,0,1007003,1,"",333,1007003078
"","",1,4,"","",1007003,"","",113511,1007003079
"","",svd_run,3,0.2,"",1007003,1,"",113511,1007003080
0.8,0,-750,2,"","",1007003,-300,"",113511,1007003081
"","",0,4,"","",1007003,"","",113411,1007003082
"","",svd_run,3,0.2,"",1007003,1,"",113411,1007003083
0.8,0,750,2,"","",1007003,-300,"",113411,1007003084
"","","",93,"","",1007003,"","",0.6,1007003085
1,0,1,6,0.2,0,1007003,1,"",113511,1007003086
1,0,1,6,0.2,0,1007003,1,"",113411,1007003087
"","","",91,"","",1007003,"","",0,1007003088
-250,-560,113511,5,2.08,0,1007004,100,svd_idle_normal,1,1007004001
250,-560,113411,5,2.08,1,1007004,100,svd_idle_normal,2,1007004002
0,0,333,5,1,0,1007004,0,svd_white_loop,3,1007004003
1,0,1,6,0,0,1007004,1,"",333,1007004004
1,0,1,6,0,0,1007004,1,"",113511,1007004005
1,0,1,6,0,0,1007004,1,"",113411,1007004006
"","","",93,"","",1007004,"","",1,1007004007
1,0.4,1,6,0.8,0,1007004,1,"",333,1007004008
svd_idle_normal,1,svd_jump1,3,0.2,0.2,1007004,0,"",113511,1007004009
svd_idle_normal,1,svd_jump1,3,0.2,0.2,1007004,0,"",113411,1007004010
"","","",93,"","",1007004,"","",0.3,1007004011
0.75,0,-250,2,"","",1007004,-300,"",113511,1007004012
0.75,0,250,2,"","",1007004,-300,"",113411,1007004013
1,1,1,6,0.4,0,1007004,1,"",113511,1007004014
1,1,1,6,0.4,0,1007004,1,"",113411,1007004015
"","","",93,"","",1007004,"","",1.2,1007004016
"","","",91,"","",1007004,"","",0,1007004017
"","",svd_idle_normal,3,0.2,"",1007004,1,"",113411,1007004018
"","",svd_talk_joy1,3,0.2,"",1007004,1,"",113511,1007004019
0,"",vo_svd_0421,21,"","",1007004,0,"",vo_svd,1007004020
0,0,"루센트 학원 학생들\n착한 애들이었지!\n학교생활도 즐거울 것 같아~",11,0,0,1007004,6,1,113511,1007004021
"","","",91,"","",1007004,"","",0,1007004022
"","",svd_idle_joy1,3,0.2,"",1007004,1,"",113511,1007004023
"","",svd_talk_thinking,3,0.2,"",1007004,1,"",113411,1007004024
0,"",vo_svd_0422,21,"","",1007004,0,"",vo_svd,1007004025
0,0,"이오라는\n멋진 선생님도 있어서\n조금 부러워요…",11,0,0,1007004,6,1,113411,1007004026
"","","",91,"","",1007004,"","",0,1007004027
"","",svd_idle_thinking,3,0.2,"",1007004,1,"",113411,1007004028
"","",svd_talk_normal,3,0.2,"",1007004,1,"",113511,1007004029
0,"",vo_svd_0423,21,"","",1007004,0,"",vo_svd,1007004030
0,0,"있지, 있지, 둘이서 입학한다…\n는 건 어떨까?",11,0,0,1007004,7,1,113511,1007004031
"","","",91,"","",1007004,"","",0,1007004032
"","",svd_idle_joy1,3,0.2,"",1007004,1,"",113511,1007004033
svd_talk_joy1,1,svd_surprise,3,0.2,0.2,1007004,0,"",113411,1007004034
0,"",vo_svd_0424,21,"","",1007004,0,"",vo_svd,1007004035
0,0,"…! 좋은 아이디어예요!\n바로 입학 원서를\n가져오게 해요!",11,0,0,1007004,6,1,113411,1007004036
"","","",91,"","",1007004,"","",0,1007004037
"","",svd_idle_joy1,3,0.2,"",1007004,1,"",113411,1007004038
"","","",102,"","",1007004,"","","",1007004039
"","","",93,"","",1007004,"","",1,1007004040
"","",7,12,0,0,1007004,1,"",113511,1007004041
"","",svd_talk_normal,3,0.2,"",1007004,1,"",113511,1007004042
"","","",93,"","",1007004,"","",3,1007004043
"","",svd_idle_normal,3,0.2,"",1007004,1,"",113511,1007004044
"","",6,12,0,0,1007004,1,"",113411,1007004045
"",1,svd_talk_joy1,3,0.2,"",1007004,1,"",113411,1007004046
"","","",93,"","",1007004,"","",3,1007004047
"",1,svd_idle_joy1,3,0.2,"",1007004,1,"",113411,1007004048
"","",10,12,0,0,1007004,1,"",113511,1007004049
"","",svd_talk_joy2,3,0.2,"",1007004,1,"",113511,1007004050
"","","",93,"","",1007004,"","",3,1007004051
"","",svd_idle_joy2,3,0.2,"",1007004,1,"",113511,1007004052
"","",10,12,0,0,1007004,1,"",113411,1007004053
svd_idle_joy1,1,svd_cmn_smile3,3,0.2,0.2,1007004,0,"",113411,1007004054
"","","",93,"","",1007004,"","",3,1007004055
"",1,svd_idle_joy1,3,0.2,"",1007004,1,"",113411,1007004056
"","","",101,"","",1007004,"","",1007004041,1007004057
1,0,1,6,1,0,1007004,1,"",333,1007004058
"","",1,4,"","",1007004,"","",113511,1007004059
"","",svd_run,3,0.2,"",1007004,1,"",113511,1007004060
0.8,0,-750,2,"","",1007004,-300,"",113511,1007004061
"","",0,4,"","",1007004,"","",113411,1007004062
"","",svd_run,3,0.2,"",1007004,1,"",113411,1007004063
0.8,0,750,2,"","",1007004,-300,"",113411,1007004064
"","","",93,"","",1007004,"","",0.6,1007004065
1,0,1,6,0.2,0,1007004,1,"",113511,1007004066
1,0,1,6,0.2,0,1007004,1,"",113411,1007004067
"","","",91,"","",1007004,"","",0,1007004068
-700,-300,113511,5,2.08,0,1007005,110,svd_idle_normal,1,1007005001
-550,-300,113411,5,2.08,0,1007005,100,svd_idle_normal,2,1007005002
0,0,333,5,1,0,1007005,0,svd_white_loop,3,1007005003
1,0,1,6,0,0,1007005,1,"",333,1007005004
60,1.3,13,31,0,"",1007005,-630,"",3,1007005005
1,0,1,6,0,0,1007005,1,"",113511,1007005006
1,0,1,6,0,0,1007005,1,"",113411,1007005007
"","","",93,"","",1007005,"","",1,1007005008
1,0.4,1,6,0.8,0,1007005,1,"",333,1007005009
"","",svd_walk_glad,3,0.2,"",1007005,1,"",113511,1007005010
2,0,-250,2,"","",1007005,-300,"",113511,1007005011
"","",svd_walk_glad2,3,0.2,"",1007005,1,"",113411,1007005012
2.2,0,-50,2,"","",1007005,-300,"",113411,1007005013
1,1,1,6,0.4,0,1007005,1,"",113511,1007005014
1,1,1,6,0.4,0,1007005,1,"",113411,1007005015
"","",1,32,"","",1007005,"","",13,1007005016
2,0,-180,33,"","",1007005,60,"",13,1007005017
"","","",93,"","",1007005,"","",2,1007005018
"","",0,32,"","",1007005,"","",13,1007005019
"","",svd_idle_normal,3,0.2,"",1007005,1,"",113511,1007005020
"","","",93,"","",1007005,"","",0.2,1007005021
"","",1,4,"","",1007005,"","",113411,1007005022
"","",svd_idle_normal,3,0.2,"",1007005,1,"",113411,1007005023
"","","",93,"","",1007005,"","",0.5,1007005024
"","",10,12,0,0,1007005,0.5,"",113511,1007005025
"","",10,12,0,0,1007005,0.5,"",113411,1007005026
svd_idle_normal,1,svd_wink,3,0.2,0.2,1007005,0,"",113511,1007005027
svd_idle_normal,1,svd_wink,3,0.2,0.2,1007005,0,"",113411,1007005028
"","","",93,"","",1007005,"","",1.5,1007005029
"","",0,4,"","",1007005,"","",113411,1007005030
"","",svd_walk,3,0.2,"",1007005,1,"",113411,1007005031
1,0,250,2,"","",1007005,-300,"",113411,1007005032
"","","",93,"","",1007005,"","",1,1007005033
svd_idle_normal,1,svd_idle_normal,3,0.4,0,1007005,0,"",113411,1007005034
"","","",93,"","",1007005,"","",0,1007005035
"","",1,4,"","",1007005,"","",113411,1007005036
"","","",93,"","",1007005,"","",0.6,1007005037
"","",svd_talk_joy1,3,0.2,"",1007005,1,"",113511,1007005038
0,"",vo_svd_0521,21,"","",1007005,0,"",vo_svd,1007005039
0,0,"조용한 섬에서 동생이랑 산다…\n여기는 정말로 천국이네.",11,0,0,1007005,5,1,113511,1007005040
"","","",91,"","",1007005,"","",0,1007005041
"","",svd_idle_memory,3,0.2,"",1007005,1,"",113511,1007005042
"","",svd_talk_memory,3,0.2,"",1007005,1,"",113411,1007005043
0,"",vo_svd_0522,21,"","",1007005,0,"",vo_svd,1007005044
0,0,"이걸 행복이라고 부르지 않는다면\n뭘 행복이라고 불러야\n할까요…",11,0,0,1007005,6,1,113411,1007005045
"","","",91,"","",1007005,"","",0,1007005046
"","",svd_idle_memory,3,0.2,"",1007005,1,"",113411,1007005047
"","",svd_talk_memory,3,0.2,"",1007005,1,"",113511,1007005048
0,"",vo_svd_0523,21,"","",1007005,0,"",vo_svd,1007005049
0,0,"아침부터 저녁까지\n줄곧 동생이랑 함께\n있을 수 있어…",11,0,0,1007005,6,1,113511,1007005050
"","","",91,"","",1007005,"","",0,1007005051
"","",svd_idle_memory,3,0.2,"",1007005,1,"",113511,1007005052
"","",svd_talk_memory,3,0.2,"",1007005,1,"",113411,1007005053
0,"",vo_svd_0524,21,"","",1007005,0,"",vo_svd,1007005054
0,0,"잠에서 깬 사랑스러운 얼굴도\n평온한 잠든 얼굴도\n전부 마음껏 감상…",11,0,0,1007005,4,1,113411,1007005055
"","","",91,"","",1007005,"","",0,1007005056
"","",svd_idle_memory,3,0.2,"",1007005,1,"",113411,1007005057
"","",svd_talk_joy2,3,0.2,"",1007005,1,"",113511,1007005058
0,"",vo_svd_0525,21,"","",1007005,0,"",vo_svd,1007005059
0,0,"이 행복을 보답할 수 있도록\n최고의 집을 만들자!\n에리코!",11,0,0,1007005,8,1,113511,1007005060
"","","",93,"","",1007005,"","",4,1007005061
svd_idle_guts,1,svd_talk_guts,3,0.2,0.2,1007005,0,"",113511,1007005062
"","","",91,"","",1007005,"","",1007005060,1007005063
"","",svd_idle_guts,3,0.2,"",1007005,1,"",113511,1007005064
svd_idle_guts2,1,svd_talk_guts2,3,0.2,0.2,1007005,0,"",113411,1007005065
0,"",vo_svd_0526,21,"","",1007005,0,"",vo_svd,1007005066
0,0,"물론이에요!",11,0,0,1007005,6,1,113411,1007005067
"","","",91,"","",1007005,"","",0,1007005068
"","","",102,"","",1007005,"","","",1007005069
"","","",93,"","",1007005,"","",1,1007005070
"","",9,12,0,0,1007005,1,"",113511,1007005071
"","",svd_talk_memory,3,0.2,"",1007005,1,"",113511,1007005072
"","","",93,"","",1007005,"","",3,1007005073
"","",svd_idle_memory,3,0.2,"",1007005,1,"",113511,1007005074
"","",7,12,0,0,1007005,1,"",113411,1007005075
"",1,svd_talk_thinking,3,0.2,"",1007005,1,"",113411,1007005076
"","","",93,"","",1007005,"","",3,1007005077
"",1,svd_idle_thinking,3,0.2,"",1007005,1,"",113411,1007005078
"","",6,12,0,0,1007005,1,"",113511,1007005079
"","",svd_talk_normal,3,0.2,"",1007005,1,"",113511,1007005080
"","","",93,"","",1007005,"","",3,1007005081
"","",svd_idle_normal,3,0.2,"",1007005,1,"",113511,1007005082
"","",9,12,0,0,1007005,1,"",113411,1007005083
"",1,svd_talk_memory,3,0.2,"",1007005,1,"",113411,1007005084
"","","",93,"","",1007005,"","",3,1007005085
"",1,svd_idle_memory,3,0.2,"",1007005,1,"",113411,1007005086
"","","",101,"","",1007005,"","",1007005071,1007005087
1,0,1,6,1,0,1007005,1,"",333,1007005088
"","",1,4,"","",1007005,"","",113511,1007005089
"","",svd_run,3,0.2,"",1007005,1,"",113511,1007005090
0.8,0,-750,2,"","",1007005,-300,"",113511,1007005091
"","",0,4,"","",1007005,"","",113411,1007005092
"","",svd_run,3,0.2,"",1007005,1,"",113411,1007005093
0.8,0,750,2,"","",1007005,-300,"",113411,1007005094
"","","",93,"","",1007005,"","",0.6,1007005095
1,0,1,6,0.2,0,1007005,1,"",113511,1007005096
