love_level,serif_2,serif_1,chara_id,position_x,face_1,serif_3,voice_id_3,position_y,voice_id_2,name,face_3,scale,voice_id_1,face_2
2,"도쿄는 놀이공원 같은 곳이네~","안녀~엉\n컁 카오리야~",1017,0,1,"하지만 오키나와도 좋은 곳이야~",0,0,0,"컁 카오리",1,1.4,0,1
2,"선생님이라 불리는 건\n쑥스러우니까","하세쿠라 이오예요",1018,0,1,"이오라고 불러줘~",0,0,0,"하세쿠라 이오",1,1.4,0,1
2,"아!/\오빠~\n기다려~","후에…?\n미미 어려운 건\n잘 몰라…",1020,0,1,"미미를 두고 가지 마~",0,0,0,"아카네 미미",1,1.5,0,1
2,"저기……\n흐에……","저… 저기… 그러니까…\n쿠리…바야시… 쿠루미…예요……",1021,0,1,"흐에에에에엥……",0,0,0,"쿠리바야시 쿠루미",1,1.5,0,1
2,"이런 저에게\n귀중한 시간을 써주시다니","카제미야 요리입니다\n아아아아아!",1022,0,1,"너무나도 감사합니다!",0,0,0,"카제미야 요리",1,1.4,0,1
2,"오빠는 어디 가?\n뭐?","난 아야네!\n푸우키치랑 같이 따라다녀 줄게!",1023,0,1,"난 여기 가고 싶어~\오빠 빨리빨리~",0,0,0,"호죠 아야네",1,1.5,0,1
2,"마 많이 부족하지만\n부디 언제까지나… 앗","저… 저… 저는\n아마노 스즈메라고 합니다!",1025,0,1,"이건 뭔가 틀려…\n으아아 죄송합니다!",0,0,0,"아마노 스즈메",1,1.4,0,1
2,"당신은… 운명의……\n반려자……","…쿡쿡… 저는\n쿠라이시 에리코……",1027,0,1,"놓치지 않겠어요…\n절대로!!",0,0,0,"쿠라이시 에리코",1,1.4,0,1
2,"그런 필요 없는 것들을 줄일 수 있다면\n더 여유 있는 생활이 가능해!","사사키 사렌이야\n있잖아 이 세상에는 쓸데없는 것이\n너무 많다고 생각하지 않아?",1028,0,1,"…그렇지??",0,0,0,"사사키 사렌",1,1.4,0,1
2,"음…\m너 나 몰라?!","사쿠라이 노조미야!\n잘 부탁해",1029,0,1,"아하하\n좀 더 열심히 해야겠네~",0,0,0,"사쿠라이 노조미",1,1.4,0,1
2,"처음 뵙겠습니다\n나는 니논 쥬베르라고 하오입니다!","두구두구두구둥!",1030,0,1,"쇼군!\n저와 함께 천하통일한다입니다!",0,0,0,"니논 쥬베르",1,1.4,0,1
2,"그리고 제 옆에 있는……\n아 안 보인다고요?","카미키 시노부예요\n손에 든 해골이 아버지예요",1031,0,1,"이상하네요……",0,0,0,"카미키 시노부",1,1.4,0,1
2,"하지만\n그러기엔 부족한 게…","내 목표는 유명한\n개그우먼이 되는 거야!",1033,0,1,"그래\n내가 개그 치면 받아쳐 줄 파트너가…!",0,0,0,"노토 마히루",1,1.5,0,1
2,"좀 긴장해서…","저기… 난… 아야세 유카리예요…\n저기… 죄송합니다!",1034,0,1,"하…\n한 잔만 마시고 올게요…!",0,0,0,"아야세 유카리",1,1.4,0,1
2,"모르는 사람과는 이야기하면 안 되니까","히카와 쿄우카…예요",1036,0,1,"이 이상 드릴 말씀은…\n없어요!",0,0,0,"히카와 쿄우카",1,1.5,0,1
2,"……아 알람","카시와자키…시오리예요",1038,0,1,"전 몸이 약해서\n30분에 한 번 휴식하지 않으면\n안 돼요",0,0,0,"카시와자키 시오리",1,1.4,0,1
2,"저 친구가 한 명도 없어서……","후 후타바 아오이예요",1040,0,1,"들에 핀 꽃이\n유일한 이야기 상대예요",0,0,0,"후타바 아오이",1,1.4,0,1
2,"제 노래로\n모두가 행복해지면 좋겠다고…","미스미 치카입니다",1042,0,1,"그렇게 생각하고 있어요",0,0,0,"미스미 치카",1,1.4,0,1
2,"뭐?\n너도 저 녀석의 친구라고?","아키 마코토야",1043,0,1,"의 의심해서 미안해…",0,0,0,"아키 마코토",1,1.4,0,1
2,"살아 있는 모든 생물들이여!","이 몸이야말로 밤을 통치하는 자!",1044,0,1,"짐의 위대한 힘 앞에\n무릎 꿇도록 하라!\n핫핫하!",0,0,0,"이리야 온스타인",1,1.4,0,1
2,"그흐흐흐흐…… 앗!","거기서 기사는 요정을 난폭하게……",1045,0,1,"쿠 쿠우카한테 무슨 볼일이라도?!",0,0,0,"토오미 쿠우카",1,1.4,0,1
2,"자유롭게♪\n자고 놀고 먹고 싸우고…","미야사카 타마키냥♪\n고양이 좋아하냥?",1046,0,1,"음~\n고양이는 정말 최고다냥~♪",0,0,0,"미야사카 타마키",1,1.4,0,1
2,"그럼 빨리 퀘스트를…","오오가미 미후유야!",1048,0,1,"…하려고 했는데\n알바 시간이다!\n나중에 보자!",0,0,0,"오오가미 미후유",1,1.4,0,1
2,"퀘스트도 배틀도\n청소도 빨래도","호시노 시즈루야!",1049,0,1,"누나가 전~부\n해줄테니까!",0,0,0,"호시노 시즈루",1,1.4,0,1
2,"보면 알겠지만\m섹시한 미소녀로","난 타마이즈미 미사키",1050,0,1,"학교에서는 모두가 동경하는\n아이돌 같은 존재라구♪",0,0,0,"타마이즈미 미사키",1,1.5,0,1
2,????,???,1052,0,1,????,0,0,0,"리마",1,1.4,0,1
2,"과자로 꾀어내려 하다니\n치졸한 방법을……","모니카 바이스빈트다",1053,0,1,"그 그렇게까지 말한다면\n받아주지",0,0,0,"모니카 바이스빈트",1,1.5,0,1
2,"과자로 꾀어내려 하다니\n치졸한 방법을……","모니카 바이스빈트다",1058,0,1,"그 그렇게까지 말한다면\n받아주지",0,0,0,"페코린느",1,1.5,0,1
2,"과자로 꾀어내려 하다니\n치졸한 방법을……","모니카 바이스빈트다",1059,0,1,"그 그렇게까지 말한다면\n받아주지",0,0,0,"콧코로",1,1.5,0,1
2,"과자로 꾀어내려 하다니\n치졸한 방법을……","모니카 바이스빈트다",1060,0,1,"그 그렇게까지 말한다면\n받아주지",0,0,0,"캬루",1,1.5,0,1
