reward_num,id,icon_type,mission_reward_id,reward_id,reward_type
1,146,1001,99001078,11001078,15
30,147,0,99001078,91002,8
1,148,1001,99001079,11001079,15
30,149,0,99001079,91002,8
1,150,1002,99001080,11001080,15
30,151,0,99001080,91002,8
1,152,1003,99001081,11001081,15
30,153,0,99001081,91002,8
1,154,1001,99001082,11001082,15
30,155,0,99001082,91002,8
1,156,1001,99001083,11001083,15
30,157,0,99001083,91002,8
1,158,1002,99001084,11001084,15
30,159,0,99001084,91002,8
1,160,1003,99001085,11001085,15
30,161,0,99001085,91002,8
0,162,1001,99001086,11001086,15
0,163,1002,99001087,11001087,15
0,164,1002,99001088,11001088,15
0,165,1002,99001089,11001089,15
0,166,1003,99001090,11001090,15
1,167,1001,99001091,11001091,15
30,168,0,99001091,91002,8
1,169,1001,99001092,11001092,15
30,170,0,99001092,91002,8
1,171,1002,99001093,11001093,15
30,172,0,99001093,91002,8
1,173,1003,99001094,11001094,15
30,174,0,99001094,91002,8
1,175,1001,99001095,11001095,15
30,176,0,99001095,91002,8
1,177,1001,99001096,11001096,15
30,178,0,99001096,91002,8
1,179,1002,99001097,11001097,15
30,180,0,99001097,91002,8
1,181,1003,99001098,11001098,15
30,182,0,99001098,91002,8
1,183,1001,99001099,11001099,15
30,184,0,99001099,91002,8
1,185,1001,99001100,11001100,15
30,186,0,99001100,91002,8
1,187,1002,99001101,11001101,15
30,188,0,99001101,91002,8
1,189,1003,99001102,11001102,15
30,190,0,99001102,91002,8
1,191,1001,99001103,11001103,15
30,192,0,99001103,91002,8
1,193,1001,99001104,11001104,15
30,194,0,99001104,91002,8
1,195,1002,99001105,11001105,15
30,196,0,99001105,91002,8
1,197,1003,99001106,11001106,15
30,198,0,99001106,91002,8
1,199,1001,99001107,11001107,15
30,200,0,99001107,91002,8
1,201,1001,99001108,11001108,15
30,202,0,99001108,91002,8
1,203,1002,99001109,11001109,15
30,204,0,99001109,91002,8
1,205,1003,99001110,11001110,15
30,206,0,99001110,91002,8
1,207,1001,99001111,11001111,15
30,208,0,99001111,91002,8
1,209,1001,99001112,11001112,15
30,210,0,99001112,91002,8
1,211,1002,99001113,11001113,15
30,212,0,99001113,91002,8
1,213,1003,99001114,11001114,15
30,214,0,99001114,91002,8
1,215,1001,99001115,11001115,15
30,216,0,99001115,91002,8
1,217,1001,99001116,11001116,15
30,218,0,99001116,91002,8
1,219,1002,99001117,11001117,15
30,220,0,99001117,91002,8
1,221,1003,99001118,11001118,15
30,222,0,99001118,91002,8
1,223,1001,99001119,11001119,15
30,224,0,99001119,91002,8
1,225,1001,99001120,11001120,15
30,226,0,99001120,91002,8
1,227,1002,99001121,11001121,15
30,228,0,99001121,91002,8
1,229,1003,99001122,11001122,15
30,230,0,99001122,91002,8
1,231,1001,99001123,11001123,15
30,232,0,99001123,91002,8
1,233,1001,99001124,11001124,15
30,234,0,99001124,91002,8
1,235,1002,99001125,11001125,15
30,236,0,99001125,91002,8
1,237,1003,99001126,11001126,15
30,238,0,99001126,91002,8
1,239,1001,99001127,11001127,15
30,240,0,99001127,91002,8
1,241,1001,99001128,11001128,15
30,242,0,99001128,91002,8
1,243,1002,99001129,11001129,15
30,244,0,99001129,91002,8
1,245,1003,99001130,11001130,15
30,246,0,99001130,91002,8
1,247,1003,99001131,11001131,15
1,248,1001,99001132,11001132,15
30,249,0,99001132,91002,8
1,250,1001,99001133,11001133,15
30,251,0,99001133,91002,8
1,252,1002,99001134,11001134,15
30,253,0,99001134,91002,8
1,254,1003,99001135,11001135,15
30,255,0,99001135,91002,8
1,256,1001,99001136,11001136,15
30,257,0,99001136,91002,8
1,258,1001,99001137,11001137,15
30,259,0,99001137,91002,8
1,260,1002,99001138,11001138,15
30,261,0,99001138,91002,8
1,262,1003,99001139,11001139,15
30,263,0,99001139,91002,8
1,264,1003,99001140,11001140,15
1,265,1001,99001142,11001142,15
30,266,0,99001142,91002,8
1,267,1001,99001143,11001143,15
30,268,0,99001143,91002,8
1,269,1002,99001144,11001144,15
30,270,0,99001144,91002,8
1,271,1003,99001145,11001145,15
30,272,0,99001145,91002,8
0,273,1001,99001146,11001146,15
0,274,1002,99001147,11001147,15
1,275,1001,99001148,11001148,15
30,276,0,99001148,91002,8
1,277,1001,99001149,11001149,15
30,278,0,99001149,91002,8
1,279,1002,99001150,11001150,15
30,280,0,99001150,91002,8
1,281,1003,99001151,11001151,15
30,282,0,99001151,91002,8
1,283,1001,99001152,11001152,15
30,284,0,99001152,91002,8
1,285,1001,99001153,11001153,15
30,286,0,99001153,91002,8
1,287,1002,99001154,11001154,15
30,288,0,99001154,91002,8
1,289,1003,99001155,11001155,15
30,290,0,99001155,91002,8
1,291,1001,99001156,11001156,15
30,292,0,99001156,91002,8
1,293,1001,99001157,11001157,15
30,294,0,99001157,91002,8
1,295,1002,99001158,11001158,15
30,296,0,99001158,91002,8
1,297,1003,99001159,11001159,15
30,298,0,99001159,91002,8
1,299,1001,99001160,11001160,15
30,300,0,99001160,91002,8
1,301,1001,99001161,11001161,15
30,302,0,99001161,91002,8
1,303,1002,99001162,11001162,15
30,304,0,99001162,91002,8
1,305,1003,99001163,11001163,15
30,306,0,99001163,91002,8
1,307,1002,99001164,11001164,15
1,308,1003,99001165,11001165,15
1,309,1001,99001166,11001166,15
30,310,0,99001166,91002,8
1,311,1001,99001167,11001167,15
30,312,0,99001167,91002,8
1,313,1002,99001168,11001168,15
30,314,0,99001168,91002,8
1,315,1003,99001169,11001169,15
30,316,0,99001169,91002,8
1,317,1001,99001170,11001170,15
30,318,0,99001170,91002,8
1,319,1001,99001171,11001171,15
30,320,0,99001171,91002,8
1,321,1002,99001172,11001172,15
30,322,0,99001172,91002,8
1,323,1003,99001173,11001173,15
30,324,0,99001173,91002,8
1,325,1001,99001174,11001174,15
30,326,0,99001174,91002,8
1,327,1001,99001175,11001175,15
30,328,0,99001175,91002,8
1,329,1002,99001176,11001176,15
30,330,0,99001176,91002,8
1,331,1003,99001177,11001177,15
30,332,0,99001177,91002,8
1,333,1001,99001178,11001178,15
30,334,0,99001178,91002,8
1,335,1001,99001179,11001179,15
30,336,0,99001179,91002,8
1,337,1002,99001180,11001180,15
30,338,0,99001180,91002,8
1,339,1003,99001181,11001181,15
30,340,0,99001181,91002,8
1,341,1001,99001182,11001182,15
30,342,0,99001182,91002,8
1,343,1001,99001183,11001183,15
30,344,0,99001183,91002,8
1,345,1002,99001184,11001184,15
30,346,0,99001184,91002,8
1,347,1003,99001185,11001185,15
30,348,0,99001185,91002,8
1,349,1001,99001186,11001186,15
30,350,0,99001186,91002,8
1,351,1001,99001187,11001187,15
30,352,0,99001187,91002,8
1,353,1002,99001188,11001188,15
30,354,0,99001188,91002,8
1,355,1003,99001189,11001189,15
30,356,0,99001189,91002,8
1,357,1001,99001190,11001190,15
30,358,0,99001190,91002,8
1,359,1001,99001191,11001191,15
30,360,0,99001191,91002,8
1,361,1002,99001192,11001192,15
30,362,0,99001192,91002,8
1,363,1003,99001193,11001193,15
30,364,0,99001193,91002,8
1,365,1001,99001194,11001194,15
30,366,0,99001194,91002,8
1,367,1001,99001195,11001195,15
30,368,0,99001195,91002,8
1,369,1002,99001196,11001196,15
30,370,0,99001196,91002,8
1,371,1003,99001197,11001197,15
30,372,0,99001197,91002,8
1,373,1002,99001198,11001198,15
1,374,1003,99001199,11001199,15
1,375,1001,99001200,11001200,15
30,376,0,99001200,91002,8
1,377,1001,99001201,11001201,15
30,378,0,99001201,91002,8
1,379,1002,99001202,11001202,15
30,380,0,99001202,91002,8
1,381,1003,99001203,11001203,15
30,382,0,99001203,91002,8
1,383,1003,99001204,11001204,15
1,384,1001,99001205,11001205,15
30,385,0,99001205,91002,8
1,386,1001,99001206,11001206,15
30,387,0,99001206,91002,8
1,388,1002,99001207,11001207,15
30,389,0,99001207,91002,8
1,390,1003,99001208,11001208,15
30,391,0,99001208,91002,8
1,392,1001,99001209,11001209,15
30,393,0,99001209,91002,8
1,394,1001,99001210,11001210,15
30,395,0,99001210,91002,8
1,396,1002,99001211,11001211,15
30,397,0,99001211,91002,8
1,398,1003,99001212,11001212,15
30,399,0,99001212,91002,8
1,400,1001,99001213,11001213,15
30,401,0,99001213,91002,8
1,402,1001,99001214,11001214,15
30,403,0,99001214,91002,8
1,404,1002,99001215,11001215,15
30,405,0,99001215,91002,8
1,406,1003,99001216,11001216,15
30,407,0,99001216,91002,8
1,408,1001,99001217,11001217,15
30,409,0,99001217,91002,8
1,410,1001,99001218,11001218,15
30,411,0,99001218,91002,8
1,412,1002,99001219,11001219,15
30,413,0,99001219,91002,8
1,414,1003,99001220,11001220,15
30,415,0,99001220,91002,8
1,416,1001,99001221,11001221,15
30,417,0,99001221,91002,8
1,418,1001,99001222,11001222,15
30,419,0,99001222,91002,8
1,420,1002,99001223,11001223,15
30,421,0,99001223,91002,8
1,422,1003,99001224,11001224,15
30,423,0,99001224,91002,8
1,424,1001,99001225,11001225,15
30,425,0,99001225,91002,8
1,426,1001,99001226,11001226,15
30,427,0,99001226,91002,8
1,428,1002,99001227,11001227,15
30,429,0,99001227,91002,8
1,430,1003,99001228,11001228,15
30,431,0,99001228,91002,8
1,432,1001,99001229,11001229,15
30,433,0,99001229,91002,8
1,434,1001,99001230,11001230,15
30,435,0,99001230,91002,8
1,436,1002,99001231,11001231,15
30,437,0,99001231,91002,8
1,438,1003,99001232,11001232,15
30,439,0,99001232,91002,8
1,440,1001,99001233,11001233,15
30,441,0,99001233,91002,8
1,442,1001,99001234,11001234,15
30,443,0,99001234,91002,8
1,444,1002,99001235,11001235,15
30,445,0,99001235,91002,8
1,446,1003,99001236,11001236,15
30,447,0,99001236,91002,8
1,448,1001,99001237,11001237,15
30,449,0,99001237,91002,8
1,450,1001,99001238,11001238,15
30,451,0,99001238,91002,8
1,452,1002,99001239,11001239,15
30,453,0,99001239,91002,8
1,454,1003,99001240,11001240,15
30,455,0,99001240,91002,8
1,456,1001,99001241,11001241,15
30,457,0,99001241,91002,8
1,458,1001,99001242,11001242,15
30,459,0,99001242,91002,8
1,460,1002,99001243,11001243,15
30,461,0,99001243,91002,8
1,462,1003,99001244,11001244,15
30,463,0,99001244,91002,8
1,464,1001,99001245,11001245,15
30,465,0,99001245,91002,8
1,466,1001,99001246,11001246,15
30,467,0,99001246,91002,8
1,468,1002,99001247,11001247,15
30,469,0,99001247,91002,8
1,470,1003,99001248,11001248,15
30,471,0,99001248,91002,8
1,472,1003,99001249,11001249,15
1,473,1001,99001250,11001250,15
30,474,0,99001250,91002,8
1,475,1001,99001251,11001251,15
30,476,0,99001251,91002,8
1,477,1002,99001252,11001252,15
30,478,0,99001252,91002,8
1,479,1003,99001253,11001253,15
30,480,0,99001253,91002,8
1,481,1001,99001254,11001254,15
30,482,0,99001254,91002,8
1,483,1001,99001255,11001255,15
30,484,0,99001255,91002,8
1,485,1002,99001256,11001256,15
30,486,0,99001256,91002,8
1,487,1003,99001257,11001257,15
30,488,0,99001257,91002,8
1,489,1001,99001258,11001258,15
30,490,0,99001258,91002,8
1,491,1001,99001259,11001259,15
30,492,0,99001259,91002,8
1,493,1002,99001260,11001260,15
30,494,0,99001260,91002,8
1,495,1003,99001261,11001261,15
30,496,0,99001261,91002,8
1,497,1001,99001262,11001262,15
1,498,1001,99001263,11001263,15
1,499,1001,99001264,11001264,15
1,500,1002,99001265,11001265,15
1,501,1003,99001266,11001266,15
1,502,1001,99001267,11001267,15
30,503,0,99001267,91002,8
1,504,1001,99001268,11001268,15
30,505,0,99001268,91002,8
1,506,1002,99001269,11001269,15
30,507,0,99001269,91002,8
1,508,1003,99001270,11001270,15
30,509,0,99001270,91002,8
1,510,1003,99001271,11001271,15
1,511,1001,99001272,11001272,15
30,512,0,99001272,91002,8
1,513,1001,99001273,11001273,15
30,514,0,99001273,91002,8
1,515,1002,99001274,11001274,15
30,516,0,99001274,91002,8
1,517,1003,99001275,11001275,15
30,518,0,99001275,91002,8
1,519,1003,99001276,11001276,15
1,520,1001,99001277,11001277,15
30,521,0,99001277,91002,8
1,522,1001,99001278,11001278,15
30,523,0,99001278,91002,8
1,524,1002,99001279,11001279,15
30,525,0,99001279,91002,8
1,526,1003,99001280,11001280,15
30,527,0,99001280,91002,8
1,528,1001,99001281,11001281,15
30,529,0,99001281,91002,8
1,530,1001,99001282,11001282,15
30,531,0,99001282,91002,8
1,532,1002,99001283,11001283,15
30,533,0,99001283,91002,8
1,534,1003,99001284,11001284,15
30,535,0,99001284,91002,8
1,536,1003,99001285,11001285,15
1,537,1001,99001286,11001286,15
30,538,0,99001286,91002,8
1,539,1001,99001287,11001287,15
30,540,0,99001287,91002,8
1,541,1002,99001288,11001288,15
30,542,0,99001288,91002,8
1,543,1003,99001289,11001289,15
30,544,0,99001289,91002,8
1,545,1001,99001290,11001290,15
30,546,0,99001290,91002,8
1,547,1001,99001291,11001291,15
30,548,0,99001291,91002,8
1,549,1002,99001292,11001292,15
30,550,0,99001292,91002,8
1,551,1003,99001293,11001293,15
30,552,0,99001293,91002,8
1,553,1001,99001294,11001294,15
30,554,0,99001294,91002,8
1,555,1001,99001295,11001295,15
30,556,0,99001295,91002,8
1,557,1002,99001296,11001296,15
30,558,0,99001296,91002,8
1,559,1003,99001297,11001297,15
30,560,0,99001297,91002,8
1,561,1001,99001298,11001298,15
30,562,0,99001298,91002,8
1,563,1001,99001299,11001299,15
30,564,0,99001299,91002,8
1,565,1002,99001300,11001300,15
30,566,0,99001300,91002,8
1,567,1003,99001301,11001301,15
30,568,0,99001301,91002,8
1,569,1003,99001302,11001302,15
1,570,1003,99001303,11001303,15
1,571,1003,99001304,11001304,15
1,572,1001,99001305,11001305,15
30,573,0,99001305,91002,8
1,574,1001,99001306,11001306,15
30,575,0,99001306,91002,8
1,576,1002,99001307,11001307,15
30,577,0,99001307,91002,8
1,578,1003,99001308,11001308,15
30,579,0,99001308,91002,8
1,580,1001,99001309,11001309,15
30,581,0,99001309,91002,8
1,582,1001,99001310,11001310,15
30,583,0,99001310,91002,8
1,584,1002,99001311,11001311,15
30,585,0,99001311,91002,8
1,586,1003,99001312,11001312,15
30,587,0,99001312,91002,8
1,588,1003,99001313,11001313,15
1,589,1001,99001314,11001314,15
30,590,0,99001314,91002,8
1,591,1001,99001315,11001315,15
30,592,0,99001315,91002,8
1,593,1002,99001316,11001316,15
30,594,0,99001316,91002,8
1,595,1003,99001317,11001317,15
30,596,0,99001317,91002,8
1,597,1003,99001318,11001318,15
1,598,1001,99001319,11001319,15
30,599,0,99001319,91002,8
1,600,1001,99001320,11001320,15
30,601,0,99001320,91002,8
1,602,1002,99001321,11001321,15
30,603,0,99001321,91002,8
1,604,1003,99001322,11001322,15
30,605,0,99001322,91002,8
1,606,1003,99001323,11001323,15
1,616,1001,99001329,11001329,15
30,617,0,99001329,91002,8
1,618,1001,99001330,11001330,15
30,619,0,99001330,91002,8
1,620,1002,99001331,11001331,15
30,621,0,99001331,91002,8
1,622,1003,99001332,11001332,15
30,623,0,99001332,91002,8
1,624,1001,99001333,11001333,15
30,625,0,99001333,91002,8
1,626,1001,99001334,11001334,15
30,627,0,99001334,91002,8
1,628,1002,99001335,11001335,15
30,629,0,99001335,91002,8
1,630,1003,99001336,11001336,15
30,631,0,99001336,91002,8
1,632,1002,99001337,11001337,15
1,633,1002,99001338,11001338,15
1,634,1003,99001339,11001339,15
1,635,1001,99001340,11001340,15
30,636,0,99001340,91002,8
1,637,1001,99001341,11001341,15
30,638,0,99001341,91002,8
1,639,1002,99001342,11001342,15
30,640,0,99001342,91002,8
1,641,1003,99001343,11001343,15
30,642,0,99001343,91002,8
1,643,1003,99900001,19901001,15
1,644,1003,99900002,19901002,15
1,645,1003,99900003,19901003,15
1,646,1001,99001344,11001344,15
30,647,0,99001344,91002,8
1,648,1001,99001345,11001345,15
30,649,0,99001345,91002,8
1,650,1002,99001346,11001346,15
30,651,0,99001346,91002,8
1,652,1003,99001347,11001347,15
30,653,0,99001347,91002,8
