command_id,param_06,param_07,param_04,drama_id,param_08,param_03,command_type,param_05,param_02,param_01
1045,0.2,0,top_luis_arm_crossed_idle,1,"",0,3,1,top_luis_arm_crossed_in,1
1046,"","","",1,"","",93,"",0,4
1047,0.2,0,top_luis_approach_idle,1,"",0,3,1,top_luis_approach_in,1
1048,"","","",1,"","",93,"",0,3.5
1049,0.2,"","",1,"",1,3,"",top_luis_thinking,1
1050,"","","",1,"","",93,"",0,3.5
1051,0.2,"","",1,"",1,3,"",top_luis_walk_think,1
1052,"","",2,1,"",-103,2,0,-495,1
1053,"","","",1,"","",93,"",0,2
1054,"","","",1,"","",4,"",0,1
1055,"","",2,1,"",-103,2,0,-216,1
1056,"","","",1,"","",93,"",0,2
1057,0,"","",1,"",1,3,"",top_luis_notice,1
1058,"","","",1,"","",93,"",0,1
1059,0.2,"","",1,"",1,3,"",top_luis_walk_jog,1
1060,"","",0.5,1,"",-130,2,0,-100,1
1061,"","","",1,"","",93,"",0,0.5
1062,"","","",1,"","",4,"",1,1
1063,0.2,0,top_luis_sit_idle,1,"",0,3,1,top_luis_sit_in,1
1064,"","","",1,"","",93,"",0,0.1
1065,"","",0.4,1,"",-140,2,0,-57,1
1066,"","","",1,"","",93,"",0,1
1067,0.2,"","",1,"",0,3,"",top_luis_experiment_success_in,1
1068,"","","",1,"","",93,"",0,2.3
1069,0.1,"","",1,"",0,3,"",top_luis_experiment_success_mix,1
1070,"","","",1,"","",93,"",0,2.7
1071,"","","",1,"","",32,"",1,14
1072,0.1,"","",1,"",0,3,"",top_luis_experiment_success_burst,1
1073,"","","",1,"","",93,"",0,2.7
1074,0.1,"","",1,"",0,3,"",top_luis_experiment_success_out,1
1075,"","","",1,"","",93,"",0,1.1
1076,0.2,0,idle_normal,1,"",0,3,1,top_luis_sit_out,1
1077,"","",0.3,1,"",-130,2,0,-100,1
1078,"","","",1,"","",93,"",0,1
1079,0.2,"","",1,"",0,3,"",walk_normal,1
1080,"","",1,1,"",-103,2,0,-216,1
1081,"","","",1,"","",93,"",0,1
1082,0.1,"","",1,"",0,3,"",idle_normal,1
1083,"","","",1,"","",93,"",0,0.8
1084,"","","",1,"","",32,"",0,14
1085,"","",0,1,"",0,101,"","",1005
2001,1.43,1,400,2,top_iroha_read,100,5,-130,2,2
2002,1.4,1,980,2,butterfly,101,5,130,11,11
2003,0,"",-130,2,"",400,31,1,11,11
2004,"","","",2,"","",91,"",0,0
2005,0.2,"","",2,"",1,3,"",top_iroha_read,2
2006,"","","",2,"","",93,"",0,9
2007,"","","",2,"","",4,"",1,11
2008,"","",7,2,"",130,2,0,-980,11
2009,"","","",2,"","",93,"",0,2.5
2010,0.2,"","",2,"",0,3,"",top_iroha_read_notice,2
2011,"","","",2,"","",93,"",0,0.6
2012,0,0,top_iroha_run,2,"",0,3,1,top_iroha_notice_to_run,2
2013,"","","",2,"","",93,"",0,0.4
2014,"","","",2,"","",32,"",1,11
2015,"","","",2,"","",37,"",smokeR,11
2016,"","",4.2,2,"",-130,33,0,-980,11
2017,"","",4.2,2,"",-130,2,0,-980,2
2018,"","","",2,"","",93,"",0,4.2
2019,"","","",2,"","",32,"",0,11
2020,"","","",2,"","",93,"",0,1
2021,"","","",2,"","",4,"",0,11
2022,"","",7,2,"",130,2,0,980,11
2023,"","","",2,"","",93,"",0,1.5
2024,"","","",2,"","",32,"",1,11
2025,"","","",2,"","",37,"",smokeL,11
2026,"","",5.964,2,"",-130,33,0,980,11
2027,0,"","",2,"",1,3,"",top_iroha_run_joy,2
2028,"","","",2,"","",4,"",0,2
2029,"","",5.964,2,"",-130,2,0,980,2
2030,"","","",2,"","",93,"",0,5.964
2031,"","","",2,"","",32,"",0,11
2032,"","","",2,"","",93,"",0,2
2033,0,"","",2,"",1,3,"",top_iroha_walk,2
2034,"","","",2,"","",4,"",1,2
2035,"","",3,2,"",-130,2,0,400,2
2036,"","",3,2,"",-130,33,0,400,11
2037,"","","",2,"","",93,"",0,3
2038,0.2,0,idle_normal,2,"",0,3,1,top_iroha_walk_out,2
2039,"","","",2,"","",93,"",0,0.4
2040,0.2,0.2,"",2,"",0,3,"",top_iroha_sit_in,2
2041,"","","",2,"","",93,"",0,4
2042,"","","",2,"","",101,"","",2005
3001,1.38,1,350,3,top_sono_readPaper,100,5,-130,3,3
3002,1,"",-18,3,"",475,31,1,10,10
3003,"","","",3,"","",91,"",0,0
3004,0.2,"","",3,"",1,3,"",top_sono_readPaper,3
3005,"","","",3,"","",93,"",0,13.6
3006,0.2,0,top_sono_stretch,3,"",0,3,1,top_sono_sit_out,3
3007,"","","",3,"","",93,"",0,3.5
3008,0.2,"","",3,"",1,3,"",top_sono_drink,3
3009,"","","",3,"","",93,"","",10.5
3010,0.2,"","",3,"",0,3,"",top_sono_sit_in,3
3011,"","","",3,"","",93,"",0,2.6
3012,"","","",3,"","",101,"","",3004
4001,1.43,1,400,4,top_iroha_read,101,5,-130,2,2
4002,1.4,1,-216,4,top_luis_thinking,100,5,-103,1,1
4003,1.4,1,980,4,butterfly,102,5,130,11,11
4004,0,"",-130,4,"",400,31,1,11,11
4005,"","","",4,"","",91,"",0,0
4006,0.2,"","",4,"",1,3,"",top_luis_thinking,1
4007,0.2,"","",4,"",1,3,"",top_iroha_read,2
4008,"","","",4,"","",93,"",0,9
4009,"","","",4,"","",4,"",1,11
4010,"","",7,4,"",130,2,0,-980,11
4011,"","","",4,"","",93,"",0,2.5
4012,0.2,"","",4,"",0,3,"",top_iroha_read_notice,2
4013,"","","",4,"","",93,"",0,0.6
4014,0,0,top_iroha_run,4,"",0,3,1,top_iroha_notice_to_run,2
4015,"","","",4,"","",93,"",0,0.4
4016,"","","",4,"","",32,"",1,11
4017,"","","",4,"","",37,"",smokeR,11
4018,"","",4.2,4,"",-130,33,0,-980,11
4019,"","",4.2,4,"",-130,2,0,-980,2
4020,"","","",4,"","",93,"",0,1.9
4021,0.2,0,top_luis_surprise_idle,4,"",0,3,1,top_luis_surprise_in,1
4022,"","","",4,"","",93,"",0,2.3
4023,"","","",4,"","",32,"",0,11
4024,"","","",4,"","",93,"",0,1
4025,"","","",4,"","",4,"",0,11
4026,"","",7,4,"",130,2,0,980,11
4027,"","","",4,"","",93,"",0,1.5
4028,"","","",4,"","",32,"",1,11
4029,"","","",4,"","",37,"",smokeL,11
4030,"","",5.964,4,"",-130,33,0,980,11
4031,0,"","",4,"",1,3,"",top_iroha_run_joy,2
4032,"","","",4,"","",4,"",0,2
4033,"","",5.964,4,"",-130,2,0,980,2
4034,"","","",4,"","",93,"",0,2.2
4035,0,"","",4,"",1,3,"",top_luis_surprise_look,1
4036,"","","",4,"","",93,"",0,3.764
4037,0.2,"","",4,"",1,3,"",top_luis_thinking,1
4038,"","","",4,"","",32,"",0,11
4039,"","","",4,"","",93,"",0,2
4040,0,"","",4,"",1,3,"",top_iroha_walk,2
4041,"","","",4,"","",4,"",1,2
4042,"","",3,4,"",-130,2,0,400,2
4043,"","",3,4,"",-130,33,0,400,11
4044,"","","",4,"","",93,"",0,3
4045,0.2,0,idle_normal,4,"",0,3,1,top_iroha_walk_out,2
4046,"","","",4,"","",93,"",0,0.4
4047,0.2,0.2,"",4,"",0,3,"",top_iroha_sit_in,2
4048,"","","",4,"","",93,"",0,4
4049,"","","",4,"","",101,"","",4007
5001,1.4,1,350,5,top_sono_readPaper,100,5,-130,3,3
5002,1.4,1,452,5,top_iroha_read_loop,110,5,-130,2,2
5003,"","","",5,"","",91,"",0,0
5004,0.2,"","",5,"",1,3,"",top_iroha_read_loop,2
5005,0.2,"","",5,"",1,3,"",top_sono_readPaper,3
5006,"","","",5,"","",93,"",0,13.6
5007,0.2,0,top_sono_stretch,5,"",0,3,1,top_sono_sit_out,3
5008,"","",0.3,5,"",-130,2,0,287,3
5009,"","","",5,"","",93,"",0,3.5
5010,0.2,"","",5,"",1,3,"",top_sono_drink,3
5011,"","","",5,"","",93,"",0,2.6
5012,0.4,"","",5,"",0,3,"",top_iroha_read_look,2
5013,"","","",5,"","",93,"",0,7.9
5014,0.2,"","",5,"",0,3,"",top_sono_sit_in,3
5015,"","","",5,"","",93,"",0,0.1
5016,0.2,"","",5,"",1,3,"",top_iroha_read_loop,2
5017,"","",0.3,5,"",-130,2,0,350,3
5018,"","","",5,"","",93,"",0,2.5
5019,"","","",5,"","",101,"","",5005
6001,1.4,1,-216,6,idle_normal,100,5,-103,1,1
6002,1.38,1,350,6,top_sono_readPaper_loop,101,5,-130,3,3
6003,1,"",-18,6,"",475,31,1,10,10
6004,0,"",-140,6,"",56,31,1,13,13
6005,0,"",-140,6,"",56,31,1,14,14
6006,"","","",6,"","",91,"",0,0
6007,0.2,"","",6,"",1,3,"",top_sono_readPaper_loop,3
6008,0.2,0,top_luis_arm_crossed_idle,6,"",0,3,1,top_luis_arm_crossed_in,1
6009,"","","",6,"","",93,"",0,4
6010,0.2,0,top_luis_approach_idle,6,"",0,3,1,top_luis_approach_in,1
6011,"","","",6,"","",93,"",0,3.5
6012,0.2,"","",6,"",1,3,"",top_luis_thinking,1
6013,"","","",6,"","",93,"",0,3.5
6014,0.2,"","",6,"",1,3,"",top_luis_walk_think,1
6015,"","",2,6,"",-103,2,0,-495,1
6016,"","","",6,"","",93,"",0,2
6017,"","","",6,"","",4,"",0,1
6018,"","",2,6,"",-103,2,0,-216,1
6019,"","","",6,"","",93,"",0,2
6020,0,"","",6,"",1,3,"",top_luis_notice,1
6021,"","","",6,"","",93,"",0,1
6022,0.2,"","",6,"",1,3,"",top_luis_walk_jog,1
6023,"","",0.5,6,"",-130,2,0,-100,1
6024,"","","",6,"","",93,"",0,0.5
6025,"","","",6,"","",4,"",1,1
6026,0.2,0,top_luis_sit_idle,6,"",0,3,1,top_luis_sit_in,1
6027,"","","",6,"","",93,"",0,0.1
6028,"","",0.4,6,"",-140,2,0,-57,1
6029,"","","",6,"","",93,"",0,0.4
6030,"","",0,6,"",-140,2,0,-16,1
6031,"","","",6,"","",4,"",0,1
6032,"","","",6,"","",93,"",0,0.6
6033,0.2,"","",6,"",0,3,"",top_luis_experiment_failer_in,1
6034,"","","",6,"","",93,"",0,2.3
6035,0.1,"","",6,"",0,3,"",top_luis_experiment_failer_mix,1
6036,"","","",6,"","",93,"",0,2.7
6037,0.2,0,top_sono_notice_loop_surprise,6,"",0,3,1,top_sono_notice_in_surprise,3
6038,"","","",6,"","",32,"",1,13
6039,0.1,"","",6,"",0,3,"",top_luis_experiment_failer_burst,1
6040,"","","",6,"","",93,"",0,2.7
6041,0.2,"","",6,"",1,3,"",top_sono_readPaper_loop,3
6042,0.1,"","",6,"",0,3,"",top_luis_experiment_failer_out,1
6043,"","","",6,"","",93,"",0,1.1
6044,0.2,0,idle_normal,6,"",0,3,1,top_luis_sit_out,1
6045,"","","",6,"","",4,"",1,1
6046,"","",0,6,"",-140,2,0,-57,1
6047,"","",0.3,6,"",-130,2,0,-100,1
6048,"","","",6,"","",93,"",0,1
6049,0.2,"","",6,"",0,3,"",walk_normal,1
6050,"","",1,6,"",-103,2,0,-216,1
6051,"","","",6,"","",93,"",0,1
6052,0.1,"","",6,"",0,3,"",idle_normal,1
6053,"","","",6,"","",93,"",0,0.8
6054,"","","",6,"","",32,"",0,13
6055,0.2,0,top_luis_arm_crossed_idle,6,"",0,3,1,top_luis_arm_crossed_in,1
6056,"","","",6,"","",93,"",0,4
6057,0.2,0,top_luis_approach_idle,6,"",0,3,1,top_luis_approach_in,1
6058,"","","",6,"","",93,"",0,3.5
6059,0.2,"","",6,"",1,3,"",top_luis_thinking,1
6060,"","","",6,"","",93,"",0,3.5
6061,0.2,"","",6,"",1,3,"",top_luis_walk_think,1
6062,"","",2,6,"",-103,2,0,-495,1
6063,"","","",6,"","",93,"",0,2
6064,"","","",6,"","",4,"",0,1
6065,"","",2,6,"",-103,2,0,-216,1
6066,"","","",6,"","",93,"",0,2
6067,0,"","",6,"",1,3,"",top_luis_notice,1
6068,"","","",6,"","",93,"",0,1
6069,0.2,"","",6,"",1,3,"",top_luis_walk_jog,1
6070,"","",0.5,6,"",-130,2,0,-100,1
6071,"","","",6,"","",93,"",0,0.5
6072,"","","",6,"","",4,"",1,1
6073,0.2,0,top_luis_sit_idle,6,"",0,3,1,top_luis_sit_in,1
6074,"","","",6,"","",93,"",0,0.1
6075,"","",0.4,6,"",-140,2,0,-57,1
6076,"","","",6,"","",93,"",0,0.4
6077,"","",0,6,"",-140,2,0,-16,1
6078,"","","",6,"","",4,"",0,1
6079,"","","",6,"","",93,"",0,0.6
6080,0.2,"","",6,"",0,3,"",top_luis_experiment_success_in,1
6081,"","","",6,"","",93,"",0,2.3
6082,0.1,"","",6,"",0,3,"",top_luis_experiment_success_mix,1
6083,"","","",6,"","",93,"",0,2.7
6084,0.2,0,top_sono_notice_loop_dere,6,"",0,3,1,top_sono_notice_in_dere,3
6085,"","","",6,"","",32,"",1,14
6086,0.1,"","",6,"",0,3,"",top_luis_experiment_success_burst,1
6087,"","","",6,"","",93,"",0,2.7
6088,0.2,"","",6,"",1,3,"",top_sono_readPaper_loop,3
6089,0.1,"","",6,"",0,3,"",top_luis_experiment_success_out,1
6090,"","","",6,"","",93,"",0,1.1
6091,0.2,0,idle_normal,6,"",0,3,1,top_luis_sit_out,1
6092,"","","",6,"","",4,"",1,1
6093,"","",0,6,"",-140,2,0,-57,1
6094,"","",0.3,6,"",-130,2,0,-100,1
6095,"","","",6,"","",93,"",0,1
6096,0.2,"","",6,"",0,3,"",walk_normal,1
6097,"","",1,6,"",-103,2,0,-216,1
6098,"","","",6,"","",93,"",0,1
6099,0.1,"","",6,"",0,3,"",idle_normal,1
6100,"","","",6,"","",93,"",0,0.8
6101,"","","",6,"","",32,"",0,14
6102,"","",0,6,"",0,101,"","",6008
7001,1.4,1,-216,7,idle_normal,100,5,-103,1,1
7002,1.43,1,452,7,top_iroha_read_loop,110,5,-130,2,2
7003,1.38,1,350,7,top_sono_readPaper_loop,101,5,-130,3,3
7004,1.4,1,980,7,butterfly,111,5,130,11,11
7005,0,"",-130,7,"",452,31,1,11,11
7006,0,"",-140,7,"",56,31,1,14,14
7007,"","","",7,"","",91,"",0,0
7008,0.2,"","",7,"",1,3,"",top_iroha_read_loop,2
7009,0.2,"","",7,"",1,3,"",top_sono_readPaper_loop,3
7010,0.2,0,top_luis_arm_crossed_idle,7,"",0,3,1,top_luis_arm_crossed_in,1
7011,"","","",7,"","",93,"",0,4
7012,0.2,0,top_luis_approach_idle,7,"",0,3,1,top_luis_approach_in,1
7013,"","","",7,"","",93,"",0,3.5
7014,0.2,"","",7,"",1,3,"",top_luis_thinking,1
7015,"","","",7,"","",93,"",0,3.5
7016,0.2,"","",7,"",1,3,"",top_luis_walk_think,1
7017,"","",2,7,"",-103,2,0,-495,1
7018,"","","",7,"","",93,"",0,2
7019,"","","",7,"","",4,"",0,1
7020,"","",2,7,"",-103,2,0,-216,1
7021,"","","",7,"","",93,"",0,2
7022,0,"","",7,"",1,3,"",top_luis_notice,1
7023,"","","",7,"","",93,"",0,1
7024,0.2,"","",7,"",1,3,"",top_luis_walk_jog,1
7025,"","",0.5,7,"",-130,2,0,-100,1
7026,"","","",7,"","",93,"",0,0.5
7027,"","","",7,"","",4,"",1,1
7028,0.2,0,top_luis_sit_idle,7,"",0,3,1,top_luis_sit_in,1
7029,"","","",7,"","",93,"",0,0.1
7030,"","",0.4,7,"",-140,2,0,-57,1
7031,"","","",7,"","",93,"",0,0.4
7032,"","",0,7,"",-140,2,0,-16,1
7033,"","","",7,"","",4,"",0,1
7034,"","","",7,"","",93,"",0,0.6
7035,0.2,"","",7,"",0,3,"",top_luis_experiment_success_in,1
7036,"","","",7,"","",93,"",0,2.3
7037,0.1,"","",7,"",0,3,"",top_luis_experiment_success_mix,1
7038,"","","",7,"","",93,"",0,2.7
7039,0.2,0,top_sono_notice_loop_dere,7,"",0,3,1,top_sono_notice_in_dere,3
7040,0.2,"","",7,"",1,3,"",top_iroha_read_look_light,2
7041,"","","",7,"","",32,"",1,14
7042,0.1,"","",7,"",0,3,"",top_luis_experiment_success_burst,1
7043,"","","",7,"","",93,"",0,2.7
7044,0.2,"","",7,"",1,3,"",top_sono_readPaper_loop,3
7045,0.2,"","",7,"",1,3,"",top_iroha_read,2
7046,0.1,"","",7,"",0,3,"",top_luis_experiment_success_out,1
7047,"","","",7,"","",93,"",0,1.1
7048,0.2,0,idle_normal,7,"",0,3,1,top_luis_sit_out,1
7049,"","","",7,"","",4,"",1,1
7050,"","",0,7,"",-140,2,0,-57,1
7051,"","",0.3,7,"",-130,2,0,-100,1
7052,"","","",7,"","",93,"",0,1
7053,0.2,"","",7,"",0,3,"",walk_normal,1
7054,"","",1,7,"",-103,2,0,-216,1
7055,"","","",7,"","",93,"",0,1
7056,0.1,"","",7,"",0,3,"",idle_normal,1
7057,"","","",7,"","",93,"",0,0.8
7058,"","","",7,"","",32,"",0,14
7059,0.2,"","",7,"",1,3,"",top_luis_thinking,1
7060,"","","",7,"","",93,"",0,5.1
7061,"","","",7,"","",4,"",1,11
7062,"","",7,7,"",130,2,0,-980,11
7063,"","","",7,"","",93,"",0,2.5
7064,0.2,"","",7,"",0,3,"",top_iroha_read_notice,2
7065,"","","",7,"","",93,"",0,0.6
7066,0,0,top_iroha_run,7,"",0,3,1,top_iroha_notice_to_run,2
7067,"","","",7,"","",93,"",0,0.4
7068,"","","",7,"","",32,"",1,11
7069,"","","",7,"","",37,"",smokeR,11
7070,"","",4.2,7,"",-130,33,0,-980,11
7071,"","",4.2,7,"",-130,2,0,-980,2
7072,"","","",7,"","",93,"",0,0.2
7073,0.2,0,top_sono_notice_loop_surprise,7,"",0,3,1,top_sono_notice_in_surprise,3
7074,"","","",7,"","",93,"",0,1.7
7075,0.2,0,top_luis_surprise_idle,7,"",0,3,1,top_luis_surprise_in,1
7076,"","","",7,"","",93,"",0,2.5
7077,"","","",7,"","",32,"",0,11
7078,"","","",7,"","",93,"",0,1
7079,"","","",7,"","",4,"",0,11
7080,"","",7,7,"",130,2,0,980,11
7081,"","","",7,"","",93,"",0,1.5
7082,"","","",7,"","",32,"",1,11
7083,"","","",7,"","",37,"",smokeL,11
7084,"","",5.964,7,"",-130,33,0,980,11
7085,0,"","",7,"",1,3,"",top_iroha_run_joy,2
7086,"","","",7,"","",4,"",0,2
7087,"","",5.964,7,"",-130,2,0,980,2
7088,"","","",7,"","",93,"",0,2.2
7089,0,"","",7,"",1,3,"",top_luis_surprise_look,1
7090,"","","",7,"","",93,"",0,1.8
7091,0,"","",7,"",1,3,"",top_sono_notice_loop_look,3
7092,"","","",7,"","",93,"",0,1.964
7093,"","","",7,"","",32,"",0,11
7094,"","","",7,"","",93,"",0,0.5
7095,0.2,"","",7,"",1,3,"",top_luis_thinking,1
7096,"","","",7,"","",93,"",0,1.5
7097,0,"","",7,"",1,3,"",top_iroha_walk,2
7098,"","","",7,"","",4,"",1,2
7099,"","",0,7,"",-130,2,0,1032,2
7100,"","",0,7,"",-130,33,0,1032,11
7101,"","",3,7,"",-130,2,0,452,2
7102,"","",3,7,"",-130,33,0,452,11
7103,"","","",7,"","",93,"",0,3
7104,0.2,0,idle_normal,7,"",0,3,1,top_iroha_walk_out,2
7105,"","","",7,"","",93,"",0,0.4
7106,0.2,0.2,top_iroha_read_loop,7,"",0,3,1,top_iroha_sit_in,2
7107,0.2,"","",7,"",1,3,"",top_sono_readPaper,3
7108,"","","",7,"","",93,"",0,4
7109,"","","",7,"","",93,"",0,9.6
7110,0.2,0,top_sono_stretch,7,"",0,3,1,top_sono_sit_out,3
7111,"","",0.3,7,"",-130,2,0,287,3
7112,"","","",7,"","",93,"",0,3.5
7113,0.2,"","",7,"",1,3,"",top_sono_drink,3
7114,"","","",7,"","",93,"",0,2.6
7115,0.4,"","",7,"",0,3,"",top_iroha_read_look,2
7116,"","","",7,"","",93,"",0,3.5
7117,0.2,"","",7,"",1,3,"",top_luis_thinking_look,1
7118,"","","",7,"","",93,"",0,2.9
7119,0.2,"","",7,"",1,3,"",top_luis_thinking,1
7120,"","","",7,"","",93,"",0,1.5
7121,0.2,"","",7,"",0,3,"",top_sono_sit_in,3
7122,"","","",7,"","",93,"",0,0.1
7123,0.2,"","",7,"",1,3,"",top_iroha_read_loop,2
7124,"","",0.3,7,"",-130,2,0,350,3
7125,"","","",7,"","",93,"",0,2.5
7126,0.2,"","",7,"",1,3,"",top_sono_readPaper_loop,3
7127,"","","",7,"","",93,"",0,1
7128,"","","",7,"","",101,"","",7012
11001,1.4,1,350,11,sit_readPaper,100,5,-130,3,3
11002,1.5,0,950,11,empty,102,5,-150,1,1
11003,1,"",-18,11,"",475,31,1,10,10
11004,0,"",-130,11,"",350,31,1,11,11
11005,"","","",11,"","",91,"",0,0
11006,"","","",11,"","",93,"",1,0.5
11007,"","",0,11,"",0,21,"",vo_alces_1100,vo_alces
11008,10,0,1,11,0.5,10,11,0,"…………\n…………",3
11009,"","",0,11,"",0,91,"","",0
11010,0.2,0,sit_readPaper,11,"",0,3,1,sit_readPaperTurn,3
11011,"","","",11,"","",93,"",1,1
11012,"","","",11,"","",93,"",0,1
11013,0.2,"","",11,"",1,3,"",sit_readPaper_surprise,3
11014,"","",0,11,"",0,21,"",vo_alces_1101,vo_alces
11015,10,0,1,11,0.5,10,11,0,"…………\n…………",3
11016,"","",0,11,"",0,91,"","",0
11017,"","","",11,"","",93,"",0,1
11018,"","","",11,"","",23,"",se_alces_emotion_exQuestion,se_alces
11019,10,0,0,11,"",0.2,12,0,3,3
11020,0.1,0,sit_readPaper_notice_loop,11,"",0,3,1,sit_readPaper_notice_in,3
11021,"","","",11,"","",93,"",0,1.2
11022,0.2,0,sit_readPaper_kira_talk,11,"",0,3,1,sit_readPaper_kira_in,3
11023,"","",0,11,"",0,21,"",vo_alces_1102,vo_alces
11024,0,0,1,11,3.5,10,11,0,"……!!\n토마토 3개 한 팩에 150루피!?\n말이 돼!?",3
11025,"","","",11,"","",91,"","",0
11026,"","","",11,"","",22,"",0.5,0
11027,0.2,"","",11,"",1,3,"",sit_out_readPaper_light,3
11028,"","","",11,"","",93,"",0,0.5
11029,0.2,"","",11,"",1,3,"",sono_walletPick_in,3
11030,"","","",11,"","",93,"",0,1.8
11031,0.2,0,sono_walk_quick_R,11,"",0,3,1,sono_walk_quick_R_in,3
11032,"","","",11,"","",32,"",1,11
11033,"","",3.3,11,"",-130,2,0,1500,3
11034,"","",3.3,11,"",-130,33,0,1500,11
11035,"","","",11,"","",93,"",0,1
11036,0.2,0,luis_walk_furimuki,11,"",0,3,1,luis_walk_furimuki_in,1
11037,"","",4,11,"",-150,2,0,350,1
11038,"","","",11,"","",93,"",0,4
11039,0.2,0,luis_sad_idle,11,"",0,3,1,luis_walk_to_idle,1
11040,"","","",11,"","",23,"",se_alces_emotion_question,se_alces
11041,0,0,0,11,"",1.3,12,0,5,1
11042,"","","",11,"","",93,"",0,2.1
11043,0.2,"","",11,"",1,3,"",idle_normal,1
11044,"","","",11,"","",22,"",0,0
11045,"","","",11,"","",93,"",0,3
11046,"","",0,11,"",0,101,"","",11045
12001,1.45,0,400,12,luis_run_dash_pain,101,5,-190,1,1
12002,1.45,0,-85,12,empty,102,5,-190,1001,10
12003,"","",-190,12,"",400,31,1,11,11
12004,"","","",12,"","",13,"",130,1
12005,1.45,1,1050,12,empty,102,1,-190,105111,1
12006,1.45,1,1050,12,empty,103,5,-190,1002,10
12007,0,"",-190,12,"",-85,31,1,12,12
12008,"","","",12,"","",91,"",0,0
12009,"","",1.3,12,"",-190,2,0,-85,1
12010,"","",1.3,12,"",-190,33,0,-85,11
12011,"","","",12,"","",32,"",1,11
12012,"","","",12,"","",37,"",sweatR_run,11
12013,"","","",12,"","",93,"",0,1.3
12014,0.2,0,anger_talk_Ex0001,12,"",0,3,1,luis_run_turn,1
12015,"","",0,12,"",0,21,"",vo_alces_1200,vo_alces
12016,0,0,1,12,1,10,11,0,"잠깐, 저 사람은 왜\n날 따라오는 건데!?",1
12017,"","",0,12,"",0,91,"","",0
12018,0.2,"","",12,"",1,3,"",sad_talk_normalR,1
12019,"","",0,12,"",0,21,"",vo_alces_1201,vo_alces
12020,0,0,1,12,1.6,10,11,0,"엄청 흥분한 상태라 대화도 안 통할 것 같고…\n이렇게 된 이상, 『투명해지는 약』을 먹자!",1
12021,"","",0,12,"",0,91,"","",0
12022,0.2,"","",12,"",0,3,"",luis_drink,1
12023,"","","",12,"","",22,"",0.5,0
12024,"","","",12,"","",93,"",0,1.6
12025,"","",0,12,"",0,21,"",vo_alces_1202,vo_alces
12026,0,0,1,12,0.5,10,11,0,"꿀꺽!!",1
12027,"","","",12,"","",93,"",0,2
12028,"","","",12,"","",23,"",se_alces_invisible,se_alces
12029,"","","",12,"","",32,"",1,12
12030,0.2,0,1,12,"",1,6,0,1,1
12031,"","","",12,"","",93,"",0,1.8
12032,"","",2,12,"",-190,2,0,250,105111
12033,"","",2,12,"",-190,2,0,250,1002
12034,0.2,"","",12,"",1,3,"",mitsuki_run_dash_noface,105111
12035,0.2,"","",12,"",1,3,"",mitsuki_run_dash,1002
12036,"","","",12,"","",93,"",0,2
12037,0.2,"","",12,"",1,3,"",mitsuki_anger_talk_noface,105111
12038,0.2,"","",12,"",1,3,"",mitsuki_anger_talk,1002
