id,unit_id,use_type,voice_id,face_id,change_time,change_face,description
1003010,100331,1,5,1,0.0,1,"뭐든 들어준다고 했지만…\n파렴치한 부탁은\n안 된다고… ?"
1003011,100301,2,6,2,2.6,5,"생일 축하해\n실은 뭘 주면 좋아할지\n몰라서… 괜찮으면\n같이 고르러 가지 않을래?"
1003012,100331,2,6,1,0.0,1,"네 생일이구나, 축하해\n모처럼이니까 오늘 수업은\n하지 말자… 어라?\n왜 불만스러운 표정이지?"
1003013,100361,1,1,1,0.0,1,"네 마음이 날\n강하게 만들어주고 있지…\n나도 그 마음에 보답하겠어!"
1003014,100361,1,2,1,0.0,1,"놀랄 만큼 몸이 가벼워…\n이거라면 검술도\n평소보다 훨씬\n날카로워질 거야! 간다!"
1003015,100361,1,3,1,0.0,1,"이 힘은 너와 나의 인연의 힘…\n앞으로도 둘이서 함께\n한없이 강해지고 싶어!"
1003016,100361,1,4,1,0.0,1,"나한테 넌\n둘도 없이 소중한 존재야\n지금까지도, 앞으로도…"
1003017,100361,1,5,1,0.0,1,"내가 날 믿을 수 있는 건\n네가 날 믿어주니까…\n부탁할게… 계속 날 믿어줘"
1004001,100401,1,1,1,2.5,2,"앗, 오빠다~!\n저기, 있잖아\n미소기랑 뭐 하고 놀래?"
1004002,100401,1,2,4,4.0,4,"으~ 장난치려고 만든\n엄청 매운 캔디를\n내가 먹어버렸어… "
1004003,100401,1,3,1,6.0,6,"좋아~ 함정 설치 완료!\n오빠를 걸려들게 해서…\n앗… 설마 봤어?"
1004004,100401,1,4,1,4.5,2,"미소기가 함정을 설치한다…\n오빠가 걸려든다…\n응, 최고의 콤비야!"
1004005,100401,1,5,5,4.0,2,"오빠, 더 많이 놀자\n약속이야!\n자, 새끼손가락 꼭꼭 걸고~♪"
1004006,100431,1,1,1,0.0,1,"미소기 탐험대, 전원 집합!\n미소기랑 오빠랑 단둘뿐이지만"
1004007,100431,1,2,1,0.0,1,"앞으로도 오빠를 가지고\n잔뜩 놀 수 있겠지!\n… 아, 오빠랑 놀고 싶다고\n말하려고 한 거였어"
1004008,100431,1,3,1,0.0,1,"오빠~!\n빨리빨리 탐험하러 가자!\n오빠를 기다리고 있었다고!"
1004009,100431,1,4,1,0.0,1,"좋아하는 오빠를 위해서\n함정을 잔뜩 준비해둬야지!"
1004010,100431,1,5,1,0.0,1,"미소기는 말이야\n진짜 오빠가 생긴 것 같아서\n지인짜 기뻐~♪"
1004011,100401,2,6,1,7.6,2,"생일 축하해, 오빠!\n자, 생일 선물!\n그리고 생일 케이크!\n빨리 열어봐! 먹어봐! 두근두근"
1004012,100431,2,6,1,0.0,1,"생일 축하해! 미소기\n오빠가 정말 좋아! 진짜야!\n음~ 장난만 쳐서 그런지\n믿어주질 않네…"
1004013,100461,1,1,1,0.0,1,"오빠!\n파워 업한 미소기의\n스페셜한 장난을\n절대로 놓치지 마!"
1004014,100461,1,2,1,0.0,1,"오빠랑 미소기가 함께면\n어떤 마물도 순식간에\n해치울 수 있겠지!\n에헤헤~♪"
1004015,100461,1,3,1,0.0,1,"오빠랑 같이 있으면\n자꾸만 힘이 솟아올라!\n이 힘으로 오빠한테\n엄청난 장난을 쳐야지♪"
1004016,100461,1,4,1,0.0,1,"끝없이 새로운 장난이\n떠올라!\n아~ 빨리 오빠한테 전부\n시험해 보고 싶다~!"
1004017,100461,1,5,1,0.0,1,"오빠도\n미소기의 장난에서\n도망칠 수 없어!\n각오해♪"
1005001,100501,1,1,1,4.6,2,"당신이 곤란할 때는 꼭\n저를 불러주면 좋겠슴다!\n견습이지만\n마음은 히어로임다!"
1005002,100501,1,2,1,3.2,2,"함께 악의 조직을 퇴치하러\n가는 검다! 미숙하지만\n둘이 가면 제 몫을 할 검다!"
1005003,100501,1,3,1,8.8,4,"아빠랑 엄마가 계속\n귀여운 옷을 입히려고 함다\n리본이라던지 레이스라던지… 하지만\n저는 장식이 적은 옷이 좋슴다"
1005004,100501,1,4,1,4.6,5,"가끔은 둘이서\n조용한 곳에 가고 싶슴다\n히어로에게도 휴식은\n필요하니까요!"
1005005,100501,1,5,4,9.8,5,"당신과 함께 더 많이\n놀고 싶슴다만… 지금보다 더\n친해져서, 만약 비밀이…\n아, 아니 그, 아무것도 아님다!"
1005006,100531,1,1,1,0.0,1,"피융~!\n악을 저지하려는 용기가 있는 한\n정의는 반드시 승리함다!"
1005007,100531,1,2,1,0.0,1,"우오오옷! 불타오른다~!\n진정한 슈퍼 히어로를 목표로\n돌격임다~!"
1005008,100531,1,3,1,0.0,1,"저, 세계평화를 위해서라면\n어떤 적에게도 지지 않슴다!\n히어로는 두말하지 않슴다!"
1005009,100531,1,4,1,0.0,1,"당신이 준 용기로\n최강 히어로로\n완벽 변신임다!"
1005010,100531,1,5,1,0.0,1,"당신과 함께라면 용기 100배\n아니, 100만 배임다!\n앞으로도 함께 힘내는 검다!"
1005011,100501,2,6,1,5.3,2,"엣, 오늘이 생일이라고요!?\n그럼 축하 선물로 비장의\n트라 타이거 굿즈를 주겠슴다!\n친해진 증표임다!"
1005012,100531,2,6,1,0.0,1,"생일 축하함다♪\n언제나 신세 지고 있는 당신께\n트라 타이거의 컵케이크를 주겠슴다!\n저, 처음으로 도전한 검다"
1006001,100601,1,1,5,3.5,2,"오빠\n이따가 색소폰 연습\n도와주실 수 있나요?"
1006002,100601,1,2,4,5.0,5,"하아, 하아…\n더는 연습 못하겠어요…\n오빠 너무 열심히에요… "
1006003,100601,1,3,6,3.0,4,"응? 더 한다구… ?\n오늘은 너무 지쳤는데…\n더는 못해요 오빠… "
1006004,100601,1,4,5,5.5,2,"오빠는 언제나 항상 열심히라\n저… 맨날 두근거려요 "
1006005,100601,1,5,3,4.5,4,"있지, 오빠는\n나랑 언니 중에 어느 쪽이…\n아, 아무것도 아니에요 "
1006006,100631,1,1,1,0.0,1,"후후, 봐요 오빠!\n재즈 리듬에 맞춰\n아카리식 폴 댄스에요!"
1006007,100631,1,2,1,0.0,1,"오빠, 그렇게나\n아카리가 춤추는 걸 보고 싶어요… ?\n그, 그럼 부끄럽지만\n갑니다! 아카리 대 풍차-! "
1006008,100631,1,3,1,0.0,1,"하아, 하아… 더는, 안 대애…\n오빠가 잘한다고\n칭찬해 주니까, 나도 모르게\n들떠서 너무 돌아버렸네♪"
1006009,100631,1,4,1,0.0,1,"누, 눈이 빙글빙글해요~\n오빠, 꼬옥~ 해주세요♪\n아카리를 힘들게 했으니까…\n책임져달라구요! "
1006010,100631,1,5,1,0.0,1,"아카리의 이런 모습 아무한테나\n보여주진 않는다구요?\n오빠는 특별하니까\n아카리의 다양한 면을 알아줬으면 해요"
1006011,100601,2,6,1,5.9,5,"아! 오빠도 참\n또 커져 버렸네요\n어쩐지 아카리\n두근두근 설레요~♪"
1006012,100631,2,6,1,0.0,1,"오빠, 생일이죠\n축하해요!\n아카리랑 같이\n어른의 계단을 올라가요♪"
1006013,100661,1,1,1,0.0,1,"느껴져요, 오빠의 힘…\n아아, 두근거림이 멈추지 않아요!\n지금의 아카리라면 분명\n뭐든지 해낼 수 있을 거예요♪"
1006014,100661,1,2,1,0.0,1,"오빠 덕분에 아카리는\n마법도 능숙해졌어요!\n귀엽고 강한, 최고의\n아카리가 된 거예요♪"
1006015,100661,1,3,1,0.0,1,"지켜봐 주세요, 오빠!\n함께 특훈해온 성과를\n보여드릴게요♪"
1006016,100661,1,4,1,0.0,1,"오빠, 오늘도 아카리는\n귀여운가요?\n참, 부끄러워하지 말고\n귀엽다고 칭찬해 주세요~"
1006017,100661,1,5,1,0.0,1,"오빠와 특훈하면 언제나\n『처음』인 것투성이라서 즐거워요!\n앞으로도 둘이서 『처음』을\n많이 체험해 봐요♪"
1007001,100701,1,1,1,4.5,2,"하나에 푸딩, 둘에 푸딩\n셋, 넷에도 푸딩이고\n다섯에도 역시 푸딩인 거야~!"
1007002,100701,1,2,1,6.0,2,"하늘을 나는 걸 좋아하는 거야~\n장난치는 것도 좋아하는 거야~\n근데 푸딩은 더 좋은 거야~"
1007003,100701,1,3,7,5.0,6,"마물한테 쫓겨서 죽는 줄 안 거야~\n… 앗, 잘 생각해보니\n이미 죽은 거야!"
1007004,100701,1,4,5,7.0,6,"미야코는 유령인 거야~\n그러니까 네가 죽어도\n영원히 함께인 거야~♪\n응? 안 기쁜 거야?"
1007005,100701,1,5,2,3.0,5,"오늘은 같이 외출인 거야~\n그러니까 오늘은 계속\n너한테 붙어 다니는 거야~"
1007006,100731,1,1,1,0.0,1,"더더더, 더 많이\n잔뜩 푸딩을 사 오는 거야!\n안 그러면 미야코\n성불해버릴지도 모르는 거야!"
1007007,100731,1,2,1,0.0,1,"미야코의 푸딩은\n절대로 안 주는 거야~!\n만약에 한 입이라도 훔쳐 먹으면\n잘 때마다 꿈속에서 괴롭혀 줄 거야!"
1007008,100731,1,3,1,0.0,1,"유령은 사람을 두려움에\n떨게 하는 존재인 거야~\n너도 더 무서워하는 거야~!"
1007009,100731,1,4,1,0.0,1,"윽! 넌 미야코랑 푸딩\n뭐가 더 소중한 거야?!\n… 둘 다 소중하다구?\n그럼 된 거야~"
1007010,100731,1,5,1,0.0,1,"미야코만 유령이라니 치사한 거야!\n너도 죽어서 유령이 되라는 거야!\n그럼 둘이서 계속\n같이 있을 수 있는 거야~"
1007011,100701,2,6,1,5.8,2,"미야코는 죽었지만, 생일\n축하는 중요한 거야!!\n그러니까 빨리 생일 푸딩\n파티를 시작하는 거야~♪"
1007012,100731,2,6,1,0.0,1,"축하하는 거야! 생일은\n친한 사람과 맛있는 걸 먹는\n날이니까 오늘은 미야코랑 같이\n푸딩 케이크를 먹는 거야~♪"
1008001,100801,1,1,1,7.0,2,"아, 마침 잘 왔어!\n더 귀엽게 보이는 각도를\n좀 전에 발견했거든!\n너도 봐봐!"
1008002,100801,1,2,5,6.5,2,"나의 이 아름다움…\n언젠가 「걸어 다니는 관광명소」라고\n불리지 않을까?\n가이드북을 만들어야 해!"
1008003,100801,1,3,6,7.0,1,"앗, 너! 나이스 타이밍!\n내 아름다움이 멈출 줄을 몰라\n멈춰줘! 아니, 멈추지 마!"
1008004,100801,1,4,5,4.5,2,"이렇게 귀여운 나랑\n함께 있을 수 있을 수 있단 걸 기뻐해야 해?\n넌 세상에서 제일 행복한 사람이야♪"
1008005,100801,1,5,5,4.0,2,"난 너랑 있고 싶으니까\n여기에 있는 거야\n날 돋보이게 하는 역할은\n아니니까 안심해!"
1008006,100831,1,1,1,0.0,1,"어떤 보석과 보물도…\n내 아름다움과 광채를\n이길 수 없어…\n아, 죄 많은 나♪"
1008007,100831,1,2,1,0.0,1,"아아, 난 정말 아름다워♪\n나의 아름다움을 표현하려면…\n아니, 말로는 표현할 수 없어!"
1008008,100831,1,3,1,0.0,1,"나처럼 아름답지 않다고\n부끄러워할 필요는 없어\n그야 새삼 말할 필요도 없이\n당연한 거잖아, 그런 거♪"
1008009,100831,1,4,1,0.0,1,"어떤 보석보다도\n가치 있는 나를…\n언젠가 네게 선물할게\n라고 말하면 넌 기뻐할까?"
1008010,100831,1,5,1,0.0,1,"이 내가 여기 있다는 귀중함…\n너와 함께 만들어가는 설렘…\n세상은 희망으로 가득 차 있구나"
1008011,100801,2,6,1,9.9,2,"생일 축하해♪\n오늘의 넌 빛이 나는 것 같네\n예쁘고 아름답고 화려하고 웅장해\n분명 세계에서 2번째로 아름다워!"
1008012,100831,2,6,1,0.0,1,"생일 축하해♪\n오늘은 나의 아름다움을\n독점해도 좋아♪\n전부 수용할 수 있을까?"
1009001,100901,1,1,1,3.5,2,"네놈도 빨리 전생의 기억을\n되찾아라! 나의 숙적이자 맹우\n섬광의 시구르드여!"
1009002,100901,1,2,1,2.5,2,"나의 진명을 기억하고 있는가?\n안네로제 폰 슈테히파름이다!"
1009003,100901,1,3,4,5.0,3,"큭… ! 마력을 봉인해둔\n「눈」이 쑤시는구나… !\n안약? 필요 없다!"
1009004,100901,1,4,1,5.5,2,"시구르드여, 현세에서도\n우리 맹우의 인연은 불멸하다!\n아~핫핫핫!"
1009005,100901,1,5,1,5.0,5,"우리 둘이 손을 잡고\n「기관」의 야망을 부숴버리자!\n그리고 도래할 그 날 전생처럼\n부, 부부의 맹세를"
1009006,100931,1,1,1,0.0,1,"그 눈에, 혼에 새겨라… !\n이것이야말로 나의 금단의\n최상 궁극 소멸 마법이다!"
1009007,100931,1,2,1,0.0,1,"네놈도 기술의 소유자라면\n화려히 해방하는 거다!\n예로 들면 말이지… "
1009008,100931,1,3,1,0.0,1,"계속해서 마력을 담아온\n나의 눈동자가 빛날 때\n적의 명운이 다할 것이다… !"
1009009,100931,1,4,1,0.0,1,"방어를 버리고 공격에 특화한\n『격멸 형태』를 똑똑히 봐라!\n… 어, 어딜 보는 것이냐?!"
1009010,100931,1,5,1,0.0,1,"시구르드여… 네놈 덕분에\n언제나 나 자신을 관철할 수 있었다\n그러니까… 고마워"
1009011,100901,2,6,1,6.8,2,"오늘은 네가 전생한 날이군\n기념으로 나에게서 이걸 받거라!\n보아라! 암흑기사의 문장을!\n…어때, 멋지지?"
1009012,100931,2,6,1,0.0,1,"시구르드여, 생일 축하한다!\n내가 일기장을 선물하겠다!\n우리의 활동을 기록하도록 해라!\n…글자는 쓸 수 있지?"
1010001,101001,1,1,1,5.5,2,"왕자님, 왕자님\n뜨신 물 좀 드시겠사옵니까?\n뜨신 물은 차를 말하는 것이옵니다!"
1010002,101001,1,2,1,6.0,2,"소녀는 꿈의 나라에서 살길\n꿈 꾸고 있사옵니다\n운명의 왕자님과 꿈의 나라~♪"
1010003,101001,1,3,5,5.5,2,"동서고금의 동화책에서는\n공주님을 지키는 것은\n왕자님의 역할이옵니다"
1010004,101001,1,4,1,4.5,2,"상처를 입으셨을 때는\n소녀를 찾아주시와요\n특별한 주문이 있사옵니다\n아픔아, 아픔아 날아가라~"
1010005,101001,1,5,1,5.5,2,"아침에 눈을 뜨면\n맨 먼저 새들과\n아침인사를 나눈답니다~"
1010006,101031,1,1,1,0.0,1,"『빙글 뿅☆』 어머머\n이곳은 동굴이었지요\n허나 제 마법으로 밝아져서\n무척이나 아름답지 않사옵니까?"
1010007,101031,1,2,1,0.0,1,"어머, 손을 잡아주시는 것이옵니까?\n고맙사옵니다 기쁘옵니다…\n그럼 소녀는 왕자님의 발밑을 밝게 비출 테니\n함께 걸어 주시어요♪"
1010008,101031,1,3,1,0.0,1,"왕자님의 길은 소녀가\n밝히겠사옵니다~\n그러니 왕자님은 안심하시고\n함께 있어 주시어요~"
1010009,101031,1,4,1,0.0,1,"왕자님과 함께라면면 어디에 있든\n동화의 세계가 되는군요~\n자, 왕자님, 마호 공주를 데리고\n탐험을 시작해주시어요~♪"
1010010,101031,1,5,1,0.0,1,"계속 함께 걸어주시어요\n가끔은 발을 헛디뎌도\n둘이 함께라면 걱정 없사옵니다\n그렇지요? 마호 공주의 왕자님♪"
1010011,101001,2,6,2,4.0,5,"생일 축하하옵니다♪\n왕자님의 생일을\n함께 축하할 수 있어서 행복하옵니다♪\n앞으로도 친하게 지내주시어요~"
1010012,101031,2,6,1,0.0,1,"오늘이 생일이시옵니까?\n그거 참 축하할 일이옵니다~\n오늘을 마호마호 왕국의\n기념일로 하고 싶을 정도예요♪"
1010013,101061,1,1,1,0.0,1,"자~ 여러분을\n마호마호 왕국에 초대하겠사옵니다~\n미라클 마법 빙그르르 뿅♪\n다시 한번 빙그르르 뿅~♪"
1010014,101061,1,2,1,0.0,1,"마호마호 왕국의 퍼레이드가 시작하옵니다~\n왕자님도 마호마호 왕국의 왕자로서\n모두와 다 함께 즐기셔요♪"
1010015,101061,1,3,1,0.0,1,"이게 소녀와 왕자님의 힘…\n이런 게 가능하다니\n역시 왕자님과 소녀는\n운명의 상대이옵니다~♪"
1010016,101061,1,4,1,0.0,1,"왕자님이 곁에 있어 주신다면\n소녀, 뭐든 할 수 있을 것 같사옵니다…\n왕자님\n앞으로도 계속 옆에 있어 주셔요♪"
1010017,101061,1,5,1,0.0,1,"왕자와 공주가 만났을 때\n마호마호 왕국으로 통하는 문이 열린다…\n자, 왕자님\n둘이서 이기고 마호마호 왕국으로 돌아가요~♪"
1011001,101101,1,1,5,4.0,6,"오빠랑 난 혈연관계는 아니지만\n남매야!\n뭐? 잘 모르겠다고?"
1011002,101101,1,2,1,3.0,6,"내 활은 백발팔중!\n응? 그럼 거의\n맞추질 못하는 게… ?"
1011003,101101,1,3,2,4.0,1,"다음에 오빠랑\n디저트 먹으러 다니고 싶다\n함께 가주시겠어요?"
1011004,101101,1,4,1,4.0,2,"오빠랑 함께라면\n뭐든 할 수 있을 거 같아요!\n좋-아! 계속해서 가자구요!"
1011005,101101,1,5,5,6.0,2,"우리의 인연, 점점 깊어지네\n오빠도…\n그렇게 생각해주면 좋겠다"
1011006,101131,1,1,1,0.0,1,"왠지 요즘\n「케이크가 좋다」라나봐요!\n얼른 먹으러 가자구요!"
1011007,101131,1,2,1,0.0,1,"활쏘기 실력도 키워야 해…\n오빠 앞에서\n꼴사나운 모습\n보이고 싶지 않은걸!"
1011008,101131,1,3,1,0.0,1,"「사자는 새끼를 절벽에서 던진다」\n이건 오빠가 나를\n던지겠단 소린가?"
1011009,101131,1,4,1,0.0,1,"에헤헤, 이 상태라면…\n오빠의 마음을 사로잡을 날도\n멀지 않은 걸까?"
1011010,101131,1,5,1,0.0,1,"오빠를 다치게 하는 녀석은\n내가 이 활로 전~부\n해치워버릴 테니까!"
1011011,101101,2,6,1,7.2,2,"생일 축하해요!\n오빠, 생일은 역시\n가족과 보내야만 해요\n나랑 파티해요!"
1011012,101131,2,6,1,0.0,1,"생일 축하해요!\n오빠가 어른이 되어도\n내가 나이를 먹어도\n우리 둘은 여전히 남매예요♪"
1011013,101161,1,1,1,0.0,1,"동생만 있으면 오빠는 날개를 단 거나 마찬가지예요!\n제 활약을 확실히 지켜봐 주세요\n오빠♪"
1011014,101161,1,2,1,0.0,1,"오빠랑 함께니까\n지금 전 무적이에요!\n활이든 대포든 맘껏 오라고 해요!"
1011015,101161,1,3,1,0.0,1,"혹시 오빠에게 무슨 일이 생겨도\n저는 오빠의 동생이니까요\n반드시 찾아내서 다시 만날 거고…\n그러고 나서 평생 함께 있을 거예요!"
1011016,101161,1,4,1,0.0,1,"맡겨 주세요, 오빠\n제가 있는 한 오빠에게\n손가락 하나 건드리지 못하게 할 테니까요!"
1011017,101161,1,5,1,0.0,1,"오빠 덕분에\n무척이나 컨디션이 좋아요\n이대로 사랑도 시험도\n확실히 성공할 거예요!"
1012001,101201,1,1,2,4.0,1,"무슨 일 있으면\n나한테 다 맡기라고!\n내가 온 힘을 다해 도와줄게!"
1012002,101201,1,2,2,3.0,1,"푹 잔 덕에 활기가 가득!\n자자, 멍하니 있으면~\n두고 가버린다~!"
1012003,101201,1,3,4,5.0,5,"으응~ 좀 졸리지만…\n찮아, 찮아, 괜찮아!\n번~쩍☆"
1012004,101201,1,4,2,9.0,6,"새근새근…\n시오리… 부드러~워…\n으응? 어라? 너였어?"
1012005,101201,1,5,5,6.0,2,"예이~ 피스 피스!\n마물 따위\n초능력 한방이면 끝이야!\n난 강하다고~!"
1012006,101231,1,1,1,0.0,1,"저기, 저기 너도 같이 잘래?\n햇빛을 잔-뜩 머금은 초원의 풀 이불!\n무척 기분 좋다구☆"
1012007,101231,1,2,1,0.0,1,"있잖아, 초능력을 잔뜩 써도\n이렇게 대지의 파워로 충전 완료!\n완벽해☆"
1012008,101231,1,3,1,0.0,1,"에헤헤~ 네가 옆에 있으면\n따끈따끈 해져서\n어쩐지… 졸려…\n후아암… "
1012009,101231,1,4,1,0.0,1,"쿨쿨…\n네가 있으면 기분 좋은…\n멋진 꿈을 꿀 수 있을 거 같아… "
1012010,101231,1,5,1,0.0,1,"어쩐지 좋은 꿈을 꾼 기분이 들어\n너와 함께…\n에헤헤, 예지몽이었으면 좋겠다"
1012011,101201,2,6,1,7.2,2,"생일 축하 기념으로\n하츠네 무릎베개를 선물!\n편히 잘 수 있다고~☆\n음~ 어쩐지 나도 졸려… 쿨~"
1012012,101231,2,6,1,0.0,1,"생일이지? 축하해~!\n축하는 초능력으로…\n앗, 그, 그렇지만 졸릴 텐데~\n그럼…………………… 덥석♪"
1012013,101261,1,1,1,0.0,1,"간다~☆ 반짝☆\n반짝거리는 별님,\n모~두에게 선물이야☆"
1012014,101261,1,2,1,0.0,1,"오늘의 하츠네는\n절호조라고!\n너랑 함께라면\n뭐든 할 수 있을 거 같아☆"
1012015,101261,1,3,1,0.0,1,"자아~! 하츠네의\n스타라이트☆쇼야~!\n너한테는 제일 특등석에서\n보여줄게☆"
1012016,101261,1,4,1,0.0,1,"자! 반짝☆\n아름답다고\n별만 바라보면 안 된다☆"
1012017,101261,1,5,1,0.0,1,"봐, 봐☆\n하츠네의 비장의 무기,\n너한테만 보여줄게☆"
1013001,101301,1,1,1,7.3,2,"일과인 정기 순회!\n레어 마도서가 있는 날에는\ndkdk가 멈추지 않는다고~!\n자, 그럼 너도 이쪽 세계로!"
1013002,101301,1,2,2,1.5,5,"햣하하~!\n최애 캐릭터 안는 베개에 얼굴을 묻고\n마력을 충전해야 해~!"
1013003,101301,1,3,1,7.4,2,"나는 많은 사람을 지키는 마법 소녀\n…남녀노소, 모든 생명을 평등하게\n…물론 커다란 친구들도!"
1013004,101301,1,4,1,5.2,2,"너에게는 신세를 지고 있으니\n가끔은 나나카가\n뭔가 사 주도록 할게~!\n좋았어, 계산은 맡기라고~!"
1013005,101301,1,5,1,4.5,2,"나는 마법 소녀로서 모두를\n웃게 하고 싶어!\n물론 너도 말이지!"
