mode,hp_gauge_color_flag,action_start_second,trigger_hp,detail_boss_motion,wave_group_id,purpose_type,recommended_level,detail_boss_bg_height,story_id_mode_end,purpose_count,appear_time,story_start_second,story_id_mode_start,event_id,unnecessary_defeat_chara,detail_boss_bg_size,start_idle_trigger,is_hide_boss
1,1,5.0,75,"",610047004,1,90,-50.0,5023322,0,0.0,1.5,5023321,10047,0,1.25,0,0
2,1,5.0,40,"",610047005,1,90,-50.0,5023323,0,0.0,1.5,0,10047,0,1.25,0,0
3,1,5.0,0,"",610047006,1,90,-50.0,0,0,0.0,1.5,0,10047,0,1.25,0,0
1,1,5.0,35,"",610048004,1,172,-35.0,5048322,0,0.0,5.5,5048321,10048,0,1.25,0,0
2,1,5.0,0,"",610048005,2,172,-35.0,5048323,0,3.0,1.5,0,10048,610048402,1.25,600,0
3,1,5.0,0,"",610048006,1,172,-35.0,0,0,0.0,1.5,0,10048,0,1.25,0,0
1,1,5.0,0,"",610049004,2,90,-50.0,5025322,0,3.0,5.5,5025321,10049,610049401,1.25,600,0
2,1,5.0,63,"",610049005,1,90,-50.0,5025323,0,0.0,1.5,0,10049,0,1.25,0,0
3,1,5.0,0,"",610049006,1,90,-50.0,0,0,0.0,1.5,0,10049,0,1.25,0,0
1,1,5.0,0,"",610050004,3,175,-35.0,5050322,35,0.0,5.5,5050321,10050,610050401,1.25,0,0
2,1,5.0,75,"",610050005,1,175,-35.0,5050323,0,0.0,1.5,0,10050,0,1.25,0,0
3,1,5.0,0,"",610050006,1,175,-35.0,0,0,0.0,1.5,0,10050,0,1.25,0,0
1,1,5.0,80,"",610051004,1,130,-50.0,5027322,0,3.0,5.5,5027321,10051,0,1.25,600,0
2,1,5.0,0,"",610051005,2,130,-50.0,5027323,0,0.0,1.5,0,10051,610051501,1.25,600,0
3,1,5.0,0,"",610051006,1,130,-50.0,0,0,0.0,1.5,0,10051,0,1.25,0,0
1,1,5.0,79,"",610052004,1,178,-75.0,5052322,0,0.0,5.5,5052321,10052,0,1.7,0,0
2,1,5.0,36,"",610052005,1,178,-75.0,5052323,0,0.0,1.5,0,10052,0,1.7,0,0
3,1,5.0,0,"",610052006,1,178,-75.0,0,0,0.0,1.5,0,10052,0,1.7,0,0
1,1,5.0,0,"",610053004,2,133,50.0,5017321,0,3.0,1.5,0,10053,610053401,0.9,600,0
2,1,5.0,69,"",610053005,1,133,84.0,5017322,0,0.0,1.5,0,10053,0,1.0,0,0
3,1,5.0,0,"",610053006,1,133,84.0,0,0,0.0,1.5,0,10053,0,1.0,0,0
1,1,5.0,28,"",610054004,1,181,-75.0,5054322,0,0.0,5.5,5054321,10054,0,1.7,0,0
2,1,5.0,0,"",610054005,2,181,-40.0,5054323,0,0.0,1.5,0,10054,610054402,1.3,600,0
3,1,5.0,0,"",610054006,1,181,-75.0,0,0,0.0,1.5,0,10054,0,1.7,0,0
1,1,5.0,0,"",610055004,2,136,0.0,5029322,0,3.0,5.5,5029321,10055,610055401,1.5,600,0
2,1,5.0,73,"",610055005,1,136,0.0,5029323,0,0.0,1.5,0,10055,0,1.5,0,0
3,1,5.0,0,"",610055006,1,136,0.0,0,0,0.0,1.5,0,10055,0,1.5,0,0
1,1,5.0,80,"",610056004,1,175,-20.0,5056322,0,3.0,5.5,5056321,10056,0,2.0,600,0
2,1,5.0,55,"",610056005,1,175,-20.0,5056323,0,0.0,1.5,0,10056,0,2.0,0,0
3,1,5.0,0,"",610056006,1,175,-20.0,0,0,0.0,1.5,0,10056,0,2.0,0,0
1,1,5.0,0,"",610057004,2,139,-50.0,5031322,0,3.0,5.5,5031321,10057,610057401,1.25,600,0
2,1,5.0,60,"",610057005,1,139,-50.0,5031323,0,0.0,1.5,0,10057,0,1.25,0,0
3,1,5.0,0,"",610057006,1,139,-50.0,0,0,0.0,1.5,0,10057,0,1.25,0,0
1,1,5.0,0,"",610058004,3,178,5.0,5058322,35,3.0,5.5,5058321,10058,610058401,1.75,600,0
2,1,5.0,68,"",610058005,1,178,5.0,5058323,0,0.0,1.5,0,10058,0,1.75,600,0
3,1,5.0,0,"",610058006,1,178,5.0,0,0,0.0,1.5,0,10058,0,1.75,0,0
1,1,5.0,75,"",610059004,1,178,-20.0,5059322,0,3.0,5.5,5059321,10059,0,1.55,600,0
2,1,5.0,0,"",610059005,2,178,0.0,5059323,0,0.0,1.5,0,10059,610059402,1.15,600,0
3,1,5.0,0,"",610059006,1,178,-20.0,0,0,0.0,1.5,0,10059,0,1.55,0,0
1,1,5.0,56,"",610060004,1,142,-50.0,5033322,0,3.0,5.5,5033321,10060,0,1.25,600,0
2,1,5.0,0,"",610060005,2,142,-50.0,5033323,0,0.0,1.5,0,10060,610060402,1.25,600,0
3,1,5.0,0,"",610060006,1,142,-50.0,0,0,0.0,1.5,0,10060,0,1.25,0,0
1,1,5.0,0,"",610061004,2,181,-47.0,5061322,0,3.0,5.5,5061321,10061,610061401,0.83,600,0
2,1,5.0,80,"",610061005,1,181,-47.0,5061323,0,0.0,1.5,0,10061,0,0.83,600,0
3,1,5.0,0,"",610061006,1,181,-47.0,0,0,0.0,1.5,0,10061,0,0.83,0,0
1,1,5.0,0,"",610062004,2,145,5.0,5035322,0,3.0,5.5,5035321,10062,610062401,2.5,600,0
2,1,5.0,0,"",610062005,2,145,5.0,5035323,0,0.0,1.5,0,10062,610062402,2.5,600,0
3,1,5.0,0,"",610062006,1,145,5.0,0,0,0.0,1.5,0,10062,0,2.5,0,0
1,1,5.0,73,"",610063004,1,145,-50.0,5036322,0,3.0,5.5,5036321,10063,0,0.4,600,0
2,1,5.0,37,"",610063005,1,145,-50.0,5036323,0,0.0,1.5,0,10063,0,0.4,600,0
3,1,5.0,0,"",610063006,1,145,-50.0,0,0,0.0,1.5,0,10063,0,0.4,0,0
1,1,5.0,67,"",610064004,1,184,-50.0,5064322,0,3.0,5.5,5064321,10064,0,1.25,600,0
2,1,5.0,40,"",610064005,1,184,-50.0,5064323,0,0.0,1.5,0,10064,0,1.25,600,0
3,1,5.0,0,"",610064006,1,184,-50.0,0,0,0.0,1.5,0,10064,0,1.25,0,0
1,1,5.0,0,"",610065004,2,148,-20.0,5038322,0,3.0,5.5,5038321,10065,610065401,1.5,600,0
2,1,5.0,67,310700_detail_idle,610065005,1,148,-20.0,5038323,0,0.0,1.5,0,10065,0,2.0,0,0
3,1,5.0,0,"",610065006,1,148,-20.0,0,0,0.0,1.5,0,10065,0,1.8,0,0
1,1,5.0,94,"",610066004,5,186,-50.0,5066322,9000000,3.0,5.5,5066321,10066,610066401,1.0,600,0
2,1,5.0,0,"",610066005,2,186,-50.0,5066323,0,0.0,1.5,0,10066,610066402,1.0,600,0
3,1,5.0,0,"",610066006,1,186,-50.0,0,0,0.0,1.5,0,10066,0,1.0,0,0
1,1,5.0,0,"",610067004,2,151,-20.0,5040322,0,3.0,5.5,5040321,10067,610067401,1.5,600,0
2,1,5.0,68,"",610067005,1,151,-35.0,5040323,0,0.0,1.5,0,10067,0,1.7,0,0
3,1,5.0,0,"",610067006,1,151,-35.0,0,0,0.0,1.5,0,10067,0,1.7,0,0
1,1,5.0,56,"",610068004,1,189,-47.0,5068322,0,3.0,5.5,5068321,10068,0,1.7,600,0
2,1,5.0,0,"",610068005,2,189,-47.0,5068323,0,0.0,1.5,0,10068,610068402,1.5,600,0
3,1,5.0,0,"",610068006,1,189,-47.0,0,0,0.0,1.5,0,10068,0,1.7,0,0
1,1,5.0,72,"",610069004,5,154,-20.0,5042322,2400000,0.0,5.5,5042321,10069,0,1.7,0,0
2,1,5.0,0,311100_detail_idle,610069005,2,154,-20.0,5042323,0,3.0,1.5,0,10069,610069402,1.7,600,0
3,1,5.0,0,"",610069006,1,154,-20.0,0,0,0.0,1.5,0,10069,0,1.7,0,0
1,1,5.0,0,"",610070004,2,192,-50.0,5070322,0,3.0,5.5,5070321,10070,610070401,2.0,600,1
2,1,5.0,0,"",610070005,2,192,-50.0,5070323,0,0.0,1.5,0,10070,610070402,2.0,600,1
3,1,0.0,0,"",610070006,1,192,-50.0,0,0,0.0,1.5,0,10070,0,2.0,0,0
1,1,5.0,72,"",610071004,1,157,-54.0,5044322,0,3.0,1.5,5044321,10071,0,1.8,600,0
2,1,5.0,44,"",610071005,1,157,-54.0,5044323,0,0.0,1.5,0,10071,0,1.8,0,0
3,1,5.0,0,"",610071006,1,157,-54.0,0,0,0.0,1.5,0,10071,0,1.8,0,0
1,1,5.0,0,"",610072004,3,195,-120.0,5072322,30,3.0,5.5,5072321,10072,610072401,1.3,600,0
2,1,5.0,0,"",610072005,2,195,-80.0,5072323,0,0.0,1.5,0,10072,610072402,1.0,600,0
3,1,5.0,0,"",610072006,1,195,-120.0,0,0,0.0,1.5,0,10072,0,1.3,0,0
1,1,5.0,60,"",610073004,1,160,-35.0,5046322,0,0.0,5.5,5046321,10073,0,1.7,0,0
2,1,5.0,0,"",610073005,2,160,-15.0,5046323,0,3.0,1.5,0,10073,610073402,1.7,600,0
3,1,5.0,0,"",610073006,1,160,-35.0,0,0,0.0,1.5,0,10073,0,1.7,0,0
1,1,5.0,0,"",610074004,2,198,-30.0,5074322,0,3.0,5.5,5074321,10074,610074401,1.18,600,0
2,1,5.0,0,"",610074005,3,198,-30.0,5074323,40,0.0,1.5,0,10074,610074402,1.55,600,0
3,1,5.0,0,"",610074006,1,198,-45.0,0,0,0.0,1.5,0,10074,0,1.55,0,0
1,1,5.0,71,"",610075004,1,163,-35.0,5048322,0,0.0,5.5,5048321,10075,0,1.25,0,0
2,1,5.0,0,"",610075005,2,163,-35.0,5048323,0,3.0,1.5,0,10075,610075402,1.25,600,0
3,1,5.0,0,"",610075006,1,163,-35.0,0,0,0.0,1.5,0,10075,0,1.25,0,0
1,1,5.0,0,"",610076004,2,200,-40.0,5076322,0,3.0,5.5,5076321,10076,610076401,2.2,600,0
2,1,5.0,97,"",610076005,1,200,-40.0,5076323,0,0.0,1.5,0,10076,610076402,2.4,0,0
3,1,5.0,0,"",610076006,1,200,-55.0,0,0,0.0,1.5,0,10076,0,2.4,0,0
1,1,5.0,0,"",610077004,3,166,-35.0,5050322,35,0.0,5.5,5050321,10077,610077401,1.25,0,0
2,1,5.0,49,"",610077005,1,166,-35.0,5050323,0,0.0,1.5,0,10077,0,1.25,0,0
3,1,5.0,0,"",610077006,1,166,-35.0,0,0,0.0,1.5,0,10077,0,1.25,0,0
1,1,5.0,79,"",610078004,1,203,-45.0,5078322,0,0.0,1.5,5078321,10078,0,1.55,0,0
2,1,5.0,0,"",610078005,4,203,-45.0,5078323,490,0.0,1.5,0,10078,0,1.55,0,0
3,1,5.0,0,"",610078006,1,203,-45.0,0,0,0.0,1.5,0,10078,0,1.55,0,0
1,1,5.0,77,"",610079004,1,169,-75.0,5052322,0,0.0,5.5,5052321,10079,0,1.7,0,0
2,1,5.0,47,"",610079005,1,169,-75.0,5052323,0,0.0,1.5,0,10079,0,1.7,0,0
3,1,5.0,0,"",610079006,1,169,-75.0,0,0,0.0,1.5,0,10079,0,1.7,0,0
1,1,5.0,0,"",610080004,2,206,-70.0,5080322,0,3.0,5.5,5080321,10080,610080401,1.4,600,0
2,1,5.0,67,"",610080005,1,206,-70.0,5080323,0,0.0,1.5,0,10080,610080402,1.5,0,0
3,1,5.0,0,"",610080006,1,206,-70.0,0,0,0.0,1.5,0,10080,0,1.5,0,0
1,1,5.0,48,"",610081004,1,172,-75.0,5054322,0,0.0,5.5,5054321,10081,0,1.7,0,0
2,1,5.0,0,"",610081005,2,172,-40.0,5054323,0,0.0,1.5,0,10081,610081402,1.3,600,0
3,1,5.0,0,"",610081006,1,172,-75.0,0,0,0.0,1.5,0,10081,0,1.7,0,0
1,1,5.0,0,"",610082004,3,209,-20.0,5082322,20,3.0,5.5,5082321,10082,610082401,2.0,600,0
2,1,5.0,49,"",610082005,1,209,-20.0,5082323,0,0.0,1.5,0,10082,0,2.0,0,0
3,1,5.0,0,"",610082006,1,209,-20.0,0,0,0.0,1.5,0,10082,0,2.0,0,0
1,1,5.0,77,"",610083004,1,172,-20.0,5056322,0,3.0,5.5,5056321,10083,0,2.0,600,0
2,1,5.0,45,"",610083005,1,172,-20.0,5056323,0,0.0,1.5,0,10083,0,2.0,0,0
3,1,5.0,0,"",610083006,1,172,-20.0,0,0,0.0,1.5,0,10083,0,2.0,0,0
1,1,5.0,0,"",610084004,2,212,5.0,5084322,0,3.0,5.5,5084321,10084,610084401,1.35,600,0
2,1,5.0,0,"",610084005,3,212,5.0,5084323,10,0.0,1.5,0,10084,0,1.35,600,0
3,1,5.0,0,"",610084006,1,212,5.0,0,0,0.0,1.5,0,10084,0,1.35,0,0
1,1,5.0,0,"",610085004,2,212,-20.0,5085322,0,3.0,5.5,5085321,10085,610085401,0.95,600,0
2,1,5.0,75,"",610085005,1,212,-20.0,5085323,0,0.0,1.5,0,10085,0,1.2,600,0
3,1,5.0,0,"",610085006,1,212,-20.0,0,0,0.0,1.5,0,10085,0,1.2,0,0
1,1,5.0,0,"",610086004,3,172,5.0,5058322,20,3.0,5.5,5058321,10086,610086401,1.75,600,0
2,1,5.0,70,"",610086005,1,172,5.0,5058323,0,0.0,1.5,0,10086,0,1.75,600,0
3,1,5.0,0,"",610086006,1,172,5.0,0,0,0.0,1.5,0,10086,0,1.75,0,0
1,1,5.0,71,"",610087004,1,172,-20.0,5059322,0,3.0,5.5,5059321,10087,0,1.55,600,0
2,1,5.0,0,"",610087005,2,172,0.0,5059323,0,0.0,1.5,0,10087,610087402,1.15,600,0
3,1,5.0,0,"",610087006,1,172,-20.0,0,0,0.0,1.5,0,10087,0,1.55,0,0
1,1,5.0,0,"",610088004,3,215,-70.0,5088322,15,3.0,5.5,5088321,10088,610088401,1.4,600,0
2,1,5.0,75,"",610088005,1,215,-70.0,5088323,0,0.0,1.5,0,10088,610088402,1.5,0,0
3,1,5.0,0,"",610088006,1,215,-70.0,0,0,0.0,1.5,0,10088,0,1.5,0,0
1,1,5.0,0,"",610089004,2,172,-47.0,5061322,0,3.0,5.5,5061321,10089,610089401,0.83,600,0
2,1,5.0,60,"",610089005,1,172,-47.0,5061323,0,0.0,1.5,0,10089,0,0.83,600,0
3,1,5.0,0,"",610089006,1,172,-47.0,0,0,0.0,1.5,0,10089,0,0.83,0,0
1,1,5.0,78,"",610090004,1,218,-45.0,5090322,0,3.0,5.5,5090321,10090,0,1.18,600,0
2,1,5.0,0,"",610090005,4,218,-45.0,5090323,550,0.0,1.5,0,10090,0,1.18,0,0
3,1,5.0,0,"",610090006,1,218,-45.0,0,0,0.0,1.5,0,10090,0,1.18,0,0
1,1,5.0,76,"",610091004,1,172,-50.0,5064322,0,3.0,5.5,5064321,10091,0,1.25,600,0
2,1,5.0,50,"",610091005,1,172,-50.0,5064323,0,0.0,1.5,0,10091,0,1.25,600,0
3,1,5.0,0,"",610091006,1,172,-50.0,0,0,0.0,1.5,0,10091,0,1.25,0,0
1,1,5.0,60,"",610092004,1,220,-50.0,5092322,0,3.0,5.5,5092321,10092,0,1.4,600,0
2,1,5.0,0,"",610092005,2,220,-20.0,5092323,0,0.0,1.5,0,10092,610092402,1.15,600,0
3,1,5.0,0,"",610092006,1,220,-50.0,0,0,0.0,1.5,0,10092,0,1.4,0,0
1,1,5.0,75,"",610093004,5,172,-50.0,5066322,2500000,3.0,5.5,5066321,10093,610093401,1.0,600,0
2,1,5.0,0,"",610093005,2,172,-50.0,5066323,0,0.0,1.5,0,10093,610093402,1.0,600,0
3,1,5.0,0,"",610093006,1,172,-50.0,0,0,0.0,1.5,0,10093,0,1.0,0,0
1,1,5.0,0,"",610094004,3,223,-50.0,5094322,10,3.0,5.5,5094321,10094,610094401,2.2,600,0
2,1,5.0,84,"",610094005,1,223,-50.0,5094323,0,0.0,1.5,0,10094,0,2.2,0,0
3,1,5.0,0,"",610094006,1,223,-50.0,0,0,0.0,1.5,0,10094,0,2.2,0,0
1,1,5.0,66,"",610095004,1,172,-47.0,5068322,0,3.0,5.5,5068321,10095,0,1.7,600,0
2,1,5.0,0,"",610095005,2,172,-47.0,5068323,0,0.0,1.5,0,10095,610095402,1.5,600,0
3,1,5.0,0,"",610095006,1,172,-47.0,0,0,0.0,1.5,0,10095,0,1.7,0,0
1,1,5.0,76,"",610096004,1,226,-120.0,5096322,0,3.0,5.5,5096321,10096,0,1.3,600,0
2,1,5.0,0,"",610096005,2,226,-80.0,5096323,0,0.0,1.5,0,10096,610096402,1.0,600,0
3,1,5.0,0,"",610096006,1,226,-120.0,0,0,0.0,1.5,0,10096,0,1.3,0,0
1,1,5.0,0,"",610097004,2,172,-50.0,5070322,0,3.0,5.5,5070321,10097,610097401,2.0,600,1
2,1,5.0,0,"",610097005,2,172,-50.0,5070323,0,0.0,1.5,0,10097,610097402,2.0,600,1
3,1,0.0,0,"",610097006,1,172,-50.0,0,0,0.0,1.5,0,10097,0,2.0,0,0
1,1,5.0,0,"",610098004,2,229,-120.0,5098322,0,3.0,5.5,5098321,10098,610098401,1.3,600,0
2,1,5.0,0,"",610098005,2,229,-80.0,5098323,0,0.0,1.5,0,10098,610098402,1.1,600,0
3,1,5.0,0,"",610098006,1,229,-85.0,0,0,0.0,1.5,0,10098,0,1.3,0,0
1,1,5.0,0,"",610099004,3,172,-100.0,5072322,25,3.0,5.5,5072321,10099,610099401,1.3,600,0
2,1,5.0,0,"",610099005,2,172,-80.0,5072323,0,0.0,1.5,0,10099,610099402,1.0,600,0
3,1,5.0,0,"",610099006,1,172,-120.0,0,0,0.0,1.5,0,10099,0,1.3,0,0
1,1,5.0,0,"",610100004,2,232,-50.0,5100322,0,3.0,5.5,5100321,10100,610100401,1.1,600,0
2,1,5.0,70,"",610100005,1,232,-70.0,5100323,0,0.0,1.5,0,10100,0,1.5,600,0
3,1,5.0,0,"",610100006,1,232,-70.0,0,0,0.0,1.5,0,10100,610100110,1.5,0,0
1,1,5.0,0,"",610101004,2,175,-30.0,5074322,0,3.0,5.5,5074321,10101,610101401,1.18,600,0
2,1,5.0,0,"",610101005,3,175,-30.0,5074323,25,0.0,1.5,0,10101,610101402,1.55,600,0
3,1,5.0,0,"",610101006,1,175,-45.0,0,0,0.0,1.5,0,10101,0,1.55,0,0
1,1,5.0,32,"",610102004,1,235,-85.0,5102322,0,3.0,5.5,5102321,10102,0,1.25,600,0
2,1,5.0,0,"",610102005,2,235,-80.0,5102323,0,0.0,1.5,0,10102,610102402,1.1,600,0
3,1,5.0,0,"",610102006,1,235,-85.0,0,0,0.0,1.5,0,10102,0,1.25,0,0
1,1,5.0,0,"",610103004,2,178,-40.0,5076322,0,3.0,5.5,5076321,10103,610103401,2.2,600,0
2,1,5.0,97,"",610103005,1,178,-40.0,5076323,0,0.0,1.5,0,10103,610103402,2.4,0,0
