param_03,param_04,command_id,param_05,drama_id,param_01,param_02,command_type,param_07,param_06,param_08
10,1,13086,1,13,2,"오빠.\n앞으로도 【얼터 메이든】의\n곁에 있어 주세요.",11,0,0,0
0,0,13087,"",13,0,"",91,"","",""
1,"",13088,"",13,2,clear_wish_idle_look,3,"",0.2,""
0,joy_idle_look_shy_precia2,13089,1,13,3,agree,3,0.2,0.1,""
0,0,13090,"",13,vo_asb,vo_asb_1534,21,"","",""
10,1,13091,1,13,3,"잘.",11,0,0,0
0,0,13092,"",13,0,"",91,"","",""
0,idle_look_shy_riri,13093,1,13,1,bow_riri,3,0.2,0.2,""
0,0,13094,"",13,vo_asb,vo_asb_1535,21,"","",""
10,1,13095,1,13,1,"부탁드립니다……!",11,0,0,0
0,0,13096,"",13,0,"",91,"","",""
"","",13097,"",13,13098,"",101,"","",""
1,1,13098,0,13,1,1,6,0,0.3,""
1,1,13099,0,13,2,1,6,0,0.3,""
1,1,13100,0,13,3,1,6,0,0.3,""
1,1,13101,0,13,0,1,6,0,0.3,""
-230,0.3,13102,1,13,1,-130,2,"","",""
-255,0.3,13103,1,13,2,-290,2,"","",""
-245,0.3,13104,1,13,3,120,2,"","",""
0,0.3,13105,1,13,0,-100,2,"","",""
"","",13106,"",13,0,0,22,"","",""
"","",13107,"",13,100,1,35,"","",""
0,0.3,13108,1,13,100,-100,33,"","",""
"","",13109,"",13,0.4,0,93,"","",""
"","",13110,"",13,100,0,32,"","",""
52,30,22001,-250,22,3,1,5,0,2.2,surprise_idle_normal2_precia
1,1,22002,0,22,1,1,6,0,0,""
29,50,22003,0,22,0,0,5,0,1,black
1,1,22004,0,22,0,1,6,0,0,""
"","",22005,"",22,0,"",91,"","",""
1,1,22006,1,22,1,1,6,0,0.2,""
1,1,22007,1,22,0,1,6,0,0.2,""
-250,0.3,22008,2,22,1,-20,2,"","",""
0,0.3,22009,2,22,0,0,2,"","",""
"","",22010,"",22,0.6,0,93,"","",""
0,0,22011,"",22,vo_asb,vo_asb_0221,21,"","",""
10,1,22012,1,22,1,"사각.\n쿠키.\n많이 먹었어.",11,0,0,0
0,0,22013,"",22,0,"",91,"","",""
1,"",22014,"",22,1,talk_surprise_precia,3,"",0.3,""
0,0,22015,"",22,vo_asb,vo_asb_0222,21,"","",""
10,1,22016,1,22,1,"스즈메.\n여러 가지 만드는 것.\n같아.",11,0,0,0
0,0,22017,"",22,0,"",91,"","",""
1,"",22018,"",22,1,think_idle_precia,3,"",0.3,""
0,0,22019,"",22,vo_asb,vo_asb_0223,21,"","",""
10,1,22020,1,22,1,"사각, 핫케이크.\n나?",11,0,0,0
0,0,22021,"",22,0,"",91,"","",""
1,"",22022,"",22,1,think_idle_dere_precia,3,"",0.3,""
0,0,22023,"",22,vo_asb,vo_asb_0224,21,"","",""
10,1,22024,1,22,1,"사각, 머핀.\n이나?",11,0,0,0
0,0,22025,"",22,0,"",91,"","",""
1,"",22026,"",22,1,think_idle_angerR,3,"",0.3,""
0,0,22027,"",22,vo_asb,vo_asb_0225,21,"","",""
10,1,22028,1,22,1,"사각, 고기 찐빵……\n같은 거……(꿀꺽)",11,0,0,0
0,0,22029,"",22,0,"",91,"","",""
0,speak1_light_precia,22030,1,22,1,thinkToSpeak_precia,3,0,0.1,""
0,0,22031,"",22,vo_asb,vo_asb_0226,21,"","",""
10,1,22032,1,22,1,"스즈메.\n스카우트할래.\n【얼터 메이든】에.",11,0,0,0
0,0,22033,"",22,0,"",91,"","",""
"","",22034,"",22,22035,"",101,"","",""
1,1,22035,0,22,1,1,6,0,0.3,""
1,1,22036,0,22,0,1,6,0,0.3,""
-250,0.3,22037,1,22,1,-120,2,"","",""
0,0.3,22038,1,22,0,-100,2,"","",""
"","",22039,"",22,0,0,22,"","",""
"","",22040,"",22,0.4,0,93,"","",""
52,20,32001,-230,32,1,1,5,0,2.2,riri_idle_look
58,-140,32002,-255,32,2,2,5,0,2.2,clear_book_read
55,270,32003,-245,32,3,3,5,1,2.2,joy_idle_precia
1,1,32004,0,32,1,1,6,0,0,""
1,1,32005,0,32,2,1,6,0,0,""
1,1,32006,0,32,3,1,6,0,0,""
29,50,32007,0,32,0,0,5,0,1,black
1,1,32008,0,32,0,1,6,0,0,""
"","",32009,"",32,0,"",91,"","",""
1,1,32010,1,32,1,1,6,0,0.2,""
1,1,32011,1,32,2,1,6,0,0.2,""
1,1,32012,1,32,3,1,6,0,0.2,""
1,1,32013,1,32,0,1,6,0,0.2,""
-230,0.3,32014,2,32,1,-30,2,"","",""
-255,0.3,32015,2,32,2,-190,2,"","",""
-245,0.3,32016,2,32,3,220,2,"","",""
0,0.3,32017,2,32,0,0,2,"","",""
"","",32018,"",32,0.6,0,93,"","",""
1,"",32019,"",32,2,clear_book_talk,3,"",0.2,""
0,0,32020,"",32,vo_asb,vo_asb_0321,21,"","",""
10,1,32021,1,32,2,"이 소 그림,\n너무 잘 그리지 않았나요!?",11,0,0,0
0,0,32022,"",32,0,"",91,"","",""
1,"",32023,"",32,2,clear_book_idle,3,"",0.4,""
1,"",32024,"",32,1,riri_talk_look,3,"",0.2,""
0,0,32025,"",32,vo_asb,vo_asb_0322,21,"","",""
10,1,32026,1,32,1,"프레시아 씨 작품이에요.\n그녀는 천재 타입이거든요.",11,0,0,0
0,0,32027,"",32,0,"",91,"","",""
1,"",32028,"",32,1,riri_idle_look,3,"",0.2,""
0,clear_talk2_noShy,32029,1,32,2,clear_bookToTalk2,3,0,0.1,""
0,0,32030,"",32,vo_asb,vo_asb_0323,21,"","",""
10,1,32031,1,32,2,"그러고 보니, 저랑 리리가\n『허리에 손』을 잘 못해서\n마히루 씨한테 배우며\n악전고투했을 때도……",11,0,0,0
0,0,32032,"",32,0,"",91,"","",""
0,idle_talkjoy2,32033,1,32,2,talk2ToIdle_talkjoy2,3,0,0.1,""
1,"",32034,"",32,1,sad_talk_joy2R,3,"",0.2,""
0,0,32035,"",32,vo_asb,vo_asb_0324,21,"","",""
10,1,32036,1,32,1,"네. 프레시아 씨만은\n단번에 합격했죠.\n풋내기인 저희 눈으로 봐도\n실로 완벽한 『허리에 손』이었어요.",11,0,0,0
0,0,32037,"",32,0,"",91,"","",""
1,"",32038,"",32,1,sad_idle_normal_riri,3,"",0.2,""
1,"",32039,"",32,2,idle,3,"",0.2,""
1,"",32040,"",32,3,talk_precia,3,"",0.3,""
0,0,32041,"",32,vo_asb,vo_asb_0325,21,"","",""
10,1,32042,1,32,3,"보고 싶어?",11,0,0,0
0,0,32043,"",32,0,"",91,"","",""
1,"",32044,"",32,3,joy_idle_precia,3,"",0.3,""
1,"",32045,"",32,1,guts2_talk_riri,3,"",0.2,""
1,"",32046,"",32,2,clear_hope_talk,3,"",0.2,""
0,0,32047,"",32,vo_asb,vo_asb_0326,21,"","",""
10,1,32048,1,32,1,"부디.",11,0,0,0
0,0,32049,"",32,0,"",91,"","",""
1,"",32050,"",32,1,guts2_idle_riri,3,"",0.2,""
1,"",32051,"",32,2,clear_hope_idle,3,"",0.2,""
0,cool_idle,32052,1,32,3,cool_in,3,0,0.2,""
0,0,32053,"",32,vo_asb,vo_asb_0327,21,"","",""
10,1,32054,1,32,3,"척.",11,0,0,0
0,0,32055,"",32,0,"",91,"","",""
0,cool_idle_doya,32056,1,32,3,cool_idle_doya_in,3,0.1,0.2,""
1,"",32057,"",32,1,guts2_idle_joy_riri,3,"",0.2,""
1,"",32058,"",32,2,clear_hope_joy,3,"",0.2,""
0,0,32059,"",32,vo_asb,vo_asb_0328,21,"","",""
10,1,32060,1,32,1,"와아~♪",11,-22,-85,0
0,0,32061,"",32,0,"",91,"","",""
"","",32062,"",32,32063,"",101,"","",""
1,1,32063,0,32,1,1,6,0,0.3,""
1,1,32064,0,32,2,1,6,0,0.3,""
1,1,32065,0,32,3,1,6,0,0.3,""
1,1,32066,0,32,0,1,6,0,0.3,""
-230,0.3,32067,1,32,1,-130,2,"","",""
-255,0.3,32068,1,32,2,-290,2,"","",""
-245,0.3,32069,1,32,3,120,2,"","",""
0,0.3,32070,1,32,0,-100,2,"","",""
"","",32071,"",32,0,0,22,"","",""
"","",32072,"",32,0.4,0,93,"","",""
52,30,42001,-250,42,2,1,5,0,2.2,clear_wish_talk_joy_noShy
1,1,42002,0,42,1,1,6,0,0,""
29,50,42003,0,42,0,0,5,0,1,black
1,1,42004,0,42,0,1,6,0,0,""
"","",42005,"",42,0,"",91,"","",""
1,1,42006,1,42,1,1,6,0,0.2,""
1,1,42007,1,42,0,1,6,0,0.2,""
-250,0.3,42008,2,42,1,-20,2,"","",""
0,0.3,42009,2,42,0,0,2,"","",""
"","",42010,"",42,0.6,0,93,"","",""
0,0,42011,"",42,vo_asb,vo_asb_0421,21,"","",""
10,1,42012,1,42,1,"린 씨가 했던 마히루 씨 성대모사,\n정말 잘했어요.",11,0,0,0
0,0,42013,"",42,0,"",91,"","",""
1,"",42014,"",42,1,clear_talk_normal,3,"",0.1,""
0,0,42015,"",42,vo_asb,vo_asb_0422,21,"","",""
10,1,42016,1,42,1,"길드도 오랫동안 하면\n정을 돈독히 나눈 멤버끼리\n그렇게 서로의 성대모사도\n어렵지 않게 할 수 있게 되는군요……",11,0,0,0
0,0,42017,"",42,0,"",91,"","",""
0,clear_kohon_loop,42018,1,42,1,clear_kohon_in,3,0,0.2,""
0,0,42019,"",42,vo_asb,vo_asb_0423,21,"","",""
10,1,42020,1,42,1,"…………\n……크흠.",11,0,0,0
0,0,42021,"",42,0,"",91,"","",""
0,clear_speak2_talk,42022,1,42,1,clear_imitation_in,3,0,0.2,""
0,0,42023,"",42,vo_asb,vo_asb_0424,21,"","",""
10,1,42024,1,42,1,"오, 오라버니. 오라버니……?\n오, 오빠, 오빠…… 오빠.\n…………",11,0,0,0
0,0,42025,"",42,0,"",91,"","",""
0,clear_surprise_talk_red,42026,1,42,1,clear_surprise_in_red,3,0,0.3,""
0,0,42027,"",42,vo_asb,vo_asb_0425,21,"","",""
10,1,42028,1,42,1,"……헉!\n길드 멤버의 성대모사를\n했을 뿐인데,\n저도 참, 왜 빨개지는 건지……!",11,0,0,0
0,0,42029,"",42,0,"",91,"","",""
1,"",42030,"",42,1,clear_wish_talk_pain_red,3,"",0.2,""
0,0,42031,"",42,vo_asb,vo_asb_0426,21,"","",""
10,1,42032,1,42,1,"여러 가지 의미로, 아직 멀었어요……!",11,0,0,0
0,0,42033,"",42,0,"",91,"","",""
"","",42034,"",42,42035,"",101,"","",""
1,1,42035,0,42,1,1,6,0,0.3,""
1,1,42036,0,42,0,1,6,0,0.3,""
-250,0.3,42037,1,42,1,-120,2,"","",""
0,0.3,42038,1,42,0,-100,2,"","",""
"","",42039,"",42,0,0,22,"","",""
"","",42040,"",42,0.4,0,93,"","",""
55,70,52001,-243,52,1,1,5,0,2.2,dance_riri
52,320,52002,-245,52,2,2,5,1,2.2,dance_clear
58,-90,52003,-255,52,3,3,5,0,2.2,dance_precia
1,1,52004,0,52,1,1,6,0,0,""
1,1,52005,0,52,2,1,6,0,0,""
1,1,52006,0,52,3,1,6,0,0,""
29,50,52007,0,52,0,0,5,0,1,black
1,1,52008,0,52,0,1,6,0,0,""
"","",52009,"",52,0,"",91,"","",""
0,"",52010,"",52,1,dance_riri,3,"",0.1,""
0,idle,52011,1,52,2,dance_clear,3,0,0.1,""
0,idle_precia,52012,1,52,3,dance_precia,3,0,0.1,""
1,1,52013,1,52,1,1,6,0,0.2,""
1,1,52014,1,52,2,1,6,0,0.2,""
1,1,52015,1,52,3,1,6,0,0.2,""
1,1,52016,1,52,0,1,6,0,0.2,""
-243,0.3,52017,2,52,1,-30,2,"","",""
-245,0.3,52018,2,52,2,220,2,"","",""
-255,0.3,52019,2,52,3,-190,2,"","",""
0,0.3,52020,2,52,0,0,2,"","",""
"","",52021,"",52,0.6,0,93,"","",""
0,0,52022,"",52,vo_asb,vo_asb_0521,21,"","",""
26,0,52023,0,52,3,"퀵, 퀵, 슬로.",11,0,0,0.15
0,0,52024,"",52,0,"",91,"","",""
0,0,52025,"",52,vo_asb,vo_asb_0522,21,"","",""
10,0,52026,0,52,1,"턴 앤, 턴 앤,\n퀵 퀵 슬로!",11,0,0,0.75
"","",52027,"",52,52010,"",91,"","",""
1,"",52028,"",52,1,idle,3,"",0.1,""
"","",52029,"",52,0.2,0,93,"","",""
0,talk_joy,52030,1,52,1,smile_riri,3,0.2,0.1,""
0,0,52031,"",52,vo_asb,vo_asb_0523,21,"","",""
10,1,52032,1,52,1,"……후후후. 이 구호가 있으면,\n신기하게도 3명의 호흡이\n딱 맞네요.",11,0,0,0
"","",52033,"",52,0,"",91,"","",""
1,"",52034,"",52,1,riri_idle,3,"",0.2,""
1,"",52035,"",52,2,clear_talk2_noShy,3,"",0.2,""
0,0,52036,"",52,vo_asb,vo_asb_0524,21,"","",""
10,1,52037,1,52,2,"네. 그래서 그 후에도\n꽤 써먹고 있어요.\n무거운 걸 들어 올릴 때나.\n셋이서 체조를 할 때나.",11,0,0,0
0,0,52038,"",52,0,"",91,"","",""
0,idle,52039,1,52,2,talk2ToIdle,3,0,0.2,""
1,"",52040,"",52,1,riri_talk,3,"",0.2,""
0,0,52041,"",52,vo_asb,vo_asb_0525,21,"","",""
10,1,52042,1,52,1,"그 밖에도, 전투 훈련에서 호흡을 맞출 때나,\n또 밤길을 걷다가 마물을 피할 때도!",11,0,0,0
0,0,52043,"",52,0,"",91,"","",""
1,"",52044,"",52,1,riri_idle_look,3,"",0.2,""
1,"",52045,"",52,2,idle_talkjoy2,3,"",0.2,""
1,"",52046,"",52,3,talk_precia,3,"",0.3,""
0,0,52047,"",52,vo_asb,vo_asb_0526,21,"","",""
10,1,52048,1,52,3,"범용성.\n너무 높아.",11,0,0,0
0,0,52049,"",52,0,"",91,"","",""
"","",52050,"",52,52051,"",101,"","",""
1,1,52051,0,52,1,1,6,0,0.3,""
1,1,52052,0,52,2,1,6,0,0.3,""
1,1,52053,0,52,3,1,6,0,0.3,""
1,1,52054,0,52,0,1,6,0,0.3,""
-230,0.3,52055,1,52,1,-130,2,"","",""
-245,0.3,52056,1,52,2,120,2,"","",""
-255,0.3,52057,1,52,3,-290,2,"","",""
0,0.3,52058,1,52,0,-100,2,"","",""
"","",52059,"",52,0,0,22,"","",""
"","",52060,"",52,0.4,0,93,"","",""
52,30,62001,-250,62,1,1,5,0,2.2,talk_joy
1,1,62002,0,62,1,1,6,0,0,""
29,50,62003,0,62,0,0,5,0,1,black
1,1,62004,0,62,0,1,6,0,0,""
"","",62005,"",62,0,"",91,"","",""
1,1,62006,1,62,1,1,6,0,0.2,""
1,1,62007,1,62,0,1,6,0,0.2,""
-250,0.3,62008,2,62,1,-20,2,"","",""
0,0.3,62009,2,62,0,0,2,"","",""
"","",62010,"",62,0.6,0,93,"","",""
0,0,62011,"",62,vo_asb,vo_asb_0621,21,"","",""
10,1,62012,1,62,1,"라이브 후, 【카르미나】 여러분이\n와 주셨어요.",11,0,0,0
0,0,62013,"",62,0,"",91,"","",""
1,"",62014,"",62,1,wish_talk_joyR_riri,3,"",0.2,""
0,0,62015,"",62,vo_asb,vo_asb_0622,21,"","",""
10,1,62016,1,62,1,"「다음에도 꼭 함께 춤추자」라면서\n손까지 잡아 주셔서……",11,0,0,0
0,0,62017,"",62,0,"",91,"","",""
1,"",62018,"",62,1,memoly_talk_joy,3,"",0.3,""
0,0,62019,"",62,vo_asb,vo_asb_0623,21,"","",""
10,1,62020,1,62,1,"세 분의 굉장한 귀여움과 화려함에\n저는 정말,\n눈앞이 아찔해져서……",11,0,0,0
0,0,62021,"",62,0,"",91,"","",""
1,"",62022,"",62,1,sad_talk2_dere,3,"",0.2,""
0,0,62023,"",62,vo_asb,vo_asb_0624,21,"","",""
10,1,62024,1,62,1,"실은, 잡아 주셨던 이 손,\n그 이후로 아직 한 번도 씻지 않았어요.",11,0,0,0
0,0,62025,"",62,0,"",91,"","",""
1,"",62026,"",62,1,wish_talk_nervous_riri,3,"",0.3,""
0,0,62027,"",62,vo_asb,vo_asb_0625,21,"","",""
10,1,62028,1,62,1,"리아 씨는 조금 기막히다는 눈으로\n보셨던 것 같기도\n하지만요……\n적어도, 앞으로 반나절은……!",11,0,0,0
0,0,62029,"",62,0,"",91,"","",""
"","",62030,"",62,62031,"",101,"","",""
1,1,62031,0,62,1,1,6,0,0.3,""
1,1,62032,0,62,0,1,6,0,0.3,""
-250,0.3,62033,1,62,1,-120,2,"","",""
0,0.3,62034,1,62,0,-100,2,"","",""
"","",62035,"",62,0,0,22,"","",""
"","",62036,"",62,0.4,0,93,"","",""
52,30,72001,-250,72,2,1,5,0,2.2,idle
1,1,72002,0,72,1,1,6,0,0,""
29,50,72003,0,72,0,0,5,0,1,black
1,1,72004,0,72,0,1,6,0,0,""
"","",72005,"",72,0,"",91,"","",""
1,1,72006,1,72,1,1,6,0,0.2,""
1,1,72007,1,72,0,1,6,0,0.2,""
-250,0.3,72008,2,72,1,-20,2,"","",""
0,0.3,72009,2,72,0,0,2,"","",""
"","",72010,"",72,0.6,0,93,"","",""
1,"",72011,"",72,1,clear_talk_normal,3,"",0.2,""
0,0,72012,"",72,vo_asb,vo_asb_0721,21,"","",""
10,1,72013,1,72,1,"아오이 씨는 굉장한 부끄럼쟁이 같던데.\n하지만 흔히 말하잖아요?\n공통된 화제가 있는 상대와는\n마음을 터놓기 쉽다고.",11,0,0,0
0,0,72014,"",72,0,"",91,"","",""
1,"",72015,"",72,1,clear_kohon_talk_surprise,3,"",0.2,""
0,0,72016,"",72,vo_asb,vo_asb_0722,21,"","",""
10,1,72017,1,72,1,"직감을 했거든요.\n아오이 씨만큼 잘 알지는 못하지만,\n저도 풀과 꽃을 좋아해서요.\n이 사람과는 친해질 수 있겠다 하고요.",11,0,0,0
0,0,72018,"",72,0,"",91,"","",""
1,"",72019,"",72,1,clear_talk2_noShy,3,"",0.2,""
0,0,72020,"",72,vo_asb,vo_asb_0723,21,"","",""
10,1,72021,1,72,1,"그래서 저는\n용기를 내서 말해 봤어요!\n친구가 되지 않을래요? 라고.",11,0,0,0
0,0,72022,"",72,0,"",91,"","",""
0,clear_wish_talk_joy,72023,1,72,1,talk2ToWish,3,0,0.2,""
0,0,72024,"",72,vo_asb,vo_asb_0724,21,"","",""
10,1,72025,1,72,1,"그랬더니 아오이 씨는\n새빨개진 얼굴로, 붕붕! 하고\n고개를 세로로 흔드셔서.\n해냈다! 라고 생각했죠.",11,0,0,0
0,0,72026,"",72,0,"",91,"","",""
1,"",72027,"",72,1,clear_talk2_nervous,3,"",0.2,""
0,0,72028,"",72,vo_asb,vo_asb_0725,21,"","",""
10,1,72029,1,72,1,"……하지만 그 후,\n마음의 준비가 필요하다고 하셔서요.\n마음의 준비, 300년쯤 걸릴지도\n모른다고 해요……",11,0,0,0
0,0,72030,"",72,0,"",91,"","",""
0,clear_kohon_loop_shy,72031,1,72,1,talk2ToKohon,3,0,0.2,""
0,0,72032,"",72,vo_asb,vo_asb_0726,21,"","",""
10,1,72033,1,72,1,"그야 그렇겠죠……\n갑자기 너무 성급하게 군 것 같아요……",11,0,0,0
0,0,72034,"",72,0,"",91,"","",""
0,clear_guts1_talk,72035,1,72,1,clear_guts1_in,3,0,0.2,""
0,0,72036,"",72,vo_asb,vo_asb_0727,21,"","",""
10,1,72037,1,72,1,"하지만, 포기할 수는 없어요.\n가끔 숲에 들러서, 300년을 3년\n정도로 줄이려고 해요!",11,0,0,0
0,0,72038,"",72,0,"",91,"","",""
"","",72039,"",72,72040,"",101,"","",""
1,1,72040,0,72,1,1,6,0,0.3,""
1,1,72041,0,72,0,1,6,0,0.3,""
-250,0.3,72042,1,72,1,-120,2,"","",""
0,0.3,72043,1,72,0,-100,2,"","",""
"","",72044,"",72,0,0,22,"","",""
