legion_boss_id,description,legion_battle_bonus_id,condition_hp,legion_battle_effect_id,title,type,duration
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100515,821100000000,100515,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100516,756700000000,100516,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100517,708400000000,100517,"물리 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100518,660100000000,100518,"마법 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100519,595700000000,100519,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100520,547400000000,100520,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100521,499100000000,100521,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100522,434700000000,100522,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100523,386400000000,100523,"물리 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100524,338100000000,100524,"마법 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100525,289800000000,100525,"물리 공격 감소 90초",1,36000
1005,"배틀 시작 시 아군의 TP가 150 증가",100526,225400000000,100526,"TP 150 증가",1,36000
1005,"배틀 시작부터 10초간 아군이 무적 상태가 된다",100527,177100000000,100527,"무적 10초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100528,128800000000,100528,"물리 공격 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100529,64400000000,100529,"물리 방어 감소 90초",1,36000
1005,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100530,16100000000,100530,"마법 방어 감소 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 마법 공격력이 증가",100601,2512300000000,100601,"마법 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100602,2408700000000,100602,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100603,2331000000000,100603,"물리 방어 감소 90초",1,36000
1006,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100604,2253300000000,100604,"마법 방어 감소 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 마법 공격력이 증가",100605,2175600000000,100605,"마법 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100606,2072000000000,100606,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 HP가 매초 회복",100607,1994300000000,100607,"매초 HP 회복 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100608,1916600000000,100608,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100609,1813000000000,100609,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100610,1735300000000,100610,"마법 방어 감소 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 마법 공격력이 증가",100611,1657600000000,100611,"마법 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100612,1554000000000,100612,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100613,1476300000000,100613,"물리 방어 감소 90초",1,36000
1006,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100614,1398600000000,100614,"마법 방어 감소 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 마법 공격력이 증가",100615,1320900000000,100615,"마법 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100616,1217300000000,100616,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 HP가 매초 회복",100617,1139600000000,100617,"매초 HP 회복 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100618,1061900000000,100618,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100619,958300000000,100619,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100620,880600000000,100620,"마법 방어 감소 90초",1,36000
1006,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100621,802900000000,100621,"물리 방어 감소 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 마법 공격력이 증가",100622,699300000000,100622,"마법 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100623,621600000000,100623,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 HP가 매초 회복",100624,543900000000,100624,"매초 HP 회복 90초",1,36000
1006,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100625,466200000000,100625,"마법 방어 감소 90초",1,36000
1006,"배틀 시작 시 아군의 TP가 150 증가",100626,362600000000,100626,"TP 150 증가",1,36000
1006,"배틀 시작부터 10초간 아군이 무적 상태가 된다",100627,284900000000,100627,"무적 10초",1,36000
1006,"배틀 시작부터 90초간 아군의 마법 공격력이 증가",100628,207200000000,100628,"마법 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100629,103600000000,100629,"물리 공격 증가 90초",1,36000
1006,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100630,25900000000,100630,"마법 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 TP가 매초 증가",100701,1561700000000,100701,"매초 TP 증가 90초",1,36000
1007,"배틀 시작 시 아군의 TP가 50 증가",100702,1497300000000,100702,"TP 50 증가",1,36000
1007,"배틀 시작부터 10초간 적이 화상 상태가 된다",100703,1449000000000,100703,"화상 데미지 10초",1,36000
1007,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100704,1400700000000,100704,"물리 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100705,1352400000000,100705,"물리 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100706,1288000000000,100706,"물리 공격 증가 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 마법 공격력이 증가",100707,1239700000000,100707,"마법 공격 증가 90초",1,36000
1007,"배틀 시작부터 10초간 적이 화상 상태가 된다",100708,1191400000000,100708,"화상 데미지 10초",1,36000
1007,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100709,1127000000000,100709,"물리 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100710,1078700000000,100710,"물리 공격 증가 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 TP가 매초 증가",100711,1030400000000,100711,"매초 TP 증가 90초",1,36000
1007,"배틀 시작부터 10초간 적이 화상 상태가 된다",100712,966000000000,100712,"화상 데미지 10초",1,36000
1007,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100713,917700000000,100713,"물리 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100714,869400000000,100714,"마법 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 마법 공격력이 증가",100715,821100000000,100715,"마법 공격 증가 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100716,756700000000,100716,"물리 공격 증가 90초",1,36000
1007,"배틀 시작 시 아군의 TP가 100 증가",100717,708400000000,100717,"TP 100 증가",1,36000
1007,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100718,660100000000,100718,"물리 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100719,595700000000,100719,"마법 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 물리 공격력이 증가",100720,547400000000,100720,"물리 공격 증가 90초",1,36000
1007,"배틀 시작부터 90초간 아군의 TP가 매초 증가",100721,499100000000,100721,"매초 TP 증가 90초",1,36000
1007,"배틀 시작 시 아군의 TP가 150 증가",100722,434700000000,100722,"TP 150 증가",1,36000
1007,"배틀 시작부터 10초간 적이 화상 상태가 된다",100723,386400000000,100723,"화상 데미지 10초",1,36000
1007,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100724,338100000000,100724,"물리 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100725,289800000000,100725,"마법 방어 감소 90초",1,36000
1007,"배틀 시작 시 아군의 TP가 150 증가",100726,225400000000,100726,"TP 150 증가",1,36000
1007,"배틀 시작부터 10초간 아군이 무적 상태가 된다",100727,177100000000,100727,"무적 10초",1,36000
1007,"배틀 시작부터 10초간 적이 화상 상태가 된다",100728,128800000000,100728,"화상 데미지 10초",1,36000
1007,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100729,64400000000,100729,"물리 방어 감소 90초",1,36000
1007,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100730,16100000000,100730,"마법 방어 감소 90초",1,36000
1008,"배틀 시작부터 10초간 적이 독 상태가 된다",100801,2512300000000,100801,"독 데미지 10초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100802,2408700000000,100802,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100803,2331000000000,100803,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100804,2253300000000,100804,"물리 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100805,2175600000000,100805,"물리 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100806,2072000000000,100806,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100807,1994300000000,100807,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100808,1916600000000,100808,"물리 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100809,1813000000000,100809,"물리 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 마법 공격력이 감소",100810,1735300000000,100810,"마법 공격 감소 90초",1,36000
1008,"배틀 시작부터 10초간 적이 독 상태가 된다",100811,1657600000000,100811,"독 데미지 10초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100812,1554000000000,100812,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100813,1476300000000,100813,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100814,1398600000000,100814,"물리 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100815,1320900000000,100815,"마법 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100816,1217300000000,100816,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100817,1139600000000,100817,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100818,1061900000000,100818,"물리 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100819,958300000000,100819,"마법 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100820,880600000000,100820,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 10초간 적이 독 상태가 된다",100821,802900000000,100821,"독 데미지 10초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100822,699300000000,100822,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 공격력이 감소",100823,621600000000,100823,"물리 공격 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100824,543900000000,100824,"물리 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100825,466200000000,100825,"물리 방어 감소 90초",1,36000
1008,"배틀 시작 시 아군의 TP가 150 증가",100826,362600000000,100826,"TP 150 증가",1,36000
1008,"배틀 시작부터 10초간 아군이 무적 상태가 된다",100827,284900000000,100827,"무적 10초",1,36000
1008,"배틀 시작부터 90초간 적의 물리 방어력이 감소",100828,207200000000,100828,"물리 방어 감소 90초",1,36000
1008,"배틀 시작부터 90초간 적의 마법 방어력이 감소",100829,103600000000,100829,"마법 방어 감소 90초",1,36000
1008,"배틀 시작부터 10초간 적이 독 상태가 된다",100830,25900000000,100830,"독 데미지 10초",1,36000
