score,reward_image_name,reward_type_2,reward_id_1,reward_num_1,abyss_id,reward_id_2,reward_id_4,reward_num_3,reward_num_5,reward_type_5,reward_num_4,reward_id_5,reward_num_2,id,reward_id_3,reward_type_3,reward_type_1,reward_type_4
6000000000,abyss_reward_icon_astralshard,2,25021,1000,92408,25011,25013,1000,0,0,1000,0,1000,240806,25012,2,2,2
7000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92408,25021,25015,3000,0,0,3000,0,1000,240807,25014,2,2,2
8000000000,abyss_reward_icon_astralshard,2,25021,1000,92408,25011,25013,3000,0,0,3000,0,3000,240808,25012,2,2,2
9000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92408,25021,25015,3000,0,0,3000,0,1000,240809,25014,2,2,2
10000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92408,25021,25012,3000,0,0,3000,0,1000,240810,25011,2,2,2
12000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92408,25021,25015,3000,0,0,3000,0,1000,240811,25013,2,2,2
16000000000,abyss_reward_icon_astralshard,2,25021,1000,92408,25011,25014,3000,0,0,3000,0,3000,240812,25012,2,2,2
20000000000,abyss_reward_icon_astralshard,2,25021,1000,92408,25013,25015,3000,0,0,3000,0,3000,240813,25014,2,2,2
25000000000,abyss_reward_icon_astralshard,2,25021,1000,92408,25011,25013,3000,0,0,3000,0,3000,240814,25012,2,2,2
30000000000,abyss_reward_icon_hiseki,0,90005,10,92408,0,0,0,0,0,0,0,0,240815,0,0,2,0
35000000000,abyss_reward_icon_hiseki,0,90005,20,92408,0,0,0,0,0,0,0,0,240816,0,0,2,0
40000000000,abyss_reward_icon_hiseki,0,90005,30,92408,0,0,0,0,0,0,0,0,240817,0,0,2,0
50000000000,abyss_reward_icon_hiseki,0,90005,50,92408,0,0,0,0,0,0,0,0,240818,0,0,2,0
1000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92409,25021,25015,1000,0,0,1000,0,200,240901,25014,2,2,2
2000000000,abyss_reward_icon_astralshard,2,25021,300,92409,25011,25013,1000,0,0,1000,0,1000,240902,25012,2,2,2
3000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92409,25021,25015,1000,0,0,1000,0,500,240903,25014,2,2,2
4000000000,abyss_reward_icon_astralshard,2,25021,500,92409,25011,25013,1000,0,0,1000,0,1000,240904,25012,2,2,2
5000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92409,25021,25015,1000,0,0,1000,0,1000,240905,25014,2,2,2
6000000000,abyss_reward_icon_astralshard,2,25021,1000,92409,25011,25013,1000,0,0,1000,0,1000,240906,25012,2,2,2
7000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92409,25021,25015,3000,0,0,3000,0,1000,240907,25014,2,2,2
8000000000,abyss_reward_icon_astralshard,2,25021,1000,92409,25011,25013,3000,0,0,3000,0,3000,240908,25012,2,2,2
9000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92409,25021,25015,3000,0,0,3000,0,1000,240909,25014,2,2,2
10000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92409,25021,25012,3000,0,0,3000,0,1000,240910,25011,2,2,2
12000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92409,25021,25015,3000,0,0,3000,0,1000,240911,25013,2,2,2
16000000000,abyss_reward_icon_astralshard,2,25021,1000,92409,25011,25014,3000,0,0,3000,0,3000,240912,25012,2,2,2
20000000000,abyss_reward_icon_astralshard,2,25021,1000,92409,25013,25015,3000,0,0,3000,0,3000,240913,25014,2,2,2
25000000000,abyss_reward_icon_astralshard,2,25021,1000,92409,25011,25013,3000,0,0,3000,0,3000,240914,25012,2,2,2
30000000000,abyss_reward_icon_hiseki,0,90005,10,92409,0,0,0,0,0,0,0,0,240915,0,0,2,0
35000000000,abyss_reward_icon_hiseki,0,90005,20,92409,0,0,0,0,0,0,0,0,240916,0,0,2,0
40000000000,abyss_reward_icon_hiseki,0,90005,30,92409,0,0,0,0,0,0,0,0,240917,0,0,2,0
50000000000,abyss_reward_icon_hiseki,0,90005,50,92409,0,0,0,0,0,0,0,0,240918,0,0,2,0
1000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92410,25021,25015,1000,0,0,1000,0,200,241001,25014,2,2,2
2000000000,abyss_reward_icon_astralshard,2,25021,300,92410,25011,25013,1000,0,0,1000,0,1000,241002,25012,2,2,2
3000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92410,25021,25015,1000,0,0,1000,0,500,241003,25014,2,2,2
4000000000,abyss_reward_icon_astralshard,2,25021,500,92410,25011,25013,1000,0,0,1000,0,1000,241004,25012,2,2,2
5000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92410,25021,25015,1000,0,0,1000,0,1000,241005,25014,2,2,2
6000000000,abyss_reward_icon_astralshard,2,25021,1000,92410,25011,25013,1000,0,0,1000,0,1000,241006,25012,2,2,2
7000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92410,25021,25015,3000,0,0,3000,0,1000,241007,25014,2,2,2
8000000000,abyss_reward_icon_astralshard,2,25021,1000,92410,25011,25013,3000,0,0,3000,0,3000,241008,25012,2,2,2
9000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92410,25021,25015,3000,0,0,3000,0,1000,241009,25014,2,2,2
10000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92410,25021,25012,3000,0,0,3000,0,1000,241010,25011,2,2,2
12000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92410,25021,25015,3000,0,0,3000,0,1000,241011,25013,2,2,2
16000000000,abyss_reward_icon_astralshard,2,25021,1000,92410,25011,25014,3000,0,0,3000,0,3000,241012,25012,2,2,2
20000000000,abyss_reward_icon_astralshard,2,25021,1000,92410,25013,25015,3000,0,0,3000,0,3000,241013,25014,2,2,2
25000000000,abyss_reward_icon_astralshard,2,25021,1000,92410,25011,25013,3000,0,0,3000,0,3000,241014,25012,2,2,2
30000000000,abyss_reward_icon_hiseki,0,90005,10,92410,0,0,0,0,0,0,0,0,241015,0,0,2,0
35000000000,abyss_reward_icon_hiseki,0,90005,20,92410,0,0,0,0,0,0,0,0,241016,0,0,2,0
40000000000,abyss_reward_icon_hiseki,0,90005,30,92410,0,0,0,0,0,0,0,0,241017,0,0,2,0
50000000000,abyss_reward_icon_hiseki,0,90005,50,92410,0,0,0,0,0,0,0,0,241018,0,0,2,0
60000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92410,0,0,0,0,0,0,0,0,241019,0,0,4,0
70000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92410,0,0,0,0,0,0,0,0,241020,0,0,4,0
1000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92411,25021,25015,1000,0,0,1000,0,200,241101,25014,2,2,2
2000000000,abyss_reward_icon_astralshard,2,25021,300,92411,25011,25013,1000,0,0,1000,0,1000,241102,25012,2,2,2
3000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92411,25021,25015,1000,0,0,1000,0,500,241103,25014,2,2,2
4000000000,abyss_reward_icon_astralshard,2,25021,500,92411,25011,25013,1000,0,0,1000,0,1000,241104,25012,2,2,2
5000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92411,25021,25015,1000,0,0,1000,0,1000,241105,25014,2,2,2
6000000000,abyss_reward_icon_astralshard,2,25021,1000,92411,25011,25013,1000,0,0,1000,0,1000,241106,25012,2,2,2
7000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92411,25021,25015,3000,0,0,3000,0,1000,241107,25014,2,2,2
8000000000,abyss_reward_icon_astralshard,2,25021,1000,92411,25011,25013,3000,0,0,3000,0,3000,241108,25012,2,2,2
9000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92411,25021,25015,3000,0,0,3000,0,1000,241109,25014,2,2,2
10000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92411,25021,25012,3000,0,0,3000,0,1000,241110,25011,2,2,2
12000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92411,25021,25015,3000,0,0,3000,0,1000,241111,25013,2,2,2
16000000000,abyss_reward_icon_astralshard,2,25021,1000,92411,25011,25014,3000,0,0,3000,0,3000,241112,25012,2,2,2
20000000000,abyss_reward_icon_astralshard,2,25021,1000,92411,25013,25015,3000,0,0,3000,0,3000,241113,25014,2,2,2
25000000000,abyss_reward_icon_astralshard,2,25021,1000,92411,25011,25013,3000,0,0,3000,0,3000,241114,25012,2,2,2
30000000000,abyss_reward_icon_hiseki,0,90005,10,92411,0,0,0,0,0,0,0,0,241115,0,0,2,0
35000000000,abyss_reward_icon_hiseki,0,90005,20,92411,0,0,0,0,0,0,0,0,241116,0,0,2,0
40000000000,abyss_reward_icon_hiseki,0,90005,30,92411,0,0,0,0,0,0,0,0,241117,0,0,2,0
50000000000,abyss_reward_icon_hiseki,0,90005,50,92411,0,0,0,0,0,0,0,0,241118,0,0,2,0
60000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92411,0,0,0,0,0,0,0,0,241119,0,0,4,0
70000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92411,0,0,0,0,0,0,0,0,241120,0,0,4,0
1000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92412,25021,25015,1000,0,0,1000,0,200,241201,25014,2,2,2
2000000000,abyss_reward_icon_astralshard,2,25021,300,92412,25011,25013,1000,0,0,1000,0,1000,241202,25012,2,2,2
3000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92412,25021,25015,1000,0,0,1000,0,500,241203,25014,2,2,2
4000000000,abyss_reward_icon_astralshard,2,25021,500,92412,25011,25013,1000,0,0,1000,0,1000,241204,25012,2,2,2
5000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92412,25021,25015,1000,0,0,1000,0,1000,241205,25014,2,2,2
6000000000,abyss_reward_icon_astralshard,2,25021,1000,92412,25011,25013,1000,0,0,1000,0,1000,241206,25012,2,2,2
7000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92412,25021,25015,3000,0,0,3000,0,1000,241207,25014,2,2,2
8000000000,abyss_reward_icon_astralshard,2,25021,1000,92412,25011,25013,3000,0,0,3000,0,3000,241208,25012,2,2,2
9000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92412,25021,25015,3000,0,0,3000,0,1000,241209,25014,2,2,2
10000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92412,25021,25012,3000,0,0,3000,0,1000,241210,25011,2,2,2
12000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92412,25021,25015,3000,0,0,3000,0,1000,241211,25013,2,2,2
16000000000,abyss_reward_icon_astralshard,2,25021,1000,92412,25011,25014,3000,0,0,3000,0,3000,241212,25012,2,2,2
20000000000,abyss_reward_icon_astralshard,2,25021,1000,92412,25013,25015,3000,0,0,3000,0,3000,241213,25014,2,2,2
25000000000,abyss_reward_icon_astralshard,2,25021,1000,92412,25011,25013,3000,0,0,3000,0,3000,241214,25012,2,2,2
30000000000,abyss_reward_icon_hiseki,0,90005,10,92412,0,0,0,0,0,0,0,0,241215,0,0,2,0
35000000000,abyss_reward_icon_hiseki,0,90005,20,92412,0,0,0,0,0,0,0,0,241216,0,0,2,0
40000000000,abyss_reward_icon_hiseki,0,90005,30,92412,0,0,0,0,0,0,0,0,241217,0,0,2,0
50000000000,abyss_reward_icon_hiseki,0,90005,50,92412,0,0,0,0,0,0,0,0,241218,0,0,2,0
60000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92412,0,0,0,0,0,0,0,0,241219,0,0,4,0
70000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92412,0,0,0,0,0,0,0,0,241220,0,0,4,0
1000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92414,25021,25015,1000,0,0,1000,0,200,241401,25014,2,2,2
2000000000,abyss_reward_icon_astralshard,2,25021,300,92414,25011,25013,1000,0,0,1000,0,1000,241402,25012,2,2,2
3000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92414,25021,25015,1000,0,0,1000,0,500,241403,25014,2,2,2
4000000000,abyss_reward_icon_astralshard,2,25021,500,92414,25011,25013,1000,0,0,1000,0,1000,241404,25012,2,2,2
5000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92414,25021,25015,1000,0,0,1000,0,1000,241405,25014,2,2,2
6000000000,abyss_reward_icon_astralshard,2,25021,1000,92414,25011,25013,1000,0,0,1000,0,1000,241406,25012,2,2,2
7000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92414,25021,25015,3000,0,0,3000,0,1000,241407,25014,2,2,2
8000000000,abyss_reward_icon_astralshard,2,25021,1000,92414,25011,25013,3000,0,0,3000,0,3000,241408,25012,2,2,2
9000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92414,25021,25015,3000,0,0,3000,0,1000,241409,25014,2,2,2
10000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92414,25021,25012,3000,0,0,3000,0,1000,241410,25011,2,2,2
12000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92414,25021,25015,3000,0,0,3000,0,1000,241411,25013,2,2,2
16000000000,abyss_reward_icon_astralshard,2,25021,1000,92414,25011,25014,3000,0,0,3000,0,3000,241412,25012,2,2,2
20000000000,abyss_reward_icon_astralshard,2,25021,1000,92414,25013,25015,3000,0,0,3000,0,3000,241413,25014,2,2,2
25000000000,abyss_reward_icon_astralshard,2,25021,1000,92414,25011,25013,3000,0,0,3000,0,3000,241414,25012,2,2,2
30000000000,abyss_reward_icon_hiseki,0,90005,10,92414,0,0,0,0,0,0,0,0,241415,0,0,2,0
35000000000,abyss_reward_icon_hiseki,0,90005,20,92414,0,0,0,0,0,0,0,0,241416,0,0,2,0
40000000000,abyss_reward_icon_hiseki,0,90005,30,92414,0,0,0,0,0,0,0,0,241417,0,0,2,0
50000000000,abyss_reward_icon_hiseki,0,90005,50,92414,0,0,0,0,0,0,0,0,241418,0,0,2,0
60000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92414,0,0,0,0,0,0,0,0,241419,0,0,4,0
70000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92414,0,0,0,0,0,0,0,0,241420,0,0,4,0
1000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92413,25021,25015,1000,0,0,1000,0,200,250101,25014,2,2,2
2000000000,abyss_reward_icon_astralshard,2,25021,300,92413,25011,25013,1000,0,0,1000,0,1000,250102,25012,2,2,2
3000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92413,25021,25015,1000,0,0,1000,0,500,250103,25014,2,2,2
4000000000,abyss_reward_icon_astralshard,2,25021,500,92413,25011,25013,1000,0,0,1000,0,1000,250104,25012,2,2,2
5000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92413,25021,25015,1000,0,0,1000,0,1000,250105,25014,2,2,2
6000000000,abyss_reward_icon_astralshard,2,25021,1000,92413,25011,25013,1000,0,0,1000,0,1000,250106,25012,2,2,2
7000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92413,25021,25015,3000,0,0,3000,0,1000,250107,25014,2,2,2
8000000000,abyss_reward_icon_astralshard,2,25021,1000,92413,25011,25013,3000,0,0,3000,0,3000,250108,25012,2,2,2
9000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92413,25021,25015,3000,0,0,3000,0,1000,250109,25014,2,2,2
10000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92413,25021,25012,3000,0,0,3000,0,1000,250110,25011,2,2,2
12000000000,abyss_reward_icon_masterpieces_piece,2,25102,10,92413,25021,25015,3000,0,0,3000,0,1000,250111,25013,2,2,2
16000000000,abyss_reward_icon_astralshard,2,25021,1000,92413,25011,25014,3000,0,0,3000,0,3000,250112,25012,2,2,2
20000000000,abyss_reward_icon_astralshard,2,25021,1000,92413,25013,25015,3000,0,0,3000,0,3000,250113,25014,2,2,2
25000000000,abyss_reward_icon_astralshard,2,25021,1000,92413,25011,25013,3000,0,0,3000,0,3000,250114,25012,2,2,2
30000000000,abyss_reward_icon_hiseki,0,90005,10,92413,0,0,0,0,0,0,0,0,250115,0,0,2,0
35000000000,abyss_reward_icon_hiseki,0,90005,20,92413,0,0,0,0,0,0,0,0,250116,0,0,2,0
40000000000,abyss_reward_icon_hiseki,0,90005,30,92413,0,0,0,0,0,0,0,0,250117,0,0,2,0
50000000000,abyss_reward_icon_hiseki,0,90005,50,92413,0,0,0,0,0,0,0,0,250118,0,0,2,0
60000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92413,0,0,0,0,0,0,0,0,250119,0,0,4,0
70000000000,abyss_reward_icon_piece_p_heart,0,140001,50,92413,0,0,0,0,0,0,0,0,250120,0,0,4,0
