seq_num,id,command,line_num,end_pos,seek_time,story_id,type,sheet_name,cue_name,start_pos,command_param
20,1020020,0,4,181,0.497,2,1,0,0,180,0.0
21,1020021,1,0,0,0.0,2,4,0,0,0,0.497
22,1020022,0,4,361,1.37,2,1,0,0,181,0.0
23,1020023,1,0,0,0.0,2,4,0,0,0,2.407
24,1020024,0,0,0,0.0,2,2,vo_minigame_1005,vo_minigame_1005_nikki02_004,0,0.0
25,1020025,0,5,101,1.616,2,1,0,0,0,0.0
26,1020026,1,0,0,0.0,2,4,0,0,0,2.035
27,1020027,0,5,181,0.951,2,1,0,0,101,0.0
28,1020028,1,0,0,0.0,2,4,0,0,0,1.322
29,1020029,0,5,396,1.924,2,1,0,0,181,0.0
30,1020030,1,0,0,0.0,2,4,0,0,0,2.98
31,1020031,0,0,0,0.0,2,2,vo_minigame_1005,vo_minigame_1005_nikki02_005,0,0.0
32,1020032,0,6,65,0.93,2,1,0,0,0,0.0
33,1020033,1,0,0,0.0,2,4,0,0,0,1.24
34,1020034,0,6,237,0.879,2,1,0,0,65,0.0
35,1020035,1,0,0,0.0,2,4,0,0,0,1.877
36,1020036,0,0,0,0.0,2,2,vo_minigame_1005,vo_minigame_1005_nikki02_006,0,0.0
37,1020037,0,7,129,1.148,2,1,0,0,0,0.0
38,1020038,1,0,0,0.0,2,4,0,0,0,1.541
39,1020039,0,7,240,1.145,2,1,0,0,129,0.0
40,1020040,1,0,0,0.0,2,4,0,0,0,2.645
1,1030001,3,0,0,0.0,3,4,0,0,0,1.0
2,1030002,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_000,0,0.0
3,1030003,0,1,285,2.61,3,1,0,0,0,0.0
4,1030004,1,0,0,0.0,3,4,0,0,0,3.007
5,1030005,0,2,240,1.47,3,1,0,0,0,0.0
6,1030006,1,0,0,0.0,3,4,0,0,0,2.171
7,1030007,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_001,0,0.0
8,1030008,0,3,260,2.1,3,1,0,0,0,0.0
9,1030009,1,0,0,0.0,3,4,0,0,0,2.579
10,1030010,0,4,260,2.298,3,1,0,0,0,0.0
11,1030011,1,0,0,0.0,3,4,0,0,0,3.18
12,1030012,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_002,0,0.0
13,1030013,0,5,180,1.262,3,1,0,0,0,0.0
14,1030014,1,0,0,0.0,3,4,0,0,0,1.993
15,1030015,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_003,0,0.0
16,1030016,0,5,223,0.373,3,1,0,0,180,0.0
17,1030017,1,0,0,0.0,3,4,0,0,0,0.69
18,1030018,0,5,367,1.045,3,1,0,0,223,0.0
19,1030019,1,0,0,0.0,3,4,0,0,0,2.131
20,1030020,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_004,0,0.0
21,1030021,0,6,245,2.147,3,1,0,0,0,0.0
22,1030022,1,0,0,0.0,3,4,0,0,0,2.618
23,1030023,0,7,276,1.445,3,1,0,0,0,0.0
24,1030024,1,0,0,0.0,3,4,0,0,0,2.552
25,1030025,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_005,0,0.0
26,1030026,0,8,62,0.876,3,1,0,0,0,0.0
27,1030027,1,0,0,0.0,3,4,0,0,0,1.252
28,1030028,0,8,208,1.306,3,1,0,0,62,0.0
29,1030029,1,0,0,0.0,3,4,0,0,0,1.507
30,1030030,0,9,156,1.319,3,1,0,0,0,0.0
31,1030031,1,0,0,0.0,3,4,0,0,0,2.549
32,1030032,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_006,0,0.0
33,1030033,0,10,320,2.728,3,1,0,0,0,0.0
34,1030034,1,0,0,0.0,3,4,0,0,0,3.023
35,1030035,0,11,97,0.91,3,1,0,0,0,0.0
36,1030036,1,0,0,0.0,3,4,0,0,0,1.977
37,1030037,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_007,0,0.0
38,1030038,0,11,176,0.558,3,1,0,0,97,0.0
39,1030039,1,0,0,0.0,3,4,0,0,0,0.973
40,1030040,0,11,374,1.35,3,1,0,0,176,0.0
41,1030041,1,0,0,0.0,3,4,0,0,0,2.103
42,1030042,0,0,0,0.0,3,2,vo_minigame_1005,vo_minigame_1005_nikki03_008,0,0.0
43,1030043,0,12,104,0.935,3,1,0,0,0,0.0
44,1030044,1,0,0,0.0,3,4,0,0,0,2.435
1,1040001,3,0,0,0.0,4,4,0,0,0,1.0
2,1040002,0,0,0,0.0,4,2,vo_minigame_1005,vo_minigame_1005_nikki04_000,0,0.0
3,1040003,0,1,222,1.597,4,1,0,0,0,0.0
4,1040004,1,0,0,0.0,4,4,0,0,0,1.881
5,1040005,0,2,239,1.46,4,1,0,0,0,0.0
6,1040006,1,0,0,0.0,4,4,0,0,0,2.457
7,1040007,0,0,0,0.0,4,2,vo_minigame_1005,vo_minigame_1005_nikki04_001,0,0.0
8,1040008,0,3,121,1.208,4,1,0,0,0,0.0
9,1040009,1,0,0,0.0,4,4,0,0,0,1.578
10,1040010,0,3,190,0.673,4,1,0,0,121,0.0
11,1040011,1,0,0,0.0,4,4,0,0,0,1.009
12,1040012,0,3,283,0.65,4,1,0,0,190,0.0
13,1040013,1,0,0,0.0,4,4,0,0,0,0.729
14,1040014,0,4,133,0.976,4,1,0,0,0,0.0
15,1040015,1,0,0,0.0,4,4,0,0,0,1.993
16,1040016,0,0,0,0.0,4,2,vo_minigame_1005,vo_minigame_1005_nikki04_002,0,0.0
17,1040017,0,4,204,0.396,4,1,0,0,133,0.0
18,1040018,1,0,0,0.0,4,4,0,0,0,0.864
19,1040019,0,4,283,0.74,4,1,0,0,204,0.0
20,1040020,1,0,0,0.0,4,4,0,0,0,1.855
21,1040021,0,0,0,0.0,4,2,vo_minigame_1005,vo_minigame_1005_nikki04_003,0,0.0
22,1040022,0,5,58,0.437,4,1,0,0,0,0.0
23,1040023,1,0,0,0.0,4,4,0,0,0,0.497
24,1040024,0,5,253,1.776,4,1,0,0,58,0.0
25,1040025,1,0,0,0.0,4,4,0,0,0,2.233
26,1040026,0,6,154,1.29,4,1,0,0,0,0.0
27,1040027,1,0,0,0.0,4,4,0,0,0,1.638
28,1040028,0,6,345,1.137,4,1,0,0,154,0.0
29,1040029,1,0,0,0.0,4,4,0,0,0,2.3
30,1040030,0,0,0,0.0,4,2,vo_minigame_1005,vo_minigame_1005_nikki04_004,0,0.0
31,1040031,0,7,79,0.336,4,1,0,0,0,0.0
32,1040032,1,0,0,0.0,4,4,0,0,0,0.826
33,1040033,0,7,240,1.223,4,1,0,0,79,0.0
34,1040034,1,0,0,0.0,4,4,0,0,0,1.223
35,1040035,0,8,90,0.994,4,1,0,0,0,0.0
36,1040036,1,0,0,0.0,4,4,0,0,0,1.487
37,1040037,0,8,191,0.89,4,1,0,0,90,0.0
38,1040038,1,0,0,0.0,4,4,0,0,0,1.567
39,1040039,0,0,0,0.0,4,2,vo_minigame_1005,vo_minigame_1005_nikki04_005,0,0.0
40,1040040,0,9,151,0.74,4,1,0,0,0,0.0
41,1040041,1,0,0,0.0,4,4,0,0,0,1.731
42,1040042,0,0,0,0.0,4,2,vo_minigame_1005,vo_minigame_1005_nikki04_006,0,0.0
43,1040043,0,10,216,1.937,4,1,0,0,0,0.0
44,1040044,1,0,0,0.0,4,4,0,0,0,2.435
45,1040045,0,11,42,0.822,4,1,0,0,0,0.0
46,1040046,1,0,0,0.0,4,4,0,0,0,1.376
47,1040047,0,11,147,0.576,4,1,0,0,42,0.0
48,1040048,1,0,0,0.0,4,4,0,0,0,0.923
49,1040049,0,11,296,0.785,4,1,0,0,147,0.0
50,1040050,1,0,0,0.0,4,4,0,0,0,2.285
1,1050001,3,0,0,0.0,5,4,0,0,0,1.0
2,1050002,0,0,0,0.0,5,2,vo_minigame_1005,vo_minigame_1005_nikki05_000,0,0.0
3,1050003,0,1,183,1.419,5,1,0,0,0,0.0
4,1050004,1,0,0,0.0,5,4,0,0,0,1.662
5,1050005,0,2,265,1.614,5,1,0,0,0,0.0
6,1050006,1,0,0,0.0,5,4,0,0,0,2.394
7,1050007,0,0,0,0.0,5,2,vo_minigame_1005,vo_minigame_1005_nikki05_001,0,0.0
8,1050008,0,3,394,2.658,5,1,0,0,0,0.0
9,1050009,1,0,0,0.0,5,4,0,0,0,3.202
10,1050010,0,0,0,0.0,5,2,vo_minigame_1005,vo_minigame_1005_nikki05_002,0,0.0
11,1050011,0,4,298,1.745,5,1,0,0,0,0.0
12,1050012,1,0,0,0.0,5,4,0,0,0,2.545
13,1050013,0,0,0,0.0,5,2,vo_minigame_1005,vo_minigame_1005_nikki05_003,0,0.0
14,1050014,0,5,103,0.964,5,1,0,0,0,0.0
15,1050015,1,0,0,0.0,5,4,0,0,0,1.34
16,1050016,0,5,348,1.919,5,1,0,0,103,0.0
17,1050017,1,0,0,0.0,5,4,0,0,0,2.719
18,1050018,0,0,0,0.0,5,2,vo_minigame_1005,vo_minigame_1005_nikki05_004,0,0.0
19,1050019,0,6,60,0.434,5,1,0,0,0,0.0
20,1050020,1,0,0,0.0,5,4,0,0,0,0.903
21,1050021,0,6,195,1.262,5,1,0,0,60,0.0
22,1050022,1,0,0,0.0,5,4,0,0,0,1.758
23,1050023,0,7,385,2.473,5,1,0,0,0,0.0
24,1050024,1,0,0,0.0,5,4,0,0,0,3.315
25,1050025,0,0,0,0.0,5,2,vo_minigame_1005,vo_minigame_1005_nikki05_005,0,0.0
26,1050026,0,8,31,0.509,5,1,0,0,0,0.0
27,1050027,1,0,0,0.0,5,4,0,0,0,0.988
28,1050028,0,8,286,1.775,5,1,0,0,31,0.0
29,1050029,1,0,0,0.0,5,4,0,0,0,2.507
30,1050030,0,0,0,0.0,5,2,vo_minigame_1005,vo_minigame_1005_nikki05_006,0,0.0
31,1050031,0,9,201,1.139,5,1,0,0,0,0.0
32,1050032,1,0,0,0.0,5,4,0,0,0,2.066
33,1050033,0,0,0,0.0,5,2,vo_minigame_1005,vo_minigame_1005_nikki05_007,0,0.0
34,1050034,0,10,122,0.665,5,1,0,0,0,0.0
35,1050035,1,0,0,0.0,5,4,0,0,0,1.144
36,1050036,0,10,217,1.389,5,1,0,0,122,0.0
37,1050037,1,0,0,0.0,5,4,0,0,0,1.789
38,1050038,0,10,330,0.823,5,1,0,0,217,0.0
39,1050039,1,0,0,0.0,5,4,0,0,0,2.023
