drama_id,param_05,param_07,param_03,param_01,param_02,param_04,param_08,param_06,command_type,command_id
18,"","",1,122511,sjr_talk_idle,"","",0.2,3,18012
19,-194,1,100,1,122611,72,sjr_talk_idle,1.65,1,19001
19,-194,0,100,1,122411,-72,sjr_talk_idle,1.65,1,19002
19,1,0,0,122611,sjr_talk_wave_hand,sjr_talk_idle_joy,"",0.2,3,19003
19,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_008,0,"","",21,19004
19,0,0,11,122611,"히요리\n즐기고 있어?",1,0.5,0,11,19005
19,"","","",0,"","","","",91,19006
19,"","",1,122611,sjr_talk_idle,"","",0.2,3,19007
19,1,0,0,122411,sjr_talk_fun,sjr_talk_swing_joy2,"",0.2,3,19008
19,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_009,0,"","",21,19009
19,0,0,8,122411,"물론이지!\n이렇게 재밌는 걸\n즐기지 않으면\n아깝잖아~!",1,0.5,0,11,19010
19,"","","",0,"","","","",91,19011
19,"","",1,122411,sjr_talk_idle,"","",0.2,3,19012
19,"","",1,122611,sjr_talk_laugh,"","",0.2,3,19013
19,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_010,0,"","",21,19014
19,0,0,8,122611,"그러네\n후훗, 나도 \n히요리를\n본받아야지…!",1,0.5,0,11,19015
19,"","","",0,"","","","",91,19016
19,"","",1,122611,sjr_talk_idle,"","",0.2,3,19017
20,-194,1,100,1,122611,72,sjr_talk_idle,1.65,1,20001
20,-194,0,100,1,122411,-72,sjr_talk_idle,1.65,1,20002
20,1,0,0,122411,sjr_talk_guts2,sjr_talk_guts2_loop,"",0.2,3,20003
20,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_011,0,"","",21,20004
20,0,0,9,122411,"유이!\n좀 전의 달리기는\n굉장했어!\n따라잡을 수 없었어~",1,0.5,0,11,20005
20,"","","",0,"","","","",91,20006
20,"","",1,122411,sjr_talk_idle,"","",0.2,3,20007
20,1,0,0,122611,sjr_talk_mouth_hidden_dere_guru,sjr_talk_mouth_hidden_guru,"",0.2,3,20008
20,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_012,0,"","",21,20009
20,0,0,5,122611,"열중해서 달렸더니\n어쩐지\n기분이 좋아져서…\n후후, 후후후…",1,0.5,0,11,20010
20,"","","",0,"","","","",91,20011
20,1,0,0,122411,sjr_talk_shock,sjr_talk_shock_loop,"",0.2,3,20012
20,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_013,0,"","",21,20013
20,0,0,17,122411,"와~앗!?\n유이!?\n눈이 뱅글뱅글 돌잖아!?",1,0.5,0,11,20014
20,"","","",0,"","","","",91,20015
20,"","",1,122611,sjr_talk_idle,"","",0.2,3,20016
20,"","",1,122411,sjr_talk_idle,"","",0.2,3,20017
21,-194,1,100,1,122611,72,sjr_talk_idle,1.65,1,21001
21,-194,0,100,1,122411,-72,sjr_talk_idle,1.65,1,21002
21,"","",1,122611,sjr_talk_worry_sad,"","",0.2,3,21003
21,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_014,0,"","",21,21004
21,0,0,9,122611,"히요리, 계속\n달리던데 괜찮아?\n수분 보충을 충분히\n하지 않으면 안 된다?",1,0.5,0,11,21005
21,"","","",0,"","","","",91,21006
21,"","",1,122611,sjr_talk_idle,"","",0.2,3,21007
21,0,0,0,122411,sjr_talk_laugh_guts,sjr_talk_guts2_joy_loop,"",0.2,3,21008
21,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_015,0,"","",21,21009
21,0,0,6,122411,"걱정도 많다니까\n유이는~\n아, 그럼 같이\n빙수 먹으러 가자~♪",1,0.5,0,11,21010
21,"","","",0,"","","","",91,21011
21,"","",1,122411,sjr_talk_idle,"","",0.2,3,21012
22,-194,1,100,1,122511,72,sjr_talk_idle,1.65,1,22001
22,-194,0,100,1,122411,-72,sjr_talk_idle,1.65,1,22002
22,1,0,0,122511,sjr_talk_arm_crossed_normal,sjr_talk_arm_crossed_normal_loop,"",0.2,3,22003
22,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_016,0,"","",21,22004
22,0,0,7,122511,"상대가 히요리라고 해도\n질 생각은\n없으니까",1,0.5,0,11,22005
22,"","","",0,"","","","",91,22006
22,"","",1,122511,sjr_talk_idle,"","",0.2,3,22007
22,1,0,0,122411,sjr_talk_guts,sjr_talk_guts_loop,"",0.2,3,22008
22,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_017,0,"","",21,22009
22,0,0,8,122411,"레이 씨가 상대라면\n나 역시\n전력 전개라고!",1,0.5,0,11,22010
22,"","","",0,"","","","",91,22011
22,"","",1,122411,sjr_talk_idle,"","",0.2,3,22012
23,-194,1,100,1,122511,72,sjr_talk_idle,1.65,1,23001
23,-194,0,100,1,122411,-72,sjr_talk_idle,1.65,1,23002
23,1,0,0,122411,sjr_talk_fun_eieio,sjr_talk_eieio_loop,"",0.2,3,23003
23,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_018,0,"","",21,23004
23,0,0,5,122411,"여름이라고 하면 빙수!\n시럽은……\n금단의 몽땅 섞기다~!",1,0.5,0,11,23005
23,"","","",0,"","","","",91,23006
23,"","",1,122411,sjr_talk_idle,"","",0.2,3,23007
23,"","",1,122511,sjr_talk_mouth_hidden_sad,"","",0.2,3,23008
23,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_019,0,"","",21,23009
23,0,0,7,122511,"그렇게 차가운\n것만 먹다니…\n못 달리게 돼도\n모른다?",1,0.5,0,11,23010
23,"","","",0,"","","","",91,23011
23,"","",1,122511,sjr_talk_idle,"","",0.2,3,23012
23,1,0,0,122411,sjr_talk_arm_opened_joy_guru,sjr_talk_arm_opened_guru,"",0.2,3,23013
23,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_020,0,"","",21,23014
23,0,0,5,122411,"괜찮아, 괜찮아♪\n…어랏?\n어쩐지 머리가 띠~잉\n아야야야야~!?",1,0.5,0,11,23015
23,"","","",0,"","","","",91,23016
23,"","",1,122411,sjr_talk_idle,"","",0.2,3,23017
24,-194,1,100,1,122511,72,sjr_talk_idle,1.65,1,24001
24,-194,0,100,1,122411,-72,sjr_talk_idle,1.65,1,24002
24,"","",1,122411,sjr_talk_mouth_hidden_sad,"","",0.2,3,24003
24,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_021,0,"","",21,24004
24,0,0,7,122411,"유이\n괜찮으려나~\n넘어지지 않았으면\n좋겠는데…",1,1,0,11,24005
24,"","","",0,"","","","",91,24006
24,"","",1,122411,sjr_talk_idle,"","",0.2,3,24007
24,0,0,0,122511,sjr_talk_arm_crossed_normal_joy,sjr_talk_arm_crossed_joy_loop,"",0.2,3,24008
24,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_022,0,"","",21,24009
24,0,0,5,122511,"걱정은 필요 없어\n유이는 강해졌어\n오히려 우리가\n질지도 몰라",1,0.5,0,11,24010
24,"","","",0,"","","","",91,24011
24,"","",1,122511,sjr_talk_idle,"","",0.2,3,24012
24,"","",1,122411,sjr_talk_laugh,"","",0.2,3,24013
24,"","",0,vo_minigame_1010,vo_minigame_1010_top_talk_2_023,0,"","",21,24014
24,0,0,7,122411,"에헤헷, 그러네!\n함께 달리는 게\n기대된다~♪",1,0.5,0,11,24015
24,"","","",0,"","","","",91,24016
24,"","",1,122411,sjr_talk_idle,"","",0.2,3,24017
