command_type,param_04,param_01,param_03,param_02,drama_id,param_05,param_08,param_06,command_id,param_07
2,2,100,-263,344,10202,11,"","",1102020019,""
33,2,1,-263,344,10202,11,"","",1102020020,""
32,"",2,"",1,10202,"","","",1102020021,""
93,"",1.7,"",0,10202,"","","",1102020022,""
3,"",1,1,getDice_curious,10202,"","",0.2,1102020023,0
21,0,vo_caravan,0,vo_caravan_event_003_000,10202,"","","",1102020024,""
93,"",1.5,"",0,10202,"","","",1102020025,""
23,"",se_caravan,0,se_caravan_dice_get_outro_2,10202,"","","",1102020026,""
21,0,vo_caravan,0,vo_caravan_event_003_001,10202,"","","",1102020027,""
3,idle_single,100,0,spit_in,10202,1,"",0.1,1102020028,0
3,"",2,0,getDice_2,10202,"","",0,1102020029,""
3,"",1,0,getDice_panic_2,10202,"","",0.1,1102020030,""
93,"",2.5,"",0,10202,"","","",1102020031,""
3,idle_single,100,0,joy_single,10202,1,"",0.2,1102020032,0
93,"",0.5,"",0,10202,"","","",1102020033,""
21,0.1,vo_caravan,0,vo_caravan_event_003_002,10202,"","","",1102020034,""
93,"",0.1,"",0,10202,"","","",1102020035,""
32,"",3,"",1,10202,"","","",1102020036,""
93,"",1.6,"",0,10202,"","","",1102020037,""
101,"",1102020039,"",0,10202,"","","",1102020038,""
35,"",4,"",1,10202,"","","",1102020039,""
32,"",4,"",1,10202,"","","",1102020040,""
32,"",20,"",1,10202,"","","",1102020041,""
32,"",1,"",0,10202,"","","",1102020042,""
93,"",0.4,"",0,10202,"","","",1102020043,""
92,"","","","",10202,"","","",1102020044,""
35,"",30,"",1,10202,"","","",1102020045,""
32,"",30,"",1,10202,"","","",1102020046,""
93,"",0.2,"",0,10202,"","","",1102020047,""
6,1,1,1,1,10202,0,"",0,1102020048,0
6,1,2,1,1,10202,0,"",0,1102020049,0
6,1,100,1,1,10202,0,"",0,1102020050,0
32,"",0,"",0,10202,"","","",1102020051,""
32,"",2,"",0,10202,"","","",1102020052,""
32,"",3,"",0,10202,"","","",1102020053,""
32,"",4,"",0,10202,"","","",1102020054,""
32,"",10,"",0,10202,"","","",1102020055,""
32,"",20,"",0,10202,"","","",1102020056,""
93,"",0.3,"",0,10202,"","","",1102020057,""
5,0,1,20,1,10301,0,magicitem_1,1,1103010001,0
5,0,2,19,2,10301,0,magicitem_2,1,1103010002,0
5,0,3,18,3,10301,0,magicitem_3,1,1103010003,0
5,0,103000,21,4,10301,0,magicitem_kyaru,1,1103010004,0
31,0,103000,0,10,10301,1,"",0,1103010005,""
31,0,103001,0,11,10301,1,"",0,1103010006,""
31,0,103002,0,12,10301,1,"",0,1103010007,""
31,0,103003,0,13,10301,1,"",0,1103010008,""
31,0,103007,0,14,10301,1,"",0,1103010009,""
31,0,103011,0,19,10301,1,"",0,1103010010,""
31,0,1,0,15,10301,1,"",1,1103010011,""
31,0,2,0,16,10301,1,"",0,1103010012,""
31,0,3,0,17,10301,1,"",0,1103010013,""
31,0,4,0,18,10301,1,"",0,1103010014,""
35,0,18,0,0,10301,1,"",1,1103010015,""
32,"",18,"",1,10301,"","","",1103010016,""
91,"",0,"",0,10301,"","","",1103010017,""
32,"",10,"",1,10301,"","","",1103010018,""
32,"",11,"",1,10301,"","","",1103010019,""
32,"",12,"",1,10301,"","","",1103010020,""
32,"",13,"",1,10301,"","","",1103010021,""
32,"",19,"",1,10301,"","","",1103010022,""
3,"",1,0,magicitem_1,10301,"","",0,1103010023,""
3,"",2,0,magicitem_2,10301,"","",0,1103010024,""
3,"",3,0,magicitem_3,10301,"","",0,1103010025,""
3,"",4,0,magicitem_kyaru,10301,"","",0,1103010026,""
21,2.17,vo_caravan,0,vo_caravan_event_004_000,10301,"","","",1103010027,""
21,3.2,vo_caravan,1,vo_caravan_event_004_001,10301,"","","",1103010028,""
21,4.9,vo_caravan,2,vo_caravan_event_004_002,10301,"","","",1103010029,""
93,"",7,"",0,10301,"","","",1103010030,""
32,"",18,"",0,10301,"","","",1103010031,""
93,"",0.67,"",0,10301,"","","",1103010032,""
101,"",1103010034,"",1,10301,"","","",1103010033,""
35,"",14,"",1,10301,"","","",1103010034,""
32,"",14,"",1,10301,"","","",1103010035,""
32,"",16,"",1,10301,"","","",1103010036,""
32,"",19,"",0,10301,"","","",1103010037,""
35,"",18,"",1,10301,"","","",1103010038,""
93,"",0.4,"",0,10301,"","","",1103010039,""
92,"","","","",10301,"","","",1103010040,""
35,"",17,"",1,10301,"","","",1103010041,""
32,"",17,"",1,10301,"","","",1103010042,""
93,"",0.2,"",0,10301,"","","",1103010043,""
6,0,1,0,0,10301,0,"",0.01,1103010044,0
6,0,2,0,0,10301,0,"",0.01,1103010045,0
6,0,3,0,0,10301,0,"",0.01,1103010046,0
6,0,4,0,0,10301,0,"",0.01,1103010047,0
32,"",10,"",0,10301,"","","",1103010048,""
32,"",11,"",0,10301,"","","",1103010049,""
32,"",12,"",0,10301,"","","",1103010050,""
32,"",13,"",0,10301,"","","",1103010051,""
32,"",14,"",0,10301,"","","",1103010052,""
32,"",15,"",0,10301,"","","",1103010053,""
32,"",16,"",0,10301,"","","",1103010054,""
32,"",18,"",0,10301,"","","",1103010055,""
93,"",0.3,"",0,10301,"","","",1103010056,""
5,0,4,20,1,10302,0,magicitem_1,1,1103020001,0
5,0,3,19,2,10302,0,magicitem_2,1,1103020002,0
5,0,1,18,3,10302,0,magicitem_3,1,1103020003,0
5,0,103000,21,4,10302,0,magicitem_pekorine,1,1103020004,0
31,0,103000,0,10,10302,1,"",0,1103020005,""
31,0,103001,0,11,10302,1,"",0,1103020006,""
31,0,103002,0,12,10302,1,"",0,1103020007,""
31,9,103004,-25,13,10302,1,"",0,1103020008,""
31,0,103008,0,14,10302,1,"",0,1103020009,""
31,0,103011,0,19,10302,1,"",0,1103020010,""
31,0,1,0,15,10302,1,"",1,1103020011,""
31,0,2,0,16,10302,1,"",0,1103020012,""
31,0,3,0,17,10302,1,"",0,1103020013,""
31,0,4,0,18,10302,1,"",0,1103020014,""
35,0,18,0,0,10302,1,"",1,1103020015,""
32,"",18,"",1,10302,"","","",1103020016,""
91,"",0,"",0,10302,"","","",1103020017,""
32,"",10,"",1,10302,"","","",1103020018,""
32,"",11,"",1,10302,"","","",1103020019,""
32,"",12,"",1,10302,"","","",1103020020,""
32,"",13,"",1,10302,"","","",1103020021,""
32,"",19,"",1,10302,"","","",1103020022,""
3,"",1,0,magicitem_1,10302,"","",0,1103020023,""
3,"",2,0,magicitem_2,10302,"","",0,1103020024,""
3,"",3,0,magicitem_3,10302,"","",0,1103020025,""
3,"",4,0,magicitem_pekorine,10302,"","",0,1103020026,""
21,2.17,vo_caravan,0,vo_caravan_event_006_000,10302,"","","",1103020027,""
21,3.2,vo_caravan,1,vo_caravan_event_006_001,10302,"","","",1103020028,""
21,4.9,vo_caravan,2,vo_caravan_event_006_002,10302,"","","",1103020029,""
93,"",7,"",0,10302,"","","",1103020030,""
32,"",18,"",0,10302,"","","",1103020031,""
93,"",0.67,"",0,10302,"","","",1103020032,""
101,"",1103020034,"",1,10302,"","","",1103020033,""
35,"",14,"",1,10302,"","","",1103020034,""
32,"",14,"",1,10302,"","","",1103020035,""
32,"",16,"",1,10302,"","","",1103020036,""
32,"",19,"",0,10302,"","","",1103020037,""
35,"",18,"",1,10302,"","","",1103020038,""
93,"",0.4,"",0,10302,"","","",1103020039,""
92,"","","","",10302,"","","",1103020040,""
35,"",17,"",1,10302,"","","",1103020041,""
32,"",17,"",1,10302,"","","",1103020042,""
93,"",0.2,"",0,10302,"","","",1103020043,""
6,0,1,0,0,10302,0,"",0.01,1103020044,0
6,0,2,0,0,10302,0,"",0.01,1103020045,0
6,0,3,0,0,10302,0,"",0.01,1103020046,0
6,0,4,0,0,10302,0,"",0.01,1103020047,0
32,"",10,"",0,10302,"","","",1103020048,""
32,"",11,"",0,10302,"","","",1103020049,""
32,"",12,"",0,10302,"","","",1103020050,""
32,"",13,"",0,10302,"","","",1103020051,""
32,"",14,"",0,10302,"","","",1103020052,""
32,"",15,"",0,10302,"","","",1103020053,""
32,"",16,"",0,10302,"","","",1103020054,""
32,"",18,"",0,10302,"","","",1103020055,""
93,"",0.3,"",0,10302,"","","",1103020056,""
5,0,3,20,1,10303,0,magicitem_1,1,1103030001,0
5,0,1,19,2,10303,0,magicitem_2,1,1103030002,0
5,0,2,18,3,10303,0,magicitem_3,1,1103030003,0
5,0,103000,21,4,10303,0,magicitem_kokkoro,1,1103030004,0
31,0,103000,0,10,10303,1,"",0,1103030005,""
31,0,103001,0,11,10303,1,"",0,1103030006,""
31,0,103002,0,12,10303,1,"",0,1103030007,""
31,-35,103005,8,13,10303,1,"",0,1103030008,""
31,0,103009,0,14,10303,1,"",0,1103030009,""
31,0,103012,0,19,10303,1,"",0,1103030010,""
31,0,1,0,15,10303,1,"",1,1103030011,""
31,0,2,0,16,10303,1,"",0,1103030012,""
31,0,3,0,17,10303,1,"",0,1103030013,""
31,0,4,0,18,10303,1,"",0,1103030014,""
35,0,18,0,0,10303,1,"",1,1103030015,""
32,"",18,"",1,10303,"","","",1103030016,""
91,"",0,"",0,10303,"","","",1103030017,""
32,"",10,"",1,10303,"","","",1103030018,""
32,"",11,"",1,10303,"","","",1103030019,""
32,"",12,"",1,10303,"","","",1103030020,""
32,"",13,"",1,10303,"","","",1103030021,""
32,"",19,"",1,10303,"","","",1103030022,""
3,"",1,0,magicitem_1,10303,"","",0,1103030023,""
3,"",2,0,magicitem_2,10303,"","",0,1103030024,""
3,"",3,0,magicitem_3,10303,"","",0,1103030025,""
3,"",4,0,magicitem_kokkoro,10303,"","",0,1103030026,""
21,2.17,vo_caravan,0,vo_caravan_event_005_000,10303,"","","",1103030027,""
21,3.2,vo_caravan,1,vo_caravan_event_005_001,10303,"","","",1103030028,""
21,4.9,vo_caravan,2,vo_caravan_event_005_002,10303,"","","",1103030029,""
93,"",7,"",0,10303,"","","",1103030030,""
32,"",18,"",0,10303,"","","",1103030031,""
93,"",0.67,"",0,10303,"","","",1103030032,""
101,"",1103030034,"",1,10303,"","","",1103030033,""
35,"",14,"",1,10303,"","","",1103030034,""
32,"",14,"",1,10303,"","","",1103030035,""
32,"",16,"",1,10303,"","","",1103030036,""
32,"",19,"",0,10303,"","","",1103030037,""
35,"",18,"",1,10303,"","","",1103030038,""
93,"",0.4,"",0,10303,"","","",1103030039,""
92,"","","","",10303,"","","",1103030040,""
35,"",17,"",1,10303,"","","",1103030041,""
32,"",17,"",1,10303,"","","",1103030042,""
93,"",0.2,"",0,10303,"","","",1103030043,""
6,0,1,0,0,10303,0,"",0.01,1103030044,0
6,0,2,0,0,10303,0,"",0.01,1103030045,0
6,0,3,0,0,10303,0,"",0.01,1103030046,0
6,0,4,0,0,10303,0,"",0.01,1103030047,0
32,"",10,"",0,10303,"","","",1103030048,""
32,"",11,"",0,10303,"","","",1103030049,""
32,"",12,"",0,10303,"","","",1103030050,""
32,"",13,"",0,10303,"","","",1103030051,""
32,"",14,"",0,10303,"","","",1103030052,""
32,"",15,"",0,10303,"","","",1103030053,""
32,"",16,"",0,10303,"","","",1103030054,""
32,"",18,"",0,10303,"","","",1103030055,""
93,"",0.3,"",0,10303,"","","",1103030056,""
5,0,1,20,1,10304,0,magicitem_1,1,1103040001,0
5,0,2,19,2,10304,0,magicitem_2,1,1103040002,0
5,0,4,18,3,10304,0,magicitem_3,1,1103040003,0
5,0,103000,21,4,10304,0,magicitem_kyaru,1,1103040004,0
31,0,103000,0,10,10304,1,"",0,1103040005,""
31,0,103001,0,11,10304,1,"",0,1103040006,""
31,0,103002,0,12,10304,1,"",0,1103040007,""
31,0,103006,0,13,10304,1,"",0,1103040008,""
31,0,103010,0,14,10304,1,"",0,1103040009,""
31,0,103011,0,19,10304,1,"",0,1103040010,""
31,0,1,0,15,10304,1,"",1,1103040011,""
31,0,2,0,16,10304,1,"",0,1103040012,""
31,0,3,0,17,10304,1,"",0,1103040013,""
31,0,4,0,18,10304,1,"",0,1103040014,""
35,0,18,0,0,10304,1,"",1,1103040015,""
32,"",18,"",1,10304,"","","",1103040016,""
91,"",0,"",0,10304,"","","",1103040017,""
32,"",10,"",1,10304,"","","",1103040018,""
32,"",11,"",1,10304,"","","",1103040019,""
32,"",12,"",1,10304,"","","",1103040020,""
32,"",13,"",1,10304,"","","",1103040021,""
32,"",19,"",1,10304,"","","",1103040022,""
3,"",1,0,magicitem_1,10304,"","",0,1103040023,""
3,"",2,0,magicitem_2,10304,"","",0,1103040024,""
3,"",3,0,magicitem_3,10304,"","",0,1103040025,""
3,"",4,0,magicitem_kyaru2,10304,"","",0,1103040026,""
21,2.17,vo_caravan,0,vo_caravan_event_007_000,10304,"","","",1103040027,""
21,3.2,vo_caravan,1,vo_caravan_event_007_001,10304,"","","",1103040028,""
21,4.9,vo_caravan,2,vo_caravan_event_007_002,10304,"","","",1103040029,""
93,"",7,"",0,10304,"","","",1103040030,""
32,"",18,"",0,10304,"","","",1103040031,""
93,"",0.67,"",0,10304,"","","",1103040032,""
101,"",1103040034,"",1,10304,"","","",1103040033,""
35,"",14,"",1,10304,"","","",1103040034,""
32,"",14,"",1,10304,"","","",1103040035,""
32,"",16,"",1,10304,"","","",1103040036,""
32,"",19,"",0,10304,"","","",1103040037,""
35,"",18,"",1,10304,"","","",1103040038,""
93,"",0.4,"",0,10304,"","","",1103040039,""
92,"","","","",10304,"","","",1103040040,""
35,"",17,"",1,10304,"","","",1103040041,""
32,"",17,"",1,10304,"","","",1103040042,""
93,"",0.2,"",0,10304,"","","",1103040043,""
6,0,1,0,0,10304,0,"",0.01,1103040044,0
6,0,2,0,0,10304,0,"",0.01,1103040045,0
6,0,3,0,0,10304,0,"",0.01,1103040046,0
6,0,4,0,0,10304,0,"",0.01,1103040047,0
32,"",10,"",0,10304,"","","",1103040048,""
32,"",11,"",0,10304,"","","",1103040049,""
32,"",12,"",0,10304,"","","",1103040050,""
32,"",13,"",0,10304,"","","",1103040051,""
32,"",14,"",0,10304,"","","",1103040052,""
32,"",15,"",0,10304,"","","",1103040053,""
32,"",16,"",0,10304,"","","",1103040054,""
32,"",18,"",0,10304,"","","",1103040055,""
93,"",0.3,"",0,10304,"","","",1103040056,""
5,-250,3,55,1,10401,-270,empty,0.95,1104010001,0
5,-250,104000,57,2,10401,-270,empty,0.95,1104010002,0
5,150,5,50,3,10401,-260,empty,0.95,1104010003,0
5,150,5,52,4,10401,-260,empty,0.95,1104010004,0
31,0,104000,220,0,10401,1,"",0,1104010005,""
31,0,104001,0,1,10401,1,"",0,1104010006,""
31,-235,104002,-225,2,10401,1,"",0,1104010007,""
31,0,104003,0,3,10401,1,"",0,1104010008,""
31,0,104004,0,4,10401,1,"",0,1104010009,""
31,0,104006,400,6,10401,1,"",0,1104010010,""
31,0,1,0,10,10401,1,"",0,1104010011,""
31,0,2,0,20,10401,1,"",0,1104010012,""
31,0,3,0,30,10401,1,"",0,1104010013,""
31,0,5,0,50,10401,1,"",0,1104010014,""
91,"",0,"",0,10401,"","","",1104010015,""
32,"",50,"",1,10401,"","","",1104010016,""
32,"",0,"",1,10401,"","","",1104010017,""
32,"",10,"",1,10401,"","","",1104010018,""
93,"",0.5,"",0,10401,"","","",1104010019,""
23,"",se_caravan,0,se_caravan_event_kyaru_A,10401,"","","",1104010020,""
21,0.2,vo_caravan,0,vo_caravan_event_98011_000,10401,"","","",1104010021,""
32,"",6,"",1,10401,"","","",1104010022,""
3,"",3,0,turnSkip_1_karin,10401,"","",0,1104010023,0
3,"",4,0,turnSkip_1_pen,10401,"","",0,1104010024,0
3,"",1,0,turnSkip_1,10401,"","",0,1104010025,0
3,"",2,0,turnSkip_1,10401,"","",0,1104010026,0
33,0.7,0,0,0,10401,8,"","",1104010027,""
2,0.7,3,-260,-250,10401,8,"","",1104010028,""
2,0.7,4,-260,-250,10401,8,"","",1104010029,""
33,0.7,6,0,0,10401,8,"","",1104010030,""
93,"",4.3,"",0,10401,"","","",1104010031,""
23,"",se_caravan,0,se_caravan_event_kyaru_1turn_B,10401,"","","",1104010032,""
21,0.533,vo_caravan,0,vo_caravan_event_98011_001,10401,"","","",1104010033,""
93,"",0.833,"",0,10401,"","","",1104010034,""
32,"",3,"",1,10401,"","","",1104010035,""
93,"",0.3003,"",0,10401,"","","",1104010036,""
32,"",1,"",1,10401,"","","",1104010037,""
93,"",1.0337,"",0,10401,"","","",1104010038,""
21,"",vo_caravan,0,vo_caravan_event_98011_002,10401,"","","",1104010039,""
32,"",2,"",1,10401,"","","",1104010040,""
93,"",0.833,"",0,10401,"","","",1104010041,""
101,"",1104010043,"",0,10401,"","","",1104010042,""
35,"",4,"",1,10401,"","","",1104010043,""
32,"",4,"",1,10401,"","","",1104010044,""
32,"",20,"",1,10401,"","","",1104010045,""
93,"",0.4,"",0,10401,"","","",1104010046,""
92,"","","","",10401,"","","",1104010047,""
35,"",30,"",1,10401,"","","",1104010048,""
32,"",30,"",1,10401,"","","",1104010049,""
93,"",0.2,"",0,10401,"","","",1104010050,""
6,1,1,1,1,10401,0,"",0,1104010051,0
6,1,2,1,1,10401,0,"",0,1104010052,0
6,1,3,1,1,10401,0,"",0,1104010053,0
6,1,4,1,1,10401,0,"",0,1104010054,0
32,"",0,"",0,10401,"","","",1104010055,""
32,"",1,"",0,10401,"","","",1104010056,""
32,"",2,"",0,10401,"","","",1104010057,""
32,"",3,"",0,10401,"","","",1104010058,""
32,"",4,"",0,10401,"","","",1104010059,""
32,"",6,"",0,10401,"","","",1104010060,""
32,"",10,"",0,10401,"","","",1104010061,""
32,"",20,"",0,10401,"","","",1104010062,""
32,"",50,"",0,10401,"","","",1104010063,""
93,"",0.3,"",0,10401,"","","",1104010064,""
5,-250,3,55,1,10402,-270,empty,0.95,1104020001,0
5,-250,104000,57,2,10402,-270,empty,0.95,1104020002,0
5,100,5,50,3,10402,-260,empty,0.95,1104020003,0
5,100,5,52,4,10402,-260,empty,0.95,1104020004,0
31,0,104000,220,0,10402,1,"",0,1104020005,""
31,0,104001,0,1,10402,1,"",0,1104020006,""
31,-245,104002,-205,2,10402,1,"",0,1104020007,""
31,0,104003,0,3,10402,1,"",0,1104020008,""
31,0,104005,0,5,10402,1,"",0,1104020009,""
31,0,104006,265,6,10402,1,"",0,1104020010,""
31,0,1,0,10,10402,1,"",0,1104020011,""
31,0,2,0,20,10402,1,"",0,1104020012,""
31,0,3,0,30,10402,1,"",0,1104020013,""
31,0,5,0,50,10402,1,"",0,1104020014,""
91,"",0,"",0,10402,"","","",1104020015,""
32,"",50,"",1,10402,"","","",1104020016,""
32,"",0,"",1,10402,"","","",1104020017,""
32,"",10,"",1,10402,"","","",1104020018,""
93,"",0.5,"",0,10402,"","","",1104020019,""
23,"",se_caravan,0,se_caravan_event_kyaru_A,10402,"","","",1104020020,""
21,0.2,vo_caravan,0,vo_caravan_event_98012_000,10402,"","","",1104020021,""
32,"",6,"",1,10402,"","","",1104020022,""
3,"",3,0,turnSkip_2_karin,10402,"","",0,1104020023,0
3,"",4,0,turnSkip_2_pen,10402,"","",0,1104020024,0
3,"",1,0,turnSkip_2,10402,"","",0,1104020025,0
3,"",2,0,turnSkip_2,10402,"","",0,1104020026,0
33,0.7,0,0,0,10402,8,"","",1104020027,""
2,0.7,3,-260,-250,10402,8,"","",1104020028,""
2,0.7,4,-260,-250,10402,8,"","",1104020029,""
33,0.7,6,0,0,10402,8,"","",1104020030,""
93,"",4.3,"",0,10402,"","","",1104020031,""
23,"",se_caravan,0,se_caravan_event_kyaru_2turn_B,10402,"","","",1104020032,""
21,0.63,vo_caravan,0,vo_caravan_event_98012_001,10402,"","","",1104020033,""
21,2.2,vo_caravan,0,vo_caravan_event_98012_002,10402,"","","",1104020034,""
93,"",2.5,"",0,10402,"","","",1104020035,""
32,"",3,"",1,10402,"","","",1104020036,""
93,"",0.3,"",0,10402,"","","",1104020037,""
32,"",1,"",1,10402,"","","",1104020038,""
93,"",1.067,"",0,10402,"","","",1104020039,""
21,"",vo_caravan,0,vo_caravan_event_98012_003,10402,"","","",1104020040,""
32,"",2,"",1,10402,"","","",1104020041,""
93,"",0.933,"",0,10402,"","","",1104020042,""
101,"",1104020044,"",0,10402,"","","",1104020043,""
35,"",5,"",1,10402,"","","",1104020044,""
32,"",5,"",1,10402,"","","",1104020045,""
32,"",20,"",1,10402,"","","",1104020046,""
93,"",0.4,"",0,10402,"","","",1104020047,""
92,"","","","",10402,"","","",1104020048,""
35,"",30,"",1,10402,"","","",1104020049,""
32,"",30,"",1,10402,"","","",1104020050,""
93,"",0.2,"",0,10402,"","","",1104020051,""
6,1,1,1,1,10402,0,"",0,1104020052,0
6,1,2,1,1,10402,0,"",0,1104020053,0
6,1,3,1,1,10402,0,"",0,1104020054,0
6,1,4,1,1,10402,0,"",0,1104020055,0
32,"",0,"",0,10402,"","","",1104020056,""
32,"",1,"",0,10402,"","","",1104020057,""
32,"",2,"",0,10402,"","","",1104020058,""
32,"",3,"",0,10402,"","","",1104020059,""
32,"",5,"",0,10402,"","","",1104020060,""
32,"",6,"",0,10402,"","","",1104020061,""
32,"",10,"",0,10402,"","","",1104020062,""
32,"",20,"",0,10402,"","","",1104020063,""
32,"",50,"",0,10402,"","","",1104020064,""
93,"",0.3,"",0,10402,"","","",1104020065,""
