id,reward_num_2,reward_num_4,ranking_from,reward_id_5,reward_id_1,reward_type_3,ranking_to,reward_num_5,reward_num_3,reward_type_4,reward_type_5,odds_group_id,reward_id_3,reward_id_4,reward_num_1,reward_id_2,reward_type_1,damage_rank_id,reward_type_2
63,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1002206,2
64,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1002206,2
65,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1002207,2
66,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1002207,2
67,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1002207,2
68,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1002207,2
69,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1002208,2
70,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1002208,2
71,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1002208,2
72,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1002208,2
73,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1002209,2
74,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1002209,2
75,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1002209,2
76,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1002209,2
77,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1002210,2
78,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1002210,2
79,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1002210,2
80,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1002210,2
81,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1003201,2
82,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1003201,2
83,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1003201,2
84,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1003201,2
85,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1003202,2
86,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1003202,2
87,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1003202,2
88,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1003202,2
89,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1003203,2
90,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1003203,2
91,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1003203,2
92,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1003203,2
93,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1003204,2
94,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1003204,2
95,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1003204,2
96,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1003204,2
97,10,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,40,20003,2,1003205,2
98,8,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,30,20003,2,1003205,2
99,6,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,20,20003,2,1003205,2
100,2,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,10,20003,2,1003205,2
101,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1003206,2
102,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1003206,2
103,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1003206,2
104,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1003206,2
105,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1003207,2
106,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1003207,2
107,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1003207,2
108,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1003207,2
109,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1003208,2
110,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1003208,2
111,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1003208,2
112,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1003208,2
113,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1003209,2
114,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1003209,2
115,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1003209,2
116,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1003209,2
117,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1003210,2
118,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1003210,2
119,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1003210,2
120,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1003210,2
121,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1004201,2
122,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1004201,2
123,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1004201,2
124,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1004201,2
125,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1004202,2
126,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1004202,2
127,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1004202,2
128,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1004202,2
129,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1004203,2
130,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1004203,2
131,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1004203,2
132,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1004203,2
133,5,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,20,20003,2,1004204,2
134,4,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,15,20003,2,1004204,2
135,3,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,10,20003,2,1004204,2
136,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,5,20003,2,1004204,2
137,10,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,40,20003,2,1004205,2
138,8,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,30,20003,2,1004205,2
139,6,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,20,20003,2,1004205,2
140,2,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,10,20003,2,1004205,2
141,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1004206,2
142,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1004206,2
143,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1004206,2
144,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1004206,2
145,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1004207,2
146,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1004207,2
147,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1004207,2
148,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1004207,2
149,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1004208,2
150,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1004208,2
151,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1004208,2
152,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1004208,2
153,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1004209,2
154,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1004209,2
155,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1004209,2
156,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1004209,2
157,4,0,1,0,90006,0,1,0,0,0,0,3100104,0,0,10,20003,2,1004210,2
158,3,0,2,0,90006,0,3,0,0,0,0,3100103,0,0,8,20003,2,1004210,2
159,2,0,4,0,90006,0,10,0,0,0,0,3100102,0,0,6,20003,2,1004210,2
160,1,0,11,0,90006,0,30,0,0,0,0,3100101,0,0,4,20003,2,1004210,2
