id,description,effect_name,quest_id,icon_name
56,"미야코, 유카리, 아유미의 섀도우가 ★6이 된다.","섀도우 강화",74002104,star6_shadow
57,"카린의 섀도우가 추가된다.","섀도우 1명 추가",74002104,add_shadow
58,"모든 섀도우의 물리 공격력이 대폭 상승한다.","섀도우 물리 공격력 증가",74002105,boss_atk_up
59,"미야코, 유카리, 아유미의 섀도우가 ★6이 된다.","섀도우 강화",74002105,star6_shadow
60,"카린의 섀도우가 추가된다.","섀도우 1명 추가",74002105,add_shadow
61,"카야(리버레이터)의 섀도우가 추가된다.","섀도우 1명 추가",74002202,add_shadow
62,"츠무기(할로윈), 마히루(크리스마스), 미츠키, 카스미(매지컬)의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74002203,star6_shadow
63,"카야(리버레이터)의 섀도우가 추가된다.","섀도우 1명 추가",74002203,add_shadow
64,"미츠키의 섀도우가 ★6이 된다. 츠무기(할로윈), 마히루(크리스마스), 카스미(매지컬)의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74002204,star6_shadow
65,"카야(리버레이터)의 섀도우가 추가된다.","섀도우 1명 추가",74002204,add_shadow
66,"모든 섀도우의 마법 방어력이 대폭 상승한다.","섀도우 마법 방어력 증가",74002205,boss_magic_def_up
67,"츠무기(할로윈), 마히루(크리스마스), 카스미(매지컬)의 섀도우에게 전용 장비가 추가되고, 미츠키의 섀도우가 ★6이 된다.","섀도우 강화",74002205,star6_shadow
68,"카야(리버레이터)의 섀도우가 추가된다.","섀도우 1명 추가",74002205,add_shadow
69,"노조미의 섀도우가 추가된다.","섀도우 1명 추가",74002302,add_shadow
70,"노조미와 캬루(프린세스)의 섀도우가 추가된다.","섀도우 2명 추가",74002303,add_shadow
71,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74002304,limit_chara_num
72,"노조미의 섀도우가 ★6이 된다. 캬루(프린세스)의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74002304,star6_shadow
73,"노조미와 캬루(프린세스)의 섀도우가 추가된다.","섀도우 2명 추가",74002304,add_shadow
74,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74002305,limit_chara_num
75,"전투 시작 시, 보스 몬스터가 적 전원의 물리 방어력을 (특대) 증가시킨다.","시작 시 물리 방어력 증가",74002305,boss_def_up
76,"전투 시작 시, 보스 몬스터가 적 전원의 마법 방어력을 (특대) 증가시킨다.","시작 시 마법 방어력 증가",74002305,boss_magic_def_up
77,"노조미의 섀도우가 ★6이 된다. 캬루(프린세스)의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74002305,star6_shadow
78,"노조미와 캬루(프린세스)의 섀도우가 추가된다.","섀도우 2명 추가",74002305,add_shadow
79,"아야네의 섀도우가 추가된다.","섀도우 1명 추가",74002402,add_shadow
80,"아야네와 페코린느(여름)의 섀도우가 추가된다.","섀도우 2명 추가",74002403,add_shadow
81,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74002404,limit_chara_num
82,"아야네와 페코린느(여름)의 섀도우가 ★6이 된다.","섀도우 강화",74002404,star6_shadow
83,"아야네와 페코린느(여름)의 섀도우가 추가된다.","섀도우 2명 추가",74002404,add_shadow
84,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74002405,limit_chara_num
85,"전투 시작 시, 보스 몬스터가 적 전원의 물리 방어력을 (특대) 증가시킨다.","시작 시 물리 방어력 증가",74002405,boss_def_up
86,"전투 시작 시, 보스 몬스터가 적 전원의 마법 방어력을 (특대) 증가시킨다.","시작 시 마법 방어력 증가",74002405,boss_magic_def_up
87,"아야네와 페코린느(여름)의 섀도우가 ★6이 된다.","섀도우 강화",74002405,star6_shadow
88,"아야네와 페코린느(여름)의 섀도우가 추가된다.","섀도우 2명 추가",74002405,add_shadow
89,"전투 시간이 70초가 된다.","전투 시간 제한",74002502,limit_time
90,"전투 시간이 60초가 된다.","전투 시간 제한",74002503,limit_time
91,"전투 시간이 60초가 된다.","전투 시간 제한",74002504,limit_time
92,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74002504,boss_ub_enhance
93,"전투 시간이 45초가 된다.","전투 시간 제한",74002505,limit_time
94,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74002505,boss_ub_enhance
95,"카스미, 하츠네, 유이(프린세스)의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74003102,star6_shadow
96,"유키의 섀도우가 추가된다.","섀도우 1명 추가",74003103,add_shadow
97,"하츠네, 유키의 섀도우가 ★6이 된다.","섀도우 강화",74003103,star6_shadow
98,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74003104,limit_chara_num
99,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74003105,limit_chara_num
100,"모든 섀도우의 최대 HP가 큰 폭으로 상승한다.","섀도우 최대 HP 증가",74003105,max_hp_up
101,"커스 렐릭이 추가된다.","몬스터 1마리 추가",74003202,add_shadow
102,"아오이의 섀도우가 ★6이 된다.","섀도우 강화",74003203,star6_shadow
103,"전투 시작 시 커스 렐릭이 아군 전체를 마법 데미지 50% 컷 상태로 만든다.","시작 시 마법 데미지 컷",74003204,boss_magic_cut
104,"커스 렐릭의 스킬이 강화된다.","몬스터 강화",74003204,boss_ub_enhance
105,"전투 시작 시 커스 렐릭이 아군 전체를 마법 데미지 75% 컷 상태로 만든다.","시작 시 마법 데미지 컷",74003205,boss_magic_cut
106,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74003205,limit_chara_num
107,"힐 렐릭이 추가된다.","몬스터 1마리 추가",74003302,add_shadow
108,"캬루(새해)의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74003303,star6_shadow
109,"전투 시작 시 힐 렐릭이 아군 전체를 물리 데미지 50% 컷 상태로 만든다.","시작 시 물리 데미지 컷",74003304,boss_physics_cut
110,"힐 렐릭의 스킬이 강화된다.","몬스터 강화",74003304,boss_ub_enhance
111,"전투 시작 시 힐 렐릭이 아군 전체를 물리 데미지 75% 컷 상태로 만든다.","시작 시 물리 데미지 컷",74003305,boss_physics_cut
112,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74003305,limit_chara_num
113,"전투 시작 시, 보스 몬스터의 물리 방어력 (소) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","보스 물리 방어력(감소 불가) 증가",74003402,boss_def_lower_limit
114,"전투 시작 시, 보스 몬스터의 마법 방어력 (소) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","보스 마법 방어력(감소 불가) 증가",74003402,boss_magic_def_lower_limit
115,"전투 시간이 70초가 된다.","전투 시간 제한",74003403,limit_time
116,"전투 시작 시, 보스 몬스터의 물리 방어력 (소) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","보스 물리 방어력(감소 불가) 증가",74003403,boss_def_lower_limit
117,"전투 시작 시, 보스 몬스터의 마법 방어력 (소) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","보스 마법 방어력(감소 불가) 증가",74003403,boss_magic_def_lower_limit
118,"전투 시간이 70초가 된다.","전투 시간 제한",74003404,limit_time
119,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74003404,boss_ub_enhance
120,"전투 시작 시, 보스 몬스터가 TP 감소 100％ 컷 상태가 된다.","보스 TP 감소 컷",74003404,boss_tp_down_cut
121,"전투 시작 시, 보스 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","보스 물리 방어력(감소 불가) 증가",74003404,boss_def_lower_limit
122,"전투 시작 시, 보스 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","보스 마법 방어력(감소 불가) 증가",74003404,boss_magic_def_lower_limit
123,"전투 시간이 50초가 된다.","전투 시간 제한",74003405,limit_time
124,"보스 몬스터의 유니온 버스트가 강화된다.","보스 UB 강화",74003405,boss_ub_enhance
125,"전투 시작 시, 보스 몬스터가 TP 감소 100％ 컷 상태가 된다.","보스 TP 감소 컷",74003405,boss_tp_down_cut
126,"전투 시작 시, 보스 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","보스 물리 방어력(감소 불가) 증가",74003405,boss_def_lower_limit
127,"전투 시작 시, 보스 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","보스 마법 방어력(감소 불가) 증가",74003405,boss_magic_def_lower_limit
128,"전투 시작 시, 보스 몬스터의 물리 방어력 (소) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","보스 물리 방어력(감소 불가) 증가",74003502,boss_def_lower_limit
129,"전투 시작 시, 보스 몬스터의 마법 방어력 (소) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","보스 마법 방어력(감소 불가) 증가",74003502,boss_magic_def_lower_limit
130,"전투 시작 시, 보스 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","보스 물리 방어력(감소 불가) 증가",74003503,boss_def_lower_limit
131,"전투 시작 시, 보스 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","보스 마법 방어력(감소 불가) 증가",74003503,boss_magic_def_lower_limit
132,"루나 포드가 추가된다.","몬스터 1마리 추가",74003504,add_shadow
133,"전투 시작 시, 보스 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","보스 물리 방어력(감소 불가) 증가",74003504,boss_def_lower_limit
134,"전투 시작 시, 보스 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","보스 마법 방어력(감소 불가) 증가",74003504,boss_magic_def_lower_limit
135,"카이저 인사이트의 섀도우가 추가된다.","섀도우 1명 추가",74003505,add_shadow
136,"전투 시작 시, 보스 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","보스 물리 방어력(감소 불가) 증가",74003505,boss_def_lower_limit
137,"전투 시작 시, 보스 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","보스 마법 방어력(감소 불가) 증가",74003505,boss_magic_def_lower_limit
138,"이노리, 사렌, 요리, 유니의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74004102,star6_shadow
139,"사렌(여름)의 섀도우가 추가된다.","섀도우 1명 추가",74004103,add_shadow
140,"사렌, 요리의 섀도우가 ★6이 된다.","섀도우 강화",74004103,star6_shadow
141,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74004104,limit_chara_num
142,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74004105,limit_chara_num
143,"모든 섀도우의 최대 HP가 큰 폭으로 상승한다.","섀도우 최대 HP 증가",74004105,max_hp_up
144,"실드 렐릭이 추가된다.","몬스터 1마리 추가",74004202,add_shadow
145,"네네카(새해)의 섀도우에게 전용 장비가 추가된다.","섀도우 강화",74004203,star6_shadow
146,"실드 렐릭의 스킬이 강화된다.","몬스터 강화",74004204,boss_ub_enhance
147,"전투 시작 시, 실드 렐릭이 아군 전체의 HP를 (특대) 회복한다.","전투 시작 시 HP 회복",74004204,hp_recover
148,"전투 시작 시, 실드 렐릭이 아군 전체의 HP를 (특대) 회복한다.","전투 시작 시 HP 회복",74004205,hp_recover
149,"전투 시작 시, 실드 렐릭이 아군 전체에게 지속적으로 TP 회복 상태를 부여한다.","시작 시 TP 지속 회복 부여",74004205,energy_recover
150,"어택 렐릭이 추가된다.","몬스터 1마리 추가",74004302,add_shadow
151,"리마의 섀도우가 ★6이 된다.","섀도우 강화",74004303,star6_shadow
152,"어택 렐릭의 스킬이 강화된다.","몬스터 강화",74004304,boss_ub_enhance
153,"전투 시작 시, 어택 렐릭이 아군 전체의 행동 속도를 (특대) 증가시키는 필드를 전개한다.","시작 시 행동 속도 증가 필드",74004305,boss_haste
154,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74004402,max_hp_down
155,"전투 시간이 75초가 된다.","전투 시간 제한",74004403,limit_time
156,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74004403,max_hp_down
157,"전투 시간이 75초가 된다.","전투 시간 제한",74004404,limit_time
158,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74004404,limit_chara_num
159,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74004404,max_hp_down
160,"전투 시간이 60초가 된다.","전투 시간 제한",74004405,limit_time
161,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74004405,limit_chara_num
162,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74004405,max_hp_down
163,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74004502,max_hp_down
164,"보스 몬스터의 유니온 버스트와 스킬이 강화된다.","보스 UB・스킬 강화",74004503,boss_ub_enhance
165,"전투 시작 시, 보스 몬스터가 TP 감소 50％ 컷 상태가 된다.","보스 TP 감소 컷",74004503,boss_tp_down_cut
166,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74004503,max_hp_down
167,"루나 포드가 추가된다.","몬스터 1마리 추가",74004504,add_shadow
168,"전투 시작 시, 보스 몬스터가 TP 감소 50％ 컷 상태가 된다.","보스 TP 감소 컷",74004504,boss_tp_down_cut
169,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74004504,max_hp_down
170,"아야네의 섀도우가 추가된다.","섀도우 1명 추가",74004505,add_shadow
171,"전투 시작 시, 보스 몬스터가 TP 감소 50％ 컷 상태가 된다.","보스 TP 감소 컷",74004505,boss_tp_down_cut
172,"파티 캐릭터의 최대 HP가 20% 감소한다.","캐릭터 최대 HP 감소",74004505,max_hp_down
173,"리마, 카야, 이노리, 사렌(여름)의 섀도우에 전용 장비가 추가된다.","섀도우 강화",74005102,star6_shadow
174,"리마, 카야, 이노리의 섀도우가 ★6이 된다","섀도우 강화",74005103,star6_shadow
175,"전투 시작 시, 모든 몬스터가 물리 데미지 50％ 컷 상태가 된다.","물리 데미지 컷",74005103,boss_physics_cut
176,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74005104,limit_chara_num
177,"전투 시작 시, 모든 몬스터가 물리 데미지 50％ 컷 상태가 된다.","물리 데미지 컷",74005104,boss_physics_cut
178,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74005105,limit_chara_num
179,"전투 시작 시, 모든 몬스터가 물리 데미지 100％ 컷 상태가 된다.","물리 데미지 컷",74005105,boss_physics_cut
180,"미야코, 레이(새해), 유카리, 하츠네, 미사키(할로윈)의 섀도우에 전용 장비가 추가된다.","섀도우 강화",74005202,star6_shadow
181,"미야코, 레이(새해), 유카리, 하츠네의 섀도우가 ★6이 된다","섀도우 강화",74005203,star6_shadow
182,"전투 시작 시, 모든 몬스터가 마법 데미지 50％ 컷 상태가 된다.","마법 데미지 컷",74005203,boss_magic_cut
183,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74005204,limit_chara_num
184,"전투 시작 시, 모든 몬스터가 마법 데미지 50％ 컷 상태가 된다.","마법 데미지 컷",74005204,boss_magic_cut
185,"편성 가능 캐릭터 수가 4명이 된다.","편성 캐릭터 수 제한",74005205,limit_chara_num
186,"전투 시작 시, 모든 몬스터가 마법 데미지 100％ 컷 상태가 된다.","마법 데미지 컷",74005205,boss_magic_cut
187,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.","데미지 감쇠",74005301,18
188,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다.","TP 상승 상한 부여",74005301,17
189,"전투 시작 시, 모든 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","물리 방어력(감소 불가) 증가",74005301,boss_def_lower_limit
190,"전투 시작 시, 모든 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","마법 방어력(감소 불가) 증가",74005301,boss_magic_def_lower_limit
191,"전투 시작 시, 모든 캐릭터의 HP 흡수 (특대) 감소","HP 흡수 감소",74005301,9
192,"젤라티나, 엘더 클라우드가 추가된다.","몬스터 추가",74005302,add_shadow
193,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.","데미지 감쇠",74005302,18
194,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다.","TP 상승 상한 부여",74005302,17
195,"전투 시작 시, 모든 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","물리 방어력(감소 불가) 증가",74005302,boss_def_lower_limit
196,"전투 시작 시, 모든 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","마법 방어력(감소 불가) 증가",74005302,boss_magic_def_lower_limit
197,"전투 시작 시, 모든 캐릭터의 HP 흡수 (특대) 감소","HP 흡수 감소",74005302,9
198,"유카리, 호마레(새해)가 추가된다.","몬스터 추가",74005303,add_shadow
199,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.","데미지 감쇠",74005303,18
200,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다.","TP 상승 상한 부여",74005303,17
201,"전투 시작 시, 모든 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","물리 방어력(감소 불가) 증가",74005303,boss_def_lower_limit
202,"전투 시작 시, 모든 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","마법 방어력(감소 불가) 증가",74005303,boss_magic_def_lower_limit
203,"전투 시작 시, 모든 캐릭터의 HP 흡수 (특대) 감소","HP 흡수 감소",74005303,9
204,"루나 포드가 추가된다.","몬스터 추가",74005304,add_shadow
205,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.","데미지 감쇠",74005304,18
206,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다.","TP 상승 상한 부여",74005304,17
207,"전투 시작 시, 모든 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","물리 방어력(감소 불가) 증가",74005304,boss_def_lower_limit
208,"전투 시작 시, 모든 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","마법 방어력(감소 불가) 증가",74005304,boss_magic_def_lower_limit
209,"전투 시작 시, 모든 캐릭터의 HP 흡수 (특대) 감소","HP 흡수 감소",74005304,9
210,"전투 시간이 60초가 된다.","전투 시간 제한",74005305,limit_time
211,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.","데미지 감쇠",74005305,18
212,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다.","TP 상승 상한 부여",74005305,17
213,"전투 시작 시, 모든 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","물리 방어력(감소 불가) 증가",74005305,boss_def_lower_limit
214,"전투 시작 시, 모든 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","마법 방어력(감소 불가) 증가",74005305,boss_magic_def_lower_limit
215,"전투 시작 시, 모든 캐릭터의 HP 흡수 (특대) 감소","HP 흡수 감소",74005305,9
216,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.","데미지 감쇠",74005401,18
217,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다.","TP 상승 상한 부여",74005401,17
218,"전투 시작 시, 모든 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","물리 방어력(감소 불가) 증가",74005401,boss_def_lower_limit
219,"전투 시작 시, 모든 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","마법 방어력(감소 불가) 증가",74005401,boss_magic_def_lower_limit
220,"전투 시작 시, 모든 캐릭터의 HP 흡수 (특대) 감소","HP 흡수 감소",74005401,9
221,"터틀 타이런트, 반짝이는 노린재가 추가된다.","몬스터 추가",74005402,add_shadow
222,"모든 몬스터가 한 번의 행동으로 입는 데미지값을 감쇠 / 데미지가 상승할수록 감쇠율도 상승한다.","데미지 감쇠",74005402,18
223,"전투 시작 시, 모든 캐릭터의 TP 상승 상한값을 150으로 한다.","TP 상승 상한 부여",74005402,17
224,"전투 시작 시, 모든 몬스터의 물리 방어력 (중) 증가 / 이 효과는 물리 방어력 감소의 영향을 받지 않는다.","물리 방어력(감소 불가) 증가",74005402,boss_def_lower_limit
225,"전투 시작 시, 모든 몬스터의 마법 방어력 (중) 증가 / 이 효과는 마법 방어력 감소의 영향을 받지 않는다.","마법 방어력(감소 불가) 증가",74005402,boss_magic_def_lower_limit
226,"전투 시작 시, 모든 캐릭터의 HP 흡수 (특대) 감소","HP 흡수 감소",74005402,9
