disp_group,mission_reward_id,event_id,condition_num,daily_mission_id,condition_value_1,system_id,mission_condition,condition_value_2,start_time,description,category_icon,end_time,condition_value_3
103,61011003,10011,1,61011003,0,6008,9011,0,"2099/02/27 15:00:00","어글리 러블리를 1회 격파하자(전체 난이도 공통)",601,"2100/03/12 14:59:59",0
101,61012001,10012,1,61012001,0,6008,9012,0,"2020/04/01 15:00:00","한탄하는 여신에게 1회 도전하자(전체 난이도 공통)",601,"2020/04/15 14:59:59",0
102,61012002,10012,10,61012002,0,6004,9004,0,"2020/04/01 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/04/15 14:59:59",0
101,61013001,10013,1,61013001,0,6008,9012,0,"2020/04/29 15:00:00","코어 기가스에게 1회 도전하자(전체 난이도 공통)",601,"2020/05/13 14:59:59",0
102,61013002,10013,10,61013002,0,6004,9004,0,"2020/04/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/05/13 14:59:59",0
101,61014001,10014,1,61014001,0,6008,9012,0,"2020/05/13 15:00:00","지즈에게 1회 도전하자(전체 난이도 공통)",601,"2020/05/20 14:59:59",0
102,61014002,10014,10,61014002,0,6004,9004,0,"2020/05/13 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/05/20 14:59:59",0
101,61015001,10015,1,61015001,0,6008,9012,0,"2020/05/28 15:00:00","아쿠다이칸에게 1회 도전하자(전체 난이도 공통)",601,"2020/06/11 14:59:59",0
102,61015002,10015,10,61015002,0,6004,9004,0,"2020/05/28 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/06/11 14:59:59",0
101,61016001,10016,1,61016001,0,6008,9012,0,"2020/06/15 15:00:00","알마에게 1회 도전하자(전체 난이도 공통)",601,"2020/06/22 14:59:59",0
102,61016002,10016,10,61016002,0,6004,9004,0,"2020/06/15 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/06/22 14:59:59",0
101,61017001,10017,1,61017001,0,6008,9012,0,"2020/06/30 15:00:00","페텔기우스에게 1회 도전하자(전체 난이도 공통)",601,"2020/07/14 14:59:59",0
102,61017002,10017,10,61017002,0,6004,9004,0,"2020/06/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/07/14 14:59:59",0
101,61018001,10018,1,61018001,0,6008,9012,0,"2020/07/15 15:00:00","가르그에게 1회 도전하자(전체 난이도 공통)",601,"2020/07/22 14:59:59",0
102,61018002,10018,10,61018002,0,6004,9004,0,"2020/07/15 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/07/22 14:59:59",0
101,61019001,10019,1,61019001,0,6008,9012,0,"2020/07/30 15:00:00","비의 신에게 1회 도전하자(전체 난이도 공통)",601,"2020/08/13 14:59:59",0
102,61019002,10019,10,61019002,0,6004,9004,0,"2020/07/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/08/13 14:59:59",0
101,61020001,10020,1,61020001,0,6008,9012,0,"2020/08/14 15:00:00","텐타퍼스에게 1회 도전하자(전체 난이도 공통)",601,"2020/08/21 14:59:59",0
102,61020002,10020,10,61020002,0,6004,9004,0,"2020/08/14 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/08/21 14:59:59",0
101,61021001,10021,1,61021001,0,6008,9012,0,"2020/08/31 15:00:00","마지문에게 1회 도전하자(전체 난이도 공통)",601,"2020/09/14 14:59:59",0
102,61021002,10021,10,61021002,0,6004,9004,0,"2020/08/31 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/09/14 14:59:59",0
101,61022001,10022,1,61022001,0,6008,9012,0,"2020/09/14 15:00:00","섬고래에게 1회 도전하자(전체 난이도 공통)",601,"2020/09/21 14:59:59",0
102,61022002,10022,10,61022002,0,6004,9004,0,"2020/09/14 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/09/21 14:59:59",0
101,61023001,10023,1,61023001,0,6008,9012,0,"2020/09/29 15:00:00","느긋한 만드라고라에게 1회 도전하자(전체 난이도 공통)",601,"2020/10/13 14:59:59",0
102,61023002,10023,10,61023002,0,6004,9004,0,"2020/09/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/10/13 14:59:59",0
101,61024001,10024,1,61024001,0,6008,9012,0,"2020/10/15 15:00:00","리빙 메일에게 1회 도전하자(전체 난이도 공통)",601,"2020/10/22 14:59:59",0
102,61024002,10024,10,61024002,0,6004,9004,0,"2020/10/15 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/10/22 14:59:59",0
101,61025001,10025,1,61025001,0,6008,9012,0,"2020/10/29 15:00:00","팬텀바론에게 1회 도전하자(전체 난이도 공통)",601,"2020/11/12 14:59:59",0
102,61025002,10025,10,61025002,0,6004,9004,0,"2020/10/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/11/12 14:59:59",0
101,61026001,10026,1,61026001,0,6008,9012,0,"2020/11/16 15:00:00","잭 오 푸딩에게 1회 도전하자(전체 난이도 공통)",601,"2020/11/23 14:59:59",0
102,61026002,10026,10,61026002,0,6004,9004,0,"2020/11/16 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/11/23 14:59:59",0
101,61027001,10027,1,61027001,0,6008,9012,0,"2020/11/30 15:00:00","모조 드래곤에게 1회 도전하자(전체 난이도 공통)",601,"2020/12/14 14:59:59",0
102,61027002,10027,10,61027002,0,6004,9004,0,"2020/11/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/12/14 14:59:59",0
101,61028001,10028,1,61028001,0,6008,9012,0,"2020/12/15 15:00:00","올램에게 1회 도전하자(전체 난이도 공통)",601,"2020/12/22 14:59:59",0
102,61028002,10028,10,61028002,0,6004,9004,0,"2020/12/15 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2020/12/22 14:59:59",0
101,61029001,10029,1,61029001,0,6008,9012,0,"2020/12/29 15:00:00","순록 벤데타에게 1회 도전하자(전체 난이도 공통)",601,"2021/01/12 14:59:59",0
102,61029002,10029,10,61029002,0,6004,9004,0,"2020/12/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/01/12 14:59:59",0
101,61030001,10030,1,61030001,0,6008,9012,0,"2021/01/14 15:00:00","미스티에게 1회 도전하자(전체 난이도 공통)",601,"2021/01/21 14:59:59",0
102,61030002,10030,10,61030002,0,6004,9004,0,"2021/01/14 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/01/21 14:59:59",0
101,61031001,10031,1,61031001,0,6008,9012,0,"2021/01/28 15:00:00","산신령에게 1회 도전하자(전체 난이도 공통)",601,"2021/02/11 14:59:59",0
102,61031002,10031,10,61031002,0,6004,9004,0,"2021/01/28 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/02/11 14:59:59",0
101,61032001,10032,1,61032001,0,6008,9012,0,"2021/02/14 15:00:00","사악한 떡의 신 가미에게 1회 도전하자(전체 난이도 공통)",601,"2021/02/21 14:59:59",0
102,61032002,10032,10,61032002,0,6004,9004,0,"2021/02/14 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/02/21 14:59:59",0
101,61033001,10033,1,61033001,0,6008,9012,0,"2021/03/02 15:00:00","안티 비스트에게 1회 도전하자(전체 난이도 공통)",601,"2021/03/16 14:59:59",0
102,61033002,10033,10,61033002,0,6004,9004,0,"2021/03/02 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/03/16 14:59:59",0
10034101,61034001,10034,1,61034001,0,6008,9012,0,"2021/03/17 15:00:00","어글리 러블리에게 1회 도전하자(전체 난이도 공통)",601,"2021/03/24 14:59:59",0
10034102,61034002,10034,10,61034002,0,6004,9004,0,"2021/03/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/03/24 14:59:59",0
10035101,61035001,10035,1,61035001,0,6008,9012,0,"2021/03/30 15:00:00","보스에게 1회 도전하자(전후편의 전체 난이도 공통)",601,"2021/04/20 14:59:59",0
10035102,61035002,10035,10,61035002,0,6004,9004,0,"2021/03/30 15:00:00","이벤트 퀘스트를 10회 클리어하자(전후편 공통)",601,"2021/04/20 14:59:59",0
10037101,61037001,10037,1,61037001,0,6008,9012,0,"2021/04/15 15:00:00","한탄하는 여신에게 1회 도전하자(전체 난이도 공통)",601,"2021/04/22 14:59:59",0
10037102,61037002,10037,10,61037002,0,6004,9004,0,"2021/04/15 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/04/22 14:59:59",0
10038101,61038001,10038,1,61038001,0,6008,9012,0,"2021/04/29 15:00:00","단짝X에게 1회 도전하자(전체 난이도 공통)",601,"2021/05/13 14:59:59",0
10038102,61038002,10038,10,61038002,0,6004,9004,0,"2021/04/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/05/13 14:59:59",0
10039101,61039001,10039,1,61039001,0,6008,9012,0,"2021/05/16 15:00:00","코어 기가스에게 1회 도전하자(전체 난이도 공통)",601,"2021/05/23 14:59:59",0
10039102,61039002,10039,10,61039002,0,6004,9004,0,"2021/05/16 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/05/23 14:59:59",0
101,61040001,10040,1,61040001,0,6008,9012,0,"2021/05/31 15:00:00","닌자 두목 한조에게 1회 도전하자(전체 난이도 공통)",601,"2021/06/14 14:59:59",0
102,61040002,10040,10,61040002,0,6004,9004,0,"2021/05/31 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/06/14 14:59:59",0
10041101,61041001,10041,1,61041001,0,6008,9012,0,"2021/06/17 15:00:00","아쿠다이칸에게 1회 도전하자(전체 난이도 공통)",601,"2021/06/24 14:59:59",0
10041102,61041002,10041,10,61041002,0,6004,9004,0,"2021/06/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/06/24 14:59:59",0
10042101,61042001,10042,1,61042001,0,6008,9012,0,"2021/07/01 15:00:00","흑의 왕 재버워크에게 1회 도전하자(전체 난이도 공통)",601,"2021/07/15 14:59:59",0
10042102,61042002,10042,10,61042002,0,6004,9004,0,"2021/07/01 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/07/15 14:59:59",0
10043101,61043001,10043,1,61043001,0,6008,9012,0,"2021/07/16 15:00:00","비의 신에게 1회 도전하자(전체 난이도 공통)",601,"2021/07/23 14:59:59",0
10043102,61043002,10043,10,61043002,0,6004,9004,0,"2021/07/16 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/07/23 14:59:59",0
10044101,61044001,10044,1,61044001,0,6008,9012,0,"2021/08/02 15:00:00","각성 바람기 별에게 1회 도전하자(전체 난이도 공통)",601,"2021/08/16 14:59:59",0
10044102,61044002,10044,10,61044002,0,6004,9004,0,"2021/08/02 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/08/16 14:59:59",0
10045101,61045001,10045,1,61045001,0,6008,9012,0,"2021/08/17 15:00:00","마지문에게 1회 도전하자(전체 난이도 공통)",601,"2021/08/24 14:59:59",0
10045102,61045002,10045,10,61045002,0,6004,9004,0,"2021/08/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/08/24 14:59:59",0
10046101,61046001,10046,1,61046001,0,6008,9012,0,"2021/09/01 15:00:00","물가의 폭군 사메키치에게 1회 도전하자(전체 난이도 공통)",601,"2021/09/15 14:59:59",0
10046102,61046002,10046,10,61046002,0,6004,9004,0,"2021/09/01 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/09/15 14:59:59",0
101,61047001,10047,1,61047001,0,6008,9012,0,"2021/09/17 15:00:00","느긋한 만드라고라에게 1회 도전하자(전체 난이도 공통)",601,"2021/09/24 14:59:59",0
102,61047002,10047,10,61047002,0,6004,9004,0,"2021/09/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/09/24 14:59:59",0
10048101,61048001,10048,1,61048001,0,6008,9012,0,"2021/10/02 15:00:00","폭주 이노센트 보우에게 1회 도전하자(전체 난이도 공통)",601,"2021/10/16 14:59:59",0
10048102,61048002,10048,10,61048002,0,6004,9004,0,"2021/10/02 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/10/16 14:59:59",0
10049101,61049001,10049,1,61049001,0,6008,9012,0,"2021/10/19 15:00:00","팬텀바론에게 1회 도전하자(전체 난이도 공통)",601,"2021/10/26 14:59:59",0
10049102,61049002,10049,10,61049002,0,6004,9004,0,"2021/10/19 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/10/26 14:59:59",0
10050101,61050001,10050,1,61050001,0,6008,9012,0,"2021/11/01 15:00:00","소리치는 공포의 고스트 파더에게 1회 도전하자(전체 난이도 공통)",601,"2021/11/15 14:59:59",0
10050102,61050002,10050,10,61050002,0,6004,9004,0,"2021/11/01 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/11/15 14:59:59",0
10051101,61051001,10051,1,61051001,0,6008,9012,0,"2021/11/17 15:00:00","모조 드래곤에게 1회 도전하자(전체 난이도 공통)",601,"2021/11/24 14:59:59",0
10051102,61051002,10051,10,61051002,0,6004,9004,0,"2021/11/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/11/24 14:59:59",0
10052101,61052001,10052,1,61052001,0,6008,9012,0,"2021/12/01 15:00:00","안티 비스트 de M에게 1회 도전하자(전체 난이도 공통)",601,"2021/12/15 14:59:59",0
10052102,61052002,10052,10,61052002,0,6004,9004,0,"2021/12/01 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/12/15 14:59:59",0
10053101,61053001,10053,1,61053001,0,6008,9012,0,"2021/12/10 15:00:00","페텔기우스에게 1회 도전하자(전체 난이도 공통)",601,"2021/12/21 14:59:59",0
10053102,61053002,10053,10,61053002,0,6004,9004,0,"2021/12/10 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2021/12/21 14:59:59",0
10054101,61054001,10054,1,61054001,0,6008,9012,0,"2021/12/30 15:00:00","도미네이티드 스노우맨에게 1회 도전하자(전체 난이도 공통)",601,"2022/01/13 14:59:59",0
10054102,61054002,10054,10,61054002,0,6004,9004,0,"2021/12/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/01/13 14:59:59",0
10055101,61055001,10055,1,61055001,0,6008,9012,0,"2022/01/15 15:00:00","순록 벤데타에게 1회 도전하자(전체 난이도 공통)",601,"2022/01/22 14:59:59",0
10055102,61055002,10055,10,61055002,0,6004,9004,0,"2022/01/15 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/01/22 14:59:59",0
10056101,61056001,10056,1,61056001,0,6008,9012,0,"2022/01/28 15:00:00","그레이트 툰누스에게 1회 도전하자(전체 난이도 공통)",601,"2022/02/11 14:59:59",0
10056102,61056002,10056,10,61056002,0,6004,9004,0,"2022/01/28 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/02/11 14:59:59",0
10057101,61057001,10057,1,61057001,0,6008,9012,0,"2022/02/14 15:00:00","산신령에게 1회 도전하자(전체 난이도 공통)",601,"2022/02/21 14:59:59",0
10057102,61057002,10057,10,61057002,0,6004,9004,0,"2022/02/14 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/02/21 14:59:59",0
10058101,61058001,10058,1,61058001,0,6008,9012,0,"2022/02/28 15:00:00","보스에게 1회 도전하자(전후편의 전체 난이도 공통)",601,"2022/03/20 14:59:59",0
10058102,61058002,10058,10,61058002,0,6004,9004,0,"2022/02/28 15:00:00","이벤트 퀘스트를 10회 클리어하자(전후편 공통)",601,"2022/03/20 14:59:59",0
10060101,61060001,10060,1,61060001,0,6008,9012,0,"2022/03/16 15:00:00","안티 비스트에게 1회 도전하자(전체 난이도 공통)",601,"2022/03/23 14:59:59",0
10060102,61060002,10060,10,61060002,0,6004,9004,0,"2022/03/16 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/03/23 14:59:59",0
10061101,61061001,10061,1,61061001,0,6008,9012,0,"2022/03/28 15:00:00","마물 공주에게 1회 도전하자(전체 난이도 공통)",601,"2022/04/11 14:59:59",0
10061102,61061002,10061,10,61061002,0,6004,9004,0,"2022/03/28 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/04/11 14:59:59",0
10062101,61062001,10062,1,61062001,0,6008,9012,0,"2022/04/07 15:00:00","보스에게 1회 도전하자(전후편의 전체 난이도 공통)",601,"2022/04/23 14:59:59",0
10062102,61062002,10062,10,61062002,0,6004,9004,0,"2022/04/07 15:00:00","이벤트 퀘스트를 10회 클리어하자(전후편 공통)",601,"2022/04/23 14:59:59",0
10064101,61064001,10064,1,61064001,0,6008,9012,0,"2022/04/28 15:00:00","이름도 없는 예술에게 1회 도전하자(전체 난이도 공통)",601,"2022/05/12 14:59:59",0
10064102,61064002,10064,10,61064002,0,6004,9004,0,"2022/04/28 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/05/12 14:59:59",0
10065101,61065001,10065,1,61065001,0,6008,9012,0,"2022/05/18 15:00:00","단짝X에게 1회 도전하자(전체 난이도 공통)",601,"2022/05/25 14:59:59",0
10065102,61065002,10065,10,61065002,0,6004,9004,0,"2022/05/18 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/05/25 14:59:59",0
10066101,61066001,10066,1,61066001,0,6008,9012,0,"2022/05/30 15:00:00","버스트ㆍ타임 라베에게 1회 도전하자(전체 난이도 공통)",601,"2022/06/13 14:59:59",0
10066102,61066002,10066,10,61066002,0,6004,9004,0,"2022/05/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/06/13 14:59:59",0
10067101,61067001,10067,1,61067001,0,6008,9012,0,"2022/06/17 15:00:00","닌자 두목 한조에게 1회 도전하자(전체 난이도 공통)",601,"2022/06/24 14:59:59",0
10067102,61067002,10067,10,61067002,0,6004,9004,0,"2022/06/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/06/24 14:59:59",0
10068101,61068001,10068,1,61068001,0,6008,9012,0,"2022/06/30 15:00:00","궁극의 장난감 왕 메가 토이킹에게 1회 도전하자(전체 난이도 공통)",601,"2022/07/14 14:59:59",0
10068102,61068002,10068,10,61068002,0,6004,9004,0,"2022/06/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/07/14 14:59:59",0
10069101,61069001,10069,1,61069001,0,6008,9012,0,"2022/07/18 15:00:00","흑의 왕 재버워크에게 1회 도전하자(전체 난이도 공통)",601,"2022/07/25 14:59:59",0
10069102,61069002,10069,10,61069002,0,6004,9004,0,"2022/07/18 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/07/25 14:59:59",0
10070101,61070001,10070,1,61070001,0,6008,9012,0,"2022/07/29 15:00:00","숙제에 1회 도전하자(전체 난이도 공통)",601,"2022/08/12 14:59:59",0
10070102,61070002,10070,10,61070002,0,6004,9004,0,"2022/07/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/08/12 14:59:59",0
10071101,61071001,10071,1,61071001,0,6008,9012,0,"2022/08/17 15:00:00","각성 바람기 별에게 1회 도전하자(전체 난이도 공통)",601,"2022/08/24 14:59:59",0
10071102,61071002,10071,10,61071002,0,6004,9004,0,"2022/08/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/08/24 14:59:59",0
10072101,61072001,10072,1,61072001,0,6008,9012,0,"2022/08/29 15:00:00","퀸 노래 해파리에게 1회 도전하자(전체 난이도 공통)",601,"2022/09/12 14:59:59",0
10072102,61072002,10072,10,61072002,0,6004,9004,0,"2022/08/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/09/12 14:59:59",0
10073101,61073001,10073,1,61073001,0,6008,9012,0,"2022/09/17 15:00:00","물가의 폭군 사메키치에게 1회 도전하자(전체 난이도 공통)",601,"2022/09/24 14:59:59",0
10073102,61073002,10073,10,61073002,0,6004,9004,0,"2022/09/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/09/24 14:59:59",0
10074101,61074001,10074,1,61074001,0,6008,9012,0,"2022/09/29 15:00:00","닥터 기글에게 1회 도전하자(전체 난이도 공통)",601,"2022/10/13 14:59:59",0
10074102,61074002,10074,10,61074002,0,6004,9004,0,"2022/09/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/10/13 14:59:59",0
10075101,61075001,10075,1,61075001,0,6008,9012,0,"2022/10/17 15:00:00","폭주 이노센트 보우에게 1회 도전하자(전체 난이도 공통)",601,"2022/10/24 14:59:59",0
10075102,61075002,10075,10,61075002,0,6004,9004,0,"2022/10/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/10/24 14:59:59",0
10076101,61076001,10076,1,61076001,0,6008,9012,0,"2022/10/31 15:00:00","슬프고 난폭한 솜사탕에게 1회 도전하자(전체 난이도 공통)",601,"2022/11/14 14:59:59",0
10076102,61076002,10076,10,61076002,0,6004,9004,0,"2022/10/31 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/11/14 14:59:59",0
10077101,61077001,10077,1,61077001,0,6008,9012,0,"2022/11/17 15:00:00","소리치는 공포의 고스트 파더에게 1회 도전하자(전체 난이도 공통)",601,"2022/11/24 14:59:59",0
10077102,61077002,10077,10,61077002,0,6004,9004,0,"2022/11/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/11/24 14:59:59",0
10078101,61078001,10078,1,61078001,0,6008,9012,0,"2022/12/01 15:00:00","안티 비스트 트리니티에게 1회 도전하자(전체 난이도 공통)",601,"2022/12/15 14:59:59",0
10078102,61078002,10078,10,61078002,0,6004,9004,0,"2022/12/01 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/12/15 14:59:59",0
10079101,61079001,10079,1,61079001,0,6008,9012,0,"2022/12/17 15:00:00","안티 비스트 de M에게 1회 도전하자(전체 난이도 공통)",601,"2022/12/24 14:59:59",0
10079102,61079002,10079,10,61079002,0,6004,9004,0,"2022/12/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2022/12/24 14:59:59",0
10080101,61080001,10080,1,61080001,0,6008,9012,0,"2022/12/29 15:00:00","외톨이 크리스마스이브의 요정에게 1회 도전하자(전체 난이도 공통)",601,"2023/01/12 14:59:59",0
10080102,61080002,10080,10,61080002,0,6004,9004,0,"2022/12/29 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2023/01/12 14:59:59",0
10081101,61081001,10081,1,61081001,0,6008,9012,0,"2023/01/15 15:00:00","도미네이티드 스노우맨에게 1회 도전하자(전체 난이도 공통)",601,"2023/01/24 14:59:59",0
10081102,61081002,10081,10,61081002,0,6004,9004,0,"2023/01/15 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2023/01/24 14:59:59",0
10082101,61082001,10082,1,61082001,0,6008,9012,0,"2023/01/30 15:00:00","간악한 소의 신 모몽에게 1회 도전하자(전체 난이도 공통)",601,"2023/02/17 14:59:59",0
10082102,61082002,10082,10,61082002,0,6004,9004,0,"2023/01/30 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2023/02/17 14:59:59",0
10083101,61083001,10083,1,61083001,0,6008,9012,0,"2023/02/17 15:00:00","그레이트 툰누스에게 1회 도전하자(전체 난이도 공통)",601,"2023/02/26 14:59:59",0
10083102,61083002,10083,10,61083002,0,6004,9004,0,"2023/02/17 15:00:00","이벤트 퀘스트를 10회 클리어하자",601,"2023/02/26 14:59:59",0
10084101,61084001,10084,1,61084001,0,6008,9012,0,"2023/03/02 15:00:00","【전편】보스에게 1회 도전하자(전후편의 전체 난이도 공통)",601,"2023/03/26 14:59:59",0
10084102,61084002,10084,10,61084002,0,6004,9004,0,"2023/03/02 15:00:00","【전편】이벤트 퀘스트를 10회 클리어하자(전후편 공통)",601,"2023/03/26 14:59:59",0
10085101,61085001,10084,1,61085001,0,6008,9012,0,"2023/03/09 15:00:00","【후편】보스에게 1회 도전하자(전후편의 전체 난이도 공통)",601,"2023/03/26 14:59:59",0
10085102,61085002,10084,10,61085002,0,6004,9004,0,"2023/03/09 15:00:00","【후편】이벤트 퀘스트를 10회 클리어하자(전후편 공통)",601,"2023/03/26 14:59:59",0
