unit_id,bg_id,unit_name,face_type
129031,510124,"시온 에리",4
129631,510440,"이치게 보탄",2
129731,510082,"시키바 네라",2
129831,510220,"아키 마코토",1
129931,510240,"쿠라이시 에리코",4
130031,510300,"반데이 야마토",2
130131,510221,"반데이 와카나",4
130231,510300,"반데이 후부키",4
130731,510390,"히카와 쿄우카",4
130831,510170,"아마노 스즈메",4
130931,510070,"우나카 쿠루루",4
131031,510320,"히메미야 마호",4
131131,510030,"시키바 네아",2
131231,510360,"나가레 미소라",2
131631,510080,"토쿠가와 리리",2
131831,510124,"토오노 호마레",4
132231,510080,"사쿠라이 노조미",9
132831,510091,"바라키 에루",4
132931,510110,"하세쿠라 이오",2
133031,510124,"카스카노 카스리",4
133231,510290,"모니카 바이스빈트",4
133531,510103,"사사키 사렌",4
133631,510280,"메두사",2
133731,510120,"모사쿠지 아키라",2
133931,510201,"크리스티나 모건",4
180131,510121,"하루사키 히요리",4
180231,510350,"쿠사노 유이",2
180331,510100,"시죠 레이",2
180431,510350,"유스티아나 폰 아스트라이아",4
180531,510100,"나츠메 코코로",2
180631,510351,"모모치 키루야",2
180731,510070,"카시와자키 하츠네＆카시와자키 시오리",2
180831,510400,"호다카 미소기＆아카네 미미＆히카와 쿄우카",2
180931,510202,"토도 아키노＆사사키 사렌",2
181131,510100,"호시노 시즈루＆이노사키 리노",2
181231,510100,"아가토 시후나",2
