rank,enhance_level,total_point,needed_mana,needed_point,equip_slot
7,135,13740,600,250,1
7,136,13990,600,250,1
7,137,14240,600,250,1
7,138,14490,600,250,1
7,139,14740,600,250,1
7,140,14990,600,250,1
8,141,15240,600,250,1
8,142,15490,600,250,1
8,143,15740,600,250,1
8,144,15990,600,250,1
8,145,16240,600,250,1
8,146,16490,600,250,1
8,147,16740,600,250,1
8,148,16990,600,250,1
8,149,17240,600,250,1
8,150,17490,600,250,1
9,151,17740,600,250,1
9,152,17990,600,250,1
9,153,18240,600,250,1
9,154,18490,600,250,1
9,155,18740,600,250,1
9,156,18990,600,250,1
9,157,19240,600,250,1
9,158,19490,600,250,1
9,159,19740,600,250,1
9,160,19990,600,250,1
10,161,20240,600,250,1
10,162,20490,600,250,1
10,163,20740,600,250,1
10,164,20990,600,250,1
10,165,21240,600,250,1
10,166,21490,600,250,1
10,167,21740,600,250,1
10,168,21990,600,250,1
10,169,22240,600,250,1
10,170,22490,600,250,1
11,171,22740,600,250,1
11,172,22990,600,250,1
11,173,23240,600,250,1
11,174,23490,600,250,1
11,175,23740,600,250,1
11,176,23990,600,250,1
11,177,24240,600,250,1
11,178,24490,600,250,1
11,179,24740,600,250,1
11,180,24990,600,250,1
12,181,25240,600,250,1
12,182,25490,600,250,1
12,183,25740,600,250,1
12,184,25990,600,250,1
12,185,26240,600,250,1
12,186,26490,600,250,1
12,187,26740,600,250,1
12,188,26990,600,250,1
12,189,27240,600,250,1
12,190,27490,600,250,1
13,191,27740,600,250,1
13,192,27990,600,250,1
13,193,28240,600,250,1
13,194,28490,600,250,1
13,195,28740,600,250,1
13,196,28990,600,250,1
13,197,29240,600,250,1
13,198,29490,600,250,1
13,199,29740,600,250,1
13,200,29990,600,250,1
14,201,30240,600,250,1
14,202,30490,600,250,1
14,203,30740,600,250,1
14,204,30990,600,250,1
14,205,31240,600,250,1
14,206,31490,600,250,1
14,207,31740,600,250,1
14,208,31990,600,250,1
14,209,32240,600,250,1
14,210,32490,600,250,1
15,211,32740,680,250,1
15,212,32990,680,250,1
15,213,33240,680,250,1
15,214,33490,680,250,1
15,215,33740,680,250,1
15,216,33990,680,250,1
15,217,34240,680,250,1
15,218,34490,680,250,1
15,219,34740,680,250,1
15,220,34990,680,250,1
16,221,35240,680,250,1
16,222,35490,680,250,1
16,223,35740,680,250,1
16,224,35990,680,250,1
16,225,36240,680,250,1
16,226,36490,680,250,1
16,227,36740,680,250,1
16,228,36990,680,250,1
16,229,37240,680,250,1
16,230,37490,680,250,1
17,231,37740,680,250,1
17,232,37990,680,250,1
17,233,38240,680,250,1
17,234,38490,680,250,1
17,235,38740,680,250,1
17,236,38990,680,250,1
17,237,39240,680,250,1
17,238,39490,680,250,1
17,239,39740,680,250,1
17,240,39990,680,250,1
18,241,40240,680,250,1
18,242,40490,680,250,1
18,243,40740,680,250,1
18,244,40990,680,250,1
18,245,41240,680,250,1
18,246,41490,680,250,1
18,247,41740,680,250,1
18,248,41990,680,250,1
18,249,42240,680,250,1
18,250,42490,680,250,1
19,251,42740,680,250,1
19,252,42990,680,250,1
19,253,43240,680,250,1
19,254,43490,680,250,1
19,255,43740,680,250,1
19,256,43990,680,250,1
19,257,44240,680,250,1
19,258,44490,680,250,1
19,259,44740,680,250,1
19,260,44990,680,250,1
20,261,45240,680,250,1
20,262,45490,680,250,1
20,263,45740,680,250,1
20,264,45990,680,250,1
20,265,46240,680,250,1
20,266,46490,680,250,1
20,267,46740,680,250,1
20,268,46990,680,250,1
20,269,47240,680,250,1
20,270,47490,680,250,1
21,271,47740,680,250,1
21,272,47990,680,250,1
21,273,48240,680,250,1
21,274,48490,680,250,1
21,275,48740,680,250,1
21,276,48990,680,250,1
21,277,49240,680,250,1
21,278,49490,680,250,1
21,279,49740,680,250,1
21,280,49990,680,250,1
22,281,50240,680,250,1
22,282,50490,680,250,1
22,283,50740,680,250,1
22,284,50990,680,250,1
22,285,51240,680,250,1
22,286,51490,680,250,1
22,287,51740,680,250,1
22,288,51990,680,250,1
22,289,52240,680,250,1
22,290,52490,680,250,1
23,291,52740,680,250,1
23,292,52990,680,250,1
23,293,53240,680,250,1
23,294,53490,680,250,1
23,295,53740,680,250,1
23,296,53990,680,250,1
23,297,54240,680,250,1
23,298,54490,680,250,1
23,299,54740,680,250,1
23,300,54990,680,250,1
24,301,55240,680,250,1
24,302,55490,680,250,1
24,303,55740,680,250,1
24,304,55990,680,250,1
24,305,56240,680,250,1
24,306,56490,680,250,1
24,307,56740,680,250,1
24,308,56990,680,250,1
24,309,57240,680,250,1
24,310,57490,680,250,1
25,311,57740,680,250,1
25,312,57990,680,250,1
25,313,58240,680,250,1
25,314,58490,680,250,1
25,315,58740,680,250,1
25,316,58990,680,250,1
25,317,59240,680,250,1
25,318,59490,680,250,1
25,319,59740,680,250,1
25,320,59990,680,250,1
26,321,60240,680,250,1
26,322,60490,680,250,1
26,323,60740,680,250,1
26,324,60990,680,250,1
26,325,61240,680,250,1
26,326,61490,680,250,1
26,327,61740,680,250,1
26,328,61990,680,250,1
26,329,62240,680,250,1
26,330,62490,680,250,1
27,331,62740,680,250,1
27,332,62990,680,250,1
27,333,63240,680,250,1
27,334,63490,680,250,1
27,335,63740,680,250,1
27,336,63990,680,250,1
27,337,64240,680,250,1
27,338,64490,680,250,1
27,339,64740,680,250,1
27,340,64990,680,250,1
1,0,50,200000,50,2
1,1,60,500000,10,2
1,2,75,500000,15,2
1,3,95,500000,20,2
1,4,120,500000,25,2
1,5,150,500000,30,2
