tips_index,value,id,title
1,122301,4122301,"최강이고♪"
1,123001,4123001,"탱글탱글 탱글탱글"
1,123101,4123101,"팔랑팔랑 빙그르르"
1,123201,4123201,"소풍 기분으로"
1,123301,4123301,"눈의 보양"
1,123801,4123801,"사정없이"
1,123901,4123901,"●비밀 도감● ①마츠리"
1,125101,4125101,"행복의 카페"
1,125201,4125201,"과자에 둘러싸여"
1,125301,4125301,"주인님과 함께"
1,125401,4125401,"꿈꾸는"
1,125501,4125501,"마법으로 좀 더 연구"
1,125601,4125601,"이상적인 나"
1,125701,4125701,"신기한 가방"
1,125801,4125801,"역시 오라버니세요"
1,126001,4126001,"입만큼 말한다"
1,126101,4126101,"킁킁"
1,126201,4126201,"달 아래에 노래하는"
1,126301,4126301,"미를 통치하는 자"
1,126401,4126401,"엠티"
1,126501,4126501,"몰래 훔쳐 먹기"
1,127201,4127201,"그럴듯해"
1,127301,4127301,"함께 청춘을"
1,127501,4127501,"수많은 기념품"
1,127601,4127601,"기능적이지만…"
1,127701,4127701,"풀 서비스"
1,127801,4127801,"셀프서비스"
1,129001,4129001,"질 수 없어"
1,129601,4129601,"빈틈없음"
1,129701,4129701,"존귀한 것"
1,129801,4129801,"교관 명령!"
1,129901,4129901,"상으로"
1,130001,4130001,"도박장"
1,130101,4130101,"아침의 소리"
1,130201,4130201,"늘어난다~"
1,130701,4130701,"꽃의 요정님"
1,130801,4130801,"이 아닌 나"
1,130901,4130901,"기념품 증정"
1,131001,4131001,"마호마호 왕국 SHOW"
1,132201,4132201,"냄새 보충 중"
1,133001,4133001,"사용하고 계신 단말기는 정상입니다"
1,133601,4133601,"마안의 힘"
1,180101,4180101,"가위바위보 타임!"
1,180201,4180201,"꼬륵꼬륵"
1,180301,4180301,"지키는 힘"
1,180401,4180401,"파워업☆"
1,180501,4180501,"둥실둥실"
1,180601,4180601,"구호"
1,180701,4180701,"나의 색"
1,180801,4180801,"셋이서 언제나"
1,180901,4180901,"두 사람 함께라면"
1,181001,4181001,"변함없는 것"
1,181101,4181101,"자매다운 점"
1,181201,4181201,"테이스팅"
