boss_id,event_boss_treasure_box_id,must_kill_flag,map_depth,detail_offset_y,detail_scale,reward_gold_coefficient,reward_gold_limit,map_offset_x,map_offset_y,enemy_identify,event_id,detail_offset_x,map_scale
1011503,10115301,1,10,-50,0.92,0.03,100000,-13,-25,1,10115,0,0.84
1011503,0,0,0,-50,0.8,0.0,100000,13,-25,2,10115,0,0.7
1011504,10115401,1,10,-50,0.92,0.03,100000,-17,-30,1,10115,0,0.7
1011504,0,0,0,-50,0.8,0.0,100000,30,-30,2,10115,0,0.6
1011505,0,1,10,-50,0.92,0.03,100000,-17,-30,1,10115,0,0.7
1011505,0,0,0,-50,0.8,0.0,100000,30,-30,2,10115,0,0.6
2004801,0,1,10,-50,0.92,0.03,100000,-13,-25,1,20048,0,0.84
2004801,0,0,0,-50,0.8,0.0,100000,13,-25,2,20048,0,0.7
2004802,0,1,10,-50,0.92,0.03,100000,-13,-25,1,20048,0,0.84
2004802,0,0,0,-50,0.8,0.0,100000,13,-25,2,20048,0,0.7
2004803,0,1,10,-50,0.92,0.03,100000,-13,-25,1,20048,0,0.84
2004803,0,0,0,-50,0.8,0.0,100000,13,-25,2,20048,0,0.7
