enemy_id_3,enemy_id_2,enemy_id_4,wave_group_id,odds,enemy_id_1,enemy_id_5,id
710008503,710008502,710008504,710200851,100,710008501,710008505,710000085
710008603,710008602,710008604,710200861,100,710008601,710008605,710000086
710008702,710008703,710008704,710200871,100,710008701,710008705,710000087
710008803,710008802,710008804,710200881,100,710008801,710008805,710000088
710008903,710008902,710008904,710200891,100,710008901,710008905,710000089
710009002,710009001,710009003,710200901,100,710009001,710009004,710000090
710009103,710009102,710009104,710200911,100,710009101,710009105,710000091
710009203,710009202,710009204,710200921,100,710009201,710009205,710000092
710009304,710009302,710009303,710200931,100,710009301,710009305,710000093
710009403,710009402,710009404,710200941,100,710009401,710009405,710000094
710009502,710009504,710009503,710200951,100,710009501,710009505,710000095
710009603,710009602,710009604,710200961,100,710009601,710009605,710000096
710009703,710009702,710009704,710200971,100,710009701,710009705,710000097
710009801,710009802,710009804,710200981,100,710009803,710009805,710000098
710009903,710009902,710009904,710200991,100,710009901,710009905,710000099
710010002,710010001,710010004,710201001,100,710010001,710010003,710000100
710010103,710010102,710010104,710201011,100,710010101,710010105,710000101
710010202,710010203,710010204,710201021,100,710010201,710010205,710000102
710010303,710010302,710010304,710201031,100,710010301,710010305,710000103
710010403,710010402,710010404,710201041,100,710010401,710010405,710000104
710010503,710010502,710010504,710201051,100,710010501,710010505,710000105
710010603,710010602,710010604,710201061,100,710010601,710010605,710000106
710010703,710010701,710010702,710201071,100,710010704,710010705,710000107
710010803,710010802,710010804,710201081,100,710010801,710010805,710000108
710010903,710010902,710010904,710201091,100,710010901,710010905,710000109
710011002,710011001,710011003,710201101,100,710011001,710011004,710000110
710011104,710011103,710011102,710301111,100,710011101,710011105,710000111
710011202,710011201,710011204,710301121,100,710011203,710011205,710000112
710011304,710011301,710011302,710301131,100,710011303,710011305,710000113
710011403,710011401,710011404,710301141,100,710011402,710011405,710000114
710011504,710011503,710011502,710301151,100,710011501,710011505,710000115
710011602,710011603,710011604,710301161,100,710011601,710011605,710000116
710011702,710011703,710011704,710301171,100,710011701,710011705,710000117
710011803,710011802,710011804,710301181,100,710011801,710011805,710000118
710011904,710011903,710011902,710301191,100,710011901,710011905,710000119
710012002,710012001,710012003,710301201,100,710012001,710012004,710000120
710012105,710012104,710012102,710301211,100,710012101,710012103,710000121
710012202,710012201,710012204,710301221,100,710012203,710012205,710000122
710012303,710012302,710012304,710301231,100,710012301,710012305,710000123
710012405,710012402,710012404,710301241,100,710012401,710012403,710000124
710012503,710012502,710012505,710301251,100,710012501,710012504,710000125
710012603,710012604,710012602,710301261,100,710012601,710012605,710000126
710012703,710012702,710012704,710301271,100,710012701,710012705,710000127
710012804,710012803,710012802,710301281,100,710012801,710012805,710000128
710012901,710012904,710012902,710301291,100,710012903,710012905,710000129
710013002,710013001,710013003,710301301,100,710013001,710013004,710000130
710013103,710013102,710013104,710401311,100,710013101,710013105,710000131
710013203,710013202,710013204,710401321,100,710013201,710013205,710000132
710013303,710013302,710013304,710401331,100,710013301,710013305,710000133
710013403,710013402,710013404,710401341,100,710013401,710013405,710000134
710013503,710013502,710013504,710401351,100,710013501,710013505,710000135
710013603,710013602,710013604,710401361,100,710013601,710013605,710000136
710013703,710013702,710013704,710401371,100,710013701,710013705,710000137
710013804,710013802,710013805,710401381,100,710013801,710013803,710000138
710013903,710013902,710013904,710401391,100,710013901,710013905,710000139
710014002,710014001,710014003,710401401,100,710014001,710014004,710000140
710014103,710014102,710014104,710401411,100,710014101,710014105,710000141
710014202,710014201,710014203,710401421,100,710014204,710014205,710000142
710014302,710014304,710014303,710401431,100,710014301,710014305,710000143
710014403,710014402,710014404,710401441,100,710014401,710014405,710000144
710014502,710014503,710014504,710401451,100,710014501,710014505,710000145
710014603,710014602,710014604,710401461,100,710014601,710014605,710000146
710014703,710014702,710014704,710401471,100,710014701,710014705,710000147
710014803,710014802,710014804,710401481,100,710014801,710014805,710000148
710014903,710014902,710014904,710401491,100,710014901,710014905,710000149
710015002,710015001,710015003,710401501,100,710015001,710015004,710000150
710015101,710015103,710015104,710501511,100,710015102,710015105,710000151
710015201,710015204,710015203,710501521,100,710015202,710015205,710000152
710015303,710015302,710015304,710501531,100,710015301,710015305,710000153
710015403,710015402,710015404,710501541,100,710015401,710015405,710000154
710015505,710015503,710015502,710501551,100,710015501,710015504,710000155
710015604,710015602,710015603,710501561,100,710015601,710015605,710000156
710015702,710015701,710015704,710501571,100,710015703,710015705,710000157
710015802,710015804,710015805,710501581,100,710015801,710015803,710000158
710015903,710015902,710015904,710501591,100,710015901,710015905,710000159
710016002,710016001,710016003,710501601,100,710016001,710016004,710000160
710016104,710016102,710016103,710501611,100,710016101,710016105,710000161
710016203,710016202,710016204,710501621,100,710016201,710016205,710000162
710016303,710016302,710016304,710501631,100,710016301,710016305,710000163
710016403,710016402,710016404,710501641,100,710016401,710016405,710000164
710016503,710016501,710016504,710501651,100,710016502,710016505,710000165
710016602,710016603,710016605,710501661,100,710016601,710016604,710000166
710016703,710016701,710016704,710501671,100,710016702,710016705,710000167
710016803,710016802,710016804,710501681,100,710016801,710016805,710000168
710016902,710016903,710016904,710501691,100,710016901,710016905,710000169
710017002,710017001,710017003,710501701,100,710017001,710017004,710000170
710017102,710017101,710017104,710601711,100,710017103,710017105,710000171
710017204,710017201,710017202,710601721,100,710017203,710017205,710000172
710017304,710017303,710017302,710601731,100,710017301,710017305,710000173
710017402,710017403,710017404,710601741,100,710017401,710017405,710000174
710017502,710017501,710017504,710601751,100,710017503,710017505,710000175
710017604,710017601,710017602,710601761,100,710017603,710017605,710000176
710017704,710017701,710017702,710601771,100,710017703,710017705,710000177
710017802,710017801,710017804,710601781,100,710017803,710017805,710000178
710017901,710017904,710017902,710601791,100,710017903,710017905,710000179
710018005,710018004,710018003,710601801,100,710018001,710018002,710000180
710018101,710018103,710018102,710601811,100,710018103,710018104,710000181
710018201,710018204,710018202,710601821,100,710018203,710018205,710000182
710018301,710018303,710018302,710601831,100,710018303,710018304,710000183
710018402,710018401,710018404,710601841,100,710018403,710018405,710000184
710018502,710018501,710018504,710601851,100,710018503,710018505,710000185
710018604,710018601,710018602,710601861,100,710018603,710018605,710000186
710018704,710018701,710018702,710601871,100,710018703,710018705,710000187
710018804,710018801,710018802,710601881,100,710018803,710018805,710000188
710018904,710018901,710018902,710601891,100,710018903,710018905,710000189
710019002,710019001,710019003,710601901,100,710019004,710019005,710000190
710019103,710019102,710019104,710701911,100,710019101,710019105,710000191
710019203,710019202,710019204,710701921,100,710019201,710019205,710000192
710019303,710019302,710019304,710701931,100,710019301,710019305,710000193
710019403,710019402,710019404,710701941,100,710019401,710019405,710000194
710019503,710019502,710019504,710701951,100,710019501,710019505,710000195
710019603,710019602,710019604,710701961,100,710019601,710019605,710000196
710019703,710019702,710019704,710701971,100,710019701,710019705,710000197
710019803,710019802,710019804,710701981,100,710019801,710019805,710000198
710019903,710019902,710019904,710701991,100,710019901,710019905,710000199
710020003,710020002,710020004,710702001,100,710020001,710020005,710000200
710020103,710020102,710020104,710702011,100,710020101,710020105,710000201
710020203,710020202,710020204,710702021,100,710020201,710020205,710000202
710020303,710020302,710020304,710702031,100,710020301,710020305,710000203
710020403,710020402,710020404,710702041,100,710020401,710020405,710000204
710020503,710020502,710020504,710702051,100,710020501,710020505,710000205
710020603,710020602,710020604,710702061,100,710020601,710020605,710000206
710020703,710020702,710020704,710702071,100,710020701,710020705,710000207
710020803,710020802,710020804,710702081,100,710020801,710020805,710000208
710020903,710020902,710020904,710702091,100,710020901,710020905,710000209
710021003,710021002,710021004,710702101,100,710021001,710021005,710000210
710021103,710021102,710021104,710802111,100,710021101,710021105,710000211
710021203,710021202,710021204,710802121,100,710021201,710021205,710000212
710021303,710021302,710021304,710802131,100,710021301,710021305,710000213
710021403,710021402,710021404,710802141,100,710021401,710021405,710000214
710021503,710021502,710021504,710802151,100,710021501,710021505,710000215
710021603,710021602,710021604,710802161,100,710021601,710021605,710000216
710021703,710021702,710021704,710802171,100,710021701,710021705,710000217
710021803,710021802,710021804,710802181,100,710021801,710021805,710000218
710021903,710021902,710021904,710802191,100,710021901,710021905,710000219
710022001,710022003,710022004,710802201,100,710022002,0,710000220
710022103,710022102,710022104,710802211,100,710022101,710022105,710000221
710022203,710022202,710022204,710802221,100,710022201,710022205,710000222
710022303,710022302,710022304,710802231,100,710022301,710022305,710000223
710022403,710022402,710022404,710802241,100,710022401,710022405,710000224
710022503,710022502,710022504,710802251,100,710022501,710022505,710000225
710022603,710022602,710022604,710802261,100,710022601,710022605,710000226
710022703,710022702,710022704,710802271,100,710022701,710022705,710000227
710022803,710022802,710022804,710802281,100,710022801,710022805,710000228
710022903,710022902,710022904,710802291,100,710022901,710022905,710000229
710023001,710023002,710023004,710802301,100,710023003,0,710000230
710023103,710023102,710023104,710902311,100,710023101,710023105,710000231
710023203,710023202,710023204,710902321,100,710023201,710023205,710000232
710023303,710023302,710023304,710902331,100,710023301,710023305,710000233
710023403,710023402,710023404,710902341,100,710023401,710023405,710000234
710023503,710023502,710023504,710902351,100,710023501,710023505,710000235
710023603,710023602,710023604,710902361,100,710023601,710023605,710000236
710023703,710023702,710023704,710902371,100,710023701,710023705,710000237
710023803,710023802,710023804,710902381,100,710023801,710023805,710000238
710023903,710023902,710023904,710902391,100,710023901,710023905,710000239
710024003,710024002,710024004,710902401,100,710024001,0,710000240
710024103,710024102,710024104,710902411,100,710024101,710024105,710000241
710024203,710024202,710024204,710902421,100,710024201,710024205,710000242
710024303,710024302,710024304,710902431,100,710024301,710024305,710000243
710024403,710024402,710024404,710902441,100,710024401,710024405,710000244
710024503,710024502,710024504,710902451,100,710024501,710024505,710000245
710024603,710024602,710024604,710902461,100,710024601,710024605,710000246
710024703,710024702,710024704,710902471,100,710024701,710024705,710000247
710024803,710024802,710024804,710902481,100,710024801,710024805,710000248
710024903,710024902,710024904,710902491,100,710024901,710024905,710000249
710025003,710025002,710025004,710902501,100,710025001,0,710000250
710025103,710025102,710025104,711002511,100,710025101,710025105,710000251
710025203,710025202,710025204,711002521,100,710025201,710025205,710000252
710025303,710025302,710025304,711002531,100,710025301,710025305,710000253
710025403,710025402,710025404,711002541,100,710025401,710025405,710000254
710025503,710025502,710025504,711002551,100,710025501,710025505,710000255
710025603,710025602,710025604,711002561,100,710025601,710025605,710000256
710025703,710025702,710025704,711002571,100,710025701,710025705,710000257
710025803,710025802,710025804,711002581,100,710025801,710025805,710000258
710025903,710025902,710025904,711002591,100,710025901,710025905,710000259
710026003,710026002,710026004,711002601,100,710026001,0,710000260
710026103,710026102,710026104,711002611,100,710026101,710026105,710000261
710026203,710026202,710026204,711002621,100,710026201,710026205,710000262
710026303,710026301,710026304,711002631,100,710026302,710026305,710000263
710026403,710026402,710026404,711002641,100,710026401,710026405,710000264
710026504,710026502,710026503,711002651,100,710026501,710026505,710000265
710026603,710026602,710026604,711002661,100,710026601,710026605,710000266
710026703,710026702,710026704,711002671,100,710026701,710026705,710000267
710026803,710026802,710026804,711002681,100,710026801,710026805,710000268
710026903,710026902,710026904,711002691,100,710026901,710026905,710000269
710027003,710027002,710027004,711002701,100,710027001,710027005,710000270
710027104,710027102,710027103,711102711,100,710027101,710027105,710000271
710027203,710027202,710027205,711102721,100,710027201,710027204,710000272
710027303,710027302,710027304,711102731,100,710027301,710027305,710000273
710027403,710027402,710027404,711102741,100,710027401,710027405,710000274
710027502,710027503,710027504,711102751,100,710027501,710027505,710000275
710027604,710027601,710027603,711102761,100,710027602,710027605,710000276
710027704,710027702,710027703,711102771,100,710027701,710027705,710000277
710027803,710027802,710027804,711102781,100,710027801,710027805,710000278
710027904,710027901,710027905,711102791,100,710027901,710027902,710000279
710028003,710028002,710028004,711102801,100,710028001,0,710000280
710028103,710028102,710028104,711102811,100,710028101,710028105,710000281
710028202,710028203,710028204,711102821,100,710028201,710028205,710000282
710028301,710028304,710028302,711102831,100,710028303,710028305,710000283
710028404,710028402,710028403,711102841,100,710028401,710028405,710000284
710028504,710028501,710028502,711102851,100,710028503,710028505,710000285
710028602,710028603,710028605,711102861,100,710028601,710028604,710000286
710028704,710028703,710028702,711102871,100,710028701,710028705,710000287
710028802,710028803,710028804,711102881,100,710028801,710028805,710000288
710028904,710028902,710028903,711102891,100,710028901,710028905,710000289
710029003,710029002,710029004,711102901,100,710029001,710029005,710000290
710029104,710029102,710029103,711202911,100,710029101,710029105,710000291
710029204,710029202,710029203,711202921,100,710029201,710029205,710000292
710029303,710029302,710029304,711202931,100,710029301,710029305,710000293
710029403,710029402,710029404,711202941,100,710029401,710029405,710000294
710029503,710029502,710029504,711202951,100,710029501,710029505,710000295
710029603,710029602,710029604,711202961,100,710029601,710029605,710000296
710029703,710029702,710029704,711202971,100,710029701,710029705,710000297
710029804,710029802,710029803,711202981,100,710029801,710029805,710000298
710029905,710029904,710029902,711202991,100,710029901,710029903,710000299
710030003,710030002,710030001,711203001,100,710030004,0,710000300
710030104,710030102,710030103,711203011,100,710030101,710030105,710000301
710030204,710030203,710030202,711203021,100,710030201,710030205,710000302
710030304,710030303,710030302,711203031,100,710030301,710030305,710000303
710030403,710030402,710030404,711203041,100,710030401,710030405,710000304
710030504,710030501,710030502,711203051,100,710030503,710030505,710000305
710030603,710030601,710030604,711203061,100,710030602,710030605,710000306
710030704,710030703,710030702,711203071,100,710030701,710030705,710000307
710030803,710030802,710030804,711203081,100,710030801,710030805,710000308
710030903,710030902,710030904,711203091,100,710030901,710030905,710000309
710031002,710031001,710031003,711203101,100,710031004,710031005,710000310
710031102,710031104,710031103,711303111,100,710031101,710031105,710000311
710031203,710031202,710031204,711303121,100,710031201,710031205,710000312
710031304,710031302,710031303,711303131,100,710031301,710031305,710000313
710031404,710031402,710031403,711303141,100,710031401,710031405,710000314
710031502,710031503,710031504,711303151,100,710031501,710031505,710000315
710031604,710031601,710031603,711303161,100,710031602,710031605,710000316
710031704,710031702,710031703,711303171,100,710031701,710031705,710000317
710031803,710031801,710031805,711303181,100,710031802,710031804,710000318
710031902,710031904,710031905,711303191,100,710031901,710031903,710000319
710032003,710032002,710032004,711303201,100,710032001,0,710000320
710032103,710032102,710032104,711303211,100,710032101,710032105,710000321
710032204,710032203,710032202,711303221,100,710032201,710032205,710000322
710032302,710032301,710032304,711303231,100,710032303,710032305,710000323
710032404,710032402,710032403,711303241,100,710032401,710032405,710000324
710032501,710032504,710032502,711303251,100,710032503,710032505,710000325
710032603,710032602,710032604,711303261,100,710032601,710032605,710000326
710032702,710032703,710032704,711303271,100,710032701,710032705,710000327
710032804,710032801,710032803,711303281,100,710032802,710032805,710000328
710032903,710032902,710032904,711303291,100,710032901,710032905,710000329
710033005,710033002,710033004,711303301,100,710033001,710033003,710000330
710033102,710033101,710033104,711403311,100,710033103,710033105,710000331
710033204,710033201,710033202,711403321,100,710033203,710033205,710000332
710033302,710033301,710033304,711403331,100,710033303,710033305,710000333
710033404,710033403,710033402,711403341,100,710033401,710033405,710000334
710033501,710033504,710033502,711403351,100,710033503,710033505,710000335
710033602,710033601,710033604,711403361,100,710033603,710033605,710000336
710033702,710033701,710033704,711403371,100,710033703,710033705,710000337
710033801,710033804,710033802,711403381,100,710033803,710033805,710000338
710033901,710033904,710033902,711403391,100,710033903,710033905,710000339
710034003,710034005,710034002,711403401,100,710034001,0,710000340
710034101,710034104,710034102,711403411,100,710034103,710034105,710000341
710034204,710034201,710034202,711403421,100,710034203,710034205,710000342
710034304,710034301,710034302,711403431,100,710034303,710034305,710000343
710034404,710034401,710034402,711403441,100,710034403,710034405,710000344
710034501,710034503,710034502,711403451,100,710034503,710034504,710000345
710034604,710034601,710034602,711403461,100,710034603,710034605,710000346
710034704,710034701,710034702,711403471,100,710034703,710034705,710000347
710034804,710034801,710034802,711403481,100,710034803,710034805,710000348
710034904,710034901,710034902,711403491,100,710034903,710034905,710000349
710035002,710035001,710035003,711403501,100,710035004,710035005,710000350
710035104,710035103,710035102,711503511,100,710035101,710035105,710000351
710035204,710035201,710035202,711503521,100,710035203,710035205,710000352
710035304,710035301,710035305,711503531,100,710035303,710035302,710000353
710035404,710035401,710035402,711503541,100,710035403,710035405,710000354
710035502,710035501,710035504,711503551,100,710035503,710035505,710000355
710035604,710035601,710035602,711503561,100,710035603,710035605,710000356
710035704,710035703,710035705,711503571,100,710035701,710035702,710000357
710035804,710035801,710035802,711503581,100,710035803,710035805,710000358
710035904,710035901,710035905,711503591,100,710035903,710035902,710000359
710036002,710036001,710036003,711503601,100,710036004,710036005,710000360
710036104,710036101,710036105,711603611,100,710036103,710036102,710000361
710036204,710036201,710036202,711603621,100,710036203,710036205,710000362
710036304,710036301,710036305,711603631,100,710036303,710036302,710000363
710036402,710036401,710036404,711603641,100,710036403,710036405,710000364
710036501,710036504,710036502,711603651,100,710036503,710036505,710000365
710036602,710036601,710036604,711603661,100,710036603,710036605,710000366
710036702,710036703,710036704,711603671,100,710036701,710036705,710000367
710036801,710036804,710036802,711603681,100,710036803,710036805,710000368
710036901,710036904,710036902,711603691,100,710036903,710036905,710000369
710037002,710037004,710037003,711603701,100,710037001,710037005,710000370
710037104,710037103,710037102,711703711,100,710037101,710037105,710000371
710037204,710037203,710037202,711703721,100,710037201,710037205,710000372
710037304,710037301,710037302,711703731,100,710037303,710037305,710000373
710037404,710037401,710037402,711703741,100,710037403,710037405,710000374
710037504,710037501,710037502,711703751,100,710037503,710037505,710000375
710037604,710037601,710037602,711703761,100,710037603,710037605,710000376
710037702,710037701,710037704,711703771,100,710037703,710037705,710000377
710037804,710037801,710037802,711703781,100,710037803,710037805,710000378
710037904,710037901,710037902,711703791,100,710037903,710037905,710000379
710038005,710038004,710038003,711703801,100,710038001,710038002,710000380
710038104,710038101,710038105,711803811,100,710038103,710038102,710000381
710038204,710038203,710038201,711803821,100,710038203,710038202,710000382
710038304,710038301,710038302,711803831,100,710038303,710038305,710000383
710038404,710038401,710038402,711803841,100,710038403,710038405,710000384
710038504,710038501,710038502,711803851,100,710038503,710038505,710000385
710038604,710038601,710038602,711803861,100,710038603,710038605,710000386
710038704,710038701,710038702,711803871,100,710038703,710038705,710000387
710038804,710038803,710038802,711803881,100,710038801,710038805,710000388
710038902,710038903,710038904,711803891,100,710038901,710038905,710000389
710039002,710039004,710039003,711803901,100,710039001,710039005,710000390
710039104,710039101,710039105,711903911,100,710039103,710039102,710000391
710039204,710039201,710039202,711903921,100,710039203,710039205,710000392
710039301,710039304,710039302,711903931,100,710039303,710039305,710000393
710039404,710039401,710039402,711903941,100,710039403,710039405,710000394
710039501,710039504,710039502,711903951,100,710039503,710039505,710000395
710039602,710039601,710039604,711903961,100,710039603,710039605,710000396
710039702,710039701,710039704,711903971,100,710039703,710039705,710000397
710039804,710039801,710039802,711903981,100,710039803,710039805,710000398
710039901,710039904,710039905,711903991,100,710039903,710039902,710000399
710040005,710040001,710040003,711904001,100,710040004,710040002,710000400
710040104,710040101,710040102,712004011,100,710040103,710040105,710000401
710040204,710040201,710040205,712004021,100,710040203,710040202,710000402
710040301,710040304,710040302,712004031,100,710040303,710040305,710000403
710040401,710040404,710040402,712004041,100,710040403,710040405,710000404
710040502,710040501,710040504,712004051,100,710040503,710040505,710000405
710040601,710040604,710040602,712004061,100,710040603,710040605,710000406
710040704,710040703,710040702,712004071,100,710040701,710040705,710000407
710040802,710040801,710040804,712004081,100,710040803,710040805,710000408
710040901,710040904,710040902,712004091,100,710040903,710040905,710000409
710041005,710041001,710041003,712004101,100,710041004,710041002,710000410
710041102,710041101,710041104,712104111,100,710041103,710041105,710000411
710041204,710041203,710041202,712104121,100,710041201,710041205,710000412
710041301,710041304,710041302,712104131,100,710041303,710041305,710000413
710041401,710041404,710041405,712104141,100,710041403,710041402,710000414
710041501,710041504,710041502,712104151,100,710041503,710041505,710000415
710041604,710041601,710041602,712104161,100,710041603,710041605,710000416
710041702,710041701,710041704,712104171,100,710041703,710041705,710000417
710041804,710041803,710041802,712104181,100,710041801,710041805,710000418
710041904,710041903,710041902,712104191,100,710041901,710041905,710000419
710042005,710042001,710042003,712104201,100,710042004,710042002,710000420
710042102,710042103,710042104,712204211,100,710042101,710042105,710000421
710042201,710042204,710042202,712204221,100,710042203,710042205,710000422
710042304,710042301,710042302,712204231,100,710042303,710042305,710000423
710042404,710042401,710042402,712204241,100,710042403,710042405,710000424
710042502,710042503,710042504,712204251,100,710042501,710042505,710000425
710042601,710042604,710042602,712204261,100,710042603,710042605,710000426
710042704,710042701,710042702,712204271,100,710042703,710042705,710000427
710042804,710042801,710042802,712204281,100,710042803,710042805,710000428
710042904,710042903,710042902,712204291,100,710042901,710042905,710000429
710043005,710043001,710043003,712204301,100,710043004,710043002,710000430
710043104,710043101,710043102,712304311,100,710043103,710043105,710000431
710043202,710043203,710043204,712304321,100,710043201,710043205,710000432
710043304,710043301,710043302,712304331,100,710043303,710043305,710000433
710043401,710043404,710043402,712304341,100,710043403,710043405,710000434
710043504,710043501,710043502,712304351,100,710043503,710043505,710000435
710043602,710043601,710043604,712304361,100,710043603,710043605,710000436
710043704,710043701,710043702,712304371,100,710043703,710043705,710000437
710043804,710043801,710043802,712304381,100,710043803,710043805,710000438
710043902,710043901,710043904,712304391,100,710043903,710043905,710000439
710044005,710044001,710044003,712304401,100,710044004,710044002,710000440
710044104,710044101,710044102,712404411,100,710044103,710044105,710000441
710044204,710044201,710044202,712404421,100,710044203,710044205,710000442
710044301,710044304,710044302,712404431,100,710044303,710044305,710000443
710044404,710044401,710044402,712404441,100,710044403,710044405,710000444
710044504,710044503,710044502,712404451,100,710044501,710044505,710000445
710044604,710044601,710044602,712404461,100,710044603,710044605,710000446
710044702,710044703,710044704,712404471,100,710044701,710044705,710000447
710044801,710044804,710044802,712404481,100,710044803,710044805,710000448
710044901,710044904,710044902,712404491,100,710044903,710044905,710000449
710045005,710045004,710045003,712404501,100,710045001,710045002,710000450
710045104,710045103,710045102,712504511,100,710045101,710045105,710000451
710045204,710045201,710045202,712504521,100,710045203,710045205,710000452
710045302,710045301,710045304,712504531,100,710045303,710045305,710000453
710045402,710045401,710045404,712504541,100,710045403,710045405,710000454
710045504,710045501,710045502,712504551,100,710045503,710045505,710000455
710045602,710045601,710045604,712504561,100,710045603,710045605,710000456
710045701,710045704,710045702,712504571,100,710045703,710045705,710000457
710045802,710045801,710045804,712504581,100,710045803,710045805,710000458
710045904,710045901,710045902,712504591,100,710045903,710045905,710000459
710046005,710046001,710046003,712504601,100,710046004,710046002,710000460
710046102,710046103,710046104,712604611,100,710046101,710046105,710000461
710046204,710046201,710046202,712604621,100,710046203,710046205,710000462
710046304,710046301,710046305,712604631,100,710046303,710046302,710000463
710046404,710046403,710046402,712604641,100,710046401,710046405,710000464
