odds_group_id,bg_id,login_bonus_type,count_num,end_time,stamp_id,count_type,name,login_bonus_id,start_time,adv_play_type
0,40015,4,5,"2099/01/01 23:59:00",3,0,"컴백 로그인 보너스",40015,"2025/09/10 5:00:00",0
1,500553,6,7,"2020/01/11 4:59:59",0,0,"근하신년 새해 로그인 보너스",60000,"2020/01/01 5:00:00",0
1,500553,6,7,"2021/02/21 4:59:59",0,0,"근하신년 새해 로그인 보너스",60001,"2021/02/11 5:00:00",0
1,500553,6,7,"2022/02/09 4:59:59",0,0,"근하신년 새해 로그인 보너스",60002,"2022/01/30 5:00:00",0
1,500553,6,7,"2023/01/31 4:59:59",0,0,"근하신년 새해 로그인 보너스",60003,"2023/01/21 5:00:00",0
1,500553,6,7,"2024/02/19 4:59:59",0,0,"근하신년 새해 로그인 보너스",60004,"2024/02/09 5:00:00",0
1,500553,6,7,"2025/02/07 4:59:59",0,0,"근하신년 새해 로그인 보너스",60005,"2025/01/28 5:00:00",0
1,500553,6,5,"2026/02/26 4:59:59",0,0,"근하신년 새해 로그인 보너스",60006,"2026/02/16 5:00:00",0
0,500160,7,2,"2019/12/26 4:59:59",0,0,"크리스마스 로그인 보너스",70000,"2019/12/24 5:00:00",1
0,500160,7,3,"2020/01/04 4:59:59",0,0,"새해 로그인 보너스",70001,"2020/01/01 5:00:00",2
0,500160,7,2,"2020/12/26 4:59:59",0,0,"크리스마스 로그인 보너스",70002,"2020/12/24 5:00:00",1
0,500160,7,3,"2021/01/04 4:59:59",0,0,"새해 3일간 특별 로그인 보너스",70003,"2021/01/01 5:00:00",2
0,500160,7,2,"2021/12/26 4:59:59",0,0,"크리스마스 로그인 보너스",70004,"2021/12/24 5:00:00",1
0,500160,7,3,"2022/01/04 4:59:59",0,0,"새해 3일간 특별 로그인 보너스",70005,"2022/01/01 5:00:00",2
0,500160,7,2,"2022/12/26 4:59:59",0,0,"크리스마스 로그인 보너스",70006,"2022/12/24 5:00:00",1
0,500160,7,3,"2023/01/04 4:59:59",0,0,"새해 3일간 특별 로그인 보너스",70007,"2023/01/01 5:00:00",2
0,500160,7,2,"2023/12/26 4:59:59",0,0,"크리스마스 로그인 보너스",70008,"2023/12/24 5:00:00",1
0,500160,7,1,"2024/01/04 4:59:59",0,0,"새해 첫날 특별 로그인 보너스",70009,"2024/01/01 5:00:00",2
0,500160,7,1,"2024/12/25 4:59:59",0,0,"크리스마스 이브 로그인 보너스",70010,"2024/12/24 5:00:00",1
0,500160,7,1,"2025/01/04 4:59:59",0,0,"새해 첫날 특별 로그인 보너스",70011,"2025/01/01 5:00:00",2
0,500160,7,1,"2024/12/26 4:59:59",0,0,"크리스마스 로그인 보너스",70012,"2024/12/25 5:00:00",1
0,500160,7,1,"2026/01/04 4:59:59",0,0,"새해 첫날 특별 로그인 보너스",70013,"2026/01/01 5:00:00",2
0,500160,7,1,"2025/12/25 4:59:59",0,0,"크리스마스 로그인 보너스",70014,"2025/12/24 5:00:00",1
0,500160,7,1,"2025/12/26 4:59:59",0,0,"크리스마스 로그인 보너스",70015,"2025/12/25 5:00:00",1
0,0,8,15,"2020/02/15 4:59:59",0,1,"1st Anniversary 카운트다운 로그인 보너스",80001,"2020/01/31 5:00:00",0
0,80002,4,15,"2021/03/16 4:59:59",4,0,"2nd Anniversary 카운트다운 로그인 보너스",80002,"2021/03/01 5:00:00",0
0,0,8,15,"2021/09/17 4:59:59",0,1,"2.5 Year Anniversary 카운트다운 로그인 보너스",80003,"2021/09/02 5:00:00",0
0,0,10,17,"2022/03/16 4:59:59",0,1,"3rd Anniversary 카운트다운 로그인 보너스",80004,"2022/02/27 5:00:00",1
0,0,8,15,"2022/09/14 4:59:59",0,1,"3.5 Year Anniversary 카운트다운 로그인 보너스",80005,"2022/08/30 5:00:00",0
0,0,10,17,"2023/03/17 4:59:59",0,1,"4th Anniversary 카운트다운 로그인 보너스",80006,"2023/02/28 5:00:00",1
0,0,10,15,"2023/09/15 4:59:59",0,1,"4.5 Year Anniversary 카운트다운 로그인 보너스",80007,"2023/08/31 5:00:00",1
0,0,10,16,"2024/03/16 4:59:59",0,1,"5th Anniversary 카운트다운 로그인 보너스",80008,"2024/02/29 5:00:00",1
0,0,10,15,"2024/09/12 4:59:59",0,1,"5.5 Year Anniversary 카운트다운 로그인 보너스",80009,"2024/08/28 5:00:00",1
0,0,10,16,"2025/03/14 4:59:59",0,1,"6th Anniversary 카운트다운 로그인 보너스",80010,"2025/02/26 5:00:00",1
0,0,10,15,"2025/09/16 4:59:59",0,1,"6.5 Year Anniversary 카운트다운 로그인 보너스",80011,"2025/09/01 5:00:00",1
0,0,10,8,"2026/03/10 4:59:59",0,1,"7th Year Anniversary 카운트다운 로그인 보너스",80012,"2026/03/02 5:00:00",1
