top_description,event_id,unit_id,description_2,condition_mission_id,id,description_1
"보스 NORMAL 토벌로 오픈!",20044,119201,"[3C404E]보스 NORMAL 토벌로 오픈!",72044021,40,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20045,120801,"[3C404E]보스 NORMAL 토벌로 오픈!",72045021,41,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20047,121201,"[3C404E]보스 NORMAL 토벌로 오픈!",72047021,42,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20051,122101,"[3C404E]보스 NORMAL 토벌로 오픈!",72051021,43,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20052,122401,"[3C404E]보스 NORMAL 토벌로 오픈!",72052021,44,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20053,122801,"[3C404E]보스 NORMAL 토벌로 오픈!",72053021,45,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20055,123501,"[3C404E]보스 NORMAL 토벌로 오픈!",72055021,46,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20057,124101,"[3C404E]보스 NORMAL 토벌로 오픈!",72057021,47,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20058,124701,"[3C404E]보스 NORMAL 토벌로 오픈!",72058021,48,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
"보스 NORMAL 토벌로 오픈!",20059,124901,"[3C404E]보스 NORMAL 토벌로 오픈!",72059021,49,"[3C404E]이벤트를 진행하여 보스에게 도전!\n보스 NORMAL을 토벌하면 한정 캐릭터 획득!![-]"
