drama_id,param_08,param_07,param_04,command_type,param_01,param_05,param_03,param_02,command_id,param_06
20062,"","","",91,0,"","","",1200620006,""
20062,"","","",3,110911,"",1,travel_topdrama_r_2000_idle_kyapi,1200620007,0.2
20062,"","",travel_topdrama_r_2000_talk_doya_loop_sad,3,110811,1,0,travel_topdrama_r_2000_talk_doya_in_sad,1200620008,0.2
20062,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20006_01,1200620009,""
20062,0,0,1,11,110811,1,10,"저기. 다 좋은데.\n그 맹한 기성으로 아까 마물이\n마구 모여든 일, 벌써 잊었냐고.",1200620010,0
20062,"","","",91,0,"","","",1200620011,""
20062,"","","",3,110811,"",1,travel_topdrama_r_2000_idle_doya_sad,1200620012,0.2
20062,"","","",3,110911,1,1,travel_topdrama_r_2000_talk_normal2,1200620013,0.2
20062,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20006_02,1200620014,""
20062,0,0,1,11,110911,1,10,"……그때는\n대단히 폐를 끼쳤습니다.",1200620015,0
20062,"","","",91,0,"","","",1200620016,""
20062,"","","",3,110911,"",1,travel_topdrama_r_2000_idle_normal,1200620017,0.2
20062,"","","",112,"","","","",1200620018,""
20062,"","","",91,0,"","","",1200620019,""
20071,travel_topdrama_r_2000_idle_smile,1,42,1,1,-68,101,102911,1200710001,0.8
20071,travel_topdrama_r_2000_idle_sad,0,-42,1,1,-68,102,105411,1200710002,0.8
20071,mana,0,0,5,0,-75,110,0,1200710003,1
20071,"","","",91,0,"","","",1200710004,""
20071,"","","",93,10,"","",0,1200710005,""
20071,"","","",101,1200710005,"","","",1200710006,""
20071,"","","",3,0,"",0,none,1200710007,0
20071,"","","",91,0,"","","",1200710008,""
20072,"","","",13,102911,"","",103,1200720001,""
20072,"","","",13,105411,"","",104,1200720002,""
20072,"","",travel_topdrama_r_2000_talk_smile_loop,3,102911,1,0,travel_topdrama_r_2000_talk_smile_in,1200720003,0.2
20072,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20007_00,1200720004,""
20072,0,0,1,11,102911,1,10,"이 근처 지형, 댄스\n연습하기 딱 좋지 않을까?\n함께 스텝을 밟아줘 볼래?",1200720005,0
20072,"","","",91,0,"","","",1200720006,""
20072,"","","",3,102911,"",1,travel_topdrama_r_2000_idle_smile,1200720007,0.2
20072,"",0.2,travel_topdrama_r_2000_talk_sad_loop,3,105411,1,0,travel_topdrama_r_2007_dance,1200720008,0.2
20072,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20007_01,1200720009,""
20072,0,0,1,11,105411,1,10,"으음, 이런 식으로요?\n……와앗, 밸런스가!?\n꽤 어렵네요……",1200720010,0
20072,"","","",91,0,"","","",1200720011,""
20072,"","","",3,105411,"",1,travel_topdrama_r_2000_idle_sad,1200720012,0.2
20072,"","",travel_topdrama_r_2000_talk_smile_loop,3,102911,1,0,travel_topdrama_r_2000_talk_smile_in,1200720013,0.2
20072,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20007_02,1200720014,""
20072,0,0,1,11,102911,1,10,"즉 연습이 된다는 거야!\n라이브 전에 여기로 돌아올 수 있게\n장소를 메모해 둬야지♪",1200720015,0
20072,"","","",91,0,"","","",1200720016,""
20072,"","","",3,102911,"",1,travel_topdrama_r_2000_idle_smile,1200720017,0.2
20072,"","","",112,"","","","",1200720018,""
20072,"","","",91,0,"","","",1200720019,""
20081,travel_topdrama_r_2000_idle_sad,1,42,1,1,-68,101,104711,1200810001,0.8
20081,travel_topdrama_r_2000_idle_doya,0,-42,1,1,-68,102,107111,1200810002,0.8
20081,mana,0,0,5,0,-75,110,0,1200810003,1
20081,"","","",91,0,"","","",1200810004,""
20081,"","","",93,10,"","",0,1200810005,""
20081,"","","",101,1200810005,"","","",1200810006,""
20081,"","","",3,0,"",0,none,1200810007,0
20081,"","","",91,0,"","","",1200810008,""
20082,"","","",13,104711,"","",103,1200820001,""
20082,"","","",13,107111,"","",104,1200820002,""
20082,"","",travel_topdrama_r_2000_talk_sad_loop,3,104711,1,0,travel_topdrama_r_2000_talk_sad_in,1200820003,0.2
20082,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20008_00,1200820004,""
20082,0,0,1,11,104711,1,10,"왕궁을 떠나는 기회는 몇 번인가 있었지만,\n역시 진정되지 않네……\n무슨 일이 생겼을 때 대처하기 어렵고.",1200820005,0
20082,"","","",91,0,"","","",1200820006,""
20082,"","","",3,104711,"",1,travel_topdrama_r_2000_idle_sad,1200820007,0.2
20082,"","",travel_topdrama_r_2000_talk_doya_loop,3,107111,1,0,travel_topdrama_r_2000_talk_doya_in,1200820008,0.2
20082,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20008_01,1200820009,""
20082,0,0,1,11,107111,1,10,"이제 와서 불안해해봤자 소용없잖아?\n더 마음 편하게 이 여행을 즐겨.\n아직 갈 길은 멀었으니까☆",1200820010,0
20082,"","","",91,0,"","","",1200820011,""
20082,"","","",3,107111,"",1,travel_topdrama_r_2000_idle_doya,1200820012,0.2
20082,"","",travel_topdrama_r_2000_talk_guts_loop,3,104711,1,0,travel_topdrama_r_2000_talk_guts_in,1200820013,0.2
20082,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20008_02,1200820014,""
20082,0,0,1,11,104711,1,10,"고마워, 크리스.\n왕궁에는 우수한 부하들도 있고,\n눈앞의 일에 집중할게.",1200820015,0
20082,"","","",91,0,"","","",1200820016,""
20082,"","","",3,104711,"",1,travel_topdrama_r_2000_idle_guts,1200820017,0.2
20082,"","","",112,"","","","",1200820018,""
20082,"","","",91,0,"","","",1200820019,""
20091,travel_topdrama_r_2000_idle_guts2,1,42,1,1,-68,101,104011,1200910001,0.8
20091,travel_topdrama_r_2000_idle_smile,0,-42,1,1,-68,102,101511,1200910002,0.8
20091,mana,0,0,5,0,-75,110,0,1200910003,1
20091,"","","",91,0,"","","",1200910004,""
20091,"","","",93,10,"","",0,1200910005,""
20091,"","","",101,1200910005,"","","",1200910006,""
20091,"","","",3,0,"",0,none,1200910007,0
20091,"","","",91,0,"","","",1200910008,""
20092,"","","",13,104011,"","",103,1200920001,""
20092,"","","",13,101511,"","",104,1200920002,""
20092,"","",travel_topdrama_r_2000_talk_guts2_loop,3,104011,1,0,travel_topdrama_r_2000_talk_guts2_in,1200920003,0.2
20092,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20009_00,1200920004,""
20092,0,0,1,11,104011,1,10,"이번 모험에는 많은 길드가\n참가하고 있죠……?\n혹시 친구를 만들 기회……?",1200920005,0
20092,"","","",91,0,"","","",1200920006,""
20092,"","","",3,104011,"",1,travel_topdrama_r_2000_idle_guts2,1200920007,0.2
20092,"","",travel_topdrama_r_2000_talk_wish_loop_joy,3,101511,1,0,travel_topdrama_r_2000_talk_wish_in_joy,1200920008,0.2
20092,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20009_01,1200920009,""
20092,0,0,1,11,101511,1,10,"후훗, 그렇네~\n분명 다양한 만남이 있을 테니까,\n잔뜩 대화해 보면 좋을 거야~",1200920010,0
20092,"","","",91,0,"","","",1200920011,""
20092,"","","",3,101511,"",1,travel_topdrama_r_2000_idle_wish_joy,1200920012,0.2
20092,"","",travel_topdrama_r_2000_talk_surprise_loop_sad,3,104011,1,0,travel_topdrama_r_2000_talk_surprise_in_sad,1200920013,0.2
20092,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20009_02,1200920014,""
20092,0,0,1,11,104011,1,10,"잔뜩…… 대화……!?\n단번에 자신이 없어졌어요……\n역시 구석 쪽으로 걸어야겠어요……",1200920015,0
20092,"","","",91,0,"","","",1200920016,""
20092,"","","",3,104011,"",1,travel_topdrama_r_2000_idle_surprise_sad,1200920017,0.2
20092,"","","",112,"","","","",1200920018,""
20092,"","","",91,0,"","","",1200920019,""
20101,travel_topdrama_r_2000_idle_sad,1,42,1,1,-68,101,102611,1201010001,0.8
20101,travel_topdrama_r_2000_idle_doya_sad,0,-42,1,1,-68,102,103311,1201010002,0.8
20101,mana,0,0,5,0,-75,110,0,1201010003,1
20101,"","","",91,0,"","","",1201010004,""
20101,"","","",93,10,"","",0,1201010005,""
20101,"","","",101,1201010005,"","","",1201010006,""
20101,"","","",3,0,"",0,none,1201010007,0
20101,"","","",91,0,"","","",1201010008,""
20102,"","","",13,102611,"","",103,1201020001,""
20102,"","","",13,103311,"","",104,1201020002,""
20102,"","",travel_topdrama_r_2000_talk_sad_loop,3,102611,1,0,travel_topdrama_r_2000_talk_sad_in,1201020003,0.2
20102,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20010_00,1201020004,""
20102,0,0,1,11,102611,1,10,"흐에~…… 흐에~……!\n벌써 꽤 걸었다고~!\n돌아가고 싶어~ 뒹굴뒹굴하고 싶어~!",1201020005,0
20102,"","","",91,0,"","","",1201020006,""
20102,"","","",3,102611,"",1,travel_topdrama_r_2000_idle_sad,1201020007,0.2
20102,"","",travel_topdrama_r_2000_talk_doya_loop_sad,3,103311,1,0,travel_topdrama_r_2000_talk_doya_in_sad,1201020008,0.2
20102,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20010_01,1201020009,""
20102,0,0,1,11,103311,1,10,"무슨 소리야~!\n린린이야말로 많이 걸어서\n몸을 다시 단련해야지!",1201020010,0
20102,"","","",91,0,"","","",1201020011,""
20102,"","","",3,103311,"",1,travel_topdrama_r_2000_idle_doya_sad,1201020012,0.2
20102,"","","",3,102611,1,1,travel_topdrama_r_2000_talk_dead,1201020013,0.2
20102,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20010_02,1201020014,""
20102,0,0,1,11,102611,1,10,"그런 거 됐거든……!\n어쨌든 휴식! 휴식하자~!\n도토리를 안 먹으면 다리가 뻣뻣해져~!",1201020015,0
20102,"","","",91,0,"","","",1201020016,""
20102,"","","",3,102611,"",1,travel_topdrama_r_2000_idle_dead,1201020017,0.2
20102,"","","",112,"","","","",1201020018,""
20102,"","","",91,0,"","","",1201020019,""
20111,travel_topdrama_r_2000_idle_smile,1,42,1,1,-68,101,104911,1201110001,0.8
20111,travel_topdrama_r_2000_idle_normal,0,-42,1,1,-68,102,101111,1201110002,0.8
20111,mana,0,0,5,0,-75,110,0,1201110003,1
20111,"","","",91,0,"","","",1201110004,""
20111,"","","",93,10,"","",0,1201110005,""
20111,"","","",101,1201110005,"","","",1201110006,""
20111,"","","",3,0,"",0,none,1201110007,0
20111,"","","",91,0,"","","",1201110008,""
20112,"","","",13,104911,"","",103,1201120001,""
20112,"","","",13,101111,"","",104,1201120002,""
20112,"","",travel_topdrama_r_2000_talk_smile_loop,3,104911,1,0,travel_topdrama_r_2000_talk_smile_in,1201120003,0.2
20112,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20011_00,1201120004,""
20112,0,0,1,11,104911,1,10,"뭐 좋은 거, 안 떨어져 있으려나~?\n동생이 기쁜 나머지 누나\n정말 좋아 이외의 감정을 잃어버릴 보물이라든가.",1201120005,0
20112,"","","",91,0,"","","",1201120006,""
20112,"","","",3,104911,"",1,travel_topdrama_r_2000_idle_smile,1201120007,0.2
20112,"","",travel_topdrama_r_2000_talk_shock,3,101111,1,0,travel_topdrama_r_2000_shock_in,1201120008,0.2
20112,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20011_01,1201120009,""
20112,0,0,1,11,101111,1,10,"아니 아니 아니, 언니?\n그러면 저주 장비 종류죠,\n찾아도 가지고 돌아가지 마세요.",1201120010,0
20112,"","","",91,0,"","","",1201120011,""
20112,"","","",3,101111,"",1,travel_topdrama_r_2000_idle_normal,1201120012,0.2
20112,"","",travel_topdrama_r_2000_talk_wish_loop_joy,3,104911,1,0,travel_topdrama_r_2000_talk_wish_in_joy,1201120013,0.2
20112,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20011_02,1201120014,""
20112,0,0,1,11,104911,1,10,"에~…… 하긴.\n그런 거에 의지하지 않아도, 동생은\n누나를 정말 좋아하니까♪",1201120015,0
20112,"","","",91,0,"","","",1201120016,""
20112,"","","",3,104911,"",1,travel_topdrama_r_2000_idle_wish_joy,1201120017,0.2
20112,"","","",112,"","","","",1201120018,""
20112,"","","",91,0,"","","",1201120019,""
20121,travel_topdrama_r_2000_idle_sad,1,42,1,1,-68,101,101011,1201210001,0.8
20121,travel_topdrama_r_2000_idle_guts2_joy,0,-42,1,1,-68,102,101711,1201210002,0.8
20121,travel_topdrama_r_2012_empty,0,-42,5,3,-68,103,3,1201210003,0.8
20121,mana,0,0,5,0,-75,110,0,1201210004,1
20121,"","","",91,0,"","","",1201210005,""
20121,"","","",93,10,"","",0,1201210006,""
20121,"","","",101,1201210006,"","","",1201210007,""
20121,"","","",3,0,"",0,none,1201210008,0
20121,"","","",91,0,"","","",1201210009,""
20122,"","","",13,101011,"","",104,1201220001,""
20122,"","","",13,101711,"","",105,1201220002,""
20122,"","",travel_topdrama_r_2000_talk_sad_loop,3,101011,1,0,travel_topdrama_r_2000_talk_sad_in,1201220003,0.2
20122,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20012_00,1201220004,""
20122,0,0,1,11,101011,1,10,"모험은 힘든 일이군요~\n소녀는 조금 지쳤는데,\n카오리 공은 아직 괜찮아 보이옵니다~?",1201220005,0
20122,"","","",91,0,"","","",1201220006,""
20122,"","","",3,101011,"",1,travel_topdrama_r_2000_idle_sad,1201220007,0.2
20122,"","",travel_topdrama_r_2012_raise_loop_talk,3,101711,1,0,travel_topdrama_r_2012_raise_in,1201220008,0.2
20122,"","",travel_topdrama_r_2012_raise_loop_talk,3,3,1,0,travel_topdrama_r_2012_raise_in,1201220009,0.2
20122,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20012_01,1201220010,""
20122,0,0,1,11,101711,1,10,"달콤한 튀김과자 덕분이야~♪\n달콤하고 배도 가득 차니까,\n마호한테도 조금 나눠줄게~?",1201220011,0
20122,"","","",91,0,"","","",1201220012,""
20122,"","","",3,101711,"",1,travel_topdrama_r_2012_raise_loop_idle,1201220013,0.2
20122,"","","",3,3,"",1,travel_topdrama_r_2012_raise_loop_talk,1201220014,0.2
20122,"","",travel_topdrama_r_2000_talk_smile_loop,3,101011,1,0,travel_topdrama_r_2000_talk_smile_in,1201220015,0.2
20122,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20012_02,1201220016,""
20122,0,0,1,11,101011,1,10,"고맙사옵니다~♪\n이걸 먹고 소녀도 카오리 공처럼\n힘차게 모험하겠사옵니다~♪",1201220017,0
20122,"","","",91,0,"","","",1201220018,""
20122,"","","",3,101011,"",1,travel_topdrama_r_2000_idle_smile,1201220019,0.2
20122,"","","",112,"","","","",1201220020,""
20122,"","","",91,0,"","","",1201220021,""
20131,travel_topdrama_r_2000_idle_doya,1,42,1,1,-68,101,104411,1201310001,0.8
20131,travel_topdrama_r_2000_idle_anger,0,-42,1,1,-68,102,100711,1201310002,0.8
20131,mana,0,0,5,0,-75,110,0,1201310003,1
20131,"","","",91,0,"","","",1201310004,""
20131,"","","",93,10,"","",0,1201310005,""
20131,"","","",101,1201310005,"","","",1201310006,""
20131,"","","",3,0,"",0,none,1201310007,0
20131,"","","",91,0,"","","",1201310008,""
20132,"","","",13,104411,"","",103,1201320001,""
20132,"","","",13,100711,"","",104,1201320002,""
20132,"","",travel_topdrama_r_2000_talk_doya_loop,3,104411,1,0,travel_topdrama_r_2000_talk_doya_in,1201320003,0.2
20132,"","",0,21,vo_travel_talk,"",0,vo_travel_talk_20013_00,1201320004,""
20132,0,0,1,11,104411,1,10,"슬슬 야영 준비를 시작해야겠네.\n식재료는 현지에서 조달하는 수밖에 없는데,\n짐승을 사냥할지, 들풀을 딸지……",1201320005,0
20132,"","","",91,0,"","","",1201320006,""
20132,"","","",3,104411,"",1,travel_topdrama_r_2000_idle_doya,1201320007,0.2
20132,"","","",3,100711,1,1,travel_topdrama_r_2000_talk_anger,1201320008,0.2
