condition_num,condition_value_3,visible_flag,mission_description,condition_value_2,mission_condition,category_icon,dungeon_area_id,mission_reward_id,mission_id,emblem_description,disp_group,condition_value_1,end_time,start_time
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32010,32001001,3201001,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/07/16 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32010,32001002,3201002,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/07/16 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32010,32001003,3201003,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/07/16 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32010,32001004,3201004,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/07/16 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32010,32001005,3201005,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2025/07/16 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32011,32001001,3201101,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/10/15 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32011,32001002,3201102,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/10/15 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32011,32001003,3201103,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/10/15 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32011,32001004,3201104,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2025/10/15 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32011,32001005,3201105,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2025/10/15 5:00:00"
1,0,1,"스페셜 던전을 1회 등반하자",0,80001,603,32012,32001001,3201201,"1st Round Clear!",1004110,0,"2030/04/01 14:59:59","2026/02/16 5:00:00"
2,0,1,"스페셜 던전을 2회 등반하자",0,80001,603,32012,32001002,3201202,"2nd Round Clear!",1004110,0,"2030/04/01 14:59:59","2026/02/16 5:00:00"
3,0,1,"스페셜 던전을 3회 등반하자",0,80001,603,32012,32001003,3201203,"3rd Round Clear!",1004110,0,"2030/04/01 14:59:59","2026/02/16 5:00:00"
4,0,1,"스페셜 던전을 4회 등반하자",0,80001,603,32012,32001004,3201204,"4th Round Clear!",1004110,0,"2030/04/01 14:59:59","2026/02/16 5:00:00"
5,0,1,"스페셜 던전을 5회 등반하자",0,80001,603,32012,32001005,3201205,CONQUEST!,1004110,0,"2030/04/01 14:59:59","2026/02/16 5:00:00"
