detail_scale_x,name,description,goods_id,shelf_position_id,rarity,detail_scale_y
1.0875,"츠무기의 브로마이드","츠무기의 브로마이드. 엄선된 사랑스러운 표정을 바라보면\n츠무기에 대한 뜨거운 마음이 틀림없이 한층 더 높아질 것이다.",10401,7,2,0.675
1.0875,"츠무기의 서머 브로마이드","츠무기의 서머 의상 브로마이드. 뜨거운 여름을 느끼게 하는 눈부시고\n매력적인 모습을 담은 멋진 브로마이드를 바라보며, 그녀와 함께 최고의\n여름을.",10402,7,2,0.675
1.0875,"츠무기의 할로윈 브로마이드","츠무기의 할로윈 의상 브로마이드 세트. 할로윈 때만 볼 수 있는\n귀중한 갖가지 장면.\n달콤한 과자와 짓궃은 장난, 둘 다 매력적. 해피 할로윈!",10403,7,2,0.675
1.0875,"노조미의 브로마이드","노조미의 브로마이드. 엄선된 사랑스러운 표정을 바라보면\n노조미에 대한 뜨거운 마음이 틀림없이 한층 더 높아질 것이다.",10404,7,2,0.675
1.0875,"노조미의 서머 브로마이드","노조미의 서머 의상 브로마이드. 뜨거운 여름을 느끼게 하는 눈부시고\n매력적인 모습을 담은 멋진 브로마이드를 바라보며, 그녀와 함께 최고의\n여름을.",10405,7,2,0.675
1.0875,"노조미의 크리스마스 브로마이드","노조미의 크리스마스 의상 브로마이드. 크리스마스 시즌에만\n볼 수 있는 귀중한 모습은 카르미나 팬을 위한 최고의 선물.",10406,7,2,0.675
1.0875,"치카의 브로마이드","치카의 브로마이드. 엄선된 사랑스러운 표정을 바라보면\n치카에 대한 뜨거운 마음이 틀림없이 한층 더 높아질 것이다.",10407,7,2,0.675
1.0875,"치카의 서머 브로마이드","치카의 서머 의상 브로마이드. 뜨거운 여름을 느끼게 하는 눈부시고\n매력적인 모습을 담은 멋진 브로마이드를 바라보며, 그녀와 함께 최고의\n여름을.",10408,7,2,0.675
1.0875,"치카의 크리스마스 브로마이드","치카의 크리스마스 의상 브로마이드. 크리스마스 시즌에만\n볼 수 있는 귀중한 모습은 카르미나 팬을 위한 최고의 선물.",10409,7,2,0.675
0.665625,"츠무기의 손목 밴드","츠무기의 이름이 들어간 손목 밴드. 공연 티켓 대신 몸에서\n떼지 말고 지니자!",10501,8,3,1.0125
0.665625,"노조미의 손목 밴드","노조미의 이름이 들어간 손목 밴드. 공연 티켓 대신 몸에서\n떼지 말고 지니자!",10502,8,3,1.0125
0.665625,"치카의 손목 밴드","치카의 이름이 들어간 손목 밴드. 공연 티켓 대신 몸에서\n떼지 말고 지니자!",10503,8,3,1.0125
0.365234375,"츠무기의 포스터","츠무기의 화려한 모습을 담은 대형 포스터. 방에 붙여두면\n언제든 당신만을 향한 그녀의 미소를 독점. 오늘도 내일도\n힘내자!",10601,10,3,0.470703125
0.365234375,"노조미의 포스터","노조미의 화려한 모습을 담은 대형 포스터. 방에 붙여두면\n언제든 당신만을 향한 그녀의 미소를 독점. 오늘도 내일도\n힘내자!",10602,10,3,0.470703125
0.365234375,"치카의 포스터","치카의 화려한 모습을 담은 대형 포스터. 방에 붙여두면\n언제든 당신만을 향한 그녀의 미소를 독점. 오늘도 내일도\n힘내자!",10603,11,3,0.470703125
0.365234375,"카르미나의 포스터","멤버 3명이 찍힌 박력 넘치는 대형 포스터. 방에 붙여두면\n아침부터 저녁까지 언제든 그녀들의 미소를 만날 수 있다.\n오늘도 내일도 힘내자!",10604,11,3,0.470703125
0.953125,"공연장 한정 회원 카드","이벤트 공연장에서만 입수할 수 있는 서머 라이브 한정 디자인 회원 카드.\n공연장에서만 얻을 수 있기 때문에 프리미엄 가치가 높다.\n진짜 팬이라면 꼭 얻고 싶은 것.",10701,8,3,0.53125
0.443359375,"츠무기의 기념 타월","츠무기의 퍼스널 컬러로 꾸며진 서머 라이브 디자인 기념 타월. 라이브의 땀으로 젖은 피부를 닦는 것은 물론 응원 굿즈로 사용하는 것도 가능.",10801,12,2,0.4609375
0.443359375,"노조미의 기념 타월","노조미의 퍼스널 컬러로 꾸며진 서머 라이브 디자인 기념 타월. 라이브의 땀으로 젖은 피부를 닦는 것은 물론 응원 굿즈로 사용하는 것도 가능.",10802,12,2,0.4609375
0.443359375,"치카의 기념 타월","치카의 퍼스널 컬러로 꾸며진 서머 라이브 디자인 기념 타월. 라이브의 땀으로 젖은 피부를 닦는 것은 물론 응원 굿즈로 사용하는 것도 가능.",10803,13,2,0.4609375
0.443359375,"카르미나의 기념 타월","카르미나의 서머 라이브 디자인 기념 타월. 범용성 높은 기본 아이템.\n라이브의 땀으로 젖은 피부를 닦는 것은 물론 응원 굿즈로 사용하는\n것도 가능.",10804,13,2,0.4609375
0.33046875,"츠무기의 응원 부채","츠무기의 공식 응원 부채. 최애를 향한 전력 어필에 최적화된 물건.\n라이브 공연장의 열광과 함께!",10901,9,1,0.459375
0.33046875,"노조미의 응원 부채","노조미의 공식 응원 부채. 최애를 향한 전력 어필에 최적화된 물건.\n라이브 공연장의 열광과 함께!",10902,9,1,0.459375
0.33046875,"치카의 응원 부채","치카의 공식 응원 부채. 최애를 향한 전력 어필에 최적화된 물건.\n라이브 공연장의 열광과 함께!",10903,9,1,0.459375
0.33046875,"카르미나의 응원 부채","카르미나의 공식 응원 부채. 심플한 디자인이라 평소에 쓰기에도\n최적화된 물건. 언제 어디서든 그녀들을 응원할 수 있어.",10904,9,1,0.459375
0.671875,"츠무기의 스티커","장식해도 좋고 붙여도 좋은 귀여운 스티커. 눈에 띄는 곳에 찰싹\n붙이면, 눈에 들어올 때마다 틀림없이 웃는 얼굴이 될 것이다!",11001,5,1,0.8671875
0.671875,"노조미의 스티커","장식해도 좋고 붙여도 좋은 귀여운 스티커. 눈에 띄는 곳에 찰싹\n붙이면, 눈에 들어올 때마다 틀림없이 웃는 얼굴이 될 것이다!",11002,5,1,0.8671875
0.671875,"치카의 스티커","장식해도 좋고 붙여도 좋은 귀여운 스티커. 눈에 띄는 곳에 찰싹\n붙이면, 눈에 들어올 때마다 틀림없이 웃는 얼굴이 될 것이다!",11003,5,1,0.8671875
0.975,"츠무기의 캔 배지","기본 굿즈 중 하나. 모든 종류를 다 모으는 것도, 같은 종류를\n많이 모으는 것도 당신한테 달렸다! 자신만의 컬렉션을 만들자.",11101,5,1,0.975
0.975,"노조미의 캔 배지","기본 굿즈 중 하나. 모든 종류를 다 모으는 것도, 같은 종류를\n많이 모으는 것도 당신한테 달렸다! 자신만의 컬렉션을 만들자.",11102,5,1,0.975
0.975,"치카의 캔 배지","기본 굿즈 중 하나. 모든 종류를 다 모으는 것도, 같은 종류를\n많이 모으는 것도 당신한테 달렸다! 자신만의 컬렉션을 만들자.",11103,5,1,0.975
0.39453125,"카르미나 라이브 응원봉","라이브에서 함께 즐기기 위한 필수 아이템. 다양한 색으로 전환이\n가능해 장면이나 곡에 따라 구분해서 쓸 수 있다. 컬러풀하게 라이브\n분위기를 달구자.",11201,9,2,0.49609375
0.65625,"츠무기의 머그컵","츠무기가 디자인된 머그컵. 매일의 휴식이나 티타임이\n더욱 즐거워지는 아이템. 그녀와의 멋진 시간을 당신에게.",11301,8,2,0.671875
0.65625,"노조미의 머그컵","노조미가 디자인된 머그컵. 매일의 휴식이나 티타임이\n더욱 즐거워지는 아이템. 그녀와의 멋진 시간을 당신에게.",11302,8,2,0.671875
0.65625,"치카의 머그컵","치카가 디자인된 머그컵. 매일의 휴식이나 티타임이\n더욱 즐거워지는 아이템. 그녀와의 멋진 시간을 당신에게.",11303,8,2,0.671875
0.984375,"츠무기의 페넌트","추억을 되돌아보는 아이템이라고 하면 이것. 서머 의상 츠무기가\n눈부신 페넌트는 언제나 라이브의 흥분과 아이돌의 반짝임을\n떠올리게 해준다.",11401,4,1,0.6328125
0.984375,"노조미의 페넌트","추억을 되돌아보는 아이템이라고 하면 이것. 서머 의상 노조미가\n눈부신 페넌트는 언제나 라이브의 흥분과 아이돌의 반짝임을\n떠올리게 해준다.",11402,4,1,0.640625
0.984375,"치카의 페넌트","추억을 되돌아보는 아이템이라고 하면 이것. 서머 의상 치카가\n눈부신 페넌트는 언제나 라이브의 흥분과 아이돌의 반짝임을\n떠올리게 해준다.",11403,4,1,0.6328125
1.21875,"츠무기의 핀 배지","발랄하고 귀엽게 그려진 츠무기의 핀 배지. 반들반들 반짝반짝\n동전 같은 질감이 컬렉터의 마음을 자극하는 아이템.",11501,3,1,1.21875
1.21875,"츠무기의 서머 핀 배지","서머 의상 츠무기가 귀엽게 그려진 핀 배지. 한정 버전 디자인은 서머\n라이브 참가의 증표.\n여름을 만끽 중인 츠무기의 표정이매력적인 물건.",11502,3,1,1.21875
1.21875,"노조미의 핀 배지","발랄하고 귀엽게 그려진 노조미의 핀 배지. 반들반들 반짝반짝\n동전 같은 질감이 컬렉터의 마음을 자극하는 아이템.",11503,3,1,1.21875
1.21875,"노조미의 서머 핀 배지","서머 의상 노조미가 귀엽게 그려진 핀 배지. 한정 버전 디자인은 서머\n라이브 참가의 증표.\n여름을 만끽 중인 노조미의 표정이 매력적인 물건.",11504,3,1,1.21875
1.21875,"치카의 핀 배지","발랄하고 귀엽게 그려진 치카의 핀 배지. 반들반들 반짝반짝\n동전 같은 질감이 컬렉터의 마음을 자극하는 아이템.",11505,3,1,1.21875
1.21875,"치카의 서머 핀 배지","서머 의상 치카가 귀엽게 그려진 핀 배지. 한정 버전 디자인은 서머\n라이브 참가의 증표.\n여름을 만끽 중인 치카의 표정이 매력적인 물건.",11506,3,1,1.21875
0.625,"츠무기의 병뚜껑","츠무기 온 스테이지! 츠무기가 뚜껑 스테이지에서 귀엽게\n포즈를 취하고 있다. 어디든 좋아하는 장소에 부담 없이\n장식할 수 있다.",11601,6,1,0.75
0.625,"츠무기의 서머 병뚜껑","서머 의상 츠무기가 뚜껑에서 온 스테이지! 시원한 의상을 입고 뜨거운\n스테이지를 펼친 그녀의 씩씩한 모습을 떠올릴 수 있다.",11602,6,1,0.75
0.625,"노조미의 병뚜껑","노조미 온 스테이지! 노조미가 뚜껑 스테이지에서 귀엽게\n포즈를 취하고 있다. 어디든 좋아하는 장소에 부담 없이\n장식할 수 있다.",11603,6,1,0.75
0.625,"노조미의 서머 병뚜껑","서머 의상 노조미가 뚜껑에서 온 스테이지! 시원한 의상을 입고 뜨거운\n스테이지를 펼친 그녀의 씩씩한 모습을 떠올릴 수 있다.",11604,6,1,0.75
0.625,"치카의 병뚜껑","치카 온 스테이지! 치카가 뚜껑 스테이지에서 귀엽게\n포즈를 취하고 있다. 어디든 좋아하는 장소에 부담 없이\n장식할 수 있다.",11605,6,1,0.75
0.625,"치카의 서머 병뚜껑","서머 의상 치카가 뚜껑에서 온 스테이지! 시원한 의상을 입고 뜨거운\n스테이지를 펼친 그녀의 씩씩한 모습을 떠올릴 수 있다.",11606,6,1,0.75
0.890625,"츠무기의 미니 태피스트리","츠무기의 키홀더 사이즈 태피스트리. 어디에나 장식할 수 있는\n데다가 몸에 지니고 외출도 가능한 만능 물건.",11701,4,1,0.8828125
0.890625,"노조미의 미니 태피스트리","노조미의 키홀더 사이즈 태피스트리. 어디에나 장식할 수 있는\n데다가 몸에 지니고 외출도 가능한 만능 물건.",11702,4,1,0.8828125
0.890625,"치카의 미니 태피스트리","치카의 키홀더 사이즈 태피스트리. 어디에나 장식할 수 있는\n데다가 몸에 지니고 외출도 가능한 만능 물건.",11703,4,1,0.8828125
