reward_num,mission_reward_id,icon_type,reward_id,reward_type,id
1,56011044,1002,10201044,15,61
1,56011045,1003,10201045,15,62
50,56011045,0,91002,8,63
1,56011046,1001,10201046,15,64
1,56011047,1002,10201047,15,65
1,56011048,1003,10201048,15,66
50,56011048,0,91002,8,67
1,56011049,1001,10201049,15,68
1,56011050,1002,10201050,15,69
1,56011051,1003,10201051,15,70
50,56011051,0,91002,8,71
1,56011052,1001,10201052,15,72
1,56011053,1002,10201053,15,73
1,56011054,1003,10201054,15,74
50,56011054,0,91002,8,75
1,56011055,1001,10201055,15,76
1,56011056,1002,10201056,15,77
1,56011057,1003,10201057,15,78
50,56011057,0,91002,8,79
1,56011058,1001,10201058,15,80
1,56011059,1002,10201059,15,81
1,56011060,1003,10201060,15,82
50,56011060,0,91002,8,83
1,56011061,1001,10201061,15,84
1,56011062,1002,10201062,15,85
1,56011063,1003,10201063,15,86
50,56011063,0,91002,8,87
1,56011064,1001,10201064,15,88
1,56011065,1002,10201065,15,89
1,56011066,1003,10201066,15,90
50,56011066,0,91002,8,91
1,56011067,1001,10201067,15,92
1,56011068,1002,10201068,15,93
1,56011069,1003,10201069,15,94
50,56011069,0,91002,8,95
1,56011070,1001,10201070,15,96
1,56011071,1002,10201071,15,97
1,56011072,1003,10201072,15,98
50,56011072,0,91002,8,99
1,56011073,1001,10201073,15,100
1,56011074,1002,10201074,15,101
1,56011075,1003,10201075,15,102
50,56011075,0,91002,8,103
1,56011076,1001,10201076,15,104
1,56011077,1002,10201077,15,105
1,56011078,1003,10201078,15,106
50,56011078,0,91002,8,107
1,56011079,1001,10201079,15,108
1,56011080,1002,10201080,15,109
1,56011081,1003,10201081,15,110
50,56011081,0,91002,8,111
1,56011082,1001,10201082,15,112
1,56011083,1002,10201083,15,113
1,56011084,1003,10201084,15,114
50,56011084,0,91002,8,115
1,56011085,1001,10201085,15,116
1,56011086,1002,10201086,15,117
1,56011087,1003,10201087,15,118
50,56011087,0,91002,8,119
1,56011088,1001,10201088,15,120
1,56011089,1002,10201089,15,121
1,56011090,1003,10201090,15,122
50,56011090,0,91002,8,123
1,56011091,1001,10201091,15,124
1,56011092,1002,10201092,15,125
1,56011093,1003,10201093,15,126
50,56011093,0,91002,8,127
1,56011094,1001,10201094,15,128
1,56011095,1002,10201095,15,129
1,56011096,1003,10201096,15,130
50,56011096,0,91002,8,131
1,56011097,1001,10201097,15,132
1,56011098,1002,10201098,15,133
1,56011099,1003,10201099,15,134
50,56011099,0,91002,8,135
1,56011100,1001,10201100,15,136
1,56011101,1002,10201101,15,137
1,56011102,1003,10201102,15,138
50,56011102,0,91002,8,139
1,56011103,1001,10201103,15,140
1,56011104,1002,10201104,15,141
1,56011105,1003,10201105,15,142
50,56011105,0,91002,8,143
1,56011106,1001,10201106,15,144
1,56011107,1002,10201107,15,145
1,56011108,1003,10201108,15,146
50,56011108,0,91002,8,147
1,56011109,1001,10201109,15,148
1,56011110,1002,10201110,15,149
1,56011111,1003,10201111,15,150
50,56011111,0,91002,8,151
1,56011112,1001,10201112,15,152
1,56011113,1002,10201113,15,153
1,56011114,1003,10201114,15,154
50,56011114,0,91002,8,155
1,56011115,1001,10201115,15,156
1,56011116,1002,10201116,15,157
1,56011117,1003,10201117,15,158
50,56011117,0,91002,8,159
1,56011118,1001,10201118,15,160
1,56011119,1002,10201119,15,161
1,56011120,1003,10201120,15,162
50,56011120,0,91002,8,163
1,56011121,1001,10201121,15,164
1,56011122,1002,10201122,15,165
1,56011123,1003,10201123,15,166
50,56011123,0,91002,8,167
1,56011124,1001,10201124,15,168
1,56011125,1002,10201125,15,169
1,56011126,1003,10201126,15,170
50,56011126,0,91002,8,171
1,56011127,1001,10201127,15,172
1,56011128,1002,10201128,15,173
1,56011129,1003,10201129,15,174
50,56011129,0,91002,8,175
1,56011130,1001,10201130,15,176
1,56011131,1002,10201131,15,177
1,56011132,1003,10201132,15,178
50,56011132,0,91002,8,179
1,56011133,1001,10201133,15,180
1,56011134,1002,10201134,15,181
1,56011135,1003,10201135,15,182
50,56011135,0,91002,8,183
1,56011136,1001,10201136,15,184
1,56011137,1002,10201137,15,185
1,56011138,1003,10201138,15,186
50,56011138,0,91002,8,187
1,56011139,1001,10201139,15,188
1,56011140,1002,10201140,15,189
1,56011141,1003,10201141,15,190
50,56011141,0,91002,8,191
1,56011142,1001,10201142,15,192
1,56011143,1002,10201143,15,193
1,56011144,1003,10201144,15,194
50,56011144,0,91002,8,195
1,56011145,1001,10201145,15,196
1,56011146,1002,10201146,15,197
1,56011147,1003,10201147,15,198
50,56011147,0,91002,8,199
1,56011148,1001,10201148,15,200
1,56011149,1002,10201149,15,201
1,56011150,1003,10201150,15,202
50,56011150,0,91002,8,203
1,56011151,1001,10201151,15,204
1,56011152,1002,10201152,15,205
1,56011153,1003,10201153,15,206
50,56011153,0,91002,8,207
1,56011154,1001,10201154,15,208
1,56011155,1002,10201155,15,209
1,56011156,1003,10201156,15,210
50,56011156,0,91002,8,211
1,56011157,1001,10201157,15,212
1,56011158,1002,10201158,15,213
1,56011159,1003,10201159,15,214
50,56011159,0,91002,8,215
1,56011160,1001,10201160,15,216
1,56011161,1002,10201161,15,217
1,56011162,1003,10201162,15,218
50,56011162,0,91002,8,219
1,56011163,1001,10201163,15,220
1,56011164,1002,10201164,15,221
1,56011165,1003,10201165,15,222
50,56011165,0,91002,8,223
1,56011166,1001,10201166,15,224
1,56011167,1002,10201167,15,225
1,56011168,1003,10201168,15,226
50,56011168,0,91002,8,227
1,56011169,1001,10201169,15,228
1,56011170,1002,10201170,15,229
1,56011171,1003,10201171,15,230
50,56011171,0,91002,8,231
1,56011172,1001,10201172,15,232
1,56011173,1002,10201173,15,233
1,56011174,1003,10201174,15,234
50,56011174,0,91002,8,235
1,56011175,1001,10201175,15,236
1,56011176,1002,10201176,15,237
1,56011177,1003,10201177,15,238
50,56011177,0,91002,8,239
1,56011178,1001,10201178,15,240
1,56011179,1002,10201179,15,241
1,56011180,1003,10201180,15,242
50,56011180,0,91002,8,243
1,56011181,1001,10201181,15,244
1,56011182,1002,10201182,15,245
1,56011183,1003,10201183,15,246
50,56011183,0,91002,8,247
1,56011184,1001,10201184,15,248
1,56011185,1002,10201185,15,249
1,56011186,1003,10201186,15,250
50,56011186,0,91002,8,251
1,56011187,1001,10201187,15,252
1,56011188,1002,10201188,15,253
1,56011189,1003,10201189,15,254
50,56011189,0,91002,8,255
1,56011190,1001,10201190,15,256
1,56011191,1002,10201191,15,257
1,56011192,1003,10201192,15,258
50,56011192,0,91002,8,259
1,56011193,1001,10201193,15,260
1,56011194,1002,10201194,15,261
1,56011195,1003,10201195,15,262
50,56011195,0,91002,8,263
1,56011196,1001,10201196,15,264
1,56011197,1002,10201197,15,265
1,56011198,1003,10201198,15,266
50,56011198,0,91002,8,267
1,56011199,1001,10201199,15,268
1,56011200,1002,10201200,15,269
1,56011201,1003,10201201,15,270
50,56011201,0,91002,8,271
1,56011202,1001,10201202,15,272
1,56011203,1002,10201203,15,273
1,56011204,1003,10201204,15,274
50,56011204,0,91002,8,275
1,56011205,1001,10201205,15,276
1,56011206,1002,10201206,15,277
1,56011207,1003,10201207,15,278
50,56011207,0,91002,8,279
1,56011208,1001,10201208,15,280
1,56011209,1002,10201209,15,281
1,56011210,1003,10201210,15,282
50,56011210,0,91002,8,283
1,56011211,1001,10201211,15,284
1,56011212,1002,10201212,15,285
1,56011213,1003,10201213,15,286
50,56011213,0,91002,8,287
1,56011214,1001,10201214,15,288
1,56011215,1002,10201215,15,289
1,56011216,1003,10201216,15,290
50,56011216,0,91002,8,291
1,56011217,1001,10201217,15,292
1,56011218,1002,10201218,15,293
1,56011219,1003,10201219,15,294
50,56011219,0,91002,8,295
1,56011220,1001,10201220,15,296
1,56011221,1002,10201221,15,297
1,56011222,1003,10201222,15,298
50,56011222,0,91002,8,299
1,56011223,1001,10201223,15,300
1,56011224,1002,10201224,15,301
1,56011225,1003,10201225,15,302
50,56011225,0,91002,8,303
1,56011226,1001,10201226,15,304
1,56011227,1002,10201227,15,305
1,56011228,1003,10201228,15,306
50,56011228,0,91002,8,307
1,56011229,1001,10201229,15,308
1,56011230,1002,10201230,15,309
1,56011231,1003,10201231,15,310
50,56011231,0,91002,8,311
1,56011232,1001,10201232,15,312
1,56011233,1002,10201233,15,313
1,56011234,1003,10201234,15,314
50,56011234,0,91002,8,315
1,56012001,1003,10202001,15,316
1,56012002,1003,10202002,15,317
1,56012003,1003,10202003,15,318
1,56012004,1003,10202004,15,319
1,56012005,1003,10202005,15,320
1,56012006,1003,10202006,15,321
1,56012007,1003,10202007,15,322
1,56012008,1003,10202008,15,323
1,56012009,1003,10202009,15,324
1,56012010,1003,10202010,15,325
1,56012011,1003,10202011,15,326
1,56012012,1003,10202012,15,327
1,56012013,1003,10202013,15,328
1,56012014,1003,10202014,15,329
1,56012015,1003,10202015,15,330
1,54002001,1001,10501001,15,447
50,54002001,0,91002,8,448
1,54002002,1002,10501002,15,449
50,54002002,0,91002,8,450
1,54002003,1003,10501003,15,451
50,54002003,0,91002,8,452
1,54004001,1001,10502001,15,453
50,54004001,0,91002,8,454
1,54004002,1002,10502002,15,455
50,54004002,0,91002,8,456
1,54004003,1003,10502003,15,457
50,54004003,0,91002,8,458
1,55006001,1001,10601001,15,459
10,55006001,0,91002,8,460
1,55006002,1002,10601002,15,461
30,55006002,0,91002,8,462
1,55006003,1003,10601003,15,463
50,55006003,0,91002,8,464
1,56011235,1001,10201235,15,465
1,56011236,1002,10201236,15,466
1,56011237,1003,10201237,15,467
50,56011237,0,91002,8,468
1,56011238,1001,10201238,15,469
1,56011239,1002,10201239,15,470
1,56011240,1003,10201240,15,471
50,56011240,0,91002,8,472
1,56011241,1001,10201241,15,473
1,56011242,1002,10201242,15,474
1,56011243,1003,10201243,15,475
50,56011243,0,91002,8,476
1,56011244,1001,10201244,15,477
1,56011245,1002,10201245,15,478
1,56011246,1003,10201246,15,479
50,56011246,0,91002,8,480
1,56011247,1001,10201247,15,481
1,56011248,1002,10201248,15,482
1,56011249,1003,10201249,15,483
50,56011249,0,91002,8,484
1,56011250,1001,10201250,15,485
1,56011251,1002,10201251,15,486
1,56011252,1003,10201252,15,487
50,56011252,0,91002,8,488
1,56011253,1001,10201253,15,489
1,56011254,1002,10201254,15,490
1,56011255,1003,10201255,15,491
50,56011255,0,91002,8,492
1,56011256,1001,10201256,15,493
1,56011257,1002,10201257,15,494
1,56011258,1003,10201258,15,495
50,56011258,0,91002,8,496
1,56011259,1001,10201259,15,497
1,56011260,1002,10201260,15,498
1,56011261,1003,10201261,15,499
50,56011261,0,91002,8,500
1,56011262,1001,10201262,15,501
1,56011263,1002,10201263,15,502
1,56011264,1003,10201264,15,503
50,56011264,0,91002,8,504
1,56011265,1001,10201265,15,505
1,56011266,1002,10201266,15,506
1,56011267,1003,10201267,15,507
50,56011267,0,91002,8,508
1,56011268,1001,10201268,15,509
1,56011269,1002,10201269,15,510
1,56011270,1003,10201270,15,511
50,56011270,0,91002,8,512
1,56011271,1003,10201271,15,513
100,56011271,0,91002,8,514
1,56011272,1003,10201272,15,515
100,56011272,0,91002,8,516
1,56011273,1003,10201273,15,517
100,56011273,0,91002,8,518
1,56011274,1001,10201274,15,519
1,56011275,1002,10201275,15,520
1,56011276,1003,10201276,15,521
50,56011276,0,91002,8,522
1,56011277,1001,10201277,15,523
1,56011278,1002,10201278,15,524
1,56011279,1003,10201279,15,525
50,56011279,0,91002,8,526
1,56011280,1001,10201280,15,527
1,56011281,1002,10201281,15,528
1,56011282,1003,10201282,15,529
50,56011282,0,91002,8,530
1,56011283,1001,10201283,15,531
1,56011284,1002,10201284,15,532
1,56011285,1003,10201285,15,533
50,56011285,0,91002,8,534
1,56011286,1003,10201286,15,535
100,56011286,0,91002,8,536
1,56014001,1001,11101001,15,537
10,56014001,0,91002,8,538
1,56014002,1002,11101002,15,539
20,56014002,0,91002,8,540
1,56014003,1003,11101003,15,541
50,56014003,0,91002,8,542
1,56015001,1001,11201001,15,543
50,56015001,0,91002,8,544
1,56015002,1002,11201002,15,545
50,56015002,0,91002,8,546
1,56015003,1003,11201003,15,547
50,56015003,0,91002,8,548
1,56011287,1001,10201287,15,549
1,56011288,1002,10201288,15,550
1,56011289,1003,10201289,15,551
50,56011289,0,91002,8,552
1,56011290,1001,10201290,15,553
1,56011291,1002,10201291,15,554
1,56011292,1003,10201292,15,555
50,56011292,0,91002,8,556
1,56011293,1003,10201293,15,557
100,56011293,0,91002,8,558
1,56011294,1001,10201294,15,559
1,56011295,1002,10201295,15,560
1,56011296,1003,10201296,15,561
50,56011296,0,91002,8,562
1,56011297,1001,10201297,15,563
1,56011298,1002,10201298,15,564
1,56011299,1003,10201299,15,565
50,56011299,0,91002,8,566
1,56011300,1001,10201300,15,567
1,56011301,1002,10201301,15,568
1,56011302,1003,10201302,15,569
50,56011302,0,91002,8,570
1,56011303,1003,10201303,15,571
100,56011303,0,91002,8,572
1,56011304,1001,10201304,15,573
1,56011305,1002,10201305,15,574
1,56011306,1003,10201306,15,575
50,56011306,0,91002,8,576
1,58008015,1003,10301015,15,577
50,58008015,0,91002,8,578
1,56011307,1001,10201307,15,579
1,56011308,1002,10201308,15,580
1,56011309,1003,10201309,15,581
50,56011309,0,91002,8,582
1,56011310,1001,10201310,15,583
1,56011311,1002,10201311,15,584
1,56011312,1003,10201312,15,585
50,56011312,0,91002,8,586
1,56011313,1003,10201313,15,587
100,56011313,0,91002,8,588
1,56011314,1001,10201314,15,589
1,56011315,1002,10201315,15,590
1,56011316,1003,10201316,15,591
50,56011316,0,91002,8,592
1,56011317,1001,10201317,15,593
1,56011318,1002,10201318,15,594
1,56011319,1003,10201319,15,595
50,56011319,0,91002,8,596
1,56011320,1001,10201320,15,597
1,56011321,1002,10201321,15,598
1,56011322,1003,10201322,15,599
50,56011322,0,91002,8,600
1,56011323,1003,10201323,15,601
100,56011323,0,91002,8,602
1,56011324,1001,10201324,15,603
1,56011325,1002,10201325,15,604
1,56011326,1003,10201326,15,605
50,56011326,0,91002,8,606
1,56011327,1001,10201327,15,607
1,56011328,1002,10201328,15,608
1,56011329,1003,10201329,15,609
50,56011329,0,91002,8,610
1,56011330,1001,10201330,15,611
1,56011331,1002,10201331,15,612
1,56011332,1003,10201332,15,613
50,56011332,0,91002,8,614
1,56011333,1003,10201333,15,615
100,56011333,0,91002,8,616
1,56011334,1003,10201334,15,617
100,56011334,0,91002,8,618
1,56011335,1003,10201335,15,619
100,56011335,0,91002,8,620
1,56012100,1003,10202100,15,621
1,56011336,1001,10201336,15,622
1,56011337,1002,10201337,15,623
1,56011338,1003,10201338,15,624
50,56011338,0,91002,8,625
1,56011339,1001,10201339,15,626
1,56011340,1002,10201340,15,627
1,56011341,1003,10201341,15,628
50,56011341,0,91002,8,629
1,56012016,1003,10202016,15,630
1,56011342,1003,10201342,15,631
100,56011342,0,91002,8,632
1,56011343,1001,10201343,15,633
1,56011344,1002,10201344,15,634
1,56011345,1003,10201345,15,635
50,56011345,0,91002,8,636
1,56011346,1001,10201346,15,637
1,56011347,1002,10201347,15,638
1,56011348,1003,10201348,15,639
50,56011348,0,91002,8,640
1,56011349,1003,10201349,15,641
100,56011349,0,91002,8,642
1,55008001,1001,10603001,15,643
50,55008001,0,91002,8,644
1,55008002,1001,10603002,15,645
50,55008002,0,91002,8,646
1,55008003,1002,10603003,15,647
50,55008003,0,91002,8,648
1,55008004,1002,10603004,15,649
50,55008004,0,91002,8,650
1,55008005,1003,10603005,15,651
50,55008005,0,91002,8,652
1,55008006,1003,10603006,15,653
50,55008006,0,91002,8,654
1,56011350,1001,10201350,15,655
1,56011351,1002,10201351,15,656
1,56011352,1003,10201352,15,657
50,56011352,0,91002,8,658
1,56011353,1001,10201353,15,659
1,56011354,1002,10201354,15,660
1,56011355,1003,10201355,15,661
50,56011355,0,91002,8,662
1,56011356,1001,10201356,15,663
1,56011357,1002,10201357,15,664
1,56011358,1003,10201358,15,665
50,56011358,0,91002,8,666
1,56011359,1003,10201359,15,667
100,56011359,0,91002,8,668
1,56011360,1001,10201360,15,669
1,56011361,1002,10201361,15,670
1,56011362,1003,10201362,15,671
50,56011362,0,91002,8,672
1,56011363,1001,10201363,15,673
1,56011364,1002,10201364,15,674
1,56011365,1003,10201365,15,675
50,56011365,0,91002,8,676
1,56012017,1003,10202017,15,677
1,56011366,1001,10201366,15,678
1,56011367,1002,10201367,15,679
1,56011368,1003,10201368,15,680
50,56011368,0,91002,8,681
1,56011369,1001,10201369,15,682
1,56011370,1002,10201370,15,683
1,56011371,1003,10201371,15,684
50,56011371,0,91002,8,685
1,56011372,1003,10201372,15,686
100,56011372,0,91002,8,687
1,56011373,1001,10201373,15,688
1,56011374,1002,10201374,15,689
1,56011375,1003,10201375,15,690
50,56011375,0,91002,8,691
1,56011376,1001,10201376,15,692
1,56011377,1002,10201377,15,693
1,56011378,1003,10201378,15,694
50,56011378,0,91002,8,695
1,56011379,1001,10201379,15,696
1,56011380,1002,10201380,15,697
1,56011381,1003,10201381,15,698
50,56011381,0,91002,8,699
1,56011382,1001,10201382,15,700
1,56011383,1002,10201383,15,701
1,56011384,1003,10201384,15,702
50,56011384,0,91002,8,703
1,56011385,1003,10201385,15,704
100,56011385,0,91002,8,705
1,56011386,1001,10201386,15,706
1,56011387,1002,10201387,15,707
1,56011388,1003,10201388,15,708
50,56011388,0,91002,8,709
1,56011389,1001,10201389,15,710
1,56011390,1002,10201390,15,711
1,56011391,1003,10201391,15,712
50,56011391,0,91002,8,713
1,56011392,1001,10201392,15,714
1,56011393,1002,10201393,15,715
1,56011394,1003,10201394,15,716
50,56011394,0,91002,8,717
1,56011395,1003,10201395,15,718
100,56011395,0,91002,8,719
1,56011396,1003,10201396,15,720
100,56011396,0,91002,8,721
1,56011397,1001,10201397,15,722
1,56011398,1002,10201398,15,723
1,56011399,1003,10201399,15,724
50,56011399,0,91002,8,725
1,56011400,1001,10201400,15,726
1,56011401,1002,10201401,15,727
1,56011402,1003,10201402,15,728
50,56011402,0,91002,8,729
1,56011403,1001,10201403,15,730
1,56011404,1002,10201404,15,731
1,56011405,1003,10201405,15,732
50,56011405,0,91002,8,733
1,56011406,1003,10201406,15,734
100,56011406,0,91002,8,735
1,56011407,1001,10201407,15,736
1,56011408,1002,10201408,15,737
1,56011409,1003,10201409,15,738
50,56011409,0,91002,8,739
1,56011410,1001,10201410,15,740
1,56011411,1002,10201411,15,741
1,56011412,1003,10201412,15,742
50,56011412,0,91002,8,743
1,56011413,1003,10201413,15,744
100,56011413,0,91002,8,745
1,56011414,1001,10201414,15,746
1,56011415,1002,10201415,15,747
1,56011416,1003,10201416,15,748
50,56011416,0,91002,8,749
1,56011417,1001,10201417,15,750
1,56011418,1002,10201418,15,751
1,56011419,1003,10201419,15,752
50,56011419,0,91002,8,753
1,56011420,1001,10201420,15,754
1,56011421,1002,10201421,15,755
1,56011422,1003,10201422,15,756
50,56011422,0,91002,8,757
1,56011423,1003,10201423,15,758
100,56011423,0,91002,8,759
1,56011424,1001,10201424,15,760
1,56011425,1002,10201425,15,761
1,56011426,1003,10201426,15,762
50,56011426,0,91002,8,763
1,56011427,1001,10201427,15,764
1,56011428,1002,10201428,15,765
1,56011429,1003,10201429,15,766
50,56011429,0,91002,8,767
1,56011430,1001,10201430,15,768
1,56011431,1002,10201431,15,769
1,56011432,1003,10201432,15,770
50,56011432,0,91002,8,771
1,56011433,1001,10201433,15,772
1,56011434,1002,10201434,15,773
1,56011435,1003,10201435,15,774
50,56011435,0,91002,8,775
1,56011436,1003,10201436,15,776
100,56011436,0,91002,8,777
1,56011437,1001,10201437,15,778
1,56011438,1002,10201438,15,779
1,56011439,1003,10201439,15,780
50,56011439,0,91002,8,781
1,56011440,1001,10201440,15,782
1,56011441,1002,10201441,15,783
1,56011442,1003,10201442,15,784
50,56011442,0,91002,8,785
1,56011443,1001,10201443,15,786
1,56011444,1002,10201444,15,787
1,56011445,1003,10201445,15,788
50,56011445,0,91002,8,789
1,56011446,1003,10201446,15,790
100,56011446,0,91002,8,791
1,56011447,1001,10201447,15,792
1,56011448,1002,10201448,15,793
1,56011449,1003,10201449,15,794
50,56011449,0,91002,8,795
1,56011450,1001,10201450,15,796
1,56011451,1002,10201451,15,797
1,56011452,1003,10201452,15,798
50,56011452,0,91002,8,799
1,56011453,1001,10201453,15,800
1,56011454,1002,10201454,15,801
1,56011455,1003,10201455,15,802
50,56011455,0,91002,8,803
1,56011456,1001,10201456,15,804
1,56011457,1002,10201457,15,805
1,56011458,1003,10201458,15,806
50,56011458,0,91002,8,807
1,56011459,1001,10201459,15,808
1,56011460,1002,10201460,15,809
1,56011461,1003,10201461,15,810
50,56011461,0,91002,8,811
1,56011462,1003,10201462,15,812
100,56011462,0,91002,8,813
1,56011463,1003,10201463,15,814
100,56011463,0,91002,8,815
1,56011464,1003,10201464,15,816
100,56011464,0,91002,8,817
1,56011465,1001,10201465,15,818
1,56011466,1002,10201466,15,819
1,56011467,1003,10201467,15,820
50,56011467,0,91002,8,821
1,56011468,1001,10201468,15,822
1,56011469,1002,10201469,15,823
1,56011470,1003,10201470,15,824
50,56011470,0,91002,8,825
1,56011471,1003,10201471,15,826
100,56011471,0,91002,8,827
1,56011472,1001,10201472,15,828
1,56011473,1002,10201473,15,829
1,56011474,1003,10201474,15,830
50,56011474,0,91002,8,831
1,56011475,1001,10201475,15,832
1,56011476,1002,10201476,15,833
1,56011477,1003,10201477,15,834
50,56011477,0,91002,8,835
1,56011484,1003,10201484,15,836
100,56011484,0,91002,8,837
1,56011485,1001,10201485,15,838
1,56011486,1002,10201486,15,839
1,56011487,1003,10201487,15,840
50,56011487,0,91002,8,841
1,56011488,1001,10201488,15,842
1,56011489,1002,10201489,15,843
1,56011490,1003,10201490,15,844
50,56011490,0,91002,8,845
1,56011491,1001,10201491,15,846
1,56011492,1002,10201492,15,847
1,56011493,1003,10201493,15,848
50,56011493,0,91002,8,849
1,56011494,1003,10201494,15,850
100,56011494,0,91002,8,851
1,56011495,1001,10201495,15,852
1,56011496,1002,10201496,15,853
1,56011497,1003,10201497,15,854
50,56011497,0,91002,8,855
1,56011498,1001,10201498,15,856
1,56011499,1002,10201499,15,857
1,56011500,1003,10201500,15,858
50,56011500,0,91002,8,859
1,56011501,1001,10201501,15,860
1,56011502,1002,10201502,15,861
1,56011503,1003,10201503,15,862
50,56011503,0,91002,8,863
1,56011504,1003,10201504,15,864
100,56011504,0,91002,8,865
1,56011505,1001,10201505,15,867
1,56011506,1002,10201506,15,868
1,56011507,1003,10201507,15,869
50,56011507,0,91002,8,870
1,56011508,1001,10201508,15,871
1,56011509,1002,10201509,15,872
1,56011510,1003,10201510,15,873
50,56011510,0,91002,8,874
1,56011511,1001,10201511,15,875
1,56011512,1002,10201512,15,876
1,56011513,1003,10201513,15,877
50,56011513,0,91002,8,878
1,56011514,1003,10201514,15,879
100,56011514,0,91002,8,880
1,56011515,1001,10201515,15,881
1,56011516,1002,10201516,15,882
1,56011517,1003,10201517,15,883
50,56011517,0,91002,8,884
1,56011518,1001,10201518,15,885
1,56011519,1002,10201519,15,886
1,56011520,1003,10201520,15,887
50,56011520,0,91002,8,888
1,56011521,1001,10201521,15,889
1,56011522,1002,10201522,15,890
1,56011523,1003,10201523,15,891
50,56011523,0,91002,8,892
1,56011524,1003,10201524,15,893
100,56011524,0,91002,8,894
1,56011525,1001,10201525,15,895
1,56011526,1002,10201526,15,896
1,56011527,1003,10201527,15,897
50,56011527,0,91002,8,898
1,56011528,1001,10201528,15,899
1,56011529,1002,10201529,15,900
1,56011530,1003,10201530,15,901
50,56011530,0,91002,8,902
1,56011531,1001,10201531,15,903
1,56011532,1002,10201532,15,904
1,56011533,1003,10201533,15,905
50,56011533,0,91002,8,906
1,56011534,1001,10201534,15,907
1,56011535,1002,10201535,15,908
1,56011536,1003,10201536,15,909
50,56011536,0,91002,8,910
1,56011537,1003,10201537,15,911
100,56011537,0,91002,8,912
1,56011538,1001,10201538,15,913
1,56011539,1002,10201539,15,914
1,56011540,1003,10201540,15,915
50,56011540,0,91002,8,916
1,56011541,1001,10201541,15,917
1,56011542,1002,10201542,15,918
1,56011543,1003,10201543,15,919
50,56011543,0,91002,8,920
1,56011544,1001,10201544,15,921
1,56011545,1002,10201545,15,922
1,56011546,1003,10201546,15,923
50,56011546,0,91002,8,924
1,56011547,1001,10201547,15,925
1,56011548,1002,10201548,15,926
1,56011549,1003,10201549,15,927
50,56011549,0,91002,8,928
1,56011550,1003,10201550,15,929
100,56011550,0,91002,8,930
1,56011551,1003,10201551,15,931
100,56011551,0,91002,8,932
1,56011552,1001,10201552,15,933
1,56011553,1002,10201553,15,934
1,56011554,1003,10201554,15,935
50,56011554,0,91002,8,936
1,56011555,1001,10201555,15,937
1,56011556,1002,10201556,15,938
1,56011557,1003,10201557,15,939
50,56011557,0,91002,8,940
1,56011558,1001,10201558,15,941
1,56011559,1002,10201559,15,942
1,56011560,1003,10201560,15,943
50,56011560,0,91002,8,944
1,51402001,1001,11302001,15,945
50,51402001,0,91002,8,946
1,51402002,1002,11302002,15,947
50,51402002,0,91002,8,948
1,51402003,1003,11302003,15,949
50,51402003,0,91002,8,950
1,56011561,1003,10201561,15,951
100,56011561,0,91002,8,952
1,56011562,1001,10201562,15,953
1,56011563,1002,10201563,15,954
1,56011564,1003,10201564,15,955
50,56011564,0,91002,8,956
1,56011565,1001,10201565,15,957
1,56011566,1002,10201566,15,958
1,56011567,1003,10201567,15,959
50,56011567,0,91002,8,960
1,56011568,1001,10201568,15,961
1,56011569,1002,10201569,15,962
1,56011570,1003,10201570,15,963
50,56011570,0,91002,8,964
