param_06,param_01,command_type,command_id,param_08,param_03,param_05,param_02,drama_id,param_07,param_04
0,122911,3,1009801135,"",0,1,lsv_handsup_joy,1009801,0.2,lsv_idle_normal_joy
0,122711,3,1009801136,"",0,1,lsv_handsup_joy2,1009801,0.2,lsv_idle_normal_joy
"",vo_lsv,21,1009801137,"",0,"",vo_lsv_0136,1009801,"",0
0,122811,11,1009801138,0,10,1,"오~!",1009801,0,1
0,122911,11,1009801139,0,10,1,"오~!",1009801,0,1
0,122711,11,1009801140,0,10,1,"오~!",1009801,0,1
"",0,91,1009801141,"","","","",1009801,"",""
"",0,22,1009801142,"","","",0.2,1009801,"",""
"",0.2,93,1009801143,"","","","",1009801,"",""
"","",102,1009801144,"","","","",1009801,"",""
0,122911,12,1009801145,0,1,0,7,1009801,0,0
0.2,122911,3,1009801146,"",1,"",lsv_talk_joy3,1009801,"",""
"",3,93,1009801147,"","","",0,1009801,"",""
0.2,122911,3,1009801148,"",1,"",lsv_idle_normal_joyR,1009801,"",""
0,122811,12,1009801149,0,1,0,6,1009801,0,0
0,122811,3,1009801150,"",0,1,lsv_talk_guts1,1009801,0.2,lsv_talk_guts1_loop
"",3,93,1009801151,"","","",0,1009801,"",""
0.2,122811,3,1009801152,"",1,"",lsv_idle_joy,1009801,"",""
0,122711,12,1009801153,0,1,0,10,1009801,0,0
0.2,122711,3,1009801154,"",1,"",lsv_talk_joy1_normal,1009801,"",""
"",3,93,1009801155,"","","",0,1009801,"",""
0.2,122711,3,1009801156,"",1,"",lsv_idle_normal_joy,1009801,"",""
"",1009801145,101,1009801157,"","","","",1009801,"",""
1,333,6,1009801158,"",1,0,1,1009801,0,1
"",122711,4,1009801159,"","","",1,1009801,"",""
0.2,122711,3,1009801160,"",1,"",lsv_run,1009801,"",""
"",122711,2,1009801161,"",-235,0,-750,1009801,"",0.8
"",122811,4,1009801162,"","","",0,1009801,"",""
0.2,122811,3,1009801163,"",1,"",lsv_run,1009801,"",""
"",122811,2,1009801164,"",-220,0,750,1009801,"",0.8
"",122911,4,1009801165,"","","",0,1009801,"",""
0.2,122911,3,1009801166,"",1,"",lsv_run,1009801,"",""
"",122911,2,1009801167,"",-250,0,850,1009801,"",0.8
"",0.6,93,1009801168,"","","","",1009801,"",""
0.2,122711,6,1009801169,"",1,0,1,1009801,0,1
0.2,122811,6,1009801170,"",1,0,1,1009801,0,1
0.2,122911,6,1009801171,"",1,0,1,1009801,0,1
"",0,91,1009801172,"","","","",1009801,"",""
1.95,1,1,1009802001,lsv_idle_normal,102,-235,122911,1009802,0,-650
1.95,1,1,1009802002,lsv_idle_normal,100,-220,122811,1009802,1,650
1.95,1,1,1009802003,lsv_idle_normal,101,-250,122711,1009802,1,750
1,1,5,1009802004,lsv_white_loop,0,0,333,1009802,0,0
0,333,6,1009802005,"",1,0,1,1009802,0,1
0,122911,6,1009802006,"",1,0,1,1009802,0,1
0,122811,6,1009802007,"",1,0,1,1009802,0,1
0,122711,6,1009802008,"",1,0,1,1009802,0,1
"",1,93,1009802009,"","","",0,1009802,"",""
0.8,333,6,1009802010,"",1,0.4,1,1009802,0,1
0.2,122911,3,1009802011,"",1,"",lsv_walk,1009802,"",""
"",122911,2,1009802012,"",-235,0,-200,1009802,"",2
0.4,122911,6,1009802013,"",1,1,1,1009802,0,1
0.2,122811,3,1009802014,"",1,"",lsv_walk,1009802,"",""
"",122811,2,1009802015,"",-220,0,100,1009802,"",2
0.4,122811,6,1009802016,"",1,1,1,1009802,0,1
0.2,122711,3,1009802017,"",1,"",lsv_walk,1009802,"",""
"",122711,2,1009802018,"",-250,0,270,1009802,"",2
0.4,122711,6,1009802019,"",1,1,1,1009802,0,1
"",2,93,1009802020,"","","",0,1009802,"",""
0.2,122911,3,1009802021,"",1,"",lsv_idle_normal,1009802,"",""
0.2,122811,3,1009802022,"",1,"",lsv_idle_normal,1009802,"",""
0.2,122711,3,1009802023,"",1,"",lsv_idle_normal,1009802,"",""
"",0.6,93,1009802024,"","","",0,1009802,"",""
0.2,122811,3,1009802025,"",1,"",lsv_talk_sad_dead,1009802,"",""
"",vo_lsv,21,1009802026,"",0,"",vo_lsv_0221,1009802,"",0
0,122811,11,1009802027,0,10,1,"다시 한번 바다에 가봤지만\n뮤뮤의 가족은\n찾을 수 없었네~",1009802,0,1
"",0,91,1009802028,"","","","",1009802,"",""
0.2,122811,3,1009802029,"",1,"",lsv_idle_sad_talk1,1009802,"",""
0.2,122711,3,1009802030,"",1,"",lsv_talk_thinking_sadR,1009802,"",""
"",vo_lsv,21,1009802031,"",0,"",vo_lsv_0222,1009802,"",0
0,122711,11,1009802032,0,10,1,"응. 그러기는커녕,\n알 수 없는 게\n점점 늘었어",1009802,0,1
"",0,91,1009802033,"","","","",1009802,"",""
0.2,122711,3,1009802034,"",1,"",lsv_idle_normal_suprise1,1009802,"",""
0.2,122811,3,1009802035,"",1,"",lsv_idle_normal,1009802,"",""
0.2,122911,3,1009802036,"",1,"",lsv_talk_normal,1009802,"",""
"",vo_lsv,21,1009802037,"",0,"",vo_lsv_0223,1009802,"",0
0,122911,11,1009802038,0,10,1,"하지만, 뮤뮤의\n밥에 대한 건 알았어~\n우리랑 같은 걸 먹으면 된다는 거♪",1009802,0,1
"",0,91,1009802039,"","","","",1009802,"",""
0.2,122911,3,1009802040,"",1,"",lsv_idle_normal_joyR,1009802,"",""
0.2,122711,3,1009802041,"",1,"",lsv_talk_normal,1009802,"",""
"",vo_lsv,21,1009802042,"",0,"",vo_lsv_0224,1009802,"",0
0,122711,11,1009802043,0,10,1,"아, 확실히 그렇네.\n그 사실을 안 건\n다행이라고 생각해.",1009802,0,1
"",0,91,1009802044,"","","","",1009802,"",""
0.2,122711,3,1009802045,"",1,"",lsv_idle_normal,1009802,"",""
0.2,122911,3,1009802046,"",1,"",lsv_talk_surprise,1009802,"",""
"",vo_lsv,21,1009802047,"",0,"",vo_lsv_0225,1009802,"",0
0,122911,11,1009802048,0,10,1,"뮤뮤는 어떤\n밥을 좋아하게 될까~?\n오빠라면 알겠어?",1009802,0,1
"",0,91,1009802049,"","","","",1009802,"",""
0.2,122911,3,1009802050,"",1,"",lsv_idle_surprise_talkjoy,1009802,"",""
0,122911,3,1009802051,"",0,1,lsv_choice,1009802,0.2,lsv_look_idle_normal
0,122811,3,1009802052,"",0,1,lsv_choice,1009802,0.2,lsv_look_idle_normal
0,122711,3,1009802053,"",0,1,lsv_choice,1009802,0.2,lsv_look_idle_normal
"",0.1,93,1009802054,"","","",0,1009802,"",""
"",122911,2,1009802055,"",-235,2,-452,1009802,0.2,0.33
"",122811,2,1009802056,"",-220,2,420,1009802,0.2,0.33
"",122711,2,1009802057,"",-250,2,545,1009802,0.2,0.33
0.2,0,22,1009802058,"",1,"",0,1009802,"",""
"","케이크",103,1009802059,"",0,"",1009802062,1009802,"",""
"","사과",103,1009802060,"",0,"",1009802086,1009802,"",""
"","빵",103,1009802061,"",0,"",1009802109,1009802,"",""
0,122911,3,1009802062,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
0,122811,3,1009802063,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
0,122711,3,1009802064,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
"",0.1,93,1009802065,"","","",0,1009802,"",""
"",122911,2,1009802066,"",-235,2,-200,1009802,0.2,0.33
"",122811,2,1009802067,"",-220,2,100,1009802,0.2,0.33
"",122711,2,1009802068,"",-250,2,270,1009802,0.2,0.33
"",0.7,93,1009802069,"","","",0,1009802,"",""
0.2,122911,3,1009802070,"",1,"",lsv_talk_joy3,1009802,"",""
"",vo_lsv,21,1009802071,"",0,"",vo_lsv_0226,1009802,"",0
0,122911,11,1009802072,0,10,1,"케이크, 맛있지~\n미미도 정~말 좋아해♪",1009802,0,1
"",0,91,1009802073,"","","","",1009802,"",""
0.2,122911,3,1009802074,"",1,"",lsv_idle_normal_joy,1009802,"",""
0.2,122811,3,1009802075,"",1,"",lsv_talk_wish_joy,1009802,"",""
"",vo_lsv,21,1009802076,"",0,"",vo_lsv_0227,1009802,"",0
0,122811,11,1009802077,0,10,1,"케이크… 그거라면\n어떤 케이크를 좋아하는지도\n조사하는 게 좋겠네, 꼭!",1009802,0,1
"",0,91,1009802078,"","","","",1009802,"",""
0.2,122811,3,1009802079,"",1,"",lsv_idle_wish_joy,1009802,"",""
0,122711,3,1009802080,"",0,1,lsv_talk_doya_shy,1009802,0.2,lsv_talk_doya_shy_loop
"",vo_lsv,21,1009802081,"",0,"",vo_lsv_0228,1009802,"",0
0,122711,11,1009802082,0,10,1,"그런 말 하면서, 여러 가지 케이크를\n먹고 싶은 것뿐인 게…\n하지만, 나도 찬성이야♪",1009802,0,1
"",0,91,1009802083,"","","","",1009802,"",""
0.2,122711,3,1009802084,"",1,"",lsv_idle_doya,1009802,"",""
"",1009802133,101,1009802085,"","","","",1009802,"",""
0,122911,3,1009802086,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
0,122811,3,1009802087,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
0,122711,3,1009802088,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
"",0.1,93,1009802089,"","","",0,1009802,"",""
"",122911,2,1009802090,"",-235,2,-200,1009802,0.2,0.33
"",122811,2,1009802091,"",-220,2,100,1009802,0.2,0.33
"",122711,2,1009802092,"",-250,2,270,1009802,0.2,0.33
"",0.7,93,1009802093,"","","",0,1009802,"",""
0.2,122711,3,1009802094,"",1,"",lsv_talk_thinking_joyR,1009802,"",""
"",vo_lsv,21,1009802095,"",0,"",vo_lsv_0229,1009802,"",0
0,122711,11,1009802096,0,10,1,"사과… 과일인가요.\n건강할 것 같고 좋다고 생각해요.",1009802,0,1
"",0,91,1009802097,"","","","",1009802,"",""
0.2,122711,3,1009802098,"",1,"",lsv_idle_normal_joy,1009802,"",""
0,122911,3,1009802099,"",0,1,lsv_talk_guts2_joy,1009802,0.2,lsv_talk_guts2_joy_loop
"",vo_lsv,21,1009802100,"",0,"",vo_lsv_0230,1009802,"",0
0,122911,11,1009802101,0,10,1,"미미, 토끼 모양으로\n자른 사과 좋아해~♪",1009802,0,1
"",0,91,1009802102,"","","","",1009802,"",""
0.2,122911,3,1009802103,"",1,"",lsv_idle_normal_joyR,1009802,"",""
0,122811,3,1009802104,"",0,1,lsv_talk_guts2,1009802,0.2,lsv_talk_guts2_loop
"",vo_lsv,21,1009802105,"",0,"",vo_lsv_0231,1009802,"",0
0,122811,11,1009802106,0,10,1,"우리도 잘라 주자!\n어려울 것 같지만,\n분명 어떻게든 될 거야!",1009802,0,1
"",0,91,1009802107,"","","","",1009802,"",""
"",1009802133,101,1009802108,"","","","",1009802,"",""
0,122911,3,1009802109,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
0,122811,3,1009802110,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
0,122711,3,1009802111,"",0,1,lsv_choice,1009802,0.2,lsv_idle_normal
"",0.1,93,1009802112,"","","",0,1009802,"",""
"",122911,2,1009802113,"",-235,2,-200,1009802,0.2,0.33
"",122811,2,1009802114,"",-220,2,100,1009802,0.2,0.33
"",122711,2,1009802115,"",-250,2,270,1009802,0.2,0.33
"",0.7,93,1009802116,"","","",0,1009802,"",""
0.2,122811,3,1009802117,"",1,"",lsv_talk_normal_worry,1009802,"",""
"",vo_lsv,21,1009802118,"",0,"",vo_lsv_0232,1009802,"",0
0,122811,11,1009802119,0,10,1,"빵이라… 어쩐지 평범하네~\n우리도 매일 먹고 있고",1009802,0,1
"",0,91,1009802120,"","","","",1009802,"",""
0.2,122811,3,1009802121,"",1,"",lsv_idle_normal_suprise1,1009802,"",""
0.2,122711,3,1009802122,"",1,"",lsv_talk_normal,1009802,"",""
"",vo_lsv,21,1009802123,"",0,"",vo_lsv_0233,1009802,"",0
0,122711,11,1009802124,0,10,1,"하지만, 싫었으면 매일은\n먹을 수 없어.\n게다가, 어레인지도 할 수 있고.",1009802,0,1
"",0,91,1009802125,"","","","",1009802,"",""
0.2,122711,3,1009802126,"",1,"",lsv_idle_normal,1009802,"",""
0.2,122911,3,1009802127,"",1,"",lsv_talk_wish_joy,1009802,"",""
"",vo_lsv,21,1009802128,"",0,"",vo_lsv_0234,1009802,"",0
0,122911,11,1009802129,0,10,1,"샌드위치라면\n우리도 만들 수 있을지도!\n만들어 보자~♪",1009802,0,1
"",0,91,1009802130,"","","","",1009802,"",""
0.2,122911,3,1009802131,"",1,"",lsv_idle_wish_joyR,1009802,"",""
"",1009802133,101,1009802132,"","","","",1009802,"",""
"",0,91,1009802133,"","","","",1009802,"",""
"","",102,1009802134,"","","","",1009802,"",""
"",0,22,1009802135,"","","",0.2,1009802,"",""
"",0.2,93,1009802136,"","","","",1009802,"",""
0,122811,12,1009802137,0,1,0,11,1009802,0,0
0.2,122811,3,1009802138,"",0,1,lsv_surprise3_kira,1009802,0.2,lsv_surprise3_kira_loop
"",3,93,1009802139,"","","",0,1009802,"",""
0.2,122811,3,1009802140,"",1,"",lsv_idle_normal_joy,1009802,"",""
0,122711,12,1009802141,0,1,0,10,1009802,0,0
0.2,122711,3,1009802142,"",1,"",lsv_talk_joy3_dere,1009802,"",""
"",3,93,1009802143,"","","",0,1009802,"",""
0.2,122711,3,1009802144,"",1,"",lsv_idle_normal_joy,1009802,"",""
0,122911,12,1009802145,0,1,0,7,1009802,0,0
0.2,122911,3,1009802146,"",1,"",lsv_talk_memory,1009802,"",""
"",3,93,1009802147,"","","",0,1009802,"",""
0.2,122911,3,1009802148,"",1,"",lsv_idle_normal_joyR,1009802,"",""
"",1009802137,101,1009802149,"","","","",1009802,"",""
1,333,6,1009802150,"",1,0,1,1009802,0,1
"",122911,4,1009802151,"","","",1,1009802,"",""
0.2,122911,3,1009802152,"",1,"",lsv_run,1009802,"",""
"",122911,2,1009802153,"",-235,0,-750,1009802,"",0.8
"",122811,4,1009802154,"","","",0,1009802,"",""
0.2,122811,3,1009802155,"",1,"",lsv_run,1009802,"",""
"",122811,2,1009802156,"",-220,0,750,1009802,"",0.8
"",122711,4,1009802157,"","","",0,1009802,"",""
0.2,122711,3,1009802158,"",1,"",lsv_run,1009802,"",""
"",122711,2,1009802159,"",-250,0,850,1009802,"",0.8
"",0.6,93,1009802160,"","","","",1009802,"",""
0.2,122911,6,1009802161,"",1,0,1,1009802,0,1
0.2,122811,6,1009802162,"",1,0,1,1009802,0,1
0.2,122711,6,1009802163,"",1,0,1,1009802,0,1
"",0,91,1009802164,"","","","",1009802,"",""
1.95,1,1,1009803001,lsv_idle_normal,101,-220,100411,1009803,0,-700
1.95,1,1,1009803002,lsv_idle_normal,100,-235,103611,1009803,0,-550
1.95,1,1,1009803003,lsv_idle_normal,102,-250,102011,1009803,0,-800
1,1,5,1009803004,lsv_white_loop,0,0,333,1009803,0,0
0,333,6,1009803005,"",1,0,1,1009803,0,1
0,3,31,1009803006,"",-630,1.3,13,1009803,"",110
0,100411,6,1009803007,"",1,0,1,1009803,0,1
0,103611,6,1009803008,"",1,0,1,1009803,0,1
0,102011,6,1009803009,"",1,0,1,1009803,0,1
"",1,93,1009803010,"","","",0,1009803,"",""
0.8,333,6,1009803011,"",1,0.4,1,1009803,0,1
0.2,100411,3,1009803012,"",1,"",lsv_walk_glad,1009803,"",""
"",100411,2,1009803013,"",-220,0,-100,1009803,"",2
0.4,100411,6,1009803014,"",1,1,1,1009803,0,1
0.2,103611,3,1009803015,"",1,"",lsv_walk_glad2,1009803,"",""
"",103611,2,1009803016,"",-235,0,100,1009803,"",2.2
0.4,103611,6,1009803017,"",1,1,1,1009803,0,1
0.2,102011,3,1009803018,"",1,"",lsv_walk_glad,1009803,"",""
"",102011,2,1009803019,"",-250,0,-270,1009803,"",2
0.4,102011,6,1009803020,"",1,1,1,1009803,0,1
"",13,32,1009803021,"","","",1,1009803,"",""
"",13,33,1009803022,"",110,0,-180,1009803,"",2
"",2,93,1009803023,"","","","",1009803,"",""
"",13,32,1009803024,"","","",0,1009803,"",""
0.2,100411,3,1009803025,"",1,"",lsv_idle_normal,1009803,"",""
0.2,102011,3,1009803026,"",1,"",lsv_idle_normal,1009803,"",""
"",0.2,93,1009803027,"","","","",1009803,"",""
"",103611,4,1009803028,"","","",1,1009803,"",""
0.2,103611,3,1009803029,"",1,"",lsv_idle_normal,1009803,"",""
"",0.5,93,1009803030,"","","","",1009803,"",""
0,100411,12,1009803031,"",0.5,"",10,1009803,0,""
0,100411,3,1009803032,"",0,1,lsv_smile2,1009803,0.2,lsv_idle_normal
0,103611,12,1009803033,"",0.5,"",10,1009803,0,""
0,103611,3,1009803034,"",0,1,lsv_smile2,1009803,0.2,lsv_idle_normal
0,102011,12,1009803035,"",0.5,"",10,1009803,0,""
0,102011,3,1009803036,"",0,1,lsv_smile2,1009803,0.2,lsv_idle_normal
"",2,93,1009803037,"","","","",1009803,"",""
"",103611,4,1009803038,"","","",0,1009803,"",""
0.2,103611,3,1009803039,"",1,"",lsv_walk,1009803,"",""
"",103611,2,1009803040,"",-235,0,200,1009803,"",0.5
"",0.5,93,1009803041,"","","","",1009803,"",""
0.2,103611,3,1009803042,"",1,"",lsv_idle_normal,1009803,"",""
"",0,93,1009803043,"","","","",1009803,"",""
"",103611,4,1009803044,"","","",1,1009803,"",""
"",0.6,93,1009803045,"","","","",1009803,"",""
