event_top_adv_id,type,start_time,condition_type,event_id,value_1,character_id,value_2,story_id,end_time,condition_story_id,value_3
42,1003,"2019/10/30 15:00:00",0,10007,16,108201,0,5007410,"2019/11/17 14:59:59",0,0
43,1003,"2019/10/30 15:00:00",0,10007,19,108101,0,5007411,"2019/11/17 14:59:59",0,0
44,1002,"2019/11/28 15:00:00",0,10008,1000803,105601,1,5008402,"2019/12/17 14:59:59",0,0
45,1001,"2019/11/28 15:00:00",0,10008,10,101301,0,5008403,"2019/12/17 14:59:59",0,0
46,1001,"2019/11/28 15:00:00",0,10008,20,100901,0,5008404,"2019/12/17 14:59:59",0,0
47,1001,"2019/11/28 15:00:00",0,10008,30,105601,0,5008405,"2019/12/17 14:59:59",0,0
48,1003,"2019/11/28 15:00:00",0,10008,2,105601,0,5008406,"2019/12/17 14:59:59",0,0
49,1003,"2019/11/28 15:00:00",0,10008,4,100901,0,5008407,"2019/12/17 14:59:59",0,0
50,1003,"2019/11/28 15:00:00",0,10008,7,101301,0,5008408,"2019/12/17 14:59:59",0,0
51,1003,"2019/11/28 15:00:00",0,10008,10,105101,0,5008409,"2019/12/17 14:59:59",0,0
52,1003,"2019/11/28 15:00:00",0,10008,13,102701,0,5008410,"2019/12/17 14:59:59",0,0
53,1003,"2019/11/28 15:00:00",0,10008,15,105601,0,5008411,"2019/12/17 14:59:59",0,0
54,1004,"2019/12/31 15:00:00",0,10009,108501,108501,0,5009401,"2020/01/16 14:59:59",0,0
55,1002,"2019/12/31 15:00:00",0,10009,1000903,108401,1,5009402,"2020/01/16 14:59:59",0,0
56,1001,"2019/12/31 15:00:00",0,10009,10,108601,0,5009403,"2020/01/16 14:59:59",0,0
57,1001,"2019/12/31 15:00:00",0,10009,20,108501,0,5009404,"2020/01/16 14:59:59",0,0
58,1001,"2019/12/31 15:00:00",0,10009,30,108401,0,5009405,"2020/01/16 14:59:59",0,0
59,1003,"2019/12/31 15:00:00",0,10009,2,108601,0,5009406,"2020/01/16 14:59:59",0,0
60,1003,"2019/12/31 15:00:00",0,10009,4,108601,0,5009407,"2020/01/16 14:59:59",0,0
61,1003,"2019/12/31 15:00:00",0,10009,7,108501,0,5009408,"2020/01/16 14:59:59",0,0
62,1003,"2019/12/31 15:00:00",0,10009,10,108501,0,5009409,"2020/01/16 14:59:59",0,0
63,1003,"2019/12/31 15:00:00",0,10009,13,108401,0,5009410,"2020/01/16 14:59:59",0,0
64,1003,"2019/12/31 15:00:00",0,10009,15,108401,0,5009411,"2020/01/16 14:59:59",0,0
65,1004,"2020/01/30 15:00:00",0,10010,108901,108901,0,5010401,"2020/02/13 14:59:59",0,0
66,1002,"2020/01/30 15:00:00",0,10010,1001003,108801,1,5010402,"2020/02/13 14:59:59",0,0
67,1001,"2020/01/30 15:00:00",0,10010,10,108901,0,5010403,"2020/02/13 14:59:59",0,0
68,1001,"2020/01/30 15:00:00",0,10010,20,108701,0,5010404,"2020/02/13 14:59:59",0,0
69,1001,"2020/01/30 15:00:00",0,10010,30,108801,0,5010405,"2020/02/13 14:59:59",0,0
70,1003,"2020/01/30 15:00:00",0,10010,2,108801,0,5010406,"2020/02/13 14:59:59",0,0
71,1003,"2020/01/30 15:00:00",0,10010,4,108901,0,5010407,"2020/02/13 14:59:59",0,0
72,1003,"2020/01/30 15:00:00",0,10010,7,108701,0,5010408,"2020/02/13 14:59:59",0,0
73,1003,"2020/01/30 15:00:00",0,10010,10,108901,0,5010409,"2020/02/13 14:59:59",0,0
74,1003,"2020/01/30 15:00:00",0,10010,13,108801,0,5010410,"2020/02/13 14:59:59",0,0
75,1003,"2020/01/30 15:00:00",0,10010,15,108701,0,5010411,"2020/02/13 14:59:59",0,0
76,1004,"2020/02/27 15:00:00",0,10011,109001,109001,0,5011401,"2020/03/12 14:59:59",0,0
77,1002,"2020/02/27 15:00:00",0,10011,1001103,101101,1,5011402,"2020/03/12 14:59:59",0,0
78,1001,"2020/02/27 15:00:00",0,10011,10,101101,0,5011403,"2020/03/12 14:59:59",0,0
79,1001,"2020/02/27 15:00:00",0,10011,20,109101,0,5011404,"2020/03/12 14:59:59",0,0
80,1001,"2020/02/27 15:00:00",0,10011,30,109001,0,5011405,"2020/03/12 14:59:59",0,0
81,1003,"2020/02/27 15:00:00",0,10011,2,109101,0,5011406,"2020/03/12 14:59:59",0,0
82,1003,"2020/02/27 15:00:00",0,10011,4,109001,0,5011407,"2020/03/12 14:59:59",0,0
83,1003,"2020/02/27 15:00:00",0,10011,7,109101,0,5011408,"2020/03/12 14:59:59",0,0
84,1003,"2020/02/27 15:00:00",0,10011,10,109001,0,5011409,"2020/03/12 14:59:59",0,0
85,1003,"2020/02/27 15:00:00",0,10011,13,101101,0,5011410,"2020/03/12 14:59:59",0,0
86,1003,"2020/02/27 15:00:00",0,10011,15,109101,0,5011411,"2020/03/12 14:59:59",0,0
87,1002,"2020/04/01 15:00:00",0,10012,1001203,101401,1,5012402,"2020/04/15 14:59:59",0,0
88,1001,"2020/04/01 15:00:00",0,10012,10,105501,0,5012403,"2020/04/15 14:59:59",0,0
89,1001,"2020/04/01 15:00:00",0,10012,20,101401,0,5012404,"2020/04/15 14:59:59",0,0
90,1001,"2020/04/01 15:00:00",0,10012,30,101401,0,5012405,"2020/04/15 14:59:59",0,0
91,1003,"2020/04/01 15:00:00",0,10012,2,101401,0,5012406,"2020/04/15 14:59:59",0,0
92,1003,"2020/04/01 15:00:00",0,10012,4,101401,0,5012407,"2020/04/15 14:59:59",0,0
93,1003,"2020/04/01 15:00:00",0,10012,7,101401,0,5012408,"2020/04/15 14:59:59",0,0
94,1003,"2020/04/01 15:00:00",0,10012,10,105501,0,5012409,"2020/04/15 14:59:59",0,0
95,1003,"2020/04/01 15:00:00",0,10012,13,105501,0,5012410,"2020/04/15 14:59:59",0,0
96,1003,"2020/04/01 15:00:00",0,10012,15,101401,0,5012411,"2020/04/15 14:59:59",0,0
97,1004,"2020/04/29 15:00:00",0,10013,109301,109301,0,5013401,"2020/05/13 14:59:59",0,0
98,1002,"2020/04/29 15:00:00",0,10013,1001303,109201,1,5013402,"2020/05/13 14:59:59",0,0
99,1001,"2020/04/29 15:00:00",0,10013,10,109301,0,5013403,"2020/05/13 14:59:59",0,0
100,1001,"2020/04/29 15:00:00",0,10013,20,109401,0,5013404,"2020/05/13 14:59:59",0,0
101,1001,"2020/04/29 15:00:00",0,10013,30,109201,0,5013405,"2020/05/13 14:59:59",0,0
102,1003,"2020/04/29 15:00:00",0,10013,2,109201,0,5013406,"2020/05/13 14:59:59",0,0
103,1003,"2020/04/29 15:00:00",0,10013,4,109401,0,5013407,"2020/05/13 14:59:59",0,0
104,1003,"2020/04/29 15:00:00",0,10013,6,109301,0,5013408,"2020/05/13 14:59:59",0,0
105,1003,"2020/04/29 15:00:00",0,10013,8,109201,0,5013409,"2020/05/13 14:59:59",0,0
106,1003,"2020/04/29 15:00:00",0,10013,10,109401,0,5013410,"2020/05/13 14:59:59",0,0
107,1003,"2020/04/29 15:00:00",0,10013,13,109201,0,5013411,"2020/05/13 14:59:59",0,0
108,1002,"2020/05/28 15:00:00",0,10015,1001503,105301,1,5015402,"2020/06/11 14:59:59",0,0
109,1001,"2020/05/28 15:00:00",0,10015,10,105301,0,5015403,"2020/06/11 14:59:59",0,0
110,1001,"2020/05/28 15:00:00",0,10015,20,109501,0,5015404,"2020/06/11 14:59:59",0,0
111,1001,"2020/05/28 15:00:00",0,10015,30,109601,0,5015405,"2020/06/11 14:59:59",0,0
112,1003,"2020/05/28 15:00:00",0,10015,2,109501,0,5015406,"2020/06/11 14:59:59",0,0
113,1003,"2020/05/28 15:00:00",0,10015,4,109501,0,5015407,"2020/06/11 14:59:59",0,0
114,1003,"2020/05/28 15:00:00",0,10015,6,105301,0,5015408,"2020/06/11 14:59:59",0,0
115,1003,"2020/05/28 15:00:00",0,10015,8,109601,0,5015409,"2020/06/11 14:59:59",0,0
116,1003,"2020/05/28 15:00:00",0,10015,10,109601,0,5015410,"2020/06/11 14:59:59",0,0
117,1003,"2020/05/28 15:00:00",0,10015,13,105301,0,5015411,"2020/06/11 14:59:59",0,0
118,1004,"2020/06/30 15:00:00",0,10017,109801,109801,0,5017401,"2020/07/14 14:59:59",0,0
119,1002,"2020/06/30 15:00:00",0,10017,1001703,109901,1,5017402,"2020/07/14 14:59:59",0,0
120,1001,"2020/06/30 15:00:00",0,10017,10,109801,0,5017403,"2020/07/14 14:59:59",0,0
121,1001,"2020/06/30 15:00:00",0,10017,20,109701,0,5017404,"2020/07/14 14:59:59",0,0
122,1001,"2020/06/30 15:00:00",0,10017,30,109901,0,5017405,"2020/07/14 14:59:59",0,0
123,1003,"2020/06/30 15:00:00",0,10017,2,109701,0,5017406,"2020/07/14 14:59:59",0,0
124,1003,"2020/06/30 15:00:00",0,10017,4,109701,0,5017407,"2020/07/14 14:59:59",0,0
125,1003,"2020/06/30 15:00:00",0,10017,7,109801,0,5017408,"2020/07/14 14:59:59",0,0
126,1003,"2020/06/30 15:00:00",0,10017,10,109901,0,5017409,"2020/07/14 14:59:59",0,0
127,1003,"2020/06/30 15:00:00",0,10017,13,109901,0,5017410,"2020/07/14 14:59:59",0,0
128,1003,"2020/06/30 15:00:00",0,10017,15,109901,0,5017411,"2020/07/14 14:59:59",0,0
129,1004,"2020/07/30 15:00:00",0,10019,110101,110101,0,5019401,"2020/08/13 14:59:59",0,0
130,1002,"2020/07/30 15:00:00",0,10019,1001903,110201,1,5019402,"2020/08/13 14:59:59",0,0
131,1001,"2020/07/30 15:00:00",0,10019,10,110001,0,5019403,"2020/08/13 14:59:59",0,0
132,1001,"2020/07/30 15:00:00",0,10019,20,110201,0,5019404,"2020/08/13 14:59:59",0,0
133,1001,"2020/07/30 15:00:00",0,10019,30,110101,0,5019405,"2020/08/13 14:59:59",0,0
134,1003,"2020/07/30 15:00:00",0,10019,2,110001,0,5019406,"2020/08/13 14:59:59",0,0
135,1003,"2020/07/30 15:00:00",0,10019,4,110001,0,5019407,"2020/08/13 14:59:59",0,0
136,1003,"2020/07/30 15:00:00",0,10019,7,110201,0,5019408,"2020/08/13 14:59:59",0,0
137,1003,"2020/07/30 15:00:00",0,10019,10,110101,0,5019409,"2020/08/13 14:59:59",0,0
138,1003,"2020/07/30 15:00:00",0,10019,13,110101,0,5019410,"2020/08/13 14:59:59",0,0
139,1003,"2020/07/30 15:00:00",0,10019,15,110201,0,5019411,"2020/08/13 14:59:59",0,0
140,1004,"2020/08/14 15:00:00",0,10020,107601,107601,0,5004401,"2020/08/21 14:59:59",0,0
141,1002,"2020/08/14 15:00:00",0,10020,1002003,107601,1,5004402,"2020/08/21 14:59:59",0,0
142,1001,"2020/08/14 15:00:00",0,10020,10,107701,0,5004403,"2020/08/21 14:59:59",0,0
143,1001,"2020/08/14 15:00:00",0,10020,20,107501,0,5004404,"2020/08/21 14:59:59",0,0
144,1001,"2020/08/14 15:00:00",0,10020,30,107601,0,5004405,"2020/08/21 14:59:59",0,0
145,1003,"2020/08/14 15:00:00",0,10020,2,107501,0,5004406,"2020/08/21 14:59:59",0,0
146,1003,"2020/08/14 15:00:00",0,10020,3,107601,0,5004407,"2020/08/21 14:59:59",0,0
147,1003,"2020/08/14 15:00:00",0,10020,4,107801,0,5004408,"2020/08/21 14:59:59",0,0
148,1003,"2020/08/14 15:00:00",0,10020,5,107701,0,5004409,"2020/08/21 14:59:59",0,0
149,1003,"2020/08/14 15:00:00",0,10020,6,107501,0,5004410,"2020/08/21 14:59:59",0,0
150,1003,"2020/08/14 15:00:00",0,10020,8,107601,0,5004411,"2020/08/21 14:59:59",0,0
151,1004,"2020/08/31 15:00:00",0,10021,110501,110501,0,5021401,"2020/09/14 14:59:59",0,0
152,1002,"2020/08/31 15:00:00",0,10021,1002103,110401,1,5021402,"2020/09/14 14:59:59",0,0
153,1001,"2020/08/31 15:00:00",0,10021,10,110501,0,5021403,"2020/09/14 14:59:59",0,0
154,1001,"2020/08/31 15:00:00",0,10021,20,110401,0,5021404,"2020/09/14 14:59:59",0,0
155,1001,"2020/08/31 15:00:00",0,10021,30,110601,0,5021405,"2020/09/14 14:59:59",0,0
156,1003,"2020/08/31 15:00:00",0,10021,2,110601,0,5021406,"2020/09/14 14:59:59",0,0
157,1003,"2020/08/31 15:00:00",0,10021,4,110401,0,5021407,"2020/09/14 14:59:59",0,0
158,1003,"2020/08/31 15:00:00",0,10021,6,110501,0,5021408,"2020/09/14 14:59:59",0,0
159,1003,"2020/08/31 15:00:00",0,10021,8,110401,0,5021409,"2020/09/14 14:59:59",0,0
160,1003,"2020/08/31 15:00:00",0,10021,11,110601,0,5021410,"2020/09/14 14:59:59",0,0
161,1003,"2020/08/31 15:00:00",0,10021,14,110501,0,5021411,"2020/09/14 14:59:59",0,0
162,1004,"2020/09/14 15:00:00",0,10022,108001,108001,0,5005401,"2020/09/21 14:59:59",0,0
163,1002,"2020/09/14 15:00:00",0,10022,1002203,107901,1,5005402,"2020/09/21 14:59:59",0,0
164,1001,"2020/09/14 15:00:00",0,10022,10,108001,0,5005403,"2020/09/21 14:59:59",0,0
165,1001,"2020/09/14 15:00:00",0,10022,20,107901,0,5005404,"2020/09/21 14:59:59",0,0
166,1001,"2020/09/14 15:00:00",0,10022,30,108001,0,5005405,"2020/09/21 14:59:59",0,0
167,1003,"2020/09/14 15:00:00",0,10022,2,107901,0,5005406,"2020/09/21 14:59:59",0,0
168,1003,"2020/09/14 15:00:00",0,10022,3,108001,0,5005407,"2020/09/21 14:59:59",0,0
169,1003,"2020/09/14 15:00:00",0,10022,4,107901,0,5005408,"2020/09/21 14:59:59",0,0
170,1003,"2020/09/14 15:00:00",0,10022,5,108001,0,5005409,"2020/09/21 14:59:59",0,0
171,1003,"2020/09/14 15:00:00",0,10022,6,107901,0,5005410,"2020/09/21 14:59:59",0,0
172,1003,"2020/09/14 15:00:00",0,10022,8,108001,0,5005411,"2020/09/21 14:59:59",0,0
173,1002,"2020/09/29 15:00:00",0,10023,1002303,110701,1,5023402,"2020/10/13 14:59:59",0,0
174,1001,"2020/09/29 15:00:00",0,10023,10,110801,0,5023403,"2020/10/13 14:59:59",0,0
175,1001,"2020/09/29 15:00:00",0,10023,20,110901,0,5023404,"2020/10/13 14:59:59",0,0
176,1001,"2020/09/29 15:00:00",0,10023,30,111001,0,5023405,"2020/10/13 14:59:59",0,0
177,1003,"2020/09/29 15:00:00",0,10023,2,110701,0,5023406,"2020/10/13 14:59:59",0,0
178,1003,"2020/09/29 15:00:00",0,10023,4,110701,0,5023407,"2020/10/13 14:59:59",0,0
179,1003,"2020/09/29 15:00:00",0,10023,7,111001,0,5023408,"2020/10/13 14:59:59",0,0
180,1003,"2020/09/29 15:00:00",0,10023,10,110801,0,5023409,"2020/10/13 14:59:59",0,0
181,1003,"2020/09/29 15:00:00",0,10023,13,110901,0,5023410,"2020/10/13 14:59:59",0,0
182,1003,"2020/09/29 15:00:00",0,10023,15,110701,0,5023411,"2020/10/13 14:59:59",0,0
183,1004,"2020/10/29 15:00:00",0,10025,111201,111201,0,5025401,"2020/11/12 14:59:59",0,0
184,1002,"2020/10/29 15:00:00",0,10025,1002503,111301,1,5025402,"2020/11/12 14:59:59",0,0
185,1001,"2020/10/29 15:00:00",0,10025,10,111201,0,5025403,"2020/11/12 14:59:59",0,0
186,1001,"2020/10/29 15:00:00",0,10025,20,111101,0,5025404,"2020/11/12 14:59:59",0,0
187,1001,"2020/10/29 15:00:00",0,10025,30,111301,0,5025405,"2020/11/12 14:59:59",0,0
188,1003,"2020/10/29 15:00:00",0,10025,2,111101,0,5025406,"2020/11/12 14:59:59",0,0
189,1003,"2020/10/29 15:00:00",0,10025,4,111101,0,5025407,"2020/11/12 14:59:59",0,0
190,1003,"2020/10/29 15:00:00",0,10025,7,111201,0,5025408,"2020/11/12 14:59:59",0,0
191,1003,"2020/10/29 15:00:00",0,10025,10,111301,0,5025409,"2020/11/12 14:59:59",0,0
192,1003,"2020/10/29 15:00:00",0,10025,13,111301,0,5025410,"2020/11/12 14:59:59",0,0
193,1003,"2020/10/29 15:00:00",0,10025,15,111301,0,5025411,"2020/11/12 14:59:59",0,0
194,1002,"2020/10/15 15:00:00",0,10024,1002403,103701,1,5006402,"2020/10/22 14:59:59",0,0
195,1001,"2020/10/15 15:00:00",0,10024,10,100501,0,5006403,"2020/10/22 14:59:59",0,0
196,1001,"2020/10/15 15:00:00",0,10024,20,103701,0,5006404,"2020/10/22 14:59:59",0,0
197,1001,"2020/10/15 15:00:00",0,10024,30,104701,0,5006405,"2020/10/22 14:59:59",0,0
198,1003,"2020/10/15 15:00:00",0,10024,2,100501,0,5006406,"2020/10/22 14:59:59",0,0
199,1003,"2020/10/15 15:00:00",0,10024,3,103701,0,5006407,"2020/10/22 14:59:59",0,0
200,1003,"2020/10/15 15:00:00",0,10024,4,104701,0,5006408,"2020/10/22 14:59:59",0,0
201,1003,"2020/10/15 15:00:00",0,10024,5,107101,0,5006409,"2020/10/22 14:59:59",0,0
202,1003,"2020/10/15 15:00:00",0,10024,6,100501,0,5006410,"2020/10/22 14:59:59",0,0
203,1003,"2020/10/15 15:00:00",0,10024,8,104701,0,5006411,"2020/10/22 14:59:59",0,0
214,1004,"2020/11/16 15:00:00",0,10026,108201,108201,0,5007401,"2020/11/23 14:59:59",0,0
215,1002,"2020/11/16 15:00:00",0,10026,1002603,108101,1,5007402,"2020/11/23 14:59:59",0,0
216,1001,"2020/11/16 15:00:00",0,10026,10,108101,0,5007403,"2020/11/23 14:59:59",0,0
217,1001,"2020/11/16 15:00:00",0,10026,20,108201,0,5007404,"2020/11/23 14:59:59",0,0
218,1001,"2020/11/16 15:00:00",0,10026,30,108101,0,5007405,"2020/11/23 14:59:59",0,0
219,1003,"2020/11/16 15:00:00",0,10026,2,108201,0,5007406,"2020/11/23 14:59:59",0,0
220,1003,"2020/11/16 15:00:00",0,10026,3,108101,0,5007407,"2020/11/23 14:59:59",0,0
221,1003,"2020/11/16 15:00:00",0,10026,4,108201,0,5007408,"2020/11/23 14:59:59",0,0
222,1003,"2020/11/16 15:00:00",0,10026,5,108101,0,5007409,"2020/11/23 14:59:59",0,0
223,1003,"2020/11/16 15:00:00",0,10026,6,108201,0,5007410,"2020/11/23 14:59:59",0,0
224,1003,"2020/11/16 15:00:00",0,10026,8,108101,0,5007411,"2020/11/23 14:59:59",0,0
225,1002,"2020/11/30 15:00:00",0,10027,1002703,106601,1,5027402,"2020/12/14 14:59:59",0,0
226,1001,"2020/11/30 15:00:00",0,10027,10,100501,0,5027403,"2020/12/14 14:59:59",0,0
227,1001,"2020/11/30 15:00:00",0,10027,20,103701,0,5027404,"2020/12/14 14:59:59",0,0
228,1001,"2020/11/30 15:00:00",0,10027,30,106501,0,5027405,"2020/12/14 14:59:59",0,0
229,1003,"2020/11/30 15:00:00",0,10027,2,100501,0,5027406,"2020/12/14 14:59:59",0,0
230,1003,"2020/11/30 15:00:00",0,10027,4,103701,0,5027407,"2020/12/14 14:59:59",0,0
231,1003,"2020/11/30 15:00:00",0,10027,7,106501,0,5027408,"2020/12/14 14:59:59",0,0
232,1003,"2020/11/30 15:00:00",0,10027,10,100501,0,5027409,"2020/12/14 14:59:59",0,0
233,1003,"2020/11/30 15:00:00",0,10027,13,103701,0,5027410,"2020/12/14 14:59:59",0,0
234,1003,"2020/11/30 15:00:00",0,10027,15,100501,0,5027411,"2020/12/14 14:59:59",0,0
235,1002,"2020/12/15 15:00:00",0,10028,1002803,105601,1,5008402,"2020/12/22 14:59:59",0,0
236,1001,"2020/12/15 15:00:00",0,10028,10,101301,0,5008403,"2020/12/22 14:59:59",0,0
237,1001,"2020/12/15 15:00:00",0,10028,20,100901,0,5008404,"2020/12/22 14:59:59",0,0
238,1001,"2020/12/15 15:00:00",0,10028,30,105601,0,5008405,"2020/12/22 14:59:59",0,0
239,1003,"2020/12/15 15:00:00",0,10028,2,105601,0,5008406,"2020/12/22 14:59:59",0,0
240,1003,"2020/12/15 15:00:00",0,10028,3,100901,0,5008407,"2020/12/22 14:59:59",0,0
241,1003,"2020/12/15 15:00:00",0,10028,4,101301,0,5008408,"2020/12/22 14:59:59",0,0
242,1003,"2020/12/15 15:00:00",0,10028,5,105101,0,5008409,"2020/12/22 14:59:59",0,0
243,1003,"2020/12/15 15:00:00",0,10028,6,102701,0,5008410,"2020/12/22 14:59:59",0,0
244,1003,"2020/12/15 15:00:00",0,10028,8,105601,0,5008411,"2020/12/22 14:59:59",0,0
245,1004,"2020/12/29 15:00:00",0,10029,111601,111601,0,5029401,"2021/01/12 14:59:59",0,0
246,1002,"2020/12/29 15:00:00",0,10029,1002903,111501,1,5029402,"2021/01/12 14:59:59",0,0
247,1001,"2020/12/29 15:00:00",0,10029,10,111601,0,5029403,"2021/01/12 14:59:59",0,0
248,1001,"2020/12/29 15:00:00",0,10029,20,111701,0,5029404,"2021/01/12 14:59:59",0,0
249,1001,"2020/12/29 15:00:00",0,10029,30,111501,0,5029405,"2021/01/12 14:59:59",0,0
250,1003,"2020/12/29 15:00:00",0,10029,2,111501,0,5029406,"2021/01/12 14:59:59",0,0
251,1003,"2020/12/29 15:00:00",0,10029,4,111701,0,5029407,"2021/01/12 14:59:59",0,0
252,1003,"2020/12/29 15:00:00",0,10029,7,111601,0,5029408,"2021/01/12 14:59:59",0,0
253,1003,"2020/12/29 15:00:00",0,10029,10,111701,0,5029409,"2021/01/12 14:59:59",0,0
254,1003,"2020/12/29 15:00:00",0,10029,13,111501,0,5029410,"2021/01/12 14:59:59",0,0
255,1003,"2020/12/29 15:00:00",0,10029,15,111501,0,5029411,"2021/01/12 14:59:59",0,0
256,1004,"2021/01/14 15:00:00",0,10030,108501,108501,0,5009401,"2021/01/21 14:59:59",0,0
257,1002,"2021/01/14 15:00:00",0,10030,1003003,108401,1,5009402,"2021/01/21 14:59:59",0,0
258,1001,"2021/01/14 15:00:00",0,10030,10,108601,0,5009403,"2021/01/21 14:59:59",0,0
259,1001,"2021/01/14 15:00:00",0,10030,20,108501,0,5009404,"2021/01/21 14:59:59",0,0
260,1001,"2021/01/14 15:00:00",0,10030,30,108401,0,5009405,"2021/01/21 14:59:59",0,0
261,1003,"2021/01/14 15:00:00",0,10030,2,108601,0,5009406,"2021/01/21 14:59:59",0,0
262,1003,"2021/01/14 15:00:00",0,10030,3,108601,0,5009407,"2021/01/21 14:59:59",0,0
263,1003,"2021/01/14 15:00:00",0,10030,4,108501,0,5009408,"2021/01/21 14:59:59",0,0
264,1003,"2021/01/14 15:00:00",0,10030,5,108501,0,5009409,"2021/01/21 14:59:59",0,0
265,1003,"2021/01/14 15:00:00",0,10030,6,108401,0,5009410,"2021/01/21 14:59:59",0,0
266,1003,"2021/01/14 15:00:00",0,10030,8,108401,0,5009411,"2021/01/21 14:59:59",0,0
267,1004,"2021/01/28 15:00:00",0,10031,112101,112101,0,5031401,"2021/02/11 14:59:59",0,0
268,1002,"2021/01/28 15:00:00",0,10031,1003103,112001,1,5031402,"2021/02/11 14:59:59",0,0
269,1001,"2021/01/28 15:00:00",0,10031,10,111901,0,5031403,"2021/02/11 14:59:59",0,0
270,1001,"2021/01/28 15:00:00",0,10031,20,112001,0,5031404,"2021/02/11 14:59:59",0,0
