reward_image_3,bgm_cue_sheet,reward_image_1,battle_bg_id_3,condition_time,condition_quest_id,quest_name,enemy_image_2,enemy_image_4,quest_detail_bg_id,daily_limit,love,quest_id,first_clear_reward_group_id,battle_bg_id_2,enemy_image_5,reward_image_5,event_id,enemy_image_3,unit_exp,drop_reward_group_id,reward_image_2,battle_bg_id_1,enemy_image_1,quest_index,difficulty,stamina,reward_image_4,bgm_cue_name,wave_group_id_2,team_exp,rank_clear_reward_group_id,limit_time,wave_group_id_1,wave_group_id_3
23001,bgm_M41,62001,103613,0,10201010,"이벤트 전편 퀘스트 H-1",600040020,600130120,103611,3,20,10201101,112001,103612,0,94002,10201,600020020,300,112001,90007,103611,600050020,11,2,20,20001,bgm_M41,610201032,20,112011,90,610201031,610201033
23001,bgm_M41,62001,103613,0,10201101,"이벤트 전편 퀘스트 H-2",600380122,600140022,103611,3,20,10201102,112001,103612,0,94002,10201,600420022,300,112001,90007,103611,600120022,12,2,20,20001,bgm_M41,610201035,20,112011,90,610201034,610201036
23001,bgm_M41,62001,103613,0,10201102,"이벤트 전편 퀘스트 H-3",600220023,600150023,103611,3,20,10201103,112001,103612,0,94002,10201,600240023,300,112001,90007,103611,600380123,13,2,20,20001,bgm_M41,610201038,20,112011,90,610201037,610201039
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201103,"이벤트 후편 퀘스트 N-1",600380001,600230001,103611,0,10,10201201,111001,103612,0,94002,10201,600420001,150,111001,90007,103611,600050001,14,1,10,20001,bgm_M41,610201002,10,111011,90,610201001,610201003
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201201,"이벤트 후편 퀘스트 N-2",600380102,600160003,103611,0,10,10201202,111001,103612,0,94002,10201,600340003,150,111001,90007,103611,600290103,15,1,10,20001,bgm_M41,610201005,10,111011,90,610201004,610201006
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201202,"이벤트 후편 퀘스트 N-3",600270004,600160004,103611,0,10,10201203,111001,103612,0,94002,10201,600420004,150,111001,90007,103611,600380103,16,1,10,20001,bgm_M41,610201008,10,111011,90,610201007,610201009
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201203,"이벤트 후편 퀘스트 N-4",600290210,600130110,103611,0,10,10201204,111001,103612,0,94002,10201,600250010,150,111001,90007,103611,600330008,17,1,10,20001,bgm_M41,610201011,10,111011,90,610201010,610201012
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201204,"이벤트 후편 퀘스트 N-5",600030011,600100011,103611,0,10,10201205,111001,103612,0,94002,10201,600040010,150,111001,90007,103611,600210111,18,1,10,20001,bgm_M41,610201014,10,111012,90,610201013,610201015
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201205,"이벤트 후편 퀘스트 N-6",600380012,600230013,103611,0,10,10201206,111001,103612,0,94002,10201,600420013,150,111001,90007,103611,600050012,19,1,10,20001,bgm_M41,610201017,10,111011,90,610201016,610201018
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201206,"이벤트 후편 퀘스트 N-7",600380113,600160014,103611,0,10,10201207,111001,103612,0,94002,10201,600340014,150,111001,90007,103611,600290114,20,1,10,20001,bgm_M41,610201020,10,111011,90,610201019,610201021
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201207,"이벤트 후편 퀘스트 N-8",600270016,600160016,103611,0,10,10201208,111001,103612,0,94002,10201,600420016,150,111001,90007,103611,600380115,21,1,10,20001,bgm_M41,610201023,10,111011,90,610201022,610201024
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201208,"이벤트 후편 퀘스트 N-9",600290217,600130117,103611,0,10,10201209,111001,103612,0,94002,10201,600250017,150,111001,90007,103611,600330015,22,1,10,20001,bgm_M41,610201026,10,111011,90,610201025,610201027
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201209,"이벤트 후편 퀘스트 N-10",600030019,600100019,103611,0,10,10201210,111001,103612,0,94002,10201,600040018,150,111001,90007,103611,600210119,23,1,10,20001,bgm_M41,610201029,10,111012,90,610201028,610201030
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201210,"이벤트 후편 퀘스트 H-1",600040020,600130120,103611,3,20,10201301,112001,103612,0,94002,10201,600020020,300,112001,90007,103611,600050020,24,2,20,20001,bgm_M41,610201032,20,112011,90,610201031,610201033
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201301,"이벤트 후편 퀘스트 H-2",600380122,600140022,103611,3,20,10201302,112001,103612,0,94002,10201,600420022,300,112001,90007,103611,600120022,25,2,20,20001,bgm_M41,610201035,20,112011,90,610201034,610201036
23001,bgm_M41,62001,103613,"2026/03/05 15:00:00",10201302,"이벤트 후편 퀘스트 H-3",600220023,600150023,103611,3,20,10201303,112001,103612,0,94002,10201,600240023,300,112001,90007,103611,600380123,26,2,20,20001,bgm_M41,610201038,20,112011,90,610201037,610201039
