970a3757e67c6bdf42684c32801794863ed8ed91761112c35e791e15a69cd5db,disp_reward_type_1,disp_reward_type_3,wave_group_id,reward_lot_count_3,reward_odds_3,reward_odds_4,disp_reward_id_2,25883e4cac70f8c06182ea12eb674ce0eed0207d7a300bf2cc1e0d813d082056,133ae72776c1c4cd12b082b8639e3f2f28a83732a0a34dd6b48cba31ae4a72a8,2eff5f8505757145abf5df64183afa1089fd30bf111942c5f1530506bdcd2fd3,reward_odds_1,1c57440f7d5abc59917e9da34dea7879aef1f3a9546c6b78547b53676cce9b52,disp_reward_type_5,disp_reward_type_4,id,disp_reward_id_4,reward_group_id_1,enemy_id_5,enemy_id_3,d4c4917d4d658fca5eb0527dc76fb09e3384f838b7ea8ee017278630b5af8da8,reward_group_id_2,reward_group_id_3,disp_reward_id_1,disp_reward_id_3,enemy_id_4,a3f3bd899d16a0f099bb153841746dd7f6eb2b770f54147af82d79076f5309c8,9ce4e67aa3de2d3fcfc6de4459413e9b8b00511c9fb55ccbd57ef0a8bad00bde,reward_lot_count_4,disp_reward_id_5,drop_gold_1,ac5b36c2980b6e16ea0f1bef07befe6b97ad463a12feee4b2a8a4bcbea383576,reward_group_id_4,wave,enemy_id_2,disp_reward_type_2,difficulty,enemy_id_1,c0c238a4cfb210ca84a2e883ee5f513a5631cad87c578069f75b8c8fbfb9909e,reward_odds_2,25c93d62e94f367abc747a31b4bf1c2c34a0e5303ccba71a5894a9da3b082264
37001,0,0,600110371,1,36,0,0,0,37001,1,30,0,0,0,600000037,0,61001005,0,620130034,0,61001004,61001007,0,0,0,0,1,0,0,482,0,0,1,620090034,0,1,620060034,0,18,0
38001,0,0,600110381,1,36,0,0,0,38001,1,30,0,0,0,600000038,0,61001005,0,620130035,0,61001004,61001007,0,0,0,0,1,0,0,492,0,0,1,620090035,0,1,620060035,0,18,0
39001,0,0,600110391,1,36,0,0,0,39001,1,30,0,0,0,600000039,0,61001005,0,620130036,0,61001004,61001007,0,0,0,0,1,0,0,500,0,0,1,620090036,0,1,620060036,0,18,0
40001,0,0,600110401,1,36,0,0,0,40001,1,30,0,0,0,600000040,0,61001005,0,620130037,0,61001004,61001007,0,0,0,0,1,0,0,514,0,0,1,620090037,0,1,620060037,0,18,0
41001,0,0,600110411,1,36,0,0,0,41001,1,30,0,0,0,600000041,0,61001005,0,620130038,0,61001004,61001007,0,0,0,0,1,0,0,518,0,0,1,620090038,0,1,620060038,0,18,0
42001,0,0,600110421,1,36,0,0,0,42001,1,30,0,0,0,600000042,0,61001005,0,620130039,0,61001004,61001007,0,0,0,0,1,0,0,523,0,0,1,620090039,0,1,620060039,0,18,0
43001,0,0,600110431,1,36,0,0,0,43001,1,30,0,0,0,600000043,0,61001005,0,620130040,0,61001004,61001007,0,0,0,0,1,0,0,538,0,0,1,620090040,0,1,620060040,0,18,0
44001,0,0,600110441,1,36,0,0,0,44001,1,30,0,0,0,600000044,0,61001005,0,620130041,0,61001004,61001007,0,0,0,0,1,0,0,551,0,0,1,620090041,0,1,620060041,0,18,0
45001,0,0,600110451,1,36,0,0,0,45001,1,30,0,0,0,600000045,0,61001005,0,620130042,0,61001004,61001007,0,0,0,0,1,0,0,565,0,0,1,620090042,0,1,620060042,0,18,0
46001,0,0,600110461,1,36,0,0,0,46001,1,30,0,0,0,600000046,0,61001005,0,620130043,0,61001004,61001007,0,0,0,0,1,0,0,574,0,0,1,620090043,0,1,620060043,0,18,0
47001,0,0,600110471,1,36,0,0,0,47001,1,30,0,0,0,600000047,0,61001005,0,620130044,0,61001004,61001007,0,0,0,0,1,0,0,577,0,0,1,620090044,0,1,620060044,0,18,0
48001,0,0,600110481,1,36,0,0,0,48001,1,30,0,0,0,600000048,0,61001005,0,620130045,0,61001004,61001007,0,0,0,0,1,0,0,587,0,0,1,620090045,0,1,620060045,0,18,0
49001,0,0,600110491,1,36,0,0,0,49001,1,30,0,0,0,600000049,0,61001005,0,620130046,0,61001004,61001007,0,0,0,0,1,0,0,598,0,0,1,620090046,0,1,620060046,0,18,0
50001,0,0,600110501,1,36,0,0,0,50001,1,30,0,0,0,600000050,0,61001005,0,620130047,0,61001004,61001007,0,0,0,0,1,0,0,614,0,0,1,620090047,0,1,620060047,0,18,0
51001,0,0,600110511,1,36,0,0,0,51001,1,30,0,0,0,600000051,0,61001005,0,620130048,0,61001004,61001007,0,0,0,0,1,0,0,621,0,0,1,620090048,0,1,620060048,0,18,0
52001,0,0,600110521,1,36,0,0,0,52001,1,30,0,0,0,600000052,0,61001005,0,620130049,0,61001004,61001007,0,0,0,0,1,0,0,629,0,0,1,620090049,0,1,620060049,0,18,0
53001,0,0,600110531,1,36,0,0,0,53001,1,30,0,0,0,600000053,0,61001005,0,620130050,0,61001004,61001007,0,0,0,0,1,0,0,640,0,0,1,620090050,0,1,620060050,0,18,0
54001,0,0,600110541,1,36,0,0,0,54001,1,30,0,0,0,600000054,0,61001005,0,620130051,0,61001004,61001007,0,0,0,0,1,0,0,647,0,0,1,620090051,0,1,620060051,0,18,0
55001,0,0,600110551,1,36,0,0,0,55001,1,30,0,0,0,600000055,0,61001005,0,620130052,0,61001004,61001007,0,0,0,0,1,0,0,652,0,0,1,620090052,0,1,620060052,0,18,0
56001,0,0,600110561,1,36,0,0,0,56001,1,30,0,0,0,600000056,0,61001005,0,620130053,0,61001004,61001007,0,0,0,0,1,0,0,659,0,0,1,620090053,0,1,620060053,0,18,0
57001,0,0,600110571,1,36,0,0,0,57001,1,30,0,0,0,600000057,0,61001005,0,620130054,0,61001004,61001007,0,0,0,0,1,0,0,662,0,0,1,620090054,0,1,620060054,0,18,0
58001,0,0,600110581,1,36,0,0,0,58001,1,30,0,0,0,600000058,0,61001005,0,620130055,0,61001004,61001007,0,0,0,0,1,0,0,667,0,0,1,620090055,0,1,620060055,0,18,0
59001,0,0,600110591,1,36,0,0,0,59001,1,30,0,0,0,600000059,0,61001005,0,620130056,0,61001004,61001007,0,0,0,0,1,0,0,679,0,0,1,620090056,0,1,620060056,0,18,0
60001,0,0,600110601,1,36,0,0,0,60001,1,30,0,0,0,600000060,0,61001005,0,620130057,0,61001004,61001007,0,0,0,0,1,0,0,683,0,0,1,620090057,0,1,620060057,0,18,0
61001,0,0,600110611,1,36,0,0,0,61001,1,30,0,0,0,600000061,0,61001005,0,620130058,0,61001004,61001007,0,0,0,0,1,0,0,692,0,0,1,620090058,0,1,620060058,0,18,0
62001,0,0,600110621,1,36,0,0,0,62001,1,30,0,0,0,600000062,0,61001005,0,620130059,0,61001004,61001007,0,0,0,0,1,0,0,698,0,0,1,620090059,0,1,620060059,0,18,0
63001,0,0,600110631,1,36,0,0,0,63001,1,30,0,0,0,600000063,0,61001005,0,620130060,0,61001004,61001007,0,0,0,0,1,0,0,703,0,0,1,620090060,0,1,620060060,0,18,0
64001,0,0,600110641,1,36,0,0,0,64001,1,30,0,0,0,600000064,0,61001005,0,620130061,0,61001004,61001007,0,0,0,0,1,0,0,713,0,0,1,620090061,0,1,620060061,0,18,0
65001,0,0,600110651,1,36,0,0,0,65001,1,30,0,0,0,600000065,0,61001005,0,620130062,0,61001004,61001007,0,0,0,0,1,0,0,722,0,0,1,620090062,0,1,620060062,0,18,0
66001,0,0,600110661,1,36,0,0,0,66001,1,30,0,0,0,600000066,0,61001005,0,620130063,0,61001004,61001007,0,0,0,0,1,0,0,733,0,0,1,620090063,0,1,620060063,0,18,0
67001,0,0,600110671,1,36,0,0,0,67001,1,30,0,0,0,600000067,0,61001005,0,620130064,0,61001004,61001007,0,0,0,0,1,0,0,741,0,0,1,620090064,0,1,620060064,0,18,0
68001,0,0,600110681,1,36,0,0,0,68001,1,30,0,0,0,600000068,0,61001005,0,620130065,0,61001004,61001007,0,0,0,0,1,0,0,750,0,0,1,620090065,0,1,620060065,0,18,0
69001,0,0,600110691,1,36,0,0,0,69001,1,30,0,0,0,600000069,0,61001005,0,620130066,0,61001004,61001007,0,0,0,0,1,0,0,762,0,0,1,620090066,0,1,620060066,0,18,0
70001,0,0,600110701,1,36,0,0,0,70001,1,30,0,0,0,600000070,0,61001005,0,620130067,0,61001004,61001007,0,0,0,0,1,0,0,774,0,0,1,620090067,0,1,620060067,0,18,0
71001,0,0,600110711,1,36,0,0,0,71001,1,30,0,0,0,600000071,0,61001005,0,620130068,0,61001004,61001007,0,0,0,0,1,0,0,783,0,0,1,620090068,0,1,620060068,0,18,0
1001,0,0,600110011,1,36,0,0,0,1001,1,30,0,0,0,600000072,0,61001005,0,620110001,0,61001004,61001007,0,0,0,0,1,0,0,258,0,0,1,620300001,0,1,620090101,0,18,0
2001,0,0,600110021,1,36,0,0,0,2001,1,30,0,0,0,600000073,0,61001005,0,620110001,0,61001004,61001007,0,0,0,0,1,0,0,258,0,0,1,620300001,0,1,620090101,0,18,0
3001,0,0,600110031,1,36,0,0,0,3001,1,30,0,0,0,600000074,0,61001005,0,620110001,0,61001004,61001007,0,0,0,0,1,0,0,258,0,0,1,620300001,0,1,620090101,0,18,0
4001,0,0,600110041,1,36,0,0,0,4001,1,30,0,0,0,600000075,0,61001005,0,620110001,0,61001004,61001007,0,0,0,0,1,0,0,258,0,0,1,620300001,0,1,620090101,0,18,0
5001,0,0,600110051,1,36,0,0,0,5001,1,30,0,0,0,600000076,0,61001005,0,620110002,0,61001004,61001007,0,0,0,0,1,0,0,268,0,0,1,620300002,0,1,620090102,0,18,0
6001,0,0,600110061,1,36,0,0,0,6001,1,30,0,0,0,600000077,0,61001005,0,620110003,0,61001004,61001007,0,0,0,0,1,0,0,273,0,0,1,620300003,0,1,620090103,0,18,0
7001,0,0,600110071,1,36,0,0,0,7001,1,30,0,0,0,600000078,0,61001005,0,620110004,0,61001004,61001007,0,0,0,0,1,0,0,281,0,0,1,620300004,0,1,620090104,0,18,0
8001,0,0,600110081,1,36,0,0,0,8001,1,30,0,0,0,600000079,0,61001005,0,620110005,0,61001004,61001007,0,0,0,0,1,0,0,288,0,0,1,620300005,0,1,620090105,0,18,0
9001,0,0,600110091,1,36,0,0,0,9001,1,30,0,0,0,600000080,0,61001005,0,620110006,0,61001004,61001007,0,0,0,0,1,0,0,298,0,0,1,620300006,0,1,620090106,0,18,0
10001,0,0,600110101,1,36,0,0,0,10001,1,30,0,0,0,600000081,0,61001005,0,620110007,0,61001004,61001007,0,0,0,0,1,0,0,309,0,0,1,620300007,0,1,620090107,0,18,0
11001,0,0,600110111,1,36,0,0,0,11001,1,30,0,0,0,600000082,0,61001005,0,620110008,0,61001004,61001007,0,0,0,0,1,0,0,313,0,0,1,620300008,0,1,620090108,0,18,0
12001,0,0,600110121,1,36,0,0,0,12001,1,30,0,0,0,600000083,0,61001005,0,620110009,0,61001004,61001007,0,0,0,0,1,0,0,321,0,0,1,620300009,0,1,620090109,0,18,0
13001,0,0,600110131,1,36,0,0,0,13001,1,30,0,0,0,600000084,0,61001005,0,620110010,0,61001004,61001007,0,0,0,0,1,0,0,326,0,0,1,620300010,0,1,620090110,0,18,0
14001,0,0,600110141,1,36,0,0,0,14001,1,30,0,0,0,600000085,0,61001005,0,620110011,0,61001004,61001007,0,0,0,0,1,0,0,336,0,0,1,620300011,0,1,620090111,0,18,0
15001,0,0,600110151,1,36,0,0,0,15001,1,30,0,0,0,600000086,0,61001005,0,620110012,0,61001004,61001007,0,0,0,0,1,0,0,341,0,0,1,620300012,0,1,620090112,0,18,0
16001,0,0,600110161,1,36,0,0,0,16001,1,30,0,0,0,600000087,0,61001005,0,620110013,0,61001004,61001007,0,0,0,0,1,0,0,351,0,0,1,620300013,0,1,620090113,0,18,0
17001,0,0,600110171,1,36,0,0,0,17001,1,30,0,0,0,600000088,0,61001005,0,620110014,0,61001004,61001007,0,0,0,0,1,0,0,356,0,0,1,620300014,0,1,620090114,0,18,0
18001,0,0,600110181,1,36,0,0,0,18001,1,30,0,0,0,600000089,0,61001005,0,620110015,0,61001004,61001007,0,0,0,0,1,0,0,366,0,0,1,620300015,0,1,620090115,0,18,0
19001,0,0,600110191,1,36,0,0,0,19001,1,30,0,0,0,600000090,0,61001005,0,620110016,0,61001004,61001007,0,0,0,0,1,0,0,371,0,0,1,620300016,0,1,620090116,0,18,0
20001,0,0,600110201,1,36,0,0,0,20001,1,30,0,0,0,600000091,0,61001005,0,620110017,0,61001004,61001007,0,0,0,0,1,0,0,375,0,0,1,620300017,0,1,620090117,0,18,0
21001,0,0,600110211,1,36,0,0,0,21001,1,30,0,0,0,600000092,0,61001005,0,620110018,0,61001004,61001007,0,0,0,0,1,0,0,381,0,0,1,620300018,0,1,620090118,0,18,0
22001,0,0,600110221,1,36,0,0,0,22001,1,30,0,0,0,600000093,0,61001005,0,620110019,0,61001004,61001007,0,0,0,0,1,0,0,386,0,0,1,620300019,0,1,620090119,0,18,0
23001,0,0,600110231,1,36,0,0,0,23001,1,30,0,0,0,600000094,0,61001005,0,620110020,0,61001004,61001007,0,0,0,0,1,0,0,390,0,0,1,620300020,0,1,620090120,0,18,0
24001,0,0,600110241,1,36,0,0,0,24001,1,30,0,0,0,600000095,0,61001005,0,620110021,0,61001004,61001007,0,0,0,0,1,0,0,396,0,0,1,620300021,0,1,620090121,0,18,0
25001,0,0,600110251,1,36,0,0,0,25001,1,30,0,0,0,600000096,0,61001005,0,620110022,0,61001004,61001007,0,0,0,0,1,0,0,401,0,0,1,620300022,0,1,620090122,0,18,0
26001,0,0,600110261,1,36,0,0,0,26001,1,30,0,0,0,600000097,0,61001005,0,620110023,0,61001004,61001007,0,0,0,0,1,0,0,405,0,0,1,620300023,0,1,620090123,0,18,0
27001,0,0,600110271,1,36,0,0,0,27001,1,30,0,0,0,600000098,0,61001005,0,620110024,0,61001004,61001007,0,0,0,0,1,0,0,411,0,0,1,620300024,0,1,620090124,0,18,0
28001,0,0,600110281,1,36,0,0,0,28001,1,30,0,0,0,600000099,0,61001005,0,620110025,0,61001004,61001007,0,0,0,0,1,0,0,417,0,0,1,620300025,0,1,620090125,0,18,0
29001,0,0,600110291,1,36,0,0,0,29001,1,30,0,0,0,600000100,0,61001005,0,620110026,0,61001004,61001007,0,0,0,0,1,0,0,422,0,0,1,620300026,0,1,620090126,0,18,0
30001,0,0,600110301,1,36,0,0,0,30001,1,30,0,0,0,600000101,0,61001005,0,620110027,0,61001004,61001007,0,0,0,0,1,0,0,427,0,0,1,620300027,0,1,620090127,0,18,0
31001,0,0,600110311,1,36,0,0,0,31001,1,30,0,0,0,600000102,0,61001005,0,620110028,0,61001004,61001007,0,0,0,0,1,0,0,433,0,0,1,620300028,0,1,620090128,0,18,0
32001,0,0,600110321,1,36,0,0,0,32001,1,30,0,0,0,600000103,0,61001005,0,620110029,0,61001004,61001007,0,0,0,0,1,0,0,442,0,0,1,620300029,0,1,620090129,0,18,0
33001,0,0,600110331,1,36,0,0,0,33001,1,30,0,0,0,600000104,0,61001005,0,620110030,0,61001004,61001007,0,0,0,0,1,0,0,455,0,0,1,620300030,0,1,620090130,0,18,0
34001,0,0,600110341,1,36,0,0,0,34001,1,30,0,0,0,600000105,0,61001005,0,620110031,0,61001004,61001007,0,0,0,0,1,0,0,460,0,0,1,620300031,0,1,620090131,0,18,0
35001,0,0,600110351,1,36,0,0,0,35001,1,30,0,0,0,600000106,0,61001005,0,620110032,0,61001004,61001007,0,0,0,0,1,0,0,464,0,0,1,620300032,0,1,620090132,0,18,0
36001,0,0,600110361,1,36,0,0,0,36001,1,30,0,0,0,600000107,0,61001005,0,620110033,0,61001004,61001007,0,0,0,0,1,0,0,476,0,0,1,620300033,0,1,620090133,0,18,0
37001,0,0,600110371,1,36,0,0,0,37001,1,30,0,0,0,600000108,0,61001005,0,620110034,0,61001004,61001007,0,0,0,0,1,0,0,482,0,0,1,620300034,0,1,620090134,0,18,0
38001,0,0,600110381,1,36,0,0,0,38001,1,30,0,0,0,600000109,0,61001005,0,620110035,0,61001004,61001007,0,0,0,0,1,0,0,492,0,0,1,620300035,0,1,620090135,0,18,0
39001,0,0,600110391,1,36,0,0,0,39001,1,30,0,0,0,600000110,0,61001005,0,620110036,0,61001004,61001007,0,0,0,0,1,0,0,500,0,0,1,620300036,0,1,620090136,0,18,0
40001,0,0,600110401,1,36,0,0,0,40001,1,30,0,0,0,600000111,0,61001005,0,620110037,0,61001004,61001007,0,0,0,0,1,0,0,514,0,0,1,620300037,0,1,620090137,0,18,0
41001,0,0,600110411,1,36,0,0,0,41001,1,30,0,0,0,600000112,0,61001005,0,620110038,0,61001004,61001007,0,0,0,0,1,0,0,518,0,0,1,620300038,0,1,620090138,0,18,0
42001,0,0,600110421,1,36,0,0,0,42001,1,30,0,0,0,600000113,0,61001005,0,620110039,0,61001004,61001007,0,0,0,0,1,0,0,523,0,0,1,620300039,0,1,620090139,0,18,0
43001,0,0,600110431,1,36,0,0,0,43001,1,30,0,0,0,600000114,0,61001005,0,620110040,0,61001004,61001007,0,0,0,0,1,0,0,538,0,0,1,620300040,0,1,620090140,0,18,0
44001,0,0,600110441,1,36,0,0,0,44001,1,30,0,0,0,600000115,0,61001005,0,620110041,0,61001004,61001007,0,0,0,0,1,0,0,551,0,0,1,620300041,0,1,620090141,0,18,0
45001,0,0,600110451,1,36,0,0,0,45001,1,30,0,0,0,600000116,0,61001005,0,620110042,0,61001004,61001007,0,0,0,0,1,0,0,565,0,0,1,620300042,0,1,620090142,0,18,0
46001,0,0,600110461,1,36,0,0,0,46001,1,30,0,0,0,600000117,0,61001005,0,620110043,0,61001004,61001007,0,0,0,0,1,0,0,574,0,0,1,620300043,0,1,620090143,0,18,0
47001,0,0,600110471,1,36,0,0,0,47001,1,30,0,0,0,600000118,0,61001005,0,620110044,0,61001004,61001007,0,0,0,0,1,0,0,577,0,0,1,620300044,0,1,620090144,0,18,0
48001,0,0,600110481,1,36,0,0,0,48001,1,30,0,0,0,600000119,0,61001005,0,620110045,0,61001004,61001007,0,0,0,0,1,0,0,587,0,0,1,620300045,0,1,620090145,0,18,0
49001,0,0,600110491,1,36,0,0,0,49001,1,30,0,0,0,600000120,0,61001005,0,620110046,0,61001004,61001007,0,0,0,0,1,0,0,598,0,0,1,620300046,0,1,620090146,0,18,0
50001,0,0,600110501,1,36,0,0,0,50001,1,30,0,0,0,600000121,0,61001005,0,620110047,0,61001004,61001007,0,0,0,0,1,0,0,614,0,0,1,620300047,0,1,620090147,0,18,0
51001,0,0,600110511,1,36,0,0,0,51001,1,30,0,0,0,600000122,0,61001005,0,620110048,0,61001004,61001007,0,0,0,0,1,0,0,621,0,0,1,620300048,0,1,620090148,0,18,0
52001,0,0,600110521,1,36,0,0,0,52001,1,30,0,0,0,600000123,0,61001005,0,620110049,0,61001004,61001007,0,0,0,0,1,0,0,629,0,0,1,620300049,0,1,620090149,0,18,0
53001,0,0,600110531,1,36,0,0,0,53001,1,30,0,0,0,600000124,0,61001005,0,620110050,0,61001004,61001007,0,0,0,0,1,0,0,640,0,0,1,620300050,0,1,620090150,0,18,0
54001,0,0,600110541,1,36,0,0,0,54001,1,30,0,0,0,600000125,0,61001005,0,620110051,0,61001004,61001007,0,0,0,0,1,0,0,647,0,0,1,620300051,0,1,620090151,0,18,0
