wave_group_id,enemy_id_3,enemy_id_4,enemy_id_5,id,enemy_id_1,enemy_id_2
830010061,830100603,830100604,830100605,106,830100601,830100602
830010071,830100703,830100704,830100705,107,830100701,830100702
830010081,830100803,830100804,830100805,108,830100801,830100802
830010091,830100903,830100904,830100905,109,830100901,830100902
830010101,0,0,0,110,830101001,0
830010111,830101103,830101104,830101105,111,830101101,830101102
830010121,830101203,830101204,830101205,112,830101201,830101202
830010131,830101303,830101304,830101305,113,830101301,830101302
830010141,830101403,830101404,830101405,114,830101401,830101402
830010151,830101503,830101504,830101505,115,830101501,830101502
830010161,830101603,830101604,830101605,116,830101601,830101602
830010171,830101703,830101704,830101705,117,830101701,830101702
830010181,830101803,830101804,830101805,118,830101801,830101802
830010191,830101903,830101904,830101905,119,830101901,830101902
830010201,0,0,0,120,830102001,0
830010211,830102103,830102104,830102105,121,830102101,830102102
830010221,830102203,830102204,830102205,122,830102201,830102202
830010231,830102303,830102304,830102305,123,830102301,830102302
830010241,830102403,830102404,830102405,124,830102401,830102402
830010251,830102503,830102504,830102505,125,830102501,830102502
830010261,830102603,830102604,830102605,126,830102601,830102602
830010271,830102703,830102704,830102705,127,830102701,830102702
830010281,830102803,830102804,830102805,128,830102801,830102802
830010291,830102903,830102904,830102905,129,830102901,830102902
830010301,0,0,0,130,830103001,0
830010311,830103103,830103104,830103105,131,830103101,830103102
830010321,830103203,830103204,830103205,132,830103201,830103202
830010331,830103303,830103304,830103305,133,830103301,830103302
830010341,830103403,830103404,830103405,134,830103401,830103402
830010351,830103503,830103504,830103505,135,830103501,830103502
830010361,830103603,830103604,830103605,136,830103601,830103602
830010371,830103703,830103704,830103705,137,830103701,830103702
830010381,830103803,830103804,830103805,138,830103801,830103802
830010391,830103903,830103904,830103905,139,830103901,830103902
830010401,0,0,0,140,830104001,0
830010411,830104103,830104104,830104105,141,830104101,830104102
830010421,830104203,830104204,830104205,142,830104201,830104202
830010431,830104303,830104304,830104305,143,830104301,830104302
830010441,830104403,830104404,830104405,144,830104401,830104402
830010451,830104503,830104504,830104505,145,830104501,830104502
830010461,830104603,830104604,830104605,146,830104601,830104602
830010471,830104703,830104704,830104705,147,830104701,830104702
830010481,830104803,830104804,830104805,148,830104801,830104802
830010491,830104903,830104904,830104905,149,830104901,830104902
830010501,0,0,0,150,830105001,0
840010011,840100103,840100104,840100105,151,840100101,840100102
840010021,840100203,840100204,840100205,152,840100201,840100202
840010031,840100303,840100304,840100305,153,840100301,840100302
840010041,840100403,840100404,840100405,154,840100401,840100402
840010051,840100503,840100504,840100505,155,840100501,840100502
840010061,840100603,840100604,840100605,156,840100601,840100602
840010071,840100703,840100704,840100705,157,840100701,840100702
840010081,840100803,840100804,840100805,158,840100801,840100802
840010091,840100903,840100904,840100905,159,840100901,840100902
840010101,0,0,0,160,840101001,0
840010111,840101103,840101104,840101105,161,840101101,840101102
840010121,840101203,840101204,840101205,162,840101201,840101202
840010131,840101303,840101304,840101305,163,840101301,840101302
840010141,840101403,840101404,840101405,164,840101401,840101402
840010151,840101503,840101504,840101505,165,840101501,840101502
840010161,840101603,840101604,840101605,166,840101601,840101602
840010171,840101703,840101704,840101705,167,840101701,840101702
840010181,840101803,840101804,840101805,168,840101801,840101802
840010191,840101903,840101904,840101905,169,840101901,840101902
840010201,0,0,0,170,840102001,0
840010211,840102103,840102104,840102105,171,840102101,840102102
840010221,840102203,840102204,840102205,172,840102201,840102202
840010231,840102303,840102304,840102305,173,840102301,840102302
840010241,840102403,840102404,840102405,174,840102401,840102402
840010251,840102503,840102504,840102505,175,840102501,840102502
840010261,840102603,840102604,840102605,176,840102601,840102602
840010271,840102703,840102704,840102705,177,840102701,840102702
840010281,840102803,840102804,840102805,178,840102801,840102802
840010291,840102903,840102904,840102905,179,840102901,840102902
840010301,0,0,0,180,840103001,0
840010311,840103103,840103104,840103105,181,840103101,840103102
840010321,840103203,840103204,840103205,182,840103201,840103202
840010331,840103303,840103304,840103305,183,840103301,840103302
840010341,840103403,840103404,840103405,184,840103401,840103402
840010351,840103503,840103504,840103505,185,840103501,840103502
840010361,840103603,840103604,840103605,186,840103601,840103602
840010371,840103703,840103704,840103705,187,840103701,840103702
840010381,840103803,840103804,840103805,188,840103801,840103802
840010391,840103903,840103904,840103905,189,840103901,840103902
840010401,0,0,0,190,840104001,0
840010411,840104103,840104104,840104105,191,840104101,840104102
840010421,840104203,840104204,840104205,192,840104201,840104202
840010431,840104303,840104304,840104305,193,840104301,840104302
840010441,840104403,840104404,840104405,194,840104401,840104402
840010451,840104503,840104504,840104505,195,840104501,840104502
840010461,840104603,840104604,840104605,196,840104601,840104602
840010471,840104703,840104704,840104705,197,840104701,840104702
840010481,840104803,840104804,840104805,198,840104801,840104802
840010491,840104903,840104904,840104905,199,840104901,840104902
840010501,0,0,0,200,840105001,0
850010011,850100103,850100104,850100105,201,850100101,850100102
850010021,850100203,850100204,850100205,202,850100201,850100202
850010031,850100303,850100304,850100305,203,850100301,850100302
850010041,850100403,850100404,850100405,204,850100401,850100402
850010051,850100503,850100504,850100505,205,850100501,850100502
850010061,850100603,850100604,850100605,206,850100601,850100602
850010071,850100703,850100704,850100705,207,850100701,850100702
850010081,850100803,850100804,850100805,208,850100801,850100802
850010091,850100903,850100904,850100905,209,850100901,850100902
850010101,0,0,0,210,850101001,0
850010111,850101103,850101104,850101105,211,850101101,850101102
850010121,850101203,850101204,850101205,212,850101201,850101202
850010131,850101303,850101304,850101305,213,850101301,850101302
850010141,850101403,850101404,850101405,214,850101401,850101402
850010151,850101503,850101504,850101505,215,850101501,850101502
850010161,850101603,850101604,850101605,216,850101601,850101602
850010171,850101703,850101704,850101705,217,850101701,850101702
850010181,850101803,850101804,850101805,218,850101801,850101802
850010191,850101903,850101904,850101905,219,850101901,850101902
850010201,0,0,0,220,850102001,0
850010211,850102103,850102104,850102105,221,850102101,850102102
850010221,850102203,850102204,850102205,222,850102201,850102202
850010231,850102303,850102304,850102305,223,850102301,850102302
850010241,850102403,850102404,850102405,224,850102401,850102402
850010251,850102503,850102504,850102505,225,850102501,850102502
850010261,850102603,850102604,850102605,226,850102601,850102602
850010271,850102703,850102704,850102705,227,850102701,850102702
850010281,850102803,850102804,850102805,228,850102801,850102802
850010291,850102903,850102904,850102905,229,850102901,850102902
850010301,0,0,0,230,850103001,0
850010311,850103103,850103104,850103105,231,850103101,850103102
850010321,850103203,850103204,850103205,232,850103201,850103202
850010331,850103303,850103304,850103305,233,850103301,850103302
850010341,850103403,850103404,850103405,234,850103401,850103402
850010351,850103503,850103504,850103505,235,850103501,850103502
850010361,850103603,850103604,850103605,236,850103601,850103602
850010371,850103703,850103704,850103705,237,850103701,850103702
850010381,850103803,850103804,850103805,238,850103801,850103802
850010391,850103903,850103904,850103905,239,850103901,850103902
850010401,0,0,0,240,850104001,0
850010411,850104103,850104104,850104105,241,850104101,850104102
850010421,850104203,850104204,850104205,242,850104201,850104202
850010431,850104303,850104304,850104305,243,850104301,850104302
850010441,850104403,850104404,850104405,244,850104401,850104402
850010451,850104503,850104504,850104505,245,850104501,850104502
850010461,850104603,850104604,850104605,246,850104601,850104602
850010471,850104703,850104704,850104705,247,850104701,850104702
850010481,850104803,850104804,850104805,248,850104801,850104802
850010491,850104903,850104904,850104905,249,850104901,850104902
850010501,0,0,0,250,850105001,0
