item_id,gacha_name,gacha_id,event_id,item_type,repeat_step,cost
61172,"커넥트 위드 블루 소녀가 하늘에 닿기까지",10118,10118,2,6,1
61182,"에피소드 오브 파이러츠 해적섬의 저주받은 보물",10119,10119,2,6,1
61192,"뱀파이어 포크로어 밤과 미의 향연",10120,10120,2,6,1
61202,"엔조이＆리프레시! 울퉁불퉁 걸즈 캠프",10121,10121,2,6,1
61212,"오마의 물 텅텅 대작전 비밀주의자와 금단의 바다",10122,10122,2,6,1
61222,"트윙클 서머 게임 \n여름 바다에 빛나는 세 가지 마음",10123,10123,2,6,1
61232,"전율 유기 해안 ~서머 리조트 스릴러즈~",10124,10124,2,6,1
61242,"리틀 서머 메모리즈 물가에서 찾아낸 작은 행복",10125,10125,2,6,1
61252,"위자딩 청춘 데이즈 마법 학원과 기적의 종",10126,10126,2,6,1
61262,"마호마호 미라클 저니! 여행하는 소녀와 땅끝의 커다란 나무",10127,10127,2,6,1
61272,"로맨싱 사라사리아 ~사막의 신부와 불가사의한 램프~",10128,10128,2,6,1
61282,"좋아요! 러브! 총집합! 지고의 제전과 소녀의 비밀스런 덕질",10129,10129,2,6,1
61292,"크리미널 루키 천사들의 패러독스",10130,10130,2,6,1
61302,"트라이벌 스피리츠 치켜올린 검과 긍지의 가교",10131,10131,2,6,1
61312,"크라이・베이비・크리스마스 누군가를 위해 행복해지는 날",10132,10132,2,6,1
61322,"해피 해프닝 행복의 쌍둥이 천사와 성야의 선물",10133,10133,2,6,1
61332,"영춘 드리머즈! 새해, 세뱃탄(메테오) 많이 받으세요!?",10134,10134,2,6,1
61342,"온천 수증기 망년기담 새해 첫날 해돋이에 잔을",10135,10135,2,6,1
61352,"I Wish 꼭 잡은 이 손을",10136,10136,2,6,1
61362,"I Wish 꼭 잡은 이 손을",10137,10137,2,6,1
61372,"리버레이트 디 에덴 언젠가, 다시 만날 미래에서",10138,10138,2,6,1
61382,"리버레이트 디 에덴 언젠가, 다시 만날 미래에서",10139,10139,2,6,1
61392,"한겨울의 한여름과 성스러운 학교의 이단아",10140,10140,2,6,1
61402,"고양이와 막과자 찻집 카페 나슈카체에 어서 오세요",10141,10141,2,6,1
61412,"쿨리 퓨리 부트 캠프 도깨비 교관과 채찍과… 당근？",10142,10142,2,6,1
61422,"Dears 어서 와&다녀왔어의 약속",10143,10143,2,6,1
61432,"꽃 피는 계절의 상세리테",10144,10144,2,6,1
61442,"커넥트 위드 블루 소녀가 하늘에 닿기까지",10145,10145,2,6,1
61452,"그랜드림 온 퍼레이드 보석 토끼와 비밀 동료들",10146,10146,2,6,1
61462,"뱀파이어 포크로어 밤과 미의 향연",10147,10147,2,6,1
61472,"모여라 착한 일 클럽! 미소라의 유쾌한 여름 휴가",10148,10148,2,6,1
61482,"오마의 물 텅텅 대작전 비밀주의자와 금단의 바다",10149,10149,2,6,1
61492,"환혹의 요정 ‐한여름의 정원에 춤추는 그림자‐",10150,10150,2,6,1
61502,"전율 유기 해안 ~서머 리조트 스릴러즈~",10151,10151,2,6,1
61532,"노조미의 일일 점장기 여기는 알케스 연금당",10154,10154,2,6,1
61542,"위자딩 청춘 데이즈 마법 학원과 기적의 종",10155,10155,2,6,1
61552,"밴디트 리턴즈 염국의 무법 자매",10156,10156,2,6,1
61562,"로맨싱 사라사리아 ~사막의 신부와 불가사의한 램프~",10157,10157,2,6,1
61572,"러브&퍼니시먼트 악마가 전하는 크리스마스",10158,10158,2,6,1
61582,"크리미널 루키 천사들의 패러독스",10159,10159,2,6,1
61592,"영춘 지오 게헤나 뱀 아가씨와 쌍려의 검사",10160,10160,2,6,1
61602,"크라이・베이비・크리스마스 누군가를 위해 행복해지는 날",10161,10161,2,6,1
61622,"영춘 드리머즈! 새해, 세뱃탄(메테오) 많이 받으세요!?",10163,10163,2,6,1
61632,"I Wish 꼭 잡은 이 손을",10164,10164,2,6,1
61642,"I Wish 꼭 잡은 이 손을",10165,10165,2,6,1
60022,"뱀파이어 헌터 with 이리야 토벌증 교환",19003,10003,2,5,1
