condition_shiori_quest_id,condition_story_id,original_event_id,condition_chara_id,condition_main_quest_id,original_start_time,gojuon_order,end_time,event_id,series_event_id,help_index,start_time,banner_y
0,0,10056,0,0,"2022/01/28 15:00:00",28,"2030/04/19 15:00:00",20032,0,"1,21","2023/11/17 15:00:00",0
0,0,10058,0,0,"2022/02/28 15:00:00",40,"2030/04/19 15:00:00",20033,0,"1,22","2023/12/15 15:00:00",0
0,0,10059,0,0,"2022/03/10 15:00:00",41,"2030/04/19 15:00:00",20034,20033,"1,22","2023/12/15 15:00:00",0
0,0,10061,0,0,"2022/03/28 15:00:00",26,"2030/04/19 15:00:00",20035,0,"1,23","2024/01/15 15:00:00",12
0,0,10064,0,0,"2022/04/28 15:00:00",1,"2030/04/19 15:00:00",20036,0,1,"2024/02/14 15:00:00",0
0,0,10066,0,0,"2022/05/30 15:00:00",37,"2030/04/19 15:00:00",20037,0,1,"2024/03/14 15:00:00",0
0,0,10068,0,0,"2022/06/30 15:00:00",39,"2030/04/19 15:00:00",20038,0,"1,24","2024/04/15 15:00:00",0
0,0,10070,0,0,"2022/07/29 15:00:00",32,"2030/04/19 15:00:00",20039,0,1,"2024/05/13 15:00:00",0
0,0,10072,0,0,"2022/08/29 15:00:00",46,"2030/04/19 15:00:00",20040,0,"1,25","2024/06/17 15:00:00",0
0,0,10074,0,0,"2022/09/29 15:00:00",42,"2030/04/19 15:00:00",20041,0,1,"2024/07/15 15:00:00",0
0,0,10076,0,0,"2022/10/31 15:00:00",55,"2030/04/19 15:00:00",20042,0,"1,26","2024/08/14 15:00:00",0
0,0,10078,0,0,"2022/12/01 15:00:00",12,"2030/04/19 15:00:00",20043,0,1,"2024/09/11 15:00:00",0
0,0,10080,0,0,"2022/12/29 15:00:00",15,"2030/04/19 15:00:00",20044,0,"1,27","2024/10/16 15:00:00",0
0,0,10082,0,0,"2023/01/30 15:00:00",27,"2030/04/19 15:00:00",20045,0,"1,28","2024/11/14 15:00:00",0
0,0,10084,0,0,"2023/03/02 15:00:00",59,"2030/04/19 15:00:00",20046,0,1,"2024/12/12 15:00:00",0
0,0,10085,0,0,"2023/03/09 15:00:00",60,"2030/04/19 15:00:00",20047,20046,"1,29","2024/12/12 15:00:00",0
0,0,10088,0,0,"2023/03/29 15:00:00",24,"2030/04/19 15:00:00",20048,0,1,"2025/01/16 15:00:00",0
0,0,10090,0,0,"2023/05/02 15:00:00",21,"2030/04/19 15:00:00",20049,0,1,"2025/02/17 15:00:00",0
0,0,10092,0,0,"2023/05/30 15:00:00",31,"2030/04/19 15:00:00",20050,0,1,"2025/04/15 14:00:00",0
0,0,10094,0,0,"2023/06/29 15:00:00",33,"2030/04/19 15:00:00",20051,0,"1,30","2025/05/15 14:00:00",0
0,0,10096,0,0,"2023/08/01 15:00:00",51,"2030/04/19 15:00:00",20052,0,"1,31","2025/07/15 14:00:00",0
0,0,10098,0,0,"2023/08/30 15:00:00",9,"2030/04/19 15:00:00",20053,0,"1,32","2025/08/13 14:00:00",0
0,0,10100,0,0,"2023/09/25 15:00:00",13,"2030/04/19 15:00:00",20054,0,1,"2025/09/15 14:00:00",0
0,0,10102,0,0,"2023/11/02 15:00:00",43,"2030/04/19 15:00:00",20055,0,"1,33","2025/10/14 14:00:00",0
0,0,10104,0,0,"2023/11/30 15:00:00",48,"2030/04/19 15:00:00",20056,0,1,"2025/11/18 14:00:00",0
0,0,10106,0,0,"2023/12/28 15:00:00",57,"2030/04/19 15:00:00",20057,0,"1,34","2025/12/19 14:00:00",0
0,0,10108,0,0,"2024/01/30 15:00:00",34,"2030/04/19 15:00:00",20058,0,"1,35","2026/01/15 14:00:00",-10
0,0,10110,0,0,"2024/02/29 15:00:00",5,"2030/04/19 15:00:00",20059,0,"1,36","2026/02/13 14:00:00",-10
0,0,10111,0,0,"2024/03/07 15:00:00",6,"2030/04/19 15:00:00",20060,20059,"1,36","2026/02/13 14:00:00",-10
