param_05,param_04,param_06,drama_id,param_01,command_type,param_08,param_03,command_id,param_07,param_02
"",0,"",2,vo_minigame_1008,21,"",0,2048,"",vo_minigame_1008_drama_0303
0,1,0,2,119931,11,1,6,2049,0,"으으으으음……\n너, 어쩐지 맛있어 보이는 거야……"
"","","",2,0,91,"","",2050,"",""
"","","",2,0,22,"","",2051,"",0
"","","",2,0.5,93,"","",2052,"",""
"","",0.2,2,106011,3,"",1,2053,"",psy_talk_sad
"",0,"",2,vo_minigame_1008,21,"",0,2054,"",vo_minigame_1008_drama_0309
0,1,0,2,106011,11,0.5,8,2055,0,"뭐~?"
"","","",2,0,91,"","",2056,"",""
"","",0.2,2,106011,3,"",1,2057,"",psy_idle_sad
"",0,"",2,vo_minigame_1008,21,"",0,2058,"",vo_minigame_1008_drama_0304
0,1,0,2,119931,11,0.5,6,2059,0,"널 푸딩으로 만들어버리는 거야~~!!"
"","","",2,0.5,93,"","",2060,"",1
1,psy_miyako_attack_loop,0.2,2,119931,3,"",0,2061,0,psy_miyako_attack_in
"","","",2,0.2,93,"","",2062,"",1
1,psy_idle_surprise2,0.2,2,106011,3,"",0,2063,0.2,psy_surprise
"","","",2,2059,91,"","",2064,"",""
"","","",2,0,22,"","",2065,"",0
"","",0.2,2,106011,3,"",1,2066,"",psy_talk_surprise2
"",0,"",2,vo_minigame_1008,21,"",0,2067,"",vo_minigame_1008_drama_0310
0,1,0,2,106011,11,0.5,8,2068,0,"대, 대체 뭐야, 이 가게~~!!"
"","","",2,0,91,"","",2069,"",""
"","","",2,106011,4,"","",2070,"",0
"","",0.2,2,106011,3,"",1,2071,"",psy_run_shy
"","",0.2,2,119931,3,"",1,2072,"",psy_miyako_attack_loop_move
0,3,"",2,106011,2,"",-220,2073,"",1000
0,5,"",2,119931,2,"",-220,2074,"",1000
"","","",2,3.5,93,"","",2075,"",""
"","","",2,0,22,"","",2076,"",0
"","","",2,0,91,"","",2077,"",""
-150,-250,1.65,3,1,1,psy_miyako_gasagoso_B,100,3001,1,119931
-180,340,1.7,3,1,1,psy_walk,100,3002,1,105511
1,0,1,3,1,31,"",0,3003,"",11
-220,-300,1.7,3,1,5,psy_smoke_start,101,3004,0,1
0,2,"",3,105511,2,"",-180,3005,"",225
"","","",3,2,93,"","",3006,"",""
"","",0.2,3,105511,3,"",1,3007,"",psy_talk_wish
"",0,"",3,vo_minigame_1008,21,"",0,3008,"",vo_minigame_1008_drama_0203
0,1,0,3,105511,11,0.5,8,3009,0,"여, 여기서 선배가 일하는 거죠?"
"","","",3,0,91,"","",3010,"",""
1,psy_ayumi_kyoro_loop,0.2,3,105511,3,"",0,3011,0,psy_ayumi_kyoro_in
"","","",3,1.8,93,"","",3012,"",""
"","",0.2,3,105511,3,"",1,3013,"",psy_talk_joy1
"",0,"",3,vo_minigame_1008,21,"",0,3014,"",vo_minigame_1008_drama_0204
0,1,0,3,105511,11,0.5,8,3015,0,"와아, 맛있어 보이는 과자가 잔뜩\n진열돼있네요…… 선배가 만든 과자도\n있는 걸까?"
"","","",3,0,91,"","",3016,"",""
"","",0.2,3,105511,3,"",1,3017,"",psy_talk_call
"",0,"",3,vo_minigame_1008,21,"",0,3018,"",vo_minigame_1008_drama_0205
0,1,0,3,105511,11,0.5,8,3019,0,"저기…… 이 과자 하나 주세요.\n저기~ 실례합니다~\n안 들리는 걸까?"
"","","",3,3,93,"","",3020,"",1
0,1,0,3,119931,12,0,0.8,3021,0,5
"","","",3,119931,4,"","",3022,"",0
"","",0,3,119931,3,"",1,3023,"",psy_miyako_idle_thinking
"","","",3,1.5,93,"","",3024,"",1
"","","",3,119931,4,"","",3025,"",1
"","",0,3,119931,3,"",1,3026,"",psy_miyako_gasagoso_B
"","","",3,0.5,93,"","",3027,"",1
"","",0.2,3,105511,3,"",1,3028,"",psy_talk_sad
"","","",3,3019,91,"","",3029,"",""
"","",0.2,3,105511,3,"",1,3030,"",psy_talk_wish
"",0,"",3,vo_minigame_1008,21,"",0,3031,"",vo_minigame_1008_drama_0206
0,1,0,3,105511,11,0.5,8,3032,0,"이, 일단 돈은 두고 갈게요\n실례했습니다!"
"","","",3,2,93,"","",3033,"",1
"","",0.2,3,105511,3,"",1,3034,"",psy_gasagoso_B2
"","","",3,1,93,"","",3035,"",1
1,psy_idle_normal,0.2,3,105511,3,"",0,3036,0.2,psy_pekori
"","","",3,3032,91,"","",3037,"",""
"","","",3,105511,4,"","",3038,"",0
"","",0.2,3,105511,3,"",1,3039,"",psy_run
0,3,"",3,105511,2,"",-180,3040,"",1000
"","","",3,3,93,"","",3041,"",""
"","","",3,0.5,93,"","",3042,"",""
"","",0,3,119931,3,"",1,3043,"",psy_miyako_idle_thinking
"","","",3,2,93,"","",3044,"",""
"","","",3,119931,4,"","",3045,"",0
"","",0.2,3,119931,3,"",1,3046,"",psy_miyako_run
0,2,"",3,119931,2,"",-165,3047,"",0
"","","",3,2,93,"","",3048,"",""
"","",0.2,3,119931,3,"",1,3049,"",psy_miyako_thinking4
"",0,"",3,vo_minigame_1008,21,"",0,3050,"",vo_minigame_1008_drama_0201
0,1,0,3,119931,11,0.5,5,3051,0,"……?\n어느새 돈이 있는 거야!\n아까까지는 없었던 거야!\n무서운 거야! 귀신이라도 나온 거야?"
"","","",3,4,93,"","",3052,"",1
"","",0.2,3,119931,3,"",1,3053,"",psy_miyako_panic1
"","","",3,3051,91,"","",3054,"",""
"","","",3,0,22,"","",3055,"",0
1,psy_miyako_surprise2_loop,0.2,3,119931,3,"",0,3056,0,psy_miyako_surprise2_in
"",0,"",3,vo_minigame_1008,21,"",0,3057,"",vo_minigame_1008_drama_0202
0,1,0,3,119931,11,1,5,3058,0,"……!\n갑자기 푸딩 아이디어가 생각난 거야!\n하지만 떠오른 얼굴은 기억에 없는 거야.\n이 녀석은………… 누구인 거야?"
"","","",3,4,93,"","",3059,"",1
"","",0.2,3,119931,3,"",1,3060,"",psy_miyako_thinking4
"","","",3,3058,91,"","",3061,"",""
"","","",3,0,22,"","",3062,"",0
"","","",3,1,93,"","",3063,"",""
"","","",3,0,91,"","",3064,"",""
-200,-300,1.7,4,1,1,psy_miyako_start,100,4001,0,119931
-220,300,1.7,4,1,1,psy_walk,100,4002,1,107131
1,0,1,4,1,31,"",0,4003,"",11
-200,-300,1.7,4,1,5,psy_smoke_start,101,4004,0,1
0,2,"",4,107131,2,"",-220,4005,"",185
"","","",4,2,93,"","",4006,"",""
1,psy_talk_doya_loop,0.2,4,107131,3,"",0,4007,0.2,psy_talk_doya
"",0,"",4,vo_minigame_1008,21,"",0,4008,"",vo_minigame_1008_drama_0405
0,1,0,4,107131,11,0.5,8,4009,0,"이 가게가 화제에 올랐다고 듣고\n크리스티나 님이 행차했다☆"
"","","",4,0,91,"","",4010,"",""
"","",0.2,4,107131,3,"",1,4011,"",psy_idle_doya
"","",0.2,4,107131,3,"",1,4012,"",psy_talk_sad
"",0,"",4,vo_minigame_1008,21,"",0,4013,"",vo_minigame_1008_drama_0406
0,1,0,4,107131,11,0.5,8,4014,0,"……음? 아무도 없잖아.\n모처럼 카르미나한테 줄 간식을\n사러 왔는데.\n이봐, 누구 없나."
"","","",4,6,93,"","",4015,"",1
"","",0.2,4,107131,3,"",1,4016,"",psy_talk_call
"","","",4,4014,91,"","",4017,"",""
"","",0.2,4,107131,3,"",1,4018,"",psy_idle_arm_crossed
1,psy_miyako_talk_joy1,0,4,119931,3,"",0,4019,0.2,psy_miyako_appear
0,psy_smoke_start,0,4,1,3,"",0,4020,0,psy_smoke_appear
"",0,"",4,vo_minigame_1008,21,"",0,4021,"",vo_minigame_1008_drama_0401
0,1,0,4,119931,11,0.5,6,4022,0,"아! 너!\n커다란 푸딩을 준 녀석인 거야!\n또 미야코한테 푸딩을 갖고 온 거야?"
"","","",4,0,91,"","",4023,"",""
"","","",4,0,22,"","",4024,"",0
"","",0.2,4,119931,3,"",1,4025,"",psy_miyako_idle
"","",0.2,4,107131,3,"",1,4026,"",psy_talk_normal
"",0,"",4,vo_minigame_1008,21,"",0,4027,"",vo_minigame_1008_drama_0407
0,1,0,4,107131,11,0.5,8,4028,0,"너는…… 아아, 이전\n크리스마스에 만난 적이 있었지.\n오늘은 산타로서가 아니라\n손님으로서 온 거다."
"","","",4,0,91,"","",4029,"",""
"","",0.2,4,107131,3,"",1,4030,"",psy_idle_normal
"","",0.2,4,119931,3,"",1,4031,"",psy_miyako_sad1
"",0,"",4,vo_minigame_1008,21,"",0,4032,"",vo_minigame_1008_drama_0402
0,1,0,4,119931,11,0.5,6,4033,0,"푸딩을 안 주는 너한테 볼일은 없는 거야.\n할머니도 자리를 비웠고\n두 번 다시 오지 말라는 거야."
"","","",4,5,93,"","",4034,"",1
"","",0.2,4,119931,3,"",1,4035,"",psy_miyako_talk4
"","","",4,4033,91,"","",4036,"",""
"","","",4,0,22,"","",4037,"",0
"","",0.2,4,119931,3,"",1,4038,"",psy_miyako_idle2
1,psy_ahaha_loop,0.2,4,107131,3,"",0,4039,0.2,psy_ahaha_in
"",0,"",4,vo_minigame_1008,21,"",0,4040,"",vo_minigame_1008_drama_0408
0,1,0,4,107131,11,0.5,8,4041,0,"하하하!\n이 크리스티나 님에게\n제법 심한 말을 하잖아. 재밌군☆"
"","","",4,1.7,93,"","",4042,"",1
"","",0.2,4,107131,3,"",1,4043,"",psy_talk_joy1
"","","",4,4041,91,"","",4044,"",""
1,psy_talk_doya_loop,0.2,4,107131,3,"",0,4045,0.2,psy_talk_doya
"",0,"",4,vo_minigame_1008,21,"",0,4046,"",vo_minigame_1008_drama_0409
0,1,0,4,107131,11,0.5,8,4047,0,"어떻게든 너한테 과자를\n사고 말겠어."
"","","",4,0,91,"","",4048,"",""
"","",0.2,4,107131,3,"",1,4049,"",psy_idle_wish
"","",0.2,4,119931,3,"",1,4050,"",psy_miyako_panic1
"",0,"",4,vo_minigame_1008,21,"",0,4051,"",vo_minigame_1008_drama_0403
0,1,0,4,119931,11,0.5,6,4052,0,"왜 그렇게 되는 거야!?\n됐으니까 돌아가라는 거야!"
"","","",4,0,91,"","",4053,"",""
"","","",4,0,22,"","",4054,"",0
"","",0.2,4,119931,3,"",1,4055,"",psy_miyako_idle_panic
1,psy_cris_approach_loop,0.2,4,107131,3,"",0,4056,0,psy_cris_approach_in
"",0,"",4,vo_minigame_1008,21,"",0,4057,"",vo_minigame_1008_drama_0410
0,1,0,4,107131,11,0.5,8,4058,0,"흐음, 만드는 중인 푸딩이\n있잖아.\n으~음…… 직접 만든 간식이란 것도\n좋아할 것 같군."
"","","",4,4,93,"","",4059,"",1
1,psy_talk_arm_crossed_loop,0.2,4,107131,3,"",0,4060,0,psy_talk_arm_crossed
"","","",4,4058,91,"","",4061,"",""
"","",0.2,4,107131,3,"",1,4062,"",psy_talk_joy1
"",0,"",4,vo_minigame_1008,21,"",0,4063,"",vo_minigame_1008_drama_0411
0,1,0,4,107131,11,0.5,8,4064,0,"좋아! 내가 푸딩을 만들지!\n너도 도와.\n크리스마스의 빚을 돌려받겠다."
"","","",4,0,91,"","",4065,"",""
"","",0.2,4,107131,3,"",1,4066,"",psy_idle_joy1
"","",0.2,4,119931,3,"",1,4067,"",psy_miyako_anger2
"",0,"",4,vo_minigame_1008,21,"",0,4068,"",vo_minigame_1008_drama_0404
0,1,0,4,119931,11,0.5,6,4069,0,"왜, 왜 그렇게 되는 거야~~!?"
"","","",4,4,93,"","",4070,"",""
"","","",4,0,91,"","",4071,"",""
-200,-300,1.7,5,1,1,psy_miyako_start,100,5001,0,119931
-220,300,1.7,5,1,1,psy_walk,100,5002,1,104931
1,0,1,5,1,31,"",0,5003,"",11
-200,-300,1.7,5,1,5,psy_smoke_start,101,5004,0,1
0,2,"",5,104931,2,"",-220,5005,"",185
"","","",5,2,93,"","",5006,"",""
"","",0.2,5,104931,3,"",1,5007,"",psy_talk_wish
"",0,"",5,vo_minigame_1008,21,"",0,5008,"",vo_minigame_1008_drama_0504
0,1,0,5,104931,11,0.5,8,5009,0,"여기가 동생이랑 리노가\n일을 돕는다는 과자 가게구나!\n동생아! 누나가 왔어!!"
"","","",5,4.3,93,"","",5010,"",1
"","",0.2,5,104931,3,"",1,5011,"",psy_talk_joy1
"","","",5,5009,91,"","",5012,"",""
"","",0.2,5,104931,3,"",1,5013,"",psy_idle_joy1
1,psy_miyako_talk3,0,5,119931,3,"",0,5014,0.2,psy_miyako_appear
0,psy_smoke_start,0,5,1,3,"",0,5015,0,psy_smoke_appear
"",0,"",5,vo_minigame_1008,21,"",0,5016,"",vo_minigame_1008_drama_0501
0,1,0,5,119931,11,0.5,6,5017,0,"시끄러운 거야.\n갑자기 무슨 일인 거야?"
"","","",5,0,91,"","",5018,"",""
"","","",5,0,22,"","",5019,"",0
"","",0.2,5,119931,3,"",1,5020,"",psy_miyako_idle
"","",0.2,5,104931,3,"",1,5021,"",psy_talk_joy1
"",0,"",5,vo_minigame_1008,21,"",0,5022,"",vo_minigame_1008_drama_0505
0,1,0,5,104931,11,0.5,8,5023,0,"앗! 미야코지?\n리노한테 얘기는 들었어!\n만나서 반가워, 동생의 누나야!"
"","","",5,4,93,"","",5024,"",""
"","",0.2,5,104931,3,"",1,5025,"",psy_talk_wish
"","","",5,5023,91,"","",5026,"",""
"","","",5,0,91,"","",5027,"",""
"","",0.2,5,104931,3,"",1,5028,"",psy_idle_wish
"","",0.2,5,119931,3,"",1,5029,"",psy_miyako_anger3
"",0,"",5,vo_minigame_1008,21,"",0,5030,"",vo_minigame_1008_drama_0502
0,1,0,5,119931,11,0.5,6,5031,0,"네가 그 녀석의 누나인지\n아닌지는 아무래도 좋은 거야.\n미야코는 푸딩을 만드느라 바쁜 거야."
"","","",5,5,93,"","",5032,"",1
1],psy_miyako_arm_crossed_loop,0.2,5,119931,3,"",0,5033,0,psy_miyako_arm_crossed_in
"","","",5,5031,91,"","",5034,"",""
"","","",5,0,22,"","",5035,"",0
"","",0.2,5,119931,3,"",1,5036,"",psy_miyako_arm_crossed_idle
"","",0.2,5,104931,3,"",1,5037,"",psy_talk_wish
"",0,"",5,vo_minigame_1008,21,"",0,5038,"",vo_minigame_1008_drama_0506
0,1,0,5,104931,11,0.5,8,5039,0,"아무래도 좋다는 반응은 처음이라서\n누나는 그건 그것대로\n상처받는데!\n사랑의 반대는 무관심이라고 하잖아!"
"","","",5,0,91,"","",5040,"",""
"","",0.2,5,104931,3,"",1,5041,"",psy_talk_joy2
"",0,"",5,vo_minigame_1008,21,"",0,5042,"",vo_minigame_1008_drama_0507
0,1,0,5,104931,11,0.5,8,5043,0,"좋았어~!\n지금부터 미야코한테\n동생이랑 누나의 사랑과 운명의 이야기를\n전해줄게!"
"","","",5,0,91,"","",5044,"",""
"","",0.2,5,104931,3,"",1,5045,"",psy_talk_memory
"",0,"",5,vo_minigame_1008,21,"",0,5046,"",vo_minigame_1008_drama_0508
0,1,0,5,104931,11,0.5,8,5047,0,"우선 그래, 운명의 만남부터……"
"","","",5,0,91,"","",5048,"",""
"","",0.2,5,104931,3,"",1,5049,"",psy_idle_memory
"","",0.2,5,119931,3,"",1,5050,"",psy_miyako_sad1
"",0,"",5,vo_minigame_1008,21,"",0,5051,"",vo_minigame_1008_drama_0503
0,1,0,5,119931,11,0.5,6,5052,0,"(뭔가 시작된 거야……\n성가시니까 미야코는 사라지는 거야……)"
"","","",5,0,91,"","",5053,"",""
"","","",5,0,22,"","",5054,"",0
"","",0.2,5,119931,3,"",0,5055,"",psy_miyako_hide
0,psy_smoke_start,0,5,1,3,"",0,5056,0,psy_smoke_hide
"","","",5,2,93,"","",5057,"",""
"","","",5,0,91,"","",5058,"",""
-200,-300,1.7,6,1,1,psy_miyako_idle_thinking,100,6001,1,119931
-220,300,1.7,6,1,1,psy_walk,100,6002,1,103131
1,0,1,6,1,31,"",0,6003,"",11
0,0,0,6,119931,12,0,2,6004,0,17
0,2,"",6,103131,2,"",-220,6005,"",185
"","","",6,2,93,"","",6006,"",""
"","",0.2,6,103131,3,"",1,6007,"",psy_talk_wish
"",0,"",6,vo_minigame_1008,21,"",0,6008,"",vo_minigame_1008_drama_0605
0,1,0,6,103131,11,0.5,8,6009,0,"안녕하세요.\n미야코 씨가 과자 가게 일을\n돕는다는 얘기를 들어서\n어떤지 보러 왔어요."
"","","",6,0,91,"","",6010,"",""
"","",0.2,6,103131,3,"",1,6011,"",psy_idle_wish
"","","",6,119931,4,"","",6012,"",0
1,psy_miyako_talk_joy2,0.2,6,119931,3,"",0,6013,0.2,psy_miyako_surprise2_in
"","","",6,1,93,"","",6014,"",""
"",0,"",6,vo_minigame_1008,21,"",0,6015,"",vo_minigame_1008_drama_0601
0,1,0,6,119931,11,0.5,6,6016,0,"시노부! 마침 잘 온 거야!\n미야코 좀 곤란한 거야!"
"","","",6,3,93,"","",6017,"",1
"","",0.2,6,119931,3,"",1,6018,"",psy_miyako_talk2
"","","",6,6016,91,"","",6019,"",""
"","","",6,0,22,"","",6020,"",0
"","",0.2,6,119931,3,"",1,6021,"",psy_miyako_idle_sad
"","",0.2,6,103131,3,"",1,6022,"",psy_talk_sad
"",0,"",6,vo_minigame_1008,21,"",0,6023,"",vo_minigame_1008_drama_0606
0,1,0,6,103131,11,0.5,8,6024,0,"무슨 일인가요?\n아, 설마 판매할 푸딩을\n먹어버린 건가요?\n그럼 같이 사과해요."
"","","",6,0,91,"","",6025,"",""
"","",0.2,6,103131,3,"",1,6026,"",psy_idle_sad
"","",0.2,6,119931,3,"",1,6027,"",psy_miyako_panic3
"",0,"",6,vo_minigame_1008,21,"",0,6028,"",vo_minigame_1008_drama_0602
0,1,0,6,119931,11,0.5,5,6029,0,"아닌 거야! 미야코는 지금 궁극의 푸딩을\n만들려는 거야!\n하지만 좋은 아이디어가\n안 떠오르는 거야……"
"","","",6,5.5,93,"","",6030,"",1
"","",0.2,6,119931,3,"",1,6031,"",psy_miyako_sad2
"","","",6,6029,91,"","",6032,"",""
"","","",6,0,22,"","",6033,"",0
"","",0.2,6,119931,3,"",1,6034,"",psy_miyako_idle_sad
1,psy_talk_surprise1,0.2,6,103131,3,"",0,6035,0.2,psy_surprise
"",0,"",6,vo_minigame_1008,21,"",0,6036,"",vo_minigame_1008_drama_0607
0,1,0,6,103131,11,0.5,8,6037,0,"미야코 씨가…… 직접……\n푸딩을……"
"","","",6,0,91,"","",6038,"",""
"","",0.2,6,103131,3,"",1,6039,"",psy_idle_surprise1
"","",0.2,6,119931,3,"",1,6040,"",psy_miyako_talk2
"",0,"",6,vo_minigame_1008,21,"",0,6041,"",vo_minigame_1008_drama_0603
0,1,0,6,119931,11,0.5,6,6042,0,"왜 그러는 거야?"
"","","",6,0,91,"","",6043,"",""
"","","",6,0,22,"","",6044,"",0
"","",0.2,6,119931,3,"",1,6045,"",psy_miyako_idle
"","",0.2,6,103131,3,"",1,6046,"",psy_talk_joy1
"",0,"",6,vo_minigame_1008,21,"",0,6047,"",vo_minigame_1008_drama_0608
0,1,0,6,103131,11,0.5,8,6048,0,"후훗, 아뇨. 아무것도 아니에요.\n제가 힘이 될지는 모르겠지만\n최선을 다해 도울게요."
"","","",6,4,93,"","",6049,"",1
"","",0.2,6,103131,3,"",1,6050,"",psy_talk_wish
"","","",6,6048,91,"","",6051,"",""
"","",0.2,6,103131,3,"",1,6052,"",psy_idle_wish
"","",0.2,6,119931,3,"",1,6053,"",psy_miyako_joy1
"",0,"",6,vo_minigame_1008,21,"",0,6054,"",vo_minigame_1008_drama_0604
0,1,0,6,119931,11,0.5,6,6055,0,"고마운 거야!\n시노부와 미야코가 모이면 최강인 거야!\n반드시 맛있는 푸딩이\n완성될 거야!"
"","","",6,5,93,"","",6056,"",1
1,psy_miyako_guts1_loop,0.2,6,119931,3,"",0,6057,0,psy_miyako_guts1_in
"","","",6,6055,91,"","",6058,"",""
"","","",6,0,22,"","",6059,"",0
"","","",6,1.5,93,"","",6060,"",""
"","","",6,0,91,"","",6061,"",""
-200,-200,1.7,7,1,1,psy_miyako_idle,100,7001,0,119931
-220,125,1.7,7,1,5,psy_fairy_idle,100,7002,0,1
1,0,1,7,1,31,"",0,7003,"",11
"","","",7,2,93,"","",7004,"",""
"","",0.2,7,1,3,"",1,7005,"",psy_fairy_talk
"",0,"",7,vo_minigame_1008,21,"",0,7006,"",vo_minigame_1008_drama_9902
0,1,0,7,1,11,0.5,6,7007,0,"뀨뀻!"
"","","",7,0,91,"","",7008,"",""
"","",0.2,7,1,3,"",1,7009,"",psy_fairy_idle
"","",0.2,7,119931,3,"",1,7010,"",psy_miyako_talk3
"",0,"",7,vo_minigame_1008,21,"",0,7011,"",vo_minigame_1008_drama_0702
0,1,0,7,119931,11,1,6,7012,0,"시끄러운 거야! 방해하지 말라는 거야!\n미야코는 궁극의 푸딩을 생각하느라\n바쁜 거야!"
