reward_type_5,reward_num_2,reward_type_1,reward_num_3,quest_id,reward_num_5,reward_id_1,byway_quest_type,reward_id_4,position_x,area_id,position_y,reward_id_3,reward_type_4,detail,reward_id_5,start_time,reward_num_1,reward_type_2,icon_id,reward_id_2,reward_num_4,quest_name,reward_type_3
0,5,8,5,15066001,0,91002,1,51013,-701,11066,-56,31185,2,"전투에 승리한다.",0,"2024/10/16 15:00:00",30,2,300010,31180,1,"뒷세계 부흥 지원 본부",2
0,5,8,5,15066002,0,91002,1,0,-427,11066,109,31017,0,"전투에 승리한다.",0,"2024/10/16 15:00:00",30,2,300010,31010,0,"공주들의 목욕 외교",2
0,1,8,0,15066003,0,91002,2,0,-573,11066,-180,0,0,"전투에 승리한다.",0,"2024/10/16 15:00:00",150,18,300020,4102402,0,"《EX》천재 발명가 셋째, 습격",0
2,5,8,5,15066004,1,91002,1,31040,-165,11066,-25,31012,2,"전투에 승리한다.",51016,"2024/11/14 15:00:00",30,2,300010,31015,5,"뒷세계 안전 강습회",2
0,5,8,5,15066005,0,91002,1,31042,110,11066,-88,31054,2,"전투에 승리한다.",0,"2024/11/14 15:00:00",30,2,300010,31029,5,"뒷세계 온 스테이지!",2
0,10,8,0,15066006,0,91002,1,0,135,11066,97,0,0,"전투에 승리한다.",0,"2024/11/14 15:00:00",30,2,300010,90005,0,"드래곤 자매의 부탁",0
0,0,8,0,15066007,0,91002,2,0,443,11066,42,0,0,"전투에 승리한다.",0,"2024/11/14 15:00:00",150,0,300020,0,0,"《EX》위험한 그림자와 마물・라이라이고우 M",0
0,5,8,5,15067001,0,91002,1,0,-208,11067,-32,31008,0,"전투에 승리한다.",0,"2024/12/12 15:00:00",30,2,300010,31258,0,"달콤하고 맛있는 미용법",2
0,5,8,5,15067002,0,91002,1,51017,-58,11067,44,31045,2,"전투에 승리한다.",0,"2024/12/12 15:00:00",30,2,300010,31233,1,"Ｍ과 소년을 확보하라",2
0,1,8,0,15067003,0,91002,2,0,-84,11067,-165,0,0,"전투에 승리한다.",0,"2024/12/12 15:00:00",150,18,300020,4105402,0,"《EX》수난이 달라붙는 차녀, 조난",0
2,5,8,5,15067004,1,91002,1,31059,425,11067,90,31034,2,"전투에 승리한다.",51018,"2025/01/16 15:00:00",30,2,300010,31181,5,"응석받이는 누구인가",2
0,10,8,0,15067005,0,91002,1,0,551,11067,36,0,0,"전투에 승리한다.",0,"2025/01/16 15:00:00",30,2,300010,90005,0,"배 꼬륵꼬륵 듀엣",0
0,0,8,0,15067006,0,91002,2,0,602,11067,-120,0,0,"전투에 승리한다.",0,"2025/01/16 15:00:00",150,0,300020,0,0,"《EX》위험한 마물・대귀와 뇌조",0
0,5,8,5,15068001,0,91002,1,51021,-40,11068,-20,31014,2,"전투에 승리한다.",0,"2025/02/17 15:00:00",30,2,300010,31093,1,"뒷세계에도 사건의 냄새",2
0,5,8,5,15068002,0,91002,1,0,90,11068,-179,31051,0,"전투에 승리한다.",0,"2025/02/17 15:00:00",30,2,300010,31027,0,"연옥에 피는 꽃처럼",2
0,1,8,0,15068003,0,91002,2,0,245,11068,-171,0,0,"전투에 승리한다.",0,"2025/02/17 15:00:00",150,18,300020,4101403,0,"《EX》호방 뇌락 장녀, 광취",0
0,5,8,5,15068004,0,91002,1,51022,643,11068,44,31033,2,"전투에 승리한다.",0,"2025/03/13 8:00:00",30,2,300010,31032,1,"탕에 너무 오래 들어가 있지 마십시오",2
0,10,8,0,15068005,0,91002,1,0,768,11068,-93,0,0,"전투에 승리한다.",0,"2025/03/13 8:00:00",30,2,300010,90005,0,"토끼를 쫓는 지오 게헤나",0
0,0,8,0,15068006,0,91002,2,0,814,11068,91,0,0,"전투에 승리한다.",0,"2025/03/13 8:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리",0
0,5,8,5,15069001,0,91002,1,51023,-324,11069,0,31020,2,"전투에 승리한다.",0,"2025/04/15 14:00:00",30,2,300010,31047,1,"뒷세계 미아",2
0,5,8,5,15069002,0,91002,1,0,-175,11069,-78,31060,0,"전투에 승리한다.",0,"2025/04/15 14:00:00",30,2,300010,31016,0,"지오 게헤나의 마법 연구",2
0,0,8,0,15069003,0,91002,2,0,0,11069,-136,0,0,"전투에 승리한다.",0,"2025/04/15 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리",0
0,5,8,5,15069004,0,91002,1,51024,411,11069,-9,31055,2,"전투에 승리한다.",0,"2025/05/15 14:00:00",30,2,300010,31096,1,"지오 게헤나에 흩날리는 첩자들",2
0,5,8,5,15069005,0,91002,1,0,522,11069,-167,31063,0,"전투에 승리한다.",0,"2025/05/15 14:00:00",30,2,300010,31223,0,"권속으로 삼아 줄게!",2
0,0,8,0,15069006,0,91002,2,0,859,11069,-39,0,0,"전투에 승리한다.",0,"2025/05/15 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리",0
0,5,8,1,15070001,0,91002,1,0,-291,11070,128,51025,0,"전투에 승리한다.",0,"2025/06/13 14:00:00",30,2,300010,31040,0,"지오 게헤나의 식물 채집",2
0,5,8,5,15070002,0,91002,1,0,-143,11070,38,31065,0,"전투에 승리한다.",0,"2025/06/13 14:00:00",30,2,300010,31066,0,"작열의 싸움 타임",2
0,0,8,0,15070003,0,91002,2,0,0,11070,-14,0,0,"전투에 승리한다.",0,"2025/06/13 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리・우상",0
0,5,8,1,15070004,0,91002,1,0,434,11070,38,51026,0,"전투에 승리한다.",0,"2025/07/15 14:00:00",30,2,300010,31009,0,"깊은 연옥에서의 해후",2
0,5,8,5,15070005,0,91002,1,31050,575,11070,22,31261,2,"전투에 승리한다.",0,"2025/07/15 14:00:00",30,2,300010,31004,5,"어른의 여유를 보여 줘라",2
0,0,8,0,15070006,0,91002,2,0,546,11070,-180,0,0,"전투에 승리한다.",0,"2025/07/15 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리・재단",0
2,5,8,5,15071001,1,91002,1,31002,15,11071,90,31180,2,"전투에 승리한다.",51027,"2025/08/13 14:00:00",30,2,300010,31028,5,"발랄한 소녀들",2
0,5,8,0,15071002,0,91002,1,0,-89,11071,-81,0,0,"전투에 승리한다.",0,"2025/08/13 14:00:00",30,2,300010,31018,0,"이오 선생님의 뒷세계 교실",0
0,0,8,0,15071003,0,91002,2,0,-408,11071,-135,0,0,"전투에 승리한다.",0,"2025/08/13 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리・유희",0
2,5,8,5,15071004,1,91002,1,31093,253,11071,-73,31006,2,"전투에 승리한다.",51028,"2025/09/15 14:00:00",30,2,300010,31026,5,"괴뢰의 실을 제거해라",2
0,5,8,5,15071005,0,91002,1,0,383,11071,-173,31296,0,"전투에 승리한다.",0,"2025/09/15 14:00:00",30,2,300010,31056,0,"꽃과 칼이 흩날리듯 춤추는",2
0,0,8,0,15071006,0,91002,2,0,622,11071,-173,0,0,"전투에 승리한다.",0,"2025/09/15 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리・동물원",0
0,5,8,1,15072001,0,91002,1,0,-252,11072,94,51029,0,"전투에 승리한다.",0,"2025/10/14 14:00:00",30,2,300010,31064,0,"연옥에 내려선 빙룡",2
0,5,8,5,15072002,0,91002,1,0,-193,11072,-111,31008,0,"전투에 승리한다.",0,"2025/10/14 14:00:00",30,2,300010,31258,0,"아름다운 흑천사들",2
0,0,8,0,15072003,0,91002,2,0,84,11072,94,0,0,"전투에 승리한다.",0,"2025/10/14 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리・미식",0
0,5,8,1,15072004,0,91002,1,0,277,11072,-120,51030,0,"전투에 승리한다.",0,"2025/11/18 14:00:00",30,2,300010,31022,0,"서브 퀘스트3",2
0,5,8,0,15072005,0,91002,1,0,510,11072,-106,0,0,"전투에 승리한다.",0,"2025/11/18 14:00:00",30,2,300010,31064,0,"서브 퀘스트4",0
0,0,8,0,15072006,0,91002,2,0,703,11072,-100,0,0,"전투에 승리한다.",0,"2025/11/18 14:00:00",150,0,300020,0,0,"《EX》EX 퀘스트2",0
0,5,8,1,15073001,0,91002,1,0,-487,11073,-188,51031,0,"전투에 승리한다.",0,"2025/12/19 14:00:00",30,2,300010,31309,0,"뒷세계 히어로 쇼",2
0,5,8,5,15073002,0,91002,1,0,-208,11073,-190,31185,0,"전투에 승리한다.",0,"2025/12/19 14:00:00",30,2,300010,31045,0,"명부의 마조히스트",2
0,0,8,0,15073003,0,91002,2,0,-133,11073,33,0,0,"전투에 승리한다.",0,"2025/12/19 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리・숲의 정령",0
0,1,8,0,15073004,0,91002,1,0,508,11073,37,0,0,"전투에 승리한다.",0,"2026/01/15 14:00:00",30,2,300010,51032,0,"명계의 마물 조사",0
0,0,8,0,15073005,0,91002,2,0,670,11073,-117,0,0,"전투에 승리한다.",0,"2026/01/15 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리・황혼",0
0,5,8,5,15074001,0,91002,1,51033,-182,11074,-46,31056,2,"전투에 승리한다.",0,"2026/02/13 14:00:00",30,2,300010,31034,1,"숙녀 모임에 어서 오세요",2
0,5,8,5,15074002,0,91002,1,0,-76,11074,-179,31033,0,"전투에 승리한다.",0,"2026/02/13 14:00:00",30,2,300010,31052,0,"명계를 웃기러 왔습니다! ",2
0,0,8,0,15074003,0,91002,2,0,102,11074,87,0,0,"전투에 승리한다.",0,"2026/02/13 14:00:00",150,0,300020,0,0,"《EX》위험한 그림자 무리・학교",0
0,0,0,0,15074004,0,0,1,0,391,11074,-148,0,0,"전투에 승리한다.",0,"2026/03/09 14:00:00",0,0,300010,0,0,"서브 퀘스트3",0
0,0,0,0,15074005,0,0,2,0,694,11074,12,0,0,"전투에 승리한다.",0,"2026/03/09 14:00:00",0,0,300020,0,0,"《EX》EX 퀘스트2",0
