seek_time,type,seq_num,cue_name,story_id,sheet_name,end_pos,command,line_num,start_pos,command_param,id
0.0,4,19,0,1007004,0,0,1,0,0,2.864,100700419
0.0,2,20,vo_svd_0403,1007004,vo_svd,0,0,0,0,0.0,100700420
2.056,1,21,0,1007004,0,336,0,6,0,0.0,100700421
0.0,4,22,0,1007004,0,0,1,0,0,1.844,100700422
1.963,1,23,0,1007004,0,364,0,7,0,0.0,100700423
0.0,4,24,0,1007004,0,0,1,0,0,2.5,100700424
0.0,4,1,0,1007005,0,0,1,0,0,0.8,100700501
0.0,2,2,vo_svd_0501,1007005,vo_svd,0,0,0,0,0.0,100700502
1.741,1,3,0,1007005,0,329,0,1,0,0.0,100700503
0.0,4,4,0,1007005,0,0,1,0,0,2.972,100700504
0.0,2,5,vo_svd_0502,1007005,vo_svd,0,0,0,0,0.0,100700505
1.539,1,6,0,1007005,0,320,0,2,0,0.0,100700506
0.0,4,7,0,1007005,0,0,1,0,0,1.258,100700507
0.762,1,8,0,1007005,0,175,0,3,0,0.0,100700508
0.0,4,9,0,1007005,0,0,1,0,0,2.583,100700509
0.0,2,10,vo_svd_0503,1007005,vo_svd,0,0,0,0,0.0,100700510
2.131,1,11,0,1007005,0,336,0,4,0,0.0,100700511
0.0,4,12,0,1007005,0,0,1,0,0,2.924,100700512
1.868,1,13,0,1007005,0,329,0,5,0,0.0,100700513
0.0,4,14,0,1007005,0,0,1,0,0,3.266,100700514
0.0,2,15,vo_svd_0504,1007005,vo_svd,0,0,0,0,0.0,100700515
1.269,1,16,0,1007005,0,275,0,6,0,0.0,100700516
0.0,4,17,0,1007005,0,0,1,0,0,2.653,100700517
0.0,2,18,vo_svd_0505,1007005,vo_svd,0,0,0,0,0.0,100700518
2.056,1,19,0,1007005,0,336,0,7,0,0.0,100700519
0.0,4,20,0,1007005,0,0,1,0,0,1.844,100700520
1.965,1,21,0,1007005,0,364,0,8,0,0.0,100700521
0.0,4,22,0,1007005,0,0,1,0,0,2.5,100700522
0.0,4,1,0,1007006,0,0,1,0,0,0.8,100700601
0.0,2,2,vo_svd_0601,1007006,vo_svd,0,0,0,0,0.0,100700602
1.875,1,3,0,1007006,0,336,0,1,0,0.0,100700603
0.0,4,4,0,1007006,0,0,1,0,0,3.353,100700604
0.0,2,5,vo_svd_0602,1007006,vo_svd,0,0,0,0,0.0,100700605
1.734,1,6,0,1007006,0,336,0,2,0,0.0,100700606
0.0,4,7,0,1007006,0,0,1,0,0,1.665,100700607
1.035,1,8,0,1007006,0,180,0,3,0,0.0,100700608
0.0,4,9,0,1007006,0,0,1,0,0,1.893,100700609
0.821,1,10,0,1007006,0,354,0,3,180,0.0,100700610
0.0,4,11,0,1007006,0,0,1,0,0,0.664,100700611
1.361,1,12,0,1007006,0,275,0,4,0,0.0,100700612
0.0,4,13,0,1007006,0,0,1,0,0,1.108,100700613
1.269,1,14,0,1007006,0,259,0,5,0,0.0,100700614
0.0,4,15,0,1007006,0,0,1,0,0,3.112,100700615
0.0,2,16,vo_svd_0603,1007006,vo_svd,0,0,0,0,0.0,100700616
2.056,1,17,0,1007006,0,336,0,6,0,0.0,100700617
0.0,4,18,0,1007006,0,0,1,0,0,1.844,100700618
1.965,1,19,0,1007006,0,364,0,7,0,0.0,100700619
0.0,4,20,0,1007006,0,0,1,0,0,2.5,100700620
0.0,4,1,0,1007007,0,0,1,0,0,0.8,100700701
0.0,2,2,vo_svd_0701,1007007,vo_svd,0,0,0,0,0.0,100700702
0.926,1,3,0,1007007,0,200,0,1,0,0.0,100700703
0.0,4,4,0,1007007,0,0,1,0,0,1.549,100700704
1.457,1,5,0,1007007,0,345,0,1,200,0.0,100700705
0.0,4,6,0,1007007,0,0,1,0,0,1.228,100700706
0.762,1,7,0,1007007,0,168,0,2,0,0.0,100700707
0.0,4,8,0,1007007,0,0,1,0,0,2.221,100700708
0.0,2,9,vo_svd_0702,1007007,vo_svd,0,0,0,0,0.0,100700709
0.969,1,10,0,1007007,0,347,0,2,168,0.0,100700710
0.0,4,11,0,1007007,0,0,1,0,0,0.747,100700711
2.085,1,12,0,1007007,0,336,0,3,0,0.0,100700712
0.0,4,13,0,1007007,0,0,1,0,0,2.932,100700713
1.436,1,14,0,1007007,0,275,0,4,0,0.0,100700714
0.0,4,15,0,1007007,0,0,1,0,0,2.164,100700715
1.928,1,16,0,1007007,0,356,0,5,0,0.0,100700716
0.0,4,17,0,1007007,0,0,1,0,0,1.673,100700717
1.269,1,18,0,1007007,0,259,0,6,0,0.0,100700718
0.0,4,19,0,1007007,0,0,1,0,0,3.156,100700719
0.0,2,20,vo_svd_0703,1007007,vo_svd,0,0,0,0,0.0,100700720
2.077,1,21,0,1007007,0,336,0,7,0,0.0,100700721
0.0,4,22,0,1007007,0,0,1,0,0,1.841,100700722
1.965,1,23,0,1007007,0,364,0,8,0,0.0,100700723
0.0,4,24,0,1007007,0,0,0,0,0,2.5,100700724
0.0,4,1,0,1007008,0,0,1,0,0,0.8,100700801
0.0,2,2,vo_svd_0801,1007008,vo_svd,0,0,0,0,0.0,100700802
2.027,1,3,0,1007008,0,356,0,1,0,0.0,100700803
0.0,4,4,0,1007008,0,0,1,0,0,3.309,100700804
0.0,2,5,vo_svd_0802,1007008,vo_svd,0,0,0,0,0.0,100700805
1.879,1,6,0,1007008,0,336,0,2,0,0.0,100700806
0.0,4,7,0,1007008,0,0,1,0,0,3.041,100700807
0.0,2,8,vo_svd_0803,1007008,vo_svd,0,0,0,0,0.0,100700808
1.848,1,9,0,1007008,0,336,0,3,0,0.0,100700809
0.0,4,10,0,1007008,0,0,1,0,0,1.437,100700810
0.796,1,11,0,1007008,0,168,0,4,0,0.0,100700811
0.0,4,12,"",1007008,"",0,1,0,0,2.532,100700812
0.0,2,13,vo_svd_0804,1007008,vo_svd,0,0,0,0,0.0,100700813
1.002,1,14,0,1007008,0,125,0,5,0,0.0,100700814
0.0,4,15,0,1007008,0,0,1,0,0,2.164,100700815
1.574,1,16,0,1007008,0,299,0,5,125,0.0,100700816
0.0,4,17,0,1007008,0,0,1,0,0,2.164,100700817
1.269,1,18,0,1007008,0,259,0,6,0,0.0,100700818
0.0,4,19,0,1007008,0,0,1,0,0,2.5,100700819
0.0,4,1,0,1007009,0,0,1,0,0,0.8,100700901
0.0,2,2,vo_svd_0901,1007009,vo_svd,0,0,0,0,0.0,100700902
2.285,1,3,0,1007009,0,356,0,1,0,0.0,100700903
0.0,4,4,0,1007009,0,0,1,0,0,2.031,100700904
1.362,1,5,0,1007009,0,215,0,2,0,0.0,100700905
0.0,4,6,0,1007009,0,0,1,0,0,2.479,100700906
0.0,2,7,vo_svd_0902,1007009,vo_svd,0,0,0,0,0.0,100700907
2.004,1,8,0,1007009,0,356,0,3,0,0.0,100700908
0.0,4,9,0,1007009,0,0,1,0,0,1.804,100700909
2.026,1,10,0,1007009,0,290,0,4,0,0.0,100700910
0.0,4,11,0,1007009,0,0,1,0,0,2.473,100700911
0.518,1,12,0,1007009,0,366,0,4,290,0.0,100700912
0.0,4,13,0,1007009,0,0,1,0,0,0.556,100700913
2.021,1,14,0,1007009,0,336,0,5,0,0.0,100700914
0.0,4,15,0,1007009,0,0,1,0,0,1.713,100700915
1.513,1,16,0,1007009,0,250,0,6,0,0.0,100700916
0.0,4,17,0,1007009,0,0,1,0,0,1.981,100700917
0.0,2,18,vo_svd_0903,1007009,vo_svd,0,0,0,0,0.0,100700918
1.672,1,19,0,1007009,0,279,0,7,0,0.0,100700919
0.0,4,20,0,1007009,0,0,1,0,0,1.924,100700920
0.796,1,21,0,1007009,0,338,0,7,279,0.0,100700921
0.0,4,22,"",1007009,"",0,1,0,0,1.832,100700922
0.0,2,23,vo_svd_0904,1007009,vo_svd,0,0,0,0,0.0,100700923
0.703,1,24,0,1007009,0,63,0,8,0,0.0,100700924
0.0,4,25,0,1007009,0,0,1,0,0,1.523,100700925
0.0,2,26,vo_svd_0905,1007009,vo_svd,0,0,0,0,0.0,100700926
1.198,1,27,0,1007009,0,218,0,8,63,0.0,100700927
0.0,4,28,0,1007009,0,0,1,0,0,1.764,100700928
0.0,2,29,vo_svd_0906,1007009,vo_svd,0,0,0,0,0.0,100700929
2.335,1,30,0,1007009,0,336,0,9,0,0.0,100700930
0.0,4,31,0,1007009,0,0,1,0,0,3.423,100700931
0.0,2,32,vo_svd_0907,1007009,vo_svd,0,0,0,0,0.0,100700932
0.682,1,33,0,1007009,0,69,0,10,0,0.0,100700933
0.0,4,34,0,1007009,0,0,1,0,0,1.357,100700934
2.106,1,35,0,1007009,0,336,0,10,69,0.0,100700935
0.0,4,36,0,1007009,0,0,1,0,0,1.43,100700936
2.283,1,37,0,1007009,0,336,0,11,0,0.0,100700937
0.0,4,38,0,1007009,0,0,1,0,0,2.989,100700938
0.0,2,39,vo_svd_0908,1007009,vo_svd,0,0,0,0,0.0,100700939
1.978,1,40,0,1007009,0,322,0,12,0,0.0,100700940
0.0,4,41,0,1007009,0,0,1,0,0,1.0,100700941
0.0,4,1,0,1007010,0,0,1,0,0,0.8,100701001
0.0,2,2,vo_svd_1001,1007010,vo_svd,0,0,0,0,0.0,100701002
2.705,1,3,0,1007010,0,356,0,1,0,0.0,100701003
0.0,4,4,0,1007010,0,0,1,0,0,3.154,100701004
0.918,1,5,0,1007010,0,90,0,2,0,0.0,100701005
0.0,4,6,0,1007010,0,0,1,0,0,1.231,100701006
1.672,1,7,0,1007010,0,356,0,2,90,0.0,100701007
0.0,4,8,0,1007010,0,0,1,0,0,3.307,100701008
0.0,2,9,vo_svd_1002,1007010,vo_svd,0,0,0,0,0.0,100701009
0.835,1,10,0,1007010,0,149,0,3,0,0.0,100701010
0.0,4,11,0,1007010,0,0,1,0,0,1.164,100701011
1.623,1,12,0,1007010,0,336,0,3,149,0.0,100701012
0.0,4,13,0,1007010,0,0,1,0,0,1.712,100701013
2.294,1,14,0,1007010,0,356,0,4,0,0.0,100701014
0.0,4,15,0,1007010,0,0,1,0,0,2.186,100701015
2.184,1,16,0,1007010,0,322,0,5,0,0.0,100701016
0.0,4,17,0,1007010,0,0,1,0,0,3.034,100701017
0.0,2,18,vo_svd_1003,1007010,vo_svd,0,0,0,0,0.0,100701018
2.704,1,19,0,1007010,0,356,0,6,0,0.0,100701019
0.0,4,20,0,1007010,0,0,1,0,0,2.522,100701020
1.005,1,21,0,1007010,0,162,0,7,0,0.0,100701021
0.0,4,22,0,1007010,0,0,1,0,0,2.617,100701022
0.0,2,23,vo_svd_1004,1007010,vo_svd,0,0,0,0,0.0,100701023
0.975,1,24,0,1007010,0,108,0,8,0,0.0,100701024
0.0,4,25,0,1007010,0,0,1,0,0,1.202,100701025
1.214,1,26,0,1007010,0,291,0,8,108,0.0,100701026
0.0,4,27,0,1007010,0,0,1,0,0,1.187,100701027
2.043,1,28,0,1007010,0,345,0,9,0,0.0,100701028
0.0,4,29,0,1007010,0,0,1,0,0,3.356,100701029
0.0,2,30,vo_svd_1005,1007010,vo_svd,0,0,0,0,0.0,100701030
1.862,1,31,0,1007010,0,155,0,10,0,0.0,100701031
0.0,4,32,0,1007010,0,0,1,0,0,2.285,100701032
0.0,2,33,vo_svd_1006,1007010,vo_svd,0,0,0,0,0.0,100701033
0.682,1,34,0,1007010,0,85,0,11,0,0.0,100701034
0.0,4,35,0,1007010,0,0,1,0,0,1.529,100701035
1.042,1,36,0,1007010,0,220,0,11,85,0.0,100701036
0.0,4,37,0,1007010,0,0,1,0,0,2.384,100701037
0.0,2,38,vo_svd_1007,1007010,vo_svd,0,0,0,0,0.0,100701038
1.106,1,39,0,1007010,0,74,0,12,0,0.0,100701039
0.0,4,40,0,1007010,0,0,1,0,0,1.891,100701040
1.322,1,41,0,1007010,0,289,0,12,74,0.0,100701041
0.0,4,42,0,1007010,0,0,1,0,0,1.0,100701042
