param_03,param_06,command_id,command_type,drama_id,param_08,param_04,param_07,param_02,param_05,param_01
10,"",1040008,11,4,"",0,"","그거라면\n천 리 길도 한 걸음부터\n야, 리노","",104931
"","",1040009,91,4,"","","","","",0
1,0.2,1040010,3,4,"","","",02_uek_cmn_idol_def_N,"",104931
100,1.3,1050001,1,5,02_uek_cmn_idol_def_N,-70,0,105031,0,1
100,1.3,1050002,1,5,02_uek_cmn_idol_def_N,70,1,101631,1,1
0,"",1050003,3,5,"",02_uek_05_misaki_loop,"",02_uek_05_misaki,-15,105031
0,"",1050004,3,5,"",02_uek_05_suzuna_loop,"",02_uek_05_suzuna,0,101631
10,"",1050005,11,5,"",0,"","어른의 계단을\n오를 거야~!","",105031
"","",1050006,91,5,"","","","",0,0
10,"",1050007,11,5,"",0,"","나도 최정상의\n모델이 목표니까!","",101631
100,1.3,1060001,1,6,02_uek_cmn_idol_def_N,120,1,100531,25,1
100,1.3,1060002,1,6,02_uek_cmn_idol_def_N,-20,0,103731,5,1
1,"",1060003,3,6,"","","",02_uek_cmn_pose04,"",100531
10,"",1060004,11,6,"",0,"","이 정도 높이로\n주저앉는다면\n히어로 실격임다!","",100531
"","",1060005,91,6,"","","","","",0
1,0.2,1060006,3,6,"","","",02_uek_talk_normal,"",103731
10,"",1060007,11,6,"",0,"","응, 좋은 단련이\n될 거 같네\n즐거워지기 시작했어","",103731
"","",1060008,91,6,"","","","","",0
1,0.2,1060009,3,6,"","","",02_uek_cmn_idol_def_N,"",103731
100,1.3,1070001,1,7,02_uek_cmn_idol_def_N,-60,0,103831,-20,1
1,0.2,1070002,3,7,"","","",02_uek_07_shiori,"",103831
10,"",1070003,11,7,"","","","어라… 언니\n어디로 가버린 거지\n…언니~?","",103831
100,1.3,1080001,1,8,02_uek_08_kuka_loop,90,0,104531,40,1
90,1,1080002,31,8,"",60,"",2,1,2
10,"",1080003,11,8,"",0,"","바, 발에 얽히는\n덩굴의 감촉이\n견딜 수 없어요~~!",0,104531
"","",1080004,91,8,"","","","","",0
100,0.9,1090001,1,9,05_idle,-195,0,105831,-35,2
1000,1.2,1090002,1,9,302102_idle,150,0,302102,-30,2
150,1,1090003,31,9,"",50,"",15,1,102
150,1,1090004,31,9,"",400,"",16,1,103
100,1.3,1100001,1,10,01_uek_cmn_idol_def_N,-160,0,112531,-25,1
100,1.3,1100002,1,10,01_uek_cmn_idol_def_N,-40,1,112431,-5,1
100,1.3,1100003,1,10,01_uek_cmn_idol_def_N,125,1,112631,20,1
1,"",1100004,3,10,"","","",01_uek_talk_surprise2,0,112631
10,"",1100005,11,10,"",0,"","으햐~…!\n발 디딜 곳이 구름이 되다니\n어떻게 된 거지!?",0,112631
"","",1100006,91,10,"","","","","",0
1,0.2,1100007,3,10,"","","",01_uek_cmn_idol_def_N,0,112631
1,"",1100008,3,10,"","","",01_uek_talk_joy1,"",112431
10,"",1100009,11,10,"",0,"","뭔가 신기한\n감촉이네요~\n푹신푹신해요♪",0,112431
"","",1100010,91,10,"","","","","",0
1,0.2,1100011,3,10,"","","",01_uek_cmn_idol_def_N,"",112431
1,"",1100012,3,10,"","","",01_uek_talk_normal,"",112531
10,"",1100013,11,10,"",0,"","떨어지진 않을 거 같아\n그렇지만… 발밑은\n주의하면서 가자",0,112531
"","",1100014,91,10,"","","","","",0
1,0.2,1100015,3,10,"","","",01_uek_cmn_idol_def_N,"",112531
"","",1100016,91,10,"","","","","",0
100,1.3,1110001,1,11,03_uek_cmn_idol_def_N,-135,0,104731,-20,1
100,1.3,1110002,1,11,03_uek_cmn_idol_def_N,100,1,107131,5,1
0,0,1110003,3,11,"",03_uek_11_jun_loop,"",03_uek_11_jun,1,104731
0,0,1110004,3,11,"",03_uek_cmn_idol_def_N,0.2,03_uek_11_chris,1,107131
10,"",1110005,11,11,"","","","으음. 시야가 하얗게…\n크리스,\n조심해!",0,104731
"","",1110006,91,11,"","","","","",0
10,"",1110007,11,11,"",0,"","하하하, 갑옷 무게 때문에\n가라앉았어, 단장☆\n에잇, 한 마리 낚았다!",0,107131
"","",1110008,93,11,"","","","","",1.5
0,"",1110009,2,11,"",1.5,"",-135,1,104731
"","",1110010,91,11,"","","","","",1110007
100,1.3,1120001,1,12,03_uek_cmn_idol_def_N,-120,0,101031,-20,1
100,1.3,1120002,1,12,03_uek_cmn_idol_def_N,10,1,101431,-5,1
1,"",1120003,3,12,"","","",03_uek_talk_joy1,0,101031
10,"",1120004,11,12,"",0,"","귀여운 구름이네요\n함께 데리고\n돌아가고 싶사옵니다♪",0,101031
"","",1120005,91,12,"","","","","",0
1,0.2,1120006,3,12,"","","",03_uek_cmn_idol_def_N,0,101031
1,"",1120007,3,12,"","","",03_uek_talk_normal,0,101431
10,"",1120008,11,12,"",0,"","아무리 그래도\n그건 어렵지\n않을까…?",0,101431
"","",1120009,91,12,"","","","","",0
1,0.2,1120010,3,12,"","","",03_uek_cmn_idol_def_N,0,101431
100,1.3,1130001,1,13,01_uek_cmn_idol_def_N,-165,0,105831,-45,1
100,1.3,1130002,1,13,01_uek_cmn_idol_def_N,-45,0,105931,-20,1
100,1.3,1130003,1,13,01_uek_cmn_idol_def_N,120,1,106031,-5,1
1,"",1130004,3,13,"","","",01_uek_talk_normal,1,105931
10,"",1130005,11,13,"",0,"","꽤 높은 곳까지\n올라왔습니다\n하지만…",0,105931
"","",1130006,91,13,"","","","","",0
0,0.2,1130007,3,13,"",01_uek_cmn_idol_def_N,"",01_uek_13_kokkoro,1,105931
0,"",1130008,3,13,"",01_uek_13_kyaru_loop,"",01_uek_13_kyaru,1,106031
10,"",1130009,11,13,"",0,"","전혀 정상이\n안 보이잖아!\n얼마나 높은 거야!",0,106031
"","",1130010,91,13,"","","","","",0
1,"",1130011,3,13,"","","",01_uek_13_peco_loop,0,105831
10,"",1130012,11,13,"",0,"","좋지 않나요\n운동 후의 식사는\n또 각별하거든요☆",0,105831
"","",1130013,91,13,"","","","","",0
100,1.3,1140001,1,14,03_uek_cmn_idol_def_N,-86,0,104031,-25,1
0,1,1140002,31,14,"",250,"",1,1,1
0,"",1140003,3,14,"",03_uek_14_aoi_loop,"",03_uek_14_aoi,1,104031
10,"",1140004,11,14,"",0,"","으으, 외톨이를 향한\n바람이\n너무 심한 거 아닌가요!?",0,104031
100,1.3,1150001,1,15,03_uek_cmn_idol_def_N,-75,0,100731,-20,1
100,1.3,1150002,1,15,03_uek_15_father,65,1,103131,10,1
1,"",1150003,3,15,"","","",03_uek_15_miyako,0,100731
10,"",1150004,11,15,"",0,"","하늘은 기분 좋은 거야~\n이게 하늘에라도 오를 것같이\n좋은 기분이란 거야",0,100731
"","",1150005,91,15,"","","","","",0
1,"",1150006,3,15,"","","",03_uek_15_father,0,103131
10,"",1150007,11,15,"",0,"","꼬맹이도 그러냐?\n나도 몸이\n가벼워졌어!",0,103131
"","",1150008,91,15,"","","","","",0
1,"",1150009,3,15,"","","",03_uek_talk_normal,0,103131
10,"",1150010,11,15,"",0,"","미야코 씨는\n정말로 승천하면\n안 돼요…?",0,103131
"","",1150011,91,15,"","","","","",0
1,0.2,1150012,3,15,"","","",03_uek_cmn_idol_def_N,0,103131
100,1.3,1160001,1,16,01_uek_cmn_idol_def_N,-110,0,112431,-45,1
100,1.3,1160002,1,16,01_uek_cmn_idol_def_N,40,1,105831,-15,1
100,1.3,1160003,1,16,01_uek_cmn_idol_def_N,140,1,105931,10,1
0,"",1160004,3,16,"",01_uek_cmn_idol_def_N,"",01_uek_01_kokkoro,0,105931
0,"",1160005,3,16,"",01_uek_cmn_idol_def_N,"",01_uek_01_uduki,1,112431
0,"",1160006,3,16,"",01_uek_cmn_idol_def_N,"",01_uek_01_peko,1,105831
"","",1160007,91,16,"","","","","",0
1,"",1160008,3,16,"","","",01_uek_talk_normal,1,105931
10,"",1160009,11,16,"",0,"","우즈키 님. 아직 한참\n남은 것 같은데 쉬지\n않아도 괜찮으십니까?",0,105931
"","",1160010,91,16,"","","","","",0
1,"",1160011,3,16,"","","",01_uek_cmn_idol_def_N,1,105931
1,"",1160012,3,16,"","","",01_uek_talk_joy1,"",112431
10,"",1160013,11,16,"",0,"","네, 괜찮아요!\n굉장히 즐거워서\n장난 아니에요☆",0,112431
"","",1160014,93,16,"","","","","",1.5
0,0.2,1160015,3,16,"",01_uek_16_uduki_loop,"",01_uek_16_uduki,1,112431
"","",1160016,91,16,"","","","","",1160013
1,"",1160017,3,16,"","","",01_uek_talk_joy1,"",105831
10,"",1160018,11,16,"",0,"","기운이 넘치네요\n우즈키 씨, 함께\n열심히 노력해요~☆",0,105831
"","",1160019,93,16,"","","","","",2.2
0,0.2,1160020,3,16,"",01_uek_16_uduki_loop,"",01_uek_16_peco,1,105831
"","",1160021,91,16,"","","","","",1160018
300,1.3,1170001,1,17,03_uek_cmn_idol_def_N,150,1,102331,10,1
100,1.3,1170002,1,17,03_uek_cmn_idol_def_N,-100,0,102131,-15,1
20,0,1170003,31,17,"",10,"",3,1.3,3
0,0.2,1170004,3,17,"",03_uek_17_ayane_loop,0.2,03_uek_17_ayane,1,102331
0,0.2,1170005,3,17,"",03_uek_cmn_idol_def_N,"",03_uek_cmn_pose05,1,102131
"","",1170006,32,17,"","","",1,"",3
10,"",1170007,11,17,"",0,"","이거 봐!\n구름으로 푸우키치를\n만들었어~!",0,102331
"","",1170008,91,17,"","","","","",0
1,0.2,1170009,3,17,"","","",03_uek_talk_joy1,"",102131
10,"",1170010,11,17,"",0,"","와아, 굉장해~…!\n나도 뭔가\n만들고 싶다…♪",0,102131
"","",1170011,91,17,"","","","","",0
1,0.2,1170012,3,17,"","","",03_uek_cmn_idol_def_N,"",102131
100,1.3,1180001,1,18,01_uek_cmn_idol_def_N,229,0,112631,45,1
110,1.3,1180002,1,18,01_uek_cmn_idol_def_N,170,0,105831,20,1
100,1.3,1180003,1,18,01_uek_cmn_idol_def_N,-85,0,105931,-10,1
0,"",1180004,3,18,"",01_uek_18_mio_loop,"",01_uek_18_mio,1,112631
10,"",1180005,11,18,"",0,"","꽤 높이 올라왔네~\n잠시 아래쪽을\n살펴보자!",0,112631
"","",1180006,91,18,"","","","","",0
0,"",1180007,3,18,"",01_uek_18_mio_loop,"",01_uek_18_mio,1,105831
10,"",1180008,11,18,"",0,"","그렇네요!\n음~ 어디 어디…\n엇, 와아아아!",0,105831
"","",1180009,93,18,"","","","","",3
5,"",1180010,2,18,"",2,"",170,1,105831
"","",1180011,91,18,"","","","","",1180008
0,"",1180012,3,18,"",01_uek_cmn_idol_def_N,"",01_uek_18_kokkoro,1,105931
10,"",1180013,11,18,"",0,"","후후, 두 분 다\n들뜨신 게 즐거워\n보이십니다",0,105931
100,1.3,1190001,1,19,02_uek_19_hatsune,402,0,101231,110,1
100,1.3,1190002,1,19,02_uek_talk_surprise2,166,0,103831,30,1
1,0.2,1190003,3,19,"","","",02_uek_talk_surprise2,0,103831
10,"",1190004,11,19,"",0,"","아! 언니!\n이런 데서\n자면 위험해~!",0,103831
"","",1190005,91,19,"","","","","",0
10,"",1190006,11,19,"",0,"","시오리의 목소리가\n들린 거 같은데…\n새근…☆",0,101231
100,0.9,1200001,1,20,05_idle,-195,0,105831,-35,2
1000,1.4,1200002,1,20,304602_idle,150,0,304602,30,2
150,1,1200003,31,20,"",50,"",17,1,102
150,1,1200004,31,20,"",400,"",18,1,103
110,1.3,1210001,1,21,01_uek_21_kokkoro_loop,185,0,105931,25,1
120,1.3,1210002,1,21,01_uek_21_rin_loop,65,0,112531,-5,1
100,1.3,1210003,1,21,01_uek_cmn_idol_def_N,-140,0,106031,-35,1
10,"",1210004,11,21,"",0,"","바람이 기분 좋네요\n다정하게 속삭이는\n것 같습니다",0,105931
"","",1210005,91,21,"","","","","",0
10,"",1210006,11,21,"",0,"","위로 향하는 우리한테\n푸른 바람이 말을\n거는 걸지도…",0,112531
"","",1210007,91,21,"","","","","",0
0,"",1210008,3,21,"",01_uek_cmn_idol_def_N,"",01_uek_21_kyaru,1,106031
10,"",1210009,11,21,"",0,"","…너희는\n어쩐지 묘한 데서\n겹치는구나",0,106031
"","",1210010,91,21,"","","","","",0
100,1.3,1220001,1,22,01_uek_cmn_idol_def_N,180,0,105831,40,1
420,1,1220002,31,22,"",250,"",4,1.3,4
1,0.2,1220003,3,22,"","","",01_uek_cmn_pose03,"",105831
10,"",1220004,11,22,"",0,"","주먹밥 모양 구름은\n어떤 맛이\n날까요… 츄릅☆",0,105831
"","",1220005,91,22,"","","","","",0
100,1.3,1230001,1,23,03_uek_cmn_idol_def_N,33,0,105231,5,1
1010,1.3,1230002,1,23,03_uek_23_rin,200,0,102631,40,1
100,1.3,1230003,1,23,03_uek_cmn_idol_def_N,-110,0,103331,-25,1
220,1,1230004,31,23,"",32,"",5,1,5
1,0.2,1230005,3,23,"","","",03_uek_23_rin,"",102631
10,"",1230006,11,23,"",0,"","이 구름, 푹신해서\n기분 좋아~\n푹 잠들 거 같아~",0,102631
"","",1230007,91,23,"","","","","",0
40,"",1230008,2,23,"",45,"",1100,0,102631
32,"",1230009,33,23,"",45,"",1120,0,5
1,0.2,1230010,3,23,"","","",03_uek_cmn_pose04,"",105231
1,0.2,1230011,3,23,"","","",03_uek_talk_surprise2,"",103331
10,"",1230012,11,23,"",0,"","린이 잠든\n구름이 흘러가고 있어!\n어, 어쩌지!",0,105231
"","",1230013,91,23,"","","","","",0
10,"",1230014,11,23,"",0,"","건초가 더\n푹신해~!\n돌아와~!",0,103331
"","",1230015,91,23,"","","","","",0
10,1.3,1240001,1,24,03_uek_24_ayumi,-240,0,105531,-45,1
1,"",1240002,3,24,"","","",03_uek_24_ayumi,0,105531
10,"",1240003,11,24,"",0,"","앗, 저기\n선배가 있어\n빤히…………",0,105531
100,1.3,1250001,1,25,03_uek_cmn_idol_def_N,175,1,103631,15,1
100,1.3,1250002,1,25,03_uek_cmn_idol_def_N,-36,0,100431,-10,1
100,1.3,1250003,1,25,03_uek_cmn_idol_def_N,-158,0,102031,-45,1
1,"",1250004,3,25,"","","",03_uek_cmn_pose06,0,102031
10,"",1250005,11,25,"",0,"","하늘에서 노는 거\n굉장히 기분 좋다\n랄랄라~♪",0,102031
"","",1250006,91,25,"","","","","",0
0,"",1250007,3,25,"",03_uek_25_misogi_loop,"",03_uek_25_misogi,1,100431
10,"",1250008,11,25,"",0,"","응! 쿄우카도\n그렇게 생각하지?\n…와앗!",0,100431
1,"",1250009,3,25,"",03_uek_25_kyouka_loop,"",03_uek_25_kyouka,0,103631
"","",1250010,91,25,"","","","","",0
10,"",1250011,11,25,"",0,"","잠깐 미소기!\n떨어지면 위험하니까\n놀라게 하지 마!",0,103631
"","",1250012,91,25,"","","","","",0
100,1.3,1270001,1,27,01_uek_cmn_idol_def_N,-179,0,104831,-43,1
100,1.3,1270002,1,27,01_uek_27_tamaki_loop,0,0,104631,-14,1
100,1.3,1270003,1,27,01_uek_cmn_idol_def_N,200,1,103231,24,1
10,"",1270004,11,27,"",0,"","하아 하아…\n이, 이제 한계다냥…\n돌아가고 싶다냥…",0,104631
"","",1270005,91,27,"","","","","",0
0,"",1270006,3,27,"",01_uek_talk_normal,"",01_uek_cmn_pose02,1,104831
10,"",1270007,11,27,"",0,"","효율적으로 체력을 분배해서\n오르면 이 정도는\n별거 아니지",0,104831
"","",1270008,91,27,"","","","","",0
1,0.3,1270009,3,27,"","","",01_uek_cmn_idol_def_N,0,104831
1,"",1270010,3,27,"","","",01_uek_27_akino_loop,0,103231
10,"",1270011,11,27,"",0,"","오~호호호!\n멋진 풍경이에요!\n이 앞이 기대되네요",0,103231
110,1.3,1280001,1,28,04_uek_cmn_idol_def_N,0,0,102931,-10,1
120,1.3,1280002,1,28,04_uek_cmn_idol_def_N,-120,0,104231,-30,1
100,1.3,1280003,1,28,04_uek_cmn_idol_def_N,120,0,105431,10,1
35,0,1280004,31,28,"",10,"",6,1.3,6
-85,0,1280005,31,28,"",-10,"",9,1.3,6
155,0,1280006,31,28,"",30,"",10,1.3,6
1,0.2,1280007,3,28,"","","",04_uek_28_nozomi,"",102931
1,0.2,1280008,3,28,"","","",04_uek_28_chika,"",104231
1,0.2,1280009,3,28,"","","",04_uek_28_tsumugi,"",105431
"","",1280010,32,28,"","","",1,"",6
"","",1280011,32,28,"","","",1,"",9
"","",1280012,32,28,"","","",1,"",10
10,"",1280013,11,28,"",0,"","하늘 위에서도\n카르미나…\n온 스테이지!",0,102931
"","",1280014,91,28,"","","","","",0
10,"",1280015,11,28,"",0,"","바람이 기분 좋아…!\n정령들도\n즐거운 것 같아요!",0,104231
"","",1280016,91,28,"","","","","",0
10,"",1280017,11,28,"",0,"","최고네요!\n앵콜까지\n달려봐요!",0,105431
"","",1280018,91,28,"","","","","",0
100,1.3,1290001,1,29,03_uek_cmn_idol_def_N,-40,0,101531,-10,1
100,1.3,1290002,1,29,03_uek_cmn_idol_def_N,95,1,101831,10,1
1,"",1290003,3,29,"","","",03_uek_talk_joy1,0,101831
10,"",1290004,11,29,"",0,"","기분 좋은 곳이네\n소풍으로 학생들도\n데리고 올까",0,101831
"","",1290005,91,29,"","","","","",0
1,0.3,1290006,3,29,"","","",03_uek_cmn_idol_def_N,0,101831
1,0.3,1290007,3,29,"","","",03_uek_talk_joy1,0,101531
10,"",1290008,11,29,"",0,"","어머머~ 그럼\n마을 아이들도\n함께하고 싶어요~",0,101531
"","",1290009,91,29,"","","","","",0
1,0.3,1290010,3,29,"","","",03_uek_cmn_idol_def_N,0,101531
100,0.9,1300001,1,30,05_idle,-195,0,105831,-35,2
1000,1.5,1300002,1,30,307505_idle,150,0,307505,-50,2
150,1,1300003,31,30,"",50,"",19,1,102
150,1,1300004,31,30,"",400,"",20,1,103
0,0,1300005,3,30,"",307505_idle,"",307505_awake,1,307505
110,1.3,1310001,1,31,01_uek_cmn_idol_def_N,140,0,105831,10,1
110,1.3,1310002,1,31,01_uek_cmn_idol_def_N,20,0,105931,0,1
110,1.3,1310003,1,31,01_uek_26_kyaru_loop,-200,0,106031,-55,1
"","",1310004,93,31,"","","","","",1
"","",1310005,4,31,"","","",1,"",105831
1,0,1310006,3,31,"","","",01_uek_cmn_pose04,"",105831
10,"",1310007,11,31,"","","","보세요!\n별님의 세계예요!\n굉장한 경치네요☆","",105831
"","",1310008,93,31,"","","","","",2.3
0,0.2,1310009,3,31,"","","",01_uek_cmn_idol_def_N,0,105831
"","",1310010,91,31,"","","","","",1310007
1,0.2,1310011,3,31,"","","",01_uek_cmn_idol_def_N,0,105831
1,"",1310012,3,31,"","","",01_uek_talk_normal,"",105931
10,"",1310013,11,31,"","","","정말로 근사한\n장소입니다\n실컷 즐기도록 하죠","",105931
"","",1310014,91,31,"","","","","",0
1,0.2,1310015,3,31,"","","",01_uek_cmn_idol_def_N,"",105931
10,"",1310016,11,31,"","","","왜 그렇게 차분한 거야\n이상하잖아\n뭔가 이래저래…!","",106031
100,1.3,1320001,1,32,02_uek_32_kuka_loop,255,1,104531,91,1
100,1.3,1320002,1,32,02_uek_cmn_idol_def_N,-97,0,105331,-29,1
100,1.3,1320003,1,32,02_uek_cmn_idol_def_N,50,0,103031,0,1
0,0.5,1320004,3,32,"","","",02_uek_32_kuka,0,104531
0,0.5,1320005,3,32,"",02_uek_talk_surprise2,"",02_uek_cmn_shock_def_N,1,105331
0,0.5,1320006,3,32,"",02_uek_talk_surprise2,"",02_uek_cmn_shock_def_N,1,103031
"","",1320007,91,32,"","","","","",0
1,0.5,1320008,3,32,"","","",02_uek_talk_surprise2,0,103031
10,"",1320009,11,32,"",0,"","기껏 찾은\n쿠우카가 다시\n날아갑니다!",0,103031
"","",1320010,91,32,"","","","","",0
1,0.5,1320011,3,32,"","","",02_uek_talk_surprise2,0,105331
10,"",1320012,11,32,"",0,"","역시나 기뻐하고 있지\n않았나!?",0,105331
100,1.3,1330001,1,33,02_uek_cmn_idol_def_N,0,1,100831,0,1
-120,1,1330002,31,33,"",130,"",7,1.3,7
0,0.2,1330003,3,33,"",02_uek_33_yuki_loop,"",02_uek_33_yuki,1,100831
10,"",1330004,11,33,"",0,"","별빛을 받은\n난 한층 더\n아름답네…",0,100831
"","",1330005,91,33,"","","","","",0
110,1.3,1340001,1,34,02_uek_cmn_idol_def_N,10,1,100931,0,1
110,1.3,1340002,1,34,02_uek_cmn_idol_def_N,180,1,101331,10,1
"","",1340003,93,34,"","","","","",1
1,0.2,1340004,3,34,"",02_uek_cmn_idol_def_N,0.2,02_uek_cmn_pose01,1,101331
10,"",1340005,11,34,"",0,"","우주에 왔다~!\n완전 신납니다\n람쥐!",0,101331
"","",1340006,91,34,"","","","","",0
0,0.2,1340007,3,34,"",02_uek_34_anna_loop,0,02_uek_34_anna,1,100931
10,"",1340008,11,34,"",0,"","크크크… 별의 힘이\n강하게 느껴진다!\n각성의 때가 머지않았어…!",0,100931
100,1.3,1350001,1,35,01_uek_cmn_idol_def_N,-200,1,100231,-60,1
100,1.3,1350002,1,35,01_uek_cmn_idol_def_N,0,1,100331,10,1
100,1.3,1350003,1,35,01_uek_cmn_idol_def_N,200,1,100131,20,1
0,1,1350004,31,35,"",270,"",8,1,8
0,0.2,1350005,3,35,"",01_uek_35_yui_loop,0.2,01_uek_35_yui,1,100231
0,0.2,1350006,3,35,"",01_uek_35_rei_loop,0.2,01_uek_35_rei,1,100331
1,0.2,1350007,3,35,"","","",01_uek_cmn_pose03,"",100131
10,"",1350008,11,35,"",0,"","봐, 별똥별…!\n다 같이 소원을\n빌자",0,100231
"","",1350009,91,35,"","","","","",0
10,"",1350010,11,35,"",0,"","아아, 그렇네\n우리한테 딱 어울리는\n상황이야",0,100331
"","",1350011,91,35,"","","","","",0
10,"",1350012,11,35,"",0,"","찬성~!\n 그럼 나는…\n으~음, 으~음…!",0,100131
"","",1350013,91,35,"","","","","",0
110,1.3,1360001,1,36,03_uek_cmn_idol_def_N,105,0,102531,5,1
100,1.3,1360002,1,36,03_uek_cmn_idol_def_N,10,0,102831,10,1
"","",1360003,93,36,"","","","","",1
0,0,1360004,3,36,"",03_uek_36_suzume_loop,0,03_uek_36_suzume,1,102531
0,0,1360005,3,36,"",03_uek_36_saren_loop,0,03_uek_36_saren,1,102831
"","",1360006,91,36,"","","","","",0
10,"",1360007,11,36,"",0,"","꺅!? 떠떠떠\n떨어져요~!\n아가씨~!!??",0,102531
"","",1360008,91,36,"","","","","",0
10,"",1360009,11,36,"",0,"","스즈메, 괜찮아!?\n높은 곳이니까\n조심해",0,102831
100,1.3,1370001,1,37,01_uek_cmn_idol_def_N,-118,0,112531,-22,1
100,1.3,1370002,1,37,01_uek_cmn_idol_def_N,0,0,112431,0,1
100,1.3,1370003,1,37,01_uek_27_tamaki_loop,179,1,112631,0,1
0,"",1370004,3,37,"","","",01_uek_27_tamaki_loop,0,112631
"","",1370005,91,37,"","","","","",0
0,"",1370006,3,37,"","","",01_uek_27_tamaki_loop,0,112631
"","",1370007,91,37,"","","","","",0
0,"",1370008,3,37,"","","",01_uek_27_tamaki_loop,0,112631
"","",1370009,91,37,"","","","","",0
1,0.5,1370010,3,37,"","","",01_uek_cmn_pose06,0,112631
10,"",1370011,11,37,"",0,"","앗! 저기 봐\n시마무, 시부린\n별이 엄청나!",0,112631
"","",1370012,91,37,"","","","","",0
0,"",1370013,3,37,"",01_uek_35_rei_loop,"",01_uek_35_rei,1,112531
10,"",1370014,11,37,"",0,"","…톱 아이돌이\n됐을 때의 풍경은\n이런 느낌일까",0,112531
