fbe5e86161aec370aabe22702d9412de0f60b2b201822c6e78231a1b0335439f,drama_id,fpc_voice_type,bd926063f2882a550ff0d9cbfb5efe01dfbb2b5b1ce72157419133815b1ddf5c,unit_id_1,sub_story_id,period,title,original_event_id,2ac30f761b50ac004b57929174ba75a197a84f860ddf468c5d9b88ce6adeff72,1ba99207f5c995c81b59ce9b00957bdab3386000c0bbc568ba4dc0b2638253b4,bd8c05011adc003bf568462310cb9462b0e082eeefb76432f15b7f745e1032ba
10,351,0,0,117411,10140374,2,"킥판+발장구(핑크)",10140,1,0,0
10,351,0,0,122411,10140375,2,"킥판+발장구(핑크)",10140,1,0,0
5,352,0,0,122511,10140376,1,"킥판+발장구(파랑)",10140,1,0,0
10,351,0,0,122611,10140377,2,"킥판+발장구(핑크)",10140,1,0,0
10,352,0,0,122711,10140378,1,"킥판+발장구(파랑)",10140,1,0,0
10,351,0,0,122811,10140379,1,"킥판+발장구(핑크)",10140,1,0,0
10,351,0,0,122911,10140380,1,"킥판+발장구(핑크)",10140,1,0,0
5,351,0,0,126711,10140382,1,"킥판+발장구(핑크)",10140,1,0,0
10,352,0,0,126811,10140383,2,"킥판+발장구(파랑)",10140,1,0,0
5,351,0,0,127011,10140385,1,"킥판+발장구(핑크)",10140,1,0,0
10,352,0,0,129411,10140388,2,"킥판+발장구(파랑)",10140,1,0,0
10,351,0,0,129511,10140389,2,"킥판+발장구(핑크)",10140,1,0,0
10,401,0,0,107511,10140401,2,"표류(노멀)",10140,1,0,0
15,402,0,0,107611,10140402,2,"표류(어린이)",10140,1,0,0
10,401,0,0,107711,10140403,1,"표류(노멀)",10140,1,0,0
20,401,0,0,108011,10140406,2,"표류(노멀)",10140,1,0,0
10,401,0,0,110011,10140407,2,"표류(노멀)",10140,1,0,0
10,401,0,0,110111,10140408,1,"표류(노멀)",10140,1,0,0
3,401,0,0,110311,10140409,1,"표류(노멀)",10140,1,0,0
10,401,0,0,110411,10140410,2,"표류(노멀)",10140,1,0,0
10,401,0,0,110511,10140411,2,"표류(노멀)",10140,1,0,0
50,401,0,0,110611,10140412,2,"표류(노멀)",10140,1,0,0
5,401,0,0,113111,10140413,1,"표류(노멀)",10140,1,0,0
5,401,0,0,113211,10140414,1,"표류(노멀)",10140,1,0,0
5,401,0,0,113311,10140415,1,"표류(노멀)",10140,1,0,0
10,401,0,0,113411,10140416,2,"표류(노멀)",10140,1,0,0
10,401,0,0,113511,10140417,2,"표류(노멀)",10140,1,0,0
10,401,0,0,113611,10140418,2,"표류(노멀)",10140,1,0,0
5,401,0,0,115711,10140419,1,"표류(노멀)",10140,1,0,0
10,401,0,0,117011,10140420,2,"표류(노멀)",10140,1,0,0
10,401,0,0,117111,10140421,2,"표류(노멀)",10140,1,0,0
10,401,0,0,117211,10140422,2,"표류(노멀)",10140,1,0,0
10,401,0,0,117311,10140423,2,"표류(노멀)",10140,1,0,0
10,401,0,0,117411,10140424,2,"표류(노멀)",10140,1,0,0
10,401,0,0,122411,10140425,2,"표류(노멀)",10140,1,0,0
5,401,0,0,122511,10140426,1,"표류(노멀)",10140,1,0,0
10,401,0,0,122611,10140427,2,"표류(노멀)",10140,1,0,0
10,402,0,0,122711,10140428,1,"표류(어린이)",10140,1,0,0
10,402,0,0,122811,10140429,1,"표류(어린이)",10140,1,0,0
10,402,0,0,122911,10140430,1,"표류(어린이)",10140,1,0,0
10,401,0,0,126611,10140431,2,"표류(노멀)",10140,1,0,0
5,401,0,0,126711,10140432,1,"표류(노멀)",10140,1,0,0
10,401,0,0,126811,10140433,2,"표류(노멀)",10140,1,0,0
30,401,0,0,126911,10140434,2,"표류(노멀)",10140,1,0,0
5,401,0,0,127011,10140435,1,"표류(노멀)",10140,1,0,0
10,401,0,0,127111,10140436,2,"표류(노멀)",10140,1,0,0
30,402,0,0,129311,10140437,2,"표류(어린이)",10140,1,0,0
10,401,0,0,129411,10140438,2,"표류(노멀)",10140,1,0,0
10,401,0,0,129511,10140439,2,"표류(노멀)",10140,1,0,0
10,451,0,0,107511,10140451,2,"크롤",10140,1,0,0
20,451,0,0,108011,10140456,2,"크롤",10140,1,0,0
10,451,0,0,110011,10140457,2,"크롤",10140,1,0,0
3,451,0,0,110311,10140459,1,"크롤",10140,1,0,0
10,451,0,0,110411,10140460,2,"크롤",10140,1,0,0
10,451,0,0,110511,10140461,2,"크롤",10140,1,0,0
5,451,0,0,113111,10140463,1,"크롤",10140,1,0,0
5,451,0,0,113211,10140464,1,"크롤",10140,1,0,0
10,451,0,0,113411,10140466,2,"크롤",10140,1,0,0
10,451,0,0,113511,10140467,2,"크롤",10140,1,0,0
5,451,0,0,115711,10140469,1,"크롤",10140,1,0,0
10,451,0,0,117011,10140470,2,"크롤",10140,1,0,0
10,451,0,0,117111,10140471,2,"크롤",10140,1,0,0
10,451,0,0,117211,10140472,2,"크롤",10140,1,0,0
10,451,0,0,117311,10140473,2,"크롤",10140,1,0,0
10,451,0,0,117411,10140474,2,"크롤",10140,1,0,0
10,451,0,0,122411,10140475,2,"크롤",10140,1,0,0
5,451,0,0,122511,10140476,1,"크롤",10140,1,0,0
10,451,0,0,122611,10140477,2,"크롤",10140,1,0,0
5,451,0,0,126711,10140482,1,"크롤",10140,1,0,0
10,451,0,0,126811,10140483,2,"크롤",10140,1,0,0
5,451,0,0,127011,10140485,1,"크롤",10140,1,0,0
10,451,0,0,129411,10140488,2,"크롤",10140,1,0,0
10,501,0,0,107511,10140501,2,"서핑",10140,1,0,0
20,501,0,0,107911,10140505,2,"서핑",10140,1,0,0
20,501,0,0,108011,10140506,2,"서핑",10140,1,0,0
10,501,0,0,110011,10140507,2,"서핑",10140,1,0,0
3,501,0,0,110311,10140509,1,"서핑",10140,1,0,0
10,501,0,0,110411,10140510,2,"서핑",10140,1,0,0
10,501,0,0,110511,10140511,2,"서핑",10140,1,0,0
5,501,0,0,113111,10140513,1,"서핑",10140,1,0,0
5,501,0,0,113211,10140514,1,"서핑",10140,1,0,0
5,501,0,0,113311,10140515,1,"서핑",10140,1,0,0
10,501,0,0,113411,10140516,2,"서핑",10140,1,0,0
5,501,0,0,115711,10140519,1,"서핑",10140,1,0,0
10,501,0,0,117111,10140521,2,"서핑",10140,1,0,0
10,501,0,0,117211,10140522,2,"서핑",10140,1,0,0
10,501,0,0,117411,10140524,2,"서핑",10140,1,0,0
10,501,0,0,122411,10140525,2,"서핑",10140,1,0,0
5,501,0,0,122511,10140526,1,"서핑",10140,1,0,0
10,501,0,0,122811,10140529,1,"서핑",10140,1,0,0
5,501,0,0,126711,10140532,1,"서핑",10140,1,0,0
10,501,0,0,126811,10140533,2,"서핑",10140,1,0,0
5,501,0,0,127011,10140535,1,"서핑",10140,1,0,0
10,501,0,0,129411,10140538,2,"서핑",10140,1,0,0
10,501,0,0,129511,10140539,2,"서핑",10140,1,0,0
10,851,0,107811,107511,10140851,2,"페코린느 / 콧코로 / 캬루",10140,1,107611,0
10,852,0,122511,122411,10140852,2,"히요리 / 유이 / 레이",10140,1,122611,0
10,853,0,117311,117211,10140853,2,"치카 / 노조미 / 츠무기",10140,1,117411,0
10,854,0,122811,122911,10140854,1,"미소기 / 미미 / 쿄우카",10140,1,122711,0
20,855,0,113511,113411,10140855,1,"하츠네 / 미사토",10140,1,0,0
20,856,0,107711,110311,10140856,1,"사렌 / 스즈메",10140,1,0,0
10,857,0,115711,110411,10140857,2,"마코토 / 카스미 / 마호 / 카오리",10140,1,110611,110511
10,858,0,107911,126811,10140858,2,"미후유 / 아키노 / 타마키 / 유카리",10140,1,126711,108011
10,859,0,113211,117011,10140859,1,"에리코 / 안나 / 나나카 / 루카",10140,1,113311,113111
20,860,0,110011,110111,10140860,1,"이오 / 스즈나",10140,1,0,0
10,861,0,129411,129311,10140861,2,"치에루 / 유니 / 클로에",10140,1,129511,0
20,862,0,126711,126611,10140862,1,"네네카 / 아키노 / 유카리",10140,1,126811,0
20,863,0,127011,127111,10140863,2,"시노부 / 쿠우카 / 란파",10140,1,126911,0
20,864,0,110011,107811,10140864,2,"캬루 / 스즈나",10140,1,0,0
20,865,0,113111,110311,10140865,1,"사렌 / 루카",10140,1,0,0
20,866,0,115711,113411,10140866,1,"하츠네 / 카스미",10140,1,0,0
20,867,0,127111,113211,10140867,2,"안나 / 시노부",10140,1,0,0
20,868,0,117111,117011,10140868,2,"에리코 / 시즈루",10140,1,0,0
20,869,0,110511,110011,10140869,2,"스즈나 / 카오리",10140,1,0,0
20,870,0,127011,110111,10140870,2,"이오 / 쿠우카 / 시즈루",10140,1,117111,0
20,871,0,117411,122511,10140871,2,"레이 / 츠무기",10140,1,0,0
20,872,0,126711,110311,10140872,1,"사렌 / 아키노",10140,1,0,0
20,873,0,115711,110411,10140873,2,"마코토 / 카스미",10140,1,0,0
20,874,0,110411,122611,10140874,2,"유이 / 마코토",10140,1,0,0
20,875,0,108011,129411,10140875,2,"클로에 / 미후유",10140,1,0,0
20,876,0,117111,129311,10140876,2,"유니 / 시즈루",10140,1,0,0
20,877,0,117211,129511,10140877,2,"치에루 / 노조미 / 츠무기 / 치카",10140,1,117411,117311
20,878,0,110611,129511,10140878,2,"치에루 / 마호",10140,1,0,0
20,879,0,122611,107611,10140879,2,"콧코로 / 유이",10140,1,0,0
20,880,0,110311,129311,10140880,2,"유니 / 사렌",10140,1,0,0
20,881,0,113511,129311,10140881,2,"유니 / 미사토",10140,1,0,0
20,882,0,108011,107911,10140882,2,"타마키 / 미후유",10140,1,0,0
20,883,0,110511,110411,10140883,2,"마코토 / 카오리 / 카스미 / 히요리",10140,1,115711,122411
20,884,0,107511,126611,10140884,2,"네네카 / 페코린느",10140,1,0,0
20,885,0,107611,107711,10140885,2,"스즈메 / 콧코로",10140,1,0,0
20,886,0,122511,113111,10140886,1,"루카 / 레이",10140,1,0,0
20,887,0,122711,107711,10140887,1,"스즈메 / 쿄우카",10140,1,0,0
10,889,0,0,122811,10140889,1,"풀 사이드를 달리는 미소기",10140,1,0,0
10,890,0,0,107911,10140890,2,"풀 사이드를 달리는 타마키",10140,1,0,0
10,891,0,0,122411,10140891,2,"발장구로 역주행하는 히요리",10140,1,0,0
10,892,0,0,107911,10140892,2,"보트 위에서 겁먹은 타마키",10140,1,0,0
10,893,0,0,107811,10140893,2,"보트 위에서 겁먹은 캬루",10140,1,0,0
5,894,0,0,127011,10140894,1,"해파리와 함께 떠내려가는 쿠우카",10140,1,0,0
10,895,0,0,107811,10140895,2,"튜브를 타고 떠내려가는 캬루",10140,1,0,0
10,896,0,0,126611,10140896,2,"튜브를 타고 떠내려가는 네네카",10140,1,0,0
10,901,1,0,126811,10140901,1,"맥주는 마시되 자제력을 잃지 마라",10140,2,0,0
10,902,1,0,126611,10140902,2,"떠내려가는 대비",10140,2,0,0
10,903,1,113311,113211,10140903,2,"그녀가 전설로 갈아입는다면",10140,2,0,0
10,904,1,122811,122911,10140904,1,"같은 세대다, 좋지?",10140,2,122711,129311
30,905,1,117011,117111,10140905,1,"흐르는 아우라",10140,2,107611,0
30,906,1,117311,126911,10140906,1,"session in the pool",10140,2,0,0
10,907,1,427111,127111,10140907,2,"매력적인 속마음",10140,2,113111,0
10,908,1,107811,126911,10140908,1,"물에 뜨는 펭포코린",10140,2,0,0
30,909,1,113511,113611,10140909,1,"그녀의 드레스 코드",10140,2,113411,0
10,910,1,110511,107911,10140910,1,"장사의 혼, 수포로 돌아가다",10140,2,110411,0
10,911,1,122811,122911,10140911,1,"즐거운 리틀 리리컬 일가",10140,2,122711,129311
10,912,1,126911,127111,10140912,1,"아시겠는가",10140,2,122711,0
5,913,1,0,127011,10140913,2,"물수제비 마조히스트",10140,2,0,0
20,914,1,110511,110611,10140914,1,"출발! 리조트 크루즈",10140,2,110411,0
10,915,1,110311,107711,10140915,2,"풀 사이드 메이드",10140,2,0,0
5,916,1,113311,113111,10140916,2,"낚시꾼의 천성",10140,2,117411,117011
5,917,1,110311,126711,10140917,2,"아키노 the loop",10140,2,0,0
20,918,1,113511,110111,10140918,2,"선생님도 노력하는 아이!",10140,2,0,0
30,919,1,110011,117211,10140919,1,"반짝반짝☆인플루언서",10140,2,117411,0
2,920,1,0,115711,10140920,2,"명탐정 카스미의 메르쿠리조트 사건부①",10140,2,0,0
2,921,1,0,115711,10140921,2,"명탐정 카스미의 메르쿠리조트 사건부②",10140,2,0,0
2,922,1,0,115711,10140922,2,"명탐정 카스미의 메르쿠리조트 사건부③",10140,2,0,0
2,923,1,0,115711,10140923,2,"명탐정 카스미의 메르쿠리조트 사건부④",10140,2,0,0
30,941,2,107811,107511,10140941,1,"엔조이 리조트! 미식전♪",10140,2,107611,0
10,942,2,127111,113211,10140942,2,"그 후의 모험담",10140,2,0,0
10,943,2,122511,117411,10140943,2,"물고기 마음을 알면 낚시꾼 마음?",10140,2,0,0
10,944,2,126811,107911,10140944,1,"STOP! 무허가 영업",10140,2,108011,0
30,945,2,110411,122611,10140945,1,"연애 토크를 조심하세요?",10140,2,117011,0
30,946,2,107811,122411,10140946,1,"십묘십색",10140,2,107911,0
30,947,2,129411,129511,10140947,1,"은은하게 밝은 물 밑에서",10140,2,129311,0
5,951,0,0,0,10140951,2,"우끼끼의 장난감",10140,1,0,0
5,952,0,0,0,10140952,1,"엘더 클라우드의 장난감",10140,1,0,0
5,953,0,0,0,10140953,2,"카카오우라의 장난감",10140,1,0,0
5,954,0,0,0,10140954,1,"골렘의 장난감",10140,1,0,0
5,955,0,0,0,10140955,2,"지즈의 장난감",10140,1,0,0
5,956,0,0,0,10140956,1,"슬리피 아울의 장난감",10140,1,0,0
5,957,0,0,0,10140957,2,"젤라티나의 장난감",10140,1,0,0
5,958,0,0,0,10140958,1,"냣토의 장난감",10140,1,0,0
5,959,0,0,0,10140959,2,"벌룬 버드의 장난감",10140,1,0,0
5,960,0,0,0,10140960,1,"쁘띠 그리핀의 장난감",10140,1,0,0
5,961,0,0,0,10140961,2,"빨간 버섯의 장난감",10140,1,0,0
5,962,0,0,0,10140962,1,"모라의 장난감",10140,1,0,0
5,963,0,0,0,10140963,2,"랫튼의 장난감",10140,1,0,0
5,964,0,0,0,10140964,1,"록 플라워의 장난감",10140,1,0,0
5,965,0,0,0,10140965,2,"장난 너구리의 장난감",10140,1,0,0
5,966,0,0,0,10140966,1,"모조 드래곤의 장난감",10140,1,0,0
5,970,0,0,0,10140970,2,"타마키의 비치 볼",10140,1,0,0
5,971,0,0,0,10140971,1,"캬루의 튜브",10140,1,0,0
5,972,0,0,0,10140972,2,"빨간 물고기",10140,1,0,0
5,973,0,0,0,10140973,1,"큰 조개껍데기",10140,1,0,0
5,974,0,0,0,10140974,2,"수박",10140,1,0,0
5,975,0,0,0,10140975,2,"히요리의 돌고래",10140,1,0,0
5,976,0,0,0,10140976,1,"미소기의 물 풍선",10140,1,0,0
5,977,0,0,0,10140977,1,"미미의 쁘띠 그리핀",10140,1,0,0
5,978,0,0,0,10140978,2,"유니의 비치 볼",10140,1,0,0
5,979,0,0,0,10140979,2,"클로에의 서프보드",10140,1,0,0
10,980,0,0,0,10140980,2,"초밥, 초밥, 초밥",10140,1,0,0
1,981,0,0,0,10140981,2,"초밥, 초밥, 푸딩",10140,1,0,0
5,982,0,0,0,10140982,1,"아이스 피쉬",10140,1,0,0
5,983,0,0,0,10140983,1,"깡패 해달",10140,1,0,0
5,984,0,0,0,10140984,1,"엔젤 다트",10140,1,0,0
