detail,unit_id,quest_id,start_time,icon_id,id
"전투 시작 후 90초간 아군 전체의 물리\n공격력 (특대) 증가",121201,10201501,"2026/02/27 15:00:00",3001,10201023
"전투 시작 후 아군 전체의 TP (대) 회복",121201,10201501,"2026/02/27 15:00:00",3014,10201024
"전투 시작 후 90초간 마법\n공격력 (극대) 증가",133701,10201501,"2026/02/27 15:00:00",3003,10201025
"전투 시작 후 90초간 TP 상승 (특대)\n증가",133701,10201501,"2026/02/27 15:00:00",3010,10201026
"전투 시작 후 90초간 아군 전체의 물리\n방어력 (특대) 증가",123001,10201551,"2026/02/27 15:00:00",3002,10201027
"전투 시작 후 90초간 아군 전체의 마법\n방어력 (특대) 증가",123001,10201551,"2026/02/27 15:00:00",3004,10201028
"전투 시작 후 90초간 적 전체의 물리\n방어력 (특대) 감소",106901,10201551,"2026/02/27 15:00:00",3011,10201029
"전투 시작 후 90초간 적 전체의 마법\n방어력 (특대) 감소",106901,10201551,"2026/02/27 15:00:00",3011,10201030
"전투 시작 후 90초간 물리\n공격력 (극대) 증가",107101,10201551,"2026/02/27 15:00:00",3001,10201031
"전투 시작 후 90초간 TP 상승 (특대)\n증가",107101,10201551,"2026/02/27 15:00:00",3010,10201032
"전투 시작 후 90초간 마법\n공격력 (극대) 증가",107001,10201551,"2026/02/27 15:00:00",3003,10201033
"전투 시작 후 90초간 TP 상승 (특대)\n증가",107001,10201551,"2026/02/27 15:00:00",3010,10201034
"전투 시작 후 90초간 아군 전체의 물리\n공격력 (특대) 증가",106801,10201551,"2026/02/27 15:00:00",3001,10201035
"전투 시작 후 아군 전체의 TP (대) 회복",106801,10201551,"2026/02/27 15:00:00",3014,10201036
"전투 시작 후 90초간 물리\n공격력 (극대) 증가",111501,10201551,"2026/02/27 15:00:00",3001,10201037
"전투 시작 후 90초간 TP 상승 (특대)\n증가",111501,10201551,"2026/02/27 15:00:00",3010,10201038
"전투 시작 후 90초간 물리\n공격력 (극대) 증가",123801,10201551,"2026/02/27 15:00:00",3001,10201039
"전투 시작 후 90초간 TP 상승 (특대)\n증가",123801,10201551,"2026/02/27 15:00:00",3010,10201040
"전투 시작 후 90초간 물리\n공격력 (극대) 증가",133901,10201551,"2026/03/09 15:00:00",3001,10201041
"전투 시작 후 90초간 TP 상승 (특대)\n증가",133901,10201551,"2026/03/09 15:00:00",3010,10201042
"전투 시작 후 90초간 아군 전체에 지속적으로\nHP 회복 상태 부여",115001,10201551,"2026/02/27 15:00:00",3005,10201043
"전투 시작 후 아군 전체의 행동 불능\n2회 무효",115001,10201551,"2026/02/27 15:00:00",3013,10201044
"전투 시작 후 90초간 아군 전체의 마법\n공격력 (특대) 증가",126601,10201551,"2026/02/27 15:00:00",3003,10201045
"전투 시작 후 아군 전체의 TP (대) 회복",126601,10201551,"2026/02/27 15:00:00",3014,10201046
"전투 시작 후 90초간 아군 전체의 물리\n공격력 (특대) 증가",121201,10201551,"2026/02/27 15:00:00",3001,10201049
"전투 시작 후 아군 전체의 TP (대) 회복",121201,10201551,"2026/02/27 15:00:00",3014,10201050
"전투 시작 후 90초간 마법\n공격력 (극대) 증가",133701,10201551,"2026/02/27 15:00:00",3003,10201051
"전투 시작 후 90초간 TP 상승 (특대)\n증가",133701,10201551,"2026/02/27 15:00:00",3010,10201052
