talk_text,talk_text_type,kaya_action,voice_list,action_name,inori_action,dragon_action,homare_action
"헷헴~! 「{0}」(이)다!",2,"srt_kaya_select_1,srt_kaya_waiting","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058",ENEMY_SELECT_GREAT2,"srt_inori_react_1,srt_inori_idle","srt_dragon_react_1,srt_dragon_idle",""
"",-1,"","",ENEMY_SELECT_WAIT,"","",""
"카야삐, 「ㅇ」이 붙어있어요……",1,srt_kaya_shock,out_071,ENEMY_SELECT_N,"","",""
"「{0}」인가요\n다음은 「{1}」로 시작하는 단어네요",1,srt_kaya_waiting,"",PLAYER_TURN1,srt_inori_thinking,srt_dragon_thinking,""
"「{0}」인가요\n으~음, 「{1}」로 시작하는 단어는…",1,srt_kaya_waiting,"",PLAYER_TURN2,srt_inori_thinking,srt_dragon_thinking,""
"그래요 「{0}」(이)군요\n흠흠, 「{1}」로 시작하는 단어는…",1,srt_kaya_waiting,"",PLAYER_TURN3,srt_inori_thinking,srt_dragon_thinking,""
"",1,"","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053",PLAYER_CUTIN_GREAT,"","",""
"",1,"","sugoyomi_cutin_050,sugoyomi_cutin_052",PLAYER_CUTIN_PRICONNE,"","",""
"「{0}」입니다!",1,"srt_kaya_react_1,srt_kaya_waiting","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038",PLAYER_SELECT1,"srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle",""
"「{0}」(이)네요!",1,"srt_kaya_react_2,srt_kaya_waiting","correct_030-correct_031,correct_035-correct_036",PLAYER_SELECT2,"srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle",""
"「{0}」(은)는 어떤가요!",1,"srt_kaya_react_1,srt_kaya_waiting","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038",PLAYER_SELECT_GREAT1,"srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle",""
"후후~웅♪「{0}」입니다!",1,"srt_kaya_react_2,srt_kaya_waiting","correct_030-correct_031,correct_035-correct_036",PLAYER_SELECT_GREAT2,"srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle",""
"훗훗후, 바로\n「{0}」입니다!",1,"srt_kaya_react_1,srt_kaya_waiting","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038",PLAYER_SELECT_PRECONNE1,"srt_inori_select_1,srt_inori_idle","srt_dragon_select_1,srt_dragon_idle",""
"떠올랐습니다!\n「{0}」(이)네요!",1,"srt_kaya_react_2,srt_kaya_waiting","correct_030-correct_031,correct_035-correct_036",PLAYER_SELECT_PRECONNE2,"srt_inori_select_2,srt_inori_idle","srt_dragon_select_2,srt_dragon_idle",""
"",-1,"","",PLAYER_SELECT_WAIT,"","",""
"하읏! 트, 틀렸어요…",1,"srt_kaya_react_3,srt_kaya_waiting","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046",PLAYER_MISS,"srt_inori_miss,srt_inori_thinking","srt_dragon_miss,srt_dragon_thinking",""
"이봐, 「ㅇ」이 붙어있잖아……",2,srt_kaya_react_4,out_070,PLAYER_SELECT_N,srt_inori_shock,"",""
"계속해서 갑니다!",1,srt_kaya_infever,rush,INFEVER,srt_inori_thinking,srt_dragon_thinking,""
"「{0}」입니다!",1,"","correct_028-correct_029,correct_037-correct_038",FEVER_SELECT1,srt_inori_select_1,srt_dragon_select_1,""
"「{0}」(이)네요!",1,"","correct_030-correct_031,correct_035-correct_036",FEVER_SELECT2,srt_inori_select_2,srt_dragon_select_2,""
"하읏! 트, 틀렸어요…",1,"","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048",FEVER_MISS,srt_inori_miss,srt_dragon_miss,""
"각오하세요!",1,srt_kaya_fever_damage,rush_attack,FEVER_DAMAGE,srt_inori_fever_attack,srt_dragon_fever_attack,""
"우리들의 승리예요!!",1,srt_kaya_lose,"win_005-win_006,win_012-win_013",WIN_HP,srt_inori_win_1,srt_dragon_win,""
"우리들의 승리예요!!",1,"","win_005-win_006,win_012-win_013",WIN_N,srt_inori_win_1,srt_dragon_win,""
"아우으… 제가 졌습니다…",1,srt_kaya_win,"lose_017,lose_019,lose_023",LOSE_MISS,srt_inori_lose,srt_dragon_lose,""
"아우으… 제가 졌습니다…",1,"","lose_017,lose_019,lose_023",LOSE_N,"",srt_dragon_miss,""
"시, 시간 초과인가요!? 방심했어요… ",1,srt_kaya_win,"lose_025/lose_026-boss_emote_068,lose_021",TIMEUP,srt_inori_lose,srt_dragon_lose,""
"아우으… 제가 졌습니다…\n「{0}」(이)가 있었어요…",1,srt_kaya_win,"lose_017,lose_019,lose_023",LOSE_MISS2,srt_inori_lose,srt_dragon_lose,""
"아우으… 제가 졌습니다…\n「{0}」(이)가 있었어요…",1,"","lose_017,lose_019,lose_023",LOSE_N2,"",srt_dragon_miss,""
"시, 시간 초과인가요!? 방심했어요… \n「{0}」(이)가 있었어요…",1,srt_kaya_win,"lose_025/lose_026-boss_emote_068,lose_021",TIMEUP2,srt_inori_lose,srt_dragon_lose,""
