command_id,param_02,param_07,command_type,param_01,param_04,param_05,param_06,param_03,drama_id,param_08
61032,sad_idle_dere_shy,"",3,1060,"","",0.5,1,5146061,""
61033,vo_apg_0102,"",21,vo_apg,0,"","",0,5146061,""
61034,0102_in,"",3,201,"","",0,0,5146061,""
61035,1,"",93,4.6,"","","","",5146061,""
61036,0102_mid,"",3,201,"","",0,0,5146061,""
61037,"","",92,"","","","","",5146061,""
61038,0102_out,"",3,201,"","",0,0,5146061,""
61039,0,"",93,0.2,"","","","",5146061,""
61040,kyaru_smile_in,0,3,106011,kyaru_smile_idle,1,0.2,0,5146061,""
61041,kyaru_smile_in,0,3,1060,kyaru_smile_idle,1,0.2,0,5146061,""
61042,vo_apg_0103,"",21,vo_apg,0,"","",0,5146061,""
61043,0103_in,"",3,201,"","",0,0,5146061,""
61044,1,"",93,5.4,"","","","",5146061,""
61045,0103_mid,"",3,201,"","",0,0,5146061,""
61046,"","",92,"","","","","",5146061,""
61047,0103_out,"",3,201,"","",0,0,5146061,""
61048,0,"",93,0.2,"","","","",5146061,""
61049,fade105_out,"",37,2,"","","","",5146061,""
61050,1,"",4,105811,"","","","",5146061,""
61051,1,"",4,1058,"","","","",5146061,""
61052,surprise_talk,"",3,105811,"","",0.2,1,5146061,""
61053,surprise_talk,"",3,1058,"","",0.2,1,5146061,""
61054,vo_apg_0104,"",21,vo_apg,0,"","",0,5146061,""
61055,"……캬루,\n사진 찍기 싫은 걸까요…?",0,11,105811,1,1,0,10,5146061,0
61056,"","",91,0,"","","","",5146061,""
61057,surprise_idle_talk1R,"",3,105811,"","",0.2,1,5146061,""
61058,surprise_idle_talk1R,"",3,1058,"","",0.2,1,5146061,""
61059,kokkoro_surprise_talk,"",3,105911,"","",0.2,1,5146061,""
61060,kokkoro_surprise_talk,"",3,1059,"","",0.2,1,5146061,""
61061,vo_apg_0105,"",21,vo_apg,0,"","",0,5146061,""
61062,"네.\n아무래도 그런 것 같습니다",0,11,105911,1,1,0,10,5146061,0
61063,"","",91,0,"","","","",5146061,""
61064,kokkoro_idle_normal,"",3,105911,"","",0.2,1,5146061,""
61065,kokkoro_idle_normal,"",3,1059,"","",0.2,1,5146061,""
61066,idle_normal_talk1R,"",3,105811,"","",0.2,1,5146061,""
61067,idle_normal_talk1R,"",3,1058,"","",0.2,1,5146061,""
61068,0,"",4,105811,"","","","",5146061,""
61069,0,"",4,1058,"","","","",5146061,""
61070,1,"",4,106011,"","","","",5146061,""
61071,1,"",4,1060,"","","","",5146061,""
61072,cool_in_sing_shy,0,3,106011,cool_talk_sing_shy,1,0.2,0,5146061,""
61073,cool_in_sing_shy,0,3,1060,cool_talk_sing_shy,1,0.2,0,5146061,""
61074,vo_apg_0106,"",21,vo_apg,0,"","",0,5146061,""
61075,"자, 빨리 타자고~\n하~ 싫다 싫어… 후후후",0,11,106011,1,1,0,10,5146061,0
61076,"","",91,0,"","","","",5146061,""
61077,0,"",22,0,"","","","",5146061,""
61078,walk_kyapi_shy,"",3,106011,"","",0.2,1,5146061,""
61079,walk_kyapi_shy,"",3,1060,"","",0.2,1,5146061,""
61080,walk_furimuki,"",3,105811,"","",0.2,1,5146061,""
61081,walk_furimuki,"",3,1058,"","",0.2,1,5146061,""
61082,kokkoro_walk_surprise,"",3,105911,"","",0.2,1,5146061,""
61083,kokkoro_walk_surprise,"",3,1059,"","",0.2,1,5146061,""
61084,149,"",2,106011,2,0,"",-278,5146061,""
61085,149,"",2,1060,2,0,"",-278,5146061,""
61086,-54,"",2,105811,2,0,"",-278,5146061,""
61087,-54,"",2,1058,2,0,"",-278,5146061,""
61088,-214,"",2,105911,2,0,"",-288,5146061,""
61089,-214,"",2,1059,2,0,"",-288,5146061,""
61090,0,"",93,1,"","","","",5146061,""
61091,iris_in,"",37,2,"","","","",5146061,""
61092,0,"",93,2,"","","","",5146061,""
61093,se_10055900_coaster_02,"",23,se_10055900,"","","",1,5146061,""
61094,1,"",32,10,"","","","",5146061,""
61095,30,"",122,30,"","","",0.5,5146061,""
61096,vo_apg_0107,"",21,vo_apg,0,"","",0,5146061,""
61097,0107_in,"",3,202,"","",0,0,5146061,""
61098,1,"",93,0.7,"","","","",5146061,""
61099,0107_mid,"",3,202,"","",0,0,5146061,""
61100,"","",92,"","","","","",5146061,""
61101,0107_out,"",3,202,"","",0,0,5146061,""
61102,0,"",93,0.2,"","","","",5146061,""
61103,0,"",2,202,0,0,"",-211,5146061,""
61104,30,"",122,30,"","","",0.5,5146061,""
61105,vo_apg_0108,"",21,vo_apg,0,"","",0,5146061,""
61106,0108_in,"",3,203,"","",0,0,5146061,""
61107,1,"",93,0.8,"","","","",5146061,""
61108,0108_mid,"",3,203,"","",0,0,5146061,""
61109,"","",92,"","","","","",5146061,""
61110,0108_out,"",3,203,"","",0,0,5146061,""
61111,0,"",93,0.2,"","","","",5146061,""
61112,315,"",2,201,0,0,"",16,5146061,""
61113,30,"",122,30,"","","",0.5,5146061,""
61114,vo_apg_0109,"",21,vo_apg,0,"","",0,5146061,""
61115,0109_in,"",3,201,"","",0,0,5146061,""
61116,1,"",93,1.1,"","","","",5146061,""
61117,0109_mid,"",3,201,"","",0,0,5146061,""
61118,"","",92,"","","","","",5146061,""
61119,0109_out,"",3,201,"","",0,0,5146061,""
61120,0,"",93,0.2,"","","","",5146061,""
61121,30,"",122,30,"","","",0.5,5146061,""
61122,vo_apg_0110,"",21,vo_apg,0,"","",0,5146061,""
61123,0107_in,"",3,202,"","",0,0,5146061,""
61124,0108_in,"",3,203,"","",0,0,5146061,""
61125,0109_in,"",3,201,"","",0,0,5146061,""
61126,1,"",93,1.1,"","","","",5146061,""
61127,0107_mid,"",3,202,"","",0,0,5146061,""
61128,0108_mid,"",3,203,"","",0,0,5146061,""
61129,0109_mid,"",3,201,"","",0,0,5146061,""
61130,"","",92,"","","","","",5146061,""
61131,0107_out,"",3,202,"","",0,0,5146061,""
61132,0108_out,"",3,203,"","",0,0,5146061,""
61133,0109_out,"",3,201,"","",0,0,5146061,""
61134,0,"",93,0.2,"","","","",5146061,""
61135,216,"",2,201,0,0,"",0,5146061,""
61136,vo_apg_0111,"",21,vo_apg,0,"","",0,5146061,""
61137,0111_in,"",3,201,"","",0,0,5146061,""
61138,1,"",93,1.8,"","","","",5146061,""
61139,0111_mid,"",3,201,"","",0,0,5146061,""
61140,"","",92,"","","","","",5146061,""
61141,0111_out,"",3,201,"","",0,0,5146061,""
61142,0,"",93,0.2,"","","","",5146061,""
61143,0,"",22,0,"","","","",5146061,""
61144,"","",93,0.5,"","","","",5146061,""
61145,1,"",32,11,"","","","",5146061,""
61146,se_10055900_camera,"",23,se_10055900,"","","",0,5146061,""
61147,0,"",93,0.2,"","","","",5146061,""
61148,0,"",32,10,"","","","",5146061,""
61149,0,"",93,1.8,"","","","",5146061,""
61150,0.5,"",24,se_10055900_coaster_02,"","","","",5146061,""
61151,iris_out,"",37,2,"","","","",5146061,""
61152,129,"",2,106011,0,0,"",-278,5146061,""
61153,129,"",2,1060,0,0,"",-278,5146061,""
61154,-34,"",2,105811,0,0,"",-278,5146061,""
61155,-34,"",2,1058,0,0,"",-278,5146061,""
61156,-194,"",2,105911,0,0,"",-288,5146061,""
61157,-194,"",2,1059,0,0,"",-288,5146061,""
61158,walk_normal_dere2,"",3,106011,"","",0.2,1,5146061,""
61159,walk_normal_dere2,"",3,1060,"","",0.2,1,5146061,""
61160,walk_normal_joy,"",3,105811,"","",0.2,1,5146061,""
61161,walk_normal_joy,"",3,1058,"","",0.2,1,5146061,""
61162,kokkoro_walk_normal_dere,"",3,105911,"","",0.2,1,5146061,""
61163,kokkoro_walk_normal_dere,"",3,1059,"","",0.2,1,5146061,""
61164,290,"",2,106011,2,0,"",-278,5146061,""
61165,290,"",2,1060,2,0,"",-278,5146061,""
61166,-225,"",2,105811,2,0,"",-278,5146061,""
61167,-225,"",2,1058,2,0,"",-278,5146061,""
61168,-385,"",2,105911,2,0,"",-288,5146061,""
61169,-385,"",2,1059,2,0,"",-288,5146061,""
61170,0,"",4,106011,"","","","",5146061,""
61171,0,"",4,1060,"","","","",5146061,""
61172,1,"",4,105811,"","","","",5146061,""
61173,1,"",4,1058,"","","","",5146061,""
61174,1,"",4,105911,"","","","",5146061,""
61175,1,"",4,1059,"","","","",5146061,""
61176,0,"",93,2,"","","","",5146061,""
61177,1,"",4,106011,"","","","",5146061,""
61178,1,"",4,1060,"","","","",5146061,""
61179,0,"",4,105811,"","","","",5146061,""
61180,0,"",4,1058,"","","","",5146061,""
61181,0,"",4,105911,"","","","",5146061,""
61182,0,"",4,1059,"","","","",5146061,""
61183,joy_idle_doya_shy,"",3,106011,"","",0.2,1,5146061,""
61184,joy_idle_doya_shy,"",3,1060,"","",0.2,1,5146061,""
61185,idle_normal,"",3,105811,"","",0.2,1,5146061,""
61186,idle_normal,"",3,1058,"","",0.2,1,5146061,""
61187,kokkoro_idle_normal_joy,"",3,105911,"","",0.2,1,5146061,""
61188,kokkoro_idle_normal_joy,"",3,1059,"","",0.2,1,5146061,""
61189,0,"",93,0.3,"","","","",5146061,""
61190,jump_short,0.2,3,105811,guts2_talk_joy,1,0.2,0,5146061,""
61191,jump_short,0.2,3,1058,guts2_talk_joy,1,0.2,0,5146061,""
61192,vo_apg_0112,"",21,vo_apg,0,"","",0,5146061,""
61193,"하아~♪\n재밌었네요~☆",0,11,105811,1,1,0,10,5146061,0
61194,"","",91,0,"","","","",5146061,""
61195,idle_normal,"",3,105811,"","",0.2,1,5146061,""
61196,idle_normal,"",3,1058,"","",0.2,1,5146061,""
61197,kokkoro_talk_normal,"",3,105911,"","",0.2,1,5146061,""
61198,kokkoro_talk_normal,"",3,1059,"","",0.2,1,5146061,""
61199,vo_apg_0113,"",21,vo_apg,0,"","",0,5146061,""
61200,"여러분.\n사진이\n완성된 것 같습니다",0,11,105911,1,1,0,10,5146061,0
61201,"","",91,0,"","","","",5146061,""
61202,kokkoro_idle_normal_joy,"",3,105911,"","",0.2,1,5146061,""
61203,kokkoro_idle_normal_joy,"",3,1059,"","",0.2,1,5146061,""
61204,armcrossed_in_dere_shy,0,3,106011,armcrossed_talk_dere_shy,1,0.2,0,5146061,""
61205,armcrossed_in_dere_shy,0,3,1060,armcrossed_talk_dere_shy,1,0.2,0,5146061,""
61206,vo_apg_0114,"",21,vo_apg,0,"","",0,5146061,""
61207,"하~ 최악이야.\n…뭐, 어떻게 생겼는지\n한번 봐 줄게♪",0,11,106011,1,1,0,10,5146061,0
61208,"","",91,0,"","","","",5146061,""
61209,0,"",22,0,"","","","",5146061,""
61210,armcrossed_idle_anger_lookup,"",3,106011,"","",0.2,0,5146061,""
61211,armcrossed_idle_anger_lookup,"",3,1060,"","",0.2,0,5146061,""
61212,idle_normal_lookup,"",3,105811,"","",0.2,1,5146061,""
61213,idle_normal_lookup,"",3,1058,"","",0.2,1,5146061,""
61214,kokkoro_wish_idle_joy_lookup,"",3,105911,"","",0.2,1,5146061,""
61215,kokkoro_wish_idle_joy_lookup,"",3,1059,"","",0.2,1,5146061,""
61216,coaster_1_in,"",3,21,"","",0,0,5146061,""
61217,se_10055900_photo,"",23,se_10055900,"","","",0,5146061,""
61218,0,"",93,2.3,"","","","",5146061,""
61219,idle_normal_surprise,"",3,105811,"","",0.2,1,5146061,""
61220,idle_normal_surprise,"",3,1058,"","",0.2,1,5146061,""
61221,kokkoro_idle_normal_surprise,"",3,105911,"","",0.2,1,5146061,""
61222,kokkoro_idle_normal_surprise,"",3,1059,"","",0.2,1,5146061,""
61223,pointing_in_noface,0,3,106011,pointing_loop_noface,1,0.2,0,5146061,""
61224,pointing_in_kyaru,0,3,1060,pointing_loop_kyaru,1,0.2,0,5146061,""
61225,vo_apg_0115,"",21,vo_apg,0,"","",0,5146061,""
61226,"뭐야 이거~!!!\n나 안 찍혔잖아!!?",0,11,106011,1,1,0,10,5146061,0
61227,1,"",93,0.5,"","","","",5146061,""
61228,30,"",122,30,"","","",0.5,5146061,""
61229,"","",91,61226,"","","","",5146061,""
61230,surprise_talk,"",3,105811,"","",0.2,1,5146061,""
61231,surprise_talk,"",3,1058,"","",0.2,1,5146061,""
61232,vo_apg_0116,"",21,vo_apg,0,"","",0,5146061,""
61233,"……어?\n캬루, 사실은\n찍고 싶었나요?",0,11,105811,1,1,0,10,5146061,0
61234,"","",91,0,"","","","",5146061,""
61235,idle_normal_talk1R,"",3,105811,"","",0.2,1,5146061,""
61236,idle_normal_talk1R,"",3,1058,"","",0.2,1,5146061,""
61237,kokkoro_sad_talk,"",3,105911,"","",0.2,1,5146061,""
61238,kokkoro_sad_talk,"",3,1059,"","",0.2,1,5146061,""
61239,vo_apg_0117,"",21,vo_apg,0,"","",0,5146061,""
61240,"안 찍고 싶으신 줄 알고\n캬루 님을 가렸습니다만.\n괜한 참견이었던 것 같습니다",0,11,105911,1,1,0,10,5146061,0
61241,"","",91,0,"","","","",5146061,""
61242,kokkoro_idle_normal,"",3,105911,"","",0.2,1,5146061,""
61243,kokkoro_idle_normal,"",3,1059,"","",0.2,1,5146061,""
61244,shock_in_shy_red,0,3,106011,shock_loop_shy_red,1,0.2,0,5146061,""
61245,shock_in_shy_red,0,3,1060,shock_loop_shy_red,1,0.2,0,5146061,""
61246,vo_apg_0118,"",21,vo_apg,0,"","",0,5146061,""
61247,"아… 아니, 그런 건\n아니거든!!?",0,11,106011,1,1,0,10,5146061,0
61248,"","",91,0,"","","","",5146061,""
61249,coaster_1_out,"",3,21,"","",0,0,5146061,""
61250,kokkoro_idle_normal_joy,0.2,3,105911,"","",0.2,1,5146061,""
61251,kokkoro_idle_normal_joy,0.2,3,1059,"","",0.2,1,5146061,""
61252,joy_talk,0.2,3,105811,"","",0.2,1,5146061,""
61253,joy_talk,0.2,3,1058,"","",0.2,1,5146061,""
61254,vo_apg_0119,"",21,vo_apg,0,"","",0,5146061,""
61255,"뭐야♪\n그럼, 한 번 더 타러 가요~♪",0,11,105811,1,1,0,10,5146061,0
61256,"","",91,0,"","","","",5146061,""
61257,joy_idle,"",3,105811,"","",0.2,1,5146061,""
61258,joy_idle,"",3,1058,"","",0.2,1,5146061,""
61259,kokkoro_wish_talk_normal2,"",3,105911,"","",0.2,1,5146061,""
61260,kokkoro_wish_talk_normal2,"",3,1059,"","",0.2,1,5146061,""
61261,vo_apg_0120,"",21,vo_apg,0,"","",0,5146061,""
61262,"네, 그렇게 하시죠♪",0,11,105911,1,1,0,10,5146061,0
61263,"","",91,0,"","","","",5146061,""
61264,0,"",22,0,"","","","",5146061,""
61265,kokkoro_wish_idle_joy,"",3,105911,"","",0.2,1,5146061,""
61266,kokkoro_wish_idle_joy,"",3,1059,"","",0.2,1,5146061,""
61267,anger_talk_anger2_red,"",3,106011,"","",0.2,1,5146061,""
61268,anger_talk_anger2_red,"",3,1060,"","",0.2,1,5146061,""
61269,2,0,12,106011,0,0,0,2,5146061,0
61270,10,0,12,105811,0,0,0,2,5146061,0
61271,10,0,12,105911,0,0,0,2,5146061,0
61272,0,"",93,2,"","","","",5146061,""
61273,"","",101,61274,"","","","",5146061,""
61274,0.2,"",22,0,"","","","",5146061,""
62001,100911,0,1,1,-290,-278,1.8,103,5146062,idle_normal
62002,1009,0,5,3,-290,-278,1.8,104,5146062,idle_normal
62003,131011,1,1,1,290,-278,1.8,100,5146062,idle_normal
62004,203,"",13,100911,"","","","",5146062,""
62005,200,"",13,131011,"","","","",5146062,""
62006,7,0,5,7,0,-174,0.85,15,5146062,idle
62007,20,0,5,20,-132,71,1,210,5146062,empty
62008,22,0,5,22,0,-42,1,210,5146062,empty
62009,21,0,5,21,0,153,1,60,5146062,empty
62010,1,"",31,1,0,1,1,0,5146062,""
62011,2,"",31,2,-57.7,1,0,0,5146062,""
62012,10,"",31,10,0,1,0,0,5146062,""
62013,11,"",31,11,0,1,0,0,5146062,""
62014,14,"",31,14,-278,1,0,-290,5146062,""
62015,20,"",31,20,0,1,1,0,5146062,""
62016,100911,"",36,20,"","","","",5146062,""
62017,20,"",36,20,"","","","",5146062,""
62018,22,"",36,20,"","","","",5146062,""
62019,0,"",91,0,"","","","",5146062,""
62020,0,"",102,0,"","","",0,5146062,""
62021,0,"",93,1,"","","","",5146062,""
62022,cool_in_dere,0,3,100911,cool_talk_dere,1,0.2,0,5146062,""
62023,cool_in_dere,0,3,1009,cool_talk_dere,1,0.2,0,5146062,""
62024,vo_apg_0201,"",21,vo_apg,0,"","",0,5146062,""
62025,"출정이다, 극멸금단비의로!\n자, 안내를 부탁한다!",0,11,100911,1,1,0,10,5146062,0
62026,"","",91,0,"","","","",5146062,""
62027,cool_idle,"",3,100911,"","",0.2,1,5146062,""
62028,cool_idle,"",3,1009,"","",0.2,1,5146062,""
62029,wish_talk_joy,"",3,131011,"","",0.2,1,5146062,""
62030,vo_apg_0202,"",21,vo_apg,0,"","",0,5146062,""
62031,"안나 공이 흥미를 가져\n주시다니 기쁘옵니다~\n제대로 안내해 드리겠사옵니다",0,11,131011,1,1,0,10,5146062,0
62032,"","",91,0,"","","","",5146062,""
62033,wish_idle,"",3,131011,"","",0.2,1,5146062,""
62034,anna_armcrossed,0.2,3,100911,sad_talk,1,0.2,0,5146062,""
62035,anna_armcrossed,0.2,3,1009,sad_talk,1,0.2,0,5146062,""
62036,vo_apg_0203,"",21,vo_apg,0,"","",0,5146062,""
62037,"음! 시구르드 일행도\n도전했다는 그 시련, 이 명희도…\n응? \n이거, 혹시 절규하는 류의…?",0,11,100911,1,1,0,10,5146062,0
62038,"","",91,0,"","","","",5146062,""
62039,sad_idle,"",3,100911,"","",0.2,1,5146062,""
62040,sad_idle,"",3,1009,"","",0.2,1,5146062,""
62041,maho_talk_normal,0.2,3,131011,surprise_talk,1,0.2,0,5146062,""
62042,vo_apg_0204,"",21,vo_apg,0,"","",0,5146062,""
62043,"이 파크의 대인기\n어트랙션이옵니다~\n어라? 왜 그러시옵니까?\n안색이 안 좋으신 듯한…",0,11,131011,1,1,0,10,5146062,0
62044,"","",91,0,"","","","",5146062,""
62045,surprise_idle,"",3,131011,"","",0.2,1,5146062,""
62046,anger_talk_shy,"",3,100911,"","",0.2,1,5146062,""
62047,anger_talk_shy,"",3,1009,"","",0.2,1,5146062,""
62048,vo_apg_0205,"",21,vo_apg,0,"","",0,5146062,""
62049,"벼벼벼, 별로 무, 무섭지 않다…\n정말로, 전혀 개의치 않다고?",0,11,100911,1,1,0,10,5146062,0
62050,"","",91,0,"","","","",5146062,""
62051,anger_idle_shy,"",3,100911,"","",0.2,1,5146062,""
62052,anger_idle_shy,"",3,1009,"","",0.2,1,5146062,""
62053,worry_talk,"",3,131011,"","",0.2,1,5146062,""
62054,vo_apg_0206,"",21,vo_apg,0,"","",0,5146062,""
62055,"그래도, 무리는 안 하시는 게\n좋지 않겠사옵니까?",0,11,131011,1,1,0,10,5146062,0
62056,"","",91,0,"","","","",5146062,""
62057,wish_idle_shy,"",3,131011,"","",0.2,1,5146062,""
62058,anger_talk_pain,"",3,100911,"","",0.2,1,5146062,""
62059,anger_talk_pain,"",3,1009,"","",0.2,1,5146062,""
62060,vo_apg_0207,"",21,vo_apg,0,"","",0,5146062,""
62061,"에이잇! 괘, 괜찮다고 말했다!\n여기까지 안내를 받고 물러설 수는…\n간다! 돌격이다~~~~!",0,11,100911,1,1,0,10,5146062,0
62062,"","",91,0,"","","","",5146062,""
62063,0,"",22,0,"","","","",5146062,""
62064,run_dash_anger2,"",3,100911,"","",0.2,1,5146062,""
62065,run_dash_anger2,"",3,1009,"","",0.2,1,5146062,""
62066,walk_surprise,"",3,131011,"","",0.2,1,5146062,""
62067,-129,"",2,100911,2,0,"",-278,5146062,""
62068,-129,"",2,1009,2,0,"",-278,5146062,""
62069,129,"",2,131011,2,0,"",-278,5146062,""
62070,1,"",32,14,"","","","",5146062,""
62071,left,"",37,14,"","","","",5146062,""
62072,-129,"",33,14,2,0,"",-278,5146062,""
62073,0,"",93,1,"","","","",5146062,""
62074,1,"",32,2,"","","","",5146062,""
62075,0,"",93,1.5,"","","","",5146062,""
62076,0,"",32,14,"","","","",5146062,""
62077,0,"",2,100911,0,0,"",-331,5146062,""
62078,scale15,"",37,20,"","","","",5146062,""
62079,se_10055900_coaster_01,"",23,se_10055900,"","","",1,5146062,""
62080,vo_apg_0208,"",21,vo_apg,0,"","",0,5146062,""
62081,0208_in,"",3,22,"","",0,0,5146062,""
62082,1,"",93,3.3,"","","","",5146062,""
62083,0208_mid,"",3,22,"","",0,0,5146062,""
62084,"","",92,"","","","","",5146062,""
62085,0208_out,"",3,22,"","",0,0,5146062,""
62086,0,"",93,0.2,"","","","",5146062,""
62087,0,"",93,0.3,"","","","",5146062,""
62088,scale1,"",37,20,"","","","",5146062,""
62089,1,"",32,10,"","","","",5146062,""
62090,0.5,"",24,se_10055900_coaster_01,"","","","",5146062,""
62091,se_10055900_coaster_02,"",23,se_10055900,"","","",1,5146062,""
62092,0,"",2,20,0,0,"",0,5146062,""
62093,30,"",122,30,"","","",0.5,5146062,""
62094,vo_apg_0209,"",21,vo_apg,0,"","",0,5146062,""
62095,0209_in,"",3,20,"","",0,0,5146062,""
62096,1,"",93,2.6,"","","","",5146062,""
62097,0209_mid,"",3,20,"","",0,0,5146062,""
62098,"","",92,"","","","","",5146062,""
62099,0209_out,"",3,20,"","",0,0,5146062,""
62100,0,"",93,0.2,"","","","",5146062,""
62101,30,"",122,30,"","","",1,5146062,""
62102,vo_apg_0210,"",21,vo_apg,0,"","",0,5146062,""
62103,0210_in,"",3,20,"","",0,0,5146062,""
62104,1,"",93,2.7,"","","","",5146062,""
62105,0210_mid,"",3,20,"","",0,0,5146062,""
62106,"","",92,"","","","","",5146062,""
62107,0210_out,"",3,20,"","",0,0,5146062,""
62108,0,"",93,0.2,"","","","",5146062,""
62109,0,"",22,0,"","","","",5146062,""
62110,empty,"",3,20,"","",0,1,5146062,""
62111,"","",93,1,"","","","",5146062,""
62112,1,"",32,11,"","","","",5146062,""
62113,se_10055900_camera,"",23,se_10055900,"","","",0,5146062,""
62114,0,"",93,0.2,"","","","",5146062,""
62115,0,"",32,10,"","","","",5146062,""
62116,0,"",93,1.8,"","","","",5146062,""
62117,0.5,"",24,se_10055900_coaster_02,"","","","",5146062,""
62118,iris_out,"",37,2,"","","","",5146062,""
62119,-129,"",2,100911,0,0,"",-278,5146062,""
62120,-129,"",2,1009,0,0,"",-278,5146062,""
62121,129,"",2,131011,0,0,"",-278,5146062,""
62122,anna_walk,"",3,100911,"","",0.2,1,5146062,""
62123,anna_walk,"",3,1009,"","",0.2,1,5146062,""
62124,walk_normal_joy,"",3,131011,"","",0.2,1,5146062,""
62125,-290,"",2,100911,2,0,"",-278,5146062,""
62126,-290,"",2,1009,2,0,"",-278,5146062,""
62127,290,"",2,131011,2,0,"",-278,5146062,""
62128,1,"",4,100911,"","","","",5146062,""
62129,1,"",4,1009,"","","","",5146062,""
62130,0,"",4,131011,"","","","",5146062,""
62131,0,"",93,2,"","","","",5146062,""
62132,0,"",4,100911,"","","","",5146062,""
62133,0,"",4,1009,"","","","",5146062,""
62134,1,"",4,131011,"","","","",5146062,""
62135,anna_idle,"",3,100911,"","",0.2,1,5146062,""
62136,anna_idle,"",3,1009,"",0,0.2,1,5146062,""
62137,idle_normal,"",3,131011,"","",0.2,1,5146062,""
62138,0,"",93,0.5,"","","","",5146062,""
62139,talk_normal_surprise,"",3,131011,"","",0.2,1,5146062,""
62140,vo_apg_0211,"",21,vo_apg,0,"","",0,5146062,""
62141,"어떠셨사옵니까?\n굉장한 소리를 내셨사온데",0,11,131011,1,1,0,10,5146062,0
62142,"","",91,0,"","","","",5146062,""
62143,idle_normal_surprise,"",3,131011,"","",0.2,1,5146062,""
62144,anna_kukuku_in,0,3,100911,anna_kukuku_loop,1,0.2,0,5146062,""
62145,anna_kukuku_in,0,3,1009,anna_kukuku_loop,1,0.2,0,5146062,""
62146,vo_apg_0212,"",21,vo_apg,0,"","",0,5146062,""
62147,"후, 후후후… 시구르드여…\n나에게도, 끝이… 보인다!",0,11,100911,1,1,20,10,5146062,0
62148,"","",91,0,"","","","",5146062,""
62149,coaster_2_in,"",3,21,"","",0,0,5146062,""
62150,se_10055900_photo,"",23,se_10055900,"","","",0,5146062,""
62151,0,"",93,0.1,"","","","",5146062,""
62152,anna_ahaha_in,0,3,100911,anna_ahaha_loop,1,0.2,0,5146062,""
62153,anna_ahaha_in,0,3,1009,anna_ahaha_loop,1,0.2,0,5146062,""
62154,vo_apg_0213,"",21,vo_apg,0,"","",0,5146062,""
62155,"지금, 명희는\n질풍을 추월했다!",0,11,100911,1,1,-30,10,5146062,0
62156,"","",91,0,"","","","",5146062,""
62157,wish_talk_joy,"",3,131011,"","",0.2,1,5146062,""
62158,vo_apg_0214,"",21,vo_apg,0,"","",0,5146062,""
62159,"뭔지 잘 모르겠사오나…\n즐거우셨다면 다행이옵니다~♪",0,11,131011,1,1,0,10,5146062,0
62160,"","",91,0,"","","","",5146062,""
62161,0,"",22,0,"","","","",5146062,""
62162,wish_idle_joy,"",3,131011,"","",0.2,1,5146062,""
62163,10,0,12,100911,0,0,-30,2,5146062,0
62164,7,0,12,131011,0,0,0,2,5146062,0
62165,0,"",93,2,"","","","",5146062,""
62166,"","",101,62167,"","","","",5146062,""
62167,0.2,"",22,0,"","","","",5146062,""
63001,106611,1,1,1,-10,-288,1.8,110,5146063,walk_surprise_sad_blue
63002,1066,1,5,3,-10,-288,1.8,111,5146063,walk_surprise_sad_blue
63003,130911,1,1,1,260,-288,1.8,100,5146063,idle_normal_noface
63004,99,1,5,1,260,-288,1.8,101,5146063,idle_normal_kururu
63005,126411,0,1,1,-420,-268,1.8,103,5146063,empty
