reward_type_2,reward_id_1,lap_num_to,reward_num_1,reward_type_1,id,reward_num_5,reward_type_5,reward_num_2,lap_num_from,reward_id_4,reward_id_2,clan_battle_id,reward_num_3,reward_id_5,period,reward_type_4,reward_num_4,reward_id_3,reward_type_3,ranking_bonus_group
2,91002,5,2500,8,24,0,0,2500,5,0,90006,1003,14,0,1,0,0,31042,2,0
2,91002,6,3000,8,25,0,0,3000,6,0,90006,1003,16,0,1,0,0,31042,2,0
2,91002,7,3500,8,26,0,0,3500,7,0,90006,1003,18,0,1,0,0,31042,2,0
2,91002,8,4000,8,27,0,0,4000,8,0,90006,1003,20,0,1,0,0,31042,2,0
2,91002,9,4500,8,28,0,0,4500,9,0,90006,1003,25,0,1,0,0,31042,2,0
2,91002,-1,5000,8,29,0,0,5000,10,0,90006,1003,30,0,1,0,0,31042,2,0
2,91002,1,500,8,30,0,0,500,1,0,90006,1004,5,0,1,0,0,31018,2,0
2,91002,2,1000,8,31,0,0,1000,2,0,90006,1004,8,0,1,0,0,31018,2,0
2,91002,3,1500,8,32,0,0,1500,3,0,90006,1004,10,0,1,0,0,31018,2,0
2,91002,4,2000,8,33,0,0,2000,4,0,90006,1004,12,0,1,0,0,31018,2,0
2,91002,5,2500,8,34,0,0,2500,5,0,90006,1004,14,0,1,0,0,31018,2,0
2,91002,6,3000,8,35,0,0,3000,6,0,90006,1004,16,0,1,0,0,31018,2,0
2,91002,7,3500,8,36,0,0,3500,7,0,90006,1004,18,0,1,0,0,31018,2,0
2,91002,8,4000,8,37,0,0,4000,8,0,90006,1004,20,0,1,0,0,31018,2,0
2,91002,9,4500,8,38,0,0,4500,9,0,90006,1004,25,0,1,0,0,31018,2,0
2,91002,-1,5000,8,39,0,0,5000,10,0,90006,1004,30,0,1,0,0,31018,2,0
2,91002,1,500,8,40,0,0,500,1,0,90006,1005,5,0,1,0,0,31025,2,0
2,91002,2,1000,8,41,0,0,1000,2,0,90006,1005,8,0,1,0,0,31025,2,0
2,91002,3,1500,8,42,0,0,1500,3,0,90006,1005,10,0,1,0,0,31025,2,0
2,91002,4,2000,8,43,0,0,2000,4,0,90006,1005,12,0,1,0,0,31025,2,0
2,91002,5,2500,8,44,0,0,2500,5,0,90006,1005,14,0,1,0,0,31025,2,0
2,91002,6,3000,8,45,0,0,3000,6,0,90006,1005,16,0,1,0,0,31025,2,0
2,91002,7,3500,8,46,0,0,3500,7,0,90006,1005,18,0,1,0,0,31025,2,0
2,91002,8,4000,8,47,0,0,4000,8,0,90006,1005,20,0,1,0,0,31025,2,0
2,91002,9,4500,8,48,0,0,4500,9,0,90006,1005,25,0,1,0,0,31025,2,0
2,91002,-1,5000,8,49,0,0,5000,10,0,90006,1005,30,0,1,0,0,31025,2,0
2,91002,1,500,8,50,0,0,500,1,0,90006,1006,5,0,1,0,0,31043,2,0
2,91002,2,1000,8,51,0,0,1000,2,0,90006,1006,8,0,1,0,0,31043,2,0
2,91002,3,1500,8,52,0,0,1500,3,0,90006,1006,10,0,1,0,0,31043,2,0
2,91002,4,2000,8,53,0,0,2000,4,0,90006,1006,12,0,1,0,0,31043,2,0
2,91002,5,2500,8,54,0,0,2500,5,0,90006,1006,14,0,1,0,0,31043,2,0
2,91002,6,3000,8,55,0,0,3000,6,0,90006,1006,16,0,1,0,0,31043,2,0
2,91002,7,3500,8,56,0,0,3500,7,0,90006,1006,18,0,1,0,0,31043,2,0
2,91002,8,4000,8,57,0,0,4000,8,0,90006,1006,20,0,1,0,0,31043,2,0
2,91002,9,4500,8,58,0,0,4500,9,0,90006,1006,25,0,1,0,0,31043,2,0
2,91002,-1,5000,8,59,0,0,5000,10,0,90006,1006,30,0,1,0,0,31043,2,0
2,91002,1,500,8,60,0,0,500,1,0,90006,1007,5,0,1,0,0,31022,2,0
2,91002,2,1000,8,61,0,0,1000,2,0,90006,1007,8,0,1,0,0,31022,2,0
2,91002,3,1500,8,62,0,0,1500,3,0,90006,1007,10,0,1,0,0,31022,2,0
2,91002,4,2000,8,63,0,0,2000,4,0,90006,1007,12,0,1,0,0,31022,2,0
2,91002,5,2500,8,64,0,0,2500,5,0,90006,1007,14,0,1,0,0,31022,2,0
2,91002,6,3000,8,65,0,0,3000,6,0,90006,1007,16,0,1,0,0,31022,2,0
2,91002,7,3500,8,66,0,0,3500,7,0,90006,1007,18,0,1,0,0,31022,2,0
2,91002,8,4000,8,67,0,0,4000,8,0,90006,1007,20,0,1,0,0,31022,2,0
2,91002,9,4500,8,68,0,0,4500,9,0,90006,1007,25,0,1,0,0,31022,2,0
2,91002,-1,5000,8,69,0,0,5000,10,0,90006,1007,30,0,1,0,0,31022,2,0
2,91002,1,500,8,70,0,0,500,1,0,90006,1008,5,0,1,0,0,31042,2,0
2,91002,2,1000,8,71,0,0,1000,2,0,90006,1008,8,0,1,0,0,31042,2,0
2,91002,3,1500,8,72,0,0,1500,3,0,90006,1008,10,0,1,0,0,31042,2,0
2,91002,4,2000,8,73,0,0,2000,4,0,90006,1008,12,0,1,0,0,31042,2,0
2,91002,5,2500,8,74,0,0,2500,5,0,90006,1008,14,0,1,0,0,31042,2,0
2,91002,6,3000,8,75,0,0,3000,6,0,90006,1008,16,0,1,0,0,31042,2,0
2,91002,7,3500,8,76,0,0,3500,7,0,90006,1008,18,0,1,0,0,31042,2,0
2,91002,8,4000,8,77,0,0,4000,8,0,90006,1008,20,0,1,0,0,31042,2,0
2,91002,9,4500,8,78,0,0,4500,9,0,90006,1008,25,0,1,0,0,31042,2,0
2,91002,-1,5000,8,79,0,0,5000,10,0,90006,1008,30,0,1,0,0,31042,2,0
2,91002,1,500,8,80,0,0,500,1,0,90006,1009,5,0,1,0,0,31018,2,0
2,91002,2,1000,8,81,0,0,1000,2,0,90006,1009,8,0,1,0,0,31018,2,0
2,91002,3,1500,8,82,0,0,1500,3,0,90006,1009,10,0,1,0,0,31018,2,0
2,91002,4,2000,8,83,0,0,2000,4,0,90006,1009,12,0,1,0,0,31018,2,0
2,91002,5,2500,8,84,0,0,2500,5,0,90006,1009,14,0,1,0,0,31018,2,0
2,91002,6,3000,8,85,0,0,3000,6,0,90006,1009,16,0,1,0,0,31018,2,0
2,91002,7,3500,8,86,0,0,3500,7,0,90006,1009,18,0,1,0,0,31018,2,0
2,91002,8,4000,8,87,0,0,4000,8,0,90006,1009,20,0,1,0,0,31018,2,0
2,91002,9,4500,8,88,0,0,4500,9,0,90006,1009,25,0,1,0,0,31018,2,0
2,91002,-1,5000,8,89,0,0,5000,10,0,90006,1009,30,0,1,0,0,31018,2,0
2,91002,1,500,8,90,0,0,500,1,0,90006,1010,5,0,1,0,0,31025,2,0
2,91002,2,1000,8,91,0,0,1000,2,0,90006,1010,8,0,1,0,0,31025,2,0
2,91002,3,1500,8,92,0,0,1500,3,0,90006,1010,10,0,1,0,0,31025,2,0
2,91002,4,2000,8,93,0,0,2000,4,0,90006,1010,12,0,1,0,0,31025,2,0
2,91002,5,2500,8,94,0,0,2500,5,0,90006,1010,14,0,1,0,0,31025,2,0
2,91002,6,3000,8,95,0,0,3000,6,0,90006,1010,16,0,1,0,0,31025,2,0
2,91002,7,3500,8,96,0,0,3500,7,0,90006,1010,18,0,1,0,0,31025,2,0
2,91002,8,4000,8,97,0,0,4000,8,0,90006,1010,20,0,1,0,0,31025,2,0
2,91002,9,4500,8,98,0,0,4500,9,0,90006,1010,25,0,1,0,0,31025,2,0
2,91002,-1,5000,8,99,0,0,5000,10,0,90006,1010,30,0,1,0,0,31025,2,0
2,91002,1,500,8,100,0,0,500,1,0,90006,1011,5,0,1,0,0,31043,2,0
2,91002,2,1000,8,101,0,0,1000,2,0,90006,1011,8,0,1,0,0,31043,2,0
2,91002,3,1500,8,102,0,0,1500,3,0,90006,1011,10,0,1,0,0,31043,2,0
2,91002,4,2000,8,103,0,0,2000,4,0,90006,1011,12,0,1,0,0,31043,2,0
2,91002,5,2500,8,104,0,0,2500,5,0,90006,1011,14,0,1,0,0,31043,2,0
2,91002,6,3000,8,105,0,0,3000,6,0,90006,1011,16,0,1,0,0,31043,2,0
2,91002,7,3500,8,106,0,0,3500,7,0,90006,1011,18,0,1,0,0,31043,2,0
2,91002,8,4000,8,107,0,0,4000,8,0,90006,1011,20,0,1,0,0,31043,2,0
2,91002,9,4500,8,108,0,0,4500,9,0,90006,1011,25,0,1,0,0,31043,2,0
2,91002,-1,5000,8,109,0,0,5000,10,0,90006,1011,30,0,1,0,0,31043,2,0
2,91002,1,500,8,110,0,0,500,1,0,90006,1012,5,0,1,0,0,31022,2,0
2,91002,2,1000,8,111,0,0,1000,2,0,90006,1012,8,0,1,0,0,31022,2,0
2,91002,3,1500,8,112,0,0,1500,3,0,90006,1012,10,0,1,0,0,31022,2,0
2,91002,4,2000,8,113,0,0,2000,4,0,90006,1012,12,0,1,0,0,31022,2,0
2,91002,5,2500,8,114,0,0,2500,5,0,90006,1012,14,0,1,0,0,31022,2,0
2,91002,6,3000,8,115,0,0,3000,6,0,90006,1012,16,0,1,0,0,31022,2,0
2,91002,7,3500,8,116,0,0,3500,7,0,90006,1012,18,0,1,0,0,31022,2,0
2,91002,8,4000,8,117,0,0,4000,8,0,90006,1012,20,0,1,0,0,31022,2,0
2,91002,9,4500,8,118,0,0,4500,9,0,90006,1012,25,0,1,0,0,31022,2,0
2,91002,-1,5000,8,119,0,0,5000,10,0,90006,1012,30,0,1,0,0,31022,2,0
2,91002,1,500,8,120,0,0,500,1,0,90006,1013,5,0,1,0,0,31042,2,0
2,91002,2,1000,8,121,0,0,1000,2,0,90006,1013,8,0,1,0,0,31042,2,0
2,91002,3,1500,8,122,0,0,1500,3,0,90006,1013,10,0,1,0,0,31042,2,0
2,91002,4,2000,8,123,0,0,2000,4,0,90006,1013,12,0,1,0,0,31042,2,0
2,91002,5,2500,8,124,0,0,2500,5,0,90006,1013,14,0,1,0,0,31042,2,0
2,91002,6,3000,8,125,0,0,3000,6,0,90006,1013,16,0,1,0,0,31042,2,0
2,91002,7,3500,8,126,0,0,3500,7,0,90006,1013,18,0,1,0,0,31042,2,0
2,91002,8,4000,8,127,0,0,4000,8,0,90006,1013,20,0,1,0,0,31042,2,0
2,91002,9,4500,8,128,0,0,4500,9,0,90006,1013,25,0,1,0,0,31042,2,0
2,91002,-1,5000,8,129,0,0,5000,10,0,90006,1013,30,0,1,0,0,31042,2,0
2,91002,1,500,8,130,0,0,500,1,0,90006,1014,5,0,1,0,0,31018,2,0
2,91002,2,1000,8,131,0,0,1000,2,0,90006,1014,8,0,1,0,0,31018,2,0
2,91002,3,1500,8,132,0,0,1500,3,0,90006,1014,10,0,1,0,0,31018,2,0
2,91002,4,2000,8,133,0,0,2000,4,0,90006,1014,12,0,1,0,0,31018,2,0
2,91002,5,2500,8,134,0,0,2500,5,0,90006,1014,14,0,1,0,0,31018,2,0
2,91002,6,3000,8,135,0,0,3000,6,0,90006,1014,16,0,1,0,0,31018,2,0
2,91002,7,3500,8,136,0,0,3500,7,0,90006,1014,18,0,1,0,0,31018,2,0
2,91002,8,4000,8,137,0,0,4000,8,0,90006,1014,20,0,1,0,0,31018,2,0
2,91002,9,4500,8,138,0,0,4500,9,0,90006,1014,25,0,1,0,0,31018,2,0
2,91002,-1,5000,8,139,0,0,5000,10,0,90006,1014,30,0,1,0,0,31018,2,0
2,91002,1,500,8,140,0,0,500,1,0,90006,1015,5,0,1,0,0,31042,2,0
2,91002,2,1000,8,141,0,0,1000,2,0,90006,1015,8,0,1,0,0,31042,2,0
2,91002,3,1500,8,142,0,0,1500,3,0,90006,1015,10,0,1,0,0,31042,2,0
2,91002,4,2000,8,143,0,0,2000,4,0,90006,1015,12,0,1,0,0,31042,2,0
2,91002,5,2500,8,144,0,0,2500,5,0,90006,1015,14,0,1,0,0,31042,2,0
2,91002,6,3000,8,145,0,0,3000,6,0,90006,1015,16,0,1,0,0,31042,2,0
2,91002,7,3500,8,146,0,0,3500,7,0,90006,1015,18,0,1,0,0,31042,2,0
2,91002,8,4000,8,147,0,0,4000,8,0,90006,1015,20,0,1,0,0,31042,2,0
2,91002,9,4500,8,148,0,0,4500,9,0,90006,1015,25,0,1,0,0,31042,2,0
2,91002,-1,5000,8,149,0,0,5000,10,0,90006,1015,30,0,1,0,0,31042,2,0
2,91002,1,300,8,150,0,0,300,1,0,90006,1016,3,0,1,0,0,31043,2,0
2,91002,2,400,8,151,0,0,400,2,0,90006,1016,4,0,1,0,0,31043,2,0
2,91002,3,500,8,152,0,0,500,3,0,90006,1016,5,0,1,0,0,31043,2,0
2,91002,4,750,8,153,0,0,750,4,0,90006,1016,7,0,1,0,0,31043,2,0
2,91002,5,1000,8,154,0,0,1000,5,0,90006,1016,8,0,1,0,0,31043,2,0
2,91002,6,1500,8,155,0,0,1500,6,0,90006,1016,10,0,1,0,0,31043,2,0
2,91002,-1,2000,8,156,0,0,2000,7,0,90006,1016,12,0,1,0,0,31043,2,0
0,94002,1,10000,12,157,0,0,0,1,0,0,1019,0,0,1,0,0,0,0,0
2,94002,2,250000,12,158,0,0,20,2,0,22002,1019,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,159,0,0,40,3,0,22002,1019,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,160,0,0,60,4,0,22002,1019,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,161,0,0,80,5,0,22002,1019,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,162,0,0,0,1,0,0,1020,0,0,1,0,0,0,0,0
2,94002,2,250000,12,163,0,0,20,2,0,22002,1020,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,164,0,0,40,3,0,22002,1020,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,165,0,0,60,4,0,22002,1020,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,166,0,0,80,5,0,22002,1020,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,167,0,0,0,1,0,0,1021,0,0,1,0,0,0,0,0
2,94002,2,250000,12,168,0,0,20,2,0,22002,1021,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,169,0,0,40,3,0,22002,1021,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,170,0,0,60,4,0,22002,1021,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,171,0,0,80,5,0,22002,1021,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,172,0,0,0,1,0,0,1022,0,0,1,0,0,0,0,0
2,94002,2,250000,12,173,0,0,20,2,0,22002,1022,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,174,0,0,40,3,0,22002,1022,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,175,0,0,60,4,0,22002,1022,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,176,0,0,80,5,0,22002,1022,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,177,0,0,0,1,0,0,1023,0,0,1,0,0,0,0,0
2,94002,2,250000,12,178,0,0,20,2,0,22002,1023,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,179,0,0,40,3,0,22002,1023,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,180,0,0,60,4,0,22002,1023,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,181,0,0,80,5,0,22002,1023,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,182,0,0,0,1,0,0,1024,0,0,1,0,0,0,0,0
2,94002,2,250000,12,183,0,0,20,2,0,22002,1024,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,184,0,0,40,3,0,22002,1024,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,185,0,0,60,4,0,22002,1024,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,186,0,0,80,5,0,22002,1024,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,187,0,0,0,1,0,0,1025,0,0,1,0,0,0,0,0
2,94002,2,250000,12,188,0,0,20,2,0,22002,1025,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,189,0,0,40,3,0,22002,1025,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,190,0,0,60,4,0,22002,1025,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,191,0,0,80,5,0,22002,1025,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,192,0,0,0,1,0,0,1026,0,0,1,0,0,0,0,0
2,94002,2,250000,12,193,0,0,20,2,0,22002,1026,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,194,0,0,40,3,0,22002,1026,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,195,0,0,60,4,0,22002,1026,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,196,0,0,80,5,0,22002,1026,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,197,0,0,0,1,0,0,1027,0,0,1,0,0,0,0,0
2,94002,2,250000,12,198,0,0,20,2,0,22002,1027,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,199,0,0,40,3,0,22002,1027,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,200,0,0,60,4,0,22002,1027,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,201,0,0,80,5,0,22002,1027,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,202,0,0,0,1,0,0,1028,0,0,1,0,0,0,0,0
2,94002,2,250000,12,203,0,0,20,2,0,22002,1028,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,204,0,0,40,3,0,22002,1028,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,205,0,0,60,4,0,22002,1028,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,206,0,0,80,5,0,22002,1028,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,207,0,0,0,1,0,0,1029,0,0,1,0,0,0,0,0
2,94002,2,250000,12,208,0,0,20,2,0,22002,1029,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,209,0,0,40,3,0,22002,1029,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,210,0,0,60,4,0,22002,1029,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,211,0,0,80,5,0,22002,1029,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,212,0,0,0,1,0,0,1030,0,0,1,0,0,0,0,0
2,94002,2,250000,12,213,0,0,20,2,0,22002,1030,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,214,0,0,40,3,0,22002,1030,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,215,0,0,60,4,0,22002,1030,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,216,0,0,80,5,0,22002,1030,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,217,0,0,0,1,0,0,1031,0,0,1,0,0,0,0,0
2,94002,2,250000,12,218,0,0,20,2,0,22002,1031,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,219,0,0,40,3,0,22002,1031,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,220,0,0,60,4,0,22002,1031,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,221,0,0,80,5,0,22002,1031,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,222,0,0,0,1,0,0,1032,0,0,1,0,0,0,0,0
2,94002,2,250000,12,223,0,0,20,2,0,22002,1032,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,224,0,0,40,3,0,22002,1032,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,225,0,0,60,4,0,22002,1032,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,226,0,0,80,5,0,22002,1032,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,227,0,0,0,1,0,0,1033,0,0,1,0,0,0,0,0
2,94002,2,250000,12,228,0,0,20,2,0,22002,1033,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,229,0,0,40,3,0,22002,1033,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,230,0,0,60,4,0,22002,1033,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,231,0,0,80,5,0,22002,1033,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,232,0,0,0,1,0,0,1034,0,0,1,0,0,0,0,0
2,94002,2,250000,12,233,0,0,20,2,0,22002,1034,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,234,0,0,40,3,0,22002,1034,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,235,0,0,60,4,0,22002,1034,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,236,0,0,80,5,0,22002,1034,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,237,0,0,0,1,0,0,1035,0,0,1,0,0,0,0,0
2,94002,2,250000,12,238,0,0,20,2,0,22002,1035,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,239,0,0,40,3,0,22002,1035,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,240,0,0,60,4,0,22002,1035,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,241,0,0,80,5,0,22002,1035,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,242,0,0,0,1,0,0,1036,0,0,1,0,0,0,0,0
2,94002,2,250000,12,243,0,0,20,2,0,22002,1036,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,244,0,0,40,3,0,22002,1036,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,245,0,0,60,4,0,22002,1036,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,246,0,0,80,5,0,22002,1036,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,247,0,0,0,1,0,0,1037,0,0,1,0,0,0,0,0
2,94002,2,250000,12,248,0,0,20,2,0,22002,1037,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,249,0,0,40,3,0,22002,1037,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,250,0,0,60,4,0,22002,1037,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,251,0,0,80,5,0,22002,1037,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,252,0,0,0,1,0,0,1038,0,0,1,0,0,0,0,0
2,94002,2,250000,12,253,0,0,20,2,0,22002,1038,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,254,0,0,40,3,0,22002,1038,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,255,0,0,60,4,0,22002,1038,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,256,0,0,80,5,0,22002,1038,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,257,0,0,0,1,0,0,1039,0,0,1,0,0,0,0,0
2,94002,2,250000,12,258,0,0,20,2,0,22002,1039,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,259,0,0,40,3,0,22002,1039,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,260,0,0,60,4,0,22002,1039,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,261,0,0,80,5,0,22002,1039,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,262,0,0,0,1,0,0,1040,0,0,1,0,0,0,0,0
2,94002,2,250000,12,263,0,0,20,2,0,22002,1040,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,264,0,0,40,3,0,22002,1040,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,265,0,0,60,4,0,22002,1040,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,266,0,0,80,5,0,22002,1040,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,267,0,0,0,1,0,0,1041,0,0,1,0,0,0,0,0
2,94002,2,250000,12,268,0,0,20,2,0,22002,1041,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,269,0,0,40,3,0,22002,1041,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,270,0,0,60,4,0,22002,1041,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,271,0,0,80,5,0,22002,1041,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,272,0,0,0,1,0,0,1042,0,0,1,0,0,0,0,0
2,94002,2,250000,12,273,0,0,20,2,0,22002,1042,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,274,0,0,40,3,0,22002,1042,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,275,0,0,60,4,0,22002,1042,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,276,0,0,80,5,0,22002,1042,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,277,0,0,0,1,0,0,1043,0,0,1,0,0,0,0,0
2,94002,2,250000,12,278,0,0,20,2,0,22002,1043,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,279,0,0,40,3,0,22002,1043,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,280,0,0,60,4,0,22002,1043,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,281,0,0,80,5,0,22002,1043,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,282,0,0,0,1,0,0,1044,0,0,1,0,0,0,0,0
2,94002,2,250000,12,283,0,0,20,2,0,22002,1044,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,284,0,0,40,3,0,22002,1044,8,0,1,0,0,22003,2,0
2,94002,4,750000,12,285,0,0,60,4,0,22002,1044,12,0,1,0,0,22003,2,0
2,94002,-1,1000000,12,286,0,0,80,5,0,22002,1044,16,0,1,0,0,22003,2,0
0,94002,1,10000,12,287,0,0,0,1,0,0,1045,0,0,1,0,0,0,0,0
2,94002,2,250000,12,288,0,0,20,2,0,22002,1045,4,0,1,0,0,22003,2,0
2,94002,3,500000,12,289,0,0,40,3,0,22002,1045,8,0,1,0,0,22003,2,0
