enemy_size_5,reward_count_3,enemy_local_position_y_2,enemy_local_position_y_3,wave_bgm,enemy_size_4,enemy_position_x_5,quest_name,reward_group_id,reward_count_1,treasure_type,background,reward_count_4,limit_time,reward_image_3,enemy_size_3,reward_count_5,enemy_position_x_4,unit_id,recommended_level,enemy_size_1,reward_image_5,wave_group_id,rarity_6_quest_id,enemy_local_position_y_5,reward_image_2,enemy_size_2,enemy_local_position_y_4,enemy_position_x_3,enemy_local_position_y_1,enemy_position_x_1,reward_count_2,reward_image_4,enemy_position_x_2,reward_image_1,bg_position
0.8,5,0,0,bgm_M259,0.8,376,"나나카의 해방 퀘스트",222001013,100,1,102011,5,90,117612,0.8,0,188,101301,208,0.8,0,220131001,2200013,0,20004,0.6,0,-1,0,-376,10,117552,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"카스미의 해방 퀘스트",222001014,100,1,102011,5,90,119613,0.8,0,188,101401,280,0.8,0,220141001,2200014,0,20004,0.8,0,-1,0,-376,10,119553,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"미사토의 해방 퀘스트",222001015,100,1,102011,5,90,118582,0.6,0,188,101501,235,0.8,0,220151001,2200015,0,20004,0.8,0,-1,0,-376,10,118552,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"스즈나의 해방 퀘스트",222001016,100,1,102011,5,90,116042,0.8,0,188,101601,178,0.8,0,220161001,2200016,0,20004,0.8,0,-1,0,-376,10,116072,-188,91002,50
0.6,5,0,0,bgm_M259,0.8,376,"카오리의 해방 퀘스트",222001017,100,1,102011,5,90,117551,0.8,0,188,101701,199,0.8,0,220171001,2200017,0,20004,0.8,0,-1,0,-376,10,117581,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"이오의 해방 퀘스트",222001018,100,1,102011,5,90,115615,0.8,0,188,101801,142,0.8,0,220181001,2200018,0,20004,0.8,0,-1,0,-376,10,115225,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"미미의 해방 퀘스트",222001020,100,1,102011,5,90,126013,0.8,0,188,102001,187,0.8,0,220201001,2200020,0,20004,0.8,0,-1,0,-376,10,116043,-188,91002,50
0.6,5,0,0,bgm_M259,0.8,376,"쿠루미의 해방 퀘스트",222001021,100,1,102011,5,90,117191,0.8,0,188,102101,196,0.8,0,220211001,2200021,0,20004,0.8,0,-1,0,-376,10,127101,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"요리의 해방 퀘스트",222001022,100,1,102011,5,90,116372,0.8,0,188,102201,184,0.8,0,220221001,2200022,0,20004,0.8,0,-1,0,-376,10,116312,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"아야네의 해방 퀘스트",222001023,100,1,102011,5,90,115403,0.8,0,188,102301,166,0.8,0,220231001,2200023,0,20004,0.8,0,-1,0,-376,10,115557,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"스즈메의 해방 퀘스트",222001025,100,1,102011,5,90,116462,0.8,0,188,102501,193,0.8,0,220251001,2200025,0,20004,0.8,0,-1,0,-376,10,126373,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"린의 해방 퀘스트",222001026,100,1,102011,5,90,128281,0.8,0,188,102601,229,0.8,0,220261001,2200026,0,20004,0.8,0,-1,0,-376,10,118431,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"에리코의 해방 퀘스트",222001027,100,1,102011,5,90,118342,0.8,0,188,102701,238,0.8,0,220271001,2200027,0,20004,0.8,0,-1,0,-376,10,118492,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"사렌의 해방 퀘스트",222001028,100,1,102011,5,90,126011,0.8,0,188,102801,169,0.8,0,220281001,2200028,0,20004,0.8,0,-1,0,-376,10,115403,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"노조미의 해방 퀘스트",222001029,100,1,102011,5,90,116583,0.8,0,188,102901,190,0.8,0,220291001,2200029,0,20004,0.8,0,-1,0,-376,10,116553,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"니논의 해방 퀘스트",222001030,100,1,102011,5,90,116551,0.8,0,188,103001,172,0.8,0,220301001,2200030,0,20004,0.8,0,-1,0,-376,10,116581,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"시노부의 해방 퀘스트",222001031,100,1,102011,5,90,128043,0.8,0,188,103101,241,0.8,0,220311001,2200031,0,20004,0.8,0,-1,0,-376,10,118013,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"아키노의 해방 퀘스트",222001032,100,1,102011,5,90,126011,0.8,0,188,103201,169,0.8,0,220321001,2200032,0,20004,0.8,0,-1,0,-376,10,115317,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"마히루의 해방 퀘스트",222001033,100,1,102011,5,90,116311,0.8,0,188,103301,175,0.8,0,220331001,2200033,0,20004,0.8,0,-1,0,-376,10,126341,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"유카리의 해방 퀘스트",222001034,100,1,102011,5,90,115402,0.8,0,188,103401,145,0.8,0,220341001,2200034,0,20004,0.8,0,-1,0,-376,10,115585,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"쿄우카의 해방 퀘스트",222001036,100,1,102011,5,90,126223,0.8,0,188,103601,187,0.8,0,220361001,2200036,0,20004,0.8,0,-1,0,-376,10,116193,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"토모의 해방 퀘스트",222001037,100,1,102011,5,90,118583,0.8,0,188,103701,244,0.8,0,220371001,2200037,0,20004,0.8,0,-1,0,-376,10,118553,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"시오리의 해방 퀘스트",222001038,100,1,102011,5,90,119493,0.8,0,188,103801,283,0.8,0,220381001,2200038,0,20004,0.6,0,-1,0,-376,10,119343,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"아오이의 해방 퀘스트",222001040,100,1,102011,5,90,127341,0.8,0,188,104001,202,0.8,0,220401001,2200040,0,20004,0.8,0,-1,0,-376,10,117461,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"치카의 해방 퀘스트",222001042,100,1,102011,5,90,117583,0.8,0,188,104201,217,0.8,0,220421001,2200042,0,20004,0.8,0,-1,0,-376,10,117553,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"마코토의 해방 퀘스트",222001043,100,1,102011,5,90,129043,0.8,0,188,104301,277,0.8,0,220431001,2200043,0,20004,0.8,0,-1,0,-376,10,119013,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"이리야의 해방 퀘스트",222001044,100,1,102011,5,90,118223,0.8,0,188,104401,241,0.8,0,220441001,2200044,0,20004,0.8,0,-1,0,-376,10,118253,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"쿠우카의 해방 퀘스트",222001045,100,1,102011,5,90,118581,0.6,0,188,104501,226,0.8,0,220451001,2200045,0,20004,0.8,0,-1,0,-376,10,118551,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"타마키의 해방 퀘스트",222001046,100,1,102011,5,90,115346,0.8,0,188,104601,157,0.8,0,220461001,2200046,0,20004,0.8,0,-1,0,-376,10,115556,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"쥰의 해방 퀘스트",222001047,100,1,102011,5,90,118584,0.6,0,188,104701,253,0.8,0,220471001,2200047,0,20004,0.8,0,-1,0,-376,10,118554,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"미후유의 해방 퀘스트",222001048,100,1,102011,5,90,125167,0.8,0,188,104801,160,0.8,0,220481001,2200048,0,20004,0.8,0,-1,0,-376,10,115316,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"시즈루의 해방 퀘스트",222001049,100,1,102011,5,90,115587,0.8,0,188,104901,163,0.8,0,220491001,2200049,0,20004,0.8,0,-1,0,-376,10,125017,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"미사키의 해방 퀘스트",222001050,100,1,102011,5,90,117223,0.8,0,188,105001,214,0.8,0,220501001,2200050,0,20004,0.8,0,-1,0,-376,10,127193,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"미츠키의 해방 퀘스트",222001051,100,1,102011,5,90,118014,0.6,0,188,105101,250,0.8,0,220511001,2200051,0,20004,0.6,0,-1,0,-376,10,118224,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"리마의 해방 퀘스트",222001052,100,1,102011,5,90,115165,0.8,0,188,105201,139,0.8,0,220521001,2200052,0,20004,0.8,0,-1,0,-376,10,125314,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"모니카의 해방 퀘스트",222001053,100,1,102011,5,90,127342,0.6,0,188,105301,211,0.8,0,220531001,2200053,0,20004,0.8,0,-1,0,-376,10,127462,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"츠무기의 해방 퀘스트",222001054,100,1,102011,5,90,119582,0.8,0,188,105401,271,0.8,0,220541001,2200054,0,20004,0.8,0,-1,0,-376,10,119552,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"아유미의 해방 퀘스트",222001055,100,1,102011,5,90,128314,0.8,0,188,105501,256,0.8,0,220551001,2200055,0,20004,0.8,0,-1,0,-376,10,118494,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"루카의 해방 퀘스트",222001056,100,1,102011,5,90,12004033,0.6,0,188,105601,304,0.8,0,220561001,2200056,0,20004,0.8,0,-1,0,-376,10,11001033,-188,91002,50
0.6,5,0,0,bgm_M259,0.8,376,"지타의 해방 퀘스트",222001057,100,1,102011,5,90,127012,0.8,0,188,105701,205,0.8,0,220571001,2200057,0,20004,0.8,0,-1,0,-376,10,127162,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"페코린느의 해방 퀘스트",222001058,100,1,102011,5,90,115554,0.8,0,188,105801,130,0.8,0,220581001,2200058,0,20004,0.8,0,-1,0,-376,10,125014,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"콧코로의 해방 퀘스트",222001059,100,1,102011,5,90,115584,0.8,0,188,105901,130,0.8,0,220591001,2200059,0,20004,0.8,0,-1,0,-376,10,125164,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"캬루의 해방 퀘스트",222001060,100,1,102011,5,90,115614,0.8,0,188,106001,130,0.8,0,220601001,2200060,0,20004,0.8,0,-1,0,-376,10,125224,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"무이미의 해방 퀘스트",222001061,100,1,102011,5,90,119341,0.8,0,188,106101,265,0.8,0,220611001,2200061,0,20004,0.8,0,-1,0,-376,10,119461,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"아리사의 해방 퀘스트",222001063,100,1,102011,5,90,117492,0.8,0,188,106301,211,0.8,0,220631001,2200063,0,20004,0.6,0,-1,0,-376,10,127282,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"셰피의 해방 퀘스트",222001064,100,1,102011,5,90,118343,0.8,0,188,106401,247,0.8,0,220641001,2200064,0,20004,0.6,0,-1,0,-376,10,118403,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"카야의 해방 퀘스트",222001065,100,1,102011,5,90,119554,0.6,0,188,106501,289,0.8,0,220651001,2200065,0,20004,0.8,0,-1,0,-376,10,119584,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"이노리의 해방 퀘스트",222001066,100,1,102011,5,90,129194,0.6,0,188,106601,286,0.8,0,220661001,2200066,0,20004,0.8,0,-1,0,-376,10,119014,-188,91002,50
0.8,5,0,0,bgm_M259,0.6,376,"크리스티나의 해방 퀘스트",222001071,100,1,102011,5,90,119011,0.8,0,188,107101,259,0.8,0,220711001,2200071,0,20004,0.8,0,-1,0,-376,10,119221,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"페코린느(여름)의 해방 퀘스트",222001075,100,1,102011,5,90,118011,0.8,0,188,107501,223,0.8,0,220751001,2200075,0,20004,0.8,0,-1,0,-376,10,118251,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"콧코로(여름)의 해방 퀘스트",222001076,100,1,102011,5,90,128161,0.8,0,188,107601,223,0.8,0,220761001,2200076,0,20004,0.8,0,-1,0,-376,10,118221,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"캬루(여름)의 해방 퀘스트",222001078,100,1,102011,5,90,118221,0.8,0,188,107801,223,0.8,0,220781001,2200078,0,20004,0.8,0,-1,0,-376,10,118251,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"히요리(새해)의 해방 퀘스트",222001087,100,1,102011,5,90,11010032,0.6,0,188,108701,295,0.8,0,220871001,2200087,0,20004,0.8,0,-1,0,-376,10,11001032,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"유이(새해)의 해방 퀘스트",222001088,100,1,102011,5,90,11025032,0.8,0,188,108801,295,0.8,0,220881001,2200088,0,20004,0.6,0,-1,0,-376,10,11022032,-188,91002,50
0.8,5,0,0,bgm_M259,0.8,376,"레이(새해)의 해방 퀘스트",222001089,100,1,102011,5,90,11001032,0.6,0,188,108901,295,0.8,0,220891001,2200089,0,20004,0.8,0,-1,0,-376,10,11022032,-188,91002,50
