abyss_id,clear_reward_group,use_ticket_num,limit_time,condition_boss_id,release_boss_id,score_rate,drop_reward_group,first_clear_score_bonus,boss_id,wave_group_id,difficulty
92410,924102301,1,90,0,92410320,1.0,924103301,500000000,92410310,924103100,1
92410,924102302,1,90,92410310,92410330,2.0,924103302,1000000000,92410320,924103200,2
92410,924102303,1,90,92410320,92410340,3.0,924103303,1500000000,92410330,924103300,3
92410,924102304,1,90,92410330,0,4.0,924103304,0,92410340,924103400,4
92411,924112101,1,90,0,92411120,1.0,924113101,500000000,92411110,924111100,1
92411,924112102,1,90,92411110,92411130,2.0,924113102,1000000000,92411120,924111200,2
92411,924112103,1,90,92411120,92411140,3.0,924113103,1500000000,92411130,924111300,3
92411,924112104,1,90,92411130,0,4.0,924113104,0,92411140,924111400,4
92411,924112201,1,90,0,92411220,1.0,924113201,500000000,92411210,924112100,1
92411,924112202,1,90,92411210,92411230,2.0,924113202,1000000000,92411220,924112200,2
92411,924112203,1,90,92411220,92411240,3.0,924113203,1500000000,92411230,924112300,3
92411,924112204,1,90,92411230,0,4.0,924113204,0,92411240,924112400,4
92411,924112301,1,90,0,92411320,1.0,924113301,500000000,92411310,924113100,1
92411,924112302,1,90,92411310,92411330,2.0,924113302,1000000000,92411320,924113200,2
92411,924112303,1,90,92411320,92411340,3.0,924113303,1500000000,92411330,924113300,3
92411,924112304,1,90,92411330,0,4.0,924113304,0,92411340,924113400,4
92412,924122101,1,90,0,92412120,1.0,924123101,500000000,92412110,924121100,1
92412,924122102,1,90,92412110,92412130,2.0,924123102,1000000000,92412120,924121200,2
92412,924122103,1,90,92412120,92412140,3.0,924123103,1500000000,92412130,924121300,3
92412,924122104,1,90,92412130,0,4.0,924123104,0,92412140,924121400,4
92412,924122201,1,90,0,92412220,1.0,924123201,500000000,92412210,924122100,1
92412,924122202,1,90,92412210,92412230,2.0,924123202,1000000000,92412220,924122200,2
92412,924122203,1,90,92412220,92412240,3.0,924123203,1500000000,92412230,924122300,3
92412,924122204,1,90,92412230,0,4.0,924123204,0,92412240,924122400,4
92412,924122301,1,90,0,92412320,1.0,924123301,500000000,92412310,924123100,1
92412,924122302,1,90,92412310,92412330,2.0,924123302,1000000000,92412320,924123200,2
92412,924122303,1,90,92412320,92412340,3.0,924123303,1500000000,92412330,924123300,3
92412,924122304,1,90,92412330,0,4.0,924123304,0,92412340,924123400,4
92414,924142101,1,90,0,92414120,1.0,924143101,500000000,92414110,924141100,1
92414,924142102,1,90,92414110,92414130,2.0,924143102,1000000000,92414120,924141200,2
92414,924142103,1,90,92414120,92414140,3.0,924143103,1500000000,92414130,924141300,3
92414,924142104,1,90,92414130,0,4.0,924143104,0,92414140,924141400,4
92414,924142201,1,90,0,92414220,1.0,924143201,500000000,92414210,924142100,1
92414,924142202,1,90,92414210,92414230,2.0,924143202,1000000000,92414220,924142200,2
92414,924142203,1,90,92414220,92414240,3.0,924143203,1500000000,92414230,924142300,3
92414,924142204,1,90,92414230,0,4.0,924143204,0,92414240,924142400,4
92414,924142301,1,90,0,92414320,1.0,924143301,500000000,92414310,924143100,1
92414,924142302,1,90,92414310,92414330,2.0,924143302,1000000000,92414320,924143200,2
92414,924142303,1,90,92414320,92414340,3.0,924143303,1500000000,92414330,924143300,3
92414,924142304,1,90,92414330,0,4.0,924143304,0,92414340,924143400,4
92413,925012101,1,90,0,92501120,1.0,925013101,500000000,92501110,925011100,1
92413,925012102,1,90,92501110,92501130,2.0,925013102,1000000000,92501120,925011200,2
92413,925012103,1,90,92501120,92501140,3.0,925013103,1500000000,92501130,925011300,3
92413,925012104,1,90,92501130,0,4.0,925013104,0,92501140,925011400,4
92413,925012201,1,90,0,92501220,1.0,925013201,500000000,92501210,925012100,1
92413,925012202,1,90,92501210,92501230,2.0,925013202,1000000000,92501220,925012200,2
92413,925012203,1,90,92501220,92501240,3.0,925013203,1500000000,92501230,925012300,3
92413,925012204,1,90,92501230,0,4.0,925013204,0,92501240,925012400,4
92413,925012301,1,90,0,92501320,1.0,925013301,500000000,92501310,925013100,1
92413,925012302,1,90,92501310,92501330,2.0,925013302,1000000000,92501320,925013200,2
92413,925012303,1,90,92501320,92501340,3.0,925013303,1500000000,92501330,925013300,3
92413,925012304,1,90,92501330,0,4.0,925013304,0,92501340,925013400,4
