reward_type_1,reward_num_1,reward_id_2,reward_num_3,rank_to,rank_from,reward_type_3,id,reward_type_2,reward_type_5,reward_id_1,reward_num_2,reward_id_4,reward_id_5,reward_num_4,reward_num_5,reward_type_4,reward_id_3
8,30,0,0,10600,10600,0,35,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10700,10700,0,36,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10800,10800,0,37,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,10900,10900,0,38,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11000,11000,0,39,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11100,11100,0,40,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11200,11200,0,41,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11300,11300,0,42,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11400,11400,0,43,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11500,11500,0,44,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11600,11600,0,45,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11700,11700,0,46,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11800,11800,0,47,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,11900,11900,0,48,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12000,12000,0,49,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12100,12100,0,50,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12200,12200,0,51,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12300,12300,0,52,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12400,12400,0,53,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12500,12500,0,54,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12600,12600,0,55,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12700,12700,0,56,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12800,12800,0,57,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,12900,12900,0,58,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13000,13000,0,59,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13100,13100,0,60,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13200,13200,0,61,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13300,13300,0,62,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13400,13400,0,63,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13500,13500,0,64,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13600,13600,0,65,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13700,13700,0,66,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13800,13800,0,67,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,13900,13900,0,68,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14000,14000,0,69,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14100,14100,0,70,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14200,14200,0,71,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14300,14300,0,72,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14400,14400,0,73,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14500,14500,0,74,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14600,14600,0,75,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14700,14700,0,76,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14800,14800,0,77,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,14900,14900,0,78,0,0,91002,0,0,0,0,0,0,0
8,30,0,0,15000,15000,0,79,0,0,91002,0,0,0,0,0,0,0
