category,icon_id,count_from,count_to,description,type,id,effect_id
2,10,0,0,"【요리】이동할 때에 요리 칸을 스킵할 수 있다",1,43,52032
1,99,0,0,"최대 ｎ마일을 획득한다",3,1001,1
1,99,0,0,"주사위를 1번 다시 던질 수 있다",3,1002,2
1,99,0,0,"주사위를 1번 다시 던질 수 있다_유효 턴2",3,1003,3
1,126501,0,0,"【동료】최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",3,11001,1001
1,105301,0,0,"【동료】최대 1000마일을 획득한다",3,11002,1002
1,126401,0,0,"【동료】요리 1개를 획득한다",3,11003,1003
1,100501,0,0,"【동료】주사위를 1번 다시 던질 수 있다",3,11004,1004
1,101301,0,0,"【동료】주사위를 2번 다시 던질 수 있다",3,11005,1005
1,104301,0,0,"【동료】나온 숫자가 4인 주사위를 동시에 던져 어느 한쪽을 선택할 수 있다",3,11006,1006
1,102701,0,0,"【동료】나온 숫자가 3인 주사위를 동시에 던져 어느 한쪽을 선택할 수 있다",3,11007,1007
1,100901,0,0,"【동료】나온 숫자의 합이 7 이상이 될 때까지 주사위를 추가로 던질 수 있다",3,11008,1008
1,105101,0,0,"【동료】최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",3,11009,1009
1,101801,0,0,"【동료】최대 1000마일을 획득한다",3,11010,1010
1,129701,0,0,"【동료】주사위의 앞면과 뒷면 중 어느 쪽을 적용할지 선택할 수 있다",3,11011,1011
1,101601,0,0,"【동료】주사위를 1번 다시 던질 수 있다",3,11012,1012
1,105601,0,0,"【동료】주사위를 2번 다시 던질 수 있다",3,11013,1013
1,102001,0,0,"【동료】나온 숫자가 3인 주사위를 동시에 던져 어느 한쪽을 선택할 수 있다",3,11014,1014
1,129601,0,0,"【동료】나온 숫자의 합이 7 이상이 될 때까지 주사위를 추가로 던질 수 있다",3,11015,1015
1,100401,0,0,"【동료】나온 숫자가 홀수인 경우, 라이벌을 1턴 쉬게 할 수 있다",3,11016,1016
1,127701,0,0,"【동료】나온 숫자가 짝수인 경우, 1칸 더 많이 나아간다",3,11017,1017
1,127801,0,0,"【동료】나온 숫자가 홀수인 경우, 라이벌을 1턴 쉬게 할 수 있다",3,11018,1018
1,104801,0,0,"【동료】최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",3,11019,1019
1,104701,0,0,"【동료】주사위를 2번 다시 던질 수 있다",3,11020,1020
1,105001,0,0,"【동료】나온 숫자의 합이 7 이상이 될 때까지 주사위를 추가로 던질 수 있다",3,11021,1021
1,103201,0,0,"【동료】최대 2000마일을 획득한다",3,11022,1022
1,130901,0,0,"【동료】추첨권을 1장 획득한다",3,11023,1023
1,102501,0,0,"【동료】요리 1개를 획득한다",3,11024,1024
1,100801,0,0,"【동료】주사위의 앞면과 뒷면 중 어느 쪽을 적용할지 선택할 수 있다",3,11025,1025
1,123301,0,0,"【동료】나온 숫자가 4인 주사위를 동시에 던져 어느 한쪽을 선택할 수 있다",3,11026,1026
1,104601,0,0,"【동료】최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",3,11027,1027
1,118101,0,0,"【동료】주사위를 2번 다시 던질 수 있다",3,11028,1028
1,103401,0,0,"【동료】나온 숫자의 합이 7 이상이 될 때까지 주사위를 추가로 던질 수 있다",3,11029,1029
1,118001,0,0,"【동료】최대 2000마일을 획득한다",3,11030,1030
1,102801,0,0,"【동료】추첨권을 1장 획득한다",3,11031,1031
1,100201,0,0,"【동료】요리 1개를 획득한다",3,11032,1032
1,101201,0,0,"【동료】나온 숫자가 홀수인 경우, 1칸 더 많이 나아간다",3,11033,1033
1,118201,0,0,"【동료】주사위를 1번 다시 던질 수 있다",3,11034,1034
1,106101,0,0,"【동료】나온 숫자의 합이 7 이상이 될 때까지 주사위를 추가로 던질 수 있다",3,11035,1035
1,103101,0,0,"【동료】나온 숫자가 4인 주사위를 동시에 던져 어느 한쪽을 선택할 수 있다",3,11036,1036
1,103301,0,0,"【동료】최대 50％ 할인 확정 상점을 연다(1품목 100％ 할인 존재)",3,11037,1037
1,103601,0,0,"【동료】최대 2000마일을 획득한다",3,11038,1038
1,133001,0,0,"【동료】추첨권을 1장 획득한다",3,11039,1039
1,133101,0,0,"【동료】요리 1개를 획득한다",3,11040,1040
