promotion_level,unit_id,accuracy,physical_penetrate,hp_recovery_rate,physical_critical,magic_critical,magic_def,hp,wave_energy_recovery,dodge,life_steal,energy_reduce_rate,def,wave_hp_recovery,energy_recovery_rate,magic_str,magic_penetrate,atk
27,100101,62.0,0.0,20.0,1513.0,0.0,313.0,8440.0,255.0,20.0,9.0,15.0,387.0,2045.0,37.0,0.0,0.0,17449.0
28,100101,62.0,0.0,20.0,1538.0,0.0,326.0,9225.0,255.0,20.0,9.0,15.0,400.0,2045.0,37.0,0.0,0.0,19454.0
29,100101,62.0,0.0,20.0,1571.0,0.0,341.0,10010.0,255.0,20.0,9.0,15.0,415.0,2045.0,37.0,0.0,0.0,21599.0
30,100101,62.0,0.0,20.0,1614.0,0.0,366.0,10270.0,255.0,20.0,9.0,15.0,440.0,2045.0,37.0,0.0,0.0,23844.0
31,100101,62.0,0.0,20.0,1657.0,0.0,376.0,10795.0,255.0,20.0,9.0,15.0,450.0,2045.0,37.0,0.0,0.0,26318.0
32,100101,62.0,0.0,20.0,1690.0,0.0,376.0,11845.0,255.0,20.0,9.0,15.0,450.0,2045.0,37.0,0.0,0.0,28948.0
33,100101,62.0,0.0,20.0,1729.0,0.0,387.0,12370.0,255.0,20.0,9.0,15.0,461.0,2045.0,37.0,0.0,0.0,31669.0
34,100101,62.0,0.0,20.0,1775.0,0.0,409.0,12370.0,255.0,20.0,9.0,15.0,483.0,2045.0,37.0,0.0,0.0,34498.0
35,100101,62.0,0.0,20.0,1821.0,0.0,431.0,12370.0,255.0,20.0,9.0,15.0,505.0,2045.0,37.0,0.0,0.0,37455.0
2,100201,0.0,0.0,0.0,0.0,0.0,2.0,55.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,23.0,0.0,0.0
3,100201,0.0,0.0,0.0,0.0,0.0,8.0,150.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,81.0,0.0,0.0
4,100201,0.0,0.0,10.0,0.0,0.0,17.0,325.0,5.0,0.0,0.0,0.0,4.0,175.0,0.0,172.0,0.0,0.0
5,100201,0.0,0.0,10.0,0.0,0.0,33.0,505.0,15.0,0.0,0.0,0.0,4.0,175.0,0.0,349.0,0.0,0.0
6,100201,0.0,0.0,25.0,0.0,0.0,52.0,1035.0,15.0,0.0,0.0,0.0,12.0,175.0,0.0,522.0,0.0,0.0
7,100201,0.0,0.0,30.0,0.0,0.0,66.0,1395.0,85.0,0.0,0.0,0.0,14.0,175.0,0.0,790.0,0.0,0.0
8,100201,0.0,0.0,75.0,0.0,0.0,88.0,1675.0,85.0,0.0,0.0,0.0,19.0,175.0,4.0,1089.0,0.0,0.0
9,100201,0.0,0.0,110.0,0.0,6.0,109.0,2130.0,100.0,0.0,0.0,5.0,25.0,175.0,9.0,1389.0,0.0,0.0
10,100201,0.0,0.0,115.0,0.0,30.0,126.0,2490.0,135.0,0.0,0.0,10.0,28.0,395.0,14.0,1758.0,0.0,0.0
11,100201,0.0,0.0,129.0,0.0,53.0,145.0,2910.0,151.0,0.0,0.0,10.0,35.0,735.0,14.0,2159.0,0.0,0.0
12,100201,0.0,0.0,138.0,0.0,63.0,171.0,3430.0,177.0,0.0,0.0,12.0,56.0,955.0,17.0,2471.0,0.0,0.0
13,100201,0.0,0.0,140.0,0.0,63.0,209.0,3810.0,199.0,0.0,0.0,14.0,94.0,1175.0,20.0,2705.0,0.0,0.0
14,100201,0.0,0.0,146.0,0.0,71.0,251.0,3990.0,199.0,0.0,0.0,16.0,133.0,1295.0,20.0,2982.0,0.0,0.0
15,100201,0.0,0.0,151.0,0.0,81.0,293.0,4130.0,199.0,0.0,0.0,18.0,168.0,1395.0,20.0,3310.0,0.0,0.0
16,100201,0.0,0.0,157.0,0.0,81.0,336.0,4330.0,199.0,0.0,0.0,18.0,208.0,1495.0,20.0,3658.0,0.0,0.0
17,100201,0.0,0.0,158.0,0.0,81.0,384.0,4510.0,214.0,3.0,0.0,18.0,250.0,1495.0,20.0,4008.0,0.0,0.0
18,100201,0.0,0.0,158.0,0.0,81.0,441.0,4915.0,229.0,6.0,0.0,18.0,295.0,1495.0,20.0,4353.0,0.0,0.0
19,100201,0.0,0.0,158.0,0.0,81.0,506.0,5560.0,229.0,6.0,0.0,18.0,349.0,1590.0,20.0,4719.0,0.0,0.0
20,100201,0.0,0.0,158.0,0.0,93.0,568.0,6145.0,229.0,6.0,0.0,18.0,406.0,1685.0,20.0,5176.0,0.0,0.0
21,100201,0.0,0.0,158.0,0.0,93.0,646.0,6765.0,229.0,6.0,0.0,18.0,472.0,1685.0,20.0,5618.0,0.0,0.0
22,100201,0.0,0.0,158.0,0.0,93.0,725.0,8080.0,229.0,6.0,0.0,18.0,541.0,1685.0,20.0,6142.0,0.0,0.0
23,100201,0.0,0.0,158.0,0.0,93.0,810.0,9855.0,229.0,6.0,0.0,18.0,619.0,1685.0,20.0,6707.0,0.0,0.0
24,100201,0.0,0.0,158.0,0.0,93.0,901.0,11380.0,229.0,6.0,0.0,18.0,704.0,1685.0,20.0,7347.0,0.0,0.0
25,100201,0.0,0.0,158.0,0.0,103.0,987.0,12675.0,229.0,6.0,0.0,18.0,784.0,1685.0,20.0,8212.0,0.0,0.0
26,100201,0.0,0.0,158.0,0.0,118.0,1062.0,13965.0,229.0,6.0,0.0,18.0,853.0,1685.0,20.0,9328.0,0.0,0.0
27,100201,0.0,0.0,158.0,0.0,128.0,1132.0,15535.0,229.0,6.0,0.0,18.0,920.0,1685.0,20.0,10563.0,0.0,0.0
28,100201,0.0,0.0,158.0,0.0,138.0,1203.0,17300.0,229.0,6.0,0.0,18.0,990.0,1685.0,20.0,11885.0,0.0,0.0
29,100201,0.0,0.0,158.0,0.0,148.0,1279.0,19295.0,229.0,6.0,0.0,18.0,1066.0,1685.0,20.0,13290.0,0.0,0.0
30,100201,0.0,0.0,158.0,0.0,158.0,1360.0,21525.0,229.0,6.0,0.0,18.0,1147.0,1685.0,20.0,14765.0,0.0,0.0
31,100201,0.0,0.0,158.0,0.0,168.0,1443.0,23915.0,229.0,6.0,0.0,18.0,1230.0,1685.0,20.0,16312.0,0.0,0.0
32,100201,0.0,0.0,158.0,0.0,178.0,1528.0,26460.0,229.0,6.0,0.0,18.0,1315.0,1685.0,20.0,17930.0,0.0,0.0
33,100201,0.0,0.0,158.0,0.0,188.0,1615.0,29250.0,229.0,6.0,0.0,18.0,1402.0,1685.0,20.0,19645.0,0.0,0.0
34,100201,0.0,0.0,158.0,0.0,198.0,1704.0,32450.0,229.0,6.0,0.0,18.0,1491.0,1685.0,20.0,21457.0,0.0,0.0
35,100201,0.0,0.0,158.0,0.0,208.0,1794.0,36060.0,229.0,6.0,0.0,18.0,1581.0,1685.0,20.0,23342.0,0.0,0.0
2,100301,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,2.0,75.0,0.0,0.0,0.0,22.0
3,100301,0.0,0.0,0.0,0.0,0.0,2.0,310.0,0.0,0.0,0.0,0.0,6.0,125.0,0.0,0.0,0.0,71.0
4,100301,0.0,0.0,0.0,0.0,0.0,4.0,685.0,10.0,0.0,0.0,0.0,11.0,155.0,0.0,0.0,0.0,176.0
5,100301,0.0,0.0,5.0,0.0,0.0,11.0,1435.0,20.0,0.0,0.0,0.0,20.0,155.0,0.0,0.0,0.0,289.0
6,100301,0.0,0.0,5.0,0.0,0.0,13.0,2300.0,35.0,0.0,0.0,0.0,31.0,245.0,0.0,0.0,0.0,499.0
7,100301,0.0,0.0,5.0,0.0,0.0,15.0,3270.0,35.0,0.0,0.0,0.0,43.0,715.0,0.0,0.0,0.0,746.0
8,100301,0.0,0.0,5.0,0.0,0.0,23.0,4025.0,50.0,0.0,3.0,0.0,57.0,715.0,0.0,0.0,0.0,1040.0
9,100301,0.0,0.0,5.0,20.0,0.0,31.0,4630.0,65.0,0.0,7.0,0.0,71.0,1115.0,9.0,0.0,0.0,1353.0
10,100301,0.0,0.0,30.0,50.0,0.0,40.0,4990.0,65.0,5.0,12.0,0.0,80.0,1115.0,18.0,0.0,0.0,1729.0
11,100301,13.0,0.0,40.0,88.0,0.0,49.0,5410.0,65.0,7.0,17.0,0.0,88.0,1115.0,18.0,0.0,0.0,2147.0
12,100301,29.0,0.0,40.0,130.0,0.0,56.0,6180.0,65.0,7.0,17.0,0.0,98.0,1115.0,21.0,0.0,0.0,2581.0
13,100301,42.0,0.0,40.0,163.0,0.0,66.0,6670.0,98.0,7.0,17.0,0.0,112.0,1115.0,24.0,0.0,0.0,3026.0
14,100301,42.0,0.0,40.0,214.0,0.0,76.0,7050.0,131.0,7.0,17.0,0.0,123.0,1115.0,24.0,0.0,0.0,3571.0
15,100301,42.0,0.0,40.0,280.0,0.0,91.0,7420.0,131.0,7.0,17.0,0.0,142.0,1115.0,24.0,0.0,0.0,4098.0
16,100301,45.0,0.0,40.0,370.0,0.0,99.0,7560.0,143.0,7.0,17.0,0.0,156.0,1115.0,24.0,0.0,0.0,4716.0
17,100301,48.0,0.0,40.0,467.0,0.0,105.0,7750.0,143.0,7.0,17.0,0.0,170.0,1115.0,24.0,0.0,0.0,5390.0
18,100301,48.0,0.0,40.0,591.0,0.0,114.0,8015.0,143.0,7.0,17.0,0.0,179.0,1115.0,24.0,0.0,0.0,6136.0
19,100301,48.0,0.0,40.0,730.0,0.0,126.0,8340.0,143.0,7.0,17.0,0.0,191.0,1115.0,24.0,0.0,0.0,6947.0
20,100301,48.0,0.0,40.0,849.0,0.0,138.0,8665.0,143.0,7.0,17.0,0.0,213.0,1115.0,24.0,0.0,0.0,7816.0
21,100301,48.0,0.0,40.0,980.0,0.0,149.0,8950.0,143.0,7.0,17.0,0.0,233.0,1115.0,24.0,0.0,0.0,8795.0
22,100301,48.0,0.0,40.0,1098.0,0.0,162.0,9165.0,143.0,7.0,17.0,0.0,249.0,1115.0,24.0,0.0,0.0,9978.0
23,100301,48.0,0.0,40.0,1169.0,0.0,181.0,9510.0,143.0,7.0,17.0,0.0,273.0,1115.0,24.0,0.0,0.0,11268.0
24,100301,48.0,0.0,40.0,1230.0,0.0,203.0,10190.0,143.0,7.0,17.0,0.0,296.0,1115.0,24.0,0.0,0.0,12629.0
25,100301,48.0,0.0,40.0,1293.0,0.0,222.0,10710.0,143.0,7.0,17.0,0.0,310.0,1115.0,24.0,0.0,0.0,14227.0
26,100301,48.0,0.0,40.0,1332.0,0.0,231.0,11535.0,143.0,7.0,17.0,0.0,316.0,1115.0,24.0,0.0,0.0,16038.0
27,100301,48.0,0.0,40.0,1356.0,0.0,238.0,12780.0,143.0,7.0,17.0,0.0,321.0,1115.0,24.0,0.0,0.0,17934.0
28,100301,48.0,0.0,40.0,1380.0,0.0,245.0,14025.0,143.0,7.0,17.0,0.0,326.0,1115.0,24.0,0.0,0.0,19958.0
29,100301,48.0,0.0,40.0,1405.0,0.0,260.0,15210.0,143.0,7.0,17.0,0.0,341.0,1115.0,24.0,0.0,0.0,22063.0
30,100301,48.0,0.0,40.0,1431.0,0.0,290.0,16130.0,143.0,7.0,17.0,0.0,371.0,1115.0,24.0,0.0,0.0,24192.0
31,100301,48.0,0.0,40.0,1457.0,0.0,305.0,17315.0,143.0,7.0,17.0,0.0,386.0,1115.0,24.0,0.0,0.0,26550.0
32,100301,48.0,0.0,40.0,1483.0,0.0,305.0,18865.0,143.0,7.0,17.0,0.0,386.0,1115.0,24.0,0.0,0.0,29128.0
33,100301,48.0,0.0,40.0,1508.0,0.0,305.0,20515.0,143.0,7.0,17.0,0.0,386.0,1115.0,24.0,0.0,0.0,31789.0
34,100301,48.0,0.0,40.0,1532.0,0.0,320.0,22000.0,143.0,7.0,17.0,0.0,401.0,1115.0,24.0,0.0,0.0,34482.0
35,100301,48.0,0.0,40.0,1556.0,0.0,335.0,23485.0,143.0,7.0,17.0,0.0,416.0,1115.0,24.0,0.0,0.0,37354.0
2,100401,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.0,1.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,10.0
3,100401,0.0,0.0,0.0,0.0,0.0,0.0,185.0,25.0,2.0,0.0,0.0,5.0,200.0,0.0,0.0,0.0,58.0
4,100401,0.0,0.0,0.0,0.0,0.0,4.0,475.0,50.0,4.0,0.0,0.0,10.0,360.0,0.0,0.0,0.0,135.0
5,100401,0.0,0.0,0.0,0.0,0.0,10.0,985.0,80.0,7.0,0.0,0.0,17.0,520.0,0.0,0.0,0.0,243.0
6,100401,0.0,0.0,0.0,0.0,0.0,14.0,1515.0,95.0,11.0,3.0,0.0,25.0,820.0,0.0,0.0,0.0,429.0
7,100401,0.0,0.0,0.0,0.0,0.0,20.0,1835.0,120.0,15.0,6.0,0.0,34.0,1425.0,0.0,0.0,0.0,674.0
8,100401,0.0,0.0,0.0,10.0,0.0,32.0,2735.0,145.0,15.0,6.0,0.0,48.0,1985.0,9.0,0.0,0.0,912.0
9,100401,0.0,0.0,0.0,30.0,0.0,48.0,3480.0,145.0,22.0,6.0,5.0,67.0,1985.0,23.0,10.0,0.0,1157.0
10,100401,0.0,0.0,15.0,60.0,0.0,68.0,4330.0,145.0,27.0,6.0,10.0,87.0,1985.0,28.0,20.0,0.0,1392.0
11,100401,3.0,0.0,35.0,86.0,0.0,88.0,5030.0,145.0,32.0,6.0,10.0,105.0,1985.0,28.0,20.0,0.0,1695.0
12,100401,6.0,0.0,55.0,108.0,0.0,106.0,5430.0,145.0,39.0,6.0,10.0,126.0,2085.0,28.0,20.0,0.0,2037.0
13,100401,6.0,0.0,55.0,151.0,0.0,125.0,5630.0,170.0,41.0,6.0,10.0,155.0,2285.0,28.0,20.0,0.0,2425.0
14,100401,6.0,0.0,57.0,215.0,0.0,144.0,5830.0,170.0,41.0,6.0,10.0,189.0,2285.0,28.0,20.0,0.0,2845.0
15,100401,9.0,0.0,57.0,289.0,0.0,167.0,5830.0,170.0,43.0,6.0,12.0,212.0,2285.0,28.0,20.0,0.0,3314.0
16,100401,17.0,0.0,57.0,378.0,0.0,190.0,5830.0,170.0,45.0,6.0,12.0,232.0,2385.0,28.0,20.0,0.0,3815.0
17,100401,22.0,0.0,57.0,465.0,0.0,209.0,5930.0,170.0,45.0,6.0,12.0,263.0,2535.0,28.0,20.0,0.0,4337.0
18,100401,22.0,0.0,57.0,573.0,0.0,237.0,5990.0,170.0,50.0,6.0,12.0,291.0,2685.0,28.0,20.0,0.0,4884.0
19,100401,22.0,0.0,57.0,655.0,0.0,266.0,6085.0,170.0,52.0,6.0,12.0,323.0,2685.0,28.0,20.0,0.0,5553.0
20,100401,22.0,0.0,57.0,696.0,0.0,293.0,6185.0,170.0,52.0,6.0,12.0,368.0,2780.0,28.0,20.0,0.0,6292.0
21,100401,22.0,0.0,57.0,740.0,0.0,333.0,6430.0,170.0,52.0,6.0,12.0,419.0,2780.0,28.0,20.0,0.0,7020.0
22,100401,22.0,0.0,57.0,788.0,0.0,383.0,6660.0,170.0,52.0,6.0,12.0,468.0,2780.0,28.0,20.0,0.0,7888.0
23,100401,22.0,0.0,57.0,817.0,0.0,428.0,7065.0,170.0,52.0,6.0,12.0,519.0,2780.0,28.0,20.0,0.0,8928.0
24,100401,22.0,0.0,57.0,835.0,0.0,474.0,7385.0,170.0,52.0,6.0,12.0,566.0,2780.0,28.0,20.0,0.0,10110.0
25,100401,22.0,0.0,57.0,867.0,0.0,523.0,7705.0,170.0,52.0,6.0,12.0,611.0,2780.0,28.0,20.0,0.0,11440.0
26,100401,22.0,0.0,57.0,902.0,0.0,576.0,8000.0,170.0,52.0,6.0,12.0,656.0,2780.0,28.0,20.0,0.0,12898.0
27,100401,22.0,0.0,57.0,929.0,0.0,624.0,8455.0,170.0,52.0,6.0,12.0,697.0,2780.0,28.0,20.0,0.0,14495.0
28,100401,22.0,0.0,57.0,963.0,0.0,669.0,9000.0,170.0,52.0,6.0,12.0,740.0,2780.0,28.0,20.0,0.0,16211.0
29,100401,22.0,0.0,57.0,986.0,0.0,751.0,10655.0,170.0,52.0,6.0,12.0,822.0,2780.0,28.0,20.0,0.0,17592.0
30,100401,22.0,0.0,57.0,1000.0,0.0,842.0,12805.0,170.0,52.0,6.0,12.0,913.0,2780.0,28.0,20.0,0.0,18978.0
31,100401,22.0,0.0,57.0,1014.0,0.0,925.0,15175.0,170.0,52.0,6.0,12.0,996.0,2780.0,28.0,20.0,0.0,20529.0
32,100401,22.0,0.0,57.0,1027.0,0.0,995.0,17965.0,170.0,52.0,6.0,12.0,1066.0,2780.0,28.0,20.0,0.0,22273.0
33,100401,22.0,0.0,57.0,1039.0,0.0,1061.0,21205.0,170.0,52.0,6.0,12.0,1132.0,2780.0,28.0,20.0,0.0,24101.0
34,100401,22.0,0.0,57.0,1051.0,0.0,1143.0,24690.0,170.0,52.0,6.0,12.0,1214.0,2780.0,28.0,20.0,0.0,25905.0
35,100401,22.0,0.0,57.0,1063.0,0.0,1226.0,28585.0,170.0,52.0,6.0,12.0,1297.0,2780.0,28.0,20.0,0.0,27832.0
2,100501,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,4.0,125.0,0.0,0.0,0.0,12.0
3,100501,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,1.0,0.0,0.0,8.0,225.0,0.0,0.0,0.0,49.0
4,100501,0.0,0.0,0.0,0.0,0.0,3.0,880.0,15.0,1.0,0.0,0.0,17.0,275.0,0.0,0.0,0.0,110.0
5,100501,0.0,0.0,0.0,0.0,0.0,11.0,1660.0,15.0,7.0,0.0,0.0,28.0,275.0,0.0,0.0,0.0,173.0
6,100501,0.0,0.0,0.0,0.0,0.0,19.0,2925.0,15.0,7.0,3.0,0.0,48.0,275.0,0.0,0.0,0.0,265.0
7,100501,0.0,0.0,0.0,0.0,0.0,29.0,3595.0,40.0,7.0,6.0,0.0,66.0,275.0,0.0,0.0,0.0,476.0
8,100501,0.0,0.0,0.0,0.0,0.0,49.0,4800.0,40.0,7.0,10.0,0.0,87.0,575.0,0.0,0.0,0.0,615.0
9,100501,0.0,0.0,15.0,0.0,0.0,72.0,5635.0,40.0,12.0,14.0,0.0,104.0,1025.0,5.0,10.0,0.0,788.0
10,100501,5.0,0.0,15.0,0.0,0.0,94.0,6415.0,65.0,12.0,17.0,0.0,125.0,1325.0,10.0,20.0,0.0,1027.0
11,100501,10.0,0.0,25.0,30.0,0.0,112.0,7295.0,65.0,12.0,20.0,0.0,148.0,1625.0,10.0,20.0,0.0,1305.0
12,100501,10.0,0.0,35.0,80.0,0.0,136.0,8135.0,65.0,12.0,20.0,0.0,178.0,1875.0,12.0,20.0,0.0,1564.0
13,100501,10.0,0.0,37.0,126.0,0.0,160.0,8655.0,65.0,12.0,20.0,0.0,214.0,2095.0,17.0,20.0,0.0,1861.0
14,100501,10.0,0.0,39.0,162.0,0.0,189.0,9045.0,71.0,12.0,20.0,2.0,249.0,2215.0,17.0,20.0,0.0,2191.0
15,100501,10.0,0.0,39.0,202.0,0.0,219.0,9235.0,77.0,14.0,20.0,4.0,280.0,2315.0,17.0,20.0,0.0,2575.0
16,100501,10.0,0.0,39.0,236.0,0.0,260.0,9365.0,89.0,14.0,20.0,4.0,319.0,2415.0,17.0,20.0,0.0,2930.0
17,100501,14.0,0.0,39.0,280.0,0.0,312.0,9655.0,89.0,17.0,20.0,4.0,357.0,2415.0,17.0,20.0,0.0,3244.0
18,100501,18.0,0.0,39.0,352.0,0.0,371.0,9935.0,89.0,20.0,20.0,4.0,394.0,2415.0,17.0,20.0,0.0,3595.0
19,100501,18.0,0.0,39.0,409.0,0.0,428.0,10305.0,89.0,20.0,20.0,4.0,443.0,2510.0,17.0,20.0,0.0,4029.0
20,100501,18.0,0.0,39.0,436.0,0.0,489.0,10590.0,89.0,25.0,20.0,4.0,498.0,2605.0,17.0,20.0,0.0,4501.0
21,100501,18.0,0.0,39.0,488.0,0.0,559.0,10800.0,89.0,30.0,20.0,4.0,554.0,2605.0,17.0,20.0,0.0,5022.0
22,100501,18.0,0.0,39.0,587.0,0.0,622.0,11290.0,89.0,30.0,20.0,4.0,612.0,2605.0,17.0,20.0,0.0,5725.0
23,100501,18.0,0.0,39.0,681.0,0.0,685.0,11605.0,89.0,30.0,20.0,4.0,681.0,2605.0,17.0,20.0,0.0,6562.0
24,100501,18.0,0.0,39.0,746.0,0.0,756.0,11925.0,89.0,30.0,20.0,4.0,754.0,2605.0,17.0,20.0,0.0,7465.0
25,100501,18.0,0.0,39.0,813.0,0.0,831.0,12540.0,89.0,30.0,20.0,4.0,825.0,2605.0,17.0,20.0,0.0,8484.0
26,100501,18.0,0.0,39.0,864.0,0.0,910.0,13290.0,89.0,30.0,20.0,4.0,896.0,2605.0,17.0,20.0,0.0,9621.0
27,100501,18.0,0.0,39.0,892.0,0.0,985.0,14290.0,89.0,30.0,20.0,4.0,964.0,2605.0,17.0,20.0,0.0,10886.0
28,100501,18.0,0.0,39.0,911.0,0.0,1064.0,17330.0,89.0,30.0,20.0,4.0,1041.0,2605.0,17.0,20.0,0.0,11991.0
29,100501,18.0,0.0,39.0,921.0,0.0,1153.0,22690.0,89.0,30.0,20.0,4.0,1130.0,2605.0,17.0,20.0,0.0,12893.0
30,100501,18.0,0.0,39.0,931.0,0.0,1247.0,28565.0,89.0,30.0,20.0,4.0,1224.0,2605.0,17.0,20.0,0.0,13832.0
31,100501,18.0,0.0,39.0,941.0,0.0,1345.0,34730.0,89.0,30.0,20.0,4.0,1322.0,2605.0,17.0,20.0,0.0,14808.0
32,100501,18.0,0.0,39.0,951.0,0.0,1446.0,41265.0,89.0,30.0,20.0,4.0,1423.0,2605.0,17.0,20.0,0.0,15821.0
33,100501,18.0,0.0,39.0,961.0,0.0,1549.0,48415.0,89.0,30.0,20.0,4.0,1526.0,2605.0,17.0,20.0,0.0,16891.0
34,100501,18.0,0.0,39.0,971.0,0.0,1654.0,56345.0,89.0,30.0,20.0,4.0,1631.0,2605.0,17.0,20.0,0.0,18018.0
35,100501,18.0,0.0,39.0,981.0,0.0,1760.0,64985.0,89.0,30.0,20.0,4.0,1737.0,2605.0,17.0,20.0,0.0,19183.0
2,100601,0.0,0.0,0.0,0.0,0.0,2.0,55.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,23.0,0.0,0.0
3,100601,0.0,0.0,0.0,0.0,0.0,7.0,150.0,0.0,0.0,0.0,0.0,2.0,150.0,0.0,78.0,0.0,0.0
4,100601,0.0,0.0,10.0,0.0,0.0,16.0,325.0,5.0,0.0,0.0,0.0,5.0,200.0,0.0,169.0,0.0,0.0
5,100601,0.0,0.0,10.0,0.0,0.0,32.0,625.0,15.0,0.0,0.0,0.0,7.0,200.0,0.0,322.0,0.0,0.0
6,100601,0.0,0.0,25.0,0.0,0.0,51.0,1155.0,15.0,0.0,0.0,0.0,15.0,200.0,0.0,495.0,0.0,0.0
7,100601,0.0,0.0,30.0,0.0,0.0,69.0,1515.0,50.0,0.0,0.0,0.0,22.0,200.0,0.0,724.0,0.0,26.0
8,100601,0.0,0.0,60.0,0.0,0.0,93.0,2115.0,85.0,0.0,0.0,0.0,29.0,200.0,4.0,960.0,0.0,26.0
9,100601,0.0,0.0,95.0,0.0,0.0,120.0,2650.0,85.0,0.0,0.0,5.0,40.0,200.0,9.0,1224.0,0.0,26.0
10,100601,0.0,0.0,105.0,0.0,13.0,143.0,3240.0,85.0,0.0,0.0,10.0,50.0,420.0,14.0,1549.0,0.0,26.0
11,100601,0.0,0.0,119.0,0.0,28.0,167.0,3840.0,101.0,0.0,0.0,10.0,66.0,640.0,14.0,1880.0,0.0,26.0
12,100601,0.0,0.0,135.0,0.0,43.0,192.0,4200.0,111.0,0.0,0.0,17.0,79.0,760.0,17.0,2215.0,0.0,26.0
