main_skill_lv_9,promotion_level,main_skill_lv_8,rarity,resist_variation_id,main_skill_lv_7,ex_skill_lv_4,atk,ex_skill_lv_2,main_skill_lv_2,main_skill_lv_4,magic_str,magic_penetrate,magic_def,enemy_id,life_steal,magic_critical,main_skill_lv_6,wave_energy_recovery,energy_reduce_rate,ex_skill_lv_1,break_durability,virtual_hp,level,unit_id,hp,unique_equipment_flag_1,physical_critical,main_skill_lv_3,energy_recovery_rate,accuracy,resist_status_id,main_skill_lv_5,name,union_burst_level,main_skill_lv_10,wave_hp_recovery,ex_skill_lv_3,hp_recovery_rate,ex_skill_lv_5,physical_penetrate,main_skill_lv_1,dodge,def
500,1,500,1,0,500,0,3000,0,500,500,3000,0,400,803100235,0,0,500,0,0,0,0,0,600,317500,12000000,0,0,500,50,50,300000008,25,"단짝X",500,500,0,0,0,0,0,500,0,400
500,1,500,1,0,500,0,3000,0,500,25,3000,0,400,803100236,0,0,500,0,0,0,0,0,600,317600,12000000,0,0,500,70,50,300000008,500,"이름도 없는 예술",500,500,0,0,0,0,0,500,0,400
700,1,700,1,0,700,0,3000,0,700,50,3000,0,500,803100237,0,0,700,0,0,0,0,0,700,317700,40000000,0,0,700,50,50,300000008,700,"미로쿠",700,700,0,0,0,0,0,700,0,500
700,1,700,1,0,700,0,3000,0,700,25,3000,0,200,803100238,0,0,700,0,0,0,0,0,700,317800,40000000,0,0,700,50,50,300000008,700,"미로쿠",700,700,0,0,0,0,0,700,0,200
700,1,700,1,0,700,0,10000,0,700,700,10000,0,200,803100239,0,0,50,0,0,0,0,0,700,317900,40000000,0,0,700,50,50,300000008,700,"미로쿠",700,700,0,0,0,0,0,700,0,200
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100251,0,0,1000,0,0,0,0,0,700,214501,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 1",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100252,0,0,1000,0,0,0,0,0,700,214502,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 2",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100253,0,0,1000,0,0,0,0,0,700,214503,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 3",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100254,0,0,1000,0,0,0,0,0,700,214504,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 4",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100255,0,0,1000,0,0,0,0,0,700,214505,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 5",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100256,0,0,1000,0,0,0,0,0,700,214506,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 6",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100257,0,0,1000,0,0,0,0,0,700,214507,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 7",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100258,0,0,1000,0,0,0,0,0,700,214508,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 8",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100259,0,0,1000,0,0,0,0,0,700,214509,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 9",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100260,0,0,1000,0,0,0,0,0,700,214601,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 10",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100261,0,0,1000,0,0,0,0,0,700,214602,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 11",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100262,0,0,1000,0,0,0,0,0,700,214603,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 12",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100263,0,0,1000,0,0,0,0,0,700,214604,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 13",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100264,0,0,1000,0,0,0,0,0,700,214605,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 14",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100265,0,0,1000,0,0,0,0,0,700,214606,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 15",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100266,0,0,1000,0,0,0,0,0,700,214607,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 16",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100267,0,0,1000,0,0,0,0,0,700,214608,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 17",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100268,0,0,1000,0,0,0,0,0,700,214609,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 18",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100269,0,0,1000,0,0,0,0,0,700,214701,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 19",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100270,0,0,1000,0,0,0,0,0,700,214702,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 20",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100271,0,0,1000,0,0,0,0,0,700,214703,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 21",1000,1000,0,0,0,0,0,1000,0,9999
1000,1,1000,1,0,1000,0,1,0,1000,1000,1,0,9999,803100272,0,0,1000,0,0,0,0,0,700,214704,99999999,0,0,1000,0,0,300000001,1000,"버스트 에너미 22",1000,1000,0,0,0,0,0,1000,0,9999
