ex_skill_lv_2,hp,resist_variation_id,main_skill_lv_9,main_skill_lv_6,main_skill_lv_8,def,magic_penetrate,wave_hp_recovery,main_skill_lv_4,ex_skill_lv_1,magic_critical,unique_equipment_flag_1,resist_status_id,ex_skill_lv_5,main_skill_lv_2,main_skill_lv_5,unit_id,wave_energy_recovery,ex_skill_lv_3,energy_reduce_rate,main_skill_lv_10,union_burst_level,ex_skill_lv_4,dodge,virtual_hp,physical_penetrate,name,accuracy,level,hp_recovery_rate,physical_critical,main_skill_lv_3,main_skill_lv_1,energy_recovery_rate,enemy_id,atk,promotion_level,main_skill_lv_7,rarity,magic_def,life_steal,break_durability,magic_str
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000402,0,1,150,1,0,0,0,0
0,190000000,0,0,100,0,0,0,0,100,0,0,0,300000008,0,10000,100,313502,0,0,0,0,10000,0,0,0,0,"카리자",60,362,0,0,100,10000,130,750000501,0,1,0,1,0,0,0,0
0,3000000,0,0,0,0,500,0,0,0,0,0,0,300000008,0,0,0,313502,0,0,0,0,0,0,0,0,0,"빨강",60,362,0,0,0,0,0,750000502,40000,1,0,1,500,0,0,1000
0,99999999,0,0,0,0,2400,0,0,0,0,0,0,300000008,0,0,0,313502,0,0,0,0,0,0,0,0,0,"노랑",60,362,0,0,0,0,0,750000503,0,1,0,1,2400,0,0,0
0,2000000,0,0,0,0,10000,0,0,0,0,0,0,300000008,0,0,0,313502,0,0,0,0,0,0,0,0,0,"파랑",60,362,0,0,0,0,0,750000504,0,1,0,1,10000,0,0,0
0,3000000,0,0,0,0,700,0,0,0,0,0,0,300000008,0,0,0,313502,0,0,0,0,0,0,0,0,0,"카리자",60,362,0,0,0,0,0,750000505,0,1,0,1,700,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000506,0,1,150,1,0,0,0,0
0,107000000,0,0,0,0,600,0,0,10000,0,0,0,300000020,0,0,10000,311409,0,0,0,0,10000,0,0,0,0,"물가의 폭군 사메키치",60,365,0,0,10000,10000,70,750000601,83000,1,0,1,600,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000602,0,1,150,1,0,0,0,0
0,99000000,0,0,0,0,0,0,0,1000,0,0,0,300000008,0,10000,0,313602,0,0,0,0,10000,0,0,0,0,"란파",60,368,0,0,1000,10000,110,750000701,0,1,0,1,0,0,0,0
0,3000000,0,0,0,0,3200,0,0,0,0,0,0,300000008,0,0,0,313602,0,0,0,0,0,0,0,0,0,"용아병",60,368,0,0,0,0,0,750000702,0,1,0,1,3200,0,0,66000
0,1000000,0,0,0,0,600,0,0,0,0,0,0,300000008,0,0,0,313602,0,0,0,0,0,0,0,0,0,"란파",60,368,0,0,0,0,0,750000703,0,1,0,1,600,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000704,0,1,150,1,0,0,0,0
0,122000000,0,0,10000,0,1200,0,0,10000,0,0,0,300000022,0,10000,10000,315407,0,0,0,0,10000,0,0,0,0,"탐욕폭군ㆍ카지노 왕",60,371,0,0,0,5000,110,750000801,50000,1,0,1,1200,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000802,0,1,150,1,0,0,0,0
0,120000000,0,0,300,0,0,0,0,300,0,0,0,300000008,0,50000,300,309601,0,0,0,0,50000,0,0,0,0,"서번트 로크스(여러 부위)",60,374,0,0,50000,50000,130,750000901,0,1,0,1,0,0,0,0
0,2000000,0,0,0,0,5000,0,0,0,0,0,0,300000008,0,0,0,309601,0,0,0,0,0,0,0,0,0,"서번트 로크스(여러 부위)",60,374,0,0,0,0,0,750000902,80000,1,0,1,5000,0,0,1000
0,3000000,0,0,0,0,1000,0,0,0,0,0,0,300000008,0,0,0,309601,0,0,0,0,0,0,0,0,0,"서번트 로크스(여러 부위)",60,374,0,0,0,0,0,750000903,0,1,0,1,1000,0,0,0
0,2000000,0,0,0,0,300,0,0,0,0,0,0,300000008,0,0,0,309601,0,0,0,0,0,0,0,0,0,"서번트 로크스(여러 부위)",60,374,0,0,0,0,0,750000904,0,1,0,1,300,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750000905,0,1,150,1,0,0,0,0
0,90000000,0,0,0,0,200,0,0,0,0,0,0,300000008,0,50000,0,313708,0,0,0,0,50000,0,0,0,0,"미소라",60,377,0,0,50000,50000,130,750001001,65000,1,0,1,200,0,0,0
0,50000000,0,0,0,0,5000,0,0,0,0,0,0,200000011,0,0,0,210701,0,0,0,0,0,0,0,0,0,"펭포코린",60,320,0,0,0,25000,0,750001002,35000,1,0,1,5000,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750001003,0,1,150,1,0,0,0,0
0,180000000,0,0,0,0,2000,0,0,50000,0,0,0,300000025,0,50000,50000,316507,0,0,0,0,50000,0,0,0,0,"애집의 바로메츠",60,380,0,0,50000,50000,180,750001101,30000,1,0,1,2000,0,0,0
0,1000000,0,0,9000,250,0,0,0,50,0,0,0,300000008,0,200,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,200,0,0,750001102,0,1,150,1,0,0,0,0
0,150000000,0,0,50000,0,6000,0,0,50000,0,0,0,300000008,0,50000,50000,313802,0,0,0,0,50000,0,0,0,0,"아졸드",60,383,0,0,50000,50000,180,750001201,25000,1,0,1,6000,0,0,0
0,1500000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210803,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001202,25000,1,0,1,200,0,0,0
0,3000000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210804,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001203,25000,1,0,1,200,0,0,0
0,6000000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210805,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001204,25000,1,0,1,200,0,0,0
0,3000000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210803,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001205,25000,1,0,1,200,0,0,0
0,6000000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210804,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001206,25000,1,0,1,200,0,0,0
0,12000000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210805,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001207,25000,1,0,1,200,0,0,0
0,4500000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210803,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001208,25000,1,0,1,200,0,0,0
0,9000000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210804,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001209,25000,1,0,1,200,0,0,0
0,18000000,0,0,0,0,200,0,0,0,0,0,0,200000001,0,400,0,210805,0,0,0,0,0,0,0,0,0,"만능 인형",60,323,0,0,50000,50000,0,750001210,25000,1,0,1,200,0,0,0
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000008,0,100,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,100,0,0,750001211,0,1,150,1,0,0,0,0
0,40000000,0,0,0,0,360,0,0,38000,0,0,0,300000008,0,38000,0,309805,0,0,0,0,38000,0,0,0,0,"패동황제",100,450,0,0,38000,38000,30,760100101,34000,1,0,1,360,0,0,34000
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000009,0,200,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,200,0,0,760100102,0,1,150,1,0,0,0,0
0,60000000,0,0,0,0,420,0,0,41000,0,0,0,300000008,0,41000,0,309805,0,0,0,0,41000,0,0,0,0,"패동황제",100,453,0,0,41000,41000,30,760100201,38000,1,0,1,420,0,0,38000
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000009,0,200,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,200,0,0,760100202,0,1,150,1,0,0,0,0
0,80000000,0,0,0,0,480,0,0,44000,0,0,0,300000008,0,44000,0,309805,0,0,0,0,44000,0,0,0,0,"패동황제",100,456,0,0,44000,44000,30,760100301,42000,1,0,1,480,0,0,42000
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000009,0,200,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,200,0,0,760100302,0,1,150,1,0,0,0,0
0,100000000,0,0,0,0,540,0,0,47000,0,0,0,300000008,0,47000,0,309805,0,0,0,0,47000,0,0,0,0,"패동황제",100,459,0,0,47000,47000,30,760100401,46000,1,0,1,540,0,0,46000
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000009,0,200,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,200,0,0,760100402,0,1,150,1,0,0,0,0
0,120000000,0,0,0,0,600,0,0,50000,0,0,0,300000008,0,50000,0,309805,0,0,0,0,50000,0,0,0,0,"패동황제",100,462,0,0,50000,50000,30,760100501,50000,1,0,1,600,0,0,50000
0,1000000,0,0,9000,250,0,0,0,100,0,0,0,300000009,0,200,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,200,0,0,760100502,0,1,150,1,0,0,0,0
0,50000000,0,0,38000,0,360,0,0,38000,0,0,0,300000008,0,38000,38000,313902,0,0,0,0,38000,0,0,0,0,"젠",100,450,0,0,38000,38000,60,760200101,7000,1,0,1,360,0,0,0
0,1000000,0,0,9000,250,0,0,0,50,0,0,0,300000009,0,150,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,150,0,0,760200102,0,1,150,1,0,0,0,0
0,65000000,0,0,41000,0,420,0,0,41000,0,0,0,300000008,0,41000,41000,313902,0,0,0,0,41000,0,0,0,0,"젠",100,453,0,0,41000,41000,60,760200201,9000,1,0,1,420,0,0,0
0,1000000,0,0,9000,250,0,0,0,50,0,0,0,300000009,0,150,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,150,0,0,760200202,0,1,150,1,0,0,0,0
0,80000000,0,0,44000,0,480,0,0,44000,0,0,0,300000008,0,44000,44000,313902,0,0,0,0,44000,0,0,0,0,"젠",100,456,0,0,44000,44000,60,760200301,11000,1,0,1,480,0,0,0
0,1000000,0,0,9000,250,0,0,0,50,0,0,0,300000009,0,150,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,150,0,0,760200302,0,1,150,1,0,0,0,0
0,95000000,0,0,47000,0,540,0,0,47000,0,0,0,300000008,0,47000,47000,313902,0,0,0,0,47000,0,0,0,0,"젠",100,459,0,0,47000,47000,60,760200401,13000,1,0,1,540,0,0,0
0,1000000,0,0,9000,250,0,0,0,50,0,0,0,300000009,0,150,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,150,0,0,760200402,0,1,150,1,0,0,0,0
0,110000000,0,0,50000,0,600,0,0,50000,0,0,0,300000008,0,50000,50000,313902,0,0,0,0,50000,0,0,0,0,"젠",100,462,0,0,50000,50000,60,760200501,15000,1,0,1,600,0,0,0
0,1000000,0,0,9000,250,0,0,0,50,0,0,0,300000009,0,150,0,217300,0,0,0,0,0,0,0,0,0,"버스트 에너미",100,500,0,0,150,0,0,760200502,0,1,150,1,0,0,0,0
