reward_type_5,reward_num_5,reward_num_4,reward_type_2,clear_reward_group_id,reward_type_4,reward_num_3,reward_id_1,reward_id_2,reward_num_2,reward_id_3,reward_id_5,reward_id_4,reward_num_1,reward_type_1,reward_type_3
0,0,0,0,924122301,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924122302,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924122303,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924122304,0,0,91002,0,0,0,0,0,100,8,0
0,0,0,0,924142001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,924142002,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,924142003,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,924142101,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142102,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142103,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142104,0,0,91002,0,0,0,0,0,100,8,0
0,0,0,0,924142201,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142202,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142203,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142204,0,0,91002,0,0,0,0,0,100,8,0
0,0,0,0,924142301,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142302,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142303,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,924142304,0,0,91002,0,0,0,0,0,100,8,0
0,0,0,0,925012001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,925012002,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,925012003,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,925012101,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012102,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012103,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012104,0,0,91002,0,0,0,0,0,100,8,0
0,0,0,0,925012201,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012202,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012203,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012204,0,0,91002,0,0,0,0,0,100,8,0
0,0,0,0,925012301,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012302,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012303,0,0,25102,0,0,0,0,0,15,2,0
0,0,0,0,925012304,0,0,91002,0,0,0,0,0,100,8,0
