comment,notif_type,unit_id
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼어요… …오빠, 인기 많네요…♪",6,102101
"스태미나가 전부 회복된 것 같아! 자, 같이 게임을 즐기자!",1,102201
"길드 하우스의 스킵 티켓이 가득 찼어! 이제 효율적으로 공략할 수 있겠다!",2,102201
"길드 하우스의 스태미나가 가득 찼어! 서둘러 공략하지 않으면 아깝잖아!",3,102201
"길드 하우스의 EXP 포션이 가득이야. 성장하면 스테이터스도 올라가! 기대된다~",4,102201
"길드 하우스의 마나가 가득이야. 마나를 써서 이것저것 준비하면 모험하기 편해지겠다!",5,102201
"길드 하우스에서 받을 수 있는 아이템이 가득이야! 전부 받아서 모험에 활용해 보자!",6,102201
"스태미나가 전부 회복됐다고 해! 오빠, 같이 놀자!",1,102301
"길드 하우스의 스킵 티켓이 가득이야. 다양한 곳으로 외출할 수 있겠다!",2,102301
"길드 하우스의 스태미나가 가득 찼다고 해. 오빠, 같이 탐험하러 가자!",3,102301
"길드 하우스의 EXP 포션이 가득 찼어! 마시면 훌륭한 언니가 될 수 있을까…?",4,102301
"길드 하우스의 마나가 가득이야! 오빠, 마나는 무척 소중한 거래!",5,102301
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼대. 선물이 잔뜩 있어서 좋겠다~!",6,102301
"스태미나가 전부 회복됐어요~ 외출하실 거면 같이 가실래요?",1,102501
"길드 하우스의 스킵 티켓이 가득이에요. 일도 척척 해낼 수… 있지는 않겠죠?",2,102501
"길드 하우스의 스태미나가 가득 찬 거 같아요. 저도 당신을 기다리고 있어요.",3,102501
"길드 하우스의 EXP 포션이 가득 찬 것 같아요~ 경험을 쌓으면 덜렁거리는 것도 고쳐질까요!?",4,102501
"길드 하우스의 마나가 가득 찬 것 같아요~ 구호원도 이 정도의 여유가 있으면 좋은 생활을…!",5,102501
"길드 하우스에서 받을 수 있는 아이템이 가득이네요. 제가 받아둘… 으앗, 소, 손이 미끄러졌어요!",6,102501
"스태미나가 전부 회복됐다고 해~ 뭐, 난 움직이지 않을 거지만",1,102601
"길드 하우스의 스킵 티켓이 가득 찼다고 해~ 자, 그럼 팥빵 사 와",2,102601
"길드 하우스의 스태미나가 가득이야. 나 대신 일 해주라~",3,102601
"길드 하우스의 EXP 포션이 쌓였어. 나는 성장해도 계속 게으름 피울 거야",4,102601
"길드 하우스의 마나가 가득이래. 게임하고 고급 팥빵 사줘",5,102601
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼습니다… 후우, 공지만 했을 뿐인데 지쳤어",6,102601
"스태미나가 전부 회복한 것 같네요. 이걸로 당신에게 다양한 실험을 할 수 있겠어요… 쿡쿡♪",1,102701
"길드 하우스의 스킵 티켓이 가득… 전투를 스킵하고 단둘이 느긋하게 지내요",2,102701
"길드 하우스의 스태미나가 가득 찬 거 같아요. 체력이 넘치는 당신을… 쿡쿡♪",3,102701
"길드 하우스의 EXP 포션이 가득 찬 것 같아요. 약은 좋은 거예요… 쿡쿡♪",4,102701
"길드 하우스의 마나가 가득이에요. 당신이 무엇을 살지, 제가 관리할게요",5,102701
"길드 하우스의 아이템이 전부 가득… 당신의 것은 나의 것, 당신도 제 것이에요♪",6,102701
"어머, 스태미나가 전부 회복됐네. 체력이 남는다면 내 일 좀 도와주지 않을래?",1,102801
"길드 하우스의 스킵 티켓이 가득이야, 아까워라. 빨리 받으러 오라고?",2,102801
"정말이지, 길드 하우스의 스태미나가 남았잖아. 무슨 일을 하던지 체력은 중요해",3,102801
"길드 하우스의 EXP 포션이 가득이네. 경험은 중요해. 성장하기 위해서도 꼭 필요하니까",4,102801
"길드 하우스의 마나가 한계까지 쌓였어. 돈도 마나도 돌고 도는 것. 소중히 하라고",5,102801
"길드 하우스에서 받을 수 있는 아이템이 전부 가득이야. 이런 걸 게을리하면 나중에 힘들다고?",6,102801
"스태미나가 전부 회복한 것 같으니까, 내 라이브 보러 왔으면 좋겠다♪",1,102901
"길드 하우스의 스킵 티켓이 가득 찼어. 레슨도 효율적으로 할 수 있을까?",2,102901
"길드 하우스의 스태미나가 가득이네. 함께 외출하고 싶다면 언제든 OK야♪",3,102901
"길드 하우스의 EXP 포션이 가득 찬 것 같아. 아이돌로서 더욱 성장할 수 있을지도!",4,102901
"길드 하우스의 마나가 가득이네. 괜찮으면 함께 무대 보러 안 갈래?",5,102901
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼네. 많은 선물. 아이돌 같아♪",6,102901
"스태미나가 전부 회복입니다! 천하통일 하자입니다!",1,103001
"길드 하우스의 스킵 티켓이 가득입니다! 그야말로 인법, 날다람쥐 술법입니다!",2,103001
"길드 하우스의 스태미나가 가득입니다! 분명 식량하고 같은 효과가 있다입니다!",3,103001
"길드 하우스의 EXP 포션이 가득 찬 것 같습니다! 새로운 인법이 떠오를 것 같다입니다!",4,103001
"길드 하우스의 마나가 가득 찬 것 같다요! 잔뜩 모아서 성을 산다입니다!",5,103001
"길드 하우스에서 받을 수 있는 아이템이 전부 가득입니다! 전부 천하통일 필요한 것이다입니다!",6,103001
"스태미나가 전부 회복된 것 같네요. 방황하는 불쌍한 혼을 구제하러 가요",1,103101
"길드 하우스의 스킵 티켓이 가득이에요… 하고 당신 뒤에 있는 여자아이가 말했어요",2,103101
"길드 하우스의 스태미나가 가득 찬 것 같아요. 제령 의뢰가 들어왔는데, 도와주시겠어요?",3,103101
"길드 하우스의 EXP 포션이 가득 찼어요. 어엿한 영매사가 되고 있는 걸까?",4,103101
"길드 하우스의 마나가 가득 찼으니까 뭔가 사! …지, 지금 그건 아버지가 한 말이에요",5,103101
"제 점에 따르면 길드 하우스에서 받을 수 있는 아이템이 이미 가득 찬 것 같아요…",6,103101
"스태미나가 전부 회복한 것 같아요! 시간은 금이라고 하니, 빨리 가보도록 해요!",1,103201
"길드 하우스의 스킵 티켓이 가득이네요. 이게 있으면 방향치도 상관없어요!",2,103201
"길드 하우스의 스태미나가 가득이네요. 마물 토벌할 때 기사로서 고용해도 되나요?",3,103201
"길드 하우스의 EXP 포션이 기득이에요! 분명 상인으로서 경험도 쌓을 수 있을 거예요!",4,103201
"길드 하우스의 마나가 가득이에요. 집 한 채 정도는 살 수 있을지 몰라요.",5,103201
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼어요. 어머, 집사는 필요 없나요?",6,103201
"스태미나가 전부 회복됐어. 자자, 일할 시간이야!",1,103301
"길드 하우스의 스킵 티켓이 가득이야! 만담 연습도 효율적으로 할 수 있을까?",2,103301
"길드 하우스의 스태미나가 가득 찼어. 목장 일, 열심히 할게!",3,103301
"길드 하우스의 EXP 포션이 가득 있었어. 이걸로 모두를 더 많이 웃길 수 있겠어!",4,103301
"길드 하우스의 마나가 가득이라고? 마나를 받지 않는 건 매너 위반이야!",5,103301
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼어. 뭔가 개그에 쓸 수 있을까?",6,103301
"스태미나가 전부 회복한 것 같고… 나, 나를 만나러 와주지 않으려나?",1,103401
"길드 하우스의 스킵 티켓이 가득이야. 숙취 시간도 단축되지 않으려나…?",2,103401
"기, 길드 하우스의 스태미나가 가득 찬 것 같고… 함께 외출…할래?",3,103401
"길드 하우스의 EXP 포션이 가득이야. 설마, 마시면 취하는 건 아니겠지…",4,103401
"길드 하우스의 마나가 가득이야. 한잔하러 가자! 너는 주스 마셔♪",5,103401
"길드 하우스에서 받을 수 있는 아이템이 전부 가득이야. 나, 나도 선물 받고 싶은데…?",6,103401
"스태미나가 전부 회복되었어요. 알려주지 않으면 잊어버리다니, 어쩔 수 없는 분이네요",1,103601
"길드 하우스의 스킵 티켓이 가득이에요. 숙제도 끝냈으니, 함께 외출해요",2,103601
"길드 하우스의 스태미나가 가득 찼어요. 이걸로 철봉 테스트도 완벽하겠네요",3,103601
"길드 하우스의 EXP 포션이 가득이에요. 흐흥, 금세 성장해서 당신을 따라잡을 거예요!",4,103601
"길드 하우스의 마나가 가득이네요. 네? 뭔가 사준다고요? 역시 수상한 사람이네요",5,103601
"길드 하우스에서 받을 수 있는 아이템이 가득이에요. 이렇게 쌓아두다니… 확실히 회수하시라고요?",6,103601
"스태미나가 전부 회복됐네. 임무를 시작해 볼까",1,103701
"길드 하우스의 스킵 티켓이 가득이네. 훈련도 편하게 할 수 있을지도",2,103701
"길드 하우스의 스태미나가 가득이네. 그럼 일하러 갈까. 당신도 올 거지?",3,103701
"길드 하우스의 EXP 포션이 가득이야. 검술을 더욱 연마해야 해",4,103701
"길드 하우스의 마나가 가득 찼어. 자기 수련에 사용해도 좋을 것 같네",5,103701
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼어. 어쩔 수 없네. 기다리고 있을 테니 빨리 와?",6,103701
"스태미나가 전부 회복되었어요. 이거라면 조금 멀리 있는 서점에도 갈 수 있을 것 같아요",1,103801
"길드 하우스의 스킵 티켓이 가득 찼어요. 몸에 무리 없이 싸울 수 있겠네요",2,103801
"길드 하우스의 스태미나가 가득이네요. 체력이 붙으면 저도 모두의 도움이 될 수 있을까요?",3,103801
"길드 하우스의 EXP 포션이 가득이에요. 제 몸도 조금은 좋아질까요…",4,103801
"길드 하우스의 마나가 가득 찼어요. 이렇게나 있으면 책을 잔뜩 살 수 있겠어요",5,103801
"길드 하우스에서 받을 수 있는 아이템이 가득 찼어요. 받으면 함께 책 읽어요",6,103801
"스태미나가 전부 회복했으니, 친구 사귀러 갑시다…!",1,104001
"길드 하우스의 스킵 티켓이 가득이에요… 친구 사귀기에 한발 가까워졌는지도 몰라요!",2,104001
"기, 길드 하우스의 스태미나가 가득이네요. 잔뜩 모험을 하면, 친구와 만날 수 있을까요…?",3,104001
"길드 하우스의 EXP 포션이 가득이에요. 말솜씨를 좋아지면 친해질까요…?",4,104001
"길드 하우스의 마나가 가득이네요. 마나를 주면 친구가 되어줄지도… 어, 안 된다고요?",5,104001
"길드 하우스에서 받을 수 있는 아이템이 전부 찼어요. 많은 선물, 부러워요…!",6,104001
"스태미나가 모두 회복되었어요. 정령을 위해 노래할 준비는 되어 있어요. …아이돌 노래는 지금부터예요",1,104201
"길드 하우스의 스킵 티켓이 가득 찼어요. 사람들을 지키기 위해 힘을 빌려주세요",2,104201
"길드 하우스의 스태미나가 가득 찼어요. 노래 연습을 도와줄 수 있으신가요?",3,104201
"길드 하우스의 EXP 포션이 가득 찼어요. 목 상태가 나빠지지 않도록…",4,104201
"길드 하우스의 마나가 가득 찼어요. 노래나 기술뿐만 아니라, 기재나 장비도 갖추고 싶네요",5,104201
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼어요. 노래로 전했어야 했나요?",6,104201
"스태미나가 전부 회복한 것 같네. 어이, 외출하자!",1,104301
"길드 하우스의 스킵 티켓이 가득 찼다는데. 탐색도 단숨에 끝내버리자고",2,104301
"길드 하우스의 스태미나가 가득 찼대. 체력이 남는다면 싸우러 가자!",3,104301
"길드 하우스의 EXP 포션이 가득이네. 더욱 강해진 날 보고 싶다고?",4,104301
"길드 하우스의 마나가 가득이네. 마음껏 써도 좋지 않아?",5,104301
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼다고 해. 전투에 도움 되는 것도 있을 것 같던데?",6,104301
"스태미나 전부 회복된 것 같구나. 이몸과 함께 세계 정복을 향해 출진이다!",1,104401
"길드 하우스의 스킵 티켓이 가득이구나. 약해빠진 적 따위는 빨리 처리해 버리자!",2,104401
"길드 하우스의 스태미나가 회복한 것 같구나. 보급선도 확보되었고, 마음껏 전쟁을 하자꾸나!",3,104401
"길드 하우스의 EXP 포션이 가득이구나. 이걸 마시면 어른의 모습으로 돌아가려나…",4,104401
"길드 하우스의 마나가 가득이구나. 전쟁에는 군비도 필요하지… 좋은 마음가짐이구나♪",5,104401
"길드 하우스의 아이템이 가득 찼구나. 전부 이몸에게 헌상해도 좋다?",6,104401
"스태미나가 전부 회복되었어요… 체력이 흘러넘치는 S 씨는 쿠우카에게… 크흐흐…",1,104501
"길드 하우스의 스킵 티켓이 가득… 전투를 빨리 끝내고 쿠우카에게 무슨 짓을…?",2,104501
"길드 하우스의 스태미나가 가득 찼는데도 받으러 오지 않다니… 애태우는 건가요?",3,104501
"길드 하우스의 EXP 포션이 가득이에요. 쿠우카는 이걸로 성장해서 어른의 계단을… 크흐흐…",4,104501
"길드 하우스의 마나가 가득… 핫! 서, 설마 쿠우카를 독점하려고 하는 건가요!?",5,104501
"길드 하우스의 아이템이 가득이에요… 이걸 사용해서 쿠우카에게 어떤 창피를… 츄릅…",6,104501
"스태미나가 회복된 것 같다냥. 시간은 금! 돌아와서 1루피라도 많이 버는 거다냥~",1,104601
"길드 하우스의 스킵 티켓이 가득이다냥. 이걸로 아이템을 듬뿍 손에 넣는 거다냥~",2,104601
"길드 하우스의 스태미나가 가득 찬 것 같다냥. 전투를 잔뜩해서 보상을 손에 넣는 거다냥~",3,104601
"길드 하우스의 EXP 포션이 가득이다냥. 나도 아직 성장 중이니 고마운 일이다냥~",4,104601
"길드 하우스의 마나가 가득이다냥. 잔뜩 강해져서 잔뜩 벌어들이는 거냥~",5,104601
"길드 하우스에서 받을 수 있는 아이템이 가득 찬 것 같다냥. 빨리 받지 않으면 아깝다냥",6,104601
"스태미나가 모두 회복되었다. 전투하기에 충분한 것 같군",1,104701
"길드 하우스의 스킵 티켓이 가득 찼다. 임무 수행에는 유용할 것 같다만",2,104701
"길드 하우스의 스태미나가 가득이군. 체력이 남아돈다면 훈련을 하는 건 어떤가?",3,104701
"길드 하우스의 EXP 포션이 가득이군. 정의를 행하기 위해서는 힘도 필요하다",4,104701
"길드 하우스의 마나가 가득 찼다. 자네를 기다리고 있는 동안 동상으로 착각 받고 말았다…",5,104701
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼다. 자네가 받으러 올 때까지 지키고 있겠다",6,104701
"스태미나가 전부 회복된 것 같네. 자, 돈 벌러 가자!",1,104801
"길드 하우스의 스킵 티켓이 가득 찼어. 효율적으로 사용하자!",2,104801
"길드 하우스의 스태미나가 가득 찬 것 같아. 빨리 받고 유용하게 사용하자!",3,104801
"길드 하우스의 EXP 포션이 가득이야. 레벨을 올리면 효율도 올라가!",4,104801
"길드 하우스의 마나가 가득이야. 효율적인 모험에 사용하도록 하자!",5,104801
"길드 하우스에서 받을 수 있는 아이템이 전부 가득 찼어. 효율을 올리도록 사용하자!",6,104801
"스태미나가 전부 회복됐어~♪ 누나랑 피크닉…이 아니라 모험 가자!",1,104901
"길드 하우스의 스킵 티켓이 가득이야~ 이걸로 동생은 위험한 전투를 하지 않아도 돼!",2,104901
"길드 하우스의 스태미나가 가득 찼어~! 누나와 함께 모험하러 출발~!",3,104901
"길드 하우스의 EXP 포션이 가득이야! 성장한 동생의 모습, 누나는 기대하고 있어!",4,104901
"길드 하우스의 마나가 가득이야. 마나를 낭비하지 않도록 누나가 보고 있을게♪",5,104901
"길드 하우스의 아이템이 가득! 이거 전부 동생 거! 물론 누나도 동생 거야!",6,104901
"스태미나가 전부 회복됐어! 신사답게 날 에스코트해줘!",1,105001
"길드 하우스의 스킵 티켓이 가득 찼어. 당연히 근사한 곳에 안내해 줄 거지?",2,105001
"봐, 길드 하우스의 스태미나가 가득이잖아! 이런 배려를 할 수 있다니, 난 역시 어른이야",3,105001
