param_02,drama_id,param_05,param_07,command_id,param_06,command_type,param_04,param_03,param_08,param_01
<weapon>_run,211,0,"",102110045,0,3,"",1,"",1002001
<weapon>_run,211,0,"",102110046,0,3,"",1,"",1002002
<weapon>_run,211,0,"",102110047,0,3,"",1,"",1002003
<weapon>_run,211,0,"",102110048,0,3,"",1,"",1002004
<weapon>_run,211,0,"",102110049,0,3,"",1,"",1002005
450,211,0,"",102110050,"",2,3,-240,"",1002001
380,211,0,"",102110051,"",2,3,-165,"",1002002
310,211,0,"",102110052,"",2,3,-255,"",1002003
240,211,0,"",102110053,"",2,3,-165,"",1002004
170,211,0,"",102110054,"",2,3,-240,"",1002005
450,211,0,"",102110055,"",33,3,-240,"",1002001
380,211,0,"",102110056,"",33,3,-165,"",1002002
310,211,0,"",102110057,"",33,3,-255,"",1002003
240,211,0,"",102110058,"",33,3,-165,"",1002004
170,211,0,"",102110059,"",33,3,-240,"",1002005
1,211,"","",102110060,"",32,"","","",10020
0,211,"","",102110061,"",93,"","","",2.5
1,211,"","",102110062,"",32,"","","",10031
0,211,"","",102110063,"",93,"","","",0.4
0,211,"","",102110064,"",91,"","","",0
se_travel_start_3pt,311,"","",103110001,"",23,"",0,"",se_travel
10010,311,1,"",103110002,1,31,0,0,"",10010
10011,311,1,"",103110003,1,31,0,0,"",10011
10020,311,1,"",103110004,0,31,0,0,"",10020
1001001,311,-240,0,103110005,0.68,1,0,62,<weapon>_idle,2
1001002,311,-165,0,103110006,0.68,1,-70,61,<weapon>_idle,2
1001003,311,-255,0,103110007,0.68,1,-140,63,<weapon>_idle,2
1001004,311,-165,0,103110008,0.68,1,-210,61,<weapon>_idle,2
1001005,311,-240,0,103110009,0.68,1,-280,62,<weapon>_idle,2
1001001,311,0.68,0,103110010,1,31,-240,0,"",10012
1001002,311,0.68,0,103110011,1,31,-165,-70,"",10012
1001003,311,0.68,0,103110012,1,31,-255,-140,"",10012
1001004,311,0.68,0,103110013,1,31,-165,-210,"",10012
1001005,311,0.68,0,103110014,1,31,-240,-280,"",10012
1002001,311,-60,0,103110015,0.68,1,-250,52,<weapon>_idle,2
1002002,311,15,0,103110016,0.68,1,-320,51,<weapon>_idle,2
1002003,311,-75,0,103110017,0.68,1,-390,53,<weapon>_idle,2
1002004,311,15,0,103110018,0.68,1,-460,51,<weapon>_idle,2
1002005,311,-60,0,103110019,0.68,1,-530,52,<weapon>_idle,2
1002001,311,0.68,0,103110020,1,31,-60,-250,"",10012
1002002,311,0.68,0,103110021,1,31,15,-320,"",10012
1002003,311,0.68,0,103110022,1,31,-75,-390,"",10012
1002004,311,0.68,0,103110023,1,31,15,-460,"",10012
1002005,311,0.68,0,103110024,1,31,-60,-530,"",10012
1003001,311,-250,0,103110025,0.68,1,-500,62,<weapon>_idle,2
1003002,311,-175,0,103110026,0.68,1,-570,61,<weapon>_idle,2
1003003,311,-265,0,103110027,0.68,1,-640,63,<weapon>_idle,2
1003004,311,-175,0,103110028,0.68,1,-710,61,<weapon>_idle,2
1003005,311,-250,0,103110029,0.68,1,-780,62,<weapon>_idle,2
1003001,311,0.68,0,103110030,1,31,-250,-500,"",10012
1003002,311,0.68,0,103110031,1,31,-175,-570,"",10012
1003003,311,0.68,0,103110032,1,31,-265,-640,"",10012
1003004,311,0.68,0,103110033,1,31,-175,-710,"",10012
1003005,311,0.68,0,103110034,1,31,-250,-780,"",10012
10030,311,1,"",103110035,0,31,0,0,"",10030
10031,311,1,"",103110036,0,31,0,0,"",10031
0,311,"","",103110037,"",91,"","","",""
1,311,"","",103110038,"",32,"","","",10030
0,311,"","",103110039,"",91,"","","",0
<weapon>_run,311,0,"",103110040,0,3,"",1,"",1001001
<weapon>_run,311,0,"",103110041,0,3,"",1,"",1001002
<weapon>_run,311,0,"",103110042,0,3,"",1,"",1001003
<weapon>_run,311,0,"",103110043,0,3,"",1,"",1001004
<weapon>_run,311,0,"",103110044,0,3,"",1,"",1001005
950,311,0,"",103110045,"",2,3,-240,"",1001001
880,311,0,"",103110046,"",2,3,-165,"",1001002
810,311,0,"",103110047,"",2,3,-255,"",1001003
740,311,0,"",103110048,"",2,3,-165,"",1001004
670,311,0,"",103110049,"",2,3,-240,"",1001005
950,311,0,"",103110050,"",33,3,-240,"",1001001
880,311,0,"",103110051,"",33,3,-165,"",1001002
810,311,0,"",103110052,"",33,3,-255,"",1001003
740,311,0,"",103110053,"",33,3,-165,"",1001004
670,311,0,"",103110054,"",33,3,-240,"",1001005
<weapon>_run,311,0,"",103110055,0,3,"",1,"",1002001
<weapon>_run,311,0,"",103110056,0,3,"",1,"",1002002
<weapon>_run,311,0,"",103110057,0,3,"",1,"",1002003
<weapon>_run,311,0,"",103110058,0,3,"",1,"",1002004
<weapon>_run,311,0,"",103110059,0,3,"",1,"",1002005
700,311,0,"",103110060,"",2,3,-60,"",1002001
630,311,0,"",103110061,"",2,3,15,"",1002002
560,311,0,"",103110062,"",2,3,-75,"",1002003
490,311,0,"",103110063,"",2,3,15,"",1002004
420,311,0,"",103110064,"",2,3,-60,"",1002005
700,311,0,"",103110065,"",33,3,-60,"",1002001
630,311,0,"",103110066,"",33,3,15,"",1002002
560,311,0,"",103110067,"",33,3,-75,"",1002003
490,311,0,"",103110068,"",33,3,15,"",1002004
420,311,0,"",103110069,"",33,3,-60,"",1002005
<weapon>_run,311,0,"",103110070,0,3,"",1,"",1003001
<weapon>_run,311,0,"",103110071,0,3,"",1,"",1003002
<weapon>_run,311,0,"",103110072,0,3,"",1,"",1003003
<weapon>_run,311,0,"",103110073,0,3,"",1,"",1003004
<weapon>_run,311,0,"",103110074,0,3,"",1,"",1003005
450,311,0,"",103110075,"",2,3,-250,"",1003001
380,311,0,"",103110076,"",2,3,-175,"",1003002
310,311,0,"",103110077,"",2,3,-265,"",1003003
240,311,0,"",103110078,"",2,3,-175,"",1003004
170,311,0,"",103110079,"",2,3,-250,"",1003005
450,311,0,"",103110080,"",33,3,-250,"",1003001
380,311,0,"",103110081,"",33,3,-175,"",1003002
310,311,0,"",103110082,"",33,3,-265,"",1003003
240,311,0,"",103110083,"",33,3,-175,"",1003004
170,311,0,"",103110084,"",33,3,-250,"",1003005
1,311,"","",103110085,"",32,"","","",10020
0,311,"","",103110086,"",93,"","","",2.5
1,311,"","",103110087,"",32,"","","",10031
0,311,"","",103110088,"",93,"","","",0.4
0,311,"","",103110089,"",91,"","","",0
