command_type,param_05,drama_id,param_02,param_08,command_id,param_04,param_06,param_03,param_01,param_07
93,"",1004501,"","",1004501018,"","","",1.4,""
121,1,1004501,0,"",1004501019,1.4,3,1.4,0,""
131,"",1004501,"","",1004501020,"","","",1,""
3,1,1004501,blb_blowout_02,"",1004501021,blb_idle,0.3,0,100411,0.3
93,"",1004501,"","",1004501022,"","","",0.7,""
32,1,1004501,0,"",1004501023,0,1,0,12,""
31,1,1004501,13,"",1004501024,0,1,0,13,""
93,"",1004501,"","",1004501025,"","","",0.2,""
23,"",1004501,se_sys_login_birthday_blow_candle,"",1004501026,0,"",0,se_common,""
93,"",1004501,"","",1004501027,"","","",1.2,""
23,"",1004501,se_adv_tickle_02,"",1004501028,0,"",0,se_adv_tickle_02,""
31,1,1004501,4,"",1004501029,0,1,0,4,""
93,"",1004501,"","",1004501030,"","","",1,""
23,"",1004501,se_sys_login_birthday_02,"",1004501031,0,"",0,se_common,""
3,0,1004501,blb_idle,"",1004501032,"",0.3,1,100411,""
93,"",1004501,"","",1004501033,"","","",1.05,""
23,"",1004501,se_sys_login_birthday_cracker,"",1004501034,0,"",0,se_common,""
31,1,1004501,6,"",1004501035,0,1,0,6,""
3,1,1004501,blb_joy_02,"",1004501036,blb_wish_02,0,0,100411,""
93,"",1004501,"","",1004501037,"","","",2,""
21,"",1004501,vo_adv_1004501_000,"",1004501038,0,"",0,vo_adv_1004501,""
13,"",1004501,870,"",1004501039,"","","",100411,""
11,1,1004501,"커다란 케이크 고마워!\n오빠가 만들어준 거지?\n좀 하네, 오빠!","",1004501040,1,0,7,100411,0
91,"",1004501,"","",1004501041,"","","",0,""
21,"",1004501,vo_adv_1004501_001,"",1004501042,0,"",0,vo_adv_1004501,""
11,1,1004501,"미소기라면 자안뜩\n장난을 쳤겠지만……\n평범하게 맛있는 케이크지?","",1004501043,1,0,7,100411,0
91,"",1004501,"","",1004501044,"","","",0,""
21,"",1004501,vo_adv_1004501_002,"",1004501045,0,"",0,vo_adv_1004501,""
11,1,1004501,"오빠는 착하네~\n그래도 그런 오빠라서\n같이 있으면 즐거워!\n앞으로도 잘 부탁해!","",1004501046,1,0,6,100411,0
91,"",1004501,"","",1004501047,"","","",0,""
21,"",1004501,vo_adv_1004501_003,"",1004501048,0,"",0,vo_adv_1004501,""
11,1,1004501,"오빠의 생일엔\n재밌는 케이크로 보답해 줄 테니까\n기대해 줘! 에헤헤!","",1004501049,1,0,7,100411,0
91,"",1004501,"","",1004501050,"","","",0,""
31,1,1004501,9,"",1004501051,0,1,0,9,""
131,"",1004501,"","",1004501052,"","","",0,""
22,"",1004501,1,"",1004501053,0,"",0,0,""
111,"",1004501,"","",1004501054,"","","","",""
91,"",1004501,"","",1004501055,"","","",0,""
1,-220,1005501,100511,cmn_talk_def_N,1005501001,400,1.5,850,1,1
31,1,1005501,8,"",1005501002,0,1,0,8,""
31,1,1005501,7,"",1005501003,0,1,0,7,""
31,1,1005501,65,"",1005501004,0,1,0,65,""
31,1,1005501,3,"",1005501005,0,1,0,3,""
31,1,1005501,2,"",1005501006,0,1,0,2,""
31,1,1005501,1,"",1005501007,0,1,0,1,""
31,1,1005501,12,"",1005501008,0,0,0,12,""
3,"",1005501,blb_run_01,"",1005501009,"",0.3,1,100511,""
2,0,1005501,90,"",1005501010,1.3,"",-220,100511,""
25,"",1005501,bgm_M321_2C,"",1005501011,"","","",bgm_M321,""
121,0,1005501,0,"",1005501012,1.25,0,1.25,0,""
32,"",1005501,1,"",1005501013,"","","",12,""
23,"",1005501,se_sys_login_birthday_new_01,"",1005501014,"","",0,se_common,""
93,"",1005501,"","",1005501015,"","","",1.3,""
3,0,1005501,blb_stop,"",1005501016,blb_idle,0.05,0,100511,0.3
2,0,1005501,80,"",1005501017,0.25,"",-220,100511,""
93,"",1005501,"","",1005501018,"","","",1.4,""
121,1,1005501,0,"",1005501019,1.4,3,1.4,0,""
131,"",1005501,"","",1005501020,"","","",1,""
3,1,1005501,blb_blowout_02,"",1005501021,blb_idle,0.3,0,100511,0.3
93,"",1005501,"","",1005501022,"","","",0.7,""
32,"",1005501,0,"",1005501023,"","","",12,""
31,1,1005501,13,"",1005501024,0,1,0,13,""
93,"",1005501,"","",1005501025,"","","",0.2,""
23,"",1005501,se_sys_login_birthday_blow_candle,"",1005501026,0,"",0,se_common,""
93,"",1005501,"","",1005501027,"","","",1.2,""
23,"",1005501,se_adv_tickle_02,"",1005501028,0,"",0,se_adv_tickle_02,""
31,1,1005501,4,"",1005501029,0,1,0,4,""
93,"",1005501,"","",1005501030,"","","",1,""
23,"",1005501,se_sys_login_birthday_02,"",1005501031,0,"",0,se_common,""
3,0,1005501,blb_idle,"",1005501032,"",0.3,1,100511,""
93,"",1005501,"","",1005501033,"","","",1.05,""
23,"",1005501,se_sys_login_birthday_cracker,"",1005501034,0,"",0,se_common,""
31,1,1005501,6,"",1005501035,0,1,0,6,""
3,1,1005501,blb_joy_02,"",1005501036,blb_wish_02,0,0,100511,""
93,"",1005501,"","",1005501037,"","","",2,""
21,"",1005501,vo_adv_1005501_000,"",1005501038,0,"",0,vo_adv_1005501,""
13,"",1005501,870,"",1005501039,"","","",100511,""
11,1,1005501,"커다란 케이크임다!\n당신이 만들어 준 거죠?\n케이크까지 만들다니 대단함다!","",1005501040,1,0,6,100511,0
91,"",1005501,"","",1005501041,"","","",0,""
21,"",1005501,vo_adv_1005501_001,"",1005501042,0,"",0,vo_adv_1005501,""
11,1,1005501,"생일을 이렇게\n축하받게 되다니 기쁨다.","",1005501043,1,0,6,100511,0
91,"",1005501,"","",1005501044,"","","",0,""
21,"",1005501,vo_adv_1005501_002,"",1005501045,0,"",0,vo_adv_1005501,""
11,1,1005501,"저는 케이크 만들기 같은 건\n정말 안 어울리지만,\n혹시 만든다면……\n기뻐해 줄 검까?","",1005501046,1,0,4,100511,0
91,"",1005501,"","",1005501047,"","","",0,""
21,"",1005501,vo_adv_1005501_003,"",1005501048,0,"",0,vo_adv_1005501,""
11,1,1005501,"당신이 기뻐해 준다면\n열심히 해보겠슴다!\n생일, 기대해 줬음 좋겠슴다!","",1005501049,1,0,6,100511,0
91,"",1005501,"","",1005501050,"","","",0,""
31,1,1005501,9,"",1005501051,0,1,0,9,""
131,"",1005501,"","",1005501052,"","","",0,""
22,"",1005501,1,"",1005501053,0,"",0,0,""
111,"",1005501,"","",1005501054,"","","","",""
91,"",1005501,"","",1005501055,"","","",0,""
1,-220,1006501,102211,cmn_talk_def_N,1006501001,400,1.5,850,1,1
1,-220,1006501,100611,cmn_talk_def_N,1006501002,520,1.5,860,1,1
31,1,1006501,8,"",1006501003,0,1,0,8,""
31,1,1006501,7,"",1006501004,0,1,0,7,""
31,1,1006501,64,"",1006501005,0,1,0,64,""
31,1,1006501,3,"",1006501006,0,1,0,3,""
31,1,1006501,2,"",1006501007,0,1,0,2,""
31,1,1006501,1,"",1006501008,0,1,0,1,""
31,1,1006501,12,"",1006501009,0,0,0,12,""
3,"",1006501,blb_run_01,"",1006501010,"",0.3,1,102211,""
3,"",1006501,blb_run_01,"",1006501011,"",0.3,1,100611,""
2,0,1006501,80,"",1006501012,1.3,"",-220,102211,""
2,0,1006501,200,"",1006501013,1.3,"",-220,100611,""
25,"",1006501,bgm_M321_2C,"",1006501014,0,"",0,bgm_M321,""
121,0,1006501,0,"",1006501015,1.25,0,1.25,0,""
32,"",1006501,1,"",1006501016,"","","",12,""
23,"",1006501,se_sys_login_birthday_new_01,"",1006501017,"","","",se_common,""
93,"",1006501,"","",1006501018,"","","",1.3,""
3,0,1006501,blb_stop,"",1006501019,blb_idle,0.05,0,102211,0.3
3,0,1006501,blb_stop_yori,"",1006501020,blb_idle_yori,0.05,0,100611,0.3
2,0,1006501,70,"",1006501021,0.25,"",-220,102211,""
2,0,1006501,190,"",1006501022,0.25,"",-220,100611,""
93,"",1006501,"","",1006501023,"","","",1.4,""
121,1,1006501,0,"",1006501024,1.4,3,1.4,0,""
131,"",1006501,"","",1006501025,"","","",1,""
3,1,1006501,blb_blowout_01,"",1006501026,blb_idle,0.3,0,102211,0.3
3,1,1006501,blb_blowout_yori,"",1006501027,blb_idle_yori_02,0.3,0,100611,0.3
93,"",1006501,"","",1006501028,"","","",0.7,""
32,"",1006501,0,"",1006501029,"","","",12,""
31,1,1006501,13,"",1006501030,0,1,0,13,""
31,1,1006501,15,"",1006501031,0,1,0,15,""
93,"",1006501,"","",1006501032,"","","",0.2,""
23,"",1006501,se_sys_login_birthday_blow_candle,"",1006501033,0,"",0,se_common,""
93,"",1006501,"","",1006501034,"","","",1.2,""
23,"",1006501,se_adv_tickle_02,"",1006501035,0,"",0,se_adv_tickle_02,""
31,1,1006501,5,"",1006501036,0,1,0,5,""
93,"",1006501,"","",1006501037,"","","",1,""
23,"",1006501,se_sys_login_birthday_02,"",1006501038,0,"",0,se_common,""
3,0,1006501,blb_idle,"",1006501039,"",0.3,1,102211,""
3,0,1006501,blb_idle_yori_02,"",1006501040,"",0.3,1,100611,""
93,"",1006501,"","",1006501041,"","","",1.05,""
23,"",1006501,se_sys_login_birthday_cracker,"",1006501042,0,"",0,se_common,""
31,1,1006501,6,"",1006501043,0,1,0,6,""
3,1,1006501,blb_joy_akari,"",1006501044,blb_wish_akari,0,0,102211,""
3,1,1006501,blb_joy_yori,"",1006501045,blb_wish_yori,0,0,100611,""
93,"",1006501,"","",1006501046,"","","",2,""
21,"",1006501,vo_adv_1006501_000,"",1006501047,0,"",0,vo_adv_1006501,""
13,"",1006501,870,"",1006501048,"","","",102211,""
13,"",1006501,870,"",1006501049,"","","",100611,""
11,1,1006501,"에헤헤♪\n생일 축하해 줘서\n고마워요, 오빠♪","",1006501050,1,0,6,100611,0
91,"",1006501,"","",1006501051,"","","",0,""
21,"",1006501,vo_adv_1006501_001,"",1006501052,0,"",0,vo_adv_1006501,""
11,1,1006501,"정말, 이런 건\n미리 말해두라고.\n그…… 나도\n마음의 준비 같은 게 필요하니까.","",1006501053,1,0,5,102211,0
91,"",1006501,"","",1006501054,"","","",0,""
21,"",1006501,vo_adv_1006501_002,"",1006501055,0,"",0,vo_adv_1006501,""
11,1,1006501,"우후후, 언니도 참\n부끄러워하는 거 귀엽네♪\n그런데 어엄청 커다란 케이크……\n음…… 와아, 엄청 찐해♪","",1006501056,1,0,4,100611,0
91,"",1006501,"","",1006501057,"","","",0,""
21,"",1006501,vo_adv_1006501_003,"",1006501058,0,"",0,vo_adv_1006501,""
11,1,1006501,"냐암…… 앗, 진짜네.\n완전 뿅 가버리겠어!\n아니, 그, 그게 아니고……","",1006501059,1,0,4,102211,0
91,"",1006501,"","",1006501060,"","","",0,""
21,"",1006501,vo_adv_1006501_004,"",1006501061,0,"",0,vo_adv_1006501,""
11,1,1006501,"으음, 그……\n케이크 만들어줘서\n고, 고마…… 어라, 아카리?\n잠깐, 왜 웃는 거야?","",1006501062,1,0,3,102211,0
91,"",1006501,"","",1006501063,"","","",0,""
21,"",1006501,vo_adv_1006501_005,"",1006501064,0,"",0,vo_adv_1006501,""
11,1,1006501,"후훗, 그야 제일 좋아하는 언니랑\n오빠가 있으니까.\n셋이서 오늘은 멋진\n하루를 드~음뿍 보내자♪","",1006501065,1,0,4,100611,0
91,"",1006501,"","",1006501066,"","","",0,""
31,1,1006501,9,"",1006501067,0,1,0,9,""
131,"",1006501,"","",1006501068,"","","",0,""
22,"",1006501,1,"",1006501069,0,"",0,0,""
111,"",1006501,"","",1006501070,"","","","",""
91,"",1006501,"","",1006501071,"","","",0,""
1,-220,1007501,100711,blb_run_miyako,1007501001,400,1.5,850,1,1
31,1,1007501,8,"",1007501002,0,1,0,8,""
31,1,1007501,7,"",1007501003,0,1,0,7,""
31,1,1007501,73,"",1007501004,0,1,0,73,""
31,1,1007501,3,"",1007501005,0,1,0,3,""
31,1,1007501,2,"",1007501006,0,1,0,2,""
31,1,1007501,1,"",1007501007,0,1,0,1,""
31,1,1007501,12,"",1007501008,0,0,0,12,""
3,"",1007501,blb_run_miyako,"",1007501009,"",0.3,1,100711,""
2,0,1007501,90,"",1007501010,1.3,"",-220,100711,""
25,"",1007501,bgm_M321_2C,"",1007501011,0,"",0,bgm_M321,""
121,0,1007501,0,"",1007501012,1.25,0,1.25,0,""
32,1,1007501,1,"",1007501013,0,1,0,12,""
23,"",1007501,se_sys_login_birthday_new_01,"",1007501014,0,"",0,se_common,""
93,"",1007501,"","",1007501015,"","","",1.3,""
3,0,1007501,blb_stop_miyako,"",1007501016,blb_idle_miyako,0.05,0,100711,0.3
2,0,1007501,80,"",1007501017,0.25,"",-220,100711,""
93,"",1007501,"","",1007501018,"","","",1.4,""
121,1,1007501,0,"",1007501019,1.4,3,1.4,0,""
131,"",1007501,"","",1007501020,"","","",1,""
3,1,1007501,blb_blowout_miyako,"",1007501021,blb_idle_miyako,0.3,0,100711,0.3
93,"",1007501,"","",1007501022,"","","",0.7,""
32,1,1007501,0,"",1007501023,0,1,0,12,""
31,1,1007501,13,"",1007501024,0,1,0,13,""
93,"",1007501,"","",1007501025,"","","",0.2,""
23,"",1007501,se_sys_login_birthday_blow_candle,"",1007501026,0,"",0,se_common,""
93,"",1007501,"","",1007501027,"","","",1.2,""
23,"",1007501,se_adv_tickle_02,"",1007501028,0,"",0,se_adv_tickle_02,""
31,1,1007501,4,"",1007501029,0,1,0,4,""
93,"",1007501,"","",1007501030,"","","",1,""
23,"",1007501,se_sys_login_birthday_02,"",1007501031,0,"",0,se_common,""
3,0,1007501,blb_idle_miyako,"",1007501032,"",0.3,1,100711,""
93,"",1007501,"","",1007501033,"","","",1.05,""
23,"",1007501,se_sys_login_birthday_cracker,"",1007501034,0,"",0,se_common,""
31,1,1007501,6,"",1007501035,0,1,0,6,""
3,1,1007501,blb_joy_miyako,"",1007501036,blb_wish_miyako,0,0,100711,""
93,"",1007501,"","",1007501037,"","","",2,""
21,"",1007501,vo_adv_1007501_000,"",1007501038,0,"",0,vo_adv_1007501,""
13,"",1007501,870,"",1007501039,"","","",100711,""
11,1,1007501,"흐흐~응, 미야코의 생일을\n기억하고 있었다니, 너치고는\n제법 눈치가 있는 거야~","",1007501040,1,0,6,100711,0
91,"",1007501,"","",1007501041,"","","",0,""
