energy_reset_flag,reward_image_4,reward_image_5,difficulty,dungeon_quest_detail_monster_size,chest_id,wave_bgm_sheet_id_1,quest_detail_monster_scale_1,quest_id,reward_image_1,dungeon_quest_detail_monster_position_x_4,emax,background,dungeon_quest_detail_bg_position,fixed_start_tp_rate,reward_coin,parts_hp_save_flag,quest_detail_monster_scale_4,reward_csc,odds_group_id,dungeon_quest_detail_monster_position_x_5,floor_num,dungeon_quest_detail_monster_position_x_1,reward_image_6,wave_bgm_que_id_1,dungeon_quest_detail_monster_position_x_2,dungeon_quest_detail_bg_id,limit_time,dungeon_quest_detail_monster_position_x_3,quest_detail_monster_scale_5,quest_type,multi_target_effect_time,reward_image_2,wave_group_id,clear_reward_group,quest_detail_monster_scale_3,quest_detail_monster_scale_2,dungeon_area_id,reward_image_3,dungeon_quest_detail_monster_height
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320010202,90002,0.0,0,102842,-50,100,800,0,0.0,20,3200101,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320010203,90002,0.0,0,102843,-50,100,800,0,0.0,20,3200102,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320010204,90002,0.0,0,102842,-50,100,1200,0,0.0,20,3200103,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320010205,90002,0.0,0,102841,-50,100,1200,0,0.0,20,3200104,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
1,140001,25001,2,1.2,40004,bgm_M126,1.2,320010206,90002,0.0,1,102842,-50,100,100,0,1.2,50,3200105,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502001211,0,1.0,1.2,32001,94002,0.0
1,140001,25001,2,1.2,40004,bgm_M126,1.2,320010207,90002,0.0,1,102843,-50,100,100,0,1.2,50,3200105,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502001221,0,1.0,1.2,32001,94002,0.0
1,140001,25001,2,1.2,40004,bgm_M64,1.0,320010208,90002,0.0,1,102851,-50,100,100,0,0.0,50,3200105,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001231,0,0.0,0.0,32001,94002,0.0
1,140001,25001,2,1.2,40004,bgm_M64,1.0,320010209,90002,0.0,1,102851,-50,100,100,0,0.0,50,3200105,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001241,0,0.0,0.0,32001,94002,0.0
1,140001,25001,2,0.5,40004,bgm_M63,1.0,320010210,90002,0.0,1,102852,-50,100,100,1,0.0,50,3200105,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502001251,0,0.0,1.0,32001,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320010301,90002,0.0,0,102841,-50,200,600,0,0.0,20,3200101,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320010302,90002,0.0,0,102842,-50,200,800,0,0.0,20,3200101,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320010303,90002,0.0,0,102843,-50,200,800,0,0.0,20,3200102,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320010304,90002,0.0,0,102842,-50,200,1200,0,0.0,20,3200103,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320010305,90002,0.0,0,102841,-50,200,1200,0,0.0,20,3200104,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
1,140001,25001,3,1.2,40004,bgm_M126,1.2,320010306,90002,0.0,1,102842,-50,200,100,0,1.2,50,3200105,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502001311,0,1.0,1.2,32001,94002,0.0
1,140001,25001,3,1.2,40004,bgm_M126,1.2,320010307,90002,0.0,1,102843,-50,200,100,0,1.2,50,3200105,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502001321,0,1.0,1.2,32001,94002,0.0
1,140001,25001,3,1.2,40004,bgm_M64,1.0,320010308,90002,0.0,1,102851,-50,200,100,0,0.0,50,3200105,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001331,0,0.0,0.0,32001,94002,0.0
1,140001,25001,3,1.2,40004,bgm_M64,1.0,320010309,90002,0.0,1,102851,-50,200,100,0,0.0,50,3200105,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001341,0,0.0,0.0,32001,94002,0.0
1,140001,25001,3,0.5,40004,bgm_M63,1.0,320010310,90002,0.0,1,102852,-50,200,100,1,0.0,50,3200105,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502001351,0,0.0,1.0,32001,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320010401,90002,0.0,0,102841,-50,300,600,0,0.0,20,3200101,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320010402,90002,0.0,0,102842,-50,300,800,0,0.0,20,3200101,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320010403,90002,0.0,0,102843,-50,300,800,0,0.0,20,3200102,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320010404,90002,0.0,0,102842,-50,300,1200,0,0.0,20,3200103,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320010405,90002,0.0,0,102841,-50,300,1200,0,0.0,20,3200104,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
1,140001,25001,4,1.2,40004,bgm_M126,1.2,320010406,90002,0.0,1,102842,-50,300,100,0,1.2,50,3200105,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502001411,0,1.0,1.2,32001,94002,0.0
1,140001,25001,4,1.2,40004,bgm_M126,1.2,320010407,90002,0.0,1,102843,-50,300,100,0,1.2,50,3200105,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502001421,0,1.0,1.2,32001,94002,0.0
1,140001,25001,4,1.2,40004,bgm_M64,1.0,320010408,90002,0.0,1,102851,-50,300,100,0,0.0,50,3200105,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001431,0,0.0,0.0,32001,94002,0.0
1,140001,25001,4,1.2,40004,bgm_M64,1.0,320010409,90002,0.0,1,102851,-50,300,100,0,0.0,50,3200105,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001441,0,0.0,0.0,32001,94002,0.0
1,140001,25001,4,0.5,40004,bgm_M63,1.0,320010410,90002,0.0,1,102852,-50,300,100,1,0.0,50,3200105,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502001451,0,0.0,1.0,32001,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320010501,90002,0.0,0,102841,-50,400,600,0,0.0,20,3200101,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320010502,90002,0.0,0,102842,-50,400,800,0,0.0,20,3200101,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320010503,90002,0.0,0,102843,-50,400,800,0,0.0,20,3200102,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320010504,90002,0.0,0,102842,-50,400,1200,0,0.0,20,3200103,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320010505,90002,0.0,0,102841,-50,400,1200,0,0.0,20,3200104,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32001,94002,0.0
1,140001,25001,5,1.2,40004,bgm_M126,1.2,320010506,90002,0.0,1,102842,-50,400,100,0,1.2,50,3200105,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502001511,0,1.0,1.2,32001,94002,0.0
1,140001,25001,5,1.2,40004,bgm_M126,1.2,320010507,90002,0.0,1,102843,-50,400,100,0,1.2,50,3200105,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502001521,0,1.0,1.2,32001,94002,0.0
1,140001,25001,5,1.2,40004,bgm_M64,1.0,320010508,90002,0.0,1,102851,-50,400,100,0,0.0,50,3200105,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001531,0,0.0,0.0,32001,94002,0.0
1,140001,25001,5,1.2,40004,bgm_M64,1.0,320010509,90002,0.0,1,102851,-50,400,100,0,0.0,50,3200105,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502001541,0,0.0,0.0,32001,94002,0.0
1,140001,25001,5,0.5,40004,bgm_M63,1.0,320010510,90002,0.0,1,102852,-50,400,100,1,0.0,50,3200105,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502001551,0,0.0,1.0,32001,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320020101,90002,0.0,0,102841,-50,0,600,0,0.0,50,3200201,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320020102,90002,0.0,0,102842,-50,0,800,0,0.0,50,3200201,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320020103,90002,0.0,0,102843,-50,0,800,0,0.0,50,3200202,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320020104,90002,0.0,0,102842,-50,0,1200,0,0.0,50,3200203,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,1,1.2,40004,bgm_M06,0.0,320020105,90002,0.0,0,102841,-50,0,1200,0,0.0,50,3200204,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
1,140001,25001,1,1.0,40004,bgm_M126,1.2,320020106,90002,0.0,1,102842,-50,0,100,0,1.2,100,3200205,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502002111,0,1.0,1.2,32002,94002,0.0
1,140001,25001,1,1.0,40004,bgm_M126,1.2,320020107,90002,0.0,1,102843,-50,0,100,0,1.2,100,3200205,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502002121,0,1.0,1.2,32002,94002,0.0
1,140001,25001,1,1.2,40004,bgm_M64,1.0,320020108,90002,0.0,1,102851,-50,0,100,0,0.0,100,3200205,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002131,0,0.0,0.0,32002,94002,0.0
1,140001,25001,1,1.2,40004,bgm_M64,1.0,320020109,90002,0.0,1,102851,-50,0,100,0,0.0,100,3200205,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002141,0,0.0,0.0,32002,94002,0.0
1,140001,25001,1,0.5,40004,bgm_M63,1.0,320020110,90002,0.0,1,102852,-50,0,100,1,0.0,100,3200205,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502002151,0,0.0,1.0,32002,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320020201,90002,0.0,0,102841,-50,100,600,0,0.0,50,3200201,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320020202,90002,0.0,0,102842,-50,100,800,0,0.0,50,3200201,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320020203,90002,0.0,0,102843,-50,100,800,0,0.0,50,3200202,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320020204,90002,0.0,0,102842,-50,100,1200,0,0.0,50,3200203,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,2,1.2,40004,bgm_M06,0.0,320020205,90002,0.0,0,102841,-50,100,1200,0,0.0,50,3200204,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
1,140001,25001,2,1.0,40004,bgm_M126,1.2,320020206,90002,0.0,1,102842,-50,100,100,0,1.2,100,3200205,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502002211,0,1.0,1.2,32002,94002,0.0
1,140001,25001,2,1.0,40004,bgm_M126,1.2,320020207,90002,0.0,1,102843,-50,100,100,0,1.2,100,3200205,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502002221,0,1.0,1.2,32002,94002,0.0
1,140001,25001,2,1.2,40004,bgm_M64,1.0,320020208,90002,0.0,1,102851,-50,100,100,0,0.0,100,3200205,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002231,0,0.0,0.0,32002,94002,0.0
1,140001,25001,2,1.2,40004,bgm_M64,1.0,320020209,90002,0.0,1,102851,-50,100,100,0,0.0,100,3200205,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002241,0,0.0,0.0,32002,94002,0.0
1,140001,25001,2,0.5,40004,bgm_M63,1.0,320020210,90002,0.0,1,102852,-50,100,100,1,0.0,100,3200205,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502002251,0,0.0,1.0,32002,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320020301,90002,0.0,0,102841,-50,200,600,0,0.0,50,3200201,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320020302,90002,0.0,0,102842,-50,200,800,0,0.0,50,3200201,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320020303,90002,0.0,0,102843,-50,200,800,0,0.0,50,3200202,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320020304,90002,0.0,0,102842,-50,200,1200,0,0.0,50,3200203,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,3,1.2,40004,bgm_M06,0.0,320020305,90002,0.0,0,102841,-50,200,1200,0,0.0,50,3200204,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
1,140001,25001,3,1.0,40004,bgm_M126,1.2,320020306,90002,0.0,1,102842,-50,200,100,0,1.2,100,3200205,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502002311,0,1.0,1.2,32002,94002,0.0
1,140001,25001,3,1.0,40004,bgm_M126,1.2,320020307,90002,0.0,1,102843,-50,200,100,0,1.2,100,3200205,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502002321,0,1.0,1.2,32002,94002,0.0
1,140001,25001,3,1.2,40004,bgm_M64,1.0,320020308,90002,0.0,1,102851,-50,200,100,0,0.0,100,3200205,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002331,0,0.0,0.0,32002,94002,0.0
1,140001,25001,3,1.2,40004,bgm_M64,1.0,320020309,90002,0.0,1,102851,-50,200,100,0,0.0,100,3200205,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002341,0,0.0,0.0,32002,94002,0.0
1,140001,25001,3,0.5,40004,bgm_M63,1.0,320020310,90002,0.0,1,102852,-50,200,100,1,0.0,100,3200205,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502002351,0,0.0,1.0,32002,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320020401,90002,0.0,0,102841,-50,300,600,0,0.0,50,3200201,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320020402,90002,0.0,0,102842,-50,300,800,0,0.0,50,3200201,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320020403,90002,0.0,0,102843,-50,300,800,0,0.0,50,3200202,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320020404,90002,0.0,0,102842,-50,300,1200,0,0.0,50,3200203,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,4,1.2,40004,bgm_M06,0.0,320020405,90002,0.0,0,102841,-50,300,1200,0,0.0,50,3200204,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
1,140001,25001,4,1.0,40004,bgm_M126,1.2,320020406,90002,0.0,1,102842,-50,300,100,0,1.2,100,3200205,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502002411,0,1.0,1.2,32002,94002,0.0
1,140001,25001,4,1.0,40004,bgm_M126,1.2,320020407,90002,0.0,1,102843,-50,300,100,0,1.2,100,3200205,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502002421,0,1.0,1.2,32002,94002,0.0
1,140001,25001,4,1.2,40004,bgm_M64,1.0,320020408,90002,0.0,1,102851,-50,300,100,0,0.0,100,3200205,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002431,0,0.0,0.0,32002,94002,0.0
1,140001,25001,4,1.2,40004,bgm_M64,1.0,320020409,90002,0.0,1,102851,-50,300,100,0,0.0,100,3200205,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002441,0,0.0,0.0,32002,94002,0.0
1,140001,25001,4,0.5,40004,bgm_M63,1.0,320020410,90002,0.0,1,102852,-50,300,100,1,0.0,100,3200205,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502002451,0,0.0,1.0,32002,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320020501,90002,0.0,0,102841,-50,400,600,0,0.0,50,3200201,0.0,1,0.0,0,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320020502,90002,0.0,0,102842,-50,400,800,0,0.0,50,3200201,0.0,2,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320020503,90002,0.0,0,102843,-50,400,800,0,0.0,50,3200202,0.0,3,0.0,0,bgm_M06,0.0,102843,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320020504,90002,0.0,0,102842,-50,400,1200,0,0.0,50,3200203,0.0,4,0.0,0,bgm_M06,0.0,102842,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
0,140001,25001,5,1.2,40004,bgm_M06,0.0,320020505,90002,0.0,0,102841,-50,400,1200,0,0.0,50,3200204,0.0,5,0.0,90005,bgm_M06,0.0,102841,90,0.0,0.0,1,0.0,90008,0,0,0.0,0.0,32002,94002,0.0
1,140001,25001,5,1.0,40004,bgm_M126,1.2,320020506,90002,0.0,1,102842,-50,400,100,0,1.2,100,3200205,0.0,6,0.0,0,bgm_M126,0.0,102842,90,0.0,1.0,5,0.0,90008,502002511,0,1.0,1.2,32002,94002,0.0
1,140001,25001,5,1.0,40004,bgm_M126,1.2,320020507,90002,0.0,1,102843,-50,400,100,0,1.2,100,3200205,0.0,7,0.0,0,bgm_M126,0.0,102843,90,0.0,1.0,5,0.0,90008,502002521,0,1.0,1.2,32002,94002,0.0
1,140001,25001,5,1.2,40004,bgm_M64,1.0,320020508,90002,0.0,1,102851,-50,400,100,0,0.0,100,3200205,0.0,8,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002531,0,0.0,0.0,32002,94002,0.0
1,140001,25001,5,1.2,40004,bgm_M64,1.0,320020509,90002,0.0,1,102851,-50,400,100,0,0.0,100,3200205,0.0,9,0.0,0,bgm_M64,0.0,102851,90,0.0,0.0,3,0.0,90008,502002541,0,0.0,0.0,32002,94002,0.0
1,140001,25001,5,0.5,40004,bgm_M63,1.0,320020510,90002,0.0,1,102852,-50,400,100,1,0.0,100,3200205,0.0,10,0.0,0,bgm_M63,0.0,102852,90,0.0,0.0,3,5.1,90008,502002551,0,0.0,1.0,32002,94002,0.0
